municipality,group,variable,month,Pulpotomías,TOTAL
COLPA BELGICA,consultas odontologicas,pulpotomias,2006-01-01,5,5
COLQUECHACA,consultas odontologicas,pulpotomias,2006-01-01,95,95
COLQUIRI,consultas odontologicas,pulpotomias,2006-01-01,136,136
COMARAPA,consultas odontologicas,pulpotomias,2006-01-01,94,94
COMBAYA,consultas odontologicas,pulpotomias,2006-01-01,16,16
CONCEPCION,consultas odontologicas,pulpotomias,2006-01-01,16,16
COPACABANA,consultas odontologicas,pulpotomias,2006-01-01,60,60
CORIPATA,consultas odontologicas,pulpotomias,2006-01-01,105,105
CORO CORO,consultas odontologicas,pulpotomias,2006-01-01,66,66
COROICO,consultas odontologicas,pulpotomias,2006-01-01,144,144
COTAGAITA,consultas odontologicas,pulpotomias,2006-01-01,102,102
COTOCA,consultas odontologicas,pulpotomias,2006-01-01,57,57
CUEVO,consultas odontologicas,pulpotomias,2006-01-01,47,47
CULPINA,consultas odontologicas,pulpotomias,2006-01-01,28,28
CURAHUARA DE CARANGAS,consultas odontologicas,pulpotomias,2006-01-01,21,21
CURVA,consultas odontologicas,pulpotomias,2006-01-01,8,8
DESAGUADERO,consultas odontologicas,pulpotomias,2006-01-01,101,101
EL ALTO,consultas odontologicas,pulpotomias,2006-01-01,4722,4722
EL PUENTE(TJA),consultas odontologicas,pulpotomias,2006-01-01,25,25
EL TORNO,consultas odontologicas,pulpotomias,2006-01-01,99,99
EL VILLAR,consultas odontologicas,pulpotomias,2006-01-01,8,8
ENTRE RIOS,consultas odontologicas,pulpotomias,2006-01-01,45,45
ENTRE RIOS,consultas odontologicas,pulpotomias,2006-01-01,46,46
EUCALIPTUS,consultas odontologicas,pulpotomias,2006-01-01,38,38
EXALTACION,consultas odontologicas,pulpotomias,2006-01-01,8,8
FERNANDEZ ALONSO,consultas odontologicas,pulpotomias,2006-01-01,58,58
FILADELFIA,consultas odontologicas,pulpotomias,2006-01-01,24,24
GENERAL SAAVEDRA,consultas odontologicas,pulpotomias,2006-01-01,46,46
GRAL. J.J. PEREZ (CHARAZANI),consultas odontologicas,pulpotomias,2006-01-01,68,68
GUANAY,consultas odontologicas,pulpotomias,2006-01-01,30,30
GUAQUI,consultas odontologicas,pulpotomias,2006-01-01,83,83
GUAYARAMERIN,consultas odontologicas,pulpotomias,2006-01-01,299,299
GUTIERREZ,consultas odontologicas,pulpotomias,2006-01-01,56,56
HUACARETA,consultas odontologicas,pulpotomias,2006-01-01,22,22
HUACHACALLA,consultas odontologicas,pulpotomias,2006-01-01,14,14
HUANUNI,consultas odontologicas,pulpotomias,2006-01-01,140,140
HUARACAJE,consultas odontologicas,pulpotomias,2006-01-01,17,17
HUAYLLAMARCA,consultas odontologicas,pulpotomias,2006-01-01,2,2
ICHOCA,consultas odontologicas,pulpotomias,2006-01-01,16,16
ICLA,consultas odontologicas,pulpotomias,2006-01-01,35,35
INCAHUASI,consultas odontologicas,pulpotomias,2006-01-01,54,54
INQUISIVI,consultas odontologicas,pulpotomias,2006-01-01,21,21
IRUPANA (VILLA DE LANZA),consultas odontologicas,pulpotomias,2006-01-01,117,117
IXIAMAS,consultas odontologicas,pulpotomias,2006-01-01,64,64
JESUS DE MACHACA,consultas odontologicas,pulpotomias,2006-01-01,115,115
LA ASUNTA,consultas odontologicas,pulpotomias,2006-01-01,78,78
LA GUARDIA,consultas odontologicas,pulpotomias,2006-01-01,58,58
LA PAZ,consultas odontologicas,pulpotomias,2006-01-01,3619,3619
LAGUNILLAS,consultas odontologicas,pulpotomias,2006-01-01,24,24
LAJA,consultas odontologicas,pulpotomias,2006-01-01,69,69
LICOMA PAMPA,consultas odontologicas,pulpotomias,2006-01-01,32,32
LLALLAGUA,consultas odontologicas,pulpotomias,2006-01-01,51,51
LLICA,consultas odontologicas,pulpotomias,2006-01-01,23,23
LURIBAY,consultas odontologicas,pulpotomias,2006-01-01,18,18
MACHACAMARCA,consultas odontologicas,pulpotomias,2006-01-01,51,51
MACHARETI,consultas odontologicas,pulpotomias,2006-01-01,16,16
MAGDALENA,consultas odontologicas,pulpotomias,2006-01-01,41,41
MAIRANA,consultas odontologicas,pulpotomias,2006-01-01,8,8
MAPIRI,consultas odontologicas,pulpotomias,2006-01-01,50,50
MECAPACA,consultas odontologicas,pulpotomias,2006-01-01,41,41
MINEROS,consultas odontologicas,pulpotomias,2006-01-01,28,28
MIZQUE,consultas odontologicas,pulpotomias,2006-01-01,87,87
MOCOMOCO,consultas odontologicas,pulpotomias,2006-01-01,67,67
MOJOCOYA,consultas odontologicas,pulpotomias,2006-01-01,58,58
MONTEAGUDO,consultas odontologicas,pulpotomias,2006-01-01,32,32
MONTERO,consultas odontologicas,pulpotomias,2006-01-01,344,344
MORO MORO,consultas odontologicas,pulpotomias,2006-01-01,6,6
MOROCHATA,consultas odontologicas,pulpotomias,2006-01-01,7,7
NACEBE (SANTA ROSA DEL ABUNA),consultas odontologicas,pulpotomias,2006-01-01,12,12
NUEVO MANOA (NUEVA ESPERANZA),consultas odontologicas,pulpotomias,2006-01-01,13,13
OCURI,consultas odontologicas,pulpotomias,2006-01-01,32,32
OKINAWA,consultas odontologicas,pulpotomias,2006-01-01,45,45
OMEREQUE,consultas odontologicas,pulpotomias,2006-01-01,26,26
ORURO,consultas odontologicas,pulpotomias,2006-01-01,1931,1931
PADCAYA,consultas odontologicas,pulpotomias,2006-01-01,63,63
PADILLA,consultas odontologicas,pulpotomias,2006-01-01,61,61
PAILON,consultas odontologicas,pulpotomias,2006-01-01,64,64
PALCA,consultas odontologicas,pulpotomias,2006-01-01,44,44
PALOS BLANCOS,consultas odontologicas,pulpotomias,2006-01-01,104,104
PAMPA AULLAGAS,consultas odontologicas,pulpotomias,2006-01-01,8,8
PAMPA GRANDE,consultas odontologicas,pulpotomias,2006-01-01,2,2
PAPEL PAMPA,consultas odontologicas,pulpotomias,2006-01-01,15,15
PATACAMAYA,consultas odontologicas,pulpotomias,2006-01-01,71,71
PAZÑA,consultas odontologicas,pulpotomias,2006-01-01,18,18
POCOATA,consultas odontologicas,pulpotomias,2006-01-01,58,58
POJO (CBBA),consultas odontologicas,pulpotomias,2006-01-01,14,14
POOPO,consultas odontologicas,pulpotomias,2006-01-01,40,40
PORCO,consultas odontologicas,pulpotomias,2006-01-01,3,3
PORONGO,consultas odontologicas,pulpotomias,2006-01-01,62,62
PORTACHUELO,consultas odontologicas,pulpotomias,2006-01-01,153,153
PORVENIR,consultas odontologicas,pulpotomias,2006-01-01,27,27
POTOSI,consultas odontologicas,pulpotomias,2006-01-01,856,856
PRESTO,consultas odontologicas,pulpotomias,2006-01-01,47,47
PUCARA,consultas odontologicas,pulpotomias,2006-01-01,12,12
PUCARANI,consultas odontologicas,pulpotomias,2006-01-01,191,191
PUERTO ACOSTA,consultas odontologicas,pulpotomias,2006-01-01,68,68
PUERTO CARABUCO,consultas odontologicas,pulpotomias,2006-01-01,43,43
PUERTO PEREZ,consultas odontologicas,pulpotomias,2006-01-01,17,17
PUERTO QUIJARRO,consultas odontologicas,pulpotomias,2006-01-01,44,44
PUERTO RICO,consultas odontologicas,pulpotomias,2006-01-01,30,30
PUERTO SUAREZ,consultas odontologicas,pulpotomias,2006-01-01,88,88
PUERTO VILLARROEL,consultas odontologicas,pulpotomias,2006-01-01,77,77
PUNA,consultas odontologicas,pulpotomias,2006-01-01,123,123
PUNATA,consultas odontologicas,pulpotomias,2006-01-01,86,86
QUIABAYA,consultas odontologicas,pulpotomias,2006-01-01,1,1
QUILLACOLLO,consultas odontologicas,pulpotomias,2006-01-01,269,269
QUIME,consultas odontologicas,pulpotomias,2006-01-01,192,192
QUIRUSILLAS,consultas odontologicas,pulpotomias,2006-01-01,6,6
RAVELO,consultas odontologicas,pulpotomias,2006-01-01,24,24
REYES,consultas odontologicas,pulpotomias,2006-01-01,44,44
RIBERALTA,consultas odontologicas,pulpotomias,2006-01-01,362,362
ROBORE,consultas odontologicas,pulpotomias,2006-01-01,18,18
RURRENABAQUE,consultas odontologicas,pulpotomias,2006-01-01,86,86
SABAYA,consultas odontologicas,pulpotomias,2006-01-01,16,16
SACABA,consultas odontologicas,pulpotomias,2006-01-01,168,168
SACABAMBA,consultas odontologicas,pulpotomias,2006-01-01,14,14
SACACA,consultas odontologicas,pulpotomias,2006-01-01,22,22
SAIPINA,consultas odontologicas,pulpotomias,2006-01-01,50,50
SALINAS DE GARCI MENDOZA,consultas odontologicas,pulpotomias,2006-01-01,14,14
SAMAIPATA,consultas odontologicas,pulpotomias,2006-01-01,29,29
SAN ANDRES,consultas odontologicas,pulpotomias,2006-01-01,17,17
SAN ANDRES DE MACHACA,consultas odontologicas,pulpotomias,2006-01-01,6,6
SAN ANTONIO DE LOMERIO,consultas odontologicas,pulpotomias,2006-01-01,40,40
SAN BENITO,consultas odontologicas,pulpotomias,2006-01-01,36,36
SAN BORJA,consultas odontologicas,pulpotomias,2006-01-01,33,33
SAN BUENA VENTURA,consultas odontologicas,pulpotomias,2006-01-01,93,93
SAN CARLOS,consultas odontologicas,pulpotomias,2006-01-01,20,20
SAN IGNACIO,consultas odontologicas,pulpotomias,2006-01-01,28,28
SAN IGNACIO DE VELASCO,consultas odontologicas,pulpotomias,2006-01-01,172,172
SAN JAVIER(STC),consultas odontologicas,pulpotomias,2006-01-01,18,18
SAN JOAQUIN,consultas odontologicas,pulpotomias,2006-01-01,13,13
SAN JOSE DE CHIQUITOS,consultas odontologicas,pulpotomias,2006-01-01,131,131
SAN JUAN DE YAPACANI,consultas odontologicas,pulpotomias,2006-01-01,32,32
SAN JULIAN,consultas odontologicas,pulpotomias,2006-01-01,82,82
SAN LORENZO(PND),consultas odontologicas,pulpotomias,2006-01-01,13,13
SAN LORENZO(TJA),consultas odontologicas,pulpotomias,2006-01-01,121,121
SAN LUCAS,consultas odontologicas,pulpotomias,2006-01-01,36,36
SAN MATIAS,consultas odontologicas,pulpotomias,2006-01-01,101,101
SAN MIGUEL DE VELASCO,consultas odontologicas,pulpotomias,2006-01-01,92,92
SAN PABLO DE LIPEZ,consultas odontologicas,pulpotomias,2006-01-01,2,2
SAN PEDRO,consultas odontologicas,pulpotomias,2006-01-01,49,49
SAN PEDRO DE BUENA VISTA,consultas odontologicas,pulpotomias,2006-01-01,27,27
SAN PEDRO DE TIQUINA,consultas odontologicas,pulpotomias,2006-01-01,39,39
SAN RAFAEL,consultas odontologicas,pulpotomias,2006-01-01,33,33
SAN RAMON,consultas odontologicas,pulpotomias,2006-01-01,18,18
SAN RAMON,consultas odontologicas,pulpotomias,2006-01-01,8,8
SANTA ANA,consultas odontologicas,pulpotomias,2006-01-01,58,58
SANTA CRUZ DE LA SIERRA,consultas odontologicas,pulpotomias,2006-01-01,2903,2903
SANTA ROSA,consultas odontologicas,pulpotomias,2006-01-01,28,28
SANTA ROSA DEL SARA,consultas odontologicas,pulpotomias,2006-01-01,97,97
SANTIAGO DE HUARI,consultas odontologicas,pulpotomias,2006-01-01,34,34
SANTIAGO DE MACHACA,consultas odontologicas,pulpotomias,2006-01-01,25,25
SANTIVAÑES,consultas odontologicas,pulpotomias,2006-01-01,2,2
SANTUARIO DE QUILLACAS,consultas odontologicas,pulpotomias,2006-01-01,9,9
SAPAHAQUI,consultas odontologicas,pulpotomias,2006-01-01,123,123
SENA,consultas odontologicas,pulpotomias,2006-01-01,40,40
SICA SICA (VILLA AROMA),consultas odontologicas,pulpotomias,2006-01-01,62,62
SIPE SIPE,consultas odontologicas,pulpotomias,2006-01-01,128,128
SOPACHUY,consultas odontologicas,pulpotomias,2006-01-01,106,106
SORACACHI,consultas odontologicas,pulpotomias,2006-01-01,24,24
SORATA,consultas odontologicas,pulpotomias,2006-01-01,85,85
SUCRE,consultas odontologicas,pulpotomias,2006-01-01,1069,1069
TACACOMA,consultas odontologicas,pulpotomias,2006-01-01,14,14
TACOPAYA,consultas odontologicas,pulpotomias,2006-01-01,11,11
TAPACARI,consultas odontologicas,pulpotomias,2006-01-01,30,30
TARABUCO,consultas odontologicas,pulpotomias,2006-01-01,29,29
TARACO,consultas odontologicas,pulpotomias,2006-01-01,15,15
TARATA,consultas odontologicas,pulpotomias,2006-01-01,14,14
TARIJA,consultas odontologicas,pulpotomias,2006-01-01,452,452
TARVITA,consultas odontologicas,pulpotomias,2006-01-01,78,78
TEOPONTE,consultas odontologicas,pulpotomias,2006-01-01,36,36
TIAWANACU,consultas odontologicas,pulpotomias,2006-01-01,87,87
TIPUANI,consultas odontologicas,pulpotomias,2006-01-01,47,47
TIQUIPAYA,consultas odontologicas,pulpotomias,2006-01-01,107,107
TIRAQUE (CBBA),consultas odontologicas,pulpotomias,2006-01-01,80,80
TOCO,consultas odontologicas,pulpotomias,2006-01-01,2,2
TOLATA,consultas odontologicas,pulpotomias,2006-01-01,5,5
TOLEDO,consultas odontologicas,pulpotomias,2006-01-01,36,36
TOMAVE,consultas odontologicas,pulpotomias,2006-01-01,15,15
TOMINA,consultas odontologicas,pulpotomias,2006-01-01,54,54
TORO TORO,consultas odontologicas,pulpotomias,2006-01-01,26,26
TOTORA(CBBA),consultas odontologicas,pulpotomias,2006-01-01,46,46
TRIGAL,consultas odontologicas,pulpotomias,2006-01-01,9,9
TRINIDAD,consultas odontologicas,pulpotomias,2006-01-01,613,613
TUPIZA,consultas odontologicas,pulpotomias,2006-01-01,198,198
TURCO,consultas odontologicas,pulpotomias,2006-01-01,9,9
UMALA,consultas odontologicas,pulpotomias,2006-01-01,3,3
URIONDO (A. CONCEPCION),consultas odontologicas,pulpotomias,2006-01-01,70,70
URUBICHA,consultas odontologicas,pulpotomias,2006-01-01,18,18
UYUNI,consultas odontologicas,pulpotomias,2006-01-01,164,164
VACAS,consultas odontologicas,pulpotomias,2006-01-01,37,37
VALLEGRANDE,consultas odontologicas,pulpotomias,2006-01-01,145,145
VIACHA,consultas odontologicas,pulpotomias,2006-01-01,238,238
VILA VILA,consultas odontologicas,pulpotomias,2006-01-01,3,3
VILLA MONTES,consultas odontologicas,pulpotomias,2006-01-01,100,100
VILLA RIVERO,consultas odontologicas,pulpotomias,2006-01-01,25,25
VILLA SERRANO,consultas odontologicas,pulpotomias,2006-01-01,27,27
VILLA TUNARI,consultas odontologicas,pulpotomias,2006-01-01,197,197
VILLA VACA GUZMAN (MUYUPAMPA),consultas odontologicas,pulpotomias,2006-01-01,103,103
VILLAZON,consultas odontologicas,pulpotomias,2006-01-01,291,291
VINTO,consultas odontologicas,pulpotomias,2006-01-01,15,15
VITICHI,consultas odontologicas,pulpotomias,2006-01-01,14,14
WARNES,consultas odontologicas,pulpotomias,2006-01-01,72,72
YACUIBA,consultas odontologicas,pulpotomias,2006-01-01,142,142
YAMPARAEZ,consultas odontologicas,pulpotomias,2006-01-01,16,16
YANACACHI,consultas odontologicas,pulpotomias,2006-01-01,26,26
YAPACANI,consultas odontologicas,pulpotomias,2006-01-01,56,56
YOCALLA,consultas odontologicas,pulpotomias,2006-01-01,9,9
YOTALA,consultas odontologicas,pulpotomias,2006-01-01,42,42
YUNCHARA,consultas odontologicas,pulpotomias,2006-01-01,19,19
ZUDAÑEZ,consultas odontologicas,pulpotomias,2006-01-01,45,45
ACACIO,consultas odontologicas,pulpotomias,2006-02-01,29,29
ACHACACHI,consultas odontologicas,pulpotomias,2006-02-01,170,170
ACHOCALLA,consultas odontologicas,pulpotomias,2006-02-01,3,3
AIQUILE,consultas odontologicas,pulpotomias,2006-02-01,25,25
ALCALA,consultas odontologicas,pulpotomias,2006-02-01,64,64
ANCORAIMES,consultas odontologicas,pulpotomias,2006-02-01,52,52
ANDAMARCA,consultas odontologicas,pulpotomias,2006-02-01,13,13
ANTEQUERA,consultas odontologicas,pulpotomias,2006-02-01,12,12
ANZALDO,consultas odontologicas,pulpotomias,2006-02-01,29,29
APOLO,consultas odontologicas,pulpotomias,2006-02-01,152,152
ARANI,consultas odontologicas,pulpotomias,2006-02-01,29,29
ARBIETO,consultas odontologicas,pulpotomias,2006-02-01,3,3
ASCENCION DE GUARAYOS,consultas odontologicas,pulpotomias,2006-02-01,83,83
ATOCHA,consultas odontologicas,pulpotomias,2006-02-01,112,112
AUCAPATA,consultas odontologicas,pulpotomias,2006-02-01,62,62
AYO AYO,consultas odontologicas,pulpotomias,2006-02-01,70,70
AYOPAYA (V. DE INDEPENDENCIA),consultas odontologicas,pulpotomias,2006-02-01,76,76
AZURDUY,consultas odontologicas,pulpotomias,2006-02-01,120,120
BATALLAS,consultas odontologicas,pulpotomias,2006-02-01,76,76
BAURES,consultas odontologicas,pulpotomias,2006-02-01,20,20
BELEN DE ANDAMARCA,consultas odontologicas,pulpotomias,2006-02-01,10,10
BELLA FLOR,consultas odontologicas,pulpotomias,2006-02-01,3,3
BERMEJO,consultas odontologicas,pulpotomias,2006-02-01,107,107
BETANZOS,consultas odontologicas,pulpotomias,2006-02-01,88,88
BOLIVAR,consultas odontologicas,pulpotomias,2006-02-01,4,4
BOYUIBE,consultas odontologicas,pulpotomias,2006-02-01,25,25
BUENA VISTA,consultas odontologicas,pulpotomias,2006-02-01,26,26
CABEZAS,consultas odontologicas,pulpotomias,2006-02-01,29,29
CAIROMA,consultas odontologicas,pulpotomias,2006-02-01,40,40
"CAIZA ""D""",consultas odontologicas,pulpotomias,2006-02-01,48,48
CAJUATA,consultas odontologicas,pulpotomias,2006-02-01,21,21
CALACOTO,consultas odontologicas,pulpotomias,2006-02-01,15,15
CALAMARCA,consultas odontologicas,pulpotomias,2006-02-01,36,36
CAMARGO,consultas odontologicas,pulpotomias,2006-02-01,60,60
CAMATAQUI (C. VILLA ABECIA),consultas odontologicas,pulpotomias,2006-02-01,13,13
CAMIRI,consultas odontologicas,pulpotomias,2006-02-01,122,122
CAPINOTA,consultas odontologicas,pulpotomias,2006-02-01,16,16
CAQUIAVIRI,consultas odontologicas,pulpotomias,2006-02-01,30,30
CARACOLLO,consultas odontologicas,pulpotomias,2006-02-01,112,112
CARANAVI,consultas odontologicas,pulpotomias,2006-02-01,166,166
CARAPARI,consultas odontologicas,pulpotomias,2006-02-01,47,47
CARIPUYO,consultas odontologicas,pulpotomias,2006-02-01,10,10
CARMEN RIVERO TORREZ,consultas odontologicas,pulpotomias,2006-02-01,5,5
CHACARILLA,consultas odontologicas,pulpotomias,2006-02-01,16,16
CHALLAPATA,consultas odontologicas,pulpotomias,2006-02-01,64,64
CHAQUI,consultas odontologicas,pulpotomias,2006-02-01,15,15
CHARAGUA,consultas odontologicas,pulpotomias,2006-02-01,89,89
CHAYANTA,consultas odontologicas,pulpotomias,2006-02-01,62,62
CHIMORE,consultas odontologicas,pulpotomias,2006-02-01,67,67
CHULUMANI (V. DE LA LIBERTAD),consultas odontologicas,pulpotomias,2006-02-01,47,47
CLIZA,consultas odontologicas,pulpotomias,2006-02-01,3,3
COBIJA,consultas odontologicas,pulpotomias,2006-02-01,141,141
COCHABAMBA,consultas odontologicas,pulpotomias,2006-02-01,1227,1227
COLCAPIRHUA,consultas odontologicas,pulpotomias,2006-02-01,26,26
"COLCHA ""K""",consultas odontologicas,pulpotomias,2006-02-01,11,11
COLLANA,consultas odontologicas,pulpotomias,2006-02-01,11,11
COLOMI,consultas odontologicas,pulpotomias,2006-02-01,15,15
COLPA BELGICA,consultas odontologicas,pulpotomias,2006-02-01,38,38
COLQUECHACA,consultas odontologicas,pulpotomias,2006-02-01,108,108
COLQUIRI,consultas odontologicas,pulpotomias,2006-02-01,162,162
COMARAPA,consultas odontologicas,pulpotomias,2006-02-01,56,56
CONCEPCION,consultas odontologicas,pulpotomias,2006-02-01,37,37
COPACABANA,consultas odontologicas,pulpotomias,2006-02-01,60,60
CORIPATA,consultas odontologicas,pulpotomias,2006-02-01,65,65
CORO CORO,consultas odontologicas,pulpotomias,2006-02-01,47,47
COROICO,consultas odontologicas,pulpotomias,2006-02-01,102,102
CORQUE,consultas odontologicas,pulpotomias,2006-02-01,14,14
COTAGAITA,consultas odontologicas,pulpotomias,2006-02-01,73,73
COTOCA,consultas odontologicas,pulpotomias,2006-02-01,33,33
CUATRO CAÑADAS,consultas odontologicas,pulpotomias,2006-02-01,20,20
CUEVO,consultas odontologicas,pulpotomias,2006-02-01,19,19
CULPINA,consultas odontologicas,pulpotomias,2006-02-01,27,27
CURAHUARA DE CARANGAS,consultas odontologicas,pulpotomias,2006-02-01,54,54
CURVA,consultas odontologicas,pulpotomias,2006-02-01,18,18
DESAGUADERO,consultas odontologicas,pulpotomias,2006-02-01,86,86
EL ALTO,consultas odontologicas,pulpotomias,2006-02-01,3697,3697
EL PUENTE(STC),consultas odontologicas,pulpotomias,2006-02-01,3,3
EL PUENTE(TJA),consultas odontologicas,pulpotomias,2006-02-01,37,37
EL TORNO,consultas odontologicas,pulpotomias,2006-02-01,79,79
EL VILLAR,consultas odontologicas,pulpotomias,2006-02-01,7,7
ENTRE RIOS,consultas odontologicas,pulpotomias,2006-02-01,162,162
ENTRE RIOS,consultas odontologicas,pulpotomias,2006-02-01,15,15
EUCALIPTUS,consultas odontologicas,pulpotomias,2006-02-01,34,34
EXALTACION,consultas odontologicas,pulpotomias,2006-02-01,33,33
FERNANDEZ ALONSO,consultas odontologicas,pulpotomias,2006-02-01,53,53
FILADELFIA,consultas odontologicas,pulpotomias,2006-02-01,18,18
GENERAL SAAVEDRA,consultas odontologicas,pulpotomias,2006-02-01,12,12
GRAL. J.J. PEREZ (CHARAZANI),consultas odontologicas,pulpotomias,2006-02-01,41,41
GUANAY,consultas odontologicas,pulpotomias,2006-02-01,19,19
GUAQUI,consultas odontologicas,pulpotomias,2006-02-01,81,81
GUAYARAMERIN,consultas odontologicas,pulpotomias,2006-02-01,179,179
GUTIERREZ,consultas odontologicas,pulpotomias,2006-02-01,57,57
HUACARETA,consultas odontologicas,pulpotomias,2006-02-01,13,13
HUACHACALLA,consultas odontologicas,pulpotomias,2006-02-01,6,6
HUANUNI,consultas odontologicas,pulpotomias,2006-02-01,56,56
HUARACAJE,consultas odontologicas,pulpotomias,2006-02-01,13,13
HUAYLLAMARCA,consultas odontologicas,pulpotomias,2006-02-01,7,7
ICHOCA,consultas odontologicas,pulpotomias,2006-02-01,46,46
ICLA,consultas odontologicas,pulpotomias,2006-02-01,64,64
INCAHUASI,consultas odontologicas,pulpotomias,2006-02-01,156,156
INGAVI (HUMAITA),consultas odontologicas,pulpotomias,2006-02-01,1,1
INQUISIVI,consultas odontologicas,pulpotomias,2006-02-01,63,63
IRUPANA (VILLA DE LANZA),consultas odontologicas,pulpotomias,2006-02-01,126,126
IXIAMAS,consultas odontologicas,pulpotomias,2006-02-01,76,76
JESUS DE MACHACA,consultas odontologicas,pulpotomias,2006-02-01,164,164
LA ASUNTA,consultas odontologicas,pulpotomias,2006-02-01,39,39
LA GUARDIA,consultas odontologicas,pulpotomias,2006-02-01,22,22
LA PAZ,consultas odontologicas,pulpotomias,2006-02-01,2603,2603
LAGUNILLAS,consultas odontologicas,pulpotomias,2006-02-01,28,28
LAJA,consultas odontologicas,pulpotomias,2006-02-01,68,68
LICOMA PAMPA,consultas odontologicas,pulpotomias,2006-02-01,13,13
LLALLAGUA,consultas odontologicas,pulpotomias,2006-02-01,127,127
LLICA,consultas odontologicas,pulpotomias,2006-02-01,25,25
LURIBAY,consultas odontologicas,pulpotomias,2006-02-01,25,25
MACHACAMARCA,consultas odontologicas,pulpotomias,2006-02-01,41,41
MACHARETI,consultas odontologicas,pulpotomias,2006-02-01,8,8
MAGDALENA,consultas odontologicas,pulpotomias,2006-02-01,13,13
MAIRANA,consultas odontologicas,pulpotomias,2006-02-01,13,13
MAPIRI,consultas odontologicas,pulpotomias,2006-02-01,24,24
MECAPACA,consultas odontologicas,pulpotomias,2006-02-01,98,98
MINEROS,consultas odontologicas,pulpotomias,2006-02-01,35,35
MIZQUE,consultas odontologicas,pulpotomias,2006-02-01,86,86
