municipality,group,variable,month,Periodoncias,TOTAL
PUCARA,consultas odontologicas,periodoncias,2006-01-01,2,2
PUCARANI,consultas odontologicas,periodoncias,2006-01-01,41,41
PUERTO ACOSTA,consultas odontologicas,periodoncias,2006-01-01,2,2
PUERTO CARABUCO,consultas odontologicas,periodoncias,2006-01-01,4,4
PUERTO QUIJARRO,consultas odontologicas,periodoncias,2006-01-01,1,1
PUERTO SUAREZ,consultas odontologicas,periodoncias,2006-01-01,20,20
PUERTO VILLARROEL,consultas odontologicas,periodoncias,2006-01-01,23,23
PUNA,consultas odontologicas,periodoncias,2006-01-01,16,16
PUNATA,consultas odontologicas,periodoncias,2006-01-01,75,75
QUILLACOLLO,consultas odontologicas,periodoncias,2006-01-01,40,40
QUIME,consultas odontologicas,periodoncias,2006-01-01,53,53
REYES,consultas odontologicas,periodoncias,2006-01-01,4,4
RIBERALTA,consultas odontologicas,periodoncias,2006-01-01,36,36
RURRENABAQUE,consultas odontologicas,periodoncias,2006-01-01,8,8
SACABA,consultas odontologicas,periodoncias,2006-01-01,164,164
SACABAMBA,consultas odontologicas,periodoncias,2006-01-01,10,10
SAIPINA,consultas odontologicas,periodoncias,2006-01-01,48,48
SAN BENITO,consultas odontologicas,periodoncias,2006-01-01,9,9
SAN BORJA,consultas odontologicas,periodoncias,2006-01-01,13,13
SAN IGNACIO,consultas odontologicas,periodoncias,2006-01-01,18,18
SAN IGNACIO DE VELASCO,consultas odontologicas,periodoncias,2006-01-01,4,4
SAN JUAN DE YAPACANI,consultas odontologicas,periodoncias,2006-01-01,11,11
SAN LORENZO(TJA),consultas odontologicas,periodoncias,2006-01-01,62,62
SAN PEDRO DE BUENA VISTA,consultas odontologicas,periodoncias,2006-01-01,1,1
SAN RAFAEL,consultas odontologicas,periodoncias,2006-01-01,12,12
SAN RAMON,consultas odontologicas,periodoncias,2006-01-01,4,4
SANTA CRUZ DE LA SIERRA,consultas odontologicas,periodoncias,2006-01-01,1458,1458
SANTA ROSA,consultas odontologicas,periodoncias,2006-01-01,3,3
SANTA ROSA DEL SARA,consultas odontologicas,periodoncias,2006-01-01,10,10
SANTIAGO DE HUARI,consultas odontologicas,periodoncias,2006-01-01,1,1
SENA,consultas odontologicas,periodoncias,2006-01-01,17,17
SICA SICA (VILLA AROMA),consultas odontologicas,periodoncias,2006-01-01,5,5
SIPE SIPE,consultas odontologicas,periodoncias,2006-01-01,42,42
SOPACHUY,consultas odontologicas,periodoncias,2006-01-01,4,4
SUCRE,consultas odontologicas,periodoncias,2006-01-01,231,231
TACOPAYA,consultas odontologicas,periodoncias,2006-01-01,36,36
TAPACARI,consultas odontologicas,periodoncias,2006-01-01,4,4
TARACO,consultas odontologicas,periodoncias,2006-01-01,1,1
TARIJA,consultas odontologicas,periodoncias,2006-01-01,218,218
TARVITA,consultas odontologicas,periodoncias,2006-01-01,102,102
TIPUANI,consultas odontologicas,periodoncias,2006-01-01,5,5
TIQUIPAYA,consultas odontologicas,periodoncias,2006-01-01,54,54
TIRAQUE (CBBA),consultas odontologicas,periodoncias,2006-01-01,51,51
TOLATA,consultas odontologicas,periodoncias,2006-01-01,3,3
TORO TORO,consultas odontologicas,periodoncias,2006-01-01,1,1
TOTORA(CBBA),consultas odontologicas,periodoncias,2006-01-01,11,11
TRINIDAD,consultas odontologicas,periodoncias,2006-01-01,16,16
TUPIZA,consultas odontologicas,periodoncias,2006-01-01,5,5
TURCO,consultas odontologicas,periodoncias,2006-01-01,4,4
UNCIA,consultas odontologicas,periodoncias,2006-01-01,15,15
URIONDO (A. CONCEPCION),consultas odontologicas,periodoncias,2006-01-01,30,30
UYUNI,consultas odontologicas,periodoncias,2006-01-01,9,9
VACAS,consultas odontologicas,periodoncias,2006-01-01,6,6
VIACHA,consultas odontologicas,periodoncias,2006-01-01,22,22
VILLA MONTES,consultas odontologicas,periodoncias,2006-01-01,17,17
VILLA RIVERO,consultas odontologicas,periodoncias,2006-01-01,9,9
VILLA SERRANO,consultas odontologicas,periodoncias,2006-01-01,4,4
VILLA TUNARI,consultas odontologicas,periodoncias,2006-01-01,33,33
VILLA VACA GUZMAN (MUYUPAMPA),consultas odontologicas,periodoncias,2006-01-01,2,2
VILLAZON,consultas odontologicas,periodoncias,2006-01-01,7,7
VINTO,consultas odontologicas,periodoncias,2006-01-01,15,15
WARNES,consultas odontologicas,periodoncias,2006-01-01,38,38
YACUIBA,consultas odontologicas,periodoncias,2006-01-01,84,84
YAMPARAEZ,consultas odontologicas,periodoncias,2006-01-01,1,1
YAPACANI,consultas odontologicas,periodoncias,2006-01-01,5,5
YOCALLA,consultas odontologicas,periodoncias,2006-01-01,3,3
YUNCHARA,consultas odontologicas,periodoncias,2006-01-01,3,3
ZUDAÑEZ,consultas odontologicas,periodoncias,2006-01-01,1,1
ACHACACHI,consultas odontologicas,periodoncias,2006-02-01,15,15
AIQUILE,consultas odontologicas,periodoncias,2006-02-01,237,237
ALCALA,consultas odontologicas,periodoncias,2006-02-01,24,24
ANCORAIMES,consultas odontologicas,periodoncias,2006-02-01,35,35
ARANI,consultas odontologicas,periodoncias,2006-02-01,11,11
AYO AYO,consultas odontologicas,periodoncias,2006-02-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),consultas odontologicas,periodoncias,2006-02-01,135,135
BATALLAS,consultas odontologicas,periodoncias,2006-02-01,19,19
BAURES,consultas odontologicas,periodoncias,2006-02-01,7,7
BERMEJO,consultas odontologicas,periodoncias,2006-02-01,102,102
BETANZOS,consultas odontologicas,periodoncias,2006-02-01,1,1
BOLIVAR,consultas odontologicas,periodoncias,2006-02-01,13,13
BOYUIBE,consultas odontologicas,periodoncias,2006-02-01,3,3
BUENA VISTA,consultas odontologicas,periodoncias,2006-02-01,6,6
"CAIZA ""D""",consultas odontologicas,periodoncias,2006-02-01,2,2
CAJUATA,consultas odontologicas,periodoncias,2006-02-01,2,2
CALAMARCA,consultas odontologicas,periodoncias,2006-02-01,1,1
CAMARGO,consultas odontologicas,periodoncias,2006-02-01,2,2
CAMATAQUI (C. VILLA ABECIA),consultas odontologicas,periodoncias,2006-02-01,1,1
CAMIRI,consultas odontologicas,periodoncias,2006-02-01,35,35
CAPINOTA,consultas odontologicas,periodoncias,2006-02-01,12,12
CARACOLLO,consultas odontologicas,periodoncias,2006-02-01,2,2
CARANAVI,consultas odontologicas,periodoncias,2006-02-01,50,50
CARIPUYO,consultas odontologicas,periodoncias,2006-02-01,122,122
CHALLAPATA,consultas odontologicas,periodoncias,2006-02-01,48,48
CHAYANTA,consultas odontologicas,periodoncias,2006-02-01,20,20
CHIMORE,consultas odontologicas,periodoncias,2006-02-01,9,9
CLIZA,consultas odontologicas,periodoncias,2006-02-01,3,3
COBIJA,consultas odontologicas,periodoncias,2006-02-01,6,6
COCHABAMBA,consultas odontologicas,periodoncias,2006-02-01,651,651
COLCAPIRHUA,consultas odontologicas,periodoncias,2006-02-01,7,7
"COLCHA ""K""",consultas odontologicas,periodoncias,2006-02-01,2,2
COLOMI,consultas odontologicas,periodoncias,2006-02-01,2,2
COLQUECHACA,consultas odontologicas,periodoncias,2006-02-01,188,188
COLQUIRI,consultas odontologicas,periodoncias,2006-02-01,15,15
COMARAPA,consultas odontologicas,periodoncias,2006-02-01,11,11
COPACABANA,consultas odontologicas,periodoncias,2006-02-01,7,7
CORIPATA,consultas odontologicas,periodoncias,2006-02-01,4,4
COROICO,consultas odontologicas,periodoncias,2006-02-01,9,9
COTAGAITA,consultas odontologicas,periodoncias,2006-02-01,22,22
COTOCA,consultas odontologicas,periodoncias,2006-02-01,10,10
CUEVO,consultas odontologicas,periodoncias,2006-02-01,2,2
CURAHUARA DE CARANGAS,consultas odontologicas,periodoncias,2006-02-01,2,2
CURVA,consultas odontologicas,periodoncias,2006-02-01,4,4
EL ALTO,consultas odontologicas,periodoncias,2006-02-01,374,374
EL PUENTE(TJA),consultas odontologicas,periodoncias,2006-02-01,3,3
EL TORNO,consultas odontologicas,periodoncias,2006-02-01,12,12
EL VILLAR,consultas odontologicas,periodoncias,2006-02-01,3,3
ENTRE RIOS,consultas odontologicas,periodoncias,2006-02-01,3,3
ENTRE RIOS,consultas odontologicas,periodoncias,2006-02-01,143,143
EUCALIPTUS,consultas odontologicas,periodoncias,2006-02-01,3,3
EXALTACION,consultas odontologicas,periodoncias,2006-02-01,3,3
FERNANDEZ ALONSO,consultas odontologicas,periodoncias,2006-02-01,14,14
GENERAL SAAVEDRA,consultas odontologicas,periodoncias,2006-02-01,4,4
GUANAY,consultas odontologicas,periodoncias,2006-02-01,27,27
GUAQUI,consultas odontologicas,periodoncias,2006-02-01,5,5
GUAYARAMERIN,consultas odontologicas,periodoncias,2006-02-01,38,38
GUTIERREZ,consultas odontologicas,periodoncias,2006-02-01,41,41
HUACHACALLA,consultas odontologicas,periodoncias,2006-02-01,3,3
HUANUNI,consultas odontologicas,periodoncias,2006-02-01,10,10
HUARACAJE,consultas odontologicas,periodoncias,2006-02-01,30,30
ICLA,consultas odontologicas,periodoncias,2006-02-01,72,72
INCAHUASI,consultas odontologicas,periodoncias,2006-02-01,3,3
INQUISIVI,consultas odontologicas,periodoncias,2006-02-01,2,2
IRUPANA (VILLA DE LANZA),consultas odontologicas,periodoncias,2006-02-01,9,9
JESUS DE MACHACA,consultas odontologicas,periodoncias,2006-02-01,64,64
LA ASUNTA,consultas odontologicas,periodoncias,2006-02-01,2,2
LA GUARDIA,consultas odontologicas,periodoncias,2006-02-01,122,122
LA PAZ,consultas odontologicas,periodoncias,2006-02-01,1193,1193
LAGUNILLAS,consultas odontologicas,periodoncias,2006-02-01,8,8
LLALLAGUA,consultas odontologicas,periodoncias,2006-02-01,16,16
MACHARETI,consultas odontologicas,periodoncias,2006-02-01,6,6
MAIRANA,consultas odontologicas,periodoncias,2006-02-01,17,17
MAPIRI,consultas odontologicas,periodoncias,2006-02-01,1,1
MECAPACA,consultas odontologicas,periodoncias,2006-02-01,1,1
MINEROS,consultas odontologicas,periodoncias,2006-02-01,4,4
MIZQUE,consultas odontologicas,periodoncias,2006-02-01,165,165
MOCOMOCO,consultas odontologicas,periodoncias,2006-02-01,2,2
MOJOCOYA,consultas odontologicas,periodoncias,2006-02-01,4,4
MONTERO,consultas odontologicas,periodoncias,2006-02-01,69,69
MOROCHATA,consultas odontologicas,periodoncias,2006-02-01,3,3
OKINAWA,consultas odontologicas,periodoncias,2006-02-01,35,35
OMEREQUE,consultas odontologicas,periodoncias,2006-02-01,13,13
ORURO,consultas odontologicas,periodoncias,2006-02-01,164,164
PADCAYA,consultas odontologicas,periodoncias,2006-02-01,28,28
PADILLA,consultas odontologicas,periodoncias,2006-02-01,15,15
PALCA,consultas odontologicas,periodoncias,2006-02-01,1,1
PAPEL PAMPA,consultas odontologicas,periodoncias,2006-02-01,2,2
PASORAPA,consultas odontologicas,periodoncias,2006-02-01,40,40
PAZÑA,consultas odontologicas,periodoncias,2006-02-01,7,7
POCONA,consultas odontologicas,periodoncias,2006-02-01,1,1
POJO (CBBA),consultas odontologicas,periodoncias,2006-02-01,2,2
POTOSI,consultas odontologicas,periodoncias,2006-02-01,35,35
PUCARA,consultas odontologicas,periodoncias,2006-02-01,3,3
PUCARANI,consultas odontologicas,periodoncias,2006-02-01,80,80
PUERTO ACOSTA,consultas odontologicas,periodoncias,2006-02-01,3,3
PUERTO CARABUCO,consultas odontologicas,periodoncias,2006-02-01,1,1
PUERTO QUIJARRO,consultas odontologicas,periodoncias,2006-02-01,2,2
PUERTO RICO,consultas odontologicas,periodoncias,2006-02-01,3,3
PUERTO SILES,consultas odontologicas,periodoncias,2006-02-01,1,1
PUERTO SUAREZ,consultas odontologicas,periodoncias,2006-02-01,109,109
PUERTO VILLARROEL,consultas odontologicas,periodoncias,2006-02-01,39,39
PUNA,consultas odontologicas,periodoncias,2006-02-01,66,66
PUNATA,consultas odontologicas,periodoncias,2006-02-01,412,412
QUILLACOLLO,consultas odontologicas,periodoncias,2006-02-01,21,21
QUIME,consultas odontologicas,periodoncias,2006-02-01,30,30
QUIRUSILLAS,consultas odontologicas,periodoncias,2006-02-01,3,3
REYES,consultas odontologicas,periodoncias,2006-02-01,8,8
RIBERALTA,consultas odontologicas,periodoncias,2006-02-01,41,41
ROBORE,consultas odontologicas,periodoncias,2006-02-01,25,25
RURRENABAQUE,consultas odontologicas,periodoncias,2006-02-01,8,8
SABAYA,consultas odontologicas,periodoncias,2006-02-01,7,7
SACABA,consultas odontologicas,periodoncias,2006-02-01,28,28
SAIPINA,consultas odontologicas,periodoncias,2006-02-01,53,53
SAN BENITO,consultas odontologicas,periodoncias,2006-02-01,12,12
SAN BORJA,consultas odontologicas,periodoncias,2006-02-01,25,25
SAN BUENA VENTURA,consultas odontologicas,periodoncias,2006-02-01,2,2
SAN CARLOS,consultas odontologicas,periodoncias,2006-02-01,18,18
SAN IGNACIO,consultas odontologicas,periodoncias,2006-02-01,15,15
SAN IGNACIO DE VELASCO,consultas odontologicas,periodoncias,2006-02-01,4,4
SAN JOAQUIN,consultas odontologicas,periodoncias,2006-02-01,1,1
SAN JUAN DE YAPACANI,consultas odontologicas,periodoncias,2006-02-01,2,2
SAN LORENZO(TJA),consultas odontologicas,periodoncias,2006-02-01,67,67
SAN PEDRO DE BUENA VISTA,consultas odontologicas,periodoncias,2006-02-01,2,2
SAN PEDRO(PND),consultas odontologicas,periodoncias,2006-02-01,2,2
SAN RAFAEL,consultas odontologicas,periodoncias,2006-02-01,25,25
SAN RAMON,consultas odontologicas,periodoncias,2006-02-01,2,2
SANTA ANA,consultas odontologicas,periodoncias,2006-02-01,13,13
SANTA CRUZ DE LA SIERRA,consultas odontologicas,periodoncias,2006-02-01,1289,1289
SANTA ROSA DEL SARA,consultas odontologicas,periodoncias,2006-02-01,2,2
SANTIAGO DE HUARI,consultas odontologicas,periodoncias,2006-02-01,4,4
SANTIVAÑES,consultas odontologicas,periodoncias,2006-02-01,3,3
SENA,consultas odontologicas,periodoncias,2006-02-01,6,6
SICA SICA (VILLA AROMA),consultas odontologicas,periodoncias,2006-02-01,13,13
SIPE SIPE,consultas odontologicas,periodoncias,2006-02-01,34,34
SORATA,consultas odontologicas,periodoncias,2006-02-01,1,1
SUCRE,consultas odontologicas,periodoncias,2006-02-01,248,248
TACACOMA,consultas odontologicas,periodoncias,2006-02-01,6,6
TACOPAYA,consultas odontologicas,periodoncias,2006-02-01,2,2
TARATA,consultas odontologicas,periodoncias,2006-02-01,28,28
TARIJA,consultas odontologicas,periodoncias,2006-02-01,164,164
TARVITA,consultas odontologicas,periodoncias,2006-02-01,2,2
TEOPONTE,consultas odontologicas,periodoncias,2006-02-01,4,4
TIPUANI,consultas odontologicas,periodoncias,2006-02-01,3,3
TIQUIPAYA,consultas odontologicas,periodoncias,2006-02-01,31,31
TIRAQUE (CBBA),consultas odontologicas,periodoncias,2006-02-01,20,20
TOLATA,consultas odontologicas,periodoncias,2006-02-01,6,6
TORO TORO,consultas odontologicas,periodoncias,2006-02-01,3,3
TOTORA(CBBA),consultas odontologicas,periodoncias,2006-02-01,16,16
TRINIDAD,consultas odontologicas,periodoncias,2006-02-01,52,52
TUPIZA,consultas odontologicas,periodoncias,2006-02-01,5,5
UNCIA,consultas odontologicas,periodoncias,2006-02-01,53,53
URIONDO (A. CONCEPCION),consultas odontologicas,periodoncias,2006-02-01,1,1
UYUNI,consultas odontologicas,periodoncias,2006-02-01,6,6
VACAS,consultas odontologicas,periodoncias,2006-02-01,8,8
VIACHA,consultas odontologicas,periodoncias,2006-02-01,26,26
VILA VILA,consultas odontologicas,periodoncias,2006-02-01,7,7
VILLA MONTES,consultas odontologicas,periodoncias,2006-02-01,6,6
VILLA RIVERO,consultas odontologicas,periodoncias,2006-02-01,13,13
VILLA SERRANO,consultas odontologicas,periodoncias,2006-02-01,4,4
VILLA TUNARI,consultas odontologicas,periodoncias,2006-02-01,96,96
VILLA VACA GUZMAN (MUYUPAMPA),consultas odontologicas,periodoncias,2006-02-01,3,3
VILLAZON,consultas odontologicas,periodoncias,2006-02-01,15,15
VINTO,consultas odontologicas,periodoncias,2006-02-01,13,13
WARNES,consultas odontologicas,periodoncias,2006-02-01,88,88
YACUIBA,consultas odontologicas,periodoncias,2006-02-01,30,30
YAMPARAEZ,consultas odontologicas,periodoncias,2006-02-01,13,13
YAPACANI,consultas odontologicas,periodoncias,2006-02-01,1,1
YOCALLA,consultas odontologicas,periodoncias,2006-02-01,7,7
YUNCHARA,consultas odontologicas,periodoncias,2006-02-01,43,43
ACHACACHI,consultas odontologicas,periodoncias,2006-03-01,3,3
AIQUILE,consultas odontologicas,periodoncias,2006-03-01,239,239
ALCALA,consultas odontologicas,periodoncias,2006-03-01,27,27
ANCORAIMES,consultas odontologicas,periodoncias,2006-03-01,17,17
ANDAMARCA,consultas odontologicas,periodoncias,2006-03-01,1,1
ARAMPAMPA,consultas odontologicas,periodoncias,2006-03-01,4,4
ARANI,consultas odontologicas,periodoncias,2006-03-01,8,8
ARBIETO,consultas odontologicas,periodoncias,2006-03-01,20,20
ARQUE,consultas odontologicas,periodoncias,2006-03-01,7,7
AYOPAYA (V. DE INDEPENDENCIA),consultas odontologicas,periodoncias,2006-03-01,210,210
BATALLAS,consultas odontologicas,periodoncias,2006-03-01,18,18
BERMEJO,consultas odontologicas,periodoncias,2006-03-01,94,94
BETANZOS,consultas odontologicas,periodoncias,2006-03-01,15,15
BOLIVAR,consultas odontologicas,periodoncias,2006-03-01,8,8
BOYUIBE,consultas odontologicas,periodoncias,2006-03-01,2,2
BUENA VISTA,consultas odontologicas,periodoncias,2006-03-01,2,2
CABEZAS,consultas odontologicas,periodoncias,2006-03-01,5,5
CAIROMA,consultas odontologicas,periodoncias,2006-03-01,2,2
"CAIZA ""D""",consultas odontologicas,periodoncias,2006-03-01,2,2
CALACOTO,consultas odontologicas,periodoncias,2006-03-01,4,4
CALAMARCA,consultas odontologicas,periodoncias,2006-03-01,2,2
CAMARGO,consultas odontologicas,periodoncias,2006-03-01,4,4
CAMATAQUI (C. VILLA ABECIA),consultas odontologicas,periodoncias,2006-03-01,1,1
CAMIRI,consultas odontologicas,periodoncias,2006-03-01,56,56
CAPINOTA,consultas odontologicas,periodoncias,2006-03-01,11,11
CARACOLLO,consultas odontologicas,periodoncias,2006-03-01,1,1
CARANAVI,consultas odontologicas,periodoncias,2006-03-01,11,11
CARIPUYO,consultas odontologicas,periodoncias,2006-03-01,124,124
CHALLAPATA,consultas odontologicas,periodoncias,2006-03-01,7,7
CHIMORE,consultas odontologicas,periodoncias,2006-03-01,48,48
CLIZA,consultas odontologicas,periodoncias,2006-03-01,16,16
COBIJA,consultas odontologicas,periodoncias,2006-03-01,4,4
COCHABAMBA,consultas odontologicas,periodoncias,2006-03-01,812,812
COLCAPIRHUA,consultas odontologicas,periodoncias,2006-03-01,15,15
COLOMI,consultas odontologicas,periodoncias,2006-03-01,3,3
COLPA BELGICA,consultas odontologicas,periodoncias,2006-03-01,3,3
COLQUENCHA,consultas odontologicas,periodoncias,2006-03-01,1,1
COLQUIRI,consultas odontologicas,periodoncias,2006-03-01,35,35
COMANCHE,consultas odontologicas,periodoncias,2006-03-01,25,25
COMARAPA,consultas odontologicas,periodoncias,2006-03-01,56,56
COPACABANA,consultas odontologicas,periodoncias,2006-03-01,6,6
CORIPATA,consultas odontologicas,periodoncias,2006-03-01,3,3
COROICO,consultas odontologicas,periodoncias,2006-03-01,6,6
COTAGAITA,consultas odontologicas,periodoncias,2006-03-01,15,15
COTOCA,consultas odontologicas,periodoncias,2006-03-01,14,14
CUEVO,consultas odontologicas,periodoncias,2006-03-01,1,1
CULPINA,consultas odontologicas,periodoncias,2006-03-01,1,1
CURAHUARA DE CARANGAS,consultas odontologicas,periodoncias,2006-03-01,1,1
DESAGUADERO,consultas odontologicas,periodoncias,2006-03-01,1,1
EL ALTO,consultas odontologicas,periodoncias,2006-03-01,491,491
EL TORNO,consultas odontologicas,periodoncias,2006-03-01,2,2
EL VILLAR,consultas odontologicas,periodoncias,2006-03-01,2,2
ENTRE RIOS,consultas odontologicas,periodoncias,2006-03-01,119,119
ENTRE RIOS,consultas odontologicas,periodoncias,2006-03-01,4,4
EUCALIPTUS,consultas odontologicas,periodoncias,2006-03-01,10,10
FERNANDEZ ALONSO,consultas odontologicas,periodoncias,2006-03-01,12,12
FILADELFIA,consultas odontologicas,periodoncias,2006-03-01,1,1
GENERAL SAAVEDRA,consultas odontologicas,periodoncias,2006-03-01,5,5
GUANAY,consultas odontologicas,periodoncias,2006-03-01,23,23
GUAQUI,consultas odontologicas,periodoncias,2006-03-01,2,2
GUAYARAMERIN,consultas odontologicas,periodoncias,2006-03-01,89,89
GUTIERREZ,consultas odontologicas,periodoncias,2006-03-01,2,2
HUACHACALLA,consultas odontologicas,periodoncias,2006-03-01,2,2
HUANUNI,consultas odontologicas,periodoncias,2006-03-01,22,22
HUARACAJE,consultas odontologicas,periodoncias,2006-03-01,31,31
HUAYLLAMARCA,consultas odontologicas,periodoncias,2006-03-01,1,1
ICLA,consultas odontologicas,periodoncias,2006-03-01,54,54
INQUISIVI,consultas odontologicas,periodoncias,2006-03-01,8,8
IRUPANA (VILLA DE LANZA),consultas odontologicas,periodoncias,2006-03-01,2,2
