municipality,group,variable,month,Acciones preventivas,TOTAL
CURVA,consultas odontologicas,acciones preventivas,2006-01-01,5,5
DESAGUADERO,consultas odontologicas,acciones preventivas,2006-01-01,3,3
EL ALTO,consultas odontologicas,acciones preventivas,2006-01-01,4005,4005
EL PUENTE(TJA),consultas odontologicas,acciones preventivas,2006-01-01,5,5
EL TORNO,consultas odontologicas,acciones preventivas,2006-01-01,14,14
EL VILLAR,consultas odontologicas,acciones preventivas,2006-01-01,3,3
ENTRE RIOS,consultas odontologicas,acciones preventivas,2006-01-01,21,21
ENTRE RIOS,consultas odontologicas,acciones preventivas,2006-01-01,103,103
EUCALIPTUS,consultas odontologicas,acciones preventivas,2006-01-01,3,3
FILADELFIA,consultas odontologicas,acciones preventivas,2006-01-01,44,44
GRAL. J.J. PEREZ (CHARAZANI),consultas odontologicas,acciones preventivas,2006-01-01,163,163
GUANAY,consultas odontologicas,acciones preventivas,2006-01-01,16,16
GUAYARAMERIN,consultas odontologicas,acciones preventivas,2006-01-01,425,425
GUTIERREZ,consultas odontologicas,acciones preventivas,2006-01-01,36,36
HUACARETA,consultas odontologicas,acciones preventivas,2006-01-01,61,61
HUACHACALLA,consultas odontologicas,acciones preventivas,2006-01-01,1,1
HUANUNI,consultas odontologicas,acciones preventivas,2006-01-01,165,165
HUARACAJE,consultas odontologicas,acciones preventivas,2006-01-01,29,29
ICHOCA,consultas odontologicas,acciones preventivas,2006-01-01,18,18
ICLA,consultas odontologicas,acciones preventivas,2006-01-01,289,289
INCAHUASI,consultas odontologicas,acciones preventivas,2006-01-01,267,267
IRUPANA (VILLA DE LANZA),consultas odontologicas,acciones preventivas,2006-01-01,82,82
IXIAMAS,consultas odontologicas,acciones preventivas,2006-01-01,18,18
JESUS DE MACHACA,consultas odontologicas,acciones preventivas,2006-01-01,49,49
LA GUARDIA,consultas odontologicas,acciones preventivas,2006-01-01,233,233
LA PAZ,consultas odontologicas,acciones preventivas,2006-01-01,1766,1766
LAGUNILLAS,consultas odontologicas,acciones preventivas,2006-01-01,6,6
LAJA,consultas odontologicas,acciones preventivas,2006-01-01,5,5
LICOMA PAMPA,consultas odontologicas,acciones preventivas,2006-01-01,62,62
LLALLAGUA,consultas odontologicas,acciones preventivas,2006-01-01,13,13
LLICA,consultas odontologicas,acciones preventivas,2006-01-01,14,14
MACHACAMARCA,consultas odontologicas,acciones preventivas,2006-01-01,29,29
MACHARETI,consultas odontologicas,acciones preventivas,2006-01-01,58,58
MAGDALENA,consultas odontologicas,acciones preventivas,2006-01-01,27,27
MAIRANA,consultas odontologicas,acciones preventivas,2006-01-01,3,3
MAPIRI,consultas odontologicas,acciones preventivas,2006-01-01,9,9
MECAPACA,consultas odontologicas,acciones preventivas,2006-01-01,36,36
MINEROS,consultas odontologicas,acciones preventivas,2006-01-01,7,7
MIZQUE,consultas odontologicas,acciones preventivas,2006-01-01,123,123
MOCOMOCO,consultas odontologicas,acciones preventivas,2006-01-01,55,55
MOJOCOYA,consultas odontologicas,acciones preventivas,2006-01-01,66,66
MONTEAGUDO,consultas odontologicas,acciones preventivas,2006-01-01,54,54
MONTERO,consultas odontologicas,acciones preventivas,2006-01-01,131,131
MORO MORO,consultas odontologicas,acciones preventivas,2006-01-01,31,31
MOROCHATA,consultas odontologicas,acciones preventivas,2006-01-01,32,32
NACEBE (SANTA ROSA DEL ABUNA),consultas odontologicas,acciones preventivas,2006-01-01,30,30
OCURI,consultas odontologicas,acciones preventivas,2006-01-01,126,126
OKINAWA,consultas odontologicas,acciones preventivas,2006-01-01,11,11
OMEREQUE,consultas odontologicas,acciones preventivas,2006-01-01,26,26
ORURO,consultas odontologicas,acciones preventivas,2006-01-01,1539,1539
PADCAYA,consultas odontologicas,acciones preventivas,2006-01-01,145,145
PADILLA,consultas odontologicas,acciones preventivas,2006-01-01,117,117
PALOS BLANCOS,consultas odontologicas,acciones preventivas,2006-01-01,11,11
PATACAMAYA,consultas odontologicas,acciones preventivas,2006-01-01,22,22
PAZÑA,consultas odontologicas,acciones preventivas,2006-01-01,11,11
POCOATA,consultas odontologicas,acciones preventivas,2006-01-01,108,108
POJO (CBBA),consultas odontologicas,acciones preventivas,2006-01-01,6,6
POOPO,consultas odontologicas,acciones preventivas,2006-01-01,12,12
PORCO,consultas odontologicas,acciones preventivas,2006-01-01,5,5
PORONGO,consultas odontologicas,acciones preventivas,2006-01-01,168,168
PORTACHUELO,consultas odontologicas,acciones preventivas,2006-01-01,138,138
PORVENIR,consultas odontologicas,acciones preventivas,2006-01-01,7,7
POTOSI,consultas odontologicas,acciones preventivas,2006-01-01,531,531
PRESTO,consultas odontologicas,acciones preventivas,2006-01-01,180,180
PUCARA,consultas odontologicas,acciones preventivas,2006-01-01,2,2
PUCARANI,consultas odontologicas,acciones preventivas,2006-01-01,21,21
PUERTO ACOSTA,consultas odontologicas,acciones preventivas,2006-01-01,22,22
PUERTO CARABUCO,consultas odontologicas,acciones preventivas,2006-01-01,161,161
PUERTO PEREZ,consultas odontologicas,acciones preventivas,2006-01-01,102,102
PUERTO QUIJARRO,consultas odontologicas,acciones preventivas,2006-01-01,8,8
PUERTO RICO,consultas odontologicas,acciones preventivas,2006-01-01,20,20
PUERTO SUAREZ,consultas odontologicas,acciones preventivas,2006-01-01,49,49
PUERTO VILLARROEL,consultas odontologicas,acciones preventivas,2006-01-01,58,58
PUNA,consultas odontologicas,acciones preventivas,2006-01-01,155,155
PUNATA,consultas odontologicas,acciones preventivas,2006-01-01,519,519
QUILLACOLLO,consultas odontologicas,acciones preventivas,2006-01-01,258,258
QUIME,consultas odontologicas,acciones preventivas,2006-01-01,225,225
QUIRUSILLAS,consultas odontologicas,acciones preventivas,2006-01-01,4,4
REYES,consultas odontologicas,acciones preventivas,2006-01-01,15,15
RIBERALTA,consultas odontologicas,acciones preventivas,2006-01-01,37,37
RURRENABAQUE,consultas odontologicas,acciones preventivas,2006-01-01,8,8
SACABA,consultas odontologicas,acciones preventivas,2006-01-01,364,364
SACABAMBA,consultas odontologicas,acciones preventivas,2006-01-01,11,11
SAIPINA,consultas odontologicas,acciones preventivas,2006-01-01,94,94
SALINAS DE GARCI MENDOZA,consultas odontologicas,acciones preventivas,2006-01-01,6,6
SAN ANDRES,consultas odontologicas,acciones preventivas,2006-01-01,14,14
SAN ANDRES DE MACHACA,consultas odontologicas,acciones preventivas,2006-01-01,22,22
SAN BENITO,consultas odontologicas,acciones preventivas,2006-01-01,10,10
SAN BORJA,consultas odontologicas,acciones preventivas,2006-01-01,9,9
SAN BUENA VENTURA,consultas odontologicas,acciones preventivas,2006-01-01,48,48
SAN CARLOS,consultas odontologicas,acciones preventivas,2006-01-01,2,2
SAN IGNACIO,consultas odontologicas,acciones preventivas,2006-01-01,109,109
SAN IGNACIO DE VELASCO,consultas odontologicas,acciones preventivas,2006-01-01,661,661
SAN JOAQUIN,consultas odontologicas,acciones preventivas,2006-01-01,13,13
SAN JUAN DE YAPACANI,consultas odontologicas,acciones preventivas,2006-01-01,21,21
SAN LORENZO(PND),consultas odontologicas,acciones preventivas,2006-01-01,1,1
SAN LORENZO(TJA),consultas odontologicas,acciones preventivas,2006-01-01,322,322
SAN LUCAS,consultas odontologicas,acciones preventivas,2006-01-01,13,13
SAN MATIAS,consultas odontologicas,acciones preventivas,2006-01-01,14,14
SAN PABLO DE LIPEZ,consultas odontologicas,acciones preventivas,2006-01-01,2,2
SAN PEDRO,consultas odontologicas,acciones preventivas,2006-01-01,11,11
SAN PEDRO DE BUENA VISTA,consultas odontologicas,acciones preventivas,2006-01-01,18,18
SAN PEDRO DE TIQUINA,consultas odontologicas,acciones preventivas,2006-01-01,13,13
SAN RAFAEL,consultas odontologicas,acciones preventivas,2006-01-01,110,110
SAN RAMON,consultas odontologicas,acciones preventivas,2006-01-01,50,50
SANTA ANA,consultas odontologicas,acciones preventivas,2006-01-01,3,3
SANTA CRUZ DE LA SIERRA,consultas odontologicas,acciones preventivas,2006-01-01,2875,2875
SANTA ROSA,consultas odontologicas,acciones preventivas,2006-01-01,60,60
SANTA ROSA DEL SARA,consultas odontologicas,acciones preventivas,2006-01-01,103,103
SANTIAGO DE HUARI,consultas odontologicas,acciones preventivas,2006-01-01,73,73
SANTIAGO DE MACHACA,consultas odontologicas,acciones preventivas,2006-01-01,3,3
SANTIVAÑES,consultas odontologicas,acciones preventivas,2006-01-01,1,1
SANTUARIO DE QUILLACAS,consultas odontologicas,acciones preventivas,2006-01-01,12,12
SAPAHAQUI,consultas odontologicas,acciones preventivas,2006-01-01,168,168
SENA,consultas odontologicas,acciones preventivas,2006-01-01,157,157
SICA SICA (VILLA AROMA),consultas odontologicas,acciones preventivas,2006-01-01,277,277
SIPE SIPE,consultas odontologicas,acciones preventivas,2006-01-01,64,64
SOPACHUY,consultas odontologicas,acciones preventivas,2006-01-01,132,132
SORACACHI,consultas odontologicas,acciones preventivas,2006-01-01,7,7
SORATA,consultas odontologicas,acciones preventivas,2006-01-01,90,90
SUCRE,consultas odontologicas,acciones preventivas,2006-01-01,567,567
TACACOMA,consultas odontologicas,acciones preventivas,2006-01-01,7,7
TACOPAYA,consultas odontologicas,acciones preventivas,2006-01-01,96,96
TAPACARI,consultas odontologicas,acciones preventivas,2006-01-01,58,58
TARABUCO,consultas odontologicas,acciones preventivas,2006-01-01,189,189
TARACO,consultas odontologicas,acciones preventivas,2006-01-01,12,12
TARATA,consultas odontologicas,acciones preventivas,2006-01-01,22,22
TARIJA,consultas odontologicas,acciones preventivas,2006-01-01,389,389
TARVITA,consultas odontologicas,acciones preventivas,2006-01-01,156,156
TIAWANACU,consultas odontologicas,acciones preventivas,2006-01-01,2,2
TIPUANI,consultas odontologicas,acciones preventivas,2006-01-01,43,43
TIQUIPAYA,consultas odontologicas,acciones preventivas,2006-01-01,146,146
TIRAQUE (CBBA),consultas odontologicas,acciones preventivas,2006-01-01,159,159
TOCO,consultas odontologicas,acciones preventivas,2006-01-01,4,4
TOLEDO,consultas odontologicas,acciones preventivas,2006-01-01,36,36
TOMINA,consultas odontologicas,acciones preventivas,2006-01-01,226,226
TORO TORO,consultas odontologicas,acciones preventivas,2006-01-01,3,3
TOTORA(CBBA),consultas odontologicas,acciones preventivas,2006-01-01,27,27
TRINIDAD,consultas odontologicas,acciones preventivas,2006-01-01,219,219
TUPIZA,consultas odontologicas,acciones preventivas,2006-01-01,3,3
TURCO,consultas odontologicas,acciones preventivas,2006-01-01,17,17
URIONDO (A. CONCEPCION),consultas odontologicas,acciones preventivas,2006-01-01,118,118
UYUNI,consultas odontologicas,acciones preventivas,2006-01-01,1,1
VACAS,consultas odontologicas,acciones preventivas,2006-01-01,2,2
VALLEGRANDE,consultas odontologicas,acciones preventivas,2006-01-01,86,86
VIACHA,consultas odontologicas,acciones preventivas,2006-01-01,517,517
VILLA MONTES,consultas odontologicas,acciones preventivas,2006-01-01,27,27
VILLA RIVERO,consultas odontologicas,acciones preventivas,2006-01-01,90,90
VILLA SERRANO,consultas odontologicas,acciones preventivas,2006-01-01,21,21
VILLA TUNARI,consultas odontologicas,acciones preventivas,2006-01-01,238,238
VILLA VACA GUZMAN (MUYUPAMPA),consultas odontologicas,acciones preventivas,2006-01-01,210,210
VILLAZON,consultas odontologicas,acciones preventivas,2006-01-01,41,41
VINTO,consultas odontologicas,acciones preventivas,2006-01-01,50,50
WARNES,consultas odontologicas,acciones preventivas,2006-01-01,64,64
YACUIBA,consultas odontologicas,acciones preventivas,2006-01-01,164,164
YAMPARAEZ,consultas odontologicas,acciones preventivas,2006-01-01,176,176
YANACACHI,consultas odontologicas,acciones preventivas,2006-01-01,6,6
YOTALA,consultas odontologicas,acciones preventivas,2006-01-01,142,142
YUNCHARA,consultas odontologicas,acciones preventivas,2006-01-01,8,8
ZUDAÑEZ,consultas odontologicas,acciones preventivas,2006-01-01,91,91
ACHACACHI,consultas odontologicas,acciones preventivas,2006-02-01,1211,1211
AIQUILE,consultas odontologicas,acciones preventivas,2006-02-01,142,142
ALALAY,consultas odontologicas,acciones preventivas,2006-02-01,4,4
ALCALA,consultas odontologicas,acciones preventivas,2006-02-01,267,267
ANCORAIMES,consultas odontologicas,acciones preventivas,2006-02-01,45,45
APOLO,consultas odontologicas,acciones preventivas,2006-02-01,316,316
ARANI,consultas odontologicas,acciones preventivas,2006-02-01,262,262
ARBIETO,consultas odontologicas,acciones preventivas,2006-02-01,17,17
AUCAPATA,consultas odontologicas,acciones preventivas,2006-02-01,24,24
AYO AYO,consultas odontologicas,acciones preventivas,2006-02-01,55,55
AYOPAYA (V. DE INDEPENDENCIA),consultas odontologicas,acciones preventivas,2006-02-01,96,96
AZURDUY,consultas odontologicas,acciones preventivas,2006-02-01,447,447
BATALLAS,consultas odontologicas,acciones preventivas,2006-02-01,16,16
BAURES,consultas odontologicas,acciones preventivas,2006-02-01,5,5
BELEN DE ANDAMARCA,consultas odontologicas,acciones preventivas,2006-02-01,9,9
BELLA FLOR,consultas odontologicas,acciones preventivas,2006-02-01,53,53
BERMEJO,consultas odontologicas,acciones preventivas,2006-02-01,282,282
BETANZOS,consultas odontologicas,acciones preventivas,2006-02-01,8,8
BOLIVAR,consultas odontologicas,acciones preventivas,2006-02-01,33,33
BOYUIBE,consultas odontologicas,acciones preventivas,2006-02-01,7,7
BUENA VISTA,consultas odontologicas,acciones preventivas,2006-02-01,10,10
CABEZAS,consultas odontologicas,acciones preventivas,2006-02-01,52,52
CAIROMA,consultas odontologicas,acciones preventivas,2006-02-01,20,20
"CAIZA ""D""",consultas odontologicas,acciones preventivas,2006-02-01,94,94
CAJUATA,consultas odontologicas,acciones preventivas,2006-02-01,89,89
CALAMARCA,consultas odontologicas,acciones preventivas,2006-02-01,127,127
CAMARGO,consultas odontologicas,acciones preventivas,2006-02-01,243,243
CAMATAQUI (C. VILLA ABECIA),consultas odontologicas,acciones preventivas,2006-02-01,9,9
CAMIRI,consultas odontologicas,acciones preventivas,2006-02-01,329,329
CAPINOTA,consultas odontologicas,acciones preventivas,2006-02-01,4,4
CAQUIAVIRI,consultas odontologicas,acciones preventivas,2006-02-01,10,10
CARACOLLO,consultas odontologicas,acciones preventivas,2006-02-01,4,4
CARANAVI,consultas odontologicas,acciones preventivas,2006-02-01,209,209
CARAPARI,consultas odontologicas,acciones preventivas,2006-02-01,75,75
CARIPUYO,consultas odontologicas,acciones preventivas,2006-02-01,122,122
CARMEN RIVERO TORREZ,consultas odontologicas,acciones preventivas,2006-02-01,31,31
CATACORA,consultas odontologicas,acciones preventivas,2006-02-01,11,11
CHACARILLA,consultas odontologicas,acciones preventivas,2006-02-01,49,49
CHALLAPATA,consultas odontologicas,acciones preventivas,2006-02-01,168,168
CHAYANTA,consultas odontologicas,acciones preventivas,2006-02-01,80,80
CHIMORE,consultas odontologicas,acciones preventivas,2006-02-01,42,42
CHULUMANI (V. DE LA LIBERTAD),consultas odontologicas,acciones preventivas,2006-02-01,90,90
CLIZA,consultas odontologicas,acciones preventivas,2006-02-01,15,15
COBIJA,consultas odontologicas,acciones preventivas,2006-02-01,189,189
COCHABAMBA,consultas odontologicas,acciones preventivas,2006-02-01,5040,5040
COLCAPIRHUA,consultas odontologicas,acciones preventivas,2006-02-01,8,8
"COLCHA ""K""",consultas odontologicas,acciones preventivas,2006-02-01,34,34
COLOMI,consultas odontologicas,acciones preventivas,2006-02-01,3220,3220
COLPA BELGICA,consultas odontologicas,acciones preventivas,2006-02-01,1154,1154
COLQUECHACA,consultas odontologicas,acciones preventivas,2006-02-01,373,373
COLQUIRI,consultas odontologicas,acciones preventivas,2006-02-01,432,432
COMARAPA,consultas odontologicas,acciones preventivas,2006-02-01,168,168
COPACABANA,consultas odontologicas,acciones preventivas,2006-02-01,321,321
CORIPATA,consultas odontologicas,acciones preventivas,2006-02-01,19,19
CORO CORO,consultas odontologicas,acciones preventivas,2006-02-01,2,2
COROICO,consultas odontologicas,acciones preventivas,2006-02-01,38,38
CORQUE,consultas odontologicas,acciones preventivas,2006-02-01,50,50
COTAGAITA,consultas odontologicas,acciones preventivas,2006-02-01,291,291
COTOCA,consultas odontologicas,acciones preventivas,2006-02-01,59,59
CULPINA,consultas odontologicas,acciones preventivas,2006-02-01,46,46
CURAHUARA DE CARANGAS,consultas odontologicas,acciones preventivas,2006-02-01,65,65
CURVA,consultas odontologicas,acciones preventivas,2006-02-01,64,64
DESAGUADERO,consultas odontologicas,acciones preventivas,2006-02-01,1,1
EL ALTO,consultas odontologicas,acciones preventivas,2006-02-01,3096,3096
EL TORNO,consultas odontologicas,acciones preventivas,2006-02-01,90,90
EL VILLAR,consultas odontologicas,acciones preventivas,2006-02-01,129,129
ENTRE RIOS,consultas odontologicas,acciones preventivas,2006-02-01,63,63
ENTRE RIOS,consultas odontologicas,acciones preventivas,2006-02-01,161,161
EUCALIPTUS,consultas odontologicas,acciones preventivas,2006-02-01,24,24
EXALTACION,consultas odontologicas,acciones preventivas,2006-02-01,155,155
GRAL. J.J. PEREZ (CHARAZANI),consultas odontologicas,acciones preventivas,2006-02-01,134,134
GUANAY,consultas odontologicas,acciones preventivas,2006-02-01,24,24
GUAYARAMERIN,consultas odontologicas,acciones preventivas,2006-02-01,282,282
GUTIERREZ,consultas odontologicas,acciones preventivas,2006-02-01,58,58
HUACARETA,consultas odontologicas,acciones preventivas,2006-02-01,118,118
HUACHACALLA,consultas odontologicas,acciones preventivas,2006-02-01,2,2
HUANUNI,consultas odontologicas,acciones preventivas,2006-02-01,12,12
HUARACAJE,consultas odontologicas,acciones preventivas,2006-02-01,25,25
ICHOCA,consultas odontologicas,acciones preventivas,2006-02-01,42,42
ICLA,consultas odontologicas,acciones preventivas,2006-02-01,413,413
INCAHUASI,consultas odontologicas,acciones preventivas,2006-02-01,1418,1418
INGAVI (HUMAITA),consultas odontologicas,acciones preventivas,2006-02-01,27,27
IRUPANA (VILLA DE LANZA),consultas odontologicas,acciones preventivas,2006-02-01,64,64
IXIAMAS,consultas odontologicas,acciones preventivas,2006-02-01,37,37
JESUS DE MACHACA,consultas odontologicas,acciones preventivas,2006-02-01,89,89
LA ASUNTA,consultas odontologicas,acciones preventivas,2006-02-01,30,30
LA GUARDIA,consultas odontologicas,acciones preventivas,2006-02-01,22,22
LA PAZ,consultas odontologicas,acciones preventivas,2006-02-01,1649,1649
LAGUNILLAS,consultas odontologicas,acciones preventivas,2006-02-01,141,141
LAJA,consultas odontologicas,acciones preventivas,2006-02-01,6,6
LICOMA PAMPA,consultas odontologicas,acciones preventivas,2006-02-01,3,3
LLALLAGUA,consultas odontologicas,acciones preventivas,2006-02-01,40,40
LLICA,consultas odontologicas,acciones preventivas,2006-02-01,1,1
LURIBAY,consultas odontologicas,acciones preventivas,2006-02-01,47,47
MACHACAMARCA,consultas odontologicas,acciones preventivas,2006-02-01,25,25
MACHARETI,consultas odontologicas,acciones preventivas,2006-02-01,122,122
MAGDALENA,consultas odontologicas,acciones preventivas,2006-02-01,2,2
MAPIRI,consultas odontologicas,acciones preventivas,2006-02-01,8,8
MECAPACA,consultas odontologicas,acciones preventivas,2006-02-01,121,121
MINEROS,consultas odontologicas,acciones preventivas,2006-02-01,14,14
MIZQUE,consultas odontologicas,acciones preventivas,2006-02-01,215,215
MOCOMOCO,consultas odontologicas,acciones preventivas,2006-02-01,183,183
MOJOCOYA,consultas odontologicas,acciones preventivas,2006-02-01,58,58
MONTEAGUDO,consultas odontologicas,acciones preventivas,2006-02-01,257,257
MONTERO,consultas odontologicas,acciones preventivas,2006-02-01,52,52
MORO MORO,consultas odontologicas,acciones preventivas,2006-02-01,72,72
MOROCHATA,consultas odontologicas,acciones preventivas,2006-02-01,131,131
NACEBE (SANTA ROSA DEL ABUNA),consultas odontologicas,acciones preventivas,2006-02-01,32,32
OCURI,consultas odontologicas,acciones preventivas,2006-02-01,140,140
OKINAWA,consultas odontologicas,acciones preventivas,2006-02-01,35,35
OMEREQUE,consultas odontologicas,acciones preventivas,2006-02-01,76,76
ORURO,consultas odontologicas,acciones preventivas,2006-02-01,1452,1452
PADCAYA,consultas odontologicas,acciones preventivas,2006-02-01,203,203
PADILLA,consultas odontologicas,acciones preventivas,2006-02-01,104,104
PALCA,consultas odontologicas,acciones preventivas,2006-02-01,4,4
PALOS BLANCOS,consultas odontologicas,acciones preventivas,2006-02-01,29,29
PAMPA AULLAGAS,consultas odontologicas,acciones preventivas,2006-02-01,4,4
PASORAPA,consultas odontologicas,acciones preventivas,2006-02-01,31,31
PATACAMAYA,consultas odontologicas,acciones preventivas,2006-02-01,201,201
PAZÑA,consultas odontologicas,acciones preventivas,2006-02-01,7,7
PELECHUCO,consultas odontologicas,acciones preventivas,2006-02-01,81,81
POCONA,consultas odontologicas,acciones preventivas,2006-02-01,27,27
POJO (CBBA),consultas odontologicas,acciones preventivas,2006-02-01,8,8
POOPO,consultas odontologicas,acciones preventivas,2006-02-01,16,16
PORCO,consultas odontologicas,acciones preventivas,2006-02-01,13,13
POROMA,consultas odontologicas,acciones preventivas,2006-02-01,42,42
PORONGO,consultas odontologicas,acciones preventivas,2006-02-01,452,452
PORTACHUELO,consultas odontologicas,acciones preventivas,2006-02-01,91,91
PORVENIR,consultas odontologicas,acciones preventivas,2006-02-01,37,37
POSTRER VALLE,consultas odontologicas,acciones preventivas,2006-02-01,1,1
POTOSI,consultas odontologicas,acciones preventivas,2006-02-01,455,455
PRESTO,consultas odontologicas,acciones preventivas,2006-02-01,422,422
PUCARA,consultas odontologicas,acciones preventivas,2006-02-01,37,37
PUCARANI,consultas odontologicas,acciones preventivas,2006-02-01,738,738
PUERTO ACOSTA,consultas odontologicas,acciones preventivas,2006-02-01,12,12
PUERTO GONZALO MORENO,consultas odontologicas,acciones preventivas,2006-02-01,5,5
PUERTO PEREZ,consultas odontologicas,acciones preventivas,2006-02-01,95,95
PUERTO QUIJARRO,consultas odontologicas,acciones preventivas,2006-02-01,506,506
PUERTO RICO,consultas odontologicas,acciones preventivas,2006-02-01,57,57
PUERTO SILES,consultas odontologicas,acciones preventivas,2006-02-01,122,122
PUERTO SUAREZ,consultas odontologicas,acciones preventivas,2006-02-01,125,125
PUERTO VILLARROEL,consultas odontologicas,acciones preventivas,2006-02-01,53,53
PUNA,consultas odontologicas,acciones preventivas,2006-02-01,887,887
PUNATA,consultas odontologicas,acciones preventivas,2006-02-01,580,580
QUIABAYA,consultas odontologicas,acciones preventivas,2006-02-01,127,127
QUILLACOLLO,consultas odontologicas,acciones preventivas,2006-02-01,193,193
QUIME,consultas odontologicas,acciones preventivas,2006-02-01,348,348
QUIRUSILLAS,consultas odontologicas,acciones preventivas,2006-02-01,11,11
REYES,consultas odontologicas,acciones preventivas,2006-02-01,22,22
RIBERALTA,consultas odontologicas,acciones preventivas,2006-02-01,80,80
RURRENABAQUE,consultas odontologicas,acciones preventivas,2006-02-01,8,8
SABAYA,consultas odontologicas,acciones preventivas,2006-02-01,18,18
SACABA,consultas odontologicas,acciones preventivas,2006-02-01,206,206
SACABAMBA,consultas odontologicas,acciones preventivas,2006-02-01,2,2
SACACA,consultas odontologicas,acciones preventivas,2006-02-01,165,165
SAIPINA,consultas odontologicas,acciones preventivas,2006-02-01,95,95
SAMAIPATA,consultas odontologicas,acciones preventivas,2006-02-01,52,52
SAN AGUSTIN,consultas odontologicas,acciones preventivas,2006-02-01,6,6
SAN ANDRES,consultas odontologicas,acciones preventivas,2006-02-01,10,10
SAN ANDRES DE MACHACA,consultas odontologicas,acciones preventivas,2006-02-01,21,21
