,group,variable,month,NINOS DE 6 MESES A < 1 AÑO NUEVO,NINOS DE 6 MESES A < 1 AÑO NUEVO,NINOS DE 6 MESES A < 1 AÑO REPETIDO,NINOS DE 6 MESES A < 1 AÑO REPETIDO,TOTALES,TOTALES,TOTALES
AYATA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,14,21,4,1,18,22,40
AYO AYO,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,10,2,3,3,13,5,18
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,69,94,1,2,70,96,166
AZURDUY,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,42,46,4,2,46,48,94
BATALLAS,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,22,16,1,0,23,16,39
BAURES,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,19,22,0,0,19,22,41
BELEN DE ANDAMARCA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,2,9,0,0,2,9,11
BELEN DE URMIRI,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,5,5,0,0,5,5,10
BELLA FLOR,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,15,15,3,1,18,16,34
BERMEJO,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,238,213,11,9,249,222,471
BETANZOS,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,70,60,6,4,76,64,140
BOLIVAR,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,14,9,2,0,16,9,25
BOLPEBRA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,1,0,0,0,1,0,1
BOYUIBE,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,16,9,2,0,18,9,27
BUENA VISTA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,49,43,6,5,55,48,103
CABEZAS,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,173,162,6,0,179,162,341
CAIROMA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,17,21,9,13,26,34,60
"CAIZA ""D""",consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,16,27,2,1,18,28,46
CAJUATA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,44,48,3,6,47,54,101
CALACOTO,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,3,4,0,0,3,4,7
CALAMARCA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,20,38,0,0,20,38,58
CAMARGO,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,42,56,2,1,44,57,101
CAMATAQUI (C. VILLA ABECIA),consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,9,9,0,0,9,9,18
CAMIRI,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,159,117,34,29,193,146,339
CAPINOTA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,64,57,4,5,68,62,130
CAQUIAVIRI,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,23,9,2,0,25,9,34
CARACOLLO,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,39,40,8,10,47,50,97
CARANAVI,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,209,204,14,26,223,230,453
CARANGAS,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,1,0,0,0,1,0,1
CARAPARI,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,81,61,4,1,85,62,147
CARIPUYO,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,17,10,0,0,17,10,27
CARMEN RIVERO TORREZ,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,8,20,0,2,8,22,30
CATACORA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,1,2,1,2,2,4,6
CHACARILLA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,7,3,0,0,7,3,10
CHALLAPATA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,146,120,11,8,157,128,285
CHAQUI,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,23,18,0,2,23,20,43
CHARAGUA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,140,146,7,2,147,148,295
CHARAÑA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,4,7,0,0,4,7,11
CHAYANTA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,43,26,4,1,47,27,74
CHIMORE,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,150,124,4,8,154,132,286
CHIPAYA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,4,1,0,0,4,1,5
CHOQUE COTA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,3,4,0,0,3,4,7
CHUA COCANI,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,4,0,1,0,5,0,5
CHULUMANI (V. DE LA LIBERTAD),consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,76,68,4,6,80,74,154
CHUMA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,15,9,0,0,15,9,24
CHUQUIHUTA AYLLU JUCUMANI,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,8,21,0,0,8,21,29
CKOCHAS,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,25,18,0,0,25,18,43
CLIZA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,70,52,21,10,91,62,153
COBIJA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,157,149,21,13,178,162,340
COCAPATA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,31,63,3,4,34,67,101
COCHABAMBA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,2462,2389,980,935,3442,3324,6766
COIPASA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,3,0,2,0,5,0,5
COLCAPIRHUA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,86,57,32,42,118,99,217
"COLCHA ""K""",consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,32,42,5,2,37,44,81
COLLANA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,10,7,0,0,10,7,17
COLOMI,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,41,28,1,0,42,28,70
COLPA BELGICA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,30,48,4,7,34,55,89
COLQUECHACA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,108,107,0,0,108,107,215
COLQUENCHA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,10,8,2,1,12,9,21
COLQUIRI,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,30,37,2,4,32,41,73
COMANCHE,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,2,1,0,0,2,1,3
COMARAPA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,44,36,1,1,45,37,82
COMBAYA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,6,3,0,0,6,3,9
CONCEPCION,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,48,45,12,9,60,54,114
COPACABANA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,12,13,4,5,16,18,34
CORIPATA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,61,57,9,12,70,69,139
CORO CORO,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,11,16,1,0,12,16,28
COROICO,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,387,42,12,22,399,64,463
CORQUE,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,21,16,2,2,23,18,41
COTAGAITA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,68,54,1,6,69,60,129
COTOCA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,187,174,37,33,224,207,431
CRUZ DE MACHACAMARCA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,2,0,0,0,2,0,2
CUATRO CAÑADAS,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,92,86,7,12,99,98,197
CUCHUMUELA (V. G. VILLARROEL),consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,6,6,0,0,6,6,12
CUEVO,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,7,3,0,0,7,3,10
CULPINA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,36,37,1,2,37,39,76
CURAHUARA DE CARANGAS,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,5,12,0,0,5,12,17
CURVA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,6,11,0,0,6,11,17
DESAGUADERO,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,8,3,0,1,8,4,12
EL ALTO,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,2273,2130,826,853,3099,2983,6082
EL CHORO,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,11,10,0,0,11,10,21
EL PUENTE(STC),consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,48,56,0,0,48,56,104
EL PUENTE(TJA),consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,21,15,7,16,28,31,59
EL TORNO,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,299,307,138,132,437,439,876
EL VILLAR,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,28,37,1,0,29,37,66
ENTRE RIOS TRJ,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,88,52,5,0,93,52,145
ENTRE RIOS CBBA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,252,215,22,25,274,240,514
ESCARA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,0,0,0,1,0,1,1
ESCOMA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,6,11,4,1,10,12,22
ESMERALDA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,0,2,0,0,0,2,2
EUCALIPTUS,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,10,11,0,0,10,11,21
EUREKA (SANTOS MERCADO),consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,14,16,0,3,14,19,33
EXALTACION,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,7,5,11,3,18,8,26
FERNANDEZ ALONSO,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,54,41,16,15,70,56,126
FILADELFIA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,28,17,1,0,29,17,46
GENERAL SAAVEDRA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,47,46,8,11,55,57,112
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,14,14,0,5,14,19,33
GUANAY,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,49,42,20,41,69,83,152
GUAQUI,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,5,7,0,4,5,11,16
GUAYARAMERIN,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,201,194,27,16,228,210,438
GUTIERREZ,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,75,86,6,6,81,92,173
HUACARETA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,20,29,0,0,20,29,49
HUACAYA (VILLA DE HUACAYA),consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,6,16,4,1,10,17,27
HUACHACALLA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,11,9,1,1,12,10,22
HUANUNI,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,78,53,10,9,88,62,150
HUARACAJE,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,9,6,0,0,9,6,15
HUARINA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,5,6,15,8,20,14,34
HUATAJATA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,3,3,3,4,6,7,13
HUAYLLAMARCA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,6,8,0,0,6,8,14
HUMANATA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,5,4,0,0,5,4,9
ICHOCA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,5,5,0,0,5,5,10
ICLA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,32,38,0,0,32,38,70
INCAHUASI,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,36,44,1,0,37,44,81
INGAVI (HUMAITA),consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,13,6,0,0,13,6,19
INQUISIVI,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,22,29,0,0,22,29,51
IRUPANA (VILLA DE LANZA),consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,78,65,0,0,78,65,143
IXIAMAS,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,47,41,0,0,47,41,88
JESUS DE MACHACA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,31,22,26,21,57,43,100
LA ASUNTA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,192,157,5,4,197,161,358
LA GUARDIA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,375,374,25,37,400,411,811
LA PAZ,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,2757,2766,739,744,3496,3510,7006
LA RIVERA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,2,3,0,0,2,3,5
LAGUNILLAS,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,27,33,1,0,28,33,61
LAJA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,36,30,2,1,38,31,69
LAS CARRERAS,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,18,17,0,0,18,17,35
LICOMA PAMPA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,8,13,6,10,14,23,37
LLALLAGUA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,161,163,16,17,177,180,357
LLICA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,5,8,0,2,5,10,15
LORETO,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,33,22,0,0,33,22,55
LURIBAY,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,29,21,8,4,37,25,62
MACHACAMARCA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,6,4,0,0,6,4,10
MACHARETI,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,30,24,4,2,34,26,60
MAGDALENA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,48,44,3,0,51,44,95
MAIRANA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,18,19,5,4,23,23,46
MALLA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,2,1,0,0,2,1,3
MAPIRI,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,62,48,4,5,66,53,119
MECAPACA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,23,24,4,11,27,35,62
MINEROS,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,61,58,4,3,65,61,126
MIZQUE,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,92,56,2,4,94,60,154
MOCOMOCO,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,13,14,3,0,16,14,30
MOJINETE,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,0,1,0,1,0,2,2
MOJOCOYA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,14,15,1,4,15,19,34
MONTEAGUDO,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,100,96,8,9,108,105,213
MONTERO,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,602,562,45,66,647,628,1275
MORO MORO,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,6,4,0,0,6,4,10
MOROCHATA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,21,30,13,13,34,43,77
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,26,15,1,0,27,15,42
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,16,11,0,1,16,12,28
OCURI,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,34,18,0,0,34,18,52
OKINAWA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,49,46,3,1,52,47,99
OMEREQUE,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,26,14,1,1,27,15,42
ORURO,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,884,884,187,278,1071,1162,2233
PADCAYA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,40,83,4,1,44,84,128
PADILLA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,38,27,3,5,41,32,73
PAILON,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,83,86,10,9,93,95,188
PALCA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,33,26,4,5,37,31,68
PALOS BLANCOS,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,132,136,11,3,143,139,282
PAMPA AULLAGAS,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,11,19,0,0,11,19,30
PAMPA GRANDE,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,28,25,1,1,29,26,55
PAPEL PAMPA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,16,10,1,2,17,12,29
PASORAPA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,9,1,1,0,10,1,11
PATACAMAYA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,14,21,7,12,21,33,54
PAZÑA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,10,10,0,0,10,10,20
PELECHUCO,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,24,18,0,0,24,18,42
POCOATA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,46,39,4,0,50,39,89
POCONA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,23,21,2,6,25,27,52
POJO (CBBA),consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,38,38,3,5,41,43,84
POOPO,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,9,7,1,1,10,8,18
PORCO,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,32,12,0,2,32,14,46
POROMA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,52,28,0,0,52,28,80
PORONGO,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,31,20,1,2,32,22,54
PORTACHUELO,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,76,57,35,31,111,88,199
PORVENIR,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,14,6,0,1,14,7,21
POSTRER VALLE,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,3,0,0,0,3,0,3
POTOSI,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,824,858,70,68,894,926,1820
PRESTO,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,24,21,0,0,24,21,45
PUCARA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,2,2,1,0,3,2,5
PUCARANI,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,53,33,3,2,56,35,91
PUERTO ACOSTA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,9,20,0,1,9,21,30
PUERTO CARABUCO,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,7,13,0,0,7,13,20
PUERTO GONZALO MORENO,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,35,20,2,2,37,22,59
PUERTO PEREZ,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,18,2,0,0,18,2,20
PUERTO QUIJARRO,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,29,26,1,0,30,26,56
PUERTO RICO,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,31,42,3,3,34,45,79
PUERTO SILES,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,11,8,0,0,11,8,19
PUERTO SUAREZ,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,41,38,0,0,41,38,79
PUERTO VILLARROEL,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,318,289,11,14,329,303,632
PUNA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,35,33,3,5,38,38,76
PUNATA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,101,75,8,10,109,85,194
QUIABAYA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,3,4,12,10,15,14,29
QUILLACOLLO,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,441,378,372,363,813,741,1554
QUIME,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,8,16,0,0,8,16,24
QUIRUSILLAS,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,4,2,0,0,4,2,6
RAVELO,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,35,32,0,0,35,32,67
REYES,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,54,45,0,1,54,46,100
RIBERALTA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,498,563,203,38,701,601,1302
ROBORE,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,41,38,9,6,50,44,94
RURRENABAQUE,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,85,58,22,7,107,65,172
SABAYA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,10,13,0,1,10,14,24
SACABA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,431,358,200,91,631,449,1080
SACABAMBA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,4,4,2,2,6,6,12
SACACA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,53,53,0,0,53,53,106
SAIPINA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,17,14,4,1,21,15,36
SALINAS DE GARCI MENDOZA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,39,22,1,0,40,22,62
SAMAIPATA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,27,27,1,0,28,27,55
SAN AGUSTIN,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,6,0,0,0,6,0,6
SAN ANDRES,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,46,37,1,7,47,44,91
SAN ANDRES DE MACHACA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,8,11,1,0,9,11,20
SAN ANTONIO DE ESMORUCO,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,8,6,0,0,8,6,14
SAN ANTONIO DE LOMERIO,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,31,33,0,0,31,33,64
SAN BENITO,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,38,42,10,5,48,47,95
SAN BORJA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,165,135,40,12,205,147,352
SAN BUENA VENTURA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,47,36,2,2,49,38,87
SAN CARLOS,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,87,104,6,6,93,110,203
SAN IGNACIO,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,113,113,7,7,120,120,240
SAN IGNACIO DE VELASCO,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,167,170,8,8,175,178,353
SAN JAVIER(BNI),consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,4,13,0,0,4,13,17
SAN JAVIER(STC),consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,32,20,0,0,32,20,52
SAN JOAQUIN,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,40,32,0,0,40,32,72
SAN JOSE DE CHIQUITOS,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,52,50,16,9,68,59,127
SAN JUAN DE YAPACANI,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,51,61,6,11,57,72,129
SAN JULIAN,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,216,164,93,77,309,241,550
SAN LORENZO(PND),consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,28,27,1,0,29,27,56
SAN LORENZO(TJA),consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,56,50,2,2,58,52,110
SAN LUCAS,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,87,71,1,2,88,73,161
SAN MATIAS,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,41,40,14,17,55,57,112
SAN MIGUEL DE VELASCO,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,24,23,5,5,29,28,57
SAN PABLO DE LIPEZ,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,6,7,2,0,8,7,15
SAN PEDRO,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,110,85,8,5,118,90,208
SAN PEDRO DE BUENA VISTA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,62,64,0,1,62,65,127
SAN PEDRO DE CURAHUARA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,21,15,0,1,21,16,37
SAN PEDRO DE QUEMES,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,5,1,0,0,5,1,6
SAN PEDRO DE TIQUINA,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,4,4,7,5,11,9,20
SAN PEDRO(PND),consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,11,6,0,0,11,6,17
SAN RAFAEL,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,24,20,4,8,28,28,56
SAN RAMON BENI,consulta externa,ninos de 6 meses a < 1 ano,2016-01-01,28,18,0,0,28,18,46
