,group,variable,month,ANTIROTAVIRUS 1RA. DOSIS,ANTIROTAVIRUS 1RA. DOSIS,ANTIROTAVIRUS 1RA. DOSIS,ANTIROTAVIRUS 1RA. DOSIS,TOTALES,TOTALES,TOTALES
SAN JULIAN,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-07-01,11.0,10.0,0.0,0.0,11.0,10.0,21.0
SAN PEDRO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-07-01,3.0,0.0,0.0,0.0,3.0,0.0,3.0
SAN RAMON,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-07-01,7.0,0.0,0.0,0.0,7.0,0.0,7.0
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-07-01,5.0,0.0,0.0,0.0,5.0,0.0,5.0
TOLEDO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-07-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
TOMAVE,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-07-01,0.0,4.0,0.0,0.0,0.0,4.0,4.0
VILLA MONTES,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-07-01,6.0,3.0,0.0,0.0,6.0,3.0,9.0
ACACIO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,6.0,3.0,0.0,0.0,6.0,3.0,9.0
ACHACACHI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,19.0,27.0,0.0,0.0,19.0,27.0,46.0
ACHOCALLA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,6.0,10.0,0.0,0.0,6.0,10.0,16.0
AIQUILE,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,90.0,11.0,0.0,0.0,90.0,11.0,101.0
ALALAY,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,5.0,2.0,0.0,0.0,5.0,2.0,7.0
ALCALA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,7.0,1.0,0.0,0.0,7.0,1.0,8.0
ANDAMARCA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,11.0,15.0,0.0,0.0,11.0,15.0,26.0
ANTEQUERA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
ANZALDO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,27.0,19.0,0.0,0.0,27.0,19.0,46.0
APOLO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,36.0,8.0,0.0,0.0,36.0,8.0,44.0
ARAMPAMPA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,8.0,1.0,0.0,0.0,8.0,1.0,9.0
ARANI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,17.0,3.0,0.0,0.0,17.0,3.0,20.0
ARBIETO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,16.0,40.0,0.0,0.0,16.0,40.0,56.0
ARQUE,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,9.0,4.0,0.0,0.0,9.0,4.0,13.0
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,176.0,2.0,0.0,0.0,176.0,2.0,178.0
ATOCHA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,20.0,17.0,0.0,0.0,20.0,17.0,37.0
AUCAPATA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,9.0,13.0,0.0,0.0,9.0,13.0,22.0
AYATA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,14.0,47.0,0.0,0.0,14.0,47.0,61.0
AYO AYO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,2.0,17.0,0.0,0.0,2.0,17.0,19.0
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,81.0,39.0,0.0,0.0,81.0,39.0,120.0
AZURDUY,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,24.0,30.0,0.0,0.0,24.0,30.0,54.0
BATALLAS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,35.0,2.0,0.0,0.0,35.0,2.0,37.0
BAURES,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,18.0,0.0,0.0,0.0,18.0,0.0,18.0
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,3.0,0.0,0.0,0.0,3.0,0.0,3.0
BELEN DE URMIRI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
BELLA FLOR,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,0.0,21.0,0.0,0.0,0.0,21.0,21.0
BERMEJO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,158.0,16.0,0.0,0.0,158.0,16.0,174.0
BETANZOS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,46.0,49.0,0.0,0.0,46.0,49.0,95.0
BOLIVAR,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,13.0,19.0,0.0,0.0,13.0,19.0,32.0
BOYUIBE,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,6.0,4.0,0.0,0.0,6.0,4.0,10.0
BUENA VISTA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,44.0,0.0,0.0,0.0,44.0,0.0,44.0
CABEZAS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,48.0,9.0,0.0,0.0,48.0,9.0,57.0
CAIROMA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,28.0,15.0,0.0,0.0,28.0,15.0,43.0
"CAIZA ""D""",vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,2.0,24.0,0.0,0.0,2.0,24.0,26.0
CAJUATA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,10.0,3.0,0.0,0.0,10.0,3.0,13.0
CALACOTO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,1.0,2.0,0.0,0.0,1.0,2.0,3.0
CALAMARCA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,6.0,5.0,0.0,0.0,6.0,5.0,11.0
CAMARGO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,53.0,19.0,0.0,0.0,53.0,19.0,72.0
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,16.0,8.0,0.0,0.0,16.0,8.0,24.0
CAMIRI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,127.0,2.0,0.0,0.0,127.0,2.0,129.0
CAPINOTA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,42.0,2.0,0.0,0.0,42.0,2.0,44.0
CAQUIAVIRI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,3.0,3.0,0.0,0.0,3.0,3.0,6.0
CARACOLLO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,42.0,39.0,0.0,0.0,42.0,39.0,81.0
CARANAVI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,163.0,83.0,0.0,0.0,163.0,83.0,246.0
CARANGAS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,0.0,3.0,0.0,0.0,0.0,3.0,3.0
CARAPARI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,36.0,4.0,0.0,0.0,36.0,4.0,40.0
CARIPUYO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,10.0,4.0,0.0,0.0,10.0,4.0,14.0
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,22.0,0.0,0.0,0.0,22.0,0.0,22.0
CATACORA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
CHACARILLA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,0.0,4.0,0.0,0.0,0.0,4.0,4.0
CHALLAPATA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,53.0,71.0,0.0,0.0,53.0,71.0,124.0
CHAQUI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,18.0,4.0,0.0,0.0,18.0,4.0,22.0
CHARAGUA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,62.0,70.0,0.0,0.0,62.0,70.0,132.0
CHARAÑA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,0.0,6.0,0.0,0.0,0.0,6.0,6.0
CHAYANTA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,3.0,0.0,0.0,0.0,3.0,0.0,3.0
CHIMORE,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,106.0,6.0,0.0,0.0,106.0,6.0,112.0
CHIPAYA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,9.0,3.0,0.0,0.0,9.0,3.0,12.0
CHOQUE COTA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,0.0,7.0,0.0,0.0,0.0,7.0,7.0
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,20.0,2.0,0.0,0.0,20.0,2.0,22.0
CHUMA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,8.0,36.0,0.0,0.0,8.0,36.0,44.0
CLIZA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,65.0,20.0,0.0,0.0,65.0,20.0,85.0
COBIJA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,201.0,16.0,0.0,0.0,201.0,16.0,217.0
COCHABAMBA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,3013.0,10.0,0.0,0.0,3013.0,10.0,3023.0
COIPASA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,4.0,0.0,0.0,0.0,4.0,0.0,4.0
COLCAPIRHUA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,191.0,0.0,0.0,0.0,191.0,0.0,191.0
"COLCHA ""K""",vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,57.0,0.0,0.0,0.0,57.0,0.0,57.0
COLLANA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,2.0,1.0,0.0,0.0,2.0,1.0,3.0
COLOMI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,59.0,17.0,0.0,0.0,59.0,17.0,76.0
COLPA BELGICA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,19.0,4.0,0.0,0.0,19.0,4.0,23.0
COLQUECHACA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,12.0,50.0,0.0,0.0,12.0,50.0,62.0
COLQUENCHA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,12.0,14.0,0.0,0.0,12.0,14.0,26.0
COLQUIRI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,42.0,5.0,0.0,0.0,42.0,5.0,47.0
COMANCHE,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,4.0,2.0,0.0,0.0,4.0,2.0,6.0
COMARAPA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,55.0,21.0,0.0,0.0,55.0,21.0,76.0
CONCEPCION,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,50.0,0.0,0.0,0.0,50.0,0.0,50.0
COPACABANA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,10.0,7.0,0.0,0.0,10.0,7.0,17.0
CORIPATA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,11.0,0.0,0.0,0.0,11.0,0.0,11.0
CORO CORO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,0.0,5.0,0.0,0.0,0.0,5.0,5.0
COROICO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,32.0,28.0,0.0,0.0,32.0,28.0,60.0
CORQUE,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,18.0,14.0,0.0,0.0,18.0,14.0,32.0
COTAGAITA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,45.0,31.0,0.0,0.0,45.0,31.0,76.0
COTOCA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,182.0,5.0,0.0,0.0,182.0,5.0,187.0
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,49.0,24.0,0.0,0.0,49.0,24.0,73.0
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,2.0,1.0,0.0,0.0,2.0,1.0,3.0
CUEVO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,8.0,7.0,0.0,0.0,8.0,7.0,15.0
CULPINA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,20.0,12.0,0.0,0.0,20.0,12.0,32.0
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,11.0,17.0,0.0,0.0,11.0,17.0,28.0
CURVA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,1.0,10.0,0.0,0.0,1.0,10.0,11.0
DESAGUADERO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,8.0,3.0,0.0,0.0,8.0,3.0,11.0
EL ALTO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,3090.0,11.0,0.0,0.0,3090.0,11.0,3101.0
EL CHORO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,13.0,11.0,0.0,0.0,13.0,11.0,24.0
EL PUENTE(STC),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,43.0,13.0,0.0,0.0,43.0,13.0,56.0
EL PUENTE(TJA),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,22.0,26.0,0.0,0.0,22.0,26.0,48.0
EL TORNO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,193.0,19.0,0.0,0.0,193.0,19.0,212.0
EL VILLAR,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,11.0,7.0,0.0,0.0,11.0,7.0,18.0
ENTRE RIOS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,135.0,24.0,0.0,0.0,135.0,24.0,159.0
ENTRE RIOS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,84.0,34.0,0.0,0.0,84.0,34.0,118.0
ESCARA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
ESMERALDA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
EUCALIPTUS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,28.0,7.0,0.0,0.0,28.0,7.0,35.0
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,2.0,0.0,0.0,0.0,2.0,0.0,2.0
EXALTACION,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,7.0,4.0,0.0,0.0,7.0,4.0,11.0
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,79.0,17.0,0.0,0.0,79.0,17.0,96.0
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,101.0,0.0,0.0,0.0,101.0,0.0,101.0
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,0.0,22.0,0.0,0.0,0.0,22.0,22.0
GUANAY,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,33.0,23.0,0.0,0.0,33.0,23.0,56.0
GUAQUI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,4.0,20.0,0.0,0.0,4.0,20.0,24.0
GUAYARAMERIN,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,167.0,61.0,0.0,0.0,167.0,61.0,228.0
GUTIERREZ,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,32.0,2.0,0.0,0.0,32.0,2.0,34.0
HUACARETA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,27.0,9.0,0.0,0.0,27.0,9.0,36.0
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,8.0,11.0,0.0,0.0,8.0,11.0,19.0
HUACHACALLA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,3.0,0.0,0.0,0.0,3.0,0.0,3.0
HUANUNI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,140.0,20.0,0.0,0.0,140.0,20.0,160.0
HUARACAJE,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,18.0,10.0,0.0,0.0,18.0,10.0,28.0
HUAYLLAMARCA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,11.0,24.0,0.0,0.0,11.0,24.0,35.0
ICHOCA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,0.0,7.0,0.0,0.0,0.0,7.0,7.0
ICLA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,22.0,26.0,0.0,0.0,22.0,26.0,48.0
INCAHUASI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,46.0,56.0,0.0,0.0,46.0,56.0,102.0
INQUISIVI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,11.0,18.0,0.0,0.0,11.0,18.0,29.0
IXIAMAS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,2.0,3.0,0.0,0.0,2.0,3.0,5.0
JESUS DE MACHACA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,15.0,10.0,0.0,0.0,15.0,10.0,25.0
LA ASUNTA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,48.0,16.0,0.0,0.0,48.0,16.0,64.0
LA GUARDIA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,274.0,3.0,0.0,0.0,274.0,3.0,277.0
LA PAZ,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,2799.0,28.0,0.0,0.0,2799.0,28.0,2827.0
LA RIVERA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
LAGUNILLAS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,16.0,16.0,0.0,0.0,16.0,16.0,32.0
LAJA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,19.0,21.0,0.0,0.0,19.0,21.0,40.0
LAS CARRERAS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,18.0,0.0,0.0,0.0,18.0,0.0,18.0
LICOMA PAMPA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,6.0,0.0,0.0,0.0,6.0,0.0,6.0
LLALLAGUA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,69.0,30.0,0.0,0.0,69.0,30.0,99.0
LLICA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,12.0,0.0,0.0,0.0,12.0,0.0,12.0
LORETO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,4.0,19.0,0.0,0.0,4.0,19.0,23.0
LURIBAY,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,2.0,0.0,0.0,0.0,2.0,0.0,2.0
MACHACAMARCA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,25.0,0.0,0.0,0.0,25.0,0.0,25.0
MACHARETI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,35.0,4.0,0.0,0.0,35.0,4.0,39.0
MAGDALENA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,44.0,30.0,0.0,0.0,44.0,30.0,74.0
MAIRANA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,48.0,1.0,0.0,0.0,48.0,1.0,49.0
MALLA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
MAPIRI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,14.0,36.0,0.0,0.0,14.0,36.0,50.0
MECAPACA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,15.0,9.0,0.0,0.0,15.0,9.0,24.0
MINEROS,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,117.0,17.0,0.0,0.0,117.0,17.0,134.0
MIZQUE,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,49.0,55.0,0.0,0.0,49.0,55.0,104.0
MOCOMOCO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,2.0,3.0,0.0,0.0,2.0,3.0,5.0
MOJINETE,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,3.0,0.0,0.0,0.0,3.0,0.0,3.0
MOJOCOYA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,12.0,18.0,0.0,0.0,12.0,18.0,30.0
MONTEAGUDO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,100.0,8.0,0.0,0.0,100.0,8.0,108.0
MONTERO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,585.0,15.0,0.0,0.0,585.0,15.0,600.0
MORO MORO,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,7.0,5.0,0.0,0.0,7.0,5.0,12.0
MOROCHATA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,52.0,89.0,0.0,0.0,52.0,89.0,141.0
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,4.0,7.0,0.0,0.0,4.0,7.0,11.0
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,0.0,4.0,0.0,0.0,0.0,4.0,4.0
OCURI,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,18.0,42.0,0.0,0.0,18.0,42.0,60.0
OKINAWA,vacunaciones en menores de 1 ano,antirotavirus 1ra. dosis,2008-08-01,69.0,19.0,0.0,0.0,69.0,19.0,88.0
