,group,variable,month,ANTIROTAVIRUS 2RA. DOSIS,ANTIROTAVIRUS 2RA. DOSIS,ANTIROTAVIRUS 2RA. DOSIS,ANTIROTAVIRUS 2RA. DOSIS,TOTALES,TOTALES,TOTALES
POTOSI,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-08-01,13.0,0.0,0.0,0.0,13.0,0.0,13.0
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-08-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
PUERTO SUAREZ,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-08-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
SAN ANDRES,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-08-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
SAN IGNACIO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-08-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
SAN JAVIER(STC),vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-08-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
SAN JULIAN,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-08-01,2.0,3.0,0.0,0.0,2.0,3.0,5.0
SAN MATIAS,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-08-01,3.0,0.0,0.0,0.0,3.0,0.0,3.0
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-08-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SAN RAMON,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-08-01,5.0,1.0,0.0,0.0,5.0,1.0,6.0
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-08-01,13.0,0.0,0.0,0.0,13.0,0.0,13.0
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-08-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
TUPIZA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-08-01,0.0,3.0,0.0,0.0,0.0,3.0,3.0
WARNES,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-08-01,6.0,2.0,0.0,0.0,6.0,2.0,8.0
YUNCHARA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-08-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
ACHACACHI,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,3.0,1.0,0.0,0.0,3.0,1.0,4.0
AIQUILE,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,14.0,3.0,0.0,0.0,14.0,3.0,17.0
ALALAY,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,0.0,3.0,0.0,0.0,0.0,3.0,3.0
ALCALA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
ANDAMARCA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,6.0,12.0,0.0,0.0,6.0,12.0,18.0
ANTEQUERA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,2.0,1.0,0.0,0.0,2.0,1.0,3.0
ANZALDO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,4.0,7.0,0.0,0.0,4.0,7.0,11.0
APOLO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,4.0,0.0,0.0,0.0,4.0,0.0,4.0
ARAMPAMPA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
ARANI,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
ARBIETO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,5.0,23.0,0.0,0.0,5.0,23.0,28.0
ARQUE,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,2.0,2.0,0.0,0.0,2.0,2.0,4.0
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,43.0,1.0,0.0,0.0,43.0,1.0,44.0
ATOCHA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,3.0,5.0,0.0,0.0,3.0,5.0,8.0
AUCAPATA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,0.0,3.0,0.0,0.0,0.0,3.0,3.0
AYATA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,2.0,9.0,0.0,0.0,2.0,9.0,11.0
AYO AYO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,0.0,3.0,0.0,0.0,0.0,3.0,3.0
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,8.0,15.0,0.0,0.0,8.0,15.0,23.0
AZURDUY,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,1.0,5.0,0.0,0.0,1.0,5.0,6.0
BATALLAS,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
BELEN DE URMIRI,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
BELLA FLOR,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,0.0,3.0,0.0,0.0,0.0,3.0,3.0
BERMEJO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,115.0,17.0,0.0,0.0,115.0,17.0,132.0
BETANZOS,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,15.0,24.0,0.0,0.0,15.0,24.0,39.0
BOLIVAR,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,0.0,4.0,0.0,0.0,0.0,4.0,4.0
BOYUIBE,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
BUENA VISTA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,31.0,0.0,0.0,0.0,31.0,0.0,31.0
CABEZAS,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,21.0,1.0,0.0,0.0,21.0,1.0,22.0
CAIROMA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,5.0,0.0,0.0,0.0,5.0,0.0,5.0
"CAIZA ""D""",vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,2.0,11.0,0.0,0.0,2.0,11.0,13.0
CAJUATA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,7.0,0.0,0.0,0.0,7.0,0.0,7.0
CALACOTO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,0.0,4.0,0.0,0.0,0.0,4.0,4.0
CAMARGO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,11.0,5.0,0.0,0.0,11.0,5.0,16.0
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,3.0,0.0,0.0,0.0,3.0,0.0,3.0
CAMIRI,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,42.0,0.0,0.0,0.0,42.0,0.0,42.0
CAPINOTA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,5.0,2.0,0.0,0.0,5.0,2.0,7.0
CARACOLLO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,7.0,13.0,0.0,0.0,7.0,13.0,20.0
CARANAVI,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,55.0,13.0,0.0,0.0,55.0,13.0,68.0
CARAPARI,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,8.0,0.0,0.0,0.0,8.0,0.0,8.0
CARIPUYO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,0.0,3.0,0.0,0.0,0.0,3.0,3.0
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,12.0,0.0,0.0,0.0,12.0,0.0,12.0
CATACORA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
CHACARILLA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,2.0,1.0,0.0,0.0,2.0,1.0,3.0
CHALLAPATA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,5.0,13.0,0.0,0.0,5.0,13.0,18.0
CHAQUI,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,5.0,2.0,0.0,0.0,5.0,2.0,7.0
CHARAGUA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,19.0,23.0,0.0,0.0,19.0,23.0,42.0
CHARAÑA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,2.0,1.0,0.0,0.0,2.0,1.0,3.0
CHIMORE,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,14.0,2.0,0.0,0.0,14.0,2.0,16.0
CHIPAYA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,1.0,3.0,0.0,0.0,1.0,3.0,4.0
CHUMA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,1.0,9.0,0.0,0.0,1.0,9.0,10.0
CLIZA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,7.0,4.0,0.0,0.0,7.0,4.0,11.0
COBIJA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,62.0,1.0,0.0,0.0,62.0,1.0,63.0
COCHABAMBA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,569.0,2.0,0.0,0.0,569.0,2.0,571.0
COLCAPIRHUA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,28.0,0.0,0.0,0.0,28.0,0.0,28.0
"COLCHA ""K""",vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,13.0,0.0,0.0,0.0,13.0,0.0,13.0
COLOMI,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,10.0,1.0,0.0,0.0,10.0,1.0,11.0
COLPA BELGICA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,4.0,0.0,0.0,0.0,4.0,0.0,4.0
COLQUECHACA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,9.0,13.0,0.0,0.0,9.0,13.0,22.0
COLQUENCHA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,1.0,2.0,0.0,0.0,1.0,2.0,3.0
COLQUIRI,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,2.0,2.0,0.0,0.0,2.0,2.0,4.0
COMARAPA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,11.0,6.0,0.0,0.0,11.0,6.0,17.0
CONCEPCION,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,11.0,0.0,0.0,0.0,11.0,0.0,11.0
COPACABANA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,3.0,2.0,0.0,0.0,3.0,2.0,5.0
COROICO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,4.0,4.0,0.0,0.0,4.0,4.0,8.0
CORQUE,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,11.0,9.0,0.0,0.0,11.0,9.0,20.0
COTAGAITA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,15.0,21.0,0.0,0.0,15.0,21.0,36.0
COTOCA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,59.0,6.0,0.0,0.0,59.0,6.0,65.0
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,6.0,1.0,0.0,0.0,6.0,1.0,7.0
CUEVO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,4.0,5.0,0.0,0.0,4.0,5.0,9.0
CULPINA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,2.0,3.0,0.0,0.0,2.0,3.0,5.0
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,5.0,2.0,0.0,0.0,5.0,2.0,7.0
CURVA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
DESAGUADERO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
EL ALTO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,479.0,0.0,0.0,0.0,479.0,0.0,479.0
EL CHORO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,5.0,11.0,0.0,0.0,5.0,11.0,16.0
EL PUENTE(STC),vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,7.0,0.0,0.0,0.0,7.0,0.0,7.0
EL PUENTE(TJA),vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,8.0,3.0,0.0,0.0,8.0,3.0,11.0
EL TORNO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,46.0,6.0,0.0,0.0,46.0,6.0,52.0
EL VILLAR,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
ENTRE RIOS,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,39.0,2.0,0.0,0.0,39.0,2.0,41.0
ENTRE RIOS,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,4.0,16.0,0.0,0.0,4.0,16.0,20.0
ESMERALDA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
EUCALIPTUS,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,5.0,0.0,0.0,0.0,5.0,0.0,5.0
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,23.0,6.0,0.0,0.0,23.0,6.0,29.0
FILADELFIA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,2.0,0.0,0.0,0.0,2.0,0.0,2.0
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,26.0,0.0,0.0,0.0,26.0,0.0,26.0
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,4.0,2.0,0.0,0.0,4.0,2.0,6.0
GUANAY,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,7.0,2.0,0.0,0.0,7.0,2.0,9.0
GUAQUI,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,3.0,8.0,0.0,0.0,3.0,8.0,11.0
GUAYARAMERIN,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,9.0,7.0,0.0,0.0,9.0,7.0,16.0
GUTIERREZ,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,10.0,4.0,0.0,0.0,10.0,4.0,14.0
HUACARETA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,9.0,1.0,0.0,0.0,9.0,1.0,10.0
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
HUACHACALLA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
HUANUNI,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,37.0,14.0,0.0,0.0,37.0,14.0,51.0
HUARACAJE,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
HUAYLLAMARCA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,4.0,10.0,0.0,0.0,4.0,10.0,14.0
ICHOCA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
ICLA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,12.0,12.0,0.0,0.0,12.0,12.0,24.0
INCAHUASI,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,6.0,9.0,0.0,0.0,6.0,9.0,15.0
INQUISIVI,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,7.0,3.0,0.0,0.0,7.0,3.0,10.0
JESUS DE MACHACA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,2.0,1.0,0.0,0.0,2.0,1.0,3.0
LA ASUNTA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,2.0,1.0,0.0,0.0,2.0,1.0,3.0
LA GUARDIA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,57.0,0.0,0.0,0.0,57.0,0.0,57.0
LA PAZ,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,326.0,0.0,0.0,0.0,326.0,0.0,326.0
LAGUNILLAS,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,11.0,11.0,0.0,0.0,11.0,11.0,22.0
LAJA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,4.0,1.0,0.0,0.0,4.0,1.0,5.0
LAS CARRERAS,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,6.0,1.0,0.0,0.0,6.0,1.0,7.0
LLALLAGUA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,13.0,4.0,0.0,0.0,13.0,4.0,17.0
LLICA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
LURIBAY,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
MACHACAMARCA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,13.0,0.0,0.0,0.0,13.0,0.0,13.0
MACHARETI,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,4.0,0.0,0.0,0.0,4.0,0.0,4.0
MAGDALENA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,16.0,1.0,0.0,0.0,16.0,1.0,17.0
MAIRANA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,10.0,1.0,0.0,0.0,10.0,1.0,11.0
MAPIRI,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,3.0,5.0,0.0,0.0,3.0,5.0,8.0
MECAPACA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
MINEROS,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,31.0,2.0,0.0,0.0,31.0,2.0,33.0
MIZQUE,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,6.0,10.0,0.0,0.0,6.0,10.0,16.0
MOCOMOCO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
MOJOCOYA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,5.0,6.0,0.0,0.0,5.0,6.0,11.0
MONTEAGUDO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,19.0,1.0,0.0,0.0,19.0,1.0,20.0
MONTERO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,107.0,2.0,0.0,0.0,107.0,2.0,109.0
MORO MORO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,3.0,0.0,0.0,0.0,3.0,0.0,3.0
MOROCHATA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,9.0,18.0,0.0,0.0,9.0,18.0,27.0
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,1.0,4.0,0.0,0.0,1.0,4.0,5.0
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,1.0,4.0,0.0,0.0,1.0,4.0,5.0
OCURI,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,7.0,11.0,0.0,0.0,7.0,11.0,18.0
OKINAWA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,18.0,3.0,0.0,0.0,18.0,3.0,21.0
OMEREQUE,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,7.0,8.0,0.0,0.0,7.0,8.0,15.0
ORURO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,175.0,10.0,0.0,0.0,175.0,10.0,185.0
PADCAYA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,6.0,4.0,0.0,0.0,6.0,4.0,10.0
PADILLA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,5.0,0.0,0.0,0.0,5.0,0.0,5.0
PAILON,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,2.0,0.0,0.0,0.0,2.0,0.0,2.0
PALCA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,0.0,3.0,0.0,0.0,0.0,3.0,3.0
PALOS BLANCOS,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,5.0,2.0,0.0,0.0,5.0,2.0,7.0
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,3.0,0.0,0.0,0.0,3.0,0.0,3.0
PAMPA GRANDE,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,6.0,0.0,0.0,0.0,6.0,0.0,6.0
PASORAPA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,3.0,0.0,0.0,0.0,3.0,0.0,3.0
PATACAMAYA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,6.0,0.0,0.0,0.0,6.0,0.0,6.0
PAZÑA,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,7.0,6.0,0.0,0.0,7.0,6.0,13.0
PELECHUCO,vacunaciones en menores de 1 ano,antirotavirus 2ra. dosis,2008-09-01,2.0,8.0,0.0,0.0,2.0,8.0,10.0
