,group,variable,month,PENTAVALENTE 1RA. DOSIS,PENTAVALENTE 1RA. DOSIS,PENTAVALENTE 1RA. DOSIS,PENTAVALENTE 1RA. DOSIS,TOTALES,TOTALES,TOTALES
BUENA VISTA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,25,11,0,0,25,11,36
CABEZAS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,18,3,0,0,18,3,21
CAIROMA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,5,19,0,0,5,19,24
"CAIZA ""D""",vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,1,15,0,0,1,15,16
CAJUATA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,19,7,0,0,19,7,26
CALACOTO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,0,7,0,0,0,7,7
CALAMARCA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,7,10,0,0,7,10,17
CAMARGO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,18,5,0,0,18,5,23
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,4,1,0,0,4,1,5
CAMIRI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,44,13,0,0,44,13,57
CAPINOTA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,23,12,0,0,23,12,35
CAQUIAVIRI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,7,5,0,0,7,5,12
CARACOLLO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,17,12,0,0,17,12,29
CARANAVI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,74,49,0,0,74,49,123
CARAPARI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,17,14,0,0,17,14,31
CARIPUYO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,1,9,0,0,1,9,10
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,2,4,0,0,2,4,6
CATACORA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,0,2,0,0,0,2,2
CHALLAPATA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,43,31,0,0,43,31,74
CHAQUI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,12,5,0,0,12,5,17
CHARAGUA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,22,20,0,0,22,20,42
CHARAÑA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,2,2,0,0,2,2,4
CHAYANTA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,18,16,0,0,18,16,34
CHIMORE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,20,3,0,0,20,3,23
CHIPAYA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,1,0,0,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,8,8,0,0,8,8,16
CHUMA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,8,32,0,0,8,32,40
CLIZA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,33,5,0,0,33,5,38
COBIJA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,71,9,0,0,71,9,80
COCHABAMBA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,1350,5,0,0,1350,5,1355
COIPASA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,2,0,0,0,2,0,2
COLCAPIRHUA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,109,24,0,0,109,24,133
"COLCHA ""K""",vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,2,4,0,0,2,4,6
COLLANA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,1,1,0,0,1,1,2
COLOMI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,28,17,0,0,28,17,45
COLPA BELGICA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,5,6,0,0,5,6,11
COLQUECHACA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,16,71,0,0,16,71,87
COLQUENCHA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,4,3,0,0,4,3,7
COLQUIRI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,28,38,0,0,28,38,66
COMANCHE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,2,1,0,0,2,1,3
COMARAPA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,28,5,0,0,28,5,33
CONCEPCION,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,38,1,0,0,38,1,39
COPACABANA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,4,16,0,0,4,16,20
CORIPATA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,15,11,0,0,15,11,26
CORO CORO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,4,9,0,0,4,9,13
COROICO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,13,10,0,0,13,10,23
CORQUE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,3,2,0,0,3,2,5
COTAGAITA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,9,12,0,0,9,12,21
COTOCA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,88,12,0,0,88,12,100
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,23,15,0,0,23,15,38
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,2,0,0,0,2,0,2
CUEVO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,3,5,0,0,3,5,8
CULPINA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,13,18,0,0,13,18,31
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,7,2,0,0,7,2,9
CURVA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,0,2,0,0,0,2,2
DESAGUADERO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,3,5,0,0,3,5,8
EL ALTO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,1686,120,0,0,1686,120,1806
EL CHORO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,1,7,0,0,1,7,8
EL PUENTE(STC),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,19,7,0,0,19,7,26
EL PUENTE(TJA),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,6,15,0,0,6,15,21
EL TORNO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,68,7,0,0,68,7,75
EL VILLAR,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,4,1,0,0,4,1,5
ENTRE RIOS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,45,9,0,0,45,9,54
ENTRE RIOS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,24,8,0,0,24,8,32
ESCARA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,0,1,0,0,0,1,1
EUCALIPTUS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,5,4,0,0,5,4,9
EXALTACION,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,1,0,0,0,1,0,1
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,21,1,0,0,21,1,22
FILADELFIA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,3,2,0,0,3,2,5
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,20,8,0,0,20,8,28
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,4,21,0,0,4,21,25
GUANAY,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,16,6,0,0,16,6,22
GUAQUI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,3,8,0,0,3,8,11
GUAYARAMERIN,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,73,5,0,0,73,5,78
GUTIERREZ,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,10,24,0,0,10,24,34
HUACARETA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,8,4,0,0,8,4,12
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,2,1,0,0,2,1,3
HUANUNI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,53,8,0,0,53,8,61
HUARACAJE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,1,2,0,0,1,2,3
HUAYLLAMARCA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,3,5,0,0,3,5,8
ICHOCA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,2,6,0,0,2,6,8
ICLA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,4,11,0,0,4,11,15
INCAHUASI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,26,26,0,0,26,26,52
INQUISIVI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,5,16,0,0,5,16,21
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,9,8,0,0,9,8,17
IXIAMAS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,9,0,0,0,9,0,9
JESUS DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,9,4,0,0,9,4,13
LA ASUNTA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,71,31,0,0,71,31,102
LA GUARDIA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,97,4,0,0,97,4,101
LA PAZ,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,1523,67,0,0,1523,67,1590
LAGUNILLAS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,7,7,0,0,7,7,14
LAJA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,19,23,0,0,19,23,42
LAS CARRERAS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,1,4,0,0,1,4,5
LICOMA PAMPA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,3,4,0,0,3,4,7
LLALLAGUA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,39,62,0,0,39,62,101
LLICA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,4,1,0,0,4,1,5
LORETO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,2,3,0,0,2,3,5
LURIBAY,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,5,7,0,0,5,7,12
MACHACAMARCA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,5,0,0,0,5,0,5
MACHARETI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,9,4,0,0,9,4,13
MAGDALENA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,20,11,0,0,20,11,31
MAIRANA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,17,1,0,0,17,1,18
MALLA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,1,6,0,0,1,6,7
MAPIRI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,11,6,0,0,11,6,17
MECAPACA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,12,8,0,0,12,8,20
MINEROS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,33,12,0,0,33,12,45
MIZQUE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,25,37,0,0,25,37,62
MOCOMOCO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,2,39,0,0,2,39,41
MOJINETE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,1,0,0,0,1,0,1
MOJOCOYA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,9,5,0,0,9,5,14
MONTEAGUDO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,35,9,0,0,35,9,44
MONTERO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,223,27,0,0,223,27,250
MORO MORO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,5,0,0,0,5,0,5
MOROCHATA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,19,28,0,0,19,28,47
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,1,7,0,0,1,7,8
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,1,3,0,0,1,3,4
OCURI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,18,34,0,0,18,34,52
OKINAWA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,18,2,0,0,18,2,20
OMEREQUE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,5,9,0,0,5,9,14
ORURO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,568,7,0,0,568,7,575
PADCAYA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,23,7,0,0,23,7,30
PADILLA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,11,5,0,0,11,5,16
PAILON,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,35,9,0,0,35,9,44
PALCA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,12,14,0,0,12,14,26
PALOS BLANCOS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,27,18,0,0,27,18,45
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,3,0,0,0,3,0,3
PAMPA GRANDE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,16,0,0,0,16,0,16
PAPEL PAMPA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,0,4,0,0,0,4,4
PASORAPA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,3,2,0,0,3,2,5
PATACAMAYA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,22,19,0,0,22,19,41
PAZÑA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,9,6,0,0,9,6,15
PELECHUCO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,3,6,0,0,3,6,9
POCOATA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,5,44,0,0,5,44,49
POCONA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,18,13,0,0,18,13,31
POJO (CBBA),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,18,7,0,0,18,7,25
POOPO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,14,0,0,0,14,0,14
PORCO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,29,7,0,0,29,7,36
POROMA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,11,13,0,0,11,13,24
PORONGO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,11,6,0,0,11,6,17
PORTACHUELO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,40,5,0,0,40,5,45
PORVENIR,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,7,5,0,0,7,5,12
POSTRER VALLE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,3,0,0,0,3,0,3
POTOSI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,479,36,0,0,479,36,515
PRESTO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,5,8,0,0,5,8,13
PUCARA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,0,1,0,0,0,1,1
PUCARANI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,24,34,0,0,24,34,58
PUERTO ACOSTA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,16,26,0,0,16,26,42
PUERTO CARABUCO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,4,11,0,0,4,11,15
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,1,2,0,0,1,2,3
PUERTO PEREZ,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,0,6,0,0,0,6,6
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,15,8,0,0,15,8,23
PUERTO RICO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,6,2,0,0,6,2,8
PUERTO SILES,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,1,0,0,0,1,0,1
PUERTO SUAREZ,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,22,2,0,0,22,2,24
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,90,13,0,0,90,13,103
PUNA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,31,36,0,0,31,36,67
PUNATA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,31,1,0,0,31,1,32
QUIABAYA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,3,1,0,0,3,1,4
QUILLACOLLO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,225,8,0,0,225,8,233
QUIME,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,6,16,0,0,6,16,22
QUIRUSILLAS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,1,0,0,0,1,0,1
RAVELO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,6,27,0,0,6,27,33
REYES,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,13,1,0,0,13,1,14
RIBERALTA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,166,38,0,0,166,38,204
ROBORE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,14,10,0,0,14,10,24
RURRENABAQUE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,15,3,0,0,15,3,18
SABAYA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,6,3,0,0,6,3,9
SACABA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,189,53,0,0,189,53,242
SACABAMBA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,5,7,0,0,5,7,12
SACACA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,7,27,0,0,7,27,34
SAIPINA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,5,8,0,0,5,8,13
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,3,6,0,0,3,6,9
SAMAIPATA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,7,5,0,0,7,5,12
SAN AGUSTIN,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,3,0,0,0,3,0,3
SAN ANDRES,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,8,5,0,0,8,5,13
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,0,6,0,0,0,6,6
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,1,0,0,0,1,0,1
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,5,3,0,0,5,3,8
SAN BENITO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,8,11,0,0,8,11,19
SAN BORJA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,63,7,0,0,63,7,70
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,13,4,0,0,13,4,17
SAN CARLOS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,43,2,0,0,43,2,45
SAN IGNACIO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,20,2,0,0,20,2,22
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,96,15,0,0,96,15,111
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,2,0,0,0,2,0,2
SAN JAVIER(STC),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,28,5,0,0,28,5,33
SAN JOAQUIN,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,4,0,0,0,4,0,4
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,25,1,0,0,25,1,26
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,12,3,0,0,12,3,15
SAN JULIAN,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,47,32,0,0,47,32,79
SAN LORENZO(PND),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,3,0,0,0,3,0,3
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,14,6,0,0,14,6,20
SAN LUCAS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,33,46,0,0,33,46,79
SAN MATIAS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,20,3,0,0,20,3,23
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,13,5,0,0,13,5,18
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,2,2,0,0,2,2,4
SAN PEDRO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,26,0,0,0,26,0,26
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-01-01,12,22,0,0,12,22,34
