,group,variable,month,O.P.V. 2DA DOSIS,O.P.V. 2DA DOSIS,O.P.V. 2DA DOSIS,O.P.V. 2DA DOSIS,TOTALES,TOTALES,TOTALES
BOLPEBRA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,0,1,0,0,0,1,1
BOYUIBE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,2,7,0,0,2,7,9
BUENA VISTA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,10,7,0,0,10,7,17
CABEZAS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,27,4,0,0,27,4,31
CAIROMA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,3,9,0,0,3,9,12
"CAIZA ""D""",vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,0,5,0,0,0,5,5
CAJUATA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,22,7,0,0,22,7,29
CALACOTO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,2,6,0,0,2,6,8
CALAMARCA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,11,9,0,0,11,9,20
CAMARGO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,17,14,0,0,17,14,31
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,4,0,0,0,4,0,4
CAMIRI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,53,10,0,0,53,10,63
CAPINOTA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,29,17,0,0,29,17,46
CAQUIAVIRI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,6,6,0,0,6,6,12
CARACOLLO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,32,9,0,0,32,9,41
CARANAVI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,67,34,0,0,67,34,101
CARAPARI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,7,8,0,0,7,8,15
CARIPUYO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,0,6,0,0,0,6,6
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,5,6,0,0,5,6,11
CATACORA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,1,0,0,0,1,0,1
CHALLAPATA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,22,24,0,0,22,24,46
CHAQUI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,6,6,0,0,6,6,12
CHARAGUA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,18,24,0,0,18,24,42
CHARAÑA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,2,1,0,0,2,1,3
CHAYANTA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,12,10,0,0,12,10,22
CHIMORE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,23,3,0,0,23,3,26
CHIPAYA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,5,0,0,0,5,0,5
CHOQUE COTA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,1,0,0,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,13,19,0,0,13,19,32
CHUMA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,8,11,0,0,8,11,19
CLIZA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,22,8,0,0,22,8,30
COBIJA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,78,11,0,0,78,11,89
COCHABAMBA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,1320,9,0,0,1320,9,1329
COLCAPIRHUA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,103,24,0,0,103,24,127
"COLCHA ""K""",vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,7,5,0,0,7,5,12
COLLANA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,3,1,0,0,3,1,4
COLOMI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,35,12,0,0,35,12,47
COLPA BELGICA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,10,3,0,0,10,3,13
COLQUECHACA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,14,46,0,0,14,46,60
COLQUENCHA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,4,8,0,0,4,8,12
COLQUIRI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,16,39,0,0,16,39,55
COMANCHE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,5,1,0,0,5,1,6
COMARAPA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,17,12,0,0,17,12,29
COMBAYA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,0,3,0,0,0,3,3
CONCEPCION,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,41,2,0,0,41,2,43
COPACABANA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,2,21,0,0,2,21,23
CORIPATA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,11,7,0,0,11,7,18
CORO CORO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,5,7,0,0,5,7,12
COROICO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,14,9,0,0,14,9,23
CORQUE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,1,2,0,0,1,2,3
COTAGAITA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,9,8,0,0,9,8,17
COTOCA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,101,10,0,0,101,10,111
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,26,10,0,0,26,10,36
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,1,1,0,0,1,1,2
CUEVO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,1,3,0,0,1,3,4
CULPINA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,14,13,0,0,14,13,27
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,7,0,0,0,7,0,7
CURVA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,0,1,0,0,0,1,1
DESAGUADERO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,7,4,0,0,7,4,11
EL ALTO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,1486,129,0,0,1486,129,1615
EL CHORO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,2,4,0,0,2,4,6
EL PUENTE(STC),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,12,2,0,0,12,2,14
EL PUENTE(TJA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,5,12,0,0,5,12,17
EL TORNO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,74,17,0,0,74,17,91
EL VILLAR,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,2,2,0,0,2,2,4
ENTRE RIOS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,32,14,0,0,32,14,46
ENTRE RIOS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,16,13,0,0,16,13,29
EUCALIPTUS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,5,0,0,0,5,0,5
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,26,2,0,0,26,2,28
FILADELFIA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,3,0,0,0,3,0,3
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,24,4,0,0,24,4,28
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,2,17,0,0,2,17,19
GUANAY,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,21,5,0,0,21,5,26
GUAQUI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,4,9,0,0,4,9,13
GUAYARAMERIN,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,45,0,0,0,45,0,45
GUTIERREZ,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,10,25,0,0,10,25,35
HUACARETA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,15,8,0,0,15,8,23
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,4,2,0,0,4,2,6
HUACHACALLA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,1,0,0,0,1,0,1
HUANUNI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,55,5,0,0,55,5,60
HUARACAJE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,4,1,0,0,4,1,5
HUAYLLAMARCA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,2,8,0,0,2,8,10
ICHOCA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,1,6,0,0,1,6,7
ICLA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,5,14,0,0,5,14,19
INCAHUASI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,18,30,0,0,18,30,48
INQUISIVI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,5,23,0,0,5,23,28
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,8,10,0,0,8,10,18
IXIAMAS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,8,0,0,0,8,0,8
JESUS DE MACHACA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,6,3,0,0,6,3,9
LA ASUNTA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,51,21,0,0,51,21,72
LA GUARDIA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,105,3,0,0,105,3,108
LA PAZ,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,1453,70,0,0,1453,70,1523
LAGUNILLAS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,7,8,0,0,7,8,15
LAJA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,9,14,0,0,9,14,23
LAS CARRERAS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,2,2,0,0,2,2,4
LICOMA PAMPA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,1,3,0,0,1,3,4
LLALLAGUA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,33,36,0,0,33,36,69
LLICA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,0,1,0,0,0,1,1
LORETO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,2,3,0,0,2,3,5
LURIBAY,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,4,10,0,0,4,10,14
MACHACAMARCA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,4,0,0,0,4,0,4
MACHARETI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,11,7,0,0,11,7,18
MAGDALENA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,16,20,0,0,16,20,36
MAIRANA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,11,0,0,0,11,0,11
MALLA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,0,1,0,0,0,1,1
MAPIRI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,14,5,0,0,14,5,19
MECAPACA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,10,11,0,0,10,11,21
MINEROS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,62,7,0,0,62,7,69
MIZQUE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,16,32,0,0,16,32,48
MOCOMOCO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,6,15,0,0,6,15,21
MOJOCOYA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,5,2,0,0,5,2,7
MONTEAGUDO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,28,15,0,0,28,15,43
MONTERO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,177,30,0,0,177,30,207
MORO MORO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,2,0,0,0,2,0,2
MOROCHATA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,8,28,0,0,8,28,36
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,0,1,0,0,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,1,2,0,0,1,2,3
OCURI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,16,26,0,0,16,26,42
OKINAWA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,25,5,0,0,25,5,30
OMEREQUE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,3,11,0,0,3,11,14
ORURO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,482,5,0,0,482,5,487
PADCAYA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,10,9,0,0,10,9,19
PADILLA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,8,6,0,0,8,6,14
PAILON,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,20,9,0,0,20,9,29
PALCA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,9,13,0,0,9,13,22
PALOS BLANCOS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,33,18,0,0,33,18,51
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,2,0,0,0,2,0,2
PAMPA GRANDE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,13,2,0,0,13,2,15
PAPEL PAMPA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,1,7,0,0,1,7,8
PASORAPA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,2,5,0,0,2,5,7
PATACAMAYA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,24,22,0,0,24,22,46
PAZÑA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,11,3,0,0,11,3,14
PELECHUCO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,1,5,0,0,1,5,6
POCOATA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,9,42,0,0,9,42,51
POCONA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,15,8,0,0,15,8,23
POJO (CBBA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,21,7,0,0,21,7,28
POOPO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,12,2,0,0,12,2,14
PORCO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,21,5,0,0,21,5,26
POROMA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,9,10,0,0,9,10,19
PORONGO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,7,8,0,0,7,8,15
PORTACHUELO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,49,2,0,0,49,2,51
PORVENIR,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,8,4,0,0,8,4,12
POSTRER VALLE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,4,0,0,0,4,0,4
POTOSI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,365,44,0,0,365,44,409
PRESTO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,4,6,0,0,4,6,10
PUCARA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,2,0,0,0,2,0,2
PUCARANI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,17,30,0,0,17,30,47
PUERTO ACOSTA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,15,30,0,0,15,30,45
PUERTO CARABUCO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,1,15,0,0,1,15,16
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,1,5,0,0,1,5,6
PUERTO PEREZ,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,0,14,0,0,0,14,14
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,14,12,0,0,14,12,26
PUERTO RICO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,9,0,0,0,9,0,9
PUERTO SUAREZ,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,25,5,0,0,25,5,30
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,74,8,0,0,74,8,82
PUNA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,25,33,0,0,25,33,58
PUNATA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,38,2,0,0,38,2,40
QUIABAYA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,1,2,0,0,1,2,3
QUILLACOLLO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,166,14,0,0,166,14,180
QUIME,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,3,18,0,0,3,18,21
QUIRUSILLAS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,1,1,0,0,1,1,2
RAVELO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,4,20,0,0,4,20,24
REYES,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,11,2,0,0,11,2,13
RIBERALTA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,140,34,0,0,140,34,174
ROBORE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,20,8,0,0,20,8,28
RURRENABAQUE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,31,2,0,0,31,2,33
SABAYA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,5,0,0,0,5,0,5
SACABA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,146,49,0,0,146,49,195
SACABAMBA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,2,3,0,0,2,3,5
SACACA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,9,20,0,0,9,20,29
SAIPINA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,1,7,0,0,1,7,8
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,6,5,0,0,6,5,11
SAMAIPATA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,7,6,0,0,7,6,13
SAN ANDRES,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,14,6,0,0,14,6,20
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,0,4,0,0,0,4,4
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,4,0,0,0,4,0,4
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,8,6,0,0,8,6,14
SAN BENITO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,9,11,0,0,9,11,20
SAN BORJA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,48,3,0,0,48,3,51
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,7,5,0,0,7,5,12
SAN CARLOS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,35,2,0,0,35,2,37
SAN IGNACIO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,23,6,0,0,23,6,29
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,61,13,0,0,61,13,74
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,2,0,0,0,2,0,2
SAN JAVIER(STC),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,30,6,0,0,30,6,36
SAN JOAQUIN,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,9,0,0,0,9,0,9
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,30,1,0,0,30,1,31
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,6,3,0,0,6,3,9
SAN JULIAN,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,45,31,0,0,45,31,76
SAN LORENZO(PND),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,4,0,0,0,4,0,4
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,13,11,0,0,13,11,24
SAN LUCAS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,23,32,0,0,23,32,55
SAN MATIAS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,25,1,0,0,25,1,26
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,23,4,0,0,23,4,27
SAN PEDRO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,27,0,0,0,27,0,27
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,8,25,0,0,8,25,33
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,2,3,0,0,2,3,5
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,0,2,0,0,0,2,2
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,3,1,0,0,3,1,4
SAN RAFAEL,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,4,1,0,0,4,1,5
SAN RAMON,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,12,0,0,0,12,0,12
SAN RAMON,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,2,12,0,0,2,12,14
SANTA ANA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-01-01,22,0,0,0,22,0,22
