,group,variable,month,BCG,BCG,BCG,BCG,TOTALES,TOTALES,TOTALES
CALACOTO,vacunaciones en menores de 1 ano,bcg,2008-01-01,1,10,0,0,1,10,11
CALAMARCA,vacunaciones en menores de 1 ano,bcg,2008-01-01,7,14,0,0,7,14,21
CAMARGO,vacunaciones en menores de 1 ano,bcg,2008-01-01,26,3,0,0,26,3,29
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,bcg,2008-01-01,4,2,0,0,4,2,6
CAMIRI,vacunaciones en menores de 1 ano,bcg,2008-01-01,61,3,0,0,61,3,64
CAPINOTA,vacunaciones en menores de 1 ano,bcg,2008-01-01,21,10,0,0,21,10,31
CAQUIAVIRI,vacunaciones en menores de 1 ano,bcg,2008-01-01,0,10,0,0,0,10,10
CARACOLLO,vacunaciones en menores de 1 ano,bcg,2008-01-01,26,6,0,0,26,6,32
CARANAVI,vacunaciones en menores de 1 ano,bcg,2008-01-01,108,56,0,0,108,56,164
CARAPARI,vacunaciones en menores de 1 ano,bcg,2008-01-01,11,3,0,0,11,3,14
CARIPUYO,vacunaciones en menores de 1 ano,bcg,2008-01-01,4,5,0,0,4,5,9
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,bcg,2008-01-01,4,1,0,0,4,1,5
CATACORA,vacunaciones en menores de 1 ano,bcg,2008-01-01,1,2,0,0,1,2,3
CHALLAPATA,vacunaciones en menores de 1 ano,bcg,2008-01-01,29,17,0,0,29,17,46
CHAQUI,vacunaciones en menores de 1 ano,bcg,2008-01-01,9,6,0,0,9,6,15
CHARAGUA,vacunaciones en menores de 1 ano,bcg,2008-01-01,26,31,0,0,26,31,57
CHARAÑA,vacunaciones en menores de 1 ano,bcg,2008-01-01,1,11,0,0,1,11,12
CHAYANTA,vacunaciones en menores de 1 ano,bcg,2008-01-01,17,18,0,0,17,18,35
CHIMORE,vacunaciones en menores de 1 ano,bcg,2008-01-01,22,2,0,0,22,2,24
CHIPAYA,vacunaciones en menores de 1 ano,bcg,2008-01-01,1,0,0,0,1,0,1
CHOQUE COTA,vacunaciones en menores de 1 ano,bcg,2008-01-01,0,1,0,0,0,1,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,bcg,2008-01-01,16,8,0,0,16,8,24
CHUMA,vacunaciones en menores de 1 ano,bcg,2008-01-01,2,20,0,0,2,20,22
CLIZA,vacunaciones en menores de 1 ano,bcg,2008-01-01,23,1,0,0,23,1,24
COBIJA,vacunaciones en menores de 1 ano,bcg,2008-01-01,106,1,0,0,106,1,107
COCHABAMBA,vacunaciones en menores de 1 ano,bcg,2008-01-01,1681,36,0,0,1681,36,1717
COIPASA,vacunaciones en menores de 1 ano,bcg,2008-01-01,1,0,0,0,1,0,1
COLCAPIRHUA,vacunaciones en menores de 1 ano,bcg,2008-01-01,95,5,0,0,95,5,100
"COLCHA ""K""",vacunaciones en menores de 1 ano,bcg,2008-01-01,3,2,0,0,3,2,5
COLLANA,vacunaciones en menores de 1 ano,bcg,2008-01-01,0,4,0,0,0,4,4
COLOMI,vacunaciones en menores de 1 ano,bcg,2008-01-01,28,8,0,0,28,8,36
COLPA BELGICA,vacunaciones en menores de 1 ano,bcg,2008-01-01,3,3,0,0,3,3,6
COLQUECHACA,vacunaciones en menores de 1 ano,bcg,2008-01-01,19,66,0,0,19,66,85
COLQUENCHA,vacunaciones en menores de 1 ano,bcg,2008-01-01,5,2,0,0,5,2,7
COLQUIRI,vacunaciones en menores de 1 ano,bcg,2008-01-01,28,30,0,0,28,30,58
COMANCHE,vacunaciones en menores de 1 ano,bcg,2008-01-01,1,0,0,0,1,0,1
COMARAPA,vacunaciones en menores de 1 ano,bcg,2008-01-01,24,3,0,0,24,3,27
CONCEPCION,vacunaciones en menores de 1 ano,bcg,2008-01-01,30,1,0,0,30,1,31
COPACABANA,vacunaciones en menores de 1 ano,bcg,2008-01-01,9,18,0,0,9,18,27
CORIPATA,vacunaciones en menores de 1 ano,bcg,2008-01-01,9,13,0,0,9,13,22
CORO CORO,vacunaciones en menores de 1 ano,bcg,2008-01-01,5,3,0,0,5,3,8
COROICO,vacunaciones en menores de 1 ano,bcg,2008-01-01,5,5,0,0,5,5,10
CORQUE,vacunaciones en menores de 1 ano,bcg,2008-01-01,2,7,0,0,2,7,9
COTAGAITA,vacunaciones en menores de 1 ano,bcg,2008-01-01,2,17,0,0,2,17,19
COTOCA,vacunaciones en menores de 1 ano,bcg,2008-01-01,75,7,0,0,75,7,82
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,bcg,2008-01-01,14,6,0,0,14,6,20
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,bcg,2008-01-01,1,5,0,0,1,5,6
CUEVO,vacunaciones en menores de 1 ano,bcg,2008-01-01,3,3,0,0,3,3,6
CULPINA,vacunaciones en menores de 1 ano,bcg,2008-01-01,11,10,0,0,11,10,21
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,bcg,2008-01-01,5,0,0,0,5,0,5
CURVA,vacunaciones en menores de 1 ano,bcg,2008-01-01,0,4,0,0,0,4,4
DESAGUADERO,vacunaciones en menores de 1 ano,bcg,2008-01-01,4,3,0,0,4,3,7
EL ALTO,vacunaciones en menores de 1 ano,bcg,2008-01-01,1770,22,0,0,1770,22,1792
EL CHORO,vacunaciones en menores de 1 ano,bcg,2008-01-01,1,1,0,0,1,1,2
EL PUENTE(STC),vacunaciones en menores de 1 ano,bcg,2008-01-01,3,8,0,0,3,8,11
EL PUENTE(TJA),vacunaciones en menores de 1 ano,bcg,2008-01-01,3,15,0,0,3,15,18
EL TORNO,vacunaciones en menores de 1 ano,bcg,2008-01-01,68,1,0,0,68,1,69
EL VILLAR,vacunaciones en menores de 1 ano,bcg,2008-01-01,2,1,0,0,2,1,3
ENTRE RIOS,vacunaciones en menores de 1 ano,bcg,2008-01-01,34,10,0,0,34,10,44
ENTRE RIOS,vacunaciones en menores de 1 ano,bcg,2008-01-01,21,3,0,0,21,3,24
EUCALIPTUS,vacunaciones en menores de 1 ano,bcg,2008-01-01,5,1,0,0,5,1,6
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,bcg,2008-01-01,9,0,0,0,9,0,9
FILADELFIA,vacunaciones en menores de 1 ano,bcg,2008-01-01,1,0,0,0,1,0,1
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,bcg,2008-01-01,24,9,0,0,24,9,33
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,bcg,2008-01-01,10,22,0,0,10,22,32
GUANAY,vacunaciones en menores de 1 ano,bcg,2008-01-01,13,3,0,0,13,3,16
GUAQUI,vacunaciones en menores de 1 ano,bcg,2008-01-01,4,7,0,0,4,7,11
GUAYARAMERIN,vacunaciones en menores de 1 ano,bcg,2008-01-01,84,5,0,0,84,5,89
GUTIERREZ,vacunaciones en menores de 1 ano,bcg,2008-01-01,11,17,0,0,11,17,28
HUACARETA,vacunaciones en menores de 1 ano,bcg,2008-01-01,12,1,0,0,12,1,13
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,bcg,2008-01-01,0,4,0,0,0,4,4
HUANUNI,vacunaciones en menores de 1 ano,bcg,2008-01-01,51,3,0,0,51,3,54
HUARACAJE,vacunaciones en menores de 1 ano,bcg,2008-01-01,2,2,0,0,2,2,4
HUAYLLAMARCA,vacunaciones en menores de 1 ano,bcg,2008-01-01,2,1,0,0,2,1,3
ICHOCA,vacunaciones en menores de 1 ano,bcg,2008-01-01,0,3,0,0,0,3,3
ICLA,vacunaciones en menores de 1 ano,bcg,2008-01-01,7,7,0,0,7,7,14
INCAHUASI,vacunaciones en menores de 1 ano,bcg,2008-01-01,29,37,0,0,29,37,66
INQUISIVI,vacunaciones en menores de 1 ano,bcg,2008-01-01,5,11,0,0,5,11,16
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,bcg,2008-01-01,1,1,0,0,1,1,2
IXIAMAS,vacunaciones en menores de 1 ano,bcg,2008-01-01,7,1,0,0,7,1,8
JESUS DE MACHACA,vacunaciones en menores de 1 ano,bcg,2008-01-01,12,3,0,0,12,3,15
LA ASUNTA,vacunaciones en menores de 1 ano,bcg,2008-01-01,68,26,0,0,68,26,94
LA GUARDIA,vacunaciones en menores de 1 ano,bcg,2008-01-01,67,0,0,0,67,0,67
LA PAZ,vacunaciones en menores de 1 ano,bcg,2008-01-01,1975,5,0,0,1975,5,1980
LAGUNILLAS,vacunaciones en menores de 1 ano,bcg,2008-01-01,4,7,0,0,4,7,11
LAJA,vacunaciones en menores de 1 ano,bcg,2008-01-01,8,27,0,0,8,27,35
LLALLAGUA,vacunaciones en menores de 1 ano,bcg,2008-01-01,52,50,0,0,52,50,102
LLICA,vacunaciones en menores de 1 ano,bcg,2008-01-01,4,0,0,0,4,0,4
LURIBAY,vacunaciones en menores de 1 ano,bcg,2008-01-01,5,9,0,0,5,9,14
MACHACAMARCA,vacunaciones en menores de 1 ano,bcg,2008-01-01,5,1,0,0,5,1,6
MACHARETI,vacunaciones en menores de 1 ano,bcg,2008-01-01,4,1,0,0,4,1,5
MAGDALENA,vacunaciones en menores de 1 ano,bcg,2008-01-01,16,18,0,0,16,18,34
MAIRANA,vacunaciones en menores de 1 ano,bcg,2008-01-01,20,0,0,0,20,0,20
MALLA,vacunaciones en menores de 1 ano,bcg,2008-01-01,1,4,0,0,1,4,5
MAPIRI,vacunaciones en menores de 1 ano,bcg,2008-01-01,22,4,0,0,22,4,26
MECAPACA,vacunaciones en menores de 1 ano,bcg,2008-01-01,7,7,0,0,7,7,14
MINEROS,vacunaciones en menores de 1 ano,bcg,2008-01-01,29,2,0,0,29,2,31
MIZQUE,vacunaciones en menores de 1 ano,bcg,2008-01-01,37,18,0,0,37,18,55
MOCOMOCO,vacunaciones en menores de 1 ano,bcg,2008-01-01,2,23,0,0,2,23,25
MOJOCOYA,vacunaciones en menores de 1 ano,bcg,2008-01-01,3,8,0,0,3,8,11
MONTEAGUDO,vacunaciones en menores de 1 ano,bcg,2008-01-01,38,10,0,0,38,10,48
MONTERO,vacunaciones en menores de 1 ano,bcg,2008-01-01,260,0,0,0,260,0,260
MORO MORO,vacunaciones en menores de 1 ano,bcg,2008-01-01,4,0,0,0,4,0,4
MOROCHATA,vacunaciones en menores de 1 ano,bcg,2008-01-01,7,34,0,0,7,34,41
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,bcg,2008-01-01,0,4,0,0,0,4,4
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,bcg,2008-01-01,2,0,0,0,2,0,2
OCURI,vacunaciones en menores de 1 ano,bcg,2008-01-01,19,26,0,0,19,26,45
OKINAWA,vacunaciones en menores de 1 ano,bcg,2008-01-01,18,6,0,0,18,6,24
OMEREQUE,vacunaciones en menores de 1 ano,bcg,2008-01-01,1,15,0,0,1,15,16
ORURO,vacunaciones en menores de 1 ano,bcg,2008-01-01,543,1,0,0,543,1,544
PADCAYA,vacunaciones en menores de 1 ano,bcg,2008-01-01,11,8,0,0,11,8,19
PADILLA,vacunaciones en menores de 1 ano,bcg,2008-01-01,17,5,0,0,17,5,22
PAILON,vacunaciones en menores de 1 ano,bcg,2008-01-01,37,0,0,0,37,0,37
PALCA,vacunaciones en menores de 1 ano,bcg,2008-01-01,2,9,0,0,2,9,11
PALOS BLANCOS,vacunaciones en menores de 1 ano,bcg,2008-01-01,31,14,0,0,31,14,45
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,bcg,2008-01-01,0,5,0,0,0,5,5
PAMPA GRANDE,vacunaciones en menores de 1 ano,bcg,2008-01-01,10,1,0,0,10,1,11
PAPEL PAMPA,vacunaciones en menores de 1 ano,bcg,2008-01-01,3,11,0,0,3,11,14
PASORAPA,vacunaciones en menores de 1 ano,bcg,2008-01-01,3,2,0,0,3,2,5
PATACAMAYA,vacunaciones en menores de 1 ano,bcg,2008-01-01,27,20,0,0,27,20,47
PAZÑA,vacunaciones en menores de 1 ano,bcg,2008-01-01,2,6,0,0,2,6,8
PELECHUCO,vacunaciones en menores de 1 ano,bcg,2008-01-01,3,5,0,0,3,5,8
POCOATA,vacunaciones en menores de 1 ano,bcg,2008-01-01,4,39,0,0,4,39,43
POCONA,vacunaciones en menores de 1 ano,bcg,2008-01-01,10,10,0,0,10,10,20
POJO (CBBA),vacunaciones en menores de 1 ano,bcg,2008-01-01,21,1,0,0,21,1,22
POOPO,vacunaciones en menores de 1 ano,bcg,2008-01-01,3,5,0,0,3,5,8
PORCO,vacunaciones en menores de 1 ano,bcg,2008-01-01,24,3,0,0,24,3,27
POROMA,vacunaciones en menores de 1 ano,bcg,2008-01-01,18,3,0,0,18,3,21
PORONGO,vacunaciones en menores de 1 ano,bcg,2008-01-01,4,3,0,0,4,3,7
PORTACHUELO,vacunaciones en menores de 1 ano,bcg,2008-01-01,31,4,0,0,31,4,35
PORVENIR,vacunaciones en menores de 1 ano,bcg,2008-01-01,5,2,0,0,5,2,7
POSTRER VALLE,vacunaciones en menores de 1 ano,bcg,2008-01-01,1,0,0,0,1,0,1
POTOSI,vacunaciones en menores de 1 ano,bcg,2008-01-01,479,16,0,0,479,16,495
PRESTO,vacunaciones en menores de 1 ano,bcg,2008-01-01,9,14,0,0,9,14,23
PUCARA,vacunaciones en menores de 1 ano,bcg,2008-01-01,3,0,0,0,3,0,3
PUCARANI,vacunaciones en menores de 1 ano,bcg,2008-01-01,34,28,0,0,34,28,62
PUERTO ACOSTA,vacunaciones en menores de 1 ano,bcg,2008-01-01,18,16,0,0,18,16,34
PUERTO CARABUCO,vacunaciones en menores de 1 ano,bcg,2008-01-01,1,21,0,0,1,21,22
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,bcg,2008-01-01,2,7,0,0,2,7,9
PUERTO PEREZ,vacunaciones en menores de 1 ano,bcg,2008-01-01,0,14,0,0,0,14,14
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,bcg,2008-01-01,13,14,0,0,13,14,27
PUERTO RICO,vacunaciones en menores de 1 ano,bcg,2008-01-01,3,0,0,0,3,0,3
PUERTO SILES,vacunaciones en menores de 1 ano,bcg,2008-01-01,1,0,0,0,1,0,1
PUERTO SUAREZ,vacunaciones en menores de 1 ano,bcg,2008-01-01,31,0,0,0,31,0,31
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,bcg,2008-01-01,87,7,0,0,87,7,94
PUNA,vacunaciones en menores de 1 ano,bcg,2008-01-01,11,35,0,0,11,35,46
PUNATA,vacunaciones en menores de 1 ano,bcg,2008-01-01,61,0,0,0,61,0,61
QUIABAYA,vacunaciones en menores de 1 ano,bcg,2008-01-01,2,2,0,0,2,2,4
QUILLACOLLO,vacunaciones en menores de 1 ano,bcg,2008-01-01,205,4,0,0,205,4,209
QUIME,vacunaciones en menores de 1 ano,bcg,2008-01-01,0,17,0,0,0,17,17
QUIRUSILLAS,vacunaciones en menores de 1 ano,bcg,2008-01-01,2,0,0,0,2,0,2
RAVELO,vacunaciones en menores de 1 ano,bcg,2008-01-01,3,22,0,0,3,22,25
REYES,vacunaciones en menores de 1 ano,bcg,2008-01-01,24,1,0,0,24,1,25
RIBERALTA,vacunaciones en menores de 1 ano,bcg,2008-01-01,238,17,0,0,238,17,255
ROBORE,vacunaciones en menores de 1 ano,bcg,2008-01-01,9,21,0,0,9,21,30
RURRENABAQUE,vacunaciones en menores de 1 ano,bcg,2008-01-01,37,4,0,0,37,4,41
SABAYA,vacunaciones en menores de 1 ano,bcg,2008-01-01,3,4,0,0,3,4,7
SACABA,vacunaciones en menores de 1 ano,bcg,2008-01-01,142,15,0,0,142,15,157
SACABAMBA,vacunaciones en menores de 1 ano,bcg,2008-01-01,6,10,0,0,6,10,16
SACACA,vacunaciones en menores de 1 ano,bcg,2008-01-01,12,18,0,0,12,18,30
SAIPINA,vacunaciones en menores de 1 ano,bcg,2008-01-01,0,2,0,0,0,2,2
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,bcg,2008-01-01,0,6,0,0,0,6,6
SAMAIPATA,vacunaciones en menores de 1 ano,bcg,2008-01-01,10,2,0,0,10,2,12
SAN AGUSTIN,vacunaciones en menores de 1 ano,bcg,2008-01-01,2,0,0,0,2,0,2
SAN ANDRES,vacunaciones en menores de 1 ano,bcg,2008-01-01,8,1,0,0,8,1,9
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,bcg,2008-01-01,2,7,0,0,2,7,9
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,bcg,2008-01-01,8,0,0,0,8,0,8
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,bcg,2008-01-01,6,4,0,0,6,4,10
SAN BENITO,vacunaciones en menores de 1 ano,bcg,2008-01-01,10,9,0,0,10,9,19
SAN BORJA,vacunaciones en menores de 1 ano,bcg,2008-01-01,51,7,0,0,51,7,58
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,bcg,2008-01-01,7,3,0,0,7,3,10
SAN CARLOS,vacunaciones en menores de 1 ano,bcg,2008-01-01,57,9,0,0,57,9,66
SAN IGNACIO,vacunaciones en menores de 1 ano,bcg,2008-01-01,33,2,0,0,33,2,35
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,bcg,2008-01-01,89,17,0,0,89,17,106
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,bcg,2008-01-01,1,0,0,0,1,0,1
SAN JAVIER(STC),vacunaciones en menores de 1 ano,bcg,2008-01-01,30,1,0,0,30,1,31
SAN JOAQUIN,vacunaciones en menores de 1 ano,bcg,2008-01-01,5,3,0,0,5,3,8
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,bcg,2008-01-01,23,2,0,0,23,2,25
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,bcg,2008-01-01,8,2,0,0,8,2,10
SAN JULIAN,vacunaciones en menores de 1 ano,bcg,2008-01-01,48,14,0,0,48,14,62
SAN LORENZO(PND),vacunaciones en menores de 1 ano,bcg,2008-01-01,7,0,0,0,7,0,7
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,bcg,2008-01-01,6,3,0,0,6,3,9
SAN LUCAS,vacunaciones en menores de 1 ano,bcg,2008-01-01,28,28,0,0,28,28,56
SAN MATIAS,vacunaciones en menores de 1 ano,bcg,2008-01-01,17,3,0,0,17,3,20
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,bcg,2008-01-01,14,3,0,0,14,3,17
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,bcg,2008-01-01,0,2,0,0,0,2,2
SAN PEDRO,vacunaciones en menores de 1 ano,bcg,2008-01-01,21,0,0,0,21,0,21
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,bcg,2008-01-01,13,32,0,0,13,32,45
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,bcg,2008-01-01,1,4,0,0,1,4,5
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,bcg,2008-01-01,2,4,0,0,2,4,6
SAN RAFAEL,vacunaciones en menores de 1 ano,bcg,2008-01-01,2,2,0,0,2,2,4
SAN RAMON,vacunaciones en menores de 1 ano,bcg,2008-01-01,20,0,0,0,20,0,20
SAN RAMON,vacunaciones en menores de 1 ano,bcg,2008-01-01,5,2,0,0,5,2,7
SANTA ANA,vacunaciones en menores de 1 ano,bcg,2008-01-01,23,0,0,0,23,0,23
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,bcg,2008-01-01,2676,162,0,0,2676,162,2838
SANTA ROSA,vacunaciones en menores de 1 ano,bcg,2008-01-01,16,4,0,0,16,4,20
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,bcg,2008-01-01,22,4,0,0,22,4,26
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,bcg,2008-01-01,0,10,0,0,0,10,10
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,bcg,2008-01-01,2,5,0,0,2,5,7
SANTIVAÑES,vacunaciones en menores de 1 ano,bcg,2008-01-01,3,0,0,0,3,0,3
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,bcg,2008-01-01,4,2,0,0,4,2,6
SAPAHAQUI,vacunaciones en menores de 1 ano,bcg,2008-01-01,0,8,0,0,0,8,8
SENA,vacunaciones en menores de 1 ano,bcg,2008-01-01,3,1,0,0,3,1,4
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,bcg,2008-01-01,6,9,0,0,6,9,15
SICAYA,vacunaciones en menores de 1 ano,bcg,2008-01-01,3,6,0,0,3,6,9
SIPE SIPE,vacunaciones en menores de 1 ano,bcg,2008-01-01,36,2,0,0,36,2,38
SOPACHUY,vacunaciones en menores de 1 ano,bcg,2008-01-01,6,3,0,0,6,3,9
SORACACHI,vacunaciones en menores de 1 ano,bcg,2008-01-01,3,3,0,0,3,3,6
SORATA,vacunaciones en menores de 1 ano,bcg,2008-01-01,17,21,0,0,17,21,38
SUCRE,vacunaciones en menores de 1 ano,bcg,2008-01-01,510,6,0,0,510,6,516
TACACHI,vacunaciones en menores de 1 ano,bcg,2008-01-01,3,0,0,0,3,0,3
TACACOMA,vacunaciones en menores de 1 ano,bcg,2008-01-01,9,12,0,0,9,12,21
TACOBAMBA,vacunaciones en menores de 1 ano,bcg,2008-01-01,0,12,0,0,0,12,12
TACOPAYA,vacunaciones en menores de 1 ano,bcg,2008-01-01,15,16,0,0,15,16,31
TAHUA,vacunaciones en menores de 1 ano,bcg,2008-01-01,1,0,0,0,1,0,1
TAPACARI,vacunaciones en menores de 1 ano,bcg,2008-01-01,32,14,0,0,32,14,46
TARABUCO,vacunaciones en menores de 1 ano,bcg,2008-01-01,32,19,0,0,32,19,51
TARACO,vacunaciones en menores de 1 ano,bcg,2008-01-01,5,1,0,0,5,1,6
TARATA,vacunaciones en menores de 1 ano,bcg,2008-01-01,11,1,0,0,11,1,12
TARIJA,vacunaciones en menores de 1 ano,bcg,2008-01-01,359,0,0,0,359,0,359
TARVITA,vacunaciones en menores de 1 ano,bcg,2008-01-01,18,7,0,0,18,7,25
TEOPONTE,vacunaciones en menores de 1 ano,bcg,2008-01-01,3,5,0,0,3,5,8
TIAWANACU,vacunaciones en menores de 1 ano,bcg,2008-01-01,11,14,0,0,11,14,25
TINGUIPAYA,vacunaciones en menores de 1 ano,bcg,2008-01-01,16,33,0,0,16,33,49
TIPUANI,vacunaciones en menores de 1 ano,bcg,2008-01-01,17,4,0,0,17,4,21
TIQUIPAYA,vacunaciones en menores de 1 ano,bcg,2008-01-01,61,5,0,0,61,5,66
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,bcg,2008-01-01,82,22,0,0,82,22,104
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,bcg,2008-01-01,0,1,0,0,0,1,1
TOCO,vacunaciones en menores de 1 ano,bcg,2008-01-01,4,0,0,0,4,0,4
TODOS SANTOS,vacunaciones en menores de 1 ano,bcg,2008-01-01,0,2,0,0,0,2,2
TOLATA,vacunaciones en menores de 1 ano,bcg,2008-01-01,3,2,0,0,3,2,5
TOLEDO,vacunaciones en menores de 1 ano,bcg,2008-01-01,7,3,0,0,7,3,10
TOMAVE,vacunaciones en menores de 1 ano,bcg,2008-01-01,3,10,0,0,3,10,13
TOMINA,vacunaciones en menores de 1 ano,bcg,2008-01-01,10,2,0,0,10,2,12
TORO TORO,vacunaciones en menores de 1 ano,bcg,2008-01-01,7,8,0,0,7,8,15
TOTORA(CBBA),vacunaciones en menores de 1 ano,bcg,2008-01-01,10,17,0,0,10,17,27
TOTORA(ORR),vacunaciones en menores de 1 ano,bcg,2008-01-01,1,7,0,0,1,7,8
TRIGAL,vacunaciones en menores de 1 ano,bcg,2008-01-01,0,1,0,0,0,1,1
TRINIDAD,vacunaciones en menores de 1 ano,bcg,2008-01-01,279,1,0,0,279,1,280
