,group,variable,month,PENTAVALENTE 3RA. DOSIS,PENTAVALENTE 3RA. DOSIS,PENTAVALENTE 3RA. DOSIS,PENTAVALENTE 3RA. DOSIS,TOTALES,TOTALES,TOTALES
BOYUIBE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,4,4,0,0,4,4,8
BUENA VISTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,25,13,0,0,25,13,38
CABEZAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,20,1,0,0,20,1,21
CAIROMA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,3,10,0,0,3,10,13
"CAIZA ""D""",vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,0,13,0,0,0,13,13
CAJUATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,12,2,0,0,12,2,14
CALACOTO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,0,5,0,0,0,5,5
CALAMARCA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,4,12,0,0,4,12,16
CAMARGO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,16,5,0,0,16,5,21
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,1,0,0,0,1,0,1
CAMIRI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,50,6,0,0,50,6,56
CAPINOTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,19,22,0,0,19,22,41
CAQUIAVIRI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,1,7,0,0,1,7,8
CARACOLLO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,17,12,0,0,17,12,29
CARANAVI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,61,58,0,0,61,58,119
CARAPARI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,7,4,0,0,7,4,11
CARIPUYO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,0,4,0,0,0,4,4
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,6,6,0,0,6,6,12
CATACORA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,0,1,0,0,0,1,1
CHALLAPATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,18,36,0,0,18,36,54
CHAQUI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,2,2,0,0,2,2,4
CHARAGUA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,18,31,0,0,18,31,49
CHARAÑA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,3,3,0,0,3,3,6
CHAYANTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,11,13,0,0,11,13,24
CHIMORE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,25,9,0,0,25,9,34
CHIPAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,5,0,0,0,5,0,5
CHOQUE COTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,2,0,0,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,8,20,0,0,8,20,28
CHUMA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,6,5,0,0,6,5,11
CLIZA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,19,4,0,0,19,4,23
COBIJA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,62,14,0,0,62,14,76
COCHABAMBA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,1182,14,0,0,1182,14,1196
COIPASA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,2,0,0,0,2,0,2
COLCAPIRHUA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,97,19,0,0,97,19,116
"COLCHA ""K""",vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,5,3,0,0,5,3,8
COLLANA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,1,0,0,0,1,0,1
COLOMI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,25,29,0,0,25,29,54
COLPA BELGICA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,6,6,0,0,6,6,12
COLQUECHACA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,5,49,0,0,5,49,54
COLQUENCHA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,4,6,0,0,4,6,10
COLQUIRI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,25,36,0,0,25,36,61
COMANCHE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,3,0,0,0,3,0,3
COMARAPA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,20,11,0,0,20,11,31
COMBAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,0,5,0,0,0,5,5
CONCEPCION,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,33,3,0,0,33,3,36
COPACABANA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,3,17,0,0,3,17,20
CORIPATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,12,8,0,0,12,8,20
CORO CORO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,3,7,0,0,3,7,10
COROICO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,3,5,0,0,3,5,8
CORQUE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,2,4,0,0,2,4,6
COTAGAITA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,8,10,0,0,8,10,18
COTOCA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,91,14,0,0,91,14,105
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,17,11,0,0,17,11,28
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,3,2,0,0,3,2,5
CUEVO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,1,1,0,0,1,1,2
CULPINA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,22,10,0,0,22,10,32
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,6,1,0,0,6,1,7
CURVA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,0,5,0,0,0,5,5
DESAGUADERO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,5,5,0,0,5,5,10
EL ALTO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,1288,204,0,0,1288,204,1492
EL CHORO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,2,4,0,0,2,4,6
EL PUENTE(STC),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,18,4,0,0,18,4,22
EL PUENTE(TJA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,2,7,0,0,2,7,9
EL TORNO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,81,10,0,0,81,10,91
EL VILLAR,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,2,0,0,0,2,0,2
ENTRE RIOS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,49,16,0,0,49,16,65
ENTRE RIOS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,12,8,0,0,12,8,20
EUCALIPTUS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,11,0,0,0,11,0,11
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,0,3,0,0,0,3,3
EXALTACION,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,1,0,0,0,1,0,1
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,26,0,0,0,26,0,26
FILADELFIA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,4,7,0,0,4,7,11
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,29,15,0,0,29,15,44
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,3,16,0,0,3,16,19
GUANAY,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,16,9,0,0,16,9,25
GUAQUI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,1,8,0,0,1,8,9
GUAYARAMERIN,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,52,14,0,0,52,14,66
GUTIERREZ,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,5,20,0,0,5,20,25
HUACARETA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,3,6,0,0,3,6,9
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,0,1,0,0,0,1,1
HUACHACALLA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,3,0,0,0,3,0,3
HUANUNI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,47,7,0,0,47,7,54
HUARACAJE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,0,2,0,0,0,2,2
HUAYLLAMARCA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,1,3,0,0,1,3,4
ICHOCA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,0,8,0,0,0,8,8
ICLA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,7,7,0,0,7,7,14
INCAHUASI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,29,28,0,0,29,28,57
INQUISIVI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,9,14,0,0,9,14,23
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,9,11,0,0,9,11,20
IXIAMAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,5,1,0,0,5,1,6
JESUS DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,7,6,0,0,7,6,13
LA ASUNTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,50,30,0,0,50,30,80
LA GUARDIA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,101,3,0,0,101,3,104
LA PAZ,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,1323,89,0,0,1323,89,1412
LAGUNILLAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,6,2,0,0,6,2,8
LAJA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,18,21,0,0,18,21,39
LAS CARRERAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,3,0,0,0,3,0,3
LICOMA PAMPA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,2,1,0,0,2,1,3
LLALLAGUA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,34,50,0,0,34,50,84
LLICA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,1,1,0,0,1,1,2
LORETO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,3,2,0,0,3,2,5
LURIBAY,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,3,5,0,0,3,5,8
MACHACAMARCA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,8,3,0,0,8,3,11
MACHARETI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,9,7,0,0,9,7,16
MAGDALENA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,17,24,0,0,17,24,41
MAIRANA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,10,0,0,0,10,0,10
MALLA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,0,1,0,0,0,1,1
MAPIRI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,9,11,0,0,9,11,20
MECAPACA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,10,9,0,0,10,9,19
MINEROS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,47,6,0,0,47,6,53
MIZQUE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,16,20,0,0,16,20,36
MOCOMOCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,2,12,0,0,2,12,14
MOJOCOYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,1,5,0,0,1,5,6
MONTEAGUDO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,41,6,0,0,41,6,47
MONTERO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,145,19,0,0,145,19,164
MORO MORO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,0,1,0,0,0,1,1
MOROCHATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,9,20,0,0,9,20,29
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,0,2,0,0,0,2,2
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,0,2,0,0,0,2,2
OCURI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,20,26,0,0,20,26,46
OKINAWA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,22,7,0,0,22,7,29
OMEREQUE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,4,7,0,0,4,7,11
ORURO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,452,9,0,0,452,9,461
PADCAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,16,9,0,0,16,9,25
PADILLA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,4,4,0,0,4,4,8
PAILON,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,23,30,0,0,23,30,53
PALCA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,5,13,0,0,5,13,18
PALOS BLANCOS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,35,16,0,0,35,16,51
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,2,0,0,0,2,0,2
PAMPA GRANDE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,9,0,0,0,9,0,9
PAPEL PAMPA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,2,10,0,0,2,10,12
PASORAPA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,2,2,0,0,2,2,4
PATACAMAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,27,27,0,0,27,27,54
PAZÑA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,10,4,0,0,10,4,14
PELECHUCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,2,7,0,0,2,7,9
POCOATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,2,25,0,0,2,25,27
POCONA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,15,11,0,0,15,11,26
POJO (CBBA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,25,10,0,0,25,10,35
POOPO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,13,2,0,0,13,2,15
PORCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,16,4,0,0,16,4,20
POROMA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,5,11,0,0,5,11,16
PORONGO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,12,10,0,0,12,10,22
PORTACHUELO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,33,6,0,0,33,6,39
PORVENIR,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,10,7,0,0,10,7,17
POSTRER VALLE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,2,0,0,0,2,0,2
POTOSI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,374,68,0,0,374,68,442
PRESTO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,5,10,0,0,5,10,15
PUCARANI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,9,26,0,0,9,26,35
PUERTO ACOSTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,5,22,0,0,5,22,27
PUERTO CARABUCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,2,15,0,0,2,15,17
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,0,2,0,0,0,2,2
PUERTO PEREZ,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,0,6,0,0,0,6,6
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,20,9,0,0,20,9,29
PUERTO RICO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,6,1,0,0,6,1,7
PUERTO SILES,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,2,0,0,0,2,0,2
PUERTO SUAREZ,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,34,2,0,0,34,2,36
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,97,13,0,0,97,13,110
PUNA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,23,30,0,0,23,30,53
PUNATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,33,2,0,0,33,2,35
QUIABAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,0,1,0,0,0,1,1
QUILLACOLLO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,182,17,0,0,182,17,199
QUIME,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,5,16,0,0,5,16,21
QUIRUSILLAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,0,1,0,0,0,1,1
RAVELO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,5,23,0,0,5,23,28
REYES,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,12,0,0,0,12,0,12
RIBERALTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,142,66,0,0,142,66,208
ROBORE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,28,18,0,0,28,18,46
RURRENABAQUE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,15,7,0,0,15,7,22
SABAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,4,2,0,0,4,2,6
SACABA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,141,59,0,0,141,59,200
SACABAMBA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,4,5,0,0,4,5,9
SACACA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,2,17,0,0,2,17,19
SAIPINA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,6,6,0,0,6,6,12
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,3,7,0,0,3,7,10
SAMAIPATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,12,9,0,0,12,9,21
SAN ANDRES,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,12,4,0,0,12,4,16
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,0,4,0,0,0,4,4
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,5,0,0,0,5,0,5
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,4,5,0,0,4,5,9
SAN BENITO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,10,7,0,0,10,7,17
SAN BORJA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,54,8,0,0,54,8,62
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,9,3,0,0,9,3,12
SAN CARLOS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,39,4,0,0,39,4,43
SAN IGNACIO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,42,4,0,0,42,4,46
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,86,21,0,0,86,21,107
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,2,1,0,0,2,1,3
SAN JAVIER(STC),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,30,6,0,0,30,6,36
SAN JOAQUIN,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,3,0,0,0,3,0,3
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,25,3,0,0,25,3,28
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,13,4,0,0,13,4,17
SAN JULIAN,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,47,28,0,0,47,28,75
SAN LORENZO(PND),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,3,0,0,0,3,0,3
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,9,8,0,0,9,8,17
SAN LUCAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,36,40,0,0,36,40,76
SAN MATIAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,26,3,0,0,26,3,29
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,21,6,0,0,21,6,27
SAN PEDRO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,27,0,0,0,27,0,27
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2008-01-01,6,18,0,0,6,18,24
