,group,variable,month,DT 3RA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 3RA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 3RA. DOSIS DE 7 A 49 AÑOS FUERA,DT 3RA. DOSIS DE 7 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
BELEN DE URMIRI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,1,0,0,0,1,1
BELLA FLOR,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,0,2,0,2,0,2
BERMEJO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,3,0,0,0,3,3
BOLPEBRA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,1,1,0,0,1,1,2
CABEZAS,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,0,1,1,1,1,2
CAIROMA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,1,0,0,0,1,0,1
"CAIZA ""D""",otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,1,0,0,0,1,0,1
CAJUATA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,3,0,0,0,3,3
CALAMARCA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,4,0,5,0,9,9
CAMARGO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,1,0,1,0,2,0,2
CAMIRI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,4,2,0,0,4,2,6
CAPINOTA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,5,6,0,0,5,6,11
CAQUIAVIRI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,1,0,0,0,1,1
CARACOLLO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,2,1,0,0,2,1,3
CARANAVI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,2,10,0,1,2,11,13
CARAPARI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,2,0,0,0,2,0,2
CARMEN RIVERO TORREZ,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,3,2,0,0,3,2,5
CHALLAPATA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,7,0,3,0,10,10
CHARAGUA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,1,2,0,0,1,2,3
CHAYANTA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,1,0,0,0,1,0,1
CHIMORE,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,1,9,1,3,2,12,14
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,1,0,0,0,1,1
CHUMA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,2,0,0,0,2,2
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,1,0,1,0,2,0,2
CKOCHAS,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,1,0,0,0,1,1
CLIZA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,3,1,1,1,4,5
COBIJA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,5,48,1,2,6,50,56
COCAPATA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,0,0,3,0,3,3
COCHABAMBA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,34,159,18,37,52,196,248
COLCAPIRHUA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,3,9,3,9,6,18,24
"COLCHA ""K""",otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,4,3,0,0,4,3,7
COLLANA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,2,0,0,0,2,2
COLOMI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,3,8,0,4,3,12,15
COLPA BELGICA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,1,0,0,0,1,1
COLQUECHACA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,2,3,4,3,6,9
COLQUIRI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,2,0,0,0,2,2
CONCEPCION,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,0,3,2,3,2,5
COPACABANA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,1,0,0,0,1,0,1
CORIPATA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,2,4,0,0,2,4,6
COROICO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,2,2,0,0,2,2,4
COTAGAITA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,3,0,1,0,4,4
COTOCA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,10,23,0,0,10,23,33
CUATRO CAÑADAS,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,4,5,0,0,4,5,9
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,1,0,0,0,1,1
CULPINA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,3,0,0,0,3,3
CURAHUARA DE CARANGAS,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,1,0,1,0,2,2
EL ALTO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,27,302,15,36,42,338,380
EL CHORO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,1,0,0,0,1,1
EL PUENTE(STC),otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,2,1,1,1,3,4
EL TORNO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,9,21,0,0,9,21,30
EL VILLAR,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,1,0,1,0,2,0,2
ENTRE RIOS TRJ,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,1,0,0,0,1,0,1
ENTRE RIOS CBBA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,2,16,1,4,3,20,23
ESCOMA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,2,0,0,0,2,0,2
EUCALIPTUS,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,1,0,0,0,1,1
FERNANDEZ ALONSO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,0,1,0,1,0,1
FILADELFIA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,0,2,1,2,1,3
GENERAL SAAVEDRA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,5,0,0,0,5,5
GUANAY,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,3,1,5,1,8,9
GUAQUI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,1,0,0,0,1,1
GUAYARAMERIN,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,6,22,11,17,17,39,56
HUACARETA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,2,0,0,0,2,2
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,1,0,0,0,1,0,1
HUACHACALLA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,1,0,0,0,1,0,1
HUANUNI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,2,0,0,0,2,2
INCAHUASI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,2,0,0,0,2,2
INGAVI (HUMAITA),otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,1,0,0,0,1,0,1
IRUPANA (VILLA DE LANZA),otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,1,1,0,4,1,5,6
IXIAMAS,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,4,3,1,0,5,3,8
LA ASUNTA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,2,4,0,0,2,4,6
LA PAZ,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,70,226,67,49,137,275,412
LAGUNILLAS,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,1,0,0,0,1,0,1
LAJA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,1,0,0,0,1,0,1
LAS CARRERAS,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,1,0,0,0,1,1
LLALLAGUA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,24,2,0,2,24,26
LORETO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,0,6,4,6,4,10
MACHARETI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,2,0,0,0,2,2
MAGDALENA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,1,1,0,0,1,1,2
MAIRANA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,1,7,0,0,1,7,8
MAPIRI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,2,1,0,0,2,1,3
MECAPACA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,1,3,0,0,1,3,4
MINEROS,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,8,0,0,0,8,8
MIZQUE,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,1,0,0,0,1,1
MOCOMOCO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,3,1,0,1,3,4
MOJINETE,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,2,0,2,0,4,0,4
MONTERO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,5,61,9,17,14,78,92
MOROCHATA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,4,0,0,0,4,4
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,5,1,2,0,7,1,8
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,0,1,0,1,0,1
OKINAWA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,1,0,0,0,1,0,1
OMEREQUE,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,1,1,0,1,1,2
ORURO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,16,81,10,18,26,99,125
PADCAYA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,2,0,0,0,2,2
PADILLA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,3,2,0,0,3,2,5
PAILON,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,10,9,7,8,17,17,34
PALCA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,8,0,0,0,8,8
PALOS BLANCOS,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,3,7,0,0,3,7,10
PAMPA AULLAGAS,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,4,3,0,0,4,3,7
PAMPA GRANDE,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,1,0,0,0,1,1
PAPEL PAMPA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,1,1,0,0,1,1,2
PATACAMAYA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,4,0,0,0,4,4
PELECHUCO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,3,0,0,0,3,3
POCONA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,1,2,0,0,1,2,3
POJO (CBBA),otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,1,1,0,0,1,1,2
POOPO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,1,3,1,1,2,4,6
PORCO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,1,0,0,0,1,1
PORTACHUELO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,3,0,0,0,3,3
PORVENIR,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,2,2,4,16,6,18,24
POTOSI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,6,53,0,5,6,58,64
PUCARANI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,10,0,3,0,13,13
PUERTO ACOSTA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,1,0,0,2,1,2,3
PUERTO GONZALO MORENO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,1,0,0,0,1,1
PUERTO PEREZ,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,0,0,1,0,1,1
PUERTO RICO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,2,0,0,0,2,2
PUERTO SUAREZ,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,5,9,0,2,5,11,16
PUERTO VILLARROEL,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,7,23,1,5,8,28,36
PUNA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,2,0,4,0,6,6
PUNATA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,2,6,2,8,4,14,18
QUILLACOLLO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,4,12,18,18,22,30,52
QUIME,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,1,1,0,1,1,2,3
RAQAYPAMPA(ETA),otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,2,0,0,0,2,2
RAVELO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,0,0,2,0,2,2
REYES,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,2,2,0,1,2,3,5
RIBERALTA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,6,17,0,0,6,17,23
RURRENABAQUE,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,1,2,0,1,1,3,4
SACABA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,10,40,10,17,20,57,77
SACABAMBA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,1,0,0,0,1,1
SACACA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,3,0,4,0,7,7
SALINAS DE GARCI MENDOZA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,2,0,0,0,2,2
SAMAIPATA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,2,0,0,0,2,2
SAN ANDRES,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,3,0,0,0,3,3
SAN ANDRES DE MACHACA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,1,2,3,2,4,6
SAN ANTONIO DE LOMERIO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,1,0,0,0,1,0,1
SAN BENITO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,1,4,0,0,1,4,5
SAN BORJA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,3,8,0,0,3,8,11
SAN CARLOS,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,2,19,2,0,4,19,23
SAN IGNACIO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,6,9,11,9,17,26
SAN IGNACIO DE VELASCO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,8,57,0,1,8,58,66
SAN JAVIER(STC),otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,1,1,0,0,1,1,2
SAN JOAQUIN,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,3,0,0,0,3,3
SAN JOSE DE CHIQUITOS,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,4,3,0,1,4,4,8
SAN JUAN DE YAPACANI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,1,1,0,0,1,1,2
SAN JULIAN,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,7,15,2,1,9,16,25
SAN LORENZO(PND),otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,2,3,2,0,4,3,7
SAN LORENZO(TJA),otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,1,0,0,0,1,1
SAN MATIAS,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,2,0,0,0,2,2
SAN MIGUEL DE VELASCO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,1,10,0,1,1,11,12
SAN PEDRO DE BUENA VISTA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,2,0,0,0,2,2
SAN PEDRO DE MACHA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,5,0,7,0,12,12
SAN PEDRO DE TIQUINA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,1,0,0,0,1,1
SAN RAMON BENI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,2,5,0,0,2,5,7
SANTA ANA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,2,0,0,0,2,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,319,794,84,100,403,894,1297
SANTA ROSA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,1,5,0,0,1,5,6
SANTA ROSA DEL SARA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,4,5,3,1,7,6,13
SANTIAGO DE HUARI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,1,0,0,0,1,1
SANTIAGO DE HUATA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,1,2,0,0,1,2,3
SANTIVAÑES,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,1,0,0,0,1,1
SAPAHAQUI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,1,0,0,0,1,1
SENA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,1,10,0,0,1,10,11
SHINAOTA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,3,5,0,0,3,5,8
SICA SICA (VILLA AROMA),otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,1,0,0,0,1,1
SIPE SIPE,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,2,9,0,5,2,14,16
SORACACHI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,1,1,1,1,2,3
SORATA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,1,0,1,0,2,2
SUCRE,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,24,41,0,0,24,41,65
TACACHI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,1,0,0,0,1,1
TACACOMA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,1,0,1,0,2,0,2
TACOPAYA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,3,0,0,0,3,3
TAPACARI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,2,0,0,0,2,2
TARABUCO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,1,0,0,0,1,1
TARATA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,1,0,3,0,4,4
TARIJA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,11,39,0,1,11,40,51
TARVITA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,1,0,0,0,1,0,1
TINGUIPAYA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,10,0,2,0,12,12
TIQUIPAYA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,3,10,2,6,5,16,21
TIRAQUE (CBBA),otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,2,7,1,4,3,11,14
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,11,10,0,0,11,10,21
TOCO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,3,1,1,1,4,5
TOLATA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,3,2,7,3,10,5,15
TOLEDO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,0,1,2,1,2,3
TOMINA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,1,0,0,0,1,0,1
TORO TORO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,1,0,0,0,1,1
TOTORA(CBBA),otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,6,0,0,0,6,6
TRINIDAD,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,6,20,0,0,6,20,26
TUPIZA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,9,0,0,0,9,9
TURCO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,3,1,1,1,4,2,6
UMALA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,1,0,0,0,1,0,1
UNCIA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,3,0,0,0,3,3
URIONDO (A. CONCEPCION),otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,1,2,2,4,3,6,9
URUBICHA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,1,0,0,0,1,1
UYUNI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,3,3,0,0,3,3,6
VACAS,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,0,7,2,7,2,9
VALLEGRANDE,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,4,1,0,0,4,1,5
VIACHA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,1,8,0,2,1,10,11
VILLA CHARCAS,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,4,0,0,0,4,4
VILLA MONTES,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,1,1,80,0,81,1,82
VILLA NUEVA (LOMA ALTA),otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,0,1,2,1,2,3
VILLA RIVERO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,5,0,0,0,5,5
VILLA SERRANO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,2,2,0,0,2,2,4
VILLA TUNARI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,4,30,0,1,4,31,35
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,2,0,0,0,2,0,2
VILLAZON,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,1,11,0,1,1,12,13
VINTO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,5,12,1,10,6,22,28
VITICHI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,13,8,0,0,13,8,21
WARNES,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,26,46,6,3,32,49,81
YACUIBA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,3,13,3,6,6,19,25
YANACACHI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,0,2,0,0,0,2,2
YAPACANI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2022-01-01,3,5,40,49,43,54,97
