,group,variable,month,17.21 SR DENTRO,17.21 SR DENTRO,17.21 SR FUERA,17.21 SR FUERA,TOTALES,TOTALES,TOTALES
LA PAZ,otras vacunaciones,sr,2022-01-01,19,24,5,6,24,30,54
LLALLAGUA,otras vacunaciones,sr,2022-01-01,0,0,7,3,7,3,10
MAIRANA,otras vacunaciones,sr,2022-01-01,0,1,0,0,0,1,1
MAPIRI,otras vacunaciones,sr,2022-01-01,4,1,0,0,4,1,5
MONTERO,otras vacunaciones,sr,2022-01-01,3,7,5,8,8,15,23
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,sr,2022-01-01,9,5,3,2,12,7,19
ORURO,otras vacunaciones,sr,2022-01-01,12,29,32,39,44,68,112
PAILON,otras vacunaciones,sr,2022-01-01,2,3,8,9,10,12,22
POOPO,otras vacunaciones,sr,2022-01-01,0,1,2,0,2,1,3
PORONGO,otras vacunaciones,sr,2022-01-01,2,0,0,0,2,0,2
PORTACHUELO,otras vacunaciones,sr,2022-01-01,6,1,0,0,6,1,7
PORVENIR,otras vacunaciones,sr,2022-01-01,0,0,1,0,1,0,1
POTOSI,otras vacunaciones,sr,2022-01-01,1,0,4,0,5,0,5
PUCARANI,otras vacunaciones,sr,2022-01-01,1,1,5,0,6,1,7
PUERTO QUIJARRO,otras vacunaciones,sr,2022-01-01,8,3,1,0,9,3,12
PUERTO SUAREZ,otras vacunaciones,sr,2022-01-01,3,4,0,0,3,4,7
QUILLACOLLO,otras vacunaciones,sr,2022-01-01,1,1,2,2,3,3,6
RIBERALTA,otras vacunaciones,sr,2022-01-01,1,1,0,0,1,1,2
ROBORE,otras vacunaciones,sr,2022-01-01,1,1,5,2,6,3,9
SACABA,otras vacunaciones,sr,2022-01-01,1,0,3,14,4,14,18
SALINAS DE GARCI MENDOZA,otras vacunaciones,sr,2022-01-01,0,1,0,0,0,1,1
SAN ANTONIO DE LOMERIO,otras vacunaciones,sr,2022-01-01,0,4,0,0,0,4,4
SAN BORJA,otras vacunaciones,sr,2022-01-01,2,3,5,4,7,7,14
SAN IGNACIO DE VELASCO,otras vacunaciones,sr,2022-01-01,2,10,0,0,2,10,12
SAN JAVIER(STC),otras vacunaciones,sr,2022-01-01,5,8,0,0,5,8,13
SAN JOSE DE CHIQUITOS,otras vacunaciones,sr,2022-01-01,4,8,1,1,5,9,14
SAN JUAN DE YAPACANI,otras vacunaciones,sr,2022-01-01,0,0,0,1,0,1,1
SAN LUCAS,otras vacunaciones,sr,2022-01-01,1,4,0,0,1,4,5
SAN MIGUEL DE VELASCO,otras vacunaciones,sr,2022-01-01,1,1,1,1,2,2,4
SAN PEDRO DE TIQUINA,otras vacunaciones,sr,2022-01-01,3,5,0,0,3,5,8
SANTA CRUZ DE LA SIERRA,otras vacunaciones,sr,2022-01-01,181,195,0,1,181,196,377
SANTA ROSA DEL SARA,otras vacunaciones,sr,2022-01-01,2,5,0,1,2,6,8
SANTIAGO DE HUARI,otras vacunaciones,sr,2022-01-01,1,0,6,3,7,3,10
SENA,otras vacunaciones,sr,2022-01-01,1,0,10,6,11,6,17
SIPE SIPE,otras vacunaciones,sr,2022-01-01,1,0,0,0,1,0,1
SORACACHI,otras vacunaciones,sr,2022-01-01,1,1,0,0,1,1,2
SUCRE,otras vacunaciones,sr,2022-01-01,1,0,0,0,1,0,1
TARIJA,otras vacunaciones,sr,2022-01-01,3,4,0,0,3,4,7
TRINIDAD,otras vacunaciones,sr,2022-01-01,5,16,0,0,5,16,21
TUPIZA,otras vacunaciones,sr,2022-01-01,2,1,0,0,2,1,3
URUBICHA,otras vacunaciones,sr,2022-01-01,0,0,3,1,3,1,4
UYUNI,otras vacunaciones,sr,2022-01-01,2,2,0,0,2,2,4
VACAS,otras vacunaciones,sr,2022-01-01,1,1,0,0,1,1,2
VALLEGRANDE,otras vacunaciones,sr,2022-01-01,1,0,0,0,1,0,1
VILLA MONTES,otras vacunaciones,sr,2022-01-01,1,2,0,0,1,2,3
VILLAZON,otras vacunaciones,sr,2022-01-01,24,15,2,4,26,19,45
VITICHI,otras vacunaciones,sr,2022-01-01,0,1,0,0,0,1,1
WARNES,otras vacunaciones,sr,2022-01-01,1,3,0,0,1,3,4
YACUIBA,otras vacunaciones,sr,2022-01-01,3,2,0,0,3,2,5
YAPACANI,otras vacunaciones,sr,2022-01-01,1,1,5,5,6,6,12
ACHACACHI,otras vacunaciones,sr,2022-02-01,0,3,0,0,0,3,3
AIQUILE,otras vacunaciones,sr,2022-02-01,0,1,2,0,2,1,3
ASCENCION DE GUARAYOS,otras vacunaciones,sr,2022-02-01,4,0,0,0,4,0,4
BATALLAS,otras vacunaciones,sr,2022-02-01,1,3,0,1,1,4,5
BERMEJO,otras vacunaciones,sr,2022-02-01,2,3,0,0,2,3,5
BOLPEBRA,otras vacunaciones,sr,2022-02-01,1,1,0,0,1,1,2
BUENA VISTA,otras vacunaciones,sr,2022-02-01,1,3,3,0,4,3,7
"CAIZA ""D""",otras vacunaciones,sr,2022-02-01,0,1,1,4,1,5,6
CALAMARCA,otras vacunaciones,sr,2022-02-01,1,4,0,0,1,4,5
CAMARGO,otras vacunaciones,sr,2022-02-01,0,3,0,0,0,3,3
CAQUIAVIRI,otras vacunaciones,sr,2022-02-01,2,0,0,0,2,0,2
CARANAVI,otras vacunaciones,sr,2022-02-01,14,6,9,13,23,19,42
CHALLAPATA,otras vacunaciones,sr,2022-02-01,1,0,20,20,21,20,41
CHOQUE COTA,otras vacunaciones,sr,2022-02-01,3,2,0,0,3,2,5
COBIJA,otras vacunaciones,sr,2022-02-01,2,6,38,31,40,37,77
COCAPATA,otras vacunaciones,sr,2022-02-01,0,4,1,0,1,4,5
COCHABAMBA,otras vacunaciones,sr,2022-02-01,56,97,1,1,57,98,155
COIPASA,otras vacunaciones,sr,2022-02-01,2,1,0,0,2,1,3
COLPA BELGICA,otras vacunaciones,sr,2022-02-01,3,5,0,0,3,5,8
COLQUENCHA,otras vacunaciones,sr,2022-02-01,0,1,0,0,0,1,1
COMARAPA,otras vacunaciones,sr,2022-02-01,5,21,0,0,5,21,26
CONCEPCION,otras vacunaciones,sr,2022-02-01,4,4,12,14,16,18,34
COROICO,otras vacunaciones,sr,2022-02-01,0,1,0,0,0,1,1
CORQUE,otras vacunaciones,sr,2022-02-01,0,2,0,0,0,2,2
COTOCA,otras vacunaciones,sr,2022-02-01,6,9,0,0,6,9,15
CRUZ DE MACHACAMARCA,otras vacunaciones,sr,2022-02-01,1,4,0,0,1,4,5
CUATRO CAÑADAS,otras vacunaciones,sr,2022-02-01,0,2,1,0,1,2,3
CUEVO,otras vacunaciones,sr,2022-02-01,0,0,2,0,2,0,2
EL ALTO,otras vacunaciones,sr,2022-02-01,41,45,21,5,62,50,112
EL CHORO,otras vacunaciones,sr,2022-02-01,0,0,4,5,4,5,9
EL TORNO,otras vacunaciones,sr,2022-02-01,7,15,0,0,7,15,22
EL VILLAR,otras vacunaciones,sr,2022-02-01,0,2,0,0,0,2,2
EUCALIPTUS,otras vacunaciones,sr,2022-02-01,0,0,2,3,2,3,5
GUANAY,otras vacunaciones,sr,2022-02-01,0,0,3,0,3,0,3
GUTIERREZ,otras vacunaciones,sr,2022-02-01,1,1,1,0,2,1,3
HUANUNI,otras vacunaciones,sr,2022-02-01,1,3,17,12,18,15,33
HUARACAJE,otras vacunaciones,sr,2022-02-01,0,1,0,0,0,1,1
HUATAJATA,otras vacunaciones,sr,2022-02-01,1,7,4,0,5,7,12
INCAHUASI,otras vacunaciones,sr,2022-02-01,0,0,1,9,1,9,10
LA ASUNTA,otras vacunaciones,sr,2022-02-01,3,1,0,0,3,1,4
LA GUARDIA,otras vacunaciones,sr,2022-02-01,4,9,1,2,5,11,16
LA PAZ,otras vacunaciones,sr,2022-02-01,53,70,19,36,72,106,178
LLALLAGUA,otras vacunaciones,sr,2022-02-01,3,4,1,7,4,11,15
MAGDALENA,otras vacunaciones,sr,2022-02-01,0,0,7,6,7,6,13
MAIRANA,otras vacunaciones,sr,2022-02-01,4,11,20,25,24,36,60
MAPIRI,otras vacunaciones,sr,2022-02-01,0,0,3,0,3,0,3
MECAPACA,otras vacunaciones,sr,2022-02-01,0,0,1,0,1,0,1
MINEROS,otras vacunaciones,sr,2022-02-01,0,2,0,0,0,2,2
MOCOMOCO,otras vacunaciones,sr,2022-02-01,0,0,10,9,10,9,19
MONTERO,otras vacunaciones,sr,2022-02-01,33,22,9,11,42,33,75
NAZACARA DE PACAJES,otras vacunaciones,sr,2022-02-01,1,0,0,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,sr,2022-02-01,12,3,0,0,12,3,15
OMEREQUE,otras vacunaciones,sr,2022-02-01,0,0,2,0,2,0,2
ORURO,otras vacunaciones,sr,2022-02-01,116,134,292,281,408,415,823
PAILON,otras vacunaciones,sr,2022-02-01,4,3,34,15,38,18,56
PALOS BLANCOS,otras vacunaciones,sr,2022-02-01,1,0,0,0,1,0,1
PAMPA AULLAGAS,otras vacunaciones,sr,2022-02-01,1,0,0,0,1,0,1
POOPO,otras vacunaciones,sr,2022-02-01,0,0,4,4,4,4,8
PORTACHUELO,otras vacunaciones,sr,2022-02-01,1,1,0,0,1,1,2
POTOSI,otras vacunaciones,sr,2022-02-01,25,34,8,10,33,44,77
PUCARANI,otras vacunaciones,sr,2022-02-01,0,1,16,0,16,1,17
PUERTO CARABUCO,otras vacunaciones,sr,2022-02-01,1,1,0,0,1,1,2
PUERTO SUAREZ,otras vacunaciones,sr,2022-02-01,1,0,0,0,1,0,1
PUERTO VILLARROEL,otras vacunaciones,sr,2022-02-01,0,0,2,4,2,4,6
QUILLACOLLO,otras vacunaciones,sr,2022-02-01,1,1,0,0,1,1,2
RIBERALTA,otras vacunaciones,sr,2022-02-01,0,3,0,0,0,3,3
RURRENABAQUE,otras vacunaciones,sr,2022-02-01,1,0,0,0,1,0,1
SACABA,otras vacunaciones,sr,2022-02-01,1,2,6,7,7,9,16
SALINAS DE GARCI MENDOZA,otras vacunaciones,sr,2022-02-01,0,0,2,3,2,3,5
SAN BORJA,otras vacunaciones,sr,2022-02-01,7,5,6,2,13,7,20
SAN BUENA VENTURA,otras vacunaciones,sr,2022-02-01,0,0,3,0,3,0,3
SAN CARLOS,otras vacunaciones,sr,2022-02-01,0,1,0,0,0,1,1
SAN IGNACIO DE VELASCO,otras vacunaciones,sr,2022-02-01,1,2,2,0,3,2,5
SAN JAVIER(STC),otras vacunaciones,sr,2022-02-01,4,1,0,0,4,1,5
SAN JOSE DE CHIQUITOS,otras vacunaciones,sr,2022-02-01,3,4,5,5,8,9,17
SAN JULIAN,otras vacunaciones,sr,2022-02-01,2,15,0,0,2,15,17
SAN MATIAS,otras vacunaciones,sr,2022-02-01,0,1,0,0,0,1,1
SAN MIGUEL DE VELASCO,otras vacunaciones,sr,2022-02-01,1,0,1,0,2,0,2
SAN PEDRO DE TIQUINA,otras vacunaciones,sr,2022-02-01,1,2,0,0,1,2,3
SAN RAFAEL,otras vacunaciones,sr,2022-02-01,1,0,0,0,1,0,1
SAN RAMON BENI,otras vacunaciones,sr,2022-02-01,1,0,2,5,3,5,8
SANTA CRUZ DE LA SIERRA,otras vacunaciones,sr,2022-02-01,270,438,32,68,302,506,808
SANTA ROSA DEL SARA,otras vacunaciones,sr,2022-02-01,1,1,6,4,7,5,12
SANTIAGO DE HUARI,otras vacunaciones,sr,2022-02-01,2,1,2,2,4,3,7
SICA SICA (VILLA AROMA),otras vacunaciones,sr,2022-02-01,0,1,2,0,2,1,3
SIPE SIPE,otras vacunaciones,sr,2022-02-01,0,1,0,0,0,1,1
SORACACHI,otras vacunaciones,sr,2022-02-01,1,0,0,0,1,0,1
SUCRE,otras vacunaciones,sr,2022-02-01,6,9,0,0,6,9,15
TARIJA,otras vacunaciones,sr,2022-02-01,2,2,1,1,3,3,6
TIQUIPAYA,otras vacunaciones,sr,2022-02-01,2,5,3,0,5,5,10
TOLEDO,otras vacunaciones,sr,2022-02-01,0,0,2,1,2,1,3
TRINIDAD,otras vacunaciones,sr,2022-02-01,14,20,2,2,16,22,38
TUPIZA,otras vacunaciones,sr,2022-02-01,3,3,1,3,4,6,10
UYUNI,otras vacunaciones,sr,2022-02-01,2,0,0,0,2,0,2
VACAS,otras vacunaciones,sr,2022-02-01,0,0,1,0,1,0,1
VALLEGRANDE,otras vacunaciones,sr,2022-02-01,2,1,0,0,2,1,3
VIACHA,otras vacunaciones,sr,2022-02-01,3,2,3,0,6,2,8
VILLA MONTES,otras vacunaciones,sr,2022-02-01,9,13,0,1,9,14,23
VILLA TUNARI,otras vacunaciones,sr,2022-02-01,1,1,0,0,1,1,2
VILLAZON,otras vacunaciones,sr,2022-02-01,2,2,2,0,4,2,6
WARNES,otras vacunaciones,sr,2022-02-01,0,0,1,0,1,0,1
YACUIBA,otras vacunaciones,sr,2022-02-01,1,0,0,0,1,0,1
YAPACANI,otras vacunaciones,sr,2022-02-01,1,3,5,6,6,9,15
AIQUILE,otras vacunaciones,sr,2022-03-01,1,0,0,0,1,0,1
ANTEQUERA,otras vacunaciones,sr,2022-03-01,0,0,2,0,2,0,2
ARANI,otras vacunaciones,sr,2022-03-01,1,0,0,0,1,0,1
ASCENCION DE GUARAYOS,otras vacunaciones,sr,2022-03-01,0,1,4,4,4,5,9
BATALLAS,otras vacunaciones,sr,2022-03-01,0,0,2,9,2,9,11
BELLA FLOR,otras vacunaciones,sr,2022-03-01,1,2,0,0,1,2,3
BERMEJO,otras vacunaciones,sr,2022-03-01,2,1,0,0,2,1,3
BOLPEBRA,otras vacunaciones,sr,2022-03-01,0,0,7,4,7,4,11
BUENA VISTA,otras vacunaciones,sr,2022-03-01,0,0,2,1,2,1,3
CABEZAS,otras vacunaciones,sr,2022-03-01,5,4,0,0,5,4,9
CARACOLLO,otras vacunaciones,sr,2022-03-01,0,1,0,0,0,1,1
CARANAVI,otras vacunaciones,sr,2022-03-01,39,28,13,13,52,41,93
CARMEN RIVERO TORREZ,otras vacunaciones,sr,2022-03-01,0,0,1,0,1,0,1
CHALLAPATA,otras vacunaciones,sr,2022-03-01,2,1,0,0,2,1,3
CHARAGUA,otras vacunaciones,sr,2022-03-01,0,1,0,0,0,1,1
CHIMORE,otras vacunaciones,sr,2022-03-01,4,1,0,0,4,1,5
COBIJA,otras vacunaciones,sr,2022-03-01,12,18,10,16,22,34,56
COCHABAMBA,otras vacunaciones,sr,2022-03-01,26,74,9,6,35,80,115
"COLCHA ""K""",otras vacunaciones,sr,2022-03-01,1,2,0,0,1,2,3
COLPA BELGICA,otras vacunaciones,sr,2022-03-01,4,6,0,0,4,6,10
COMANCHE,otras vacunaciones,sr,2022-03-01,0,1,0,0,0,1,1
CONCEPCION,otras vacunaciones,sr,2022-03-01,5,4,3,2,8,6,14
COROICO,otras vacunaciones,sr,2022-03-01,1,0,4,0,5,0,5
CORQUE,otras vacunaciones,sr,2022-03-01,0,1,0,0,0,1,1
COTOCA,otras vacunaciones,sr,2022-03-01,0,1,0,0,0,1,1
CUATRO CAÑADAS,otras vacunaciones,sr,2022-03-01,5,3,2,7,7,10,17
CULPINA,otras vacunaciones,sr,2022-03-01,0,0,1,0,1,0,1
CURAHUARA DE CARANGAS,otras vacunaciones,sr,2022-03-01,1,0,0,0,1,0,1
EL ALTO,otras vacunaciones,sr,2022-03-01,84,71,262,340,346,411,757
EL TORNO,otras vacunaciones,sr,2022-03-01,6,4,0,0,6,4,10
ENTRE RIOS CBBA,otras vacunaciones,sr,2022-03-01,9,18,19,36,28,54,82
ESCOMA,otras vacunaciones,sr,2022-03-01,6,5,0,2,6,7,13
EUCALIPTUS,otras vacunaciones,sr,2022-03-01,2,4,2,1,4,5,9
EUREKA (SANTOS MERCADO),otras vacunaciones,sr,2022-03-01,1,0,0,0,1,0,1
GUANAY,otras vacunaciones,sr,2022-03-01,0,2,21,0,21,2,23
HUANUNI,otras vacunaciones,sr,2022-03-01,0,0,5,2,5,2,7
HUMANATA,otras vacunaciones,sr,2022-03-01,0,1,3,0,3,1,4
INCAHUASI,otras vacunaciones,sr,2022-03-01,1,1,2,2,3,3,6
INGAVI (HUMAITA),otras vacunaciones,sr,2022-03-01,0,1,0,0,0,1,1
INQUISIVI,otras vacunaciones,sr,2022-03-01,2,3,0,0,2,3,5
LA GUARDIA,otras vacunaciones,sr,2022-03-01,13,24,0,1,13,25,38
LA PAZ,otras vacunaciones,sr,2022-03-01,30,37,43,12,73,49,122
LLALLAGUA,otras vacunaciones,sr,2022-03-01,0,0,11,18,11,18,29
MAIRANA,otras vacunaciones,sr,2022-03-01,0,1,0,0,0,1,1
MAPIRI,otras vacunaciones,sr,2022-03-01,0,1,3,0,3,1,4
MINEROS,otras vacunaciones,sr,2022-03-01,1,0,0,0,1,0,1
MOCOMOCO,otras vacunaciones,sr,2022-03-01,0,0,5,6,5,6,11
MONTERO,otras vacunaciones,sr,2022-03-01,8,20,17,11,25,31,56
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,sr,2022-03-01,1,0,6,1,7,1,8
ORURO,otras vacunaciones,sr,2022-03-01,10,19,18,18,28,37,65
PAILON,otras vacunaciones,sr,2022-03-01,0,0,14,15,14,15,29
PAMPA GRANDE,otras vacunaciones,sr,2022-03-01,1,0,0,0,1,0,1
POOPO,otras vacunaciones,sr,2022-03-01,1,1,3,10,4,11,15
PORCO,otras vacunaciones,sr,2022-03-01,0,0,1,0,1,0,1
PORTACHUELO,otras vacunaciones,sr,2022-03-01,0,0,0,1,0,1,1
PORVENIR,otras vacunaciones,sr,2022-03-01,0,0,2,1,2,1,3
POSTRER VALLE,otras vacunaciones,sr,2022-03-01,0,0,3,0,3,0,3
POTOSI,otras vacunaciones,sr,2022-03-01,34,60,4,8,38,68,106
PUCARANI,otras vacunaciones,sr,2022-03-01,0,0,3,0,3,0,3
PUERTO CARABUCO,otras vacunaciones,sr,2022-03-01,0,0,4,0,4,0,4
PUERTO QUIJARRO,otras vacunaciones,sr,2022-03-01,1,0,0,1,1,1,2
PUERTO SUAREZ,otras vacunaciones,sr,2022-03-01,10,15,15,25,25,40,65
PUERTO VILLARROEL,otras vacunaciones,sr,2022-03-01,2,2,28,37,30,39,69
PUNATA,otras vacunaciones,sr,2022-03-01,0,1,9,7,9,8,17
QUILLACOLLO,otras vacunaciones,sr,2022-03-01,0,0,8,33,8,33,41
RIBERALTA,otras vacunaciones,sr,2022-03-01,0,0,1,0,1,0,1
ROBORE,otras vacunaciones,sr,2022-03-01,6,2,0,0,6,2,8
RURRENABAQUE,otras vacunaciones,sr,2022-03-01,1,1,8,4,9,5,14
SABAYA,otras vacunaciones,sr,2022-03-01,2,1,3,0,5,1,6
SACABA,otras vacunaciones,sr,2022-03-01,2,6,1,2,3,8,11
SAIPINA,otras vacunaciones,sr,2022-03-01,0,0,0,7,0,7,7
SALINAS DE GARCI MENDOZA,otras vacunaciones,sr,2022-03-01,0,1,0,0,0,1,1
SAN ANDRES DE MACHACA,otras vacunaciones,sr,2022-03-01,0,0,9,0,9,0,9
SAN BORJA,otras vacunaciones,sr,2022-03-01,8,6,5,3,13,9,22
SAN BUENA VENTURA,otras vacunaciones,sr,2022-03-01,3,1,1,0,4,1,5
SAN IGNACIO DE VELASCO,otras vacunaciones,sr,2022-03-01,6,4,11,6,17,10,27
SAN JAVIER(STC),otras vacunaciones,sr,2022-03-01,2,3,0,0,2,3,5
SAN JOSE DE CHIQUITOS,otras vacunaciones,sr,2022-03-01,8,9,4,4,12,13,25
SAN JULIAN,otras vacunaciones,sr,2022-03-01,1,3,0,0,1,3,4
SAN LUCAS,otras vacunaciones,sr,2022-03-01,1,1,2,1,3,2,5
SAN MATIAS,otras vacunaciones,sr,2022-03-01,0,0,51,44,51,44,95
SAN PEDRO DE TIQUINA,otras vacunaciones,sr,2022-03-01,1,0,0,1,1,1,2
SAN RAMON SCZ,otras vacunaciones,sr,2022-03-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,sr,2022-03-01,163,192,68,70,231,262,493
SANTA ROSA DEL SARA,otras vacunaciones,sr,2022-03-01,9,15,1,0,10,15,25
SANTIAGO DE HUARI,otras vacunaciones,sr,2022-03-01,3,5,2,3,5,8,13
SENA,otras vacunaciones,sr,2022-03-01,0,0,2,3,2,3,5
SHINAOTA,otras vacunaciones,sr,2022-03-01,0,2,0,0,0,2,2
SICA SICA (VILLA AROMA),otras vacunaciones,sr,2022-03-01,0,1,0,0,0,1,1
SUCRE,otras vacunaciones,sr,2022-03-01,8,6,19,16,27,22,49
TARIJA,otras vacunaciones,sr,2022-03-01,1,2,2,0,3,2,5
TINGUIPAYA,otras vacunaciones,sr,2022-03-01,0,0,0,1,0,1,1
TOLEDO,otras vacunaciones,sr,2022-03-01,0,0,3,3,3,3,6
TRINIDAD,otras vacunaciones,sr,2022-03-01,2,2,32,33,34,35,69
TUPIZA,otras vacunaciones,sr,2022-03-01,3,5,0,0,3,5,8
URIONDO (A. CONCEPCION),otras vacunaciones,sr,2022-03-01,1,0,21,0,22,0,22
UYUNI,otras vacunaciones,sr,2022-03-01,0,9,1,0,1,9,10
VACAS,otras vacunaciones,sr,2022-03-01,0,4,0,0,0,4,4
VALLEGRANDE,otras vacunaciones,sr,2022-03-01,0,1,0,0,0,1,1
VILLA MONTES,otras vacunaciones,sr,2022-03-01,2,5,1,0,3,5,8
VILLA TUNARI,otras vacunaciones,sr,2022-03-01,1,2,4,5,5,7,12
VILLAZON,otras vacunaciones,sr,2022-03-01,24,37,10,10,34,47,81
WARNES,otras vacunaciones,sr,2022-03-01,1,4,1,3,2,7,9
YACUIBA,otras vacunaciones,sr,2022-03-01,1,1,0,0,1,1,2
YAMPARAEZ,otras vacunaciones,sr,2022-03-01,0,1,0,0,0,1,1
YAPACANI,otras vacunaciones,sr,2022-03-01,0,2,6,7,6,9,15
ACHOCALLA,otras vacunaciones,sr,2022-04-01,1,2,13,0,14,2,16
ANDAMARCA,otras vacunaciones,sr,2022-04-01,0,0,4,7,4,7,11
ANTEQUERA,otras vacunaciones,sr,2022-04-01,12,8,0,1,12,9,21
ARANI,otras vacunaciones,sr,2022-04-01,1,2,0,0,1,2,3
ARQUE,otras vacunaciones,sr,2022-04-01,4,2,0,0,4,2,6
ASCENCION DE GUARAYOS,otras vacunaciones,sr,2022-04-01,5,4,76,101,81,105,186
ATOCHA,otras vacunaciones,sr,2022-04-01,0,1,0,0,0,1,1
AYO AYO,otras vacunaciones,sr,2022-04-01,0,0,3,1,3,1,4
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,sr,2022-04-01,7,4,0,0,7,4,11
BATALLAS,otras vacunaciones,sr,2022-04-01,7,4,30,49,37,53,90
BELEN DE ANDAMARCA,otras vacunaciones,sr,2022-04-01,0,3,0,0,0,3,3
BELLA FLOR,otras vacunaciones,sr,2022-04-01,0,0,9,10,9,10,19
BERMEJO,otras vacunaciones,sr,2022-04-01,2,5,23,2,25,7,32
BOLIVAR,otras vacunaciones,sr,2022-04-01,0,0,1,2,1,2,3
BOLPEBRA,otras vacunaciones,sr,2022-04-01,0,0,1,0,1,0,1
BUENA VISTA,otras vacunaciones,sr,2022-04-01,0,0,12,12,12,12,24
CABEZAS,otras vacunaciones,sr,2022-04-01,0,0,1,0,1,0,1
"CAIZA ""D""",otras vacunaciones,sr,2022-04-01,0,0,3,2,3,2,5
CALACOTO,otras vacunaciones,sr,2022-04-01,0,0,1,1,1,1,2
CALAMARCA,otras vacunaciones,sr,2022-04-01,10,7,8,3,18,10,28
CAMIRI,otras vacunaciones,sr,2022-04-01,8,9,2,3,10,12,22
CARACOLLO,otras vacunaciones,sr,2022-04-01,1,2,12,16,13,18,31
CARANAVI,otras vacunaciones,sr,2022-04-01,40,46,155,130,195,176,371
CARIPUYO,otras vacunaciones,sr,2022-04-01,0,1,7,4,7,5,12
CARMEN RIVERO TORREZ,otras vacunaciones,sr,2022-04-01,1,1,30,25,31,26,57
CATACORA,otras vacunaciones,sr,2022-04-01,0,0,1,1,1,1,2
CHALLAPATA,otras vacunaciones,sr,2022-04-01,1,0,26,49,27,49,76
CHARAGUA,otras vacunaciones,sr,2022-04-01,12,7,11,11,23,18,41
CHIMORE,otras vacunaciones,sr,2022-04-01,4,2,0,0,4,2,6
CHIPAYA,otras vacunaciones,sr,2022-04-01,2,0,0,0,2,0,2
CHOQUE COTA,otras vacunaciones,sr,2022-04-01,0,2,1,1,1,3,4
COBIJA,otras vacunaciones,sr,2022-04-01,14,16,266,96,280,112,392
COCHABAMBA,otras vacunaciones,sr,2022-04-01,58,74,185,232,243,306,549
"COLCHA ""K""",otras vacunaciones,sr,2022-04-01,10,6,2,0,12,6,18
COLPA BELGICA,otras vacunaciones,sr,2022-04-01,7,6,7,8,14,14,28
COLQUENCHA,otras vacunaciones,sr,2022-04-01,0,1,4,1,4,2,6
COMANCHE,otras vacunaciones,sr,2022-04-01,0,0,5,6,5,6,11
COMARAPA,otras vacunaciones,sr,2022-04-01,3,1,21,20,24,21,45
CONCEPCION,otras vacunaciones,sr,2022-04-01,18,16,65,65,83,81,164
COPACABANA,otras vacunaciones,sr,2022-04-01,1,0,11,0,12,0,12
CORO CORO,otras vacunaciones,sr,2022-04-01,2,0,3,2,5,2,7
CORQUE,otras vacunaciones,sr,2022-04-01,4,2,2,4,6,6,12
