,group,variable,month,HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,TOTALES,TOTALES,TOTALES
PADCAYA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-01-01,0,4,0,0,0,4,4
POTOSI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-01-01,1,0,0,0,1,0,1
PUCARANI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-01-01,3,9,0,0,3,9,12
PUERTO VILLARROEL,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-01-01,0,1,0,0,0,1,1
PUNA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-01-01,0,0,1,0,1,0,1
SACABA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-01-01,3,6,0,1,3,7,10
SACACA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-01-01,2,1,1,5,3,6,9
SAN BORJA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-01-01,0,1,0,0,0,1,1
SAN JOAQUIN,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-01-01,0,0,4,4,4,4,8
SANTA ANA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-01-01,0,1,0,0,0,1,1
SANTA ROSA DEL SARA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-01-01,1,0,0,0,1,0,1
SUCRE,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-01-01,2,2,0,0,2,2,4
TARATA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-01-01,0,3,0,0,0,3,3
TARIJA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-01-01,3,2,0,0,3,2,5
VILLA RIVERO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-01-01,0,0,1,2,1,2,3
ALALAY,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,2,2,1,0,3,2,5
ANCORAIMES,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,0,2,0,0,0,2,2
ANZALDO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,0,0,2,2,2,2,4
ARBIETO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,2,5,0,0,2,5,7
ASCENCION DE GUARAYOS,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,8,33,0,0,8,33,41
BERMEJO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,0,0,108,1,108,1,109
"CAIZA ""D""",otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,2,1,0,0,2,1,3
CAMIRI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,22,20,0,0,22,20,42
CARACOLLO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,0,0,36,5,36,5,41
CARANAVI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,3,1,6,4,9,5,14
CARAPARI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,2,3,0,0,2,3,5
CHARAGUA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,5,10,0,0,5,10,15
COCHABAMBA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,3,1,24,28,27,29,56
COLCAPIRHUA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,0,1,0,0,0,1,1
"COLCHA ""K""",otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,1,7,0,0,1,7,8
COLQUECHACA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,0,4,0,0,0,4,4
COLQUENCHA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,1,0,0,0,1,0,1
COLQUIRI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,2,1,3,2,5,3,8
COPACABANA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,3,2,20,29,23,31,54
CORIPATA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,2,0,0,0,2,0,2
CORQUE,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,0,0,79,8,79,8,87
COTAGAITA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,1,5,0,0,1,5,6
EL ALTO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,71,92,19,47,90,139,229
GUANAY,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,0,0,39,47,39,47,86
GUAYARAMERIN,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,6,7,0,0,6,7,13
LA PAZ,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,64,107,0,2,64,109,173
LICOMA PAMPA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,0,0,2,0,2,0,2
LLALLAGUA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,0,0,36,54,36,54,90
MAGDALENA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,5,7,0,0,5,7,12
MAPIRI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,2,1,0,0,2,1,3
MINEROS,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,0,1,0,0,0,1,1
MOCOMOCO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,0,0,5,1,5,1,6
MONTERO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,3,22,0,0,3,22,25
OCURI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,0,2,0,0,0,2,2
ORURO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,34,50,0,0,34,50,84
PAILON,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,0,4,7,7,7,11,18
PALCA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,1,2,0,0,1,2,3
PAMPA AULLAGAS,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,0,2,0,0,0,2,2
PATACAMAYA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,24,13,0,0,24,13,37
PAZÑA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,2,1,0,0,2,1,3
POCONA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,0,0,8,10,8,10,18
POTOSI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,11,9,0,0,11,9,20
PUCARANI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,16,16,97,231,113,247,360
PUERTO CARABUCO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,0,1,0,0,0,1,1
PUERTO VILLARROEL,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,5,7,0,0,5,7,12
QUIME,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,1,7,15,7,16,14,30
RIBERALTA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,2,2,0,0,2,2,4
SACABA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,9,14,1,2,10,16,26
SAN ANDRES DE MACHACA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,0,0,2,1,2,1,3
SAN BORJA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,25,23,7,4,32,27,59
SAN BUENA VENTURA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,2,4,1,4,3,8,11
SAN JOAQUIN,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,1,1,4,4,5,5,10
SAN JUAN DE YAPACANI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,1,1,5,17,6,18,24
SAN LORENZO(TJA),otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,2,4,0,0,2,4,6
SAN PEDRO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,0,1,0,0,0,1,1
SAN RAMON SCZ,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,2,1,0,0,2,1,3
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,50,30,0,0,50,30,80
SANTA ROSA DEL SARA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,0,0,0,2,0,2,2
SENA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,1,1,6,6,7,7,14
SUCRE,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,2,2,0,0,2,2,4
TACOPAYA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,0,1,0,2,0,3,3
TAPACARI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,1,1,1,1,2,2,4
TARATA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,1,1,0,1,1,2,3
TARIJA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,4,7,3,6,7,13,20
TIRAQUE (CBBA),otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,0,0,0,3,0,3,3
TOCO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,2,3,5,9,7,12,19
TORO TORO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,2,0,0,0,2,0,2
TOTORA(ORR),otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,0,0,0,1,0,1,1
TRINIDAD,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,33,9,26,5,59,14,73
TUPIZA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,3,5,8,23,11,28,39
UNCIA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,0,1,0,0,0,1,1
UYUNI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,4,2,0,0,4,2,6
VIACHA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,0,0,4,0,4,0,4
VILLAZON,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,17,22,0,0,17,22,39
VINTO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,8,14,4,1,12,15,27
YACUIBA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-02-01,4,4,4,3,8,7,15
ANZALDO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-03-01,0,0,3,5,3,5,8
CARAPARI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-03-01,0,2,0,0,0,2,2
CHACARILLA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-03-01,1,0,0,0,1,0,1
MAPIRI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-03-01,0,0,0,1,0,1,1
POTOSI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-03-01,1,2,0,0,1,2,3
PUNA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-03-01,0,1,0,0,0,1,1
QUILLACOLLO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-03-01,0,1,0,0,0,1,1
SACABA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-03-01,1,1,0,0,1,1,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-03-01,1,0,0,0,1,0,1
TARIJA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-03-01,0,1,0,0,0,1,1
TUPIZA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-03-01,8,0,0,0,8,0,8
UYUNI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-03-01,1,3,0,0,1,3,4
ANZALDO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-04-01,0,0,2,4,2,4,6
CARAPARI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-04-01,1,0,0,0,1,0,1
COCHABAMBA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-04-01,1,1,0,0,1,1,2
GUAYARAMERIN,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-04-01,9,0,0,0,9,0,9
POTOSI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-04-01,4,2,0,0,4,2,6
SAN JOAQUIN,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-04-01,0,0,2,1,2,1,3
SAN JULIAN,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-04-01,0,0,0,6,0,6,6
TRINIDAD,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-04-01,1,0,0,0,1,0,1
COCHABAMBA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-05-01,1,0,7,51,8,51,59
GUAYARAMERIN,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-05-01,12,2,0,0,12,2,14
MONTERO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-05-01,0,0,2,27,2,27,29
POTOSI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-05-01,5,8,0,0,5,8,13
SACABA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-05-01,0,1,0,0,0,1,1
LA PAZ,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-06-01,8,0,0,0,8,0,8
SACABA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-06-01,0,2,0,0,0,2,2
SAN JOAQUIN,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-06-01,1,1,0,0,1,1,2
SUCRE,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-06-01,0,1,0,0,0,1,1
TRINIDAD,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-06-01,3,0,0,0,3,0,3
VILLA SERRANO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-06-01,0,1,0,0,0,1,1
ACHACACHI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-07-01,3,7,0,0,3,7,10
ASCENCION DE GUARAYOS,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-07-01,6,2,0,0,6,2,8
BERMEJO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-07-01,1,1,0,0,1,1,2
COLQUIRI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-07-01,0,2,3,17,3,19,22
EL ALTO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-07-01,4,14,4,4,8,18,26
EL PUENTE(TJA),otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-07-01,2,2,0,0,2,2,4
GUAYARAMERIN,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-07-01,7,5,0,0,7,5,12
LA PAZ,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-07-01,11,0,0,0,11,0,11
ORURO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-07-01,4,6,0,0,4,6,10
SAN BORJA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-07-01,0,1,0,0,0,1,1
SAN LORENZO(TJA),otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-07-01,0,1,0,0,0,1,1
SENA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-07-01,0,1,0,0,0,1,1
SHINAOTA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-07-01,0,1,0,0,0,1,1
TARATA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-07-01,0,1,0,0,0,1,1
TARIJA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-07-01,2,1,0,0,2,1,3
TIQUIPAYA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-07-01,0,1,0,0,0,1,1
TRINIDAD,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-07-01,0,1,0,0,0,1,1
YACUIBA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-07-01,0,1,0,0,0,1,1
BETANZOS,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-08-01,0,1,0,0,0,1,1
CARANAVI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-08-01,4,9,2,2,6,11,17
COLCAPIRHUA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-08-01,9,9,0,0,9,9,18
COLQUIRI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-08-01,0,0,3,17,3,17,20
CONCEPCION,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-08-01,0,1,0,0,0,1,1
EL ALTO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-08-01,21,28,0,0,21,28,49
EL TORNO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-08-01,2,4,0,0,2,4,6
LA ASUNTA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-08-01,0,0,1,2,1,2,3
LA PAZ,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-08-01,3,1,0,0,3,1,4
ORURO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-08-01,3,5,0,0,3,5,8
PAILON,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-08-01,1,8,0,0,1,8,9
PAPEL PAMPA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-08-01,0,0,0,1,0,1,1
SALINAS DE GARCI MENDOZA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-08-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-08-01,2,14,0,0,2,14,16
TARIJA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-08-01,3,1,0,0,3,1,4
TRINIDAD,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-08-01,6,8,0,0,6,8,14
UYUNI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-08-01,0,2,0,0,0,2,2
WARNES,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-08-01,0,1,0,0,0,1,1
YACUIBA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-08-01,1,0,0,0,1,0,1
COCHABAMBA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-09-01,0,0,43,41,43,41,84
COLQUIRI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-09-01,12,38,0,1,12,39,51
EL ALTO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-09-01,17,40,0,0,17,40,57
GUAYARAMERIN,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-09-01,0,1,0,0,0,1,1
HUACARETA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-09-01,1,0,0,0,1,0,1
HUANUNI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-09-01,0,2,1,0,1,2,3
LA ASUNTA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-09-01,0,0,3,3,3,3,6
LA PAZ,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-09-01,49,179,0,0,49,179,228
LORETO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-09-01,0,0,0,7,0,7,7
POTOSI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-09-01,0,0,10,5,10,5,15
PUCARANI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-09-01,0,1,0,0,0,1,1
SAN PEDRO DE QUEMES,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-09-01,0,0,1,1,1,1,2
SANTA ROSA DEL SARA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-09-01,0,1,0,0,0,1,1
SENA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-09-01,0,0,0,5,0,5,5
TRINIDAD,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-09-01,0,1,0,0,0,1,1
UYUNI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-09-01,0,1,0,0,0,1,1
VALLEGRANDE,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-09-01,0,1,0,0,0,1,1
ACHOCALLA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-10-01,1,1,0,0,1,1,2
ANCORAIMES,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-10-01,0,1,0,0,0,1,1
CARANAVI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-10-01,0,6,0,0,0,6,6
COCHABAMBA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-10-01,1,0,1,0,2,0,2
COLQUIRI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-10-01,0,4,0,0,0,4,4
EL ALTO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-10-01,6,9,0,0,6,9,15
IXIAMAS,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-10-01,1,0,0,0,1,0,1
LA PAZ,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-10-01,0,3,0,1,0,4,4
ORURO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-10-01,0,2,12,2,12,4,16
PAILON,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-10-01,2,0,0,0,2,0,2
POTOSI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-10-01,0,0,3,1,3,1,4
PUCARANI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-10-01,0,1,1,1,1,2,3
QUIME,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-10-01,0,0,0,2,0,2,2
SAN LORENZO(TJA),otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2022-10-01,0,2,0,0,0,2,2
