,group,variable,month,HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,TOTALES,TOTALES,TOTALES
SIPE SIPE,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-01-01,1,0,0,0,1,0,1
SUCRE,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-01-01,0,1,0,0,0,1,1
TAPACARI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-01-01,1,0,0,0,1,0,1
TARIJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-01-01,1,1,0,0,1,1,2
ANCORAIMES,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-02-01,3,1,0,0,3,1,4
ARQUE,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-02-01,1,0,0,0,1,0,1
ASCENCION DE GUARAYOS,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-02-01,0,1,0,0,0,1,1
BERMEJO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-02-01,1,0,0,0,1,0,1
COCHABAMBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-02-01,0,0,0,1,0,1,1
COLQUECHACA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-02-01,0,1,0,0,0,1,1
COMANCHE,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-02-01,0,0,0,1,0,1,1
COPACABANA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-02-01,0,0,0,3,0,3,3
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-02-01,3,11,0,0,3,11,14
ENTRE RIOS CBBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-02-01,2,1,6,3,8,4,12
GUANAY,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-02-01,0,0,3,2,3,2,5
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-02-01,7,44,0,1,7,45,52
LLALLAGUA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-02-01,1,0,0,1,1,1,2
MONTERO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-02-01,0,1,0,0,0,1,1
ORURO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-02-01,29,37,0,0,29,37,66
PADCAYA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-02-01,0,2,0,1,0,3,3
PAMPA AULLAGAS,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-02-01,0,1,0,0,0,1,1
POCONA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-02-01,1,2,0,0,1,2,3
PUCARANI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-02-01,0,1,1,3,1,4,5
PUERTO CARABUCO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-02-01,0,1,0,0,0,1,1
QUIME,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-02-01,1,0,0,0,1,0,1
SACABA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-02-01,3,3,5,16,8,19,27
SAN BORJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-02-01,1,0,0,0,1,0,1
SAN IGNACIO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-02-01,1,0,0,0,1,0,1
SAN JUAN DE YAPACANI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-02-01,0,0,5,3,5,3,8
SAN LORENZO(PND),otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-02-01,1,2,0,0,1,2,3
SAN LORENZO(TJA),otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-02-01,0,2,0,0,0,2,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-02-01,7,9,0,0,7,9,16
SORATA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-02-01,1,1,0,0,1,1,2
SUCRE,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-02-01,0,1,0,0,0,1,1
TARIJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-02-01,0,0,0,1,0,1,1
TIRAQUE (CBBA),otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-02-01,0,0,1,0,1,0,1
TUPIZA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-02-01,1,0,0,2,1,2,3
VILLA RIVERO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-02-01,0,0,1,2,1,2,3
VILLA TUNARI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-02-01,1,0,0,0,1,0,1
VINTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-02-01,0,2,0,2,0,4,4
ANZALDO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-03-01,1,0,0,1,1,1,2
CARACOLLO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-03-01,0,0,0,1,0,1,1
COCHABAMBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-03-01,1,0,0,1,1,1,2
POTOSI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-03-01,0,1,0,0,0,1,1
QUILLACOLLO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-03-01,1,0,0,0,1,0,1
SACABA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-03-01,0,1,3,0,3,1,4
TARIJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-03-01,0,0,0,3,0,3,3
TUPIZA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-03-01,2,1,0,0,2,1,3
COCHABAMBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-04-01,0,2,0,0,0,2,2
GUAYARAMERIN,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-04-01,2,0,0,0,2,0,2
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-04-01,0,0,0,1,0,1,1
SACABA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-04-01,0,0,0,2,0,2,2
SAN JOAQUIN,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-04-01,0,1,0,1,0,2,2
TRINIDAD,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-04-01,1,1,2,3,3,4,7
COCHABAMBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-05-01,0,0,7,51,7,51,58
GUAYARAMERIN,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-05-01,1,1,0,0,1,1,2
MONTERO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-05-01,0,0,292,0,292,0,292
POCONA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-05-01,0,0,6,4,6,4,10
SUCRE,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-05-01,0,1,0,0,0,1,1
EL VILLAR,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-06-01,0,1,0,0,0,1,1
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-06-01,3,0,0,0,3,0,3
SAN JOAQUIN,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-06-01,1,0,0,0,1,0,1
SUCRE,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-06-01,3,0,0,0,3,0,3
VILLA SERRANO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-06-01,0,1,0,0,0,1,1
CARACOLLO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-07-01,0,0,8,0,8,0,8
CARANAVI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-07-01,9,4,0,0,9,4,13
COCHABAMBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-07-01,1,0,0,0,1,0,1
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-07-01,5,6,0,0,5,6,11
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-07-01,3,1,0,0,3,1,4
ORURO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-07-01,0,0,62,0,62,0,62
CARACOLLO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-08-01,0,0,14,3,14,3,17
COLQUIRI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-08-01,0,0,2,13,2,13,15
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-08-01,5,1,0,0,5,1,6
ORURO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-08-01,3,2,152,16,155,18,173
PAILON,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-08-01,0,2,0,0,0,2,2
PAPEL PAMPA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-08-01,0,0,0,1,0,1,1
RIBERALTA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-08-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-08-01,0,1,0,0,0,1,1
TRINIDAD,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-08-01,2,3,0,0,2,3,5
WARNES,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-08-01,0,1,0,0,0,1,1
BAURES,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-09-01,0,0,0,31,0,31,31
CARACOLLO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-09-01,0,0,2,0,2,0,2
CARANAVI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-09-01,0,1,0,0,0,1,1
COCHABAMBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-09-01,0,0,7,10,7,10,17
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-09-01,4,12,0,0,4,12,16
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-09-01,10,21,0,0,10,21,31
LORETO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-09-01,0,0,0,15,0,15,15
ORURO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-09-01,1,0,0,0,1,0,1
POTOSI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-09-01,1,1,27,1,28,2,30
SACABA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-09-01,0,0,0,1,0,1,1
SAN JAVIER(STC),otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-09-01,2,1,0,0,2,1,3
SANTA ROSA DEL SARA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-09-01,0,0,0,2,0,2,2
TRINIDAD,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-09-01,1,1,0,0,1,1,2
BAURES,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-10-01,0,0,0,1,0,1,1
CARANAVI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-10-01,0,1,0,0,0,1,1
CHARAGUA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-10-01,0,1,0,0,0,1,1
COCHABAMBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-10-01,0,1,0,0,0,1,1
COLQUIRI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-10-01,0,3,0,0,0,3,3
COTAGAITA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-10-01,0,1,0,0,0,1,1
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-10-01,4,18,0,0,4,18,22
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-10-01,0,2,0,1,0,3,3
ORURO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-10-01,1,4,2,0,3,4,7
PAILON,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-10-01,1,7,0,0,1,7,8
POTOSI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-10-01,0,0,10,3,10,3,13
SAN LORENZO(TJA),otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-10-01,0,2,0,0,0,2,2
SAN RAMON SCZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-10-01,0,0,0,1,0,1,1
TAPACARI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-10-01,0,0,0,1,0,1,1
TARIJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-10-01,0,2,0,0,0,2,2
TIRAQUE (CBBA),otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-10-01,0,0,0,1,0,1,1
TOCO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-10-01,0,0,1,0,1,0,1
TRINIDAD,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-10-01,3,2,0,0,3,2,5
YACUIBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-10-01,0,0,4,2,4,2,6
BUENA VISTA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-11-01,0,1,0,0,0,1,1
COCHABAMBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-11-01,0,0,40,43,40,43,83
"COLCHA ""K""",otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-11-01,0,2,0,0,0,2,2
COLQUIRI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-11-01,1,1,3,3,4,4,8
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-11-01,2,15,0,0,2,15,17
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-11-01,16,6,0,0,16,6,22
MONTERO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-11-01,0,0,1,0,1,0,1
ORURO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-11-01,1,1,0,0,1,1,2
SAN RAMON BENI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-11-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-11-01,0,1,0,0,0,1,1
TAPACARI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-11-01,0,0,0,1,0,1,1
TARIJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-11-01,1,1,0,0,1,1,2
TIRAQUE (CBBA),otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-11-01,0,0,1,0,1,0,1
VILLAZON,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-11-01,0,1,0,0,0,1,1
BERMEJO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-12-01,0,0,59,0,59,0,59
CABEZAS,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-12-01,1,0,0,0,1,0,1
COCHABAMBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-12-01,0,1,0,0,0,1,1
COMANCHE,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-12-01,1,0,0,0,1,0,1
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-12-01,0,2,6,0,6,2,8
GUAYARAMERIN,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-12-01,0,1,0,0,0,1,1
ORURO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-12-01,3,2,0,0,3,2,5
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-12-01,1,0,0,0,1,0,1
SENA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-12-01,0,1,0,0,0,1,1
SUCRE,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-12-01,1,0,0,0,1,0,1
TUPIZA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-12-01,1,0,0,0,1,0,1
UYUNI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-12-01,0,0,19,0,19,0,19
YACUIBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2022-12-01,0,1,0,0,0,1,1
