,group,variable,month,17.25 COVID DOSIS ANUAL (4TA DOSIS) DENTRO,17.25 COVID DOSIS ANUAL (4TA DOSIS) DENTRO,17.25 COVID DOSIS ANUAL (4TA DOSIS) FUERA,17.25 COVID DOSIS ANUAL (4TA DOSIS) FUERA,TOTALES,TOTALES,TOTALES
LA ASUNTA,otras vacunaciones,covid dosis anual (4ta dosis),2022-01-01,1,0,0,0,1,0,1
LA PAZ,otras vacunaciones,covid dosis anual (4ta dosis),2022-01-01,731,852,7,4,738,856,1594
LLALLAGUA,otras vacunaciones,covid dosis anual (4ta dosis),2022-01-01,1,1,0,0,1,1,2
MACHARETI,otras vacunaciones,covid dosis anual (4ta dosis),2022-01-01,2,0,0,0,2,0,2
MECAPACA,otras vacunaciones,covid dosis anual (4ta dosis),2022-01-01,4,3,1,0,5,3,8
MONTEAGUDO,otras vacunaciones,covid dosis anual (4ta dosis),2022-01-01,0,2,0,0,0,2,2
ORURO,otras vacunaciones,covid dosis anual (4ta dosis),2022-01-01,4,2,0,0,4,2,6
PALCA,otras vacunaciones,covid dosis anual (4ta dosis),2022-01-01,0,0,0,1,0,1,1
QUILLACOLLO,otras vacunaciones,covid dosis anual (4ta dosis),2022-01-01,1,2,1,2,2,4,6
SABAYA,otras vacunaciones,covid dosis anual (4ta dosis),2022-01-01,3,3,0,0,3,3,6
SACABAMBA,otras vacunaciones,covid dosis anual (4ta dosis),2022-01-01,0,1,0,0,0,1,1
SANTA ANA,otras vacunaciones,covid dosis anual (4ta dosis),2022-01-01,2,1,0,0,2,1,3
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid dosis anual (4ta dosis),2022-01-01,19,22,0,0,19,22,41
SANTIVAÑES,otras vacunaciones,covid dosis anual (4ta dosis),2022-01-01,0,1,0,0,0,1,1
SIPE SIPE,otras vacunaciones,covid dosis anual (4ta dosis),2022-01-01,1,0,0,0,1,0,1
SUCRE,otras vacunaciones,covid dosis anual (4ta dosis),2022-01-01,6,5,2,2,8,7,15
TARIJA,otras vacunaciones,covid dosis anual (4ta dosis),2022-01-01,9,6,1,7,10,13,23
TIQUIPAYA,otras vacunaciones,covid dosis anual (4ta dosis),2022-01-01,2,0,0,0,2,0,2
TOLATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-01-01,0,0,0,1,0,1,1
TOLEDO,otras vacunaciones,covid dosis anual (4ta dosis),2022-01-01,0,1,0,0,0,1,1
URIONDO (A. CONCEPCION),otras vacunaciones,covid dosis anual (4ta dosis),2022-01-01,2,1,0,0,2,1,3
VIACHA,otras vacunaciones,covid dosis anual (4ta dosis),2022-01-01,15,12,933,886,948,898,1846
VILLA MONTES,otras vacunaciones,covid dosis anual (4ta dosis),2022-01-01,2,2,4,4,6,6,12
VILLA SERRANO,otras vacunaciones,covid dosis anual (4ta dosis),2022-01-01,0,1,0,0,0,1,1
VILLA TUNARI,otras vacunaciones,covid dosis anual (4ta dosis),2022-01-01,3,0,0,0,3,0,3
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,covid dosis anual (4ta dosis),2022-01-01,0,0,7,0,7,0,7
VILLAZON,otras vacunaciones,covid dosis anual (4ta dosis),2022-01-01,0,5,0,0,0,5,5
YACUIBA,otras vacunaciones,covid dosis anual (4ta dosis),2022-01-01,5,5,1,0,6,5,11
YAMPARAEZ,otras vacunaciones,covid dosis anual (4ta dosis),2022-01-01,0,1,0,0,0,1,1
YAPACANI,otras vacunaciones,covid dosis anual (4ta dosis),2022-01-01,1,0,0,0,1,0,1
ACHOCALLA,otras vacunaciones,covid dosis anual (4ta dosis),2022-02-01,1,0,0,0,1,0,1
ANZALDO,otras vacunaciones,covid dosis anual (4ta dosis),2022-02-01,0,0,1,1,1,1,2
ARBIETO,otras vacunaciones,covid dosis anual (4ta dosis),2022-02-01,2,2,0,0,2,2,4
ATOCHA,otras vacunaciones,covid dosis anual (4ta dosis),2022-02-01,0,0,1,0,1,0,1
AZURDUY,otras vacunaciones,covid dosis anual (4ta dosis),2022-02-01,0,2,0,0,0,2,2
BERMEJO,otras vacunaciones,covid dosis anual (4ta dosis),2022-02-01,6,12,0,0,6,12,18
BOLIVAR,otras vacunaciones,covid dosis anual (4ta dosis),2022-02-01,0,1,0,0,0,1,1
CAPINOTA,otras vacunaciones,covid dosis anual (4ta dosis),2022-02-01,0,2,0,0,0,2,2
CARACOLLO,otras vacunaciones,covid dosis anual (4ta dosis),2022-02-01,2,0,0,0,2,0,2
CHARAGUA,otras vacunaciones,covid dosis anual (4ta dosis),2022-02-01,1,1,0,0,1,1,2
CHIMORE,otras vacunaciones,covid dosis anual (4ta dosis),2022-02-01,0,0,0,1,0,1,1
CLIZA,otras vacunaciones,covid dosis anual (4ta dosis),2022-02-01,1,0,0,1,1,1,2
COCHABAMBA,otras vacunaciones,covid dosis anual (4ta dosis),2022-02-01,102,117,4,2,106,119,225
COLOMI,otras vacunaciones,covid dosis anual (4ta dosis),2022-02-01,0,0,0,1,0,1,1
COLQUECHACA,otras vacunaciones,covid dosis anual (4ta dosis),2022-02-01,1,0,1,0,2,0,2
COLQUIRI,otras vacunaciones,covid dosis anual (4ta dosis),2022-02-01,0,0,0,1,0,1,1
CORIPATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-02-01,0,0,1,0,1,0,1
CORO CORO,otras vacunaciones,covid dosis anual (4ta dosis),2022-02-01,0,0,46,3,46,3,49
COROICO,otras vacunaciones,covid dosis anual (4ta dosis),2022-02-01,0,1,1,0,1,1,2
CULPINA,otras vacunaciones,covid dosis anual (4ta dosis),2022-02-01,0,0,0,1,0,1,1
HUACARETA,otras vacunaciones,covid dosis anual (4ta dosis),2022-02-01,1,1,0,0,1,1,2
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,covid dosis anual (4ta dosis),2022-02-01,1,0,0,0,1,0,1
INCAHUASI,otras vacunaciones,covid dosis anual (4ta dosis),2022-02-01,1,0,1,0,2,0,2
INGAVI (HUMAITA),otras vacunaciones,covid dosis anual (4ta dosis),2022-02-01,0,0,2,3,2,3,5
JESUS DE MACHACA,otras vacunaciones,covid dosis anual (4ta dosis),2022-02-01,1,1,0,0,1,1,2
LA ASUNTA,otras vacunaciones,covid dosis anual (4ta dosis),2022-02-01,0,1,0,0,0,1,1
LA PAZ,otras vacunaciones,covid dosis anual (4ta dosis),2022-02-01,71,70,12,9,83,79,162
MACHARETI,otras vacunaciones,covid dosis anual (4ta dosis),2022-02-01,1,0,0,2,1,2,3
MECAPACA,otras vacunaciones,covid dosis anual (4ta dosis),2022-02-01,4,3,1,0,5,3,8
MOCOMOCO,otras vacunaciones,covid dosis anual (4ta dosis),2022-02-01,0,0,2,0,2,0,2
MONTEAGUDO,otras vacunaciones,covid dosis anual (4ta dosis),2022-02-01,1,1,0,0,1,1,2
MONTERO,otras vacunaciones,covid dosis anual (4ta dosis),2022-02-01,1,5,0,0,1,5,6
OMEREQUE,otras vacunaciones,covid dosis anual (4ta dosis),2022-02-01,0,1,1,1,1,2,3
ORURO,otras vacunaciones,covid dosis anual (4ta dosis),2022-02-01,2,2,0,0,2,2,4
PUERTO VILLARROEL,otras vacunaciones,covid dosis anual (4ta dosis),2022-02-01,4,5,0,0,4,5,9
PUNA,otras vacunaciones,covid dosis anual (4ta dosis),2022-02-01,0,1,0,0,0,1,1
QUIABAYA,otras vacunaciones,covid dosis anual (4ta dosis),2022-02-01,0,0,0,4,0,4,4
QUILLACOLLO,otras vacunaciones,covid dosis anual (4ta dosis),2022-02-01,0,1,5,4,5,5,10
RAQAYPAMPA(ETA),otras vacunaciones,covid dosis anual (4ta dosis),2022-02-01,1,1,0,1,1,2,3
SACABA,otras vacunaciones,covid dosis anual (4ta dosis),2022-02-01,0,1,0,0,0,1,1
SACABAMBA,otras vacunaciones,covid dosis anual (4ta dosis),2022-02-01,0,0,2,0,2,0,2
SALINAS DE GARCI MENDOZA,otras vacunaciones,covid dosis anual (4ta dosis),2022-02-01,0,0,2,3,2,3,5
SAN CARLOS,otras vacunaciones,covid dosis anual (4ta dosis),2022-02-01,1,0,0,1,1,1,2
SAN PEDRO DE MACHA,otras vacunaciones,covid dosis anual (4ta dosis),2022-02-01,0,0,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid dosis anual (4ta dosis),2022-02-01,96,133,0,1,96,134,230
SANTIAGO DE HUARI,otras vacunaciones,covid dosis anual (4ta dosis),2022-02-01,1,1,0,0,1,1,2
SHINAOTA,otras vacunaciones,covid dosis anual (4ta dosis),2022-02-01,0,0,1,0,1,0,1
SORATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-02-01,7,7,3,0,10,7,17
SUCRE,otras vacunaciones,covid dosis anual (4ta dosis),2022-02-01,7,5,3,5,10,10,20
TAPACARI,otras vacunaciones,covid dosis anual (4ta dosis),2022-02-01,0,1,0,0,0,1,1
TARIJA,otras vacunaciones,covid dosis anual (4ta dosis),2022-02-01,5,9,2,0,7,9,16
TIQUIPAYA,otras vacunaciones,covid dosis anual (4ta dosis),2022-02-01,3,1,0,0,3,1,4
TRINIDAD,otras vacunaciones,covid dosis anual (4ta dosis),2022-02-01,0,1,0,0,0,1,1
URIONDO (A. CONCEPCION),otras vacunaciones,covid dosis anual (4ta dosis),2022-02-01,0,1,0,0,0,1,1
VIACHA,otras vacunaciones,covid dosis anual (4ta dosis),2022-02-01,53,49,165,172,218,221,439
VILLA MONTES,otras vacunaciones,covid dosis anual (4ta dosis),2022-02-01,0,0,1,2,1,2,3
VILLA SERRANO,otras vacunaciones,covid dosis anual (4ta dosis),2022-02-01,0,1,0,0,0,1,1
VILLA TUNARI,otras vacunaciones,covid dosis anual (4ta dosis),2022-02-01,1,1,0,0,1,1,2
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,covid dosis anual (4ta dosis),2022-02-01,0,0,4,0,4,0,4
YACUIBA,otras vacunaciones,covid dosis anual (4ta dosis),2022-02-01,1,2,0,0,1,2,3
YAPACANI,otras vacunaciones,covid dosis anual (4ta dosis),2022-02-01,0,1,0,0,0,1,1
ACHOCALLA,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,1,0,0,0,1,0,1
AIQUILE,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,0,6,24,10,24,16,40
ALALAY,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,1,1,0,0,1,1,2
ALCALA,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,0,0,1,3,1,3,4
ANDAMARCA,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,24,31,0,0,24,31,55
ANTEQUERA,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,12,12,0,0,12,12,24
ANZALDO,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,0,1,0,0,0,1,1
ARANI,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,2,6,0,0,2,6,8
ARBIETO,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,3,1,1,9,4,10,14
ARQUE,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,0,0,2,0,2,0,2
ATOCHA,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,26,23,83,74,109,97,206
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,2,2,1,2,3,4,7
BERMEJO,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,2,0,1,1,3,1,4
BETANZOS,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,7,8,0,0,7,8,15
BOLIVAR,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,4,2,1,1,5,3,8
BOYUIBE,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,14,12,1,1,15,13,28
CAMARGO,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,24,14,31,15,55,29,84
CAPINOTA,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,6,4,0,0,6,4,10
CARACOLLO,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,1,2,0,0,1,2,3
CARANAVI,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,4,7,120,143,124,150,274
CARANGAS,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,1,2,0,0,1,2,3
CARAPARI,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,2,0,0,0,2,0,2
CATACORA,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,0,0,0,1,0,1,1
CHALLAPATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,18,23,6,7,24,30,54
CHIMORE,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,4,6,12,3,16,9,25
CHUA COCANI,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,0,1,0,0,0,1,1
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,9,16,0,0,9,16,25
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,2,2,0,0,2,2,4
CLIZA,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,2,2,0,0,2,2,4
COCAPATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,2,1,0,0,2,1,3
COCHABAMBA,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,2692,2713,644,593,3336,3306,6642
COIPASA,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,7,9,0,0,7,9,16
COLCAPIRHUA,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,47,46,84,85,131,131,262
COLOMI,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,0,0,0,1,0,1,1
COLQUECHACA,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,3,4,2,1,5,5,10
COMBAYA,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,10,16,0,0,10,16,26
CORIPATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,1,0,0,0,1,0,1
CORO CORO,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,1,2,0,0,1,2,3
COROICO,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,3,3,10,7,13,10,23
CORQUE,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,13,18,0,0,13,18,31
COTOCA,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,91,76,4,0,95,76,171
CRUZ DE MACHACAMARCA,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,2,2,0,0,2,2,4
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,4,4,0,0,4,4,8
CURAHUARA DE CARANGAS,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,1,2,0,0,1,2,3
EL ALTO,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,103,121,5,7,108,128,236
EL VILLAR,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,2,0,0,0,2,0,2
ENTRE RIOS CBBA,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,12,19,27,12,39,31,70
ESCARA,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,4,0,0,0,4,0,4
ESCOMA,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,2,0,0,0,2,0,2
ESMERALDA,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,1,4,0,0,1,4,5
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,0,1,0,2,0,3,3
GUAYARAMERIN,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,1,1,0,0,1,1,2
HUACARETA,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,0,0,1,0,1,0,1
HUACHACALLA,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,12,9,0,0,12,9,21
HUANUNI,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,23,26,0,0,23,26,49
HUARINA,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,6,6,0,0,6,6,12
HUATAJATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,4,0,0,0,4,0,4
LA ASUNTA,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,2,0,0,0,2,0,2
LA PAZ,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,2367,2540,2332,1074,4699,3614,8313
LAGUNILLAS,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,6,2,1,0,7,2,9
LAJA,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,0,0,1,0,1,0,1
LAS CARRERAS,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,1,0,0,0,1,0,1
LLALLAGUA,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,84,63,0,0,84,63,147
MECAPACA,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,4,3,0,0,4,3,7
MIZQUE,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,0,0,2,0,2,0,2
MOCOMOCO,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,1,0,0,1,1,1,2
MONTEAGUDO,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,47,58,1,1,48,59,107
MONTERO,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,23,10,29,23,52,33,85
MOROCHATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,0,0,1,0,1,0,1
OCURI,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,7,12,9,14,16,26,42
OMEREQUE,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,0,0,57,65,57,65,122
ORURO,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,1119,1072,10,5,1129,1077,2206
PADILLA,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,127,161,0,0,127,161,288
PAMPA AULLAGAS,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,1,2,2,0,3,2,5
PASORAPA,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,32,33,0,0,32,33,65
PAZÑA,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,7,13,10,6,17,19,36
POOPO,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,6,8,0,0,6,8,14
POROMA,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,0,0,2,1,2,1,3
POTOSI,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,105,81,91,52,196,133,329
PUERTO VILLARROEL,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,3,5,29,34,32,39,71
PUNA,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,0,2,0,0,0,2,2
PUNATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,29,28,0,3,29,31,60
QUILLACOLLO,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,341,274,192,201,533,475,1008
RAQAYPAMPA(ETA),otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,0,0,1,3,1,3,4
SABAYA,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,19,22,0,0,19,22,41
SACABA,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,184,156,116,115,300,271,571
SACABAMBA,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,1,0,0,1,1,1,2
SALINAS DE GARCI MENDOZA,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,20,24,12,8,32,32,64
SAN CARLOS,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,15,3,0,0,15,3,18
SAN IGNACIO DE VELASCO,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,1,0,0,1,1,1,2
SAN LUCAS,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,1,1,0,0,1,1,2
SAN MIGUEL DE VELASCO,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,19,16,48,61,67,77,144
SAN PEDRO DE MACHA,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,0,1,0,0,0,1,1
SAN PEDRO DE TIQUINA,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,0,1,0,0,0,1,1
SAN PEDRO(PND),otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,0,0,1,1,1,1,2
SAN RAFAEL,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,23,30,0,0,23,30,53
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,1197,1066,662,616,1859,1682,3541
SANTIAGO DE HUARI,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,9,11,5,8,14,19,33
SANTIVAÑES,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,20,15,0,0,20,15,35
SANTUARIO DE QUILLACAS,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,5,12,2,0,7,12,19
SAPAHAQUI,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,1,0,0,0,1,0,1
SHINAOTA,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,22,15,0,0,22,15,37
SIPE SIPE,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,5,13,52,64,57,77,134
SOPACHUY,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,5,5,0,0,5,5,10
SORACACHI,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,24,37,0,0,24,37,61
SORATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,2,0,0,0,2,0,2
SUCRE,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,3408,3767,61,83,3469,3850,7319
TACACOMA,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,1,0,0,0,1,0,1
TACOPAYA,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,3,2,2,1,5,3,8
TARACO,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,0,0,3,6,3,6,9
TARATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,3,4,0,0,3,4,7
TARIJA,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,310,307,636,458,946,765,1711
TARVITA,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,1,1,0,0,1,1,2
TIAHUANACU,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,0,0,0,1,0,1,1
TIQUIPAYA,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,35,39,44,47,79,86,165
TOCO,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,1,0,0,1,1,1,2
TOLATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,4,4,0,0,4,4,8
TOLEDO,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,1,4,0,0,1,4,5
TOMINA,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,14,20,0,0,14,20,34
TOTORA(CBBA),otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,19,26,1,1,20,27,47
TOTORA(ORR),otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,7,2,1,2,8,4,12
TRINIDAD,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,1,3,0,0,1,3,4
TUPIZA,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,26,18,18,16,44,34,78
TURCO,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,6,8,0,0,6,8,14
URIONDO (A. CONCEPCION),otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,0,1,0,0,0,1,1
VACAS,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,0,2,0,0,0,2,2
VALLEGRANDE,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,7,15,0,0,7,15,22
VIACHA,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,32,49,160,174,192,223,415
VILLA MONTES,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,47,43,25,24,72,67,139
VILLA RIVERO,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,6,11,0,0,6,11,17
VILLA SERRANO,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,32,43,0,0,32,43,75
VILLA TUNARI,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,32,27,45,33,77,60,137
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,1,2,1,0,2,2,4
VILLAZON,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,89,74,8,12,97,86,183
VINTO,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,18,11,5,7,23,18,41
YACUIBA,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,28,24,25,22,53,46,99
YAMPARAEZ,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,3,5,2,1,5,6,11
YAPACANI,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,42,40,3,2,45,42,87
YOCALLA,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,0,0,1,2,1,2,3
YOTALA,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,0,4,0,4,0,8,8
YUNCHARA,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,0,0,0,1,0,1,1
ZUDAÑEZ,otras vacunaciones,covid dosis anual (4ta dosis),2022-03-01,6,2,0,0,6,2,8
AIQUILE,otras vacunaciones,covid dosis anual (4ta dosis),2022-04-01,48,54,1,0,49,54,103
