,group,variable,month,17.24 COVID 2DA DOSIS DENTRO,17.24 COVID 2DA DOSIS DENTRO,17.24 COVID 2DA DOSIS FUERA,17.24 COVID 2DA DOSIS FUERA,TOTALES,TOTALES,TOTALES
AZURDUY,otras vacunaciones,covid 2da dosis,2022-01-01,114,145,15,18,129,163,292
BATALLAS,otras vacunaciones,covid 2da dosis,2022-01-01,207,199,11,8,218,207,425
BAURES,otras vacunaciones,covid 2da dosis,2022-01-01,163,163,8,4,171,167,338
BELEN DE ANDAMARCA,otras vacunaciones,covid 2da dosis,2022-01-01,18,16,0,0,18,16,34
BELEN DE URMIRI,otras vacunaciones,covid 2da dosis,2022-01-01,9,16,4,4,13,20,33
BELLA FLOR,otras vacunaciones,covid 2da dosis,2022-01-01,11,7,27,18,38,25,63
BERMEJO,otras vacunaciones,covid 2da dosis,2022-01-01,53,45,0,0,53,45,98
BETANZOS,otras vacunaciones,covid 2da dosis,2022-01-01,319,346,65,75,384,421,805
BOLIVAR,otras vacunaciones,covid 2da dosis,2022-01-01,11,16,17,10,28,26,54
BOLPEBRA,otras vacunaciones,covid 2da dosis,2022-01-01,19,10,43,51,62,61,123
BOYUIBE,otras vacunaciones,covid 2da dosis,2022-01-01,251,177,16,26,267,203,470
BUENA VISTA,otras vacunaciones,covid 2da dosis,2022-01-01,230,253,10,0,240,253,493
CABEZAS,otras vacunaciones,covid 2da dosis,2022-01-01,992,896,0,0,992,896,1888
CAIROMA,otras vacunaciones,covid 2da dosis,2022-01-01,70,68,15,9,85,77,162
"CAIZA ""D""",otras vacunaciones,covid 2da dosis,2022-01-01,52,43,14,10,66,53,119
CAJUATA,otras vacunaciones,covid 2da dosis,2022-01-01,149,134,28,33,177,167,344
CALACOTO,otras vacunaciones,covid 2da dosis,2022-01-01,38,33,79,121,117,154,271
CALAMARCA,otras vacunaciones,covid 2da dosis,2022-01-01,187,168,16,24,203,192,395
CAMARGO,otras vacunaciones,covid 2da dosis,2022-01-01,434,402,69,81,503,483,986
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,covid 2da dosis,2022-01-01,76,56,12,15,88,71,159
CAMIRI,otras vacunaciones,covid 2da dosis,2022-01-01,679,654,0,0,679,654,1333
CAPINOTA,otras vacunaciones,covid 2da dosis,2022-01-01,716,745,0,2,716,747,1463
CAQUIAVIRI,otras vacunaciones,covid 2da dosis,2022-01-01,50,56,16,21,66,77,143
CARACOLLO,otras vacunaciones,covid 2da dosis,2022-01-01,424,412,0,0,424,412,836
CARANAVI,otras vacunaciones,covid 2da dosis,2022-01-01,200,194,346,317,546,511,1057
CARANGAS,otras vacunaciones,covid 2da dosis,2022-01-01,26,33,0,0,26,33,59
CARAPARI,otras vacunaciones,covid 2da dosis,2022-01-01,216,233,4,4,220,237,457
CARIPUYO,otras vacunaciones,covid 2da dosis,2022-01-01,40,44,24,26,64,70,134
CARMEN RIVERO TORREZ,otras vacunaciones,covid 2da dosis,2022-01-01,247,230,0,0,247,230,477
CATACORA,otras vacunaciones,covid 2da dosis,2022-01-01,5,4,31,27,36,31,67
CHACARILLA,otras vacunaciones,covid 2da dosis,2022-01-01,9,6,4,0,13,6,19
CHALLAPATA,otras vacunaciones,covid 2da dosis,2022-01-01,492,475,44,49,536,524,1060
CHAQUI,otras vacunaciones,covid 2da dosis,2022-01-01,73,71,66,47,139,118,257
CHARAGUA,otras vacunaciones,covid 2da dosis,2022-01-01,714,864,148,149,862,1013,1875
CHARAÑA,otras vacunaciones,covid 2da dosis,2022-01-01,36,37,7,5,43,42,85
CHAYANTA,otras vacunaciones,covid 2da dosis,2022-01-01,88,97,5,6,93,103,196
CHIMORE,otras vacunaciones,covid 2da dosis,2022-01-01,259,227,39,33,298,260,558
CHIPAYA,otras vacunaciones,covid 2da dosis,2022-01-01,114,136,1,5,115,141,256
CHOQUE COTA,otras vacunaciones,covid 2da dosis,2022-01-01,13,13,0,0,13,13,26
CHUA COCANI,otras vacunaciones,covid 2da dosis,2022-01-01,38,40,26,10,64,50,114
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,covid 2da dosis,2022-01-01,144,124,92,129,236,253,489
CHUMA,otras vacunaciones,covid 2da dosis,2022-01-01,78,60,14,20,92,80,172
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,covid 2da dosis,2022-01-01,38,30,19,14,57,44,101
CKOCHAS,otras vacunaciones,covid 2da dosis,2022-01-01,43,48,17,23,60,71,131
CLIZA,otras vacunaciones,covid 2da dosis,2022-01-01,533,590,163,151,696,741,1437
COBIJA,otras vacunaciones,covid 2da dosis,2022-01-01,1138,1181,734,536,1872,1717,3589
COCAPATA,otras vacunaciones,covid 2da dosis,2022-01-01,48,44,0,0,48,44,92
COCHABAMBA,otras vacunaciones,covid 2da dosis,2022-01-01,27067,27242,1166,1026,28233,28268,56501
COIPASA,otras vacunaciones,covid 2da dosis,2022-01-01,22,25,0,0,22,25,47
COLCAPIRHUA,otras vacunaciones,covid 2da dosis,2022-01-01,353,351,1090,1006,1443,1357,2800
"COLCHA ""K""",otras vacunaciones,covid 2da dosis,2022-01-01,435,458,34,27,469,485,954
COLLANA,otras vacunaciones,covid 2da dosis,2022-01-01,44,35,12,13,56,48,104
COLOMI,otras vacunaciones,covid 2da dosis,2022-01-01,311,313,1,1,312,314,626
COLPA BELGICA,otras vacunaciones,covid 2da dosis,2022-01-01,268,279,0,0,268,279,547
COLQUECHACA,otras vacunaciones,covid 2da dosis,2022-01-01,66,77,28,32,94,109,203
COLQUENCHA,otras vacunaciones,covid 2da dosis,2022-01-01,298,289,0,0,298,289,587
COLQUIRI,otras vacunaciones,covid 2da dosis,2022-01-01,220,215,149,108,369,323,692
COMANCHE,otras vacunaciones,covid 2da dosis,2022-01-01,11,18,1,0,12,18,30
COMARAPA,otras vacunaciones,covid 2da dosis,2022-01-01,339,349,17,15,356,364,720
COMBAYA,otras vacunaciones,covid 2da dosis,2022-01-01,7,6,32,28,39,34,73
CONCEPCION,otras vacunaciones,covid 2da dosis,2022-01-01,1202,1252,40,28,1242,1280,2522
COPACABANA,otras vacunaciones,covid 2da dosis,2022-01-01,131,127,16,15,147,142,289
CORIPATA,otras vacunaciones,covid 2da dosis,2022-01-01,150,117,20,25,170,142,312
CORO CORO,otras vacunaciones,covid 2da dosis,2022-01-01,37,41,35,57,72,98,170
COROICO,otras vacunaciones,covid 2da dosis,2022-01-01,197,167,121,104,318,271,589
CORQUE,otras vacunaciones,covid 2da dosis,2022-01-01,175,122,0,0,175,122,297
COTAGAITA,otras vacunaciones,covid 2da dosis,2022-01-01,110,150,41,35,151,185,336
COTOCA,otras vacunaciones,covid 2da dosis,2022-01-01,3189,3362,1,5,3190,3367,6557
CRUZ DE MACHACAMARCA,otras vacunaciones,covid 2da dosis,2022-01-01,103,70,0,1,103,71,174
CUATRO CAÑADAS,otras vacunaciones,covid 2da dosis,2022-01-01,405,442,36,17,441,459,900
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,covid 2da dosis,2022-01-01,45,49,0,0,45,49,94
CUEVO,otras vacunaciones,covid 2da dosis,2022-01-01,139,117,5,7,144,124,268
CULPINA,otras vacunaciones,covid 2da dosis,2022-01-01,325,304,82,61,407,365,772
CURAHUARA DE CARANGAS,otras vacunaciones,covid 2da dosis,2022-01-01,76,54,0,0,76,54,130
CURVA,otras vacunaciones,covid 2da dosis,2022-01-01,24,24,11,7,35,31,66
DESAGUADERO,otras vacunaciones,covid 2da dosis,2022-01-01,435,80,24,24,459,104,563
EL ALTO,otras vacunaciones,covid 2da dosis,2022-01-01,17004,18486,10260,10266,27264,28752,56016
EL CHORO,otras vacunaciones,covid 2da dosis,2022-01-01,71,62,0,0,71,62,133
EL PUENTE(STC),otras vacunaciones,covid 2da dosis,2022-01-01,303,333,18,17,321,350,671
EL PUENTE(TJA),otras vacunaciones,covid 2da dosis,2022-01-01,266,257,24,28,290,285,575
EL TORNO,otras vacunaciones,covid 2da dosis,2022-01-01,1904,1880,0,0,1904,1880,3784
EL VILLAR,otras vacunaciones,covid 2da dosis,2022-01-01,72,100,0,0,72,100,172
ENTRE RIOS TRJ,otras vacunaciones,covid 2da dosis,2022-01-01,199,220,5,9,204,229,433
ENTRE RIOS CBBA,otras vacunaciones,covid 2da dosis,2022-01-01,396,392,14,19,410,411,821
ESCARA,otras vacunaciones,covid 2da dosis,2022-01-01,112,117,0,0,112,117,229
ESCOMA,otras vacunaciones,covid 2da dosis,2022-01-01,106,141,10,10,116,151,267
ESMERALDA,otras vacunaciones,covid 2da dosis,2022-01-01,84,112,0,0,84,112,196
EUCALIPTUS,otras vacunaciones,covid 2da dosis,2022-01-01,67,55,2,1,69,56,125
EUREKA (SANTOS MERCADO),otras vacunaciones,covid 2da dosis,2022-01-01,7,8,4,3,11,11,22
FERNANDEZ ALONSO,otras vacunaciones,covid 2da dosis,2022-01-01,323,337,12,12,335,349,684
FILADELFIA,otras vacunaciones,covid 2da dosis,2022-01-01,16,20,148,155,164,175,339
GAIOC JATUN AYLLU YURA,otras vacunaciones,covid 2da dosis,2022-01-01,32,34,33,42,65,76,141
GENERAL SAAVEDRA,otras vacunaciones,covid 2da dosis,2022-01-01,588,537,0,0,588,537,1125
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,covid 2da dosis,2022-01-01,66,62,49,59,115,121,236
GUANAY,otras vacunaciones,covid 2da dosis,2022-01-01,130,129,114,123,244,252,496
GUAQUI,otras vacunaciones,covid 2da dosis,2022-01-01,201,133,3,2,204,135,339
GUAYARAMERIN,otras vacunaciones,covid 2da dosis,2022-01-01,589,567,123,151,712,718,1430
GUTIERREZ,otras vacunaciones,covid 2da dosis,2022-01-01,408,391,0,0,408,391,799
HUACARETA,otras vacunaciones,covid 2da dosis,2022-01-01,182,171,36,27,218,198,416
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,covid 2da dosis,2022-01-01,24,29,13,22,37,51,88
HUACHACALLA,otras vacunaciones,covid 2da dosis,2022-01-01,32,35,0,0,32,35,67
HUANUNI,otras vacunaciones,covid 2da dosis,2022-01-01,651,710,1,3,652,713,1365
HUARACAJE,otras vacunaciones,covid 2da dosis,2022-01-01,127,113,0,0,127,113,240
HUARINA,otras vacunaciones,covid 2da dosis,2022-01-01,36,33,20,7,56,40,96
HUATAJATA,otras vacunaciones,covid 2da dosis,2022-01-01,44,43,0,0,44,43,87
HUAYLLAMARCA,otras vacunaciones,covid 2da dosis,2022-01-01,66,78,4,2,70,80,150
HUMANATA,otras vacunaciones,covid 2da dosis,2022-01-01,28,30,2,1,30,31,61
ICHOCA,otras vacunaciones,covid 2da dosis,2022-01-01,29,25,22,22,51,47,98
ICLA,otras vacunaciones,covid 2da dosis,2022-01-01,95,84,34,24,129,108,237
INCAHUASI,otras vacunaciones,covid 2da dosis,2022-01-01,126,111,22,27,148,138,286
INGAVI (HUMAITA),otras vacunaciones,covid 2da dosis,2022-01-01,6,9,11,19,17,28,45
INQUISIVI,otras vacunaciones,covid 2da dosis,2022-01-01,86,78,53,75,139,153,292
IRUPANA (VILLA DE LANZA),otras vacunaciones,covid 2da dosis,2022-01-01,67,51,16,18,83,69,152
IXIAMAS,otras vacunaciones,covid 2da dosis,2022-01-01,0,0,21,11,21,11,32
JESUS DE MACHACA,otras vacunaciones,covid 2da dosis,2022-01-01,205,173,31,25,236,198,434
LA ASUNTA,otras vacunaciones,covid 2da dosis,2022-01-01,308,303,27,29,335,332,667
LA GUARDIA,otras vacunaciones,covid 2da dosis,2022-01-01,3539,3755,94,89,3633,3844,7477
LA PAZ,otras vacunaciones,covid 2da dosis,2022-01-01,25305,26147,6001,6187,31306,32334,63640
LA RIVERA,otras vacunaciones,covid 2da dosis,2022-01-01,1,1,0,0,1,1,2
LAGUNILLAS,otras vacunaciones,covid 2da dosis,2022-01-01,205,211,56,47,261,258,519
LAJA,otras vacunaciones,covid 2da dosis,2022-01-01,331,296,63,58,394,354,748
LAS CARRERAS,otras vacunaciones,covid 2da dosis,2022-01-01,108,106,0,0,108,106,214
LICOMA PAMPA,otras vacunaciones,covid 2da dosis,2022-01-01,16,18,2,3,18,21,39
LLALLAGUA,otras vacunaciones,covid 2da dosis,2022-01-01,741,820,149,133,890,953,1843
LLICA,otras vacunaciones,covid 2da dosis,2022-01-01,26,24,11,11,37,35,72
LORETO,otras vacunaciones,covid 2da dosis,2022-01-01,21,24,7,11,28,35,63
LURIBAY,otras vacunaciones,covid 2da dosis,2022-01-01,134,130,82,82,216,212,428
MACHACAMARCA,otras vacunaciones,covid 2da dosis,2022-01-01,88,90,0,0,88,90,178
MACHARETI,otras vacunaciones,covid 2da dosis,2022-01-01,193,190,65,73,258,263,521
MAGDALENA,otras vacunaciones,covid 2da dosis,2022-01-01,173,193,52,46,225,239,464
MAIRANA,otras vacunaciones,covid 2da dosis,2022-01-01,298,292,25,17,323,309,632
MALLA,otras vacunaciones,covid 2da dosis,2022-01-01,15,24,77,64,92,88,180
MAPIRI,otras vacunaciones,covid 2da dosis,2022-01-01,88,85,0,0,88,85,173
MECAPACA,otras vacunaciones,covid 2da dosis,2022-01-01,25,27,8,9,33,36,69
MINEROS,otras vacunaciones,covid 2da dosis,2022-01-01,53,27,0,0,53,27,80
MIZQUE,otras vacunaciones,covid 2da dosis,2022-01-01,313,294,67,58,380,352,732
MOCOMOCO,otras vacunaciones,covid 2da dosis,2022-01-01,209,216,150,136,359,352,711
MOJINETE,otras vacunaciones,covid 2da dosis,2022-01-01,8,5,4,0,12,5,17
MOJOCOYA,otras vacunaciones,covid 2da dosis,2022-01-01,69,84,9,13,78,97,175
MONTEAGUDO,otras vacunaciones,covid 2da dosis,2022-01-01,669,654,71,79,740,733,1473
MONTERO,otras vacunaciones,covid 2da dosis,2022-01-01,4728,4925,65,77,4793,5002,9795
MORO MORO,otras vacunaciones,covid 2da dosis,2022-01-01,57,50,32,28,89,78,167
MOROCHATA,otras vacunaciones,covid 2da dosis,2022-01-01,57,59,203,205,260,264,524
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,covid 2da dosis,2022-01-01,20,23,21,25,41,48,89
NAZACARA DE PACAJES,otras vacunaciones,covid 2da dosis,2022-01-01,16,26,0,0,16,26,42
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,covid 2da dosis,2022-01-01,0,0,1,0,1,0,1
OCURI,otras vacunaciones,covid 2da dosis,2022-01-01,21,27,16,16,37,43,80
OKINAWA,otras vacunaciones,covid 2da dosis,2022-01-01,350,382,0,0,350,382,732
OMEREQUE,otras vacunaciones,covid 2da dosis,2022-01-01,70,49,235,220,305,269,574
ORURO,otras vacunaciones,covid 2da dosis,2022-01-01,12673,12957,86,74,12759,13031,25790
PADCAYA,otras vacunaciones,covid 2da dosis,2022-01-01,96,93,1,1,97,94,191
PADILLA,otras vacunaciones,covid 2da dosis,2022-01-01,432,464,0,0,432,464,896
PAILON,otras vacunaciones,covid 2da dosis,2022-01-01,1348,1150,0,0,1348,1150,2498
PALCA,otras vacunaciones,covid 2da dosis,2022-01-01,56,55,29,29,85,84,169
PALOS BLANCOS,otras vacunaciones,covid 2da dosis,2022-01-01,149,134,35,26,184,160,344
PAMPA AULLAGAS,otras vacunaciones,covid 2da dosis,2022-01-01,23,19,0,0,23,19,42
PAMPA GRANDE,otras vacunaciones,covid 2da dosis,2022-01-01,200,196,44,41,244,237,481
PAPEL PAMPA,otras vacunaciones,covid 2da dosis,2022-01-01,41,41,23,26,64,67,131
PASORAPA,otras vacunaciones,covid 2da dosis,2022-01-01,134,107,0,0,134,107,241
PATACAMAYA,otras vacunaciones,covid 2da dosis,2022-01-01,383,357,2,1,385,358,743
PAZÑA,otras vacunaciones,covid 2da dosis,2022-01-01,132,151,23,31,155,182,337
PELECHUCO,otras vacunaciones,covid 2da dosis,2022-01-01,70,49,5,1,75,50,125
POCOATA,otras vacunaciones,covid 2da dosis,2022-01-01,24,25,27,33,51,58,109
POCONA,otras vacunaciones,covid 2da dosis,2022-01-01,112,102,2,2,114,104,218
POJO (CBBA),otras vacunaciones,covid 2da dosis,2022-01-01,72,62,0,0,72,62,134
POOPO,otras vacunaciones,covid 2da dosis,2022-01-01,156,158,0,0,156,158,314
PORCO,otras vacunaciones,covid 2da dosis,2022-01-01,233,270,1,0,234,270,504
POROMA,otras vacunaciones,covid 2da dosis,2022-01-01,101,87,24,20,125,107,232
PORONGO,otras vacunaciones,covid 2da dosis,2022-01-01,677,642,0,0,677,642,1319
PORTACHUELO,otras vacunaciones,covid 2da dosis,2022-01-01,694,634,0,0,694,634,1328
PORVENIR,otras vacunaciones,covid 2da dosis,2022-01-01,178,152,6,3,184,155,339
POTOSI,otras vacunaciones,covid 2da dosis,2022-01-01,4134,4294,70,59,4204,4353,8557
PRESTO,otras vacunaciones,covid 2da dosis,2022-01-01,53,58,42,35,95,93,188
PUCARA,otras vacunaciones,covid 2da dosis,2022-01-01,46,50,0,0,46,50,96
PUCARANI,otras vacunaciones,covid 2da dosis,2022-01-01,338,278,20,22,358,300,658
PUERTO ACOSTA,otras vacunaciones,covid 2da dosis,2022-01-01,79,73,36,37,115,110,225
PUERTO CARABUCO,otras vacunaciones,covid 2da dosis,2022-01-01,136,129,122,104,258,233,491
PUERTO GONZALO MORENO,otras vacunaciones,covid 2da dosis,2022-01-01,31,27,105,133,136,160,296
PUERTO PEREZ,otras vacunaciones,covid 2da dosis,2022-01-01,36,48,62,43,98,91,189
PUERTO RICO,otras vacunaciones,covid 2da dosis,2022-01-01,0,0,134,124,134,124,258
PUERTO SILES,otras vacunaciones,covid 2da dosis,2022-01-01,19,14,0,0,19,14,33
PUERTO SUAREZ,otras vacunaciones,covid 2da dosis,2022-01-01,402,386,167,172,569,558,1127
PUERTO VILLARROEL,otras vacunaciones,covid 2da dosis,2022-01-01,296,263,1,2,297,265,562
PUNA,otras vacunaciones,covid 2da dosis,2022-01-01,117,136,29,43,146,179,325
PUNATA,otras vacunaciones,covid 2da dosis,2022-01-01,759,822,7,10,766,832,1598
QUIABAYA,otras vacunaciones,covid 2da dosis,2022-01-01,13,18,15,12,28,30,58
QUILLACOLLO,otras vacunaciones,covid 2da dosis,2022-01-01,5073,5212,311,321,5384,5533,10917
QUIME,otras vacunaciones,covid 2da dosis,2022-01-01,128,140,14,19,142,159,301
QUIRUSILLAS,otras vacunaciones,covid 2da dosis,2022-01-01,77,79,0,0,77,79,156
RAQAYPAMPA(ETA),otras vacunaciones,covid 2da dosis,2022-01-01,79,96,7,6,86,102,188
RAVELO,otras vacunaciones,covid 2da dosis,2022-01-01,98,95,39,40,137,135,272
REYES,otras vacunaciones,covid 2da dosis,2022-01-01,104,71,0,0,104,71,175
RIBERALTA,otras vacunaciones,covid 2da dosis,2022-01-01,1481,1691,85,94,1566,1785,3351
ROBORE,otras vacunaciones,covid 2da dosis,2022-01-01,565,543,21,14,586,557,1143
RURRENABAQUE,otras vacunaciones,covid 2da dosis,2022-01-01,321,449,7,5,328,454,782
SABAYA,otras vacunaciones,covid 2da dosis,2022-01-01,125,112,1,1,126,113,239
SACABA,otras vacunaciones,covid 2da dosis,2022-01-01,4671,4702,489,484,5160,5186,10346
SACABAMBA,otras vacunaciones,covid 2da dosis,2022-01-01,38,70,28,26,66,96,162
SACACA,otras vacunaciones,covid 2da dosis,2022-01-01,107,90,14,15,121,105,226
SAIPINA,otras vacunaciones,covid 2da dosis,2022-01-01,309,297,0,0,309,297,606
SALINAS DE GARCI MENDOZA,otras vacunaciones,covid 2da dosis,2022-01-01,78,65,70,71,148,136,284
SAMAIPATA,otras vacunaciones,covid 2da dosis,2022-01-01,119,98,138,157,257,255,512
SAN AGUSTIN,otras vacunaciones,covid 2da dosis,2022-01-01,17,23,0,0,17,23,40
SAN ANDRES,otras vacunaciones,covid 2da dosis,2022-01-01,100,91,51,52,151,143,294
SAN ANDRES DE MACHACA,otras vacunaciones,covid 2da dosis,2022-01-01,49,38,95,92,144,130,274
SAN ANTONIO DE ESMORUCO,otras vacunaciones,covid 2da dosis,2022-01-01,18,18,1,1,19,19,38
SAN ANTONIO DE LOMERIO,otras vacunaciones,covid 2da dosis,2022-01-01,318,288,61,55,379,343,722
SAN BENITO,otras vacunaciones,covid 2da dosis,2022-01-01,199,174,0,0,199,174,373
SAN BORJA,otras vacunaciones,covid 2da dosis,2022-01-01,281,270,191,172,472,442,914
SAN BUENA VENTURA,otras vacunaciones,covid 2da dosis,2022-01-01,86,93,31,35,117,128,245
SAN CARLOS,otras vacunaciones,covid 2da dosis,2022-01-01,577,585,2,0,579,585,1164
SAN IGNACIO,otras vacunaciones,covid 2da dosis,2022-01-01,405,377,67,53,472,430,902
SAN IGNACIO DE VELASCO,otras vacunaciones,covid 2da dosis,2022-01-01,1298,1362,40,46,1338,1408,2746
SAN JAVIER(BNI),otras vacunaciones,covid 2da dosis,2022-01-01,30,37,20,11,50,48,98
SAN JAVIER(STC),otras vacunaciones,covid 2da dosis,2022-01-01,654,660,0,0,654,660,1314
SAN JOAQUIN,otras vacunaciones,covid 2da dosis,2022-01-01,110,120,0,0,110,120,230
SAN JOSE DE CHIQUITOS,otras vacunaciones,covid 2da dosis,2022-01-01,714,751,5,18,719,769,1488
SAN JUAN DE YAPACANI,otras vacunaciones,covid 2da dosis,2022-01-01,242,477,0,0,242,477,719
SAN JULIAN,otras vacunaciones,covid 2da dosis,2022-01-01,883,957,11,11,894,968,1862
SAN LORENZO(PND),otras vacunaciones,covid 2da dosis,2022-01-01,91,113,32,44,123,157,280
SAN LORENZO(TJA),otras vacunaciones,covid 2da dosis,2022-01-01,677,667,13,10,690,677,1367
SAN LUCAS,otras vacunaciones,covid 2da dosis,2022-01-01,679,660,0,0,679,660,1339
SAN MATIAS,otras vacunaciones,covid 2da dosis,2022-01-01,78,58,0,0,78,58,136
SAN MIGUEL DE VELASCO,otras vacunaciones,covid 2da dosis,2022-01-01,353,338,217,229,570,567,1137
SAN PABLO DE LIPEZ,otras vacunaciones,covid 2da dosis,2022-01-01,15,19,0,2,15,21,36
SAN PEDRO,otras vacunaciones,covid 2da dosis,2022-01-01,242,223,7,3,249,226,475
SAN PEDRO DE BUENA VISTA,otras vacunaciones,covid 2da dosis,2022-01-01,99,68,10,6,109,74,183
SAN PEDRO DE CURAHUARA,otras vacunaciones,covid 2da dosis,2022-01-01,29,27,29,25,58,52,110
SAN PEDRO DE MACHA,otras vacunaciones,covid 2da dosis,2022-01-01,48,32,47,26,95,58,153
SAN PEDRO DE QUEMES,otras vacunaciones,covid 2da dosis,2022-01-01,0,1,0,0,0,1,1
SAN PEDRO DE TIQUINA,otras vacunaciones,covid 2da dosis,2022-01-01,80,87,12,14,92,101,193
SAN PEDRO(PND),otras vacunaciones,covid 2da dosis,2022-01-01,0,0,68,53,68,53,121
SAN RAFAEL,otras vacunaciones,covid 2da dosis,2022-01-01,412,326,1,2,413,328,741
SAN RAMON BENI,otras vacunaciones,covid 2da dosis,2022-01-01,200,177,0,0,200,177,377
SAN RAMON SCZ,otras vacunaciones,covid 2da dosis,2022-01-01,313,286,0,0,313,286,599
SANTA ANA,otras vacunaciones,covid 2da dosis,2022-01-01,138,139,0,1,138,140,278
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid 2da dosis,2022-01-01,30403,30936,10552,10811,40955,41747,82702
SANTA ROSA,otras vacunaciones,covid 2da dosis,2022-01-01,239,263,14,8,253,271,524
SANTA ROSA DEL SARA,otras vacunaciones,covid 2da dosis,2022-01-01,476,527,2,0,478,527,1005
SANTIAGO DE CALLAPA,otras vacunaciones,covid 2da dosis,2022-01-01,36,34,0,0,36,34,70
SANTIAGO DE HUARI,otras vacunaciones,covid 2da dosis,2022-01-01,86,78,82,64,168,142,310
SANTIAGO DE HUATA,otras vacunaciones,covid 2da dosis,2022-01-01,89,97,28,0,117,97,214
SANTIAGO DE MACHACA,otras vacunaciones,covid 2da dosis,2022-01-01,13,16,56,53,69,69,138
SANTIVAÑES,otras vacunaciones,covid 2da dosis,2022-01-01,286,277,0,1,286,278,564
SANTUARIO DE QUILLACAS,otras vacunaciones,covid 2da dosis,2022-01-01,45,51,3,3,48,54,102
SAPAHAQUI,otras vacunaciones,covid 2da dosis,2022-01-01,76,63,21,19,97,82,179
SENA,otras vacunaciones,covid 2da dosis,2022-01-01,0,2,56,53,56,55,111
SHINAOTA,otras vacunaciones,covid 2da dosis,2022-01-01,390,366,0,0,390,366,756
SICA SICA (VILLA AROMA),otras vacunaciones,covid 2da dosis,2022-01-01,170,169,14,19,184,188,372
SICAYA,otras vacunaciones,covid 2da dosis,2022-01-01,57,47,44,34,101,81,182
SIPE SIPE,otras vacunaciones,covid 2da dosis,2022-01-01,656,656,626,680,1282,1336,2618
SOPACHUY,otras vacunaciones,covid 2da dosis,2022-01-01,46,41,7,6,53,47,100
SORACACHI,otras vacunaciones,covid 2da dosis,2022-01-01,125,117,0,0,125,117,242
SORATA,otras vacunaciones,covid 2da dosis,2022-01-01,64,62,53,52,117,114,231
SUCRE,otras vacunaciones,covid 2da dosis,2022-01-01,8051,8464,1492,1592,9543,10056,19599
TACACHI,otras vacunaciones,covid 2da dosis,2022-01-01,28,34,0,0,28,34,62
TACACOMA,otras vacunaciones,covid 2da dosis,2022-01-01,21,30,35,8,56,38,94
TACOBAMBA,otras vacunaciones,covid 2da dosis,2022-01-01,15,18,32,18,47,36,83
