,group,variable,month,17.25 COVID DOSIS UNICA DENTRO,17.25 COVID DOSIS UNICA DENTRO,17.25 COVID DOSIS UNICA FUERA,17.25 COVID DOSIS UNICA FUERA,TOTALES,TOTALES,TOTALES
LA PAZ,otras vacunaciones,covid dosis unica,2022-02-01,292,177,26,32,318,209,527
LLICA,otras vacunaciones,covid dosis unica,2022-02-01,3,6,0,0,3,6,9
PUNA,otras vacunaciones,covid dosis unica,2022-02-01,1,0,0,0,1,0,1
RIBERALTA,otras vacunaciones,covid dosis unica,2022-02-01,50,98,0,0,50,98,148
SAN BORJA,otras vacunaciones,covid dosis unica,2022-02-01,0,1,0,0,0,1,1
SAN IGNACIO,otras vacunaciones,covid dosis unica,2022-02-01,0,0,2,4,2,4,6
SANTA ANA,otras vacunaciones,covid dosis unica,2022-02-01,0,1,0,0,0,1,1
SANTIAGO DE HUARI,otras vacunaciones,covid dosis unica,2022-02-01,0,1,0,0,0,1,1
TEOPONTE,otras vacunaciones,covid dosis unica,2022-02-01,3,5,6,9,9,14,23
TRINIDAD,otras vacunaciones,covid dosis unica,2022-02-01,10,15,0,0,10,15,25
VIACHA,otras vacunaciones,covid dosis unica,2022-02-01,1,0,164,88,165,88,253
VILLA MONTES,otras vacunaciones,covid dosis unica,2022-02-01,13,10,0,0,13,10,23
BERMEJO,otras vacunaciones,covid dosis unica,2022-03-01,1,7,1,2,2,9,11
CALACOTO,otras vacunaciones,covid dosis unica,2022-03-01,0,0,1,1,1,1,2
CARAPARI,otras vacunaciones,covid dosis unica,2022-03-01,0,3,0,0,0,3,3
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,covid dosis unica,2022-03-01,0,0,1,0,1,0,1
EL ALTO,otras vacunaciones,covid dosis unica,2022-03-01,186,172,3,3,189,175,364
EUREKA (SANTOS MERCADO),otras vacunaciones,covid dosis unica,2022-03-01,0,0,12,5,12,5,17
GUAYARAMERIN,otras vacunaciones,covid dosis unica,2022-03-01,0,0,16,31,16,31,47
GUTIERREZ,otras vacunaciones,covid dosis unica,2022-03-01,0,0,7,7,7,7,14
LA PAZ,otras vacunaciones,covid dosis unica,2022-03-01,305,315,31,40,336,355,691
LLALLAGUA,otras vacunaciones,covid dosis unica,2022-03-01,0,0,9,21,9,21,30
MONTERO,otras vacunaciones,covid dosis unica,2022-03-01,0,0,1,0,1,0,1
PAZÑA,otras vacunaciones,covid dosis unica,2022-03-01,1,0,0,0,1,0,1
PUERTO RICO,otras vacunaciones,covid dosis unica,2022-03-01,3,0,3,2,6,2,8
RURRENABAQUE,otras vacunaciones,covid dosis unica,2022-03-01,0,0,5,6,5,6,11
SAN BORJA,otras vacunaciones,covid dosis unica,2022-03-01,0,1,0,0,0,1,1
SAN IGNACIO,otras vacunaciones,covid dosis unica,2022-03-01,9,8,4,7,13,15,28
SAN LORENZO(PND),otras vacunaciones,covid dosis unica,2022-03-01,0,0,12,9,12,9,21
SAN MATIAS,otras vacunaciones,covid dosis unica,2022-03-01,25,23,5,10,30,33,63
SAN PABLO DE LIPEZ,otras vacunaciones,covid dosis unica,2022-03-01,7,5,0,0,7,5,12
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid dosis unica,2022-03-01,68,47,5,7,73,54,127
SANTUARIO DE QUILLACAS,otras vacunaciones,covid dosis unica,2022-03-01,1,0,0,0,1,0,1
SENA,otras vacunaciones,covid dosis unica,2022-03-01,0,0,1,4,1,4,5
TARIJA,otras vacunaciones,covid dosis unica,2022-03-01,39,30,0,0,39,30,69
TORO TORO,otras vacunaciones,covid dosis unica,2022-03-01,0,2,0,0,0,2,2
TRINIDAD,otras vacunaciones,covid dosis unica,2022-03-01,8,6,0,0,8,6,14
TUPIZA,otras vacunaciones,covid dosis unica,2022-03-01,1,3,0,0,1,3,4
UYUNI,otras vacunaciones,covid dosis unica,2022-03-01,2,2,0,0,2,2,4
VALLEGRANDE,otras vacunaciones,covid dosis unica,2022-03-01,4,5,14,24,18,29,47
VIACHA,otras vacunaciones,covid dosis unica,2022-03-01,2,1,164,88,166,89,255
VILLAZON,otras vacunaciones,covid dosis unica,2022-03-01,0,0,1,0,1,0,1
BELLA FLOR,otras vacunaciones,covid dosis unica,2022-04-01,3,5,7,8,10,13,23
BOLPEBRA,otras vacunaciones,covid dosis unica,2022-04-01,0,0,0,1,0,1,1
CAMIRI,otras vacunaciones,covid dosis unica,2022-04-01,18,25,0,0,18,25,43
CARAPARI,otras vacunaciones,covid dosis unica,2022-04-01,1,2,0,0,1,2,3
CARIPUYO,otras vacunaciones,covid dosis unica,2022-04-01,1,1,0,0,1,1,2
CHAQUI,otras vacunaciones,covid dosis unica,2022-04-01,0,0,3,2,3,2,5
EL ALTO,otras vacunaciones,covid dosis unica,2022-04-01,124,105,62,101,186,206,392
FILADELFIA,otras vacunaciones,covid dosis unica,2022-04-01,0,0,0,1,0,1,1
GENERAL SAAVEDRA,otras vacunaciones,covid dosis unica,2022-04-01,5,7,0,0,5,7,12
GUAYARAMERIN,otras vacunaciones,covid dosis unica,2022-04-01,0,0,2,2,2,2,4
LA PAZ,otras vacunaciones,covid dosis unica,2022-04-01,76,102,8,18,84,120,204
LLALLAGUA,otras vacunaciones,covid dosis unica,2022-04-01,0,1,6,3,6,4,10
MONTERO,otras vacunaciones,covid dosis unica,2022-04-01,11,15,0,0,11,15,26
RIBERALTA,otras vacunaciones,covid dosis unica,2022-04-01,17,15,0,0,17,15,32
RURRENABAQUE,otras vacunaciones,covid dosis unica,2022-04-01,0,0,2,2,2,2,4
SAN BORJA,otras vacunaciones,covid dosis unica,2022-04-01,1,1,1,0,2,1,3
SAN BUENA VENTURA,otras vacunaciones,covid dosis unica,2022-04-01,0,0,15,3,15,3,18
SAN IGNACIO,otras vacunaciones,covid dosis unica,2022-04-01,0,0,7,8,7,8,15
SAN PEDRO DE BUENA VISTA,otras vacunaciones,covid dosis unica,2022-04-01,0,0,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid dosis unica,2022-04-01,28,63,0,0,28,63,91
SENA,otras vacunaciones,covid dosis unica,2022-04-01,0,0,3,0,3,0,3
TRINIDAD,otras vacunaciones,covid dosis unica,2022-04-01,23,44,0,0,23,44,67
TUPIZA,otras vacunaciones,covid dosis unica,2022-04-01,8,13,3,1,11,14,25
URUBICHA,otras vacunaciones,covid dosis unica,2022-04-01,0,0,2,1,2,1,3
UYUNI,otras vacunaciones,covid dosis unica,2022-04-01,36,40,0,0,36,40,76
VALLEGRANDE,otras vacunaciones,covid dosis unica,2022-04-01,0,1,0,0,0,1,1
VIACHA,otras vacunaciones,covid dosis unica,2022-04-01,2,1,164,88,166,89,255
VILLAZON,otras vacunaciones,covid dosis unica,2022-04-01,0,0,1,0,1,0,1
WARNES,otras vacunaciones,covid dosis unica,2022-04-01,43,0,0,0,43,0,43
BELLA FLOR,otras vacunaciones,covid dosis unica,2022-05-01,0,0,1,0,1,0,1
CARAPARI,otras vacunaciones,covid dosis unica,2022-05-01,3,5,0,0,3,5,8
EL ALTO,otras vacunaciones,covid dosis unica,2022-05-01,70,68,109,62,179,130,309
FERNANDEZ ALONSO,otras vacunaciones,covid dosis unica,2022-05-01,2,1,0,0,2,1,3
GUAYARAMERIN,otras vacunaciones,covid dosis unica,2022-05-01,0,1,0,0,0,1,1
LA PAZ,otras vacunaciones,covid dosis unica,2022-05-01,222,267,143,246,365,513,878
LLALLAGUA,otras vacunaciones,covid dosis unica,2022-05-01,7,17,18,15,25,32,57
MONTERO,otras vacunaciones,covid dosis unica,2022-05-01,34,46,23,21,57,67,124
PAZÑA,otras vacunaciones,covid dosis unica,2022-05-01,0,1,0,0,0,1,1
PORVENIR,otras vacunaciones,covid dosis unica,2022-05-01,1,3,0,0,1,3,4
PUERTO RICO,otras vacunaciones,covid dosis unica,2022-05-01,2,0,0,0,2,0,2
RIBERALTA,otras vacunaciones,covid dosis unica,2022-05-01,58,36,0,0,58,36,94
SAN BORJA,otras vacunaciones,covid dosis unica,2022-05-01,15,16,4,0,19,16,35
SAN IGNACIO,otras vacunaciones,covid dosis unica,2022-05-01,2,0,4,7,6,7,13
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid dosis unica,2022-05-01,113,109,11,8,124,117,241
SANTA ROSA DEL SARA,otras vacunaciones,covid dosis unica,2022-05-01,20,17,5,11,25,28,53
TARIJA,otras vacunaciones,covid dosis unica,2022-05-01,3,5,0,0,3,5,8
TORO TORO,otras vacunaciones,covid dosis unica,2022-05-01,0,0,12,1,12,1,13
TRINIDAD,otras vacunaciones,covid dosis unica,2022-05-01,22,18,2,3,24,21,45
TUPIZA,otras vacunaciones,covid dosis unica,2022-05-01,0,0,20,14,20,14,34
VALLEGRANDE,otras vacunaciones,covid dosis unica,2022-05-01,2,1,0,0,2,1,3
VIACHA,otras vacunaciones,covid dosis unica,2022-05-01,2,1,164,88,166,89,255
VILLA MONTES,otras vacunaciones,covid dosis unica,2022-05-01,24,9,0,0,24,9,33
VILLAZON,otras vacunaciones,covid dosis unica,2022-05-01,0,0,2,0,2,0,2
WARNES,otras vacunaciones,covid dosis unica,2022-05-01,15,20,4,0,19,20,39
COTAGAITA,otras vacunaciones,covid dosis unica,2022-06-01,0,0,0,1,0,1,1
EL ALTO,otras vacunaciones,covid dosis unica,2022-06-01,74,110,143,103,217,213,430
EUREKA (SANTOS MERCADO),otras vacunaciones,covid dosis unica,2022-06-01,0,0,0,2,0,2,2
FERNANDEZ ALONSO,otras vacunaciones,covid dosis unica,2022-06-01,4,2,33,1,37,3,40
IXIAMAS,otras vacunaciones,covid dosis unica,2022-06-01,0,0,2,3,2,3,5
LA PAZ,otras vacunaciones,covid dosis unica,2022-06-01,132,165,0,0,132,165,297
MONTERO,otras vacunaciones,covid dosis unica,2022-06-01,42,51,6,0,48,51,99
OKINAWA,otras vacunaciones,covid dosis unica,2022-06-01,135,49,0,0,135,49,184
PUERTO SUAREZ,otras vacunaciones,covid dosis unica,2022-06-01,1,2,0,0,1,2,3
ROBORE,otras vacunaciones,covid dosis unica,2022-06-01,7,1,9,6,16,7,23
RURRENABAQUE,otras vacunaciones,covid dosis unica,2022-06-01,0,0,1,0,1,0,1
SAN BORJA,otras vacunaciones,covid dosis unica,2022-06-01,10,9,2,2,12,11,23
SAN IGNACIO,otras vacunaciones,covid dosis unica,2022-06-01,0,0,5,4,5,4,9
SAN JULIAN,otras vacunaciones,covid dosis unica,2022-06-01,4,2,0,0,4,2,6
SAN LORENZO(PND),otras vacunaciones,covid dosis unica,2022-06-01,0,0,1,0,1,0,1
SANTA ROSA DEL SARA,otras vacunaciones,covid dosis unica,2022-06-01,13,11,0,0,13,11,24
TARIJA,otras vacunaciones,covid dosis unica,2022-06-01,30,37,0,0,30,37,67
TRINIDAD,otras vacunaciones,covid dosis unica,2022-06-01,21,19,0,0,21,19,40
TUPIZA,otras vacunaciones,covid dosis unica,2022-06-01,44,39,4,13,48,52,100
VIACHA,otras vacunaciones,covid dosis unica,2022-06-01,61,56,164,88,225,144,369
WARNES,otras vacunaciones,covid dosis unica,2022-06-01,44,51,8,14,52,65,117
ARAMPAMPA,otras vacunaciones,covid dosis unica,2022-07-01,0,0,2,1,2,1,3
ASCENCION DE GUARAYOS,otras vacunaciones,covid dosis unica,2022-07-01,42,35,0,0,42,35,77
CAMIRI,otras vacunaciones,covid dosis unica,2022-07-01,3,3,0,0,3,3,6
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,covid dosis unica,2022-07-01,2,3,0,0,2,3,5
COMARAPA,otras vacunaciones,covid dosis unica,2022-07-01,3,7,0,0,3,7,10
EL ALTO,otras vacunaciones,covid dosis unica,2022-07-01,87,121,1,1,88,122,210
FERNANDEZ ALONSO,otras vacunaciones,covid dosis unica,2022-07-01,0,0,23,12,23,12,35
GUTIERREZ,otras vacunaciones,covid dosis unica,2022-07-01,0,18,1,2,1,20,21
LA PAZ,otras vacunaciones,covid dosis unica,2022-07-01,318,407,4,1,322,408,730
MINEROS,otras vacunaciones,covid dosis unica,2022-07-01,0,3,0,0,0,3,3
MONTERO,otras vacunaciones,covid dosis unica,2022-07-01,38,45,7,3,45,48,93
POSTRER VALLE,otras vacunaciones,covid dosis unica,2022-07-01,10,19,0,0,10,19,29
POTOSI,otras vacunaciones,covid dosis unica,2022-07-01,19,22,2,5,21,27,48
PUERTO SUAREZ,otras vacunaciones,covid dosis unica,2022-07-01,1,6,0,0,1,6,7
RURRENABAQUE,otras vacunaciones,covid dosis unica,2022-07-01,17,21,5,0,22,21,43
SAN BORJA,otras vacunaciones,covid dosis unica,2022-07-01,5,7,1,2,6,9,15
SAN IGNACIO,otras vacunaciones,covid dosis unica,2022-07-01,4,6,4,14,8,20,28
SAN JAVIER(BNI),otras vacunaciones,covid dosis unica,2022-07-01,1,4,0,0,1,4,5
SAN JUAN DE YAPACANI,otras vacunaciones,covid dosis unica,2022-07-01,0,2,0,0,0,2,2
SAN JULIAN,otras vacunaciones,covid dosis unica,2022-07-01,7,9,0,0,7,9,16
SAN PABLO DE LIPEZ,otras vacunaciones,covid dosis unica,2022-07-01,1,0,1,0,2,0,2
SAN PEDRO,otras vacunaciones,covid dosis unica,2022-07-01,2,5,5,4,7,9,16
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid dosis unica,2022-07-01,161,163,0,0,161,163,324
SANTA ROSA DEL SARA,otras vacunaciones,covid dosis unica,2022-07-01,9,9,0,0,9,9,18
TRINIDAD,otras vacunaciones,covid dosis unica,2022-07-01,94,124,28,17,122,141,263
TUPIZA,otras vacunaciones,covid dosis unica,2022-07-01,22,36,16,11,38,47,85
UNCIA,otras vacunaciones,covid dosis unica,2022-07-01,17,35,0,0,17,35,52
UYUNI,otras vacunaciones,covid dosis unica,2022-07-01,56,46,37,30,93,76,169
VIACHA,otras vacunaciones,covid dosis unica,2022-07-01,2,1,164,88,166,89,255
WARNES,otras vacunaciones,covid dosis unica,2022-07-01,83,127,0,0,83,127,210
ASCENCION DE GUARAYOS,otras vacunaciones,covid dosis unica,2022-08-01,1,3,0,0,1,3,4
CARAPARI,otras vacunaciones,covid dosis unica,2022-08-01,15,15,0,0,15,15,30
EL ALTO,otras vacunaciones,covid dosis unica,2022-08-01,36,83,124,99,160,182,342
GENERAL SAAVEDRA,otras vacunaciones,covid dosis unica,2022-08-01,2,7,0,0,2,7,9
GUTIERREZ,otras vacunaciones,covid dosis unica,2022-08-01,18,28,19,32,37,60,97
LA PAZ,otras vacunaciones,covid dosis unica,2022-08-01,4159,650,0,0,4159,650,4809
MACHACAMARCA,otras vacunaciones,covid dosis unica,2022-08-01,0,0,1,0,1,0,1
MONTERO,otras vacunaciones,covid dosis unica,2022-08-01,13,12,0,0,13,12,25
PUERTO GONZALO MORENO,otras vacunaciones,covid dosis unica,2022-08-01,0,1,0,0,0,1,1
SAN BORJA,otras vacunaciones,covid dosis unica,2022-08-01,1,6,2,1,3,7,10
SAN IGNACIO,otras vacunaciones,covid dosis unica,2022-08-01,0,0,0,2,0,2,2
SAN JUAN DE YAPACANI,otras vacunaciones,covid dosis unica,2022-08-01,0,0,0,9,0,9,9
SAN JULIAN,otras vacunaciones,covid dosis unica,2022-08-01,2,4,0,0,2,4,6
SAN PABLO DE LIPEZ,otras vacunaciones,covid dosis unica,2022-08-01,5,1,0,0,5,1,6
SAN PEDRO,otras vacunaciones,covid dosis unica,2022-08-01,1,0,11,12,12,12,24
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid dosis unica,2022-08-01,4,5,0,0,4,5,9
SANTA ROSA DEL SARA,otras vacunaciones,covid dosis unica,2022-08-01,2,3,0,0,2,3,5
TARIJA,otras vacunaciones,covid dosis unica,2022-08-01,3,0,0,0,3,0,3
TORO TORO,otras vacunaciones,covid dosis unica,2022-08-01,2,0,0,1,2,1,3
TRINIDAD,otras vacunaciones,covid dosis unica,2022-08-01,138,16,2,0,140,16,156
TUPIZA,otras vacunaciones,covid dosis unica,2022-08-01,3,3,8,16,11,19,30
UNCIA,otras vacunaciones,covid dosis unica,2022-08-01,2,2,6,0,8,2,10
UYUNI,otras vacunaciones,covid dosis unica,2022-08-01,5,7,72,76,77,83,160
VIACHA,otras vacunaciones,covid dosis unica,2022-08-01,2,1,164,88,166,89,255
VILLA MONTES,otras vacunaciones,covid dosis unica,2022-08-01,8,3,0,0,8,3,11
EL ALTO,otras vacunaciones,covid dosis unica,2022-09-01,36,46,243,248,279,294,573
ESCOMA,otras vacunaciones,covid dosis unica,2022-09-01,0,0,28,19,28,19,47
GUTIERREZ,otras vacunaciones,covid dosis unica,2022-09-01,0,0,4,6,4,6,10
HUAYLLAMARCA,otras vacunaciones,covid dosis unica,2022-09-01,0,1,0,0,0,1,1
LA PAZ,otras vacunaciones,covid dosis unica,2022-09-01,110,150,0,0,110,150,260
LLALLAGUA,otras vacunaciones,covid dosis unica,2022-09-01,30,55,0,0,30,55,85
MONTERO,otras vacunaciones,covid dosis unica,2022-09-01,0,1,0,1,0,2,2
PALCA,otras vacunaciones,covid dosis unica,2022-09-01,0,1,1,1,1,2,3
POTOSI,otras vacunaciones,covid dosis unica,2022-09-01,3,9,1,3,4,12,16
RURRENABAQUE,otras vacunaciones,covid dosis unica,2022-09-01,0,0,1,1,1,1,2
SAN BORJA,otras vacunaciones,covid dosis unica,2022-09-01,0,1,0,0,0,1,1
SAN JULIAN,otras vacunaciones,covid dosis unica,2022-09-01,4,10,0,0,4,10,14
SANTA ANA,otras vacunaciones,covid dosis unica,2022-09-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid dosis unica,2022-09-01,25,30,10,13,35,43,78
SANTA ROSA DEL SARA,otras vacunaciones,covid dosis unica,2022-09-01,1,3,0,0,1,3,4
TORO TORO,otras vacunaciones,covid dosis unica,2022-09-01,1,0,2,2,3,2,5
TRINIDAD,otras vacunaciones,covid dosis unica,2022-09-01,25,12,23,38,48,50,98
TUPIZA,otras vacunaciones,covid dosis unica,2022-09-01,1,1,1,1,2,2,4
UNCIA,otras vacunaciones,covid dosis unica,2022-09-01,2,2,0,0,2,2,4
UYUNI,otras vacunaciones,covid dosis unica,2022-09-01,0,1,0,0,0,1,1
VIACHA,otras vacunaciones,covid dosis unica,2022-09-01,2,1,164,88,166,89,255
ASCENCION DE GUARAYOS,otras vacunaciones,covid dosis unica,2022-10-01,1,0,0,2,1,2,3
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,covid dosis unica,2022-10-01,0,0,0,1,0,1,1
EL ALTO,otras vacunaciones,covid dosis unica,2022-10-01,17,93,1,1,18,94,112
FERNANDEZ ALONSO,otras vacunaciones,covid dosis unica,2022-10-01,0,0,5,2,5,2,7
GUAYARAMERIN,otras vacunaciones,covid dosis unica,2022-10-01,3,3,0,0,3,3,6
IXIAMAS,otras vacunaciones,covid dosis unica,2022-10-01,0,0,2,3,2,3,5
LA PAZ,otras vacunaciones,covid dosis unica,2022-10-01,32,46,0,1,32,47,79
MONTERO,otras vacunaciones,covid dosis unica,2022-10-01,3,9,0,0,3,9,12
PORVENIR,otras vacunaciones,covid dosis unica,2022-10-01,0,0,1,2,1,2,3
REYES,otras vacunaciones,covid dosis unica,2022-10-01,1,1,0,0,1,1,2
SAN JULIAN,otras vacunaciones,covid dosis unica,2022-10-01,3,2,0,0,3,2,5
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid dosis unica,2022-10-01,1,2,0,0,1,2,3
TORO TORO,otras vacunaciones,covid dosis unica,2022-10-01,1,0,0,0,1,0,1
TRINIDAD,otras vacunaciones,covid dosis unica,2022-10-01,15,27,29,20,44,47,91
TUPIZA,otras vacunaciones,covid dosis unica,2022-10-01,0,1,0,0,0,1,1
UNCIA,otras vacunaciones,covid dosis unica,2022-10-01,4,2,1,9,5,11,16
VIACHA,otras vacunaciones,covid dosis unica,2022-10-01,2,4,851,567,853,571,1424
ASCENCION DE GUARAYOS,otras vacunaciones,covid dosis unica,2022-11-01,1,0,0,0,1,0,1
CHIPAYA,otras vacunaciones,covid dosis unica,2022-11-01,1,0,0,0,1,0,1
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,covid dosis unica,2022-11-01,2,1,0,0,2,1,3
EL ALTO,otras vacunaciones,covid dosis unica,2022-11-01,21,20,2,2,23,22,45
GUAYARAMERIN,otras vacunaciones,covid dosis unica,2022-11-01,1,4,0,0,1,4,5
LA PAZ,otras vacunaciones,covid dosis unica,2022-11-01,9,7,0,0,9,7,16
PALCA,otras vacunaciones,covid dosis unica,2022-11-01,1,0,0,0,1,0,1
SAN BORJA,otras vacunaciones,covid dosis unica,2022-11-01,0,0,1,0,1,0,1
SAN JULIAN,otras vacunaciones,covid dosis unica,2022-11-01,0,5,0,0,0,5,5
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid dosis unica,2022-11-01,39,14,0,0,39,14,53
TRINIDAD,otras vacunaciones,covid dosis unica,2022-11-01,4,6,1,0,5,6,11
TUPIZA,otras vacunaciones,covid dosis unica,2022-11-01,16,13,0,0,16,13,29
UNCIA,otras vacunaciones,covid dosis unica,2022-11-01,5,4,12,9,17,13,30
VIACHA,otras vacunaciones,covid dosis unica,2022-11-01,2,4,852,567,854,571,1425
ASCENCION DE GUARAYOS,otras vacunaciones,covid dosis unica,2022-12-01,13,4,0,0,13,4,17
ATOCHA,otras vacunaciones,covid dosis unica,2022-12-01,0,0,0,1,0,1,1
BELLA FLOR,otras vacunaciones,covid dosis unica,2022-12-01,0,1,5,7,5,8,13
BERMEJO,otras vacunaciones,covid dosis unica,2022-12-01,1,1,0,0,1,1,2
CHARAGUA,otras vacunaciones,covid dosis unica,2022-12-01,1,0,0,0,1,0,1
CHIPAYA,otras vacunaciones,covid dosis unica,2022-12-01,0,2,0,0,0,2,2
COMARAPA,otras vacunaciones,covid dosis unica,2022-12-01,0,1,0,0,0,1,1
CUATRO CAÑADAS,otras vacunaciones,covid dosis unica,2022-12-01,1,1,0,0,1,1,2
EL ALTO,otras vacunaciones,covid dosis unica,2022-12-01,27,27,137,68,164,95,259
GUAYARAMERIN,otras vacunaciones,covid dosis unica,2022-12-01,0,1,0,0,0,1,1
LA ASUNTA,otras vacunaciones,covid dosis unica,2022-12-01,0,0,0,1,0,1,1
LA PAZ,otras vacunaciones,covid dosis unica,2022-12-01,40,45,2,1,42,46,88
MAPIRI,otras vacunaciones,covid dosis unica,2022-12-01,1,0,0,0,1,0,1
MECAPACA,otras vacunaciones,covid dosis unica,2022-12-01,1,1,0,0,1,1,2
MONTERO,otras vacunaciones,covid dosis unica,2022-12-01,23,42,0,0,23,42,65
RIBERALTA,otras vacunaciones,covid dosis unica,2022-12-01,5,2,0,0,5,2,7
ROBORE,otras vacunaciones,covid dosis unica,2022-12-01,1,2,0,0,1,2,3
RURRENABAQUE,otras vacunaciones,covid dosis unica,2022-12-01,0,2,0,0,0,2,2
SAN BORJA,otras vacunaciones,covid dosis unica,2022-12-01,0,1,0,0,0,1,1
SAN JAVIER(STC),otras vacunaciones,covid dosis unica,2022-12-01,7,5,0,0,7,5,12
SAN JULIAN,otras vacunaciones,covid dosis unica,2022-12-01,3,7,0,0,3,7,10
SAN PEDRO,otras vacunaciones,covid dosis unica,2022-12-01,4,6,0,0,4,6,10
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid dosis unica,2022-12-01,4,11,0,0,4,11,15
TACOBAMBA,otras vacunaciones,covid dosis unica,2022-12-01,1,0,0,0,1,0,1
TARIJA,otras vacunaciones,covid dosis unica,2022-12-01,1,0,0,0,1,0,1
TINGUIPAYA,otras vacunaciones,covid dosis unica,2022-12-01,0,1,0,0,0,1,1
TORO TORO,otras vacunaciones,covid dosis unica,2022-12-01,0,2,0,0,0,2,2
TRINIDAD,otras vacunaciones,covid dosis unica,2022-12-01,40,39,8,10,48,49,97
TUPIZA,otras vacunaciones,covid dosis unica,2022-12-01,29,22,1,2,30,24,54
UNCIA,otras vacunaciones,covid dosis unica,2022-12-01,9,11,3,4,12,15,27
UYUNI,otras vacunaciones,covid dosis unica,2022-12-01,7,7,2,3,9,10,19
VIACHA,otras vacunaciones,covid dosis unica,2022-12-01,0,3,688,779,688,782,1470
VILLAZON,otras vacunaciones,covid dosis unica,2022-12-01,6,7,0,0,6,7,13
YACUIBA,otras vacunaciones,covid dosis unica,2022-12-01,0,2,0,0,0,2,2
