,group,variable,month,17.18 HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE ENF. RENALES DENTRO,17.18 HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE ENF. RENALES DENTRO,17.18 HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE ENF. RENALES FUERA,17.18 HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE ENF. RENALES FUERA,TOTALES,TOTALES,TOTALES
MONTERO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-01-01,1,4,0,0,1,4,5
ORURO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-01-01,4,5,2,0,6,5,11
POTOSI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-01-01,0,7,0,0,0,7,7
PUERTO VILLARROEL,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-01-01,3,0,3,0,6,0,6
QUILLACOLLO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-01-01,8,9,0,0,8,9,17
SACABA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-01-01,1,1,0,0,1,1,2
SACACA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-01-01,4,4,0,0,4,4,8
SAN ANTONIO DE LOMERIO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-01-01,2,1,0,0,2,1,3
SAN IGNACIO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-01-01,0,1,0,0,0,1,1
SAN LORENZO(PND),otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-01-01,2,0,0,0,2,0,2
SAN PEDRO DE BUENA VISTA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-01-01,1,1,0,0,1,1,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-01-01,36,24,0,0,36,24,60
SUCRE,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-01-01,3,2,0,0,3,2,5
TAPACARI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-01-01,2,1,0,0,2,1,3
TARATA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-01-01,0,1,0,0,0,1,1
TRINIDAD,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-01-01,2,0,0,0,2,0,2
UNCIA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-01-01,1,0,0,0,1,0,1
URUBICHA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-01-01,3,3,0,0,3,3,6
UYUNI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-01-01,0,1,0,0,0,1,1
VACAS,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-01-01,2,2,2,0,4,2,6
VILLA MONTES,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-01-01,3,0,0,0,3,0,3
VILLA TUNARI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-01-01,2,1,0,0,2,1,3
VINTO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-01-01,1,2,0,0,1,2,3
YAPACANI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-01-01,2,4,0,0,2,4,6
ACHACACHI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,4,1,15,0,19,1,20
ALTO BENI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,0,5,4,0,4,5,9
BUENA VISTA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,4,3,0,0,4,3,7
CABEZAS,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,3,1,1,3,4,4,8
CAJUATA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,4,2,2,0,6,2,8
CAMIRI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,2,2,0,0,2,2,4
CARACOLLO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,0,0,43,5,43,5,48
CHALLAPATA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,0,0,2,0,2,0,2
CHARAGUA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,4,3,0,0,4,3,7
CHUA COCANI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,3,6,0,0,3,6,9
CKOCHAS,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,4,9,0,0,4,9,13
COCHABAMBA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,2,5,0,0,2,5,7
CONCEPCION,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,3,2,0,0,3,2,5
COPACABANA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,3,2,0,0,3,2,5
CORIPATA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,0,0,3,0,3,0,3
CORQUE,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,45,0,61,0,106,0,106
COTAGAITA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,0,2,1,0,1,2,3
CUATRO CAÑADAS,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,1,7,2,1,3,8,11
EL ALTO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,20,79,22,0,42,79,121
EL PUENTE(STC),otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,4,1,0,0,4,1,5
EL VILLAR,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,1,4,0,0,1,4,5
FERNANDEZ ALONSO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,2,1,0,0,2,1,3
GAIOC JATUN AYLLU YURA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,2,3,0,0,2,3,5
GUANAY,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,0,0,2,0,2,0,2
GUAYARAMERIN,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,0,1,111,11,111,12,123
HUACARETA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,0,2,0,0,0,2,2
HUANUNI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,1,0,0,0,1,0,1
LA PAZ,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,10,10,2,0,12,10,22
LLALLAGUA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,1,0,20,21,21,21,42
LORETO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,10,30,0,0,10,30,40
MAGDALENA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,0,0,10,4,10,4,14
MECAPACA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,2,3,0,0,2,3,5
MOCOMOCO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,1,3,0,0,1,3,4
MONTERO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,0,64,3,4,3,68,71
MOROCHATA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,5,4,0,0,5,4,9
ORURO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,2,1,0,0,2,1,3
PALOS BLANCOS,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,2,1,0,0,2,1,3
POCONA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,3,3,4,5,7,8,15
POTOSI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,7,12,0,0,7,12,19
PUCARANI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,1,1,0,0,1,1,2
RIBERALTA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,6,9,0,0,6,9,15
SAN ANDRES DE MACHACA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,5,1,1,0,6,1,7
SAN ANTONIO DE ESMORUCO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,0,0,13,15,13,15,28
SAN BORJA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,18,8,6,13,24,21,45
SAN BUENA VENTURA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,1,1,0,0,1,1,2
SAN IGNACIO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,13,12,0,0,13,12,25
SAN JAVIER(STC),otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,11,14,0,0,11,14,25
SAN LORENZO(PND),otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,0,0,8,4,8,4,12
SAN LORENZO(TJA),otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,3,1,0,0,3,1,4
SAN MATIAS,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,9,5,0,0,9,5,14
SAN PEDRO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,3,2,0,0,3,2,5
SAN PEDRO DE BUENA VISTA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,5,6,3,0,8,6,14
SAN PEDRO DE QUEMES,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,1,1,1,0,2,1,3
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,17,32,58,55,75,87,162
SANTA ROSA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,1,1,0,0,1,1,2
SANTA ROSA DEL SARA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,4,11,12,15,16,26,42
SICA SICA (VILLA AROMA),otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,3,1,0,0,3,1,4
SORACACHI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,1,1,0,0,1,1,2
SUCRE,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,0,5,0,0,0,5,5
TACOPAYA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,1,2,0,0,1,2,3
TAPACARI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,2,6,0,0,2,6,8
TARIJA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,10,3,0,0,10,3,13
TOMAVE,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,1,2,0,0,1,2,3
TORO TORO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,1,2,0,0,1,2,3
TRINIDAD,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,24,34,234,79,258,113,371
TUPIZA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,5,3,0,0,5,3,8
UNCIA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,1,9,5,0,6,9,15
VACAS,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,0,1,1,0,1,1,2
VALLEGRANDE,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,1,1,0,0,1,1,2
VIACHA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,1,2,0,0,1,2,3
VILLA RIVERO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,1,0,0,0,1,0,1
VINTO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,5,7,0,0,5,7,12
YAPACANI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-02-01,0,0,1,2,1,2,3
POTOSI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-03-01,0,5,0,0,0,5,5
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-03-01,0,1,0,0,0,1,1
TAHUA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-03-01,2,0,0,0,2,0,2
ANZALDO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-04-01,7,4,2,0,9,4,13
GUAYARAMERIN,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-04-01,0,25,0,0,0,25,25
HUACARETA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-04-01,0,1,0,0,0,1,1
POTOSI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-04-01,1,0,0,4,1,4,5
QUILLACOLLO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-04-01,3,4,0,0,3,4,7
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-04-01,0,7,0,9,0,16,16
TRINIDAD,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-04-01,2,0,0,0,2,0,2
CAMIRI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-05-01,0,0,0,1,0,1,1
CHACARILLA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-05-01,1,1,0,0,1,1,2
COCHABAMBA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-05-01,0,1,0,0,0,1,1
MONTERO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-05-01,0,0,11,2,11,2,13
POTOSI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-05-01,0,3,0,124,0,127,127
RIBERALTA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-05-01,0,1,0,0,0,1,1
SAN IGNACIO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-05-01,0,0,0,4,0,4,4
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-05-01,0,2,0,32,0,34,34
SUCRE,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-05-01,1,0,0,0,1,0,1
TRINIDAD,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-05-01,0,1,0,0,0,1,1
FILADELFIA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-06-01,0,0,0,1,0,1,1
LA PAZ,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-06-01,0,0,1,0,1,0,1
SAN JOAQUIN,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-06-01,1,1,0,0,1,1,2
SAN LORENZO(PND),otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-06-01,0,0,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-06-01,0,5,0,1,0,6,6
SUCRE,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-06-01,1,1,0,1,1,2,3
CARAPARI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-07-01,0,4,0,0,0,4,4
COLCAPIRHUA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-07-01,1,0,0,0,1,0,1
GUAYARAMERIN,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-07-01,1,0,0,0,1,0,1
LA GUARDIA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-07-01,2,6,0,0,2,6,8
LA PAZ,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-07-01,0,10,0,0,0,10,10
POTOSI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-07-01,3,4,0,0,3,4,7
SAN JOAQUIN,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-07-01,0,0,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-07-01,0,1,0,0,0,1,1
SUCRE,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-07-01,1,0,5,0,6,0,6
TARIJA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-07-01,1,0,0,0,1,0,1
ACHACACHI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-08-01,0,10,0,0,0,10,10
BERMEJO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-08-01,2,5,0,0,2,5,7
CARACOLLO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-08-01,0,0,2,0,2,0,2
CARANAVI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-08-01,0,1,0,0,0,1,1
COCHABAMBA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-08-01,1,0,0,0,1,0,1
EL ALTO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-08-01,1,0,0,0,1,0,1
EL CHORO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-08-01,1,0,0,0,1,0,1
GUAYARAMERIN,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-08-01,1,3,0,0,1,3,4
LA GUARDIA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-08-01,2,8,0,0,2,8,10
LA PAZ,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-08-01,14,7,0,0,14,7,21
LAJA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-08-01,0,3,0,0,0,3,3
MONTERO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-08-01,1,0,0,0,1,0,1
PAPEL PAMPA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-08-01,0,0,1,0,1,0,1
POTOSI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-08-01,4,4,0,0,4,4,8
PUERTO SILES,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-08-01,0,0,0,5,0,5,5
QUILLACOLLO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-08-01,0,6,8,0,8,6,14
SACABA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-08-01,0,0,9,0,9,0,9
SAN BORJA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-08-01,0,1,0,0,0,1,1
SAN IGNACIO DE VELASCO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-08-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-08-01,6,8,0,0,6,8,14
SUCRE,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-08-01,1,2,0,0,1,2,3
TARIJA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-08-01,4,5,3,0,7,5,12
TRINIDAD,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-08-01,0,1,0,2,0,3,3
VILLA MONTES,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-08-01,0,0,2,0,2,0,2
YACUIBA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-08-01,0,1,0,0,0,1,1
ANZALDO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-09-01,0,0,1,0,1,0,1
CARANAVI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-09-01,1,0,0,0,1,0,1
COCHABAMBA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-09-01,4,9,12,0,16,9,25
COMBAYA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-09-01,0,1,0,0,0,1,1
EL ALTO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-09-01,29,42,0,0,29,42,71
GUAYARAMERIN,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-09-01,0,0,0,1,0,1,1
LA GUARDIA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-09-01,0,4,0,0,0,4,4
LA PAZ,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-09-01,17,14,5,0,22,14,36
ORURO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-09-01,25,24,0,0,25,24,49
POTOSI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-09-01,3,3,0,0,3,3,6
PUERTO VILLARROEL,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-09-01,3,3,0,0,3,3,6
QUILLACOLLO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-09-01,5,3,0,0,5,3,8
SAN ANTONIO DE LOMERIO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-09-01,1,1,0,0,1,1,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-09-01,7,3,0,0,7,3,10
SENA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-09-01,0,0,1,0,1,0,1
SUCRE,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-09-01,2,9,0,0,2,9,11
TARIJA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-09-01,0,0,1,0,1,0,1
TRINIDAD,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-09-01,4,3,0,0,4,3,7
BERMEJO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-10-01,0,4,3,2,3,6,9
CARANAVI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-10-01,1,1,1,0,2,1,3
CKOCHAS,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-10-01,0,0,4,0,4,0,4
COCHABAMBA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-10-01,5,1,0,0,5,1,6
