,group,variable,month,17.20 HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE ENF RENALES DENTRO,17.20 HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE ENF RENALES DENTRO,17.20 HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE ENF RENALES FUERA,17.20 HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE ENF RENALES FUERA,TOTALES,TOTALES,TOTALES
COCHABAMBA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-02-01,3,2,0,0,3,2,5
COTOCA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-02-01,2,2,0,0,2,2,4
EL ALTO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-02-01,4,4,0,0,4,4,8
LA PAZ,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-02-01,1,0,0,0,1,0,1
MONTERO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-02-01,0,0,3,4,3,4,7
ORURO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-02-01,0,4,0,0,0,4,4
QUILLACOLLO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-02-01,1,1,0,0,1,1,2
SACABA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-02-01,0,0,10,0,10,0,10
SAN ANTONIO DE LOMERIO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-02-01,1,0,0,0,1,0,1
SAN MATIAS,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-02-01,2,0,0,0,2,0,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-02-01,3,4,0,0,3,4,7
SUCRE,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-02-01,7,15,0,0,7,15,22
TAPACARI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-02-01,1,0,0,0,1,0,1
TRINIDAD,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-02-01,1,0,0,0,1,0,1
VILLA TUNARI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-02-01,1,0,0,0,1,0,1
VILLAZON,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-02-01,0,1,0,0,0,1,1
CARAPARI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-03-01,10,25,0,0,10,25,35
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-03-01,1,0,0,0,1,0,1
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-03-01,0,0,0,1,0,1,1
SACABA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-04-01,0,2,0,0,0,2,2
SAN IGNACIO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-04-01,0,0,1,1,1,1,2
MONTERO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-05-01,0,0,6,0,6,0,6
SAN JOAQUIN,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-05-01,0,1,0,0,0,1,1
SAN BORJA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-06-01,0,0,0,5,0,5,5
SUCRE,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-06-01,1,5,0,0,1,5,6
ARANI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-07-01,1,0,0,0,1,0,1
COCHABAMBA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-07-01,1,1,0,0,1,1,2
ORURO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-07-01,1,1,0,0,1,1,2
POTOSI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-07-01,0,1,0,0,0,1,1
SUCRE,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-07-01,0,2,0,2,0,4,4
TARIJA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-07-01,0,1,0,0,0,1,1
BERMEJO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-08-01,1,0,0,0,1,0,1
LA GUARDIA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-08-01,2,0,0,0,2,0,2
LA PAZ,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-08-01,1,1,0,0,1,1,2
POTOSI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-08-01,1,1,0,0,1,1,2
QUILLACOLLO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-08-01,0,5,1,0,1,5,6
SAN JULIAN,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-08-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-08-01,1,1,0,0,1,1,2
VILLA MONTES,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-08-01,0,1,0,0,0,1,1
BERMEJO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-09-01,1,0,0,0,1,0,1
COBIJA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-09-01,0,0,1,0,1,0,1
COCHABAMBA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-09-01,13,30,5,0,18,30,48
LA PAZ,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-09-01,2,1,0,0,2,1,3
ORURO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-09-01,6,6,0,0,6,6,12
POCONA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-09-01,0,1,0,0,0,1,1
POTOSI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-09-01,1,1,0,0,1,1,2
SAN IGNACIO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-09-01,0,2,0,0,0,2,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-09-01,3,1,0,0,3,1,4
SUCRE,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-09-01,0,5,0,0,0,5,5
TARIJA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-09-01,0,1,0,0,0,1,1
TRINIDAD,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-09-01,1,0,0,0,1,0,1
TUPIZA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-09-01,0,0,1,0,1,0,1
VIACHA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-09-01,1,0,0,0,1,0,1
ANCORAIMES,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-10-01,1,0,1,0,2,0,2
COCHABAMBA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-10-01,0,1,0,0,0,1,1
COTAGAITA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-10-01,0,0,1,0,1,0,1
EL ALTO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-10-01,6,2,0,0,6,2,8
SUCRE,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-10-01,2,1,0,0,2,1,3
TARIJA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-10-01,1,1,0,0,1,1,2
TRINIDAD,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-10-01,0,2,0,0,0,2,2
TUPIZA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-10-01,0,0,0,2,0,2,2
VACAS,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-10-01,0,0,1,0,1,0,1
COCHABAMBA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-11-01,0,3,0,0,0,3,3
EL ALTO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-11-01,0,4,0,0,0,4,4
LA PAZ,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-11-01,1,4,0,0,1,4,5
POTOSI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-11-01,2,3,0,0,2,3,5
SAN IGNACIO DE VELASCO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-11-01,1,1,0,0,1,1,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-11-01,0,3,0,0,0,3,3
TRINIDAD,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-11-01,1,1,2,2,3,3,6
VILLA TUNARI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-11-01,2,0,0,0,2,0,2
YAPACANI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-11-01,1,0,0,0,1,0,1
CARAPARI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-12-01,53,54,0,0,53,54,107
COCHABAMBA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-12-01,0,0,2,0,2,0,2
EL ALTO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-12-01,0,2,0,0,0,2,2
LA PAZ,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-12-01,3,0,0,0,3,0,3
ORURO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-12-01,0,1,0,0,0,1,1
PORTACHUELO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-12-01,0,1,0,0,0,1,1
POTOSI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-12-01,0,3,0,0,0,3,3
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-12-01,3,2,0,0,3,2,5
SUCRE,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-12-01,0,4,0,0,0,4,4
TRINIDAD,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2022-12-01,1,0,0,0,1,0,1
