,group,variable,month,17.26 COVID 3RA DOSIS DENTRO,17.26 COVID 3RA DOSIS DENTRO,17.26 COVID 3RA DOSIS FUERA,17.26 COVID 3RA DOSIS FUERA,TOTALES,TOTALES,TOTALES
BELEN DE ANDAMARCA,otras vacunaciones,covid 3ra dosis,2022-01-01,37,53,0,0,37,53,90
BELEN DE URMIRI,otras vacunaciones,covid 3ra dosis,2022-01-01,3,1,1,0,4,1,5
BELLA FLOR,otras vacunaciones,covid 3ra dosis,2022-01-01,5,5,24,25,29,30,59
BERMEJO,otras vacunaciones,covid 3ra dosis,2022-01-01,40,28,0,0,40,28,68
BETANZOS,otras vacunaciones,covid 3ra dosis,2022-01-01,119,124,9,18,128,142,270
BOLIVAR,otras vacunaciones,covid 3ra dosis,2022-01-01,3,6,0,1,3,7,10
BOLPEBRA,otras vacunaciones,covid 3ra dosis,2022-01-01,21,18,21,22,42,40,82
BOYUIBE,otras vacunaciones,covid 3ra dosis,2022-01-01,99,120,22,33,121,153,274
BUENA VISTA,otras vacunaciones,covid 3ra dosis,2022-01-01,511,513,0,0,511,513,1024
CABEZAS,otras vacunaciones,covid 3ra dosis,2022-01-01,336,387,0,0,336,387,723
"CAIZA ""D""",otras vacunaciones,covid 3ra dosis,2022-01-01,6,15,26,39,32,54,86
CAJUATA,otras vacunaciones,covid 3ra dosis,2022-01-01,69,51,18,12,87,63,150
CALAMARCA,otras vacunaciones,covid 3ra dosis,2022-01-01,5,3,1,5,6,8,14
CAMARGO,otras vacunaciones,covid 3ra dosis,2022-01-01,171,261,98,117,269,378,647
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,covid 3ra dosis,2022-01-01,27,40,10,10,37,50,87
CAMIRI,otras vacunaciones,covid 3ra dosis,2022-01-01,174,254,0,0,174,254,428
CAPINOTA,otras vacunaciones,covid 3ra dosis,2022-01-01,72,116,0,0,72,116,188
CAQUIAVIRI,otras vacunaciones,covid 3ra dosis,2022-01-01,4,6,0,0,4,6,10
CARACOLLO,otras vacunaciones,covid 3ra dosis,2022-01-01,90,86,0,0,90,86,176
CARANAVI,otras vacunaciones,covid 3ra dosis,2022-01-01,75,69,239,120,314,189,503
CARANGAS,otras vacunaciones,covid 3ra dosis,2022-01-01,42,48,0,0,42,48,90
CARAPARI,otras vacunaciones,covid 3ra dosis,2022-01-01,197,233,0,0,197,233,430
CARIPUYO,otras vacunaciones,covid 3ra dosis,2022-01-01,17,11,14,9,31,20,51
CARMEN RIVERO TORREZ,otras vacunaciones,covid 3ra dosis,2022-01-01,156,151,0,0,156,151,307
CATACORA,otras vacunaciones,covid 3ra dosis,2022-01-01,1,2,7,2,8,4,12
CHALLAPATA,otras vacunaciones,covid 3ra dosis,2022-01-01,195,218,37,21,232,239,471
CHAQUI,otras vacunaciones,covid 3ra dosis,2022-01-01,33,32,9,12,42,44,86
CHARAGUA,otras vacunaciones,covid 3ra dosis,2022-01-01,44,60,8,3,52,63,115
CHAYANTA,otras vacunaciones,covid 3ra dosis,2022-01-01,17,21,0,0,17,21,38
CHIMORE,otras vacunaciones,covid 3ra dosis,2022-01-01,146,140,46,47,192,187,379
CHIPAYA,otras vacunaciones,covid 3ra dosis,2022-01-01,72,111,0,0,72,111,183
CHOQUE COTA,otras vacunaciones,covid 3ra dosis,2022-01-01,12,18,0,0,12,18,30
CHUA COCANI,otras vacunaciones,covid 3ra dosis,2022-01-01,40,50,90,0,130,50,180
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,covid 3ra dosis,2022-01-01,43,43,0,0,43,43,86
CHUMA,otras vacunaciones,covid 3ra dosis,2022-01-01,0,0,100,97,100,97,197
CKOCHAS,otras vacunaciones,covid 3ra dosis,2022-01-01,17,18,0,0,17,18,35
CLIZA,otras vacunaciones,covid 3ra dosis,2022-01-01,134,158,71,77,205,235,440
COBIJA,otras vacunaciones,covid 3ra dosis,2022-01-01,586,672,550,483,1136,1155,2291
COCAPATA,otras vacunaciones,covid 3ra dosis,2022-01-01,60,68,1,0,61,68,129
COCHABAMBA,otras vacunaciones,covid 3ra dosis,2022-01-01,13239,16874,1263,1276,14502,18150,32652
COIPASA,otras vacunaciones,covid 3ra dosis,2022-01-01,24,25,0,0,24,25,49
COLCAPIRHUA,otras vacunaciones,covid 3ra dosis,2022-01-01,104,132,493,618,597,750,1347
"COLCHA ""K""",otras vacunaciones,covid 3ra dosis,2022-01-01,143,182,29,42,172,224,396
COLLANA,otras vacunaciones,covid 3ra dosis,2022-01-01,0,7,8,11,8,18,26
COLOMI,otras vacunaciones,covid 3ra dosis,2022-01-01,40,48,0,0,40,48,88
COLPA BELGICA,otras vacunaciones,covid 3ra dosis,2022-01-01,142,148,0,0,142,148,290
COLQUECHACA,otras vacunaciones,covid 3ra dosis,2022-01-01,1,1,2,2,3,3,6
COLQUENCHA,otras vacunaciones,covid 3ra dosis,2022-01-01,16,12,0,0,16,12,28
COLQUIRI,otras vacunaciones,covid 3ra dosis,2022-01-01,13,25,18,10,31,35,66
COMANCHE,otras vacunaciones,covid 3ra dosis,2022-01-01,3,6,0,0,3,6,9
COMARAPA,otras vacunaciones,covid 3ra dosis,2022-01-01,18,29,0,0,18,29,47
COMBAYA,otras vacunaciones,covid 3ra dosis,2022-01-01,10,15,0,0,10,15,25
CONCEPCION,otras vacunaciones,covid 3ra dosis,2022-01-01,492,659,6,5,498,664,1162
CORIPATA,otras vacunaciones,covid 3ra dosis,2022-01-01,59,30,0,0,59,30,89
CORO CORO,otras vacunaciones,covid 3ra dosis,2022-01-01,0,0,4,6,4,6,10
COROICO,otras vacunaciones,covid 3ra dosis,2022-01-01,148,158,109,95,257,253,510
CORQUE,otras vacunaciones,covid 3ra dosis,2022-01-01,183,25,0,0,183,25,208
COTAGAITA,otras vacunaciones,covid 3ra dosis,2022-01-01,61,81,52,66,113,147,260
COTOCA,otras vacunaciones,covid 3ra dosis,2022-01-01,941,1494,4,5,945,1499,2444
CRUZ DE MACHACAMARCA,otras vacunaciones,covid 3ra dosis,2022-01-01,61,71,0,0,61,71,132
CUATRO CAÑADAS,otras vacunaciones,covid 3ra dosis,2022-01-01,265,125,249,32,514,157,671
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,covid 3ra dosis,2022-01-01,3,5,0,0,3,5,8
CUEVO,otras vacunaciones,covid 3ra dosis,2022-01-01,41,30,3,4,44,34,78
CULPINA,otras vacunaciones,covid 3ra dosis,2022-01-01,183,204,1,1,184,205,389
CURAHUARA DE CARANGAS,otras vacunaciones,covid 3ra dosis,2022-01-01,25,23,0,0,25,23,48
CURVA,otras vacunaciones,covid 3ra dosis,2022-01-01,1,2,26,27,27,29,56
DESAGUADERO,otras vacunaciones,covid 3ra dosis,2022-01-01,6,5,0,2,6,7,13
EL ALTO,otras vacunaciones,covid 3ra dosis,2022-01-01,4012,5208,2751,3342,6763,8550,15313
EL CHORO,otras vacunaciones,covid 3ra dosis,2022-01-01,23,28,0,0,23,28,51
EL PUENTE(STC),otras vacunaciones,covid 3ra dosis,2022-01-01,47,67,26,18,73,85,158
EL PUENTE(TJA),otras vacunaciones,covid 3ra dosis,2022-01-01,129,145,63,100,192,245,437
EL TORNO,otras vacunaciones,covid 3ra dosis,2022-01-01,741,917,0,0,741,917,1658
EL VILLAR,otras vacunaciones,covid 3ra dosis,2022-01-01,88,100,0,0,88,100,188
ENTRE RIOS TRJ,otras vacunaciones,covid 3ra dosis,2022-01-01,179,183,0,0,179,183,362
ENTRE RIOS CBBA,otras vacunaciones,covid 3ra dosis,2022-01-01,222,201,105,111,327,312,639
ESCARA,otras vacunaciones,covid 3ra dosis,2022-01-01,146,170,0,0,146,170,316
ESCOMA,otras vacunaciones,covid 3ra dosis,2022-01-01,16,10,21,7,37,17,54
ESMERALDA,otras vacunaciones,covid 3ra dosis,2022-01-01,14,14,0,0,14,14,28
EUCALIPTUS,otras vacunaciones,covid 3ra dosis,2022-01-01,45,36,1,1,46,37,83
EUREKA (SANTOS MERCADO),otras vacunaciones,covid 3ra dosis,2022-01-01,10,20,5,5,15,25,40
FERNANDEZ ALONSO,otras vacunaciones,covid 3ra dosis,2022-01-01,97,23,0,0,97,23,120
FILADELFIA,otras vacunaciones,covid 3ra dosis,2022-01-01,12,12,44,64,56,76,132
GAIOC JATUN AYLLU YURA,otras vacunaciones,covid 3ra dosis,2022-01-01,18,24,30,16,48,40,88
GENERAL SAAVEDRA,otras vacunaciones,covid 3ra dosis,2022-01-01,179,236,0,0,179,236,415
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,covid 3ra dosis,2022-01-01,66,54,43,55,109,109,218
GUANAY,otras vacunaciones,covid 3ra dosis,2022-01-01,10,10,8,18,18,28,46
GUAQUI,otras vacunaciones,covid 3ra dosis,2022-01-01,97,23,0,0,97,23,120
GUAYARAMERIN,otras vacunaciones,covid 3ra dosis,2022-01-01,362,395,63,84,425,479,904
GUTIERREZ,otras vacunaciones,covid 3ra dosis,2022-01-01,120,167,0,0,120,167,287
HUACARETA,otras vacunaciones,covid 3ra dosis,2022-01-01,96,119,88,129,184,248,432
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,covid 3ra dosis,2022-01-01,76,65,57,99,133,164,297
HUACHACALLA,otras vacunaciones,covid 3ra dosis,2022-01-01,5,15,0,0,5,15,20
HUANUNI,otras vacunaciones,covid 3ra dosis,2022-01-01,332,396,0,0,332,396,728
HUARACAJE,otras vacunaciones,covid 3ra dosis,2022-01-01,30,33,0,0,30,33,63
HUARINA,otras vacunaciones,covid 3ra dosis,2022-01-01,6,6,3,0,9,6,15
HUATAJATA,otras vacunaciones,covid 3ra dosis,2022-01-01,29,0,0,0,29,0,29
HUAYLLAMARCA,otras vacunaciones,covid 3ra dosis,2022-01-01,1,0,0,0,1,0,1
ICHOCA,otras vacunaciones,covid 3ra dosis,2022-01-01,5,4,1,0,6,4,10
ICLA,otras vacunaciones,covid 3ra dosis,2022-01-01,24,30,36,33,60,63,123
INCAHUASI,otras vacunaciones,covid 3ra dosis,2022-01-01,65,71,1,0,66,71,137
INGAVI (HUMAITA),otras vacunaciones,covid 3ra dosis,2022-01-01,1,0,19,20,20,20,40
INQUISIVI,otras vacunaciones,covid 3ra dosis,2022-01-01,11,21,6,2,17,23,40
IXIAMAS,otras vacunaciones,covid 3ra dosis,2022-01-01,0,0,1,1,1,1,2
JESUS DE MACHACA,otras vacunaciones,covid 3ra dosis,2022-01-01,14,23,3,4,17,27,44
LA GUARDIA,otras vacunaciones,covid 3ra dosis,2022-01-01,1193,1452,110,129,1303,1581,2884
LA PAZ,otras vacunaciones,covid 3ra dosis,2022-01-01,22121,26731,8472,9151,30593,35882,66475
LAGUNILLAS,otras vacunaciones,covid 3ra dosis,2022-01-01,59,80,42,39,101,119,220
LAJA,otras vacunaciones,covid 3ra dosis,2022-01-01,38,42,19,13,57,55,112
LAS CARRERAS,otras vacunaciones,covid 3ra dosis,2022-01-01,49,50,0,0,49,50,99
LLALLAGUA,otras vacunaciones,covid 3ra dosis,2022-01-01,264,307,92,118,356,425,781
LLICA,otras vacunaciones,covid 3ra dosis,2022-01-01,6,4,0,0,6,4,10
LORETO,otras vacunaciones,covid 3ra dosis,2022-01-01,0,0,0,2,0,2,2
MACHACAMARCA,otras vacunaciones,covid 3ra dosis,2022-01-01,0,2,0,0,0,2,2
MACHARETI,otras vacunaciones,covid 3ra dosis,2022-01-01,97,122,47,34,144,156,300
MAGDALENA,otras vacunaciones,covid 3ra dosis,2022-01-01,76,96,27,29,103,125,228
MAIRANA,otras vacunaciones,covid 3ra dosis,2022-01-01,98,110,28,36,126,146,272
MAPIRI,otras vacunaciones,covid 3ra dosis,2022-01-01,41,42,0,0,41,42,83
MECAPACA,otras vacunaciones,covid 3ra dosis,2022-01-01,14,15,6,5,20,20,40
MINEROS,otras vacunaciones,covid 3ra dosis,2022-01-01,28,39,0,0,28,39,67
MIZQUE,otras vacunaciones,covid 3ra dosis,2022-01-01,171,265,61,68,232,333,565
MOCOMOCO,otras vacunaciones,covid 3ra dosis,2022-01-01,1,2,16,12,17,14,31
MOJINETE,otras vacunaciones,covid 3ra dosis,2022-01-01,10,9,8,3,18,12,30
MOJOCOYA,otras vacunaciones,covid 3ra dosis,2022-01-01,82,93,55,61,137,154,291
MONTEAGUDO,otras vacunaciones,covid 3ra dosis,2022-01-01,496,607,127,128,623,735,1358
MONTERO,otras vacunaciones,covid 3ra dosis,2022-01-01,477,601,65,63,542,664,1206
MORO MORO,otras vacunaciones,covid 3ra dosis,2022-01-01,5,12,34,36,39,48,87
MOROCHATA,otras vacunaciones,covid 3ra dosis,2022-01-01,4,8,32,26,36,34,70
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,covid 3ra dosis,2022-01-01,21,9,6,7,27,16,43
NAZACARA DE PACAJES,otras vacunaciones,covid 3ra dosis,2022-01-01,2,4,0,0,2,4,6
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,covid 3ra dosis,2022-01-01,3,7,4,5,7,12,19
OCURI,otras vacunaciones,covid 3ra dosis,2022-01-01,16,15,11,19,27,34,61
OMEREQUE,otras vacunaciones,covid 3ra dosis,2022-01-01,12,18,96,114,108,132,240
ORURO,otras vacunaciones,covid 3ra dosis,2022-01-01,5171,5900,58,71,5229,5971,11200
PADILLA,otras vacunaciones,covid 3ra dosis,2022-01-01,282,375,0,0,282,375,657
PAILON,otras vacunaciones,covid 3ra dosis,2022-01-01,214,188,0,0,214,188,402
PALCA,otras vacunaciones,covid 3ra dosis,2022-01-01,15,21,18,19,33,40,73
PAMPA AULLAGAS,otras vacunaciones,covid 3ra dosis,2022-01-01,6,4,0,0,6,4,10
PAMPA GRANDE,otras vacunaciones,covid 3ra dosis,2022-01-01,59,67,36,40,95,107,202
PASORAPA,otras vacunaciones,covid 3ra dosis,2022-01-01,163,207,0,0,163,207,370
PAZÑA,otras vacunaciones,covid 3ra dosis,2022-01-01,71,81,12,25,83,106,189
PELECHUCO,otras vacunaciones,covid 3ra dosis,2022-01-01,30,45,3,3,33,48,81
POCONA,otras vacunaciones,covid 3ra dosis,2022-01-01,42,58,0,0,42,58,100
POJO (CBBA),otras vacunaciones,covid 3ra dosis,2022-01-01,9,8,0,0,9,8,17
POOPO,otras vacunaciones,covid 3ra dosis,2022-01-01,61,87,0,0,61,87,148
PORCO,otras vacunaciones,covid 3ra dosis,2022-01-01,71,79,0,0,71,79,150
POROMA,otras vacunaciones,covid 3ra dosis,2022-01-01,17,21,28,42,45,63,108
PORONGO,otras vacunaciones,covid 3ra dosis,2022-01-01,495,496,0,0,495,496,991
PORTACHUELO,otras vacunaciones,covid 3ra dosis,2022-01-01,244,272,0,0,244,272,516
PORVENIR,otras vacunaciones,covid 3ra dosis,2022-01-01,119,130,16,18,135,148,283
POTOSI,otras vacunaciones,covid 3ra dosis,2022-01-01,986,1310,87,68,1073,1378,2451
PRESTO,otras vacunaciones,covid 3ra dosis,2022-01-01,37,37,46,75,83,112,195
PUCARA,otras vacunaciones,covid 3ra dosis,2022-01-01,2,3,0,0,2,3,5
PUERTO ACOSTA,otras vacunaciones,covid 3ra dosis,2022-01-01,12,9,13,16,25,25,50
PUERTO CARABUCO,otras vacunaciones,covid 3ra dosis,2022-01-01,47,7,11,9,58,16,74
PUERTO GONZALO MORENO,otras vacunaciones,covid 3ra dosis,2022-01-01,5,5,80,51,85,56,141
PUERTO PEREZ,otras vacunaciones,covid 3ra dosis,2022-01-01,6,3,12,14,18,17,35
PUERTO RICO,otras vacunaciones,covid 3ra dosis,2022-01-01,0,0,138,72,138,72,210
PUERTO SILES,otras vacunaciones,covid 3ra dosis,2022-01-01,39,42,0,0,39,42,81
PUERTO SUAREZ,otras vacunaciones,covid 3ra dosis,2022-01-01,329,387,83,125,412,512,924
PUERTO VILLARROEL,otras vacunaciones,covid 3ra dosis,2022-01-01,55,46,37,13,92,59,151
PUNA,otras vacunaciones,covid 3ra dosis,2022-01-01,74,83,23,27,97,110,207
PUNATA,otras vacunaciones,covid 3ra dosis,2022-01-01,354,433,9,3,363,436,799
QUIABAYA,otras vacunaciones,covid 3ra dosis,2022-01-01,10,16,0,0,10,16,26
QUILLACOLLO,otras vacunaciones,covid 3ra dosis,2022-01-01,1579,2062,300,259,1879,2321,4200
QUIME,otras vacunaciones,covid 3ra dosis,2022-01-01,54,45,22,13,76,58,134
QUIRUSILLAS,otras vacunaciones,covid 3ra dosis,2022-01-01,33,33,0,0,33,33,66
RAQAYPAMPA(ETA),otras vacunaciones,covid 3ra dosis,2022-01-01,29,43,2,7,31,50,81
RAVELO,otras vacunaciones,covid 3ra dosis,2022-01-01,4,6,5,7,9,13,22
REYES,otras vacunaciones,covid 3ra dosis,2022-01-01,40,45,0,0,40,45,85
RIBERALTA,otras vacunaciones,covid 3ra dosis,2022-01-01,659,1056,0,7,659,1063,1722
ROBORE,otras vacunaciones,covid 3ra dosis,2022-01-01,331,396,25,33,356,429,785
RURRENABAQUE,otras vacunaciones,covid 3ra dosis,2022-01-01,149,154,0,0,149,154,303
SABAYA,otras vacunaciones,covid 3ra dosis,2022-01-01,47,47,0,0,47,47,94
SACABA,otras vacunaciones,covid 3ra dosis,2022-01-01,1025,1361,392,302,1417,1663,3080
SACABAMBA,otras vacunaciones,covid 3ra dosis,2022-01-01,13,18,12,16,25,34,59
SACACA,otras vacunaciones,covid 3ra dosis,2022-01-01,29,30,0,0,29,30,59
SALINAS DE GARCI MENDOZA,otras vacunaciones,covid 3ra dosis,2022-01-01,31,26,33,29,64,55,119
SAMAIPATA,otras vacunaciones,covid 3ra dosis,2022-01-01,89,104,134,116,223,220,443
SAN AGUSTIN,otras vacunaciones,covid 3ra dosis,2022-01-01,22,24,10,27,32,51,83
SAN ANDRES,otras vacunaciones,covid 3ra dosis,2022-01-01,93,48,5,5,98,53,151
SAN ANDRES DE MACHACA,otras vacunaciones,covid 3ra dosis,2022-01-01,23,18,18,14,41,32,73
SAN ANTONIO DE ESMORUCO,otras vacunaciones,covid 3ra dosis,2022-01-01,20,11,0,0,20,11,31
SAN ANTONIO DE LOMERIO,otras vacunaciones,covid 3ra dosis,2022-01-01,146,182,44,30,190,212,402
SAN BENITO,otras vacunaciones,covid 3ra dosis,2022-01-01,77,112,0,0,77,112,189
SAN BORJA,otras vacunaciones,covid 3ra dosis,2022-01-01,95,86,48,29,143,115,258
SAN BUENA VENTURA,otras vacunaciones,covid 3ra dosis,2022-01-01,66,54,20,23,86,77,163
SAN CARLOS,otras vacunaciones,covid 3ra dosis,2022-01-01,320,359,0,1,320,360,680
SAN IGNACIO,otras vacunaciones,covid 3ra dosis,2022-01-01,64,52,56,47,120,99,219
SAN IGNACIO DE VELASCO,otras vacunaciones,covid 3ra dosis,2022-01-01,358,508,0,0,358,508,866
SAN JAVIER(BNI),otras vacunaciones,covid 3ra dosis,2022-01-01,0,0,7,11,7,11,18
SAN JAVIER(STC),otras vacunaciones,covid 3ra dosis,2022-01-01,372,526,0,0,372,526,898
SAN JOAQUIN,otras vacunaciones,covid 3ra dosis,2022-01-01,63,57,0,0,63,57,120
SAN JOSE DE CHIQUITOS,otras vacunaciones,covid 3ra dosis,2022-01-01,387,448,9,6,396,454,850
SAN JUAN DE YAPACANI,otras vacunaciones,covid 3ra dosis,2022-01-01,243,285,0,0,243,285,528
SAN JULIAN,otras vacunaciones,covid 3ra dosis,2022-01-01,207,211,1,1,208,212,420
SAN LORENZO(PND),otras vacunaciones,covid 3ra dosis,2022-01-01,76,84,51,50,127,134,261
SAN LORENZO(TJA),otras vacunaciones,covid 3ra dosis,2022-01-01,446,538,47,67,493,605,1098
SAN LUCAS,otras vacunaciones,covid 3ra dosis,2022-01-01,19,40,0,0,19,40,59
SAN MATIAS,otras vacunaciones,covid 3ra dosis,2022-01-01,237,283,148,201,385,484,869
SAN MIGUEL DE VELASCO,otras vacunaciones,covid 3ra dosis,2022-01-01,139,181,134,195,273,376,649
SAN PABLO DE LIPEZ,otras vacunaciones,covid 3ra dosis,2022-01-01,16,17,0,0,16,17,33
SAN PEDRO,otras vacunaciones,covid 3ra dosis,2022-01-01,64,60,1,0,65,60,125
SAN PEDRO DE BUENA VISTA,otras vacunaciones,covid 3ra dosis,2022-01-01,2,3,0,0,2,3,5
SAN PEDRO DE MACHA,otras vacunaciones,covid 3ra dosis,2022-01-01,17,12,2,0,19,12,31
SAN PEDRO DE TIQUINA,otras vacunaciones,covid 3ra dosis,2022-01-01,16,17,12,13,28,30,58
SAN PEDRO(PND),otras vacunaciones,covid 3ra dosis,2022-01-01,0,0,7,7,7,7,14
SAN RAFAEL,otras vacunaciones,covid 3ra dosis,2022-01-01,126,183,0,0,126,183,309
SAN RAMON BENI,otras vacunaciones,covid 3ra dosis,2022-01-01,62,85,0,0,62,85,147
SAN RAMON SCZ,otras vacunaciones,covid 3ra dosis,2022-01-01,75,116,0,0,75,116,191
SANTA ANA,otras vacunaciones,covid 3ra dosis,2022-01-01,1,1,0,0,1,1,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid 3ra dosis,2022-01-01,11173,13878,2504,3425,13677,17303,30980
SANTA ROSA,otras vacunaciones,covid 3ra dosis,2022-01-01,103,110,17,21,120,131,251
SANTA ROSA DEL SARA,otras vacunaciones,covid 3ra dosis,2022-01-01,185,211,25,28,210,239,449
SANTIAGO DE HUARI,otras vacunaciones,covid 3ra dosis,2022-01-01,36,50,50,52,86,102,188
SANTIAGO DE HUATA,otras vacunaciones,covid 3ra dosis,2022-01-01,3,3,0,0,3,3,6
SANTIAGO DE MACHACA,otras vacunaciones,covid 3ra dosis,2022-01-01,2,0,4,4,6,4,10
SANTIVAÑES,otras vacunaciones,covid 3ra dosis,2022-01-01,247,268,0,0,247,268,515
SANTUARIO DE QUILLACAS,otras vacunaciones,covid 3ra dosis,2022-01-01,16,22,0,0,16,22,38
SAPAHAQUI,otras vacunaciones,covid 3ra dosis,2022-01-01,13,18,7,3,20,21,41
SENA,otras vacunaciones,covid 3ra dosis,2022-01-01,0,0,42,47,42,47,89
SHINAOTA,otras vacunaciones,covid 3ra dosis,2022-01-01,149,121,0,0,149,121,270
SICAYA,otras vacunaciones,covid 3ra dosis,2022-01-01,5,5,1,2,6,7,13
SIPE SIPE,otras vacunaciones,covid 3ra dosis,2022-01-01,92,100,148,208,240,308,548
SOPACHUY,otras vacunaciones,covid 3ra dosis,2022-01-01,16,17,0,0,16,17,33
SORACACHI,otras vacunaciones,covid 3ra dosis,2022-01-01,89,77,0,0,89,77,166
SORATA,otras vacunaciones,covid 3ra dosis,2022-01-01,47,24,0,0,47,24,71
SUCRE,otras vacunaciones,covid 3ra dosis,2022-01-01,5733,7420,1540,1885,7273,9305,16578
TACACHI,otras vacunaciones,covid 3ra dosis,2022-01-01,15,15,0,0,15,15,30
TACACOMA,otras vacunaciones,covid 3ra dosis,2022-01-01,21,26,0,0,21,26,47
TACOBAMBA,otras vacunaciones,covid 3ra dosis,2022-01-01,6,1,31,36,37,37,74
TACOPAYA,otras vacunaciones,covid 3ra dosis,2022-01-01,29,34,73,69,102,103,205
TAPACARI,otras vacunaciones,covid 3ra dosis,2022-01-01,134,148,0,0,134,148,282
TARABUCO,otras vacunaciones,covid 3ra dosis,2022-01-01,88,53,1,7,89,60,149
TARACO,otras vacunaciones,covid 3ra dosis,2022-01-01,3,7,8,7,11,14,25
TARATA,otras vacunaciones,covid 3ra dosis,2022-01-01,150,169,10,32,160,201,361
TARIJA,otras vacunaciones,covid 3ra dosis,2022-01-01,3806,4661,2966,3051,6772,7712,14484
TARVITA,otras vacunaciones,covid 3ra dosis,2022-01-01,35,51,11,29,46,80,126
TEOPONTE,otras vacunaciones,covid 3ra dosis,2022-01-01,125,31,0,0,125,31,156
TIAHUANACU,otras vacunaciones,covid 3ra dosis,2022-01-01,7,7,3,4,10,11,21
TINGUIPAYA,otras vacunaciones,covid 3ra dosis,2022-01-01,6,9,26,46,32,55,87
TIPUANI,otras vacunaciones,covid 3ra dosis,2022-01-01,115,98,150,111,265,209,474
TIQUIPAYA,otras vacunaciones,covid 3ra dosis,2022-01-01,483,643,1,1,484,644,1128
TIRAQUE (CBBA),otras vacunaciones,covid 3ra dosis,2022-01-01,32,28,3,6,35,34,69
TOCO,otras vacunaciones,covid 3ra dosis,2022-01-01,101,125,2,2,103,127,230
TODOS SANTOS,otras vacunaciones,covid 3ra dosis,2022-01-01,73,78,0,0,73,78,151
TOLATA,otras vacunaciones,covid 3ra dosis,2022-01-01,39,53,2,14,41,67,108
TOLEDO,otras vacunaciones,covid 3ra dosis,2022-01-01,78,80,0,0,78,80,158
TOMAVE,otras vacunaciones,covid 3ra dosis,2022-01-01,16,21,17,31,33,52,85
TOMINA,otras vacunaciones,covid 3ra dosis,2022-01-01,124,152,4,6,128,158,286
TORO TORO,otras vacunaciones,covid 3ra dosis,2022-01-01,26,16,5,5,31,21,52
TOTORA(CBBA),otras vacunaciones,covid 3ra dosis,2022-01-01,42,60,0,0,42,60,102
TOTORA(ORR),otras vacunaciones,covid 3ra dosis,2022-01-01,35,39,0,0,35,39,74
TRIGAL,otras vacunaciones,covid 3ra dosis,2022-01-01,17,28,11,12,28,40,68
TRINIDAD,otras vacunaciones,covid 3ra dosis,2022-01-01,307,364,49,27,356,391,747
TUPIZA,otras vacunaciones,covid 3ra dosis,2022-01-01,667,789,189,250,856,1039,1895
