,group,variable,month,DT 2DA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 2DA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 2DA. DOSIS DE 7 A 49 AÑOS FUERA,DT 2DA. DOSIS DE 7 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,2,1,0,1,2,2,4
AZURDUY,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,1,0,0,0,1,1
BATALLAS,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,1,5,0,1,1,6,7
BAURES,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,2,0,1,0,3,3
BELEN DE ANDAMARCA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,1,0,0,0,1,1
BELLA FLOR,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,2,0,2,0,4,0,4
BERMEJO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,2,12,0,0,2,12,14
BETANZOS,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,8,1,1,1,9,10
BOLPEBRA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,0,1,0,1,0,1
BOYUIBE,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,2,0,0,0,2,0,2
BUENA VISTA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,11,0,0,0,11,11
CABEZAS,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,3,0,1,3,4,3,7
CAIROMA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,1,1,0,0,1,1,2
"CAIZA ""D""",otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,9,0,0,0,9,9
CAJUATA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,1,4,0,0,1,4,5
CALACOTO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,1,0,2,0,3,3
CALAMARCA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,4,1,2,1,6,7
CAMIRI,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,3,3,0,0,3,3,6
CAPINOTA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,4,6,0,0,4,6,10
CAQUIAVIRI,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,1,0,0,0,1,1
CARACOLLO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,1,6,0,0,1,6,7
CARANAVI,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,16,47,2,2,18,49,67
CARAPARI,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,5,0,0,0,5,5
CARIPUYO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,1,0,0,0,1,1
CARMEN RIVERO TORREZ,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,1,6,0,0,1,6,7
CHALLAPATA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,21,0,7,0,28,28
CHAQUI,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,2,0,0,0,2,2
CHARAGUA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,4,0,0,0,4,4
CHAYANTA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,2,0,0,0,2,2
CHIMORE,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,4,16,1,3,5,19,24
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,5,0,0,0,5,5
CHUMA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,1,1,0,0,1,1,2
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,1,1,1,2,2,3,5
CKOCHAS,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,4,0,0,0,4,4
CLIZA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,4,4,0,1,4,5,9
COBIJA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,12,42,0,0,12,42,54
COCAPATA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,1,0,4,0,5,5
COCHABAMBA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,85,291,35,66,120,357,477
COLCAPIRHUA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,12,17,4,8,16,25,41
"COLCHA ""K""",otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,4,5,0,0,4,5,9
COLLANA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,2,0,0,0,2,0,2
COLOMI,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,1,12,3,0,4,12,16
COLPA BELGICA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,17,0,0,0,17,17
COLQUECHACA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,6,2,1,2,7,9
COLQUIRI,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,4,0,4,0,8,8
CONCEPCION,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,2,17,3,4,5,21,26
COPACABANA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,1,0,0,0,1,1
CORIPATA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,1,6,0,0,1,6,7
COROICO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,1,4,0,0,1,4,5
CORQUE,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,1,0,0,0,1,1
COTAGAITA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,1,6,0,0,1,6,7
COTOCA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,2,0,0,0,2,2
CUATRO CAÑADAS,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,1,11,1,2,2,13,15
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,1,0,0,0,1,1
CURAHUARA DE CARANGAS,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,2,0,0,0,2,2
EL ALTO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,42,409,14,37,56,446,502
EL CHORO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,1,1,0,0,1,1,2
EL PUENTE(STC),otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,1,1,1,1,2,2,4
EL PUENTE(TJA),otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,3,4,0,1,3,5,8
EL TORNO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,1,0,0,0,1,0,1
EL VILLAR,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,1,0,0,0,1,0,1
ENTRE RIOS TRJ,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,1,2,0,0,1,2,3
ENTRE RIOS CBBA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,5,36,0,3,5,39,44
ESCOMA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,1,1,2,1,3,4
EUCALIPTUS,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,2,0,0,0,2,2
EXALTACION,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,1,0,0,0,1,1
FERNANDEZ ALONSO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,4,0,1,0,5,5
FILADELFIA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,0,0,4,0,4,4
GAIOC JATUN AYLLU YURA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,1,0,0,0,1,1
GENERAL SAAVEDRA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,1,3,0,0,1,3,4
GUANAY,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,11,14,4,14,15,29
GUAQUI,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,0,0,2,0,2,2
GUAYARAMERIN,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,8,33,19,15,27,48,75
GUTIERREZ,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,3,0,0,0,3,3
HUACARETA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,1,1,0,1,1,2
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,1,0,0,0,1,0,1
HUACHACALLA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,1,1,0,0,1,1,2
HUANUNI,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,6,6,0,0,6,6,12
HUARACAJE,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,2,0,0,0,2,2
HUAYLLAMARCA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,3,4,3,8,6,12,18
HUMANATA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,1,0,0,0,1,1
INCAHUASI,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,1,0,1,0,2,2
INGAVI (HUMAITA),otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,1,0,0,0,1,1
IRUPANA (VILLA DE LANZA),otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,3,3,2,3,5,8
IXIAMAS,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,3,5,14,10,17,15,32
LA ASUNTA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,1,6,0,0,1,6,7
LA PAZ,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,81,274,103,79,184,353,537
LAJA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,3,0,0,0,3,3
LLALLAGUA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,8,33,2,2,10,35,45
LLICA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,2,0,0,0,2,2
LORETO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,1,9,11,9,12,21
LURIBAY,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,2,0,0,0,2,2
MACHACAMARCA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,2,6,0,0,2,6,8
MACHARETI,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,2,4,0,0,2,4,6
MAGDALENA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,1,11,3,3,4,14,18
MAIRANA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,2,0,0,0,2,2
MALLA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,1,0,0,0,1,1
MAPIRI,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,1,7,0,0,1,7,8
MECAPACA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,5,0,0,0,5,5
MINEROS,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,6,0,0,0,6,6
MOCOMOCO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,0,0,2,0,2,2
MONTEAGUDO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,1,0,0,0,1,1
MONTERO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,13,162,23,31,36,193,229
MORO MORO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,0,0,1,0,1,1
MOROCHATA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,1,0,0,0,1,1
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,0,1,2,1,2,3
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,8,1,3,2,11,3,14
OCURI,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,8,0,0,0,8,8
OKINAWA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,2,0,0,0,2,2
OMEREQUE,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,1,1,1,1,2,2,4
ORURO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,37,218,12,27,49,245,294
PADCAYA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,1,6,0,0,1,6,7
PADILLA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,1,0,0,0,1,1
PAILON,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,1,2,0,2,1,3
PALCA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,2,4,0,0,2,4,6
PALOS BLANCOS,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,4,6,3,3,7,9,16
PAMPA AULLAGAS,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,5,1,0,0,5,1,6
PAPEL PAMPA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,2,0,0,0,2,2
PASORAPA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,2,5,10,5,12,17
PATACAMAYA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,1,15,0,0,1,15,16
PELECHUCO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,4,0,0,0,4,4
POCONA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,1,0,0,0,1,1
POJO (CBBA),otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,6,0,0,0,6,6
POOPO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,2,0,0,0,2,2
PORCO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,1,10,0,1,1,11,12
POROMA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,1,0,2,0,3,3
PORTACHUELO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,18,0,2,0,20,20
PORVENIR,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,1,2,9,10,10,12,22
POTOSI,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,25,152,37,6,62,158,220
PRESTO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,1,1,0,1,1,2,3
PUCARANI,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,2,8,0,3,2,11,13
PUERTO ACOSTA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,2,0,0,0,2,2
PUERTO GONZALO MORENO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,1,0,0,0,1,1
PUERTO QUIJARRO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,2,4,2,1,4,5,9
PUERTO RICO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,6,0,0,0,6,6
PUERTO SILES,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,1,0,0,0,1,1
PUERTO SUAREZ,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,6,10,0,0,6,10,16
PUERTO VILLARROEL,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,9,24,1,2,10,26,36
PUNA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,10,1,4,1,14,15
PUNATA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,7,15,4,6,11,21,32
QUILLACOLLO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,17,20,40,23,57,43,100
QUIME,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,1,0,0,0,1,1
RAQAYPAMPA(ETA),otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,1,0,0,0,1,1
RAVELO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,3,0,5,0,8,8
REYES,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,1,13,0,0,1,13,14
RIBERALTA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,6,45,1,0,7,45,52
ROBORE,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,4,11,0,0,4,11,15
RURRENABAQUE,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,6,0,0,0,6,6
SABAYA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,2,0,0,0,2,2
SACABA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,11,53,21,29,32,82,114
SACABAMBA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,0,0,4,0,4,4
SACACA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,8,2,4,2,12,14
SAIPINA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,1,1,0,0,1,1,2
SALINAS DE GARCI MENDOZA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,5,0,0,0,5,5
SAN ANDRES,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,2,2,0,0,2,2,4
SAN ANDRES DE MACHACA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,0,0,2,0,2,2
SAN ANTONIO DE LOMERIO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,2,0,0,0,2,0,2
SAN BENITO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,1,0,0,0,1,0,1
SAN BORJA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,5,40,5,3,10,43,53
SAN BUENA VENTURA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,2,1,0,0,2,1,3
SAN CARLOS,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,3,0,0,0,3,3
SAN IGNACIO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,3,12,8,8,11,20,31
SAN IGNACIO DE VELASCO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,7,0,0,0,7,7
SAN JAVIER(BNI),otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,0,1,0,1,0,1
SAN JAVIER(STC),otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,1,19,0,0,1,19,20
SAN JOAQUIN,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,5,0,0,0,5,5
SAN JOSE DE CHIQUITOS,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,5,1,4,1,9,10
SAN JULIAN,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,12,56,2,14,14,70,84
SAN LORENZO(PND),otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,3,3,0,0,3,3,6
SAN LORENZO(TJA),otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,11,0,0,0,11,11
SAN MATIAS,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,1,7,0,0,1,7,8
SAN MIGUEL DE VELASCO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,1,2,0,0,1,2,3
SAN PABLO DE LIPEZ,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,2,0,0,0,2,2
SAN PEDRO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,1,0,0,0,1,1
SAN PEDRO DE BUENA VISTA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,15,0,3,0,18,18
SAN PEDRO DE MACHA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,6,0,5,0,11,11
SAN PEDRO DE TIQUINA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,1,1,0,0,1,1,2
SAN RAFAEL,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,2,0,0,0,2,2
SAN RAMON BENI,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,6,0,0,0,6,6
SAN RAMON SCZ,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,1,5,0,0,1,5,6
SANTA ANA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,3,11,0,0,3,11,14
SANTA CRUZ DE LA SIERRA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,370,1113,89,121,459,1234,1693
SANTA ROSA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,4,0,0,0,4,4
SANTA ROSA DEL SARA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,4,14,4,4,8,18,26
SANTIAGO DE HUARI,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,1,2,2,1,3,3,6
SANTIAGO DE HUATA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,1,0,0,0,1,1
SANTIAGO DE MACHACA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,0,0,1,0,1,1
SANTIVAÑES,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,7,0,0,0,7,0,7
SAPAHAQUI,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,3,0,1,0,4,4
SENA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,7,0,0,0,7,7
SHINAOTA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,1,5,0,0,1,5,6
SICA SICA (VILLA AROMA),otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,7,0,0,0,7,7
SIPE SIPE,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,2,8,0,4,2,12,14
SOPACHUY,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,1,3,1,0,2,3,5
SORACACHI,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,3,0,0,0,3,3
SORATA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,2,0,0,0,2,2
SUCRE,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,28,42,2,2,30,44,74
TACACHI,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,0,0,1,0,1,1
TACACOMA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,2,1,1,1,3,2,5
TACOBAMBA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,1,0,0,0,1,1
TACOPAYA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,3,1,0,0,3,1,4
TAPACARI,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,3,12,0,1,3,13,16
TARABUCO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,1,0,0,0,1,1
TARATA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,2,0,0,0,2,2
TARIJA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,25,115,1,0,26,115,141
TARVITA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,1,0,0,0,1,0,1
TEOPONTE,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,1,4,0,0,1,4,5
TIAHUANACU,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,1,0,0,0,1,1
TIPUANI,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,0,3,1,1,1,4,5
TIQUIPAYA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,5,10,1,3,6,13,19
TIRAQUE (CBBA),otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,1,6,3,4,4,10,14
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,4,2,0,0,4,2,6
TOCO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2022-01-01,2,0,0,0,2,0,2
