,group,variable,month,17.23 COVID 1RA DOSIS DENTRO,17.23 COVID 1RA DOSIS DENTRO,17.23 COVID 1RA DOSIS FUERA,17.23 COVID 1RA DOSIS FUERA,TOTALES,TOTALES,TOTALES
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,covid 1ra dosis,2022-01-01,959,923,351,338,1310,1261,2571
AZURDUY,otras vacunaciones,covid 1ra dosis,2022-01-01,251,178,53,54,304,232,536
BATALLAS,otras vacunaciones,covid 1ra dosis,2022-01-01,837,837,30,47,867,884,1751
BAURES,otras vacunaciones,covid 1ra dosis,2022-01-01,92,71,15,12,107,83,190
BELEN DE ANDAMARCA,otras vacunaciones,covid 1ra dosis,2022-01-01,58,58,0,0,58,58,116
BELEN DE URMIRI,otras vacunaciones,covid 1ra dosis,2022-01-01,15,10,21,20,36,30,66
BELLA FLOR,otras vacunaciones,covid 1ra dosis,2022-01-01,10,7,27,19,37,26,63
BERMEJO,otras vacunaciones,covid 1ra dosis,2022-01-01,80,72,1,3,81,75,156
BETANZOS,otras vacunaciones,covid 1ra dosis,2022-01-01,986,916,151,138,1137,1054,2191
BOLIVAR,otras vacunaciones,covid 1ra dosis,2022-01-01,79,69,7,6,86,75,161
BOLPEBRA,otras vacunaciones,covid 1ra dosis,2022-01-01,10,12,34,19,44,31,75
BOYUIBE,otras vacunaciones,covid 1ra dosis,2022-01-01,213,153,43,34,256,187,443
BUENA VISTA,otras vacunaciones,covid 1ra dosis,2022-01-01,498,575,0,0,498,575,1073
CABEZAS,otras vacunaciones,covid 1ra dosis,2022-01-01,1558,1325,0,0,1558,1325,2883
CAIROMA,otras vacunaciones,covid 1ra dosis,2022-01-01,232,225,52,40,284,265,549
"CAIZA ""D""",otras vacunaciones,covid 1ra dosis,2022-01-01,190,117,33,39,223,156,379
CAJUATA,otras vacunaciones,covid 1ra dosis,2022-01-01,414,381,75,50,489,431,920
CALACOTO,otras vacunaciones,covid 1ra dosis,2022-01-01,87,70,107,110,194,180,374
CALAMARCA,otras vacunaciones,covid 1ra dosis,2022-01-01,595,590,26,27,621,617,1238
CAMARGO,otras vacunaciones,covid 1ra dosis,2022-01-01,482,411,74,84,556,495,1051
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,covid 1ra dosis,2022-01-01,46,46,27,20,73,66,139
CAMIRI,otras vacunaciones,covid 1ra dosis,2022-01-01,1034,964,0,0,1034,964,1998
CAPINOTA,otras vacunaciones,covid 1ra dosis,2022-01-01,1380,1329,12,18,1392,1347,2739
CAQUIAVIRI,otras vacunaciones,covid 1ra dosis,2022-01-01,218,166,39,36,257,202,459
CARACOLLO,otras vacunaciones,covid 1ra dosis,2022-01-01,833,823,0,0,833,823,1656
CARANAVI,otras vacunaciones,covid 1ra dosis,2022-01-01,1218,1029,1026,796,2244,1825,4069
CARANGAS,otras vacunaciones,covid 1ra dosis,2022-01-01,57,67,0,0,57,67,124
CARAPARI,otras vacunaciones,covid 1ra dosis,2022-01-01,325,301,6,8,331,309,640
CARIPUYO,otras vacunaciones,covid 1ra dosis,2022-01-01,132,77,61,54,193,131,324
CARMEN RIVERO TORREZ,otras vacunaciones,covid 1ra dosis,2022-01-01,372,365,0,0,372,365,737
CATACORA,otras vacunaciones,covid 1ra dosis,2022-01-01,14,16,42,29,56,45,101
CHACARILLA,otras vacunaciones,covid 1ra dosis,2022-01-01,50,32,29,13,79,45,124
CHALLAPATA,otras vacunaciones,covid 1ra dosis,2022-01-01,1453,1271,134,122,1587,1393,2980
CHAQUI,otras vacunaciones,covid 1ra dosis,2022-01-01,211,178,108,85,319,263,582
CHARAGUA,otras vacunaciones,covid 1ra dosis,2022-01-01,1151,1078,176,182,1327,1260,2587
CHARAÑA,otras vacunaciones,covid 1ra dosis,2022-01-01,46,36,11,24,57,60,117
CHAYANTA,otras vacunaciones,covid 1ra dosis,2022-01-01,277,261,29,20,306,281,587
CHIMORE,otras vacunaciones,covid 1ra dosis,2022-01-01,823,610,170,159,993,769,1762
CHIPAYA,otras vacunaciones,covid 1ra dosis,2022-01-01,262,252,0,1,262,253,515
CHOQUE COTA,otras vacunaciones,covid 1ra dosis,2022-01-01,40,39,0,0,40,39,79
CHUA COCANI,otras vacunaciones,covid 1ra dosis,2022-01-01,163,140,94,32,257,172,429
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,covid 1ra dosis,2022-01-01,358,317,254,236,612,553,1165
CHUMA,otras vacunaciones,covid 1ra dosis,2022-01-01,219,181,31,44,250,225,475
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,covid 1ra dosis,2022-01-01,93,52,18,17,111,69,180
CKOCHAS,otras vacunaciones,covid 1ra dosis,2022-01-01,112,101,30,42,142,143,285
CLIZA,otras vacunaciones,covid 1ra dosis,2022-01-01,1114,1088,466,385,1580,1473,3053
COBIJA,otras vacunaciones,covid 1ra dosis,2022-01-01,1201,1139,710,657,1911,1796,3707
COCAPATA,otras vacunaciones,covid 1ra dosis,2022-01-01,105,95,0,0,105,95,200
COCHABAMBA,otras vacunaciones,covid 1ra dosis,2022-01-01,37701,35741,1242,1159,38943,36900,75843
COIPASA,otras vacunaciones,covid 1ra dosis,2022-01-01,42,38,0,0,42,38,80
COLCAPIRHUA,otras vacunaciones,covid 1ra dosis,2022-01-01,629,575,1910,1702,2539,2277,4816
"COLCHA ""K""",otras vacunaciones,covid 1ra dosis,2022-01-01,355,344,34,25,389,369,758
COLLANA,otras vacunaciones,covid 1ra dosis,2022-01-01,138,111,31,16,169,127,296
COLOMI,otras vacunaciones,covid 1ra dosis,2022-01-01,811,702,3,1,814,703,1517
COLPA BELGICA,otras vacunaciones,covid 1ra dosis,2022-01-01,418,378,0,0,418,378,796
COLQUECHACA,otras vacunaciones,covid 1ra dosis,2022-01-01,163,161,39,30,202,191,393
COLQUENCHA,otras vacunaciones,covid 1ra dosis,2022-01-01,608,567,0,0,608,567,1175
COLQUIRI,otras vacunaciones,covid 1ra dosis,2022-01-01,480,416,255,212,735,628,1363
COMANCHE,otras vacunaciones,covid 1ra dosis,2022-01-01,111,94,14,8,125,102,227
COMARAPA,otras vacunaciones,covid 1ra dosis,2022-01-01,559,533,30,23,589,556,1145
COMBAYA,otras vacunaciones,covid 1ra dosis,2022-01-01,58,83,43,25,101,108,209
CONCEPCION,otras vacunaciones,covid 1ra dosis,2022-01-01,1088,928,76,59,1164,987,2151
COPACABANA,otras vacunaciones,covid 1ra dosis,2022-01-01,235,233,70,76,305,309,614
CORIPATA,otras vacunaciones,covid 1ra dosis,2022-01-01,438,390,72,74,510,464,974
CORO CORO,otras vacunaciones,covid 1ra dosis,2022-01-01,193,207,131,143,324,350,674
COROICO,otras vacunaciones,covid 1ra dosis,2022-01-01,622,528,291,319,913,847,1760
CORQUE,otras vacunaciones,covid 1ra dosis,2022-01-01,303,295,0,0,303,295,598
COTAGAITA,otras vacunaciones,covid 1ra dosis,2022-01-01,445,408,53,48,498,456,954
COTOCA,otras vacunaciones,covid 1ra dosis,2022-01-01,5090,4808,15,7,5105,4815,9920
CRUZ DE MACHACAMARCA,otras vacunaciones,covid 1ra dosis,2022-01-01,112,104,0,3,112,107,219
CUATRO CAÑADAS,otras vacunaciones,covid 1ra dosis,2022-01-01,723,534,30,13,753,547,1300
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,covid 1ra dosis,2022-01-01,141,165,0,0,141,165,306
CUEVO,otras vacunaciones,covid 1ra dosis,2022-01-01,96,86,2,1,98,87,185
CULPINA,otras vacunaciones,covid 1ra dosis,2022-01-01,553,506,28,30,581,536,1117
CURAHUARA DE CARANGAS,otras vacunaciones,covid 1ra dosis,2022-01-01,81,74,0,0,81,74,155
CURVA,otras vacunaciones,covid 1ra dosis,2022-01-01,58,50,56,52,114,102,216
DESAGUADERO,otras vacunaciones,covid 1ra dosis,2022-01-01,289,247,130,158,419,405,824
EL ALTO,otras vacunaciones,covid 1ra dosis,2022-01-01,33046,34143,22263,17338,55309,51481,106790
EL CHORO,otras vacunaciones,covid 1ra dosis,2022-01-01,110,111,0,0,110,111,221
EL PUENTE(STC),otras vacunaciones,covid 1ra dosis,2022-01-01,393,362,68,47,461,409,870
EL PUENTE(TJA),otras vacunaciones,covid 1ra dosis,2022-01-01,362,342,100,90,462,432,894
EL TORNO,otras vacunaciones,covid 1ra dosis,2022-01-01,2579,2412,0,0,2579,2412,4991
EL VILLAR,otras vacunaciones,covid 1ra dosis,2022-01-01,67,93,0,0,67,93,160
ENTRE RIOS TRJ,otras vacunaciones,covid 1ra dosis,2022-01-01,314,257,13,11,327,268,595
ENTRE RIOS CBBA,otras vacunaciones,covid 1ra dosis,2022-01-01,2436,2171,255,261,2691,2432,5123
ESCARA,otras vacunaciones,covid 1ra dosis,2022-01-01,183,186,0,0,183,186,369
ESCOMA,otras vacunaciones,covid 1ra dosis,2022-01-01,439,477,22,31,461,508,969
ESMERALDA,otras vacunaciones,covid 1ra dosis,2022-01-01,74,76,0,0,74,76,150
EUCALIPTUS,otras vacunaciones,covid 1ra dosis,2022-01-01,123,118,1,0,124,118,242
EUREKA (SANTOS MERCADO),otras vacunaciones,covid 1ra dosis,2022-01-01,10,15,5,3,15,18,33
FERNANDEZ ALONSO,otras vacunaciones,covid 1ra dosis,2022-01-01,598,502,35,42,633,544,1177
FILADELFIA,otras vacunaciones,covid 1ra dosis,2022-01-01,25,11,128,123,153,134,287
GAIOC JATUN AYLLU YURA,otras vacunaciones,covid 1ra dosis,2022-01-01,105,80,24,22,129,102,231
GENERAL SAAVEDRA,otras vacunaciones,covid 1ra dosis,2022-01-01,799,698,0,0,799,698,1497
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,covid 1ra dosis,2022-01-01,264,198,146,173,410,371,781
GUANAY,otras vacunaciones,covid 1ra dosis,2022-01-01,212,208,301,288,513,496,1009
GUAQUI,otras vacunaciones,covid 1ra dosis,2022-01-01,426,376,5,5,431,381,812
GUAYARAMERIN,otras vacunaciones,covid 1ra dosis,2022-01-01,1266,1099,361,315,1627,1414,3041
GUTIERREZ,otras vacunaciones,covid 1ra dosis,2022-01-01,574,522,1,1,575,523,1098
HUACARETA,otras vacunaciones,covid 1ra dosis,2022-01-01,201,204,54,53,255,257,512
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,covid 1ra dosis,2022-01-01,52,62,85,62,137,124,261
HUACHACALLA,otras vacunaciones,covid 1ra dosis,2022-01-01,86,63,0,0,86,63,149
HUANUNI,otras vacunaciones,covid 1ra dosis,2022-01-01,1404,1340,2,1,1406,1341,2747
HUARACAJE,otras vacunaciones,covid 1ra dosis,2022-01-01,104,89,4,1,108,90,198
HUARINA,otras vacunaciones,covid 1ra dosis,2022-01-01,353,361,104,36,457,397,854
HUATAJATA,otras vacunaciones,covid 1ra dosis,2022-01-01,203,244,0,2,203,246,449
HUAYLLAMARCA,otras vacunaciones,covid 1ra dosis,2022-01-01,109,121,11,8,120,129,249
HUMANATA,otras vacunaciones,covid 1ra dosis,2022-01-01,127,104,4,2,131,106,237
ICHOCA,otras vacunaciones,covid 1ra dosis,2022-01-01,81,59,35,38,116,97,213
ICLA,otras vacunaciones,covid 1ra dosis,2022-01-01,176,137,93,72,269,209,478
INCAHUASI,otras vacunaciones,covid 1ra dosis,2022-01-01,342,333,76,74,418,407,825
INGAVI (HUMAITA),otras vacunaciones,covid 1ra dosis,2022-01-01,15,12,25,31,40,43,83
INQUISIVI,otras vacunaciones,covid 1ra dosis,2022-01-01,236,251,193,191,429,442,871
IRUPANA (VILLA DE LANZA),otras vacunaciones,covid 1ra dosis,2022-01-01,253,233,80,53,333,286,619
IXIAMAS,otras vacunaciones,covid 1ra dosis,2022-01-01,0,0,58,59,58,59,117
JESUS DE MACHACA,otras vacunaciones,covid 1ra dosis,2022-01-01,529,472,56,51,585,523,1108
LA ASUNTA,otras vacunaciones,covid 1ra dosis,2022-01-01,923,829,105,113,1028,942,1970
LA GUARDIA,otras vacunaciones,covid 1ra dosis,2022-01-01,6255,6195,296,309,6551,6504,13055
LA PAZ,otras vacunaciones,covid 1ra dosis,2022-01-01,36859,33824,9210,8789,46069,42613,88682
LA RIVERA,otras vacunaciones,covid 1ra dosis,2022-01-01,1,1,0,0,1,1,2
LAGUNILLAS,otras vacunaciones,covid 1ra dosis,2022-01-01,228,240,82,99,310,339,649
LAJA,otras vacunaciones,covid 1ra dosis,2022-01-01,1161,1054,161,178,1322,1232,2554
LAS CARRERAS,otras vacunaciones,covid 1ra dosis,2022-01-01,87,65,0,0,87,65,152
LICOMA PAMPA,otras vacunaciones,covid 1ra dosis,2022-01-01,54,46,8,8,62,54,116
LLALLAGUA,otras vacunaciones,covid 1ra dosis,2022-01-01,1925,1847,337,281,2262,2128,4390
LLICA,otras vacunaciones,covid 1ra dosis,2022-01-01,87,50,1,2,88,52,140
LORETO,otras vacunaciones,covid 1ra dosis,2022-01-01,52,36,35,37,87,73,160
LURIBAY,otras vacunaciones,covid 1ra dosis,2022-01-01,241,203,322,279,563,482,1045
MACHACAMARCA,otras vacunaciones,covid 1ra dosis,2022-01-01,176,186,0,0,176,186,362
MACHARETI,otras vacunaciones,covid 1ra dosis,2022-01-01,118,118,45,18,163,136,299
MAGDALENA,otras vacunaciones,covid 1ra dosis,2022-01-01,353,297,9,5,362,302,664
MAIRANA,otras vacunaciones,covid 1ra dosis,2022-01-01,424,405,112,86,536,491,1027
MALLA,otras vacunaciones,covid 1ra dosis,2022-01-01,25,25,308,248,333,273,606
MAPIRI,otras vacunaciones,covid 1ra dosis,2022-01-01,228,203,0,1,228,204,432
MECAPACA,otras vacunaciones,covid 1ra dosis,2022-01-01,60,53,15,18,75,71,146
MINEROS,otras vacunaciones,covid 1ra dosis,2022-01-01,101,119,0,0,101,119,220
MIZQUE,otras vacunaciones,covid 1ra dosis,2022-01-01,841,789,259,238,1100,1027,2127
MOCOMOCO,otras vacunaciones,covid 1ra dosis,2022-01-01,461,450,332,286,793,736,1529
MOJINETE,otras vacunaciones,covid 1ra dosis,2022-01-01,5,6,5,3,10,9,19
MOJOCOYA,otras vacunaciones,covid 1ra dosis,2022-01-01,215,183,32,31,247,214,461
MONTEAGUDO,otras vacunaciones,covid 1ra dosis,2022-01-01,703,592,78,60,781,652,1433
MONTERO,otras vacunaciones,covid 1ra dosis,2022-01-01,7433,7007,171,123,7604,7130,14734
MORO MORO,otras vacunaciones,covid 1ra dosis,2022-01-01,39,30,29,17,68,47,115
MOROCHATA,otras vacunaciones,covid 1ra dosis,2022-01-01,247,232,442,376,689,608,1297
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,covid 1ra dosis,2022-01-01,50,26,22,21,72,47,119
NAZACARA DE PACAJES,otras vacunaciones,covid 1ra dosis,2022-01-01,65,43,0,0,65,43,108
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,covid 1ra dosis,2022-01-01,3,5,17,11,20,16,36
OCURI,otras vacunaciones,covid 1ra dosis,2022-01-01,77,54,37,34,114,88,202
OKINAWA,otras vacunaciones,covid 1ra dosis,2022-01-01,543,470,1,0,544,470,1014
OMEREQUE,otras vacunaciones,covid 1ra dosis,2022-01-01,51,39,123,104,174,143,317
ORURO,otras vacunaciones,covid 1ra dosis,2022-01-01,15288,14824,284,267,15572,15091,30663
PADCAYA,otras vacunaciones,covid 1ra dosis,2022-01-01,153,138,24,18,177,156,333
PADILLA,otras vacunaciones,covid 1ra dosis,2022-01-01,298,245,0,0,298,245,543
PAILON,otras vacunaciones,covid 1ra dosis,2022-01-01,2007,1552,0,0,2007,1552,3559
PALCA,otras vacunaciones,covid 1ra dosis,2022-01-01,108,237,37,39,145,276,421
PALOS BLANCOS,otras vacunaciones,covid 1ra dosis,2022-01-01,728,617,133,92,861,709,1570
PAMPA AULLAGAS,otras vacunaciones,covid 1ra dosis,2022-01-01,58,52,0,0,58,52,110
PAMPA GRANDE,otras vacunaciones,covid 1ra dosis,2022-01-01,282,272,42,35,324,307,631
PAPEL PAMPA,otras vacunaciones,covid 1ra dosis,2022-01-01,163,137,52,52,215,189,404
PASORAPA,otras vacunaciones,covid 1ra dosis,2022-01-01,39,45,0,0,39,45,84
PATACAMAYA,otras vacunaciones,covid 1ra dosis,2022-01-01,1409,1378,5,9,1414,1387,2801
PAZÑA,otras vacunaciones,covid 1ra dosis,2022-01-01,179,180,45,46,224,226,450
PELECHUCO,otras vacunaciones,covid 1ra dosis,2022-01-01,229,147,51,46,280,193,473
POCOATA,otras vacunaciones,covid 1ra dosis,2022-01-01,120,89,92,111,212,200,412
POCONA,otras vacunaciones,covid 1ra dosis,2022-01-01,402,375,5,2,407,377,784
POJO (CBBA),otras vacunaciones,covid 1ra dosis,2022-01-01,193,166,0,0,193,166,359
POOPO,otras vacunaciones,covid 1ra dosis,2022-01-01,379,311,1,0,380,311,691
PORCO,otras vacunaciones,covid 1ra dosis,2022-01-01,524,483,5,0,529,483,1012
POROMA,otras vacunaciones,covid 1ra dosis,2022-01-01,196,223,88,106,284,329,613
PORONGO,otras vacunaciones,covid 1ra dosis,2022-01-01,873,743,0,0,873,743,1616
PORTACHUELO,otras vacunaciones,covid 1ra dosis,2022-01-01,999,868,0,0,999,868,1867
PORVENIR,otras vacunaciones,covid 1ra dosis,2022-01-01,115,133,10,4,125,137,262
POSTRER VALLE,otras vacunaciones,covid 1ra dosis,2022-01-01,0,1,0,0,0,1,1
POTOSI,otras vacunaciones,covid 1ra dosis,2022-01-01,6914,7140,240,198,7154,7338,14492
PRESTO,otras vacunaciones,covid 1ra dosis,2022-01-01,101,93,59,73,160,166,326
PUCARA,otras vacunaciones,covid 1ra dosis,2022-01-01,54,60,0,0,54,60,114
PUCARANI,otras vacunaciones,covid 1ra dosis,2022-01-01,1214,1114,73,82,1287,1196,2483
PUERTO ACOSTA,otras vacunaciones,covid 1ra dosis,2022-01-01,239,222,104,77,343,299,642
PUERTO CARABUCO,otras vacunaciones,covid 1ra dosis,2022-01-01,276,301,176,176,452,477,929
PUERTO GONZALO MORENO,otras vacunaciones,covid 1ra dosis,2022-01-01,38,22,146,133,184,155,339
PUERTO PEREZ,otras vacunaciones,covid 1ra dosis,2022-01-01,254,218,161,128,415,346,761
PUERTO RICO,otras vacunaciones,covid 1ra dosis,2022-01-01,0,0,195,130,195,130,325
PUERTO SILES,otras vacunaciones,covid 1ra dosis,2022-01-01,50,54,0,0,50,54,104
PUERTO SUAREZ,otras vacunaciones,covid 1ra dosis,2022-01-01,569,496,269,237,838,733,1571
PUERTO VILLARROEL,otras vacunaciones,covid 1ra dosis,2022-01-01,1608,1201,22,28,1630,1229,2859
PUNA,otras vacunaciones,covid 1ra dosis,2022-01-01,348,373,51,70,399,443,842
PUNATA,otras vacunaciones,covid 1ra dosis,2022-01-01,2161,2162,66,51,2227,2213,4440
QUIABAYA,otras vacunaciones,covid 1ra dosis,2022-01-01,53,44,32,75,85,119,204
QUILLACOLLO,otras vacunaciones,covid 1ra dosis,2022-01-01,8091,7649,907,863,8998,8512,17510
QUIME,otras vacunaciones,covid 1ra dosis,2022-01-01,348,341,48,47,396,388,784
QUIRUSILLAS,otras vacunaciones,covid 1ra dosis,2022-01-01,44,31,8,7,52,38,90
RAQAYPAMPA(ETA),otras vacunaciones,covid 1ra dosis,2022-01-01,318,296,21,20,339,316,655
RAVELO,otras vacunaciones,covid 1ra dosis,2022-01-01,248,177,142,137,390,314,704
REYES,otras vacunaciones,covid 1ra dosis,2022-01-01,152,117,0,0,152,117,269
RIBERALTA,otras vacunaciones,covid 1ra dosis,2022-01-01,2649,2529,172,163,2821,2692,5513
ROBORE,otras vacunaciones,covid 1ra dosis,2022-01-01,1013,876,78,64,1091,940,2031
RURRENABAQUE,otras vacunaciones,covid 1ra dosis,2022-01-01,763,953,23,40,786,993,1779
SABAYA,otras vacunaciones,covid 1ra dosis,2022-01-01,230,196,0,0,230,196,426
SACABA,otras vacunaciones,covid 1ra dosis,2022-01-01,7627,7329,1812,1744,9439,9073,18512
SACABAMBA,otras vacunaciones,covid 1ra dosis,2022-01-01,170,173,119,122,289,295,584
SACACA,otras vacunaciones,covid 1ra dosis,2022-01-01,269,210,96,80,365,290,655
SAIPINA,otras vacunaciones,covid 1ra dosis,2022-01-01,413,346,0,0,413,346,759
SALINAS DE GARCI MENDOZA,otras vacunaciones,covid 1ra dosis,2022-01-01,153,144,53,46,206,190,396
SAMAIPATA,otras vacunaciones,covid 1ra dosis,2022-01-01,168,128,291,233,459,361,820
SAN AGUSTIN,otras vacunaciones,covid 1ra dosis,2022-01-01,19,9,0,0,19,9,28
SAN ANDRES,otras vacunaciones,covid 1ra dosis,2022-01-01,275,205,62,54,337,259,596
SAN ANDRES DE MACHACA,otras vacunaciones,covid 1ra dosis,2022-01-01,76,57,150,145,226,202,428
SAN ANTONIO DE ESMORUCO,otras vacunaciones,covid 1ra dosis,2022-01-01,20,15,22,18,42,33,75
SAN ANTONIO DE LOMERIO,otras vacunaciones,covid 1ra dosis,2022-01-01,358,306,73,54,431,360,791
SAN BENITO,otras vacunaciones,covid 1ra dosis,2022-01-01,674,663,2,0,676,663,1339
SAN BORJA,otras vacunaciones,covid 1ra dosis,2022-01-01,617,566,595,460,1212,1026,2238
SAN BUENA VENTURA,otras vacunaciones,covid 1ra dosis,2022-01-01,269,229,93,68,362,297,659
SAN CARLOS,otras vacunaciones,covid 1ra dosis,2022-01-01,792,714,2,4,794,718,1512
SAN IGNACIO,otras vacunaciones,covid 1ra dosis,2022-01-01,694,565,113,72,807,637,1444
SAN IGNACIO DE VELASCO,otras vacunaciones,covid 1ra dosis,2022-01-01,2977,2780,92,116,3069,2896,5965
SAN JAVIER(BNI),otras vacunaciones,covid 1ra dosis,2022-01-01,67,50,18,18,85,68,153
SAN JAVIER(STC),otras vacunaciones,covid 1ra dosis,2022-01-01,882,778,0,0,882,778,1660
SAN JOAQUIN,otras vacunaciones,covid 1ra dosis,2022-01-01,193,167,0,0,193,167,360
SAN JOSE DE CHIQUITOS,otras vacunaciones,covid 1ra dosis,2022-01-01,904,740,42,19,946,759,1705
SAN JUAN DE YAPACANI,otras vacunaciones,covid 1ra dosis,2022-01-01,301,349,0,0,301,349,650
SAN JULIAN,otras vacunaciones,covid 1ra dosis,2022-01-01,1216,1185,18,10,1234,1195,2429
SAN LORENZO(PND),otras vacunaciones,covid 1ra dosis,2022-01-01,129,115,63,70,192,185,377
SAN LORENZO(TJA),otras vacunaciones,covid 1ra dosis,2022-01-01,1023,891,44,47,1067,938,2005
SAN LUCAS,otras vacunaciones,covid 1ra dosis,2022-01-01,1258,1220,0,0,1258,1220,2478
SAN MATIAS,otras vacunaciones,covid 1ra dosis,2022-01-01,1201,1301,207,223,1408,1524,2932
SAN MIGUEL DE VELASCO,otras vacunaciones,covid 1ra dosis,2022-01-01,410,297,287,209,697,506,1203
SAN PABLO DE LIPEZ,otras vacunaciones,covid 1ra dosis,2022-01-01,31,38,3,5,34,43,77
SAN PEDRO,otras vacunaciones,covid 1ra dosis,2022-01-01,282,245,11,11,293,256,549
SAN PEDRO DE BUENA VISTA,otras vacunaciones,covid 1ra dosis,2022-01-01,372,309,35,38,407,347,754
SAN PEDRO DE CURAHUARA,otras vacunaciones,covid 1ra dosis,2022-01-01,96,96,60,44,156,140,296
SAN PEDRO DE MACHA,otras vacunaciones,covid 1ra dosis,2022-01-01,226,119,62,57,288,176,464
SAN PEDRO DE TIQUINA,otras vacunaciones,covid 1ra dosis,2022-01-01,212,165,39,38,251,203,454
SAN PEDRO(PND),otras vacunaciones,covid 1ra dosis,2022-01-01,0,0,109,114,109,114,223
SAN RAFAEL,otras vacunaciones,covid 1ra dosis,2022-01-01,342,243,0,1,342,244,586
SAN RAMON BENI,otras vacunaciones,covid 1ra dosis,2022-01-01,300,268,0,0,300,268,568
SAN RAMON SCZ,otras vacunaciones,covid 1ra dosis,2022-01-01,352,352,0,0,352,352,704
SANTA ANA,otras vacunaciones,covid 1ra dosis,2022-01-01,244,234,0,0,244,234,478
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid 1ra dosis,2022-01-01,46643,45678,16121,15979,62764,61657,124421
SANTA ROSA,otras vacunaciones,covid 1ra dosis,2022-01-01,275,253,66,57,341,310,651
SANTA ROSA DEL SARA,otras vacunaciones,covid 1ra dosis,2022-01-01,626,556,0,0,626,556,1182
SANTIAGO DE CALLAPA,otras vacunaciones,covid 1ra dosis,2022-01-01,140,161,0,2,140,163,303
SANTIAGO DE HUARI,otras vacunaciones,covid 1ra dosis,2022-01-01,104,129,138,126,242,255,497
SANTIAGO DE HUATA,otras vacunaciones,covid 1ra dosis,2022-01-01,338,302,44,21,382,323,705
SANTIAGO DE MACHACA,otras vacunaciones,covid 1ra dosis,2022-01-01,15,22,202,170,217,192,409
SANTIVAÑES,otras vacunaciones,covid 1ra dosis,2022-01-01,987,871,2,0,989,871,1860
SANTUARIO DE QUILLACAS,otras vacunaciones,covid 1ra dosis,2022-01-01,80,90,5,2,85,92,177
SAPAHAQUI,otras vacunaciones,covid 1ra dosis,2022-01-01,443,363,53,49,496,412,908
SENA,otras vacunaciones,covid 1ra dosis,2022-01-01,1,1,157,133,158,134,292
SHINAOTA,otras vacunaciones,covid 1ra dosis,2022-01-01,923,687,5,5,928,692,1620
SICA SICA (VILLA AROMA),otras vacunaciones,covid 1ra dosis,2022-01-01,656,719,115,99,771,818,1589
SICAYA,otras vacunaciones,covid 1ra dosis,2022-01-01,114,82,16,7,130,89,219
