,group,variable,month,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS DENTRO,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS DENTRO,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS FUERA,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS FUERA,TOTALES,TOTALES,TOTALES
BOLPEBRA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,0,1,0,0,0,1,1
BOYUIBE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,4,5,0,0,4,5,9
BUENA VISTA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,4,1,0,0,4,1,5
CABEZAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,25,34,0,0,25,34,59
CAJUATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,0,2,0,0,0,2,2
CALAMARCA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,2,1,2,1,4,2,6
CAMIRI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,62,86,23,33,85,119,204
CAPINOTA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,1,3,0,0,1,3,4
CARACOLLO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,2,1,0,1,2,2,4
CARANAVI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,3,13,13,11,16,24,40
CARAPARI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,0,0,20,45,20,45,65
CARMEN RIVERO TORREZ,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,16,24,0,0,16,24,40
CHALLAPATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,5,5,0,1,5,6,11
CHARAGUA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,3,3,1,8,4,11,15
CHOQUE COTA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,0,0,1,3,1,3,4
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,3,9,2,4,5,13,18
CHUMA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,6,6,2,2,8,8,16
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,1,0,2,3,3,3,6
CLIZA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,1,4,0,2,1,6,7
COBIJA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,35,55,20,20,55,75,130
COCHABAMBA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,305,355,264,359,569,714,1283
COLCAPIRHUA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,4,3,0,1,4,4,8
COLPA BELGICA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,5,17,0,0,5,17,22
COLQUECHACA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,4,1,0,0,4,1,5
COLQUENCHA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,1,2,7,3,8,5,13
COLQUIRI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,4,13,5,10,9,23,32
COMARAPA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,22,37,0,10,22,47,69
COMBAYA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,0,0,0,1,0,1,1
CONCEPCION,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,25,59,36,29,61,88,149
COPACABANA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,4,0,0,2,4,2,6
CORIPATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,3,5,7,4,10,9,19
COROICO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,3,2,2,2,5,4,9
COTOCA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,32,69,26,4,58,73,131
CUATRO CAÑADAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,5,10,30,51,35,61,96
CUEVO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,4,12,1,1,5,13,18
EL ALTO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,74,114,21,32,95,146,241
EL PUENTE(STC),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,2,8,2,1,4,9,13
EL PUENTE(TJA),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,1,2,0,0,1,2,3
EL TORNO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,89,144,0,0,89,144,233
EL VILLAR,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,4,1,0,1,4,2,6
ENTRE RIOS TRJ,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,6,3,0,0,6,3,9
EUCALIPTUS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,0,1,2,2,2,3,5
FERNANDEZ ALONSO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,12,10,2,1,14,11,25
FILADELFIA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,0,0,0,1,0,1,1
GAIOC JATUN AYLLU YURA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,1,5,2,2,3,7,10
GENERAL SAAVEDRA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,9,7,0,1,9,8,17
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,8,10,3,11,11,21,32
GUANAY,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,5,6,25,33,30,39,69
GUAQUI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,1,0,2,2,3,2,5
GUAYARAMERIN,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,66,93,5,12,71,105,176
GUTIERREZ,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,0,3,0,0,0,3,3
HUACARETA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,4,6,0,0,4,6,10
HUANUNI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,4,2,0,0,4,2,6
HUARACAJE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,5,2,0,0,5,2,7
HUARINA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,0,0,1,2,1,2,3
HUAYLLAMARCA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,1,1,1,2,2,3,5
ICHOCA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,0,1,0,0,0,1,1
INCAHUASI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,5,2,11,22,16,24,40
IRUPANA (VILLA DE LANZA),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,2,1,1,3,3,4,7
IXIAMAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,12,8,3,1,15,9,24
JESUS DE MACHACA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,4,9,0,5,4,14,18
LA ASUNTA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,45,38,9,4,54,42,96
LA GUARDIA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,28,34,54,77,82,111,193
LA PAZ,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,380,527,174,202,554,729,1283
LAGUNILLAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,12,17,0,0,12,17,29
LAJA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,5,9,0,0,5,9,14
LAS CARRERAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,1,4,0,0,1,4,5
MAGDALENA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,10,18,0,0,10,18,28
MAIRANA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,12,56,2,1,14,57,71
MAPIRI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,0,1,0,0,0,1,1
MECAPACA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,2,1,0,0,2,1,3
MINEROS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,92,157,3,2,95,159,254
MIZQUE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,2,2,0,0,2,2,4
MOCOMOCO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,0,1,33,24,33,25,58
MOJOCOYA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,2,2,0,0,2,2,4
MONTEAGUDO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,42,67,0,0,42,67,109
MONTERO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,379,395,181,170,560,565,1125
MORO MORO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,0,0,3,3,3,3,6
OKINAWA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,3,11,1,2,4,13,17
ORURO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,47,72,50,108,97,180,277
PAILON,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,20,25,6,10,26,35,61
PALCA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,15,19,2,1,17,20,37
PALOS BLANCOS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,1,5,0,0,1,5,6
PAMPA GRANDE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,7,10,4,7,11,17,28
PATACAMAYA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,3,0,3,7,6,7,13
PELECHUCO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,1,0,0,0,1,0,1
POCOATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,1,0,0,1,1,1,2
POJO (CBBA),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,7,2,0,3,7,5,12
PORCO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,0,0,0,3,0,3,3
POROMA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,2,7,1,3,3,10,13
PORONGO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,49,63,5,7,54,70,124
PORTACHUELO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,219,227,0,0,219,227,446
PORVENIR,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,7,6,0,0,7,6,13
POSTRER VALLE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,1,2,0,0,1,2,3
POTOSI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,70,12,0,2,70,14,84
PRESTO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,1,0,0,0,1,0,1
PUCARA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,1,2,0,0,1,2,3
PUERTO CARABUCO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,2,3,3,2,5,5,10
PUERTO PEREZ,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,1,2,0,0,1,2,3
PUERTO QUIJARRO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,11,15,0,0,11,15,26
PUERTO RICO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,5,6,3,0,8,6,14
PUERTO SUAREZ,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,143,200,1,1,144,201,345
PUERTO VILLARROEL,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,1,0,0,0,1,0,1
PUNA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,2,3,0,3,2,6,8
PUNATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,3,9,4,11,7,20,27
QUILLACOLLO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,23,25,16,22,39,47,86
QUIME,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,2,5,11,20,13,25,38
REYES,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,2,2,0,0,2,2,4
RIBERALTA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,58,95,0,0,58,95,153
ROBORE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,15,5,0,0,15,5,20
RURRENABAQUE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,3,3,0,2,3,5,8
SACABA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,3,5,11,23,14,28,42
SACACA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,0,0,2,1,2,1,3
SAIPINA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,0,4,0,0,0,4,4
SAMAIPATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,5,4,0,0,5,4,9
SAN ANDRES,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,4,7,2,2,6,9,15
SAN ANDRES DE MACHACA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,0,0,12,10,12,10,22
SAN ANTONIO DE LOMERIO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,0,1,0,4,0,5,5
SAN BORJA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,16,37,10,23,26,60,86
SAN CARLOS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,6,10,0,0,6,10,16
SAN IGNACIO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,4,3,0,0,4,3,7
SAN IGNACIO DE VELASCO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,119,245,0,0,119,245,364
SAN JAVIER(BNI),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,7,0,0,0,7,0,7
SAN JOSE DE CHIQUITOS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,16,3,7,3,23,6,29
SAN JUAN DE YAPACANI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,29,30,5,9,34,39,73
SAN JULIAN,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,26,33,0,0,26,33,59
SAN LORENZO(PND),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,3,5,5,4,8,9,17
SAN LORENZO(TJA),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,1,1,0,0,1,1,2
SAN MATIAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,16,10,0,0,16,10,26
SAN PEDRO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,2,7,22,13,24,20,44
SAN PEDRO DE BUENA VISTA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,0,4,1,1,1,5,6
SAN PEDRO DE CURAHUARA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,0,4,1,2,1,6,7
SAN PEDRO DE MACHA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,6,7,1,0,7,7,14
SAN PEDRO DE TIQUINA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,1,1,0,0,1,1,2
SAN RAFAEL,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,23,43,0,0,23,43,66
SAN RAMON BENI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,6,11,3,9,9,20,29
SAN RAMON SCZ,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,10,12,0,0,10,12,22
SANTA ANA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,10,18,0,0,10,18,28
SANTA CRUZ DE LA SIERRA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,3178,4561,1017,1219,4195,5780,9975
SANTA ROSA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,6,3,0,0,6,3,9
SANTA ROSA DEL SARA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,14,20,0,0,14,20,34
SANTIAGO DE HUARI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,0,0,1,0,1,0,1
SANTIAGO DE HUATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,1,2,0,0,1,2,3
SICA SICA (VILLA AROMA),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,4,3,0,0,4,3,7
SOPACHUY,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,1,0,0,0,1,0,1
SORATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,3,3,3,1,6,4,10
SUCRE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,53,105,7,5,60,110,170
TACACOMA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,3,2,9,8,12,10,22
TACOBAMBA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,0,0,0,1,0,1,1
TAHUA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,0,0,1,1,1,1,2
TARABUCO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,5,7,1,5,6,12,18
TARACO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,0,0,3,9,3,9,12
TARIJA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,32,43,0,4,32,47,79
TARVITA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,0,1,1,2,1,3,4
TIAHUANACU,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,0,0,3,3,3,3,6
TIPUANI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,2,0,0,0,2,0,2
TIQUIPAYA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,0,0,0,1,0,1,1
TOCO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,2,2,0,0,2,2,4
TOLEDO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,2,2,0,0,2,2,4
TOMAVE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,1,3,0,0,1,3,4
TOMINA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,0,4,5,3,5,7,12
TORO TORO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,0,1,0,0,0,1,1
TOTORA(CBBA),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,1,7,0,0,1,7,8
TRIGAL,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,0,0,4,4,4,4,8
TRINIDAD,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,105,143,0,0,105,143,248
TUPIZA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,7,17,0,0,7,17,24
UNCIA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,2,6,1,2,3,8,11
URIONDO (A. CONCEPCION),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,0,9,1,10,1,19,20
URUBICHA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,0,1,0,0,0,1,1
UYUNI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,12,12,0,0,12,12,24
VACAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,20,20,14,8,34,28,62
VALLEGRANDE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,37,78,17,32,54,110,164
VIACHA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,43,58,6,11,49,69,118
VILA VILA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,0,0,2,2,2,2,4
VILLA CHARCAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,0,0,11,19,11,19,30
VILLA MONTES,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,26,43,14,14,40,57,97
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,0,2,0,0,0,2,2
VILLAZON,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,4,13,0,0,4,13,17
VINTO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,3,3,0,0,3,3,6
WALDO BALLIVIAN,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,2,1,0,0,2,1,3
WARNES,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,123,245,31,46,154,291,445
YACO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,0,0,1,0,1,0,1
YACUIBA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,34,28,3,14,37,42,79
YANACACHI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,2,2,1,3,3,5,8
YAPACANI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,41,27,195,228,236,255,491
YOCALLA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,9,15,7,9,16,24,40
YOTALA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-01-01,3,2,0,0,3,2,5
ACHACACHI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-02-01,50,71,78,99,128,170,298
ACHOCALLA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-02-01,14,22,217,5,231,27,258
AIQUILE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-02-01,2,10,23,50,25,60,85
ALALAY,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-02-01,0,0,2,0,2,0,2
ANCORAIMES,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-02-01,1,5,1,1,2,6,8
ANTEQUERA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-02-01,0,0,1,0,1,0,1
ANZALDO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-02-01,0,1,1,0,1,1,2
APOLO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-02-01,8,5,2,16,10,21,31
ARQUE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-02-01,0,0,0,3,0,3,3
ASCENCION DE GUARAYOS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-02-01,2,3,0,0,2,3,5
ATOCHA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-02-01,1,0,1,0,2,0,2
AYO AYO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-02-01,1,1,0,0,1,1,2
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-02-01,1,2,0,0,1,2,3
AZURDUY,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-02-01,7,8,52,55,59,63,122
BATALLAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-02-01,0,1,1,1,1,2,3
BAURES,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-02-01,5,8,29,9,34,17,51
BELEN DE ANDAMARCA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-02-01,0,0,2,0,2,0,2
BELLA FLOR,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-02-01,0,0,2,2,2,2,4
BERMEJO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-02-01,8,2,0,0,8,2,10
BETANZOS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-02-01,1,2,1,8,2,10,12
BOLIVAR,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-02-01,1,0,4,6,5,6,11
BOLPEBRA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-02-01,1,1,0,0,1,1,2
BUENA VISTA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-02-01,5,7,0,0,5,7,12
CAIROMA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-02-01,3,3,0,0,3,3,6
CAJUATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-02-01,8,17,1,1,9,18,27
CALAMARCA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2022-02-01,1,2,1,5,2,7,9
