,group,variable,month,17.22 ANTIAMARÍLICA ( DOSIS ÚNICA) DENTRO,17.22 ANTIAMARÍLICA ( DOSIS ÚNICA) DENTRO,17.22 ANTIAMARÍLICA ( DOSIS ÚNICA) FUERA,17.22 ANTIAMARÍLICA ( DOSIS ÚNICA) FUERA,TOTALES,TOTALES,TOTALES
COLCAPIRHUA,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,4,6,0,0,4,6,10
"COLCHA ""K""",otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,33,2,0,0,33,2,35
COLQUENCHA,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,4,4,0,0,4,4,8
CONCEPCION,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,0,0,0,1,0,1,1
COTAGAITA,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,0,2,0,0,0,2,2
COTOCA,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,11,30,0,0,11,30,41
CUATRO CAÑADAS,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,0,1,0,0,0,1,1
EL ALTO,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,36,29,12,11,48,40,88
EL CHORO,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,4,6,0,0,4,6,10
EL TORNO,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,1,4,0,0,1,4,5
ENTRE RIOS TRJ,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,1,0,0,0,1,0,1
ENTRE RIOS CBBA,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,2,4,0,0,2,4,6
ESCOMA,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,0,1,0,0,0,1,1
FILADELFIA,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,0,1,2,1,2,2,4
GENERAL SAAVEDRA,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,0,1,0,0,0,1,1
GUANAY,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,0,0,1,4,1,4,5
GUAYARAMERIN,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,3,0,0,0,3,0,3
HUANUNI,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,4,5,0,0,4,5,9
LA GUARDIA,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,24,43,0,0,24,43,67
LA PAZ,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,34,47,2,0,36,47,83
LAGUNILLAS,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,0,0,0,2,0,2,2
LLALLAGUA,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,6,8,4,7,10,15,25
LLICA,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,0,0,1,1,1,1,2
MAGDALENA,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,0,0,1,4,1,4,5
MAIRANA,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,0,1,0,0,0,1,1
MAPIRI,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,4,2,0,0,4,2,6
MONTEAGUDO,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,2,3,0,0,2,3,5
MONTERO,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,3,5,0,0,3,5,8
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,4,6,4,2,8,8,16
ORURO,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,15,32,0,0,15,32,47
PADILLA,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,3,2,0,0,3,2,5
PALOS BLANCOS,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,5,11,9,1,14,12,26
PATACAMAYA,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,13,4,1,3,14,7,21
POCOATA,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,0,0,0,1,0,1,1
POROMA,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,4,4,0,0,4,4,8
PORONGO,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,0,0,3,5,3,5,8
PORTACHUELO,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,0,1,0,3,0,4,4
PORVENIR,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,0,0,1,0,1,0,1
POTOSI,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,0,5,1,2,1,7,8
PUCARANI,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,0,2,1,0,1,2,3
PUERTO QUIJARRO,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,8,3,1,1,9,4,13
PUERTO SUAREZ,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,1,2,0,0,1,2,3
PUERTO VILLARROEL,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,0,1,0,0,0,1,1
PUNATA,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,9,12,3,3,12,15,27
QUILLACOLLO,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,13,10,28,5,41,15,56
RIBERALTA,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,1,4,162,13,163,17,180
RURRENABAQUE,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,22,1,0,2,22,3,25
SACABA,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,8,9,2,3,10,12,22
SALINAS DE GARCI MENDOZA,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,5,16,0,0,5,16,21
SAN ANTONIO DE LOMERIO,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,1,0,2,3,3,3,6
SAN BORJA,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,11,8,0,0,11,8,19
SAN CARLOS,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,0,1,0,0,0,1,1
SAN IGNACIO,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,0,0,6,4,6,4,10
SAN IGNACIO DE VELASCO,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,14,5,4,3,18,8,26
SAN JAVIER(BNI),otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,0,2,0,0,0,2,2
SAN JOAQUIN,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,1,2,3,5,4,7,11
SAN JULIAN,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,15,13,1,1,16,14,30
SAN MATIAS,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,5,2,0,0,5,2,7
SAN MIGUEL DE VELASCO,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,1,0,0,0,1,0,1
SAN PEDRO DE BUENA VISTA,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,0,0,0,1,0,1,1
SANTA ANA,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,1,1,0,0,1,1,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,488,445,2,1,490,446,936
SANTA ROSA DEL SARA,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,2,2,0,0,2,2,4
SENA,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,3,3,0,0,3,3,6
SORATA,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,1,2,4,1,5,3,8
SUCRE,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,0,6,0,0,0,6,6
TACACOMA,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,1,2,2,5,3,7,10
TARIJA,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,12,11,0,0,12,11,23
TIQUIPAYA,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,15,8,8,20,23,28,51
TOCO,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,2,0,0,0,2,0,2
TORO TORO,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,2,2,0,0,2,2,4
TRINIDAD,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,22,16,20,0,42,16,58
TUPIZA,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,1,6,0,0,1,6,7
UNCIA,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,1,0,0,0,1,0,1
VILA VILA,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,0,0,1,6,1,6,7
VILLA MONTES,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,12,7,4,6,16,13,29
VILLA RIVERO,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,1,2,0,0,1,2,3
VILLA TUNARI,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,4,2,0,0,4,2,6
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,3,0,0,0,3,0,3
VILLAZON,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,4,11,0,0,4,11,15
VINTO,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,1,5,5,17,6,22,28
VITICHI,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,0,1,2,2,2,3,5
WARNES,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,9,6,0,0,9,6,15
YACUIBA,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,12,14,10,1,22,15,37
YAPACANI,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,11,8,2,1,13,9,22
YUNCHARA,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,4,5,0,0,4,5,9
ZUDAÑEZ,otras vacunaciones,antiamarilica ( dosis unica),2022-01-01,0,1,0,0,0,1,1
ACHACACHI,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,12,7,0,0,12,7,19
AIQUILE,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,1,2,1,3,2,5,7
APOLO,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,0,2,0,0,0,2,2
ARAMPAMPA,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,0,0,1,0,1,0,1
ASCENCION DE GUARAYOS,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,24,3,0,0,24,3,27
ATOCHA,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,3,2,0,0,3,2,5
BAURES,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,6,7,0,0,6,7,13
BERMEJO,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,2,3,0,0,2,3,5
BETANZOS,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,0,0,1,1,1,1,2
BUENA VISTA,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,0,1,0,0,0,1,1
CABEZAS,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,1,4,28,1,29,5,34
CAMARGO,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,8,4,0,0,8,4,12
CAMIRI,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,2,0,0,0,2,0,2
CARANAVI,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,16,7,0,0,16,7,23
CARAPARI,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,0,4,0,0,0,4,4
CHALLAPATA,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,21,1,0,1,21,2,23
CHARAGUA,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,2,2,0,0,2,2,4
CHUA COCANI,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,0,0,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,4,3,2,5,6,8,14
COBIJA,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,65,59,146,24,211,83,294
COCAPATA,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,0,1,1,0,1,1,2
COCHABAMBA,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,91,115,0,1,91,116,207
COLCAPIRHUA,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,4,3,16,3,20,6,26
"COLCHA ""K""",otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,24,4,1,4,25,8,33
COLOMI,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,1,1,25,0,26,1,27
COLQUENCHA,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,1,0,0,0,1,0,1
CONCEPCION,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,7,7,7,9,14,16,30
COROICO,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,4,10,0,0,4,10,14
CORQUE,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,50,0,0,0,50,0,50
COTAGAITA,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,1,3,0,0,1,3,4
COTOCA,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,4,9,0,0,4,9,13
CUATRO CAÑADAS,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,0,3,0,1,0,4,4
EL ALTO,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,31,57,4,14,35,71,106
EL TORNO,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,4,15,0,0,4,15,19
ENTRE RIOS TRJ,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,11,4,5,0,16,4,20
ENTRE RIOS CBBA,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,2,3,0,0,2,3,5
ESCOMA,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,3,0,2,4,5,4,9
EXALTACION,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,0,0,8,5,8,5,13
FERNANDEZ ALONSO,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,0,0,1,2,1,2,3
GUANAY,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,0,0,3,6,3,6,9
GUAYARAMERIN,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,1,0,0,0,1,0,1
GUTIERREZ,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,0,4,0,0,0,4,4
HUACARETA,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,1,0,0,0,1,0,1
HUANUNI,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,3,5,4,7,7,12,19
IRUPANA (VILLA DE LANZA),otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,0,1,1,0,1,1,2
LA GUARDIA,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,23,31,8,17,31,48,79
LA PAZ,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,52,77,26,34,78,111,189
LLALLAGUA,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,14,5,19,22,33,27,60
MACHARETI,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,0,0,0,1,0,1,1
MAGDALENA,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,0,0,2,1,2,1,3
MOCOMOCO,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,0,0,1,5,1,5,6
MONTEAGUDO,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,2,1,0,0,2,1,3
MONTERO,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,40,26,32,19,72,45,117
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,2,4,1,7,3,11,14
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,0,0,1,0,1,0,1
ORURO,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,31,53,13,7,44,60,104
PAILON,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,1,2,2,3,3,5,8
PALOS BLANCOS,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,7,2,12,12,19,14,33
PATACAMAYA,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,9,14,0,1,9,15,24
PORONGO,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,0,1,0,0,0,1,1
POTOSI,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,23,31,1,4,24,35,59
PUERTO ACOSTA,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,1,2,3,6,4,8,12
PUERTO CARABUCO,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,0,0,5,1,5,1,6
PUERTO RICO,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,2,0,0,0,2,0,2
PUERTO SUAREZ,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,1,1,0,0,1,1,2
PUERTO VILLARROEL,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,8,7,1,0,9,7,16
PUNATA,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,8,11,0,1,8,12,20
QUILLACOLLO,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,17,9,58,7,75,16,91
REYES,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,4,9,0,0,4,9,13
RIBERALTA,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,4,3,210,0,214,3,217
RURRENABAQUE,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,0,0,179,3,179,3,182
SACABA,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,9,11,1,11,10,22,32
SACACA,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,0,2,2,2,2,4,6
SALINAS DE GARCI MENDOZA,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,3,6,2,1,5,7,12
SAN ANTONIO DE LOMERIO,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,4,3,0,3,4,6,10
SAN BORJA,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,7,7,11,13,18,20,38
SAN BUENA VENTURA,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,1,5,0,0,1,5,6
SAN IGNACIO DE VELASCO,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,20,11,47,20,67,31,98
SAN JAVIER(BNI),otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,1,0,0,0,1,0,1
SAN JOAQUIN,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,15,0,3,5,18,5,23
SAN JOSE DE CHIQUITOS,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,1,2,4,1,5,3,8
SAN JULIAN,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,7,25,1,2,8,27,35
SAN LORENZO(PND),otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,0,0,7,5,7,5,12
SAN LORENZO(TJA),otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,2,0,0,0,2,0,2
SAN MATIAS,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,1,8,0,0,1,8,9
SAN MIGUEL DE VELASCO,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,4,4,0,0,4,4,8
SAN PEDRO,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,0,1,0,0,0,1,1
SAN RAFAEL,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,4,2,0,0,4,2,6
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,488,531,97,78,585,609,1194
SANTA ROSA,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,1,2,0,0,1,2,3
SANTUARIO DE QUILLACAS,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,0,0,0,5,0,5,5
SENA,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,0,0,21,37,21,37,58
SHINAOTA,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,9,0,0,0,9,0,9
SICA SICA (VILLA AROMA),otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,0,0,1,2,1,2,3
SORACACHI,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,0,0,1,1,1,1,2
SUCRE,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,21,15,0,1,21,16,37
TACACOMA,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,7,10,0,0,7,10,17
TARATA,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,1,1,0,0,1,1,2
TARIJA,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,14,17,0,0,14,17,31
TIQUIPAYA,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,11,15,7,8,18,23,41
TORO TORO,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,0,0,4,1,4,1,5
TOTORA(CBBA),otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,0,2,0,0,0,2,2
TRINIDAD,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,27,15,4,8,31,23,54
TUPIZA,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,29,14,3,1,32,15,47
UNCIA,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,0,8,4,0,4,8,12
UYUNI,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,11,3,0,0,11,3,14
VACAS,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,2,3,4,12,6,15,21
VIACHA,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,2,0,0,0,2,0,2
VILA VILA,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,0,0,6,9,6,9,15
VILLA MONTES,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,22,3,5,5,27,8,35
VILLA TUNARI,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,1,6,0,0,1,6,7
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,0,1,0,0,0,1,1
VILLAZON,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,4,11,0,0,4,11,15
VINTO,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,7,2,5,11,12,13,25
VITICHI,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,1,4,0,0,1,4,5
WARNES,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,21,9,55,3,76,12,88
YACUIBA,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,11,13,13,3,24,16,40
YAPACANI,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,5,11,5,2,10,13,23
YUNCHARA,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,1,1,0,0,1,1,2
ZUDAÑEZ,otras vacunaciones,antiamarilica ( dosis unica),2022-02-01,0,0,1,3,1,3,4
ACHACACHI,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,3,12,10,2,13,14,27
AIQUILE,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,1,0,2,0,3,0,3
ALTO BENI,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,30,24,42,59,72,83,155
ANCORAIMES,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,3,8,6,1,9,9,18
ARANI,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,1,2,2,0,3,2,5
ASCENCION DE GUARAYOS,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,8,3,0,0,8,3,11
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,0,1,2,1,2,2,4
BAURES,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,8,5,4,3,12,8,20
BELLA FLOR,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,0,0,10,6,10,6,16
BERMEJO,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,6,3,0,1,6,4,10
BUENA VISTA,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,0,0,0,3,0,3,3
CABEZAS,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,2,2,0,0,2,2,4
"CAIZA ""D""",otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,0,2,0,0,0,2,2
CAMARGO,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,8,3,1,0,9,3,12
CAMIRI,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,5,9,0,0,5,9,14
CAPINOTA,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,3,3,0,0,3,3,6
CARANAVI,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,24,18,110,130,134,148,282
CARAPARI,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,2,3,6,10,8,13,21
CHALLAPATA,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,1,2,0,0,1,2,3
CHARAGUA,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,26,4,1,0,27,4,31
CHIMORE,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,0,0,5,6,5,6,11
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,3,6,0,1,3,7,10
COBIJA,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,36,38,32,40,68,78,146
COCAPATA,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,1,0,0,1,1,1,2
COCHABAMBA,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,76,109,0,9,76,118,194
COLCAPIRHUA,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,5,6,12,20,17,26,43
"COLCHA ""K""",otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,7,13,0,0,7,13,20
COLPA BELGICA,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,1,0,0,0,1,0,1
COLQUENCHA,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,0,0,4,3,4,3,7
