,group,variable,month,VPH (NIÑAS QUE CUMPLIRAN 10 AÑOS) 1RA. DOSIS DENTRO,VPH (NIÑAS QUE CUMPLIRAN 10 AÑOS) 1RA. DOSIS DENTRO,VPH (NIÑAS QUE CUMPLIRAN 10 AÑOS) 1RA. DOSIS FUERA,VPH (NIÑAS QUE CUMPLIRAN 10 AÑOS) 1RA. DOSIS FUERA,TOTALES,TOTALES,TOTALES
COCAPATA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-01-01,0,1,0,1,0,2,2
COCHABAMBA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-01-01,0,22,0,0,0,22,22
COLCAPIRHUA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-01-01,0,2,0,3,0,5,5
COLOMI,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-01-01,0,1,0,0,0,1,1
COLQUECHACA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-01-01,0,1,0,2,0,3,3
CORIPATA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-01-01,0,1,0,0,0,1,1
CUEVO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-01-01,0,0,0,3,0,3,3
DESAGUADERO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-01-01,0,0,0,1,0,1,1
EL ALTO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-01-01,0,26,0,14,0,40,40
EL PUENTE(STC),otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-01-01,0,1,0,0,0,1,1
ENTRE RIOS TRJ,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-01-01,0,1,0,0,0,1,1
FILADELFIA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-01-01,0,1,0,0,0,1,1
GUANAY,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-01-01,0,1,0,0,0,1,1
GUAYARAMERIN,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-01-01,0,2,0,15,0,17,17
IXIAMAS,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-01-01,0,1,0,0,0,1,1
LA PAZ,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-01-01,0,74,0,1,0,75,75
LLALLAGUA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-01-01,0,0,0,2,0,2,2
LLICA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-01-01,0,1,0,0,0,1,1
LORETO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-01-01,0,0,0,5,0,5,5
MONTERO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-01-01,0,2,0,5,0,7,7
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-01-01,0,1,0,0,0,1,1
ORURO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-01-01,0,3,0,18,0,21,21
PAILON,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-01-01,0,2,0,3,0,5,5
PELECHUCO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-01-01,0,1,0,0,0,1,1
PORCO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-01-01,0,0,0,1,0,1,1
PORTACHUELO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-01-01,0,2,0,0,0,2,2
POTOSI,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-01-01,0,23,0,0,0,23,23
PUERTO GONZALO MORENO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-01-01,0,0,0,3,0,3,3
PUERTO SUAREZ,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-01-01,0,2,0,0,0,2,2
PUNATA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-01-01,0,1,0,0,0,1,1
QUILLACOLLO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-01-01,0,11,0,0,0,11,11
RURRENABAQUE,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-01-01,0,1,0,0,0,1,1
SACABA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-01-01,0,7,0,1,0,8,8
SAN BORJA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-01-01,0,2,0,0,0,2,2
SAN CARLOS,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-01-01,0,1,0,0,0,1,1
SAN IGNACIO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-01-01,0,0,0,3,0,3,3
SAN JAVIER(STC),otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-01-01,0,14,0,0,0,14,14
SAN JOSE DE CHIQUITOS,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-01-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-01-01,0,27,0,5,0,32,32
SANTIAGO DE HUARI,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-01-01,0,1,0,1,0,2,2
SUCRE,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-01-01,0,5,0,0,0,5,5
TARIJA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-01-01,0,7,0,6,0,13,13
TIQUIPAYA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-01-01,0,2,0,0,0,2,2
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-01-01,0,1,0,0,0,1,1
TOLEDO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-01-01,0,1,0,0,0,1,1
TORO TORO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-01-01,0,1,0,0,0,1,1
TRINIDAD,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-01-01,0,7,0,10,0,17,17
TUPIZA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-01-01,0,2,0,0,0,2,2
VILLA RIVERO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-01-01,0,0,0,1,0,1,1
VILLAZON,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-01-01,0,1,0,1,0,2,2
VINTO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-01-01,0,2,0,0,0,2,2
WALDO BALLIVIAN,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-01-01,0,1,0,0,0,1,1
WARNES,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-01-01,0,1,0,0,0,1,1
YACUIBA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-01-01,0,0,0,3,0,3,3
YUNCHARA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-01-01,0,0,0,3,0,3,3
ACHACACHI,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,0,0,1,0,1,1
ACHOCALLA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,0,0,4,0,4,4
AIQUILE,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,0,0,2,0,2,2
ANZALDO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,0,0,2,0,2,2
APOLO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,0,0,2,0,2,2
ASCENCION DE GUARAYOS,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,1,0,0,0,1,1
ATOCHA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,1,0,0,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,1,0,0,0,1,1
BELEN DE URMIRI,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,1,0,0,0,1,1
BELLA FLOR,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,1,0,1,0,2,2
BERMEJO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,2,0,0,0,2,2
BETANZOS,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,1,0,0,0,1,1
BOLIVAR,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,0,0,1,0,1,1
CABEZAS,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,0,0,40,0,40,40
CAIROMA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,2,0,0,0,2,2
CALAMARCA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,2,0,0,0,2,2
CAMIRI,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,2,0,0,0,2,2
CARANAVI,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,1,0,0,0,1,1
CARIPUYO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,10,0,16,0,26,26
CHALLAPATA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,1,0,1,0,2,2
CHARAGUA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,0,0,2,0,2,2
CHUMA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,0,0,1,0,1,1
COBIJA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,2,0,13,0,15,15
COCAPATA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,0,0,1,0,1,1
COCHABAMBA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,29,0,85,0,114,114
COLCAPIRHUA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,6,0,8,0,14,14
"COLCHA ""K""",otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,5,0,29,0,34,34
COLQUECHACA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,1,0,2,0,3,3
COMARAPA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,0,0,48,0,48,48
COROICO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,1,0,0,0,1,1
CORQUE,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,2,0,0,0,2,2
COTAGAITA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,2,0,18,0,20,20
CUATRO CAÑADAS,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,3,0,0,0,3,3
CUEVO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,0,0,2,0,2,2
EL ALTO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,80,0,186,0,266,266
EL VILLAR,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,7,0,3,0,10,10
ESMERALDA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,0,0,1,0,1,1
EUCALIPTUS,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,0,0,1,0,1,1
EXALTACION,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,0,0,12,0,12,12
FILADELFIA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,0,0,4,0,4,4
GENERAL SAAVEDRA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,1,0,0,0,1,1
GUANAY,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,0,0,4,0,4,4
GUAYARAMERIN,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,3,0,6,0,9,9
GUTIERREZ,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,1,0,2,0,3,3
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,0,0,1,0,1,1
HUANUNI,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,0,0,3,0,3,3
IXIAMAS,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,0,0,1,0,1,1
LA GUARDIA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,9,0,0,0,9,9
LA PAZ,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,63,0,30,0,93,93
LAS CARRERAS,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,0,0,4,0,4,4
LLALLAGUA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,2,0,6,0,8,8
LORETO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,15,0,0,0,15,15
MAGDALENA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,0,0,10,0,10,10
MAIRANA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,0,0,58,0,58,58
MONTEAGUDO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,54,0,0,0,54,54
MONTERO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,4,0,14,0,18,18
MORO MORO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,0,0,4,0,4,4
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,3,0,8,0,11,11
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,0,0,3,0,3,3
OMEREQUE,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,0,0,13,0,13,13
ORURO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,10,0,89,0,99,99
PADCAYA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,0,0,1,0,1,1
PAILON,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,0,0,12,0,12,12
PALCA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,2,0,1,0,3,3
PALOS BLANCOS,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,0,0,2,0,2,2
PAPEL PAMPA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,0,0,1,0,1,1
PASORAPA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,0,0,3,0,3,3
POJO (CBBA),otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,0,0,1,0,1,1
PORTACHUELO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,1,0,0,0,1,1
POTOSI,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,33,0,1,0,34,34
PUCARANI,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,0,0,7,0,7,7
PUERTO GONZALO MORENO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,0,0,2,0,2,2
PUERTO QUIJARRO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,0,0,5,0,5,5
PUERTO RICO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,0,0,3,0,3,3
PUNATA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,0,0,2,0,2,2
QUILLACOLLO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,7,0,4,0,11,11
QUIME,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,0,0,2,0,2,2
QUIRUSILLAS,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,0,0,1,0,1,1
RAVELO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,1,0,0,0,1,1
REYES,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,4,0,2,0,6,6
RURRENABAQUE,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,2,0,5,0,7,7
SACABA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,6,0,60,0,66,66
SACABAMBA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,0,0,11,0,11,11
SALINAS DE GARCI MENDOZA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,1,0,0,0,1,1
SAN ANDRES DE MACHACA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,0,0,1,0,1,1
SAN ANTONIO DE LOMERIO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,14,0,11,0,25,25
SAN BORJA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,9,0,22,0,31,31
SAN CARLOS,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,0,0,3,0,3,3
SAN IGNACIO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,11,0,0,0,11,11
SAN IGNACIO DE VELASCO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,10,0,1,0,11,11
SAN JAVIER(STC),otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,135,0,0,0,135,135
SAN JOSE DE CHIQUITOS,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,2,0,13,0,15,15
SAN JULIAN,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,87,0,0,0,87,87
SAN LORENZO(TJA),otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,4,0,0,0,4,4
SANTA CRUZ DE LA SIERRA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,185,0,128,0,313,313
SANTIAGO DE HUARI,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,0,0,1,0,1,1
SANTIVAÑES,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,0,0,4,0,4,4
SANTUARIO DE QUILLACAS,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,0,0,1,0,1,1
SAPAHAQUI,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,0,0,13,0,13,13
SENA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,0,0,1,0,1,1
SHINAOTA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,0,0,8,0,8,8
SICA SICA (VILLA AROMA),otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,0,0,4,0,4,4
SIPE SIPE,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,1,0,62,0,63,63
SORACACHI,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,4,0,0,0,4,4
SUCRE,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,12,0,108,0,120,120
TACACOMA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,10,0,10,0,20,20
TARABUCO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,0,0,1,0,1,1
TARIJA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,7,0,2,0,9,9
TEOPONTE,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,0,0,3,0,3,3
TIAHUANACU,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,1,0,0,0,1,1
TIQUIPAYA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,4,0,3,0,7,7
TIRAQUE (CBBA),otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,1,0,50,0,51,51
TOCO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,1,0,11,0,12,12
TOLATA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,0,0,12,0,12,12
TRINIDAD,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,9,0,11,0,20,20
TUPIZA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,1,0,2,0,3,3
UYUNI,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,1,0,0,0,1,1
VACAS,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,0,0,26,0,26,26
VIACHA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,3,0,28,0,31,31
VILA VILA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,0,0,5,0,5,5
VILLA MONTES,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,1,0,3,0,4,4
VILLA RIVERO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,0,0,43,0,43,43
VILLA TUNARI,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,11,0,82,0,93,93
VILLAZON,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,3,0,4,0,7,7
VINTO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,22,0,0,0,22,22
WALDO BALLIVIAN,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,2,0,0,0,2,2
WARNES,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,12,0,2,0,14,14
YACUIBA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-02-01,0,2,0,4,0,6,6
ACHACACHI,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-03-01,0,9,0,43,0,52,52
ACHOCALLA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-03-01,0,0,0,1,0,1,1
AIQUILE,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-03-01,0,3,0,120,0,123,123
ANCORAIMES,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-03-01,0,0,0,36,0,36,36
ANDAMARCA,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-03-01,0,0,0,1,0,1,1
ANZALDO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-03-01,0,0,0,1,0,1,1
APOLO,otras vacunaciones,vph (ninas que cumpliran 10 anos) 1ra. dosis,2022-03-01,0,10,0,9,0,19,19
