,group,variable,month,INFLUENZA ESTACIONAL EN MAYORES DE 60 AÑOS DENTRO,INFLUENZA ESTACIONAL EN MAYORES DE 60 AÑOS DENTRO,INFLUENZA ESTACIONAL EN MAYORES DE 60 AÑOS FUERA,INFLUENZA ESTACIONAL EN MAYORES DE 60 AÑOS FUERA,TOTALES,TOTALES,TOTALES
CAIROMA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,6,0,0,0,6,0,6
CAJUATA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,2,1,0,1,2,2,4
CALAMARCA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,7,5,8,10,15,15,30
CAMIRI,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,53,49,0,0,53,49,102
CAPINOTA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,3,1,3,7,6,8,14
CAQUIAVIRI,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,10,4,4,2,14,6,20
CARACOLLO,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,5,10,10,9,15,19,34
CARANAVI,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,20,15,1,0,21,15,36
CARAPARI,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,0,0,18,24,18,24,42
CARMEN RIVERO TORREZ,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,0,4,0,0,0,4,4
CHALLAPATA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,4,8,6,4,10,12,22
CHAQUI,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,0,1,5,5,5,6,11
CHARAGUA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,1,1,0,0,1,1,2
CHOQUE COTA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,0,0,4,0,4,0,4
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,1,0,1,4,2,4,6
CHUMA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,20,13,47,50,67,63,130
CLIZA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,6,4,2,7,8,11,19
COBIJA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,11,7,1,0,12,7,19
COCHABAMBA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,211,240,39,43,250,283,533
COLCAPIRHUA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,6,4,0,0,6,4,10
COLQUECHACA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,2,1,16,20,18,21,39
COLQUENCHA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,1,0,3,2,4,2,6
COLQUIRI,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,5,4,16,14,21,18,39
COMARAPA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,9,8,0,0,9,8,17
COMBAYA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,2,1,20,16,22,17,39
CONCEPCION,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,8,9,32,32,40,41,81
COPACABANA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,2,1,0,1,2,2,4
CORIPATA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,5,4,14,10,19,14,33
COROICO,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,2,0,1,0,3,0,3
CORQUE,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,11,8,11,10,22,18,40
COTAGAITA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,2,6,10,3,12,9,21
COTOCA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,17,20,0,1,17,21,38
CUATRO CAÑADAS,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,3,2,0,2,3,4,7
CUEVO,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,5,5,1,0,6,5,11
EL ALTO,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,109,93,9,7,118,100,218
EL PUENTE(STC),otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,4,1,1,1,5,2,7
EL PUENTE(TJA),otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,1,0,0,0,1,0,1
EL TORNO,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,45,49,0,0,45,49,94
EUCALIPTUS,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,0,1,7,13,7,14,21
FERNANDEZ ALONSO,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,0,3,0,0,0,3,3
FILADELFIA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,0,0,2,3,2,3,5
GAIOC JATUN AYLLU YURA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,1,1,0,0,1,1,2
GENERAL SAAVEDRA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,1,0,0,0,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,6,4,16,20,22,24,46
GUANAY,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,6,0,10,8,16,8,24
GUAQUI,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,1,1,3,2,4,3,7
GUAYARAMERIN,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,30,22,27,23,57,45,102
GUTIERREZ,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,2,0,1,0,3,0,3
HUANUNI,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,2,2,0,0,2,2,4
HUARACAJE,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,0,1,0,0,0,1,1
HUARINA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,0,0,22,28,22,28,50
HUAYLLAMARCA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,3,3,8,4,11,7,18
HUMANATA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,9,5,0,0,9,5,14
ICHOCA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,0,0,18,19,18,19,37
INCAHUASI,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,1,1,0,0,1,1,2
INQUISIVI,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,0,5,1,0,1,5,6
IRUPANA (VILLA DE LANZA),otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,5,2,8,0,13,2,15
IXIAMAS,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,4,1,1,4,5,5,10
JESUS DE MACHACA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,5,9,3,8,8,17,25
LA ASUNTA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,12,13,3,0,15,13,28
LA GUARDIA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,20,23,0,0,20,23,43
LA PAZ,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,504,538,201,218,705,756,1461
LAGUNILLAS,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,6,5,0,0,6,5,11
LAJA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,11,12,1,1,12,13,25
LAS CARRERAS,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,1,1,0,0,1,1,2
MAGDALENA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,8,18,2,2,10,20,30
MAIRANA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,3,6,1,0,4,6,10
MAPIRI,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,2,1,0,0,2,1,3
MINEROS,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,26,20,0,0,26,20,46
MIZQUE,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,0,1,4,4,4,5,9
MOCOMOCO,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,1,1,10,14,11,15,26
MOJOCOYA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,2,1,0,0,2,1,3
MONTEAGUDO,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,4,7,0,0,4,7,11
MONTERO,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,100,98,518,57,618,155,773
MORO MORO,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,0,0,2,5,2,5,7
OKINAWA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,4,4,3,6,7,10,17
ORURO,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,77,78,55,70,132,148,280
PADCAYA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,0,1,0,0,0,1,1
PAILON,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,5,5,20,22,25,27,52
PALCA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,5,11,7,7,12,18,30
PALOS BLANCOS,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,11,12,0,0,11,12,23
PAMPA GRANDE,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,5,6,6,15,11,21,32
PATACAMAYA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,0,1,0,1,0,2,2
PAZÑA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,1,0,0,0,1,0,1
PELECHUCO,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,2,2,0,0,2,2,4
POCOATA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,0,1,0,1,0,2,2
POJO (CBBA),otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,7,4,5,11,12,15,27
POROMA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,0,3,0,2,0,5,5
PORONGO,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,27,26,15,12,42,38,80
PORTACHUELO,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,45,50,0,0,45,50,95
PORVENIR,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,0,2,0,0,0,2,2
POSTRER VALLE,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,1,0,0,0,1,0,1
POTOSI,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,25,26,0,0,25,26,51
PRESTO,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,0,0,1,1,1,1,2
PUCARA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,0,1,0,0,0,1,1
PUCARANI,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,1,1,0,0,1,1,2
PUERTO ACOSTA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,2,0,1,2,3,2,5
PUERTO PEREZ,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,2,0,9,13,11,13,24
PUERTO QUIJARRO,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,1,1,0,0,1,1,2
PUERTO RICO,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,0,3,1,1,1,4,5
PUERTO SUAREZ,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,48,46,2,0,50,46,96
PUERTO VILLARROEL,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,1,0,0,0,1,0,1
PUNA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,1,0,2,2,3,2,5
PUNATA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,3,8,4,4,7,12,19
QUIABAYA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,2,5,0,0,2,5,7
QUILLACOLLO,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,9,11,12,22,21,33,54
QUIME,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,2,0,7,4,9,4,13
REYES,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,2,3,0,0,2,3,5
RIBERALTA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,17,9,0,1,17,10,27
ROBORE,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,5,4,0,0,5,4,9
RURRENABAQUE,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,0,3,0,1,0,4,4
SACABA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,24,22,53,58,77,80,157
SACACA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,3,11,25,34,28,45,73
SAIPINA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,2,2,0,9,2,11,13
SALINAS DE GARCI MENDOZA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,6,6,5,1,11,7,18
SAMAIPATA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,7,3,0,0,7,3,10
SAN ANDRES DE MACHACA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,3,7,10,17,13,24,37
SAN ANTONIO DE LOMERIO,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,2,2,0,1,2,3,5
SAN BORJA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,18,14,5,8,23,22,45
SAN CARLOS,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,11,15,2,1,13,16,29
SAN IGNACIO,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,0,0,2,0,2,0,2
SAN IGNACIO DE VELASCO,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,73,95,0,0,73,95,168
SAN JAVIER(BNI),otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,7,0,0,0,7,0,7
SAN JOSE DE CHIQUITOS,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,25,25,1,0,26,25,51
SAN JUAN DE YAPACANI,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,8,16,0,0,8,16,24
SAN JULIAN,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,1,1,0,0,1,1,2
SAN LORENZO(PND),otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,6,4,0,0,6,4,10
SAN LORENZO(TJA),otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,6,9,1,1,7,10,17
SAN MATIAS,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,7,3,0,0,7,3,10
SAN PEDRO,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,0,1,0,3,0,4,4
SAN PEDRO DE BUENA VISTA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,3,5,1,4,4,9,13
SAN PEDRO DE CURAHUARA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,2,1,0,0,2,1,3
SAN PEDRO DE MACHA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,13,15,3,1,16,16,32
SAN PEDRO DE TIQUINA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,3,2,0,0,3,2,5
SAN RAFAEL,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,4,6,0,0,4,6,10
SAN RAMON BENI,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,4,1,0,2,4,3,7
SAN RAMON SCZ,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,1,2,0,0,1,2,3
SANTA ANA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,5,9,0,0,5,9,14
SANTA CRUZ DE LA SIERRA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,1196,1397,161,152,1357,1549,2906
SANTA ROSA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,2,1,0,0,2,1,3
SANTA ROSA DEL SARA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,6,12,0,1,6,13,19
SANTIAGO DE CALLAPA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,0,1,0,0,0,1,1
SANTIAGO DE HUARI,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,0,0,3,5,3,5,8
SANTIAGO DE HUATA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,0,1,0,0,0,1,1
SANTUARIO DE QUILLACAS,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,1,1,3,0,4,1,5
SAPAHAQUI,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,6,5,0,0,6,5,11
SENA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,1,0,0,0,1,0,1
SICA SICA (VILLA AROMA),otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,4,6,0,0,4,6,10
SOPACHUY,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,9,10,0,0,9,10,19
SORACACHI,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,2,1,0,0,2,1,3
SUCRE,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,38,40,2,4,40,44,84
TACACOMA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,3,3,3,3,6,6,12
TACOBAMBA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,7,5,12,13,19,18,37
TAHUA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,0,0,3,5,3,5,8
TARABUCO,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,46,47,38,38,84,85,169
TARACO,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,0,0,7,8,7,8,15
TARIJA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,64,76,0,35,64,111,175
TARVITA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,0,0,2,3,2,3,5
TEOPONTE,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,1,1,1,0,2,1,3
TIAHUANACU,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,1,3,0,4,1,7,8
TINGUIPAYA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,1,0,1,1,2,1,3
TIPUANI,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,3,0,2,2,5,2,7
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,12,20,0,1,12,21,33
TOCO,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,1,2,1,0,2,2,4
TOLATA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,1,0,2,0,3,0,3
TOLEDO,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,6,4,0,0,6,4,10
TOMAVE,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,2,4,0,0,2,4,6
TOMINA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,3,5,11,9,14,14,28
TORO TORO,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,17,19,0,1,17,20,37
TOTORA(CBBA),otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,7,5,0,0,7,5,12
TRINIDAD,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,66,76,0,0,66,76,142
TUPIZA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,6,5,0,0,6,5,11
UNCIA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,0,3,0,0,0,3,3
URIONDO (A. CONCEPCION),otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,0,0,1,1,1,1,2
URUBICHA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,0,2,0,0,0,2,2
UYUNI,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,5,5,0,0,5,5,10
VACAS,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,32,50,26,30,58,80,138
VALLEGRANDE,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,38,26,9,11,47,37,84
VIACHA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,34,36,5,4,39,40,79
VILA VILA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,0,0,3,3,3,3,6
VILLA CHARCAS,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,0,0,1,4,1,4,5
VILLA MONTES,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,6,13,2,3,8,16,24
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,1,1,1,0,2,1,3
VILLAZON,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,5,1,2,4,7,5,12
WALDO BALLIVIAN,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,3,6,0,0,3,6,9
WARNES,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,48,35,1,2,49,37,86
YACO,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,8,2,8,4,16,6,22
YACUIBA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,20,14,7,9,27,23,50
YAMPARAEZ,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,5,5,0,0,5,5,10
YANACACHI,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,4,4,5,4,9,8,17
YAPACANI,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,6,2,48,26,54,28,82
YOCALLA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,0,1,0,1,0,2,2
YOTALA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-01-01,0,1,0,0,0,1,1
ACACIO,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-02-01,0,0,5,5,5,5,10
ACHACACHI,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-02-01,32,27,48,62,80,89,169
ACHOCALLA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-02-01,10,18,2,0,12,18,30
AIQUILE,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-02-01,26,27,173,243,199,270,469
ALALAY,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-02-01,0,0,3,3,3,3,6
ANCORAIMES,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-02-01,0,0,28,28,28,28,56
ANDAMARCA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-02-01,0,1,5,3,5,4,9
ANTEQUERA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-02-01,0,0,3,1,3,1,4
ANZALDO,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-02-01,1,2,15,18,16,20,36
APOLO,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-02-01,17,16,19,17,36,33,69
ARQUE,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-02-01,0,0,9,15,9,15,24
ATOCHA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-02-01,1,1,2,3,3,4,7
AUCAPATA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-02-01,0,2,0,0,0,2,2
AYATA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-02-01,7,21,0,0,7,21,28
AYO AYO,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-02-01,4,6,0,0,4,6,10
AZURDUY,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-02-01,0,0,11,7,11,7,18
BATALLAS,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-02-01,7,3,5,4,12,7,19
BAURES,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-02-01,8,9,10,17,18,26,44
BELEN DE ANDAMARCA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-02-01,0,0,0,1,0,1,1
BELLA FLOR,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-02-01,1,0,0,0,1,0,1
BERMEJO,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-02-01,2,1,0,0,2,1,3
BETANZOS,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-02-01,8,5,10,15,18,20,38
BUENA VISTA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-02-01,6,9,0,0,6,9,15
CABEZAS,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-02-01,4,4,0,0,4,4,8
CAIROMA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-02-01,8,11,9,12,17,23,40
CAJUATA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-02-01,3,1,1,1,4,2,6
CALAMARCA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-02-01,9,7,11,24,20,31,51
CAMARGO,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-02-01,1,1,30,82,31,83,114
CAMIRI,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-02-01,8,8,0,1,8,9,17
CAPINOTA,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-02-01,1,4,35,46,36,50,86
CAQUIAVIRI,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-02-01,8,6,7,8,15,14,29
CARACOLLO,otras vacunaciones,influenza estacional en mayores de 60 anos,2022-02-01,2,1,34,54,36,55,91
