,group,variable,month,17.19 HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE ENF RENALES DENTRO,17.19 HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE ENF RENALES DENTRO,17.19 HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE ENF RENALES FUERA,17.19 HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE ENF RENALES FUERA,TOTALES,TOTALES,TOTALES
VILLA MONTES,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-01-01,0,1,0,0,0,1,1
VILLA TUNARI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-01-01,0,9,0,0,0,9,9
YAPACANI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-01-01,0,1,0,0,0,1,1
ALTO BENI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-02-01,1,0,0,0,1,0,1
COCHABAMBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-02-01,14,11,2,0,16,11,27
CORIPATA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-02-01,1,0,0,0,1,0,1
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-02-01,10,44,40,0,50,44,94
EL PUENTE(STC),otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-02-01,0,1,0,0,0,1,1
FERNANDEZ ALONSO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-02-01,3,1,0,0,3,1,4
GAIOC JATUN AYLLU YURA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-02-01,0,0,3,4,3,4,7
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-02-01,10,6,0,0,10,6,16
LLALLAGUA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-02-01,0,0,0,4,0,4,4
MONTERO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-02-01,6,5,7,5,13,10,23
ORURO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-02-01,10,17,0,0,10,17,27
PUERTO VILLARROEL,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-02-01,3,1,0,0,3,1,4
ROBORE,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-02-01,0,6,0,0,0,6,6
SACABA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-02-01,0,0,1,0,1,0,1
SAN ANTONIO DE LOMERIO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-02-01,2,1,0,0,2,1,3
SAN BORJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-02-01,5,5,0,0,5,5,10
SAN IGNACIO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-02-01,1,0,0,0,1,0,1
SAN MATIAS,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-02-01,5,6,0,0,5,6,11
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-02-01,6,7,0,0,6,7,13
SANTA ROSA DEL SARA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-02-01,2,1,0,0,2,1,3
SUCRE,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-02-01,3,1,0,0,3,1,4
TAPACARI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-02-01,0,1,0,0,0,1,1
TARIJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-02-01,1,0,0,0,1,0,1
TRINIDAD,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-02-01,1,1,1,0,2,1,3
VACAS,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-02-01,1,2,3,0,4,2,6
VILLA MONTES,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-02-01,1,1,0,0,1,1,2
VILLA TUNARI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-02-01,0,0,1,0,1,0,1
VINTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-02-01,1,1,0,0,1,1,2
YAPACANI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-02-01,0,1,0,0,0,1,1
COCHABAMBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-03-01,0,1,3,0,3,1,4
HUARACAJE,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-03-01,3,2,0,0,3,2,5
GUAYARAMERIN,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-04-01,0,4,0,0,0,4,4
QUILLACOLLO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-04-01,5,8,0,0,5,8,13
RIBERALTA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-04-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-04-01,0,3,0,3,0,6,6
TRINIDAD,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-04-01,11,17,0,0,11,17,28
COCHABAMBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-05-01,1,1,0,0,1,1,2
HUACARETA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-05-01,0,1,0,0,0,1,1
MONTERO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-05-01,0,0,38,0,38,0,38
POTOSI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-05-01,0,7,0,81,0,88,88
SAN IGNACIO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-05-01,0,0,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-05-01,0,1,0,4,0,5,5
SUCRE,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-05-01,0,1,0,0,0,1,1
POCONA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-06-01,1,2,0,0,1,2,3
SAN JOAQUIN,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-06-01,1,0,0,0,1,0,1
TRINIDAD,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-06-01,0,1,0,0,0,1,1
TUPIZA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-06-01,0,0,0,1,0,1,1
CARACOLLO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-07-01,0,0,35,0,35,0,35
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-07-01,0,1,0,0,0,1,1
FILADELFIA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-07-01,0,1,0,0,0,1,1
MONTEAGUDO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-07-01,0,1,0,0,0,1,1
POTOSI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-07-01,0,5,0,0,0,5,5
SUCRE,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-07-01,1,2,0,0,1,2,3
TRINIDAD,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-07-01,13,11,0,0,13,11,24
CARACOLLO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-08-01,0,0,2,0,2,0,2
COCHABAMBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-08-01,1,0,0,0,1,0,1
GUAYARAMERIN,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-08-01,1,0,0,0,1,0,1
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-08-01,3,0,0,0,3,0,3
PAMPA AULLAGAS,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-08-01,0,1,0,0,0,1,1
PAPEL PAMPA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-08-01,0,0,1,0,1,0,1
POTOSI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-08-01,4,1,0,0,4,1,5
QUILLACOLLO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-08-01,0,3,3,0,3,3,6
SACABA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-08-01,0,0,12,0,12,0,12
SAN MATIAS,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-08-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-08-01,1,1,0,0,1,1,2
SUCRE,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-08-01,2,2,0,0,2,2,4
TARIJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-08-01,2,1,5,2,7,3,10
TRINIDAD,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-08-01,0,0,204,55,204,55,259
BERMEJO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-09-01,0,1,0,0,0,1,1
CARACOLLO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-09-01,0,0,6,0,6,0,6
COCHABAMBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-09-01,10,15,3,0,13,15,28
LA GUARDIA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-09-01,2,8,0,0,2,8,10
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-09-01,13,13,0,0,13,13,26
ORURO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-09-01,5,11,0,0,5,11,16
POTOSI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-09-01,0,1,0,0,0,1,1
QUILLACOLLO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-09-01,3,2,0,0,3,2,5
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-09-01,3,3,0,0,3,3,6
SENA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-09-01,0,1,0,1,0,2,2
SUCRE,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-09-01,10,10,0,0,10,10,20
TARIJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-09-01,0,1,0,0,0,1,1
TRINIDAD,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-09-01,2,7,0,0,2,7,9
TUPIZA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-09-01,0,5,0,0,0,5,5
BERMEJO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-10-01,1,0,0,0,1,0,1
"CAIZA ""D""",otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-10-01,0,1,0,0,0,1,1
CKOCHAS,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-10-01,0,0,3,6,3,6,9
COCHABAMBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-10-01,2,0,0,0,2,0,2
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-10-01,0,9,0,69,0,78,78
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-10-01,6,7,0,0,6,7,13
PORTACHUELO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-10-01,0,1,0,0,0,1,1
POTOSI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-10-01,2,1,0,0,2,1,3
REYES,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-10-01,0,0,0,14,0,14,14
SACABA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-10-01,0,0,7,0,7,0,7
SAN ANTONIO DE LOMERIO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-10-01,1,1,0,0,1,1,2
SAN IGNACIO DE VELASCO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-10-01,1,1,0,0,1,1,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-10-01,7,4,0,0,7,4,11
SUCRE,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-10-01,0,2,0,0,0,2,2
TARIJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-10-01,3,5,0,0,3,5,8
TORO TORO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-10-01,2,0,0,0,2,0,2
TRINIDAD,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-10-01,0,1,0,14,0,15,15
TUPIZA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-10-01,0,0,2,3,2,3,5
VILLA TUNARI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-10-01,0,1,0,0,0,1,1
VILLAZON,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-10-01,0,0,1,0,1,0,1
BERMEJO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-11-01,8,8,0,1,8,9,17
CKOCHAS,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-11-01,0,1,4,0,4,1,5
COCHABAMBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-11-01,0,2,0,0,0,2,2
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-11-01,0,0,1,0,1,0,1
HUACARETA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-11-01,1,0,0,0,1,0,1
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-11-01,21,10,0,0,21,10,31
MONTERO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-11-01,0,1,0,0,0,1,1
POTOSI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-11-01,2,5,0,61,2,66,68
PUERTO VILLARROEL,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-11-01,5,5,0,0,5,5,10
RURRENABAQUE,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-11-01,0,0,1,2,1,2,3
SALINAS DE GARCI MENDOZA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-11-01,1,0,0,0,1,0,1
SAN ANDRES,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-11-01,0,0,0,9,0,9,9
SAN IGNACIO DE VELASCO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-11-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-11-01,5,2,0,0,5,2,7
SENA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-11-01,1,0,0,0,1,0,1
SUCRE,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-11-01,0,4,0,0,0,4,4
TACOPAYA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-11-01,0,2,0,0,0,2,2
TARIJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-11-01,0,1,0,0,0,1,1
TRINIDAD,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-11-01,0,1,0,0,0,1,1
VILLAZON,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-11-01,0,1,0,0,0,1,1
YAPACANI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-11-01,1,1,0,0,1,1,2
COCHABAMBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-12-01,5,0,1,0,6,0,6
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-12-01,6,2,0,0,6,2,8
EL PUENTE(STC),otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-12-01,0,1,0,0,0,1,1
HUARINA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-12-01,0,1,0,0,0,1,1
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-12-01,7,3,0,0,7,3,10
ORURO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-12-01,0,1,0,0,0,1,1
PUERTO RICO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-12-01,0,2,0,0,0,2,2
RIBERALTA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-12-01,1,0,0,0,1,0,1
RURRENABAQUE,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-12-01,0,1,0,0,0,1,1
SAN IGNACIO DE VELASCO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-12-01,2,0,0,0,2,0,2
SAN MATIAS,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-12-01,1,1,0,0,1,1,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-12-01,9,1,0,0,9,1,10
SUCRE,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-12-01,0,1,0,0,0,1,1
TARIJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-12-01,0,1,0,0,0,1,1
TRINIDAD,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-12-01,2,2,0,0,2,2,4
UNCIA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-12-01,0,1,0,0,0,1,1
UYUNI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2022-12-01,0,1,0,0,0,1,1
