,group,variable,month,L 25.1 TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD INICIADO,L 25.1 TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD INICIADO,L 25.1 TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD CONCLUIDO,L 25.1 TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD CONCLUIDO,TOTALES,TOTALES,TOTALES
MONTEAGUDO,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-02-01,0,1,0,0,0,1,1
MONTERO,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-02-01,2,0,1,0,3,0,3
SACABA,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-02-01,0,0,1,1,1,1,2
SAN LUCAS,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-02-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-02-01,2,0,0,0,2,0,2
SHINAOTA,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-02-01,1,0,0,0,1,0,1
SUCRE,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-02-01,0,0,1,0,1,0,1
TUPIZA,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-02-01,1,0,0,0,1,0,1
YACUIBA,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-02-01,0,1,0,0,0,1,1
ALCALA,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-03-01,1,0,0,0,1,0,1
MONTEAGUDO,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-03-01,1,1,0,0,1,1,2
MONTERO,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-03-01,1,0,1,0,2,0,2
PUNATA,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-03-01,1,0,0,0,1,0,1
SACABA,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-03-01,0,1,0,0,0,1,1
SHINAOTA,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-03-01,0,0,1,0,1,0,1
TUPIZA,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-03-01,0,0,1,0,1,0,1
URIONDO (A. CONCEPCION),chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-03-01,0,1,0,0,0,1,1
CAMARGO,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-04-01,0,1,0,0,0,1,1
CHARAGUA,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-04-01,0,1,0,0,0,1,1
CULPINA,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-04-01,0,0,0,1,0,1,1
MONTEAGUDO,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-04-01,2,0,0,1,2,1,3
SANTA CRUZ DE LA SIERRA,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-04-01,0,0,1,0,1,0,1
TUPIZA,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-04-01,0,0,1,0,1,0,1
URIONDO (A. CONCEPCION),chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-04-01,0,0,0,1,0,1,1
VILLA MONTES,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-04-01,0,0,1,0,1,0,1
YACUIBA,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-04-01,1,0,0,0,1,0,1
CAMARGO,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-05-01,0,0,0,1,0,1,1
CHARAGUA,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-05-01,0,0,0,1,0,1,1
MONTEAGUDO,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-05-01,1,1,1,1,2,2,4
SACABA,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-05-01,0,0,0,1,0,1,1
SAN LUCAS,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-05-01,1,2,0,0,1,2,3
VILLA TUNARI,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-05-01,0,1,0,0,0,1,1
CAMARGO,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-06-01,0,1,0,0,0,1,1
CAPINOTA,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-06-01,2,0,0,0,2,0,2
MONTEAGUDO,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-06-01,0,1,0,0,0,1,1
MONTERO,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-06-01,0,0,0,1,0,1,1
SUCRE,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-06-01,0,4,0,0,0,4,4
TARVITA,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-06-01,0,0,1,0,1,0,1
VILLA MONTES,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-06-01,1,2,0,0,1,2,3
VILLA TUNARI,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-06-01,0,0,0,1,0,1,1
CAMARGO,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-07-01,0,0,0,1,0,1,1
CAPINOTA,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-07-01,1,0,1,0,2,0,2
COROICO,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-07-01,1,0,0,0,1,0,1
EL TORNO,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-07-01,0,0,0,1,0,1,1
PADILLA,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-07-01,0,1,0,0,0,1,1
PUERTO VILLARROEL,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-07-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-07-01,2,1,0,0,2,1,3
YOTALA,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-07-01,1,0,0,0,1,0,1
ZUDAÑEZ,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-07-01,1,0,0,0,1,0,1
CAPINOTA,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-08-01,0,0,1,0,1,0,1
COROICO,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-08-01,0,0,1,0,1,0,1
IRUPANA (VILLA DE LANZA),chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-08-01,0,0,0,1,0,1,1
MONTERO,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-08-01,0,2,0,0,0,2,2
PORTACHUELO,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-08-01,1,1,0,0,1,1,2
PUNATA,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-08-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-08-01,2,0,0,0,2,0,2
SOPACHUY,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-08-01,0,0,0,1,0,1,1
YACUIBA,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-08-01,1,0,0,0,1,0,1
AIQUILE,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-09-01,1,0,0,0,1,0,1
AZURDUY,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-09-01,1,0,0,0,1,0,1
BETANZOS,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-09-01,0,1,0,0,0,1,1
CAPINOTA,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-09-01,0,0,1,0,1,0,1
COCHABAMBA,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-09-01,0,1,0,0,0,1,1
COMARAPA,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-09-01,1,0,0,0,1,0,1
MONTEAGUDO,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-09-01,1,0,0,0,1,0,1
MONTERO,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-09-01,0,1,0,1,0,2,2
PORTACHUELO,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-09-01,0,0,1,0,1,0,1
PUNATA,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-09-01,0,0,0,1,0,1,1
SAN LUCAS,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-09-01,3,0,0,0,3,0,3
SANTA CRUZ DE LA SIERRA,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-09-01,0,0,1,0,1,0,1
COCHABAMBA,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-10-01,0,0,0,1,0,1,1
MONTEAGUDO,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-10-01,1,0,0,0,1,0,1
MONTERO,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-10-01,0,1,0,0,0,1,1
PORONGO,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-10-01,0,1,0,0,0,1,1
PORTACHUELO,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-10-01,1,0,0,0,1,0,1
PUNATA,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-10-01,0,0,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-10-01,9,8,0,0,9,8,17
TUPIZA,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-10-01,1,0,0,0,1,0,1
YACUIBA,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-10-01,0,2,0,0,0,2,2
CAMARGO,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-11-01,1,0,0,0,1,0,1
CAPINOTA,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-11-01,1,0,0,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-11-01,1,0,0,0,1,0,1
ENTRE RIOS TRJ,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-11-01,5,2,0,0,5,2,7
HUACARETA,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-11-01,40,45,0,0,40,45,85
MONTEAGUDO,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-11-01,0,1,0,1,0,2,2
MONTERO,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-11-01,3,2,1,0,4,2,6
SACABA,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-11-01,1,1,0,0,1,1,2
SANTA CRUZ DE LA SIERRA,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-11-01,0,1,0,1,0,2,2
TUPIZA,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-11-01,1,0,0,0,1,0,1
VILLA TUNARI,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-11-01,1,1,0,0,1,1,2
YACUIBA,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-11-01,1,1,0,1,1,2,3
CAPINOTA,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-12-01,0,1,0,0,0,1,1
ICLA,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-12-01,3,8,0,0,3,8,11
MONTEAGUDO,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-12-01,1,0,0,0,1,0,1
MONTERO,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-12-01,0,1,0,0,0,1,1
RIBERALTA,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-12-01,0,0,1,1,1,1,2
SACABA,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-12-01,1,1,0,0,1,1,2
SAN LORENZO(PND),chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-12-01,28,0,0,0,28,0,28
TUPIZA,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-12-01,0,0,1,0,1,0,1
YACUIBA,chagas,l 25.1       tratamientos rn a menores de 1 ano de edad,2012-12-01,0,2,1,1,1,3,4
