,group,variable,month,L 25.4 TRATAMIENTOS DE 15 AÑOS Y MÁS INICIADO,L 25.4 TRATAMIENTOS DE 15 AÑOS Y MÁS INICIADO,L 25.4 TRATAMIENTOS DE 15 AÑOS Y MÁS CONCLUIDO,L 25.4 TRATAMIENTOS DE 15 AÑOS Y MÁS CONCLUIDO,TOTALES,TOTALES,TOTALES
EL TORNO,chagas,l 25.4       tratamientos de 15 anos y mas,2012-02-01,1,1,2,0,3,1,4
MONTEAGUDO,chagas,l 25.4       tratamientos de 15 anos y mas,2012-02-01,0,2,0,2,0,4,4
OMEREQUE,chagas,l 25.4       tratamientos de 15 anos y mas,2012-02-01,0,0,0,1,0,1,1
PAMPA GRANDE,chagas,l 25.4       tratamientos de 15 anos y mas,2012-02-01,1,0,0,0,1,0,1
PASORAPA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-02-01,3,5,0,0,3,5,8
POTOSI,chagas,l 25.4       tratamientos de 15 anos y mas,2012-02-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-02-01,4,3,2,1,6,4,10
SUCRE,chagas,l 25.4       tratamientos de 15 anos y mas,2012-02-01,5,5,0,0,5,5,10
TARIJA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-02-01,7,15,0,3,7,18,25
TIQUIPAYA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-02-01,0,1,0,0,0,1,1
TUPIZA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-02-01,25,35,17,21,42,56,98
VILLA TUNARI,chagas,l 25.4       tratamientos de 15 anos y mas,2012-02-01,3,3,1,0,4,3,7
AIQUILE,chagas,l 25.4       tratamientos de 15 anos y mas,2012-03-01,75,70,6,11,81,81,162
CAPINOTA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-03-01,0,0,0,1,0,1,1
CKOCHAS,chagas,l 25.4       tratamientos de 15 anos y mas,2012-03-01,0,1,0,0,0,1,1
COCHABAMBA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-03-01,1,0,1,0,2,0,2
EL TORNO,chagas,l 25.4       tratamientos de 15 anos y mas,2012-03-01,0,0,0,2,0,2,2
MONTEAGUDO,chagas,l 25.4       tratamientos de 15 anos y mas,2012-03-01,4,0,0,0,4,0,4
PUNATA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-03-01,2,8,6,8,8,16,24
SACABA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-03-01,1,3,0,0,1,3,4
SUCRE,chagas,l 25.4       tratamientos de 15 anos y mas,2012-03-01,31,25,0,0,31,25,56
TAPACARI,chagas,l 25.4       tratamientos de 15 anos y mas,2012-03-01,3,1,0,0,3,1,4
TARIJA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-03-01,14,32,1,3,15,35,50
TIQUIPAYA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-03-01,1,0,0,0,1,0,1
TUPIZA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-03-01,17,28,23,32,40,60,100
VALLEGRANDE,chagas,l 25.4       tratamientos de 15 anos y mas,2012-03-01,0,0,1,3,1,3,4
VILLA TUNARI,chagas,l 25.4       tratamientos de 15 anos y mas,2012-03-01,2,1,2,3,4,4,8
CLIZA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-04-01,0,1,0,0,0,1,1
COCHABAMBA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-04-01,7,22,2,1,9,23,32
EL TORNO,chagas,l 25.4       tratamientos de 15 anos y mas,2012-04-01,0,0,1,0,1,0,1
MONTEAGUDO,chagas,l 25.4       tratamientos de 15 anos y mas,2012-04-01,2,1,0,0,2,1,3
OMEREQUE,chagas,l 25.4       tratamientos de 15 anos y mas,2012-04-01,4,6,0,1,4,7,11
PAMPA GRANDE,chagas,l 25.4       tratamientos de 15 anos y mas,2012-04-01,0,0,1,0,1,0,1
PASORAPA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-04-01,1,4,0,0,1,4,5
SUCRE,chagas,l 25.4       tratamientos de 15 anos y mas,2012-04-01,3,4,0,0,3,4,7
TAPACARI,chagas,l 25.4       tratamientos de 15 anos y mas,2012-04-01,1,0,0,0,1,0,1
TARIJA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-04-01,8,12,2,6,10,18,28
TIQUIPAYA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-04-01,0,0,0,1,0,1,1
TUPIZA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-04-01,10,3,17,12,27,15,42
VILLA TUNARI,chagas,l 25.4       tratamientos de 15 anos y mas,2012-04-01,5,9,4,1,9,10,19
VINTO,chagas,l 25.4       tratamientos de 15 anos y mas,2012-04-01,10,24,0,0,10,24,34
AIQUILE,chagas,l 25.4       tratamientos de 15 anos y mas,2012-05-01,48,50,42,35,90,85,175
COCHABAMBA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-05-01,19,25,2,5,21,30,51
EL TORNO,chagas,l 25.4       tratamientos de 15 anos y mas,2012-05-01,1,0,0,0,1,0,1
MONTEAGUDO,chagas,l 25.4       tratamientos de 15 anos y mas,2012-05-01,3,3,0,0,3,3,6
OMEREQUE,chagas,l 25.4       tratamientos de 15 anos y mas,2012-05-01,0,5,0,1,0,6,6
PASORAPA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-05-01,0,1,3,2,3,3,6
PUNATA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-05-01,5,4,1,1,6,5,11
SACABA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-05-01,0,1,0,0,0,1,1
SUCRE,chagas,l 25.4       tratamientos de 15 anos y mas,2012-05-01,15,13,0,0,15,13,28
TAPACARI,chagas,l 25.4       tratamientos de 15 anos y mas,2012-05-01,0,0,3,1,3,1,4
TARATA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-05-01,1,0,0,0,1,0,1
TARIJA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-05-01,20,28,14,20,34,48,82
TINGUIPAYA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-05-01,0,0,1,0,1,0,1
TIQUIPAYA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-05-01,0,1,0,0,0,1,1
TUPIZA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-05-01,9,12,15,25,24,37,61
VALLEGRANDE,chagas,l 25.4       tratamientos de 15 anos y mas,2012-05-01,0,1,0,0,0,1,1
VILLA TUNARI,chagas,l 25.4       tratamientos de 15 anos y mas,2012-05-01,5,12,1,1,6,13,19
VINTO,chagas,l 25.4       tratamientos de 15 anos y mas,2012-05-01,2,1,0,0,2,1,3
AIQUILE,chagas,l 25.4       tratamientos de 15 anos y mas,2012-06-01,26,41,2,0,28,41,69
CAPINOTA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-06-01,0,1,0,0,0,1,1
CLIZA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-06-01,0,0,3,0,3,0,3
COCHABAMBA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-06-01,22,52,6,8,28,60,88
MONTEAGUDO,chagas,l 25.4       tratamientos de 15 anos y mas,2012-06-01,1,2,0,0,1,2,3
OMEREQUE,chagas,l 25.4       tratamientos de 15 anos y mas,2012-06-01,1,3,2,5,3,8,11
PASORAPA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-06-01,0,0,1,5,1,5,6
PUNATA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-06-01,1,9,2,6,3,15,18
SACABA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-06-01,0,1,0,0,0,1,1
SANTA ROSA DEL SARA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-06-01,1,1,0,0,1,1,2
SUCRE,chagas,l 25.4       tratamientos de 15 anos y mas,2012-06-01,10,8,0,0,10,8,18
TAPACARI,chagas,l 25.4       tratamientos de 15 anos y mas,2012-06-01,1,3,1,0,2,3,5
TARIJA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-06-01,12,15,14,25,26,40,66
TUPIZA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-06-01,18,18,8,3,26,21,47
VALLEGRANDE,chagas,l 25.4       tratamientos de 15 anos y mas,2012-06-01,0,1,0,0,0,1,1
VILLA TUNARI,chagas,l 25.4       tratamientos de 15 anos y mas,2012-06-01,0,7,1,5,1,12,13
WARNES,chagas,l 25.4       tratamientos de 15 anos y mas,2012-06-01,0,1,0,0,0,1,1
AIQUILE,chagas,l 25.4       tratamientos de 15 anos y mas,2012-07-01,23,32,34,25,57,57,114
ARAMPAMPA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-07-01,0,0,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),chagas,l 25.4       tratamientos de 15 anos y mas,2012-07-01,1,0,0,0,1,0,1
BERMEJO,chagas,l 25.4       tratamientos de 15 anos y mas,2012-07-01,0,2,0,0,0,2,2
CAPINOTA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-07-01,3,3,0,0,3,3,6
CHULUMANI (V. DE LA LIBERTAD),chagas,l 25.4       tratamientos de 15 anos y mas,2012-07-01,0,3,0,0,0,3,3
COCHABAMBA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-07-01,26,48,14,22,40,70,110
CUATRO CAÑADAS,chagas,l 25.4       tratamientos de 15 anos y mas,2012-07-01,1,0,0,0,1,0,1
EL TORNO,chagas,l 25.4       tratamientos de 15 anos y mas,2012-07-01,1,3,0,0,1,3,4
OMEREQUE,chagas,l 25.4       tratamientos de 15 anos y mas,2012-07-01,5,4,0,3,5,7,12
PASORAPA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-07-01,9,6,0,0,9,6,15
PORTACHUELO,chagas,l 25.4       tratamientos de 15 anos y mas,2012-07-01,2,1,0,0,2,1,3
POTOSI,chagas,l 25.4       tratamientos de 15 anos y mas,2012-07-01,0,1,0,0,0,1,1
PUNATA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-07-01,4,5,5,10,9,15,24
SACABA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-07-01,0,1,0,0,0,1,1
TARIJA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-07-01,6,14,18,24,24,38,62
TIQUIPAYA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-07-01,0,0,0,1,0,1,1
TUPIZA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-07-01,26,41,9,10,35,51,86
VALLEGRANDE,chagas,l 25.4       tratamientos de 15 anos y mas,2012-07-01,1,0,0,0,1,0,1
VILLA TUNARI,chagas,l 25.4       tratamientos de 15 anos y mas,2012-07-01,9,6,4,9,13,15,28
AIQUILE,chagas,l 25.4       tratamientos de 15 anos y mas,2012-08-01,5,10,11,21,16,31,47
BERMEJO,chagas,l 25.4       tratamientos de 15 anos y mas,2012-08-01,0,2,0,0,0,2,2
CAPINOTA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-08-01,2,1,0,0,2,1,3
COCHABAMBA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-08-01,28,65,15,31,43,96,139
EL TORNO,chagas,l 25.4       tratamientos de 15 anos y mas,2012-08-01,1,2,0,0,1,2,3
ENTRE RIOS CBBA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-08-01,1,0,0,0,1,0,1
MONTEAGUDO,chagas,l 25.4       tratamientos de 15 anos y mas,2012-08-01,2,1,0,0,2,1,3
OMEREQUE,chagas,l 25.4       tratamientos de 15 anos y mas,2012-08-01,10,9,0,3,10,12,22
PASORAPA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-08-01,19,8,0,0,19,8,27
PORTACHUELO,chagas,l 25.4       tratamientos de 15 anos y mas,2012-08-01,0,1,0,0,0,1,1
PUNATA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-08-01,7,10,4,6,11,16,27
SACABA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-08-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-08-01,2,6,0,0,2,6,8
SANTA ROSA DEL SARA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-08-01,0,0,1,1,1,1,2
SUCRE,chagas,l 25.4       tratamientos de 15 anos y mas,2012-08-01,0,1,0,0,0,1,1
TAPACARI,chagas,l 25.4       tratamientos de 15 anos y mas,2012-08-01,0,0,1,3,1,3,4
TARIJA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-08-01,14,16,9,17,23,33,56
TUPIZA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-08-01,14,15,15,17,29,32,61
VALLEGRANDE,chagas,l 25.4       tratamientos de 15 anos y mas,2012-08-01,1,1,0,0,1,1,2
VILLA TUNARI,chagas,l 25.4       tratamientos de 15 anos y mas,2012-08-01,2,4,4,7,6,11,17
VITICHI,chagas,l 25.4       tratamientos de 15 anos y mas,2012-08-01,1,0,0,0,1,0,1
WARNES,chagas,l 25.4       tratamientos de 15 anos y mas,2012-08-01,0,0,0,1,0,1,1
AIQUILE,chagas,l 25.4       tratamientos de 15 anos y mas,2012-09-01,20,11,12,14,32,25,57
AYOPAYA (V. DE INDEPENDENCIA),chagas,l 25.4       tratamientos de 15 anos y mas,2012-09-01,0,1,0,0,0,1,1
BERMEJO,chagas,l 25.4       tratamientos de 15 anos y mas,2012-09-01,0,9,0,0,0,9,9
BETANZOS,chagas,l 25.4       tratamientos de 15 anos y mas,2012-09-01,2,1,0,0,2,1,3
"CAIZA ""D""",chagas,l 25.4       tratamientos de 15 anos y mas,2012-09-01,1,0,0,0,1,0,1
CAPINOTA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-09-01,0,0,1,1,1,1,2
CHULUMANI (V. DE LA LIBERTAD),chagas,l 25.4       tratamientos de 15 anos y mas,2012-09-01,0,0,0,2,0,2,2
CKOCHAS,chagas,l 25.4       tratamientos de 15 anos y mas,2012-09-01,1,1,0,0,1,1,2
COCHABAMBA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-09-01,19,51,17,27,36,78,114
CUATRO CAÑADAS,chagas,l 25.4       tratamientos de 15 anos y mas,2012-09-01,1,0,1,0,2,0,2
EL TORNO,chagas,l 25.4       tratamientos de 15 anos y mas,2012-09-01,0,3,1,3,1,6,7
LA GUARDIA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-09-01,0,0,1,0,1,0,1
MIZQUE,chagas,l 25.4       tratamientos de 15 anos y mas,2012-09-01,2,1,0,0,2,1,3
MONTEAGUDO,chagas,l 25.4       tratamientos de 15 anos y mas,2012-09-01,2,1,0,0,2,1,3
OMEREQUE,chagas,l 25.4       tratamientos de 15 anos y mas,2012-09-01,2,1,2,3,4,4,8
PASORAPA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-09-01,0,1,8,5,8,6,14
PORTACHUELO,chagas,l 25.4       tratamientos de 15 anos y mas,2012-09-01,0,0,2,0,2,0,2
PUNATA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-09-01,5,17,5,3,10,20,30
SUCRE,chagas,l 25.4       tratamientos de 15 anos y mas,2012-09-01,1,3,0,0,1,3,4
TAPACARI,chagas,l 25.4       tratamientos de 15 anos y mas,2012-09-01,1,1,0,0,1,1,2
TARIJA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-09-01,10,8,11,7,21,15,36
TOLATA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-09-01,0,0,0,1,0,1,1
TOMAVE,chagas,l 25.4       tratamientos de 15 anos y mas,2012-09-01,0,2,0,0,0,2,2
TUPIZA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-09-01,13,21,25,40,38,61,99
VALLEGRANDE,chagas,l 25.4       tratamientos de 15 anos y mas,2012-09-01,0,1,1,0,1,1,2
VILLA TUNARI,chagas,l 25.4       tratamientos de 15 anos y mas,2012-09-01,10,10,3,4,13,14,27
VITICHI,chagas,l 25.4       tratamientos de 15 anos y mas,2012-09-01,0,0,1,0,1,0,1
AIQUILE,chagas,l 25.4       tratamientos de 15 anos y mas,2012-10-01,1,2,2,2,3,4,7
BERMEJO,chagas,l 25.4       tratamientos de 15 anos y mas,2012-10-01,2,0,0,1,2,1,3
CAPINOTA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-10-01,0,1,1,0,1,1,2
CHULUMANI (V. DE LA LIBERTAD),chagas,l 25.4       tratamientos de 15 anos y mas,2012-10-01,0,1,1,2,1,3,4
CLIZA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-10-01,0,1,0,0,0,1,1
COCHABAMBA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-10-01,42,50,22,41,64,91,155
COROICO,chagas,l 25.4       tratamientos de 15 anos y mas,2012-10-01,1,0,0,0,1,0,1
EL TORNO,chagas,l 25.4       tratamientos de 15 anos y mas,2012-10-01,3,1,4,1,7,2,9
MONTEAGUDO,chagas,l 25.4       tratamientos de 15 anos y mas,2012-10-01,1,4,1,0,2,4,6
MONTERO,chagas,l 25.4       tratamientos de 15 anos y mas,2012-10-01,0,0,17,0,17,0,17
OMEREQUE,chagas,l 25.4       tratamientos de 15 anos y mas,2012-10-01,20,21,8,9,28,30,58
PASORAPA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-10-01,5,7,15,7,20,14,34
PUNATA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-10-01,5,18,4,4,9,22,31
SACABA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-10-01,0,2,0,0,0,2,2
SANTA CRUZ DE LA SIERRA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-10-01,8,2,2,2,10,4,14
SUCRE,chagas,l 25.4       tratamientos de 15 anos y mas,2012-10-01,11,4,0,0,11,4,15
TAPACARI,chagas,l 25.4       tratamientos de 15 anos y mas,2012-10-01,3,1,0,0,3,1,4
TARIJA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-10-01,7,23,8,15,15,38,53
TOCO,chagas,l 25.4       tratamientos de 15 anos y mas,2012-10-01,1,0,0,0,1,0,1
TOTORA(CBBA),chagas,l 25.4       tratamientos de 15 anos y mas,2012-10-01,11,8,0,0,11,8,19
TUPIZA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-10-01,24,17,14,15,38,32,70
VALLEGRANDE,chagas,l 25.4       tratamientos de 15 anos y mas,2012-10-01,0,0,2,1,2,1,3
VILLA TUNARI,chagas,l 25.4       tratamientos de 15 anos y mas,2012-10-01,13,11,6,5,19,16,35
VINTO,chagas,l 25.4       tratamientos de 15 anos y mas,2012-10-01,0,2,0,0,0,2,2
VITICHI,chagas,l 25.4       tratamientos de 15 anos y mas,2012-10-01,0,0,2,3,2,3,5
YACUIBA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-10-01,0,1,0,0,0,1,1
AIQUILE,chagas,l 25.4       tratamientos de 15 anos y mas,2012-11-01,49,47,21,13,70,60,130
BERMEJO,chagas,l 25.4       tratamientos de 15 anos y mas,2012-11-01,0,1,0,0,0,1,1
CAPINOTA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-11-01,0,1,0,0,0,1,1
CHULUMANI (V. DE LA LIBERTAD),chagas,l 25.4       tratamientos de 15 anos y mas,2012-11-01,0,1,0,0,0,1,1
CKOCHAS,chagas,l 25.4       tratamientos de 15 anos y mas,2012-11-01,0,1,0,0,0,1,1
COCHABAMBA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-11-01,3,12,0,1,3,13,16
COTAGAITA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-11-01,1,0,0,0,1,0,1
EL TORNO,chagas,l 25.4       tratamientos de 15 anos y mas,2012-11-01,1,0,0,2,1,2,3
MONTEAGUDO,chagas,l 25.4       tratamientos de 15 anos y mas,2012-11-01,3,0,0,0,3,0,3
MONTERO,chagas,l 25.4       tratamientos de 15 anos y mas,2012-11-01,2,1,0,0,2,1,3
OMEREQUE,chagas,l 25.4       tratamientos de 15 anos y mas,2012-11-01,1,2,2,3,3,5,8
PASORAPA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-11-01,0,0,1,1,1,1,2
SACABA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-11-01,1,0,0,0,1,0,1
SAMAIPATA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-11-01,3,0,0,0,3,0,3
SANTA CRUZ DE LA SIERRA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-11-01,0,0,1,0,1,0,1
SUCRE,chagas,l 25.4       tratamientos de 15 anos y mas,2012-11-01,0,1,0,0,0,1,1
TARIJA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-11-01,5,3,2,1,7,4,11
TOTORA(CBBA),chagas,l 25.4       tratamientos de 15 anos y mas,2012-11-01,6,12,0,0,6,12,18
TUPIZA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-11-01,22,37,11,18,33,55,88
VALLEGRANDE,chagas,l 25.4       tratamientos de 15 anos y mas,2012-11-01,2,0,0,0,2,0,2
VILLA TUNARI,chagas,l 25.4       tratamientos de 15 anos y mas,2012-11-01,2,2,4,5,6,7,13
VITICHI,chagas,l 25.4       tratamientos de 15 anos y mas,2012-11-01,0,2,0,0,0,2,2
ACACIO,chagas,l 25.4       tratamientos de 15 anos y mas,2012-12-01,2,4,0,0,2,4,6
AIQUILE,chagas,l 25.4       tratamientos de 15 anos y mas,2012-12-01,2,5,4,4,6,9,15
BERMEJO,chagas,l 25.4       tratamientos de 15 anos y mas,2012-12-01,0,2,0,3,0,5,5
COCHABAMBA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-12-01,8,1,23,27,31,28,59
EL TORNO,chagas,l 25.4       tratamientos de 15 anos y mas,2012-12-01,0,0,1,0,1,0,1
MONTEAGUDO,chagas,l 25.4       tratamientos de 15 anos y mas,2012-12-01,3,1,0,0,3,1,4
OMEREQUE,chagas,l 25.4       tratamientos de 15 anos y mas,2012-12-01,1,1,6,2,7,3,10
SACABA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-12-01,1,0,1,1,2,1,3
SAMAIPATA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-12-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-12-01,0,1,0,0,0,1,1
SUCRE,chagas,l 25.4       tratamientos de 15 anos y mas,2012-12-01,26,19,0,0,26,19,45
TAPACARI,chagas,l 25.4       tratamientos de 15 anos y mas,2012-12-01,0,0,1,1,1,1,2
TARABUCO,chagas,l 25.4       tratamientos de 15 anos y mas,2012-12-01,0,0,0,1,0,1,1
TARIJA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-12-01,6,6,5,11,11,17,28
TUPIZA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-12-01,12,14,23,18,35,32,67
VALLEGRANDE,chagas,l 25.4       tratamientos de 15 anos y mas,2012-12-01,1,0,0,0,1,0,1
VILLA TUNARI,chagas,l 25.4       tratamientos de 15 anos y mas,2012-12-01,0,1,2,4,2,5,7
VINTO,chagas,l 25.4       tratamientos de 15 anos y mas,2012-12-01,0,1,0,0,0,1,1
YACUIBA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-12-01,0,0,0,1,0,1,1
YOTALA,chagas,l 25.4       tratamientos de 15 anos y mas,2012-12-01,3,2,3,2,6,4,10
