,group,variable,month,L 25.2 TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD INICIADO,L 25.2 TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD INICIADO,L 25.2 TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD CONCLUIDO,L 25.2 TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD CONCLUIDO,TOTALES,TOTALES,TOTALES
SUCRE,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-03-01,0,0,1,1,1,1,2
TUPIZA,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-03-01,1,1,0,0,1,1,2
VILLA TUNARI,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-03-01,0,1,0,0,0,1,1
ALCALA,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-04-01,0,1,1,0,1,1,2
CHULUMANI (V. DE LA LIBERTAD),chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-04-01,0,1,0,0,0,1,1
COCHABAMBA,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-04-01,0,1,0,0,0,1,1
TARVITA,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-04-01,1,0,0,0,1,0,1
TUPIZA,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-04-01,0,0,1,0,1,0,1
AIQUILE,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-05-01,1,0,0,2,1,2,3
ALCALA,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-05-01,0,0,0,1,0,1,1
MONTERO,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-05-01,1,0,0,0,1,0,1
POROMA,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-05-01,0,0,1,0,1,0,1
TUPIZA,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-05-01,0,0,1,1,1,1,2
VALLEGRANDE,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-05-01,0,1,0,0,0,1,1
VILLA TUNARI,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-05-01,0,1,0,0,0,1,1
"CAIZA ""D""",chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-06-01,1,0,0,0,1,0,1
COCHABAMBA,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-06-01,0,1,0,1,0,2,2
CUATRO CAÑADAS,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-06-01,1,0,0,0,1,0,1
MONTEAGUDO,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-06-01,0,0,1,0,1,0,1
MONTERO,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-06-01,1,0,0,0,1,0,1
AIQUILE,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-07-01,1,1,1,0,2,1,3
COCHABAMBA,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-07-01,0,0,0,10,0,10,10
SANTA CRUZ DE LA SIERRA,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-07-01,1,0,0,0,1,0,1
ALCALA,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-08-01,1,0,0,0,1,0,1
CAMARGO,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-08-01,0,0,0,1,0,1,1
COCHABAMBA,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-08-01,0,0,0,2,0,2,2
EL TORNO,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-08-01,1,0,0,0,1,0,1
MONTEAGUDO,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-08-01,1,0,0,0,1,0,1
PORTACHUELO,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-08-01,0,2,0,0,0,2,2
SACABA,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-08-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-08-01,0,4,0,0,0,4,4
SOPACHUY,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-08-01,1,0,0,0,1,0,1
WARNES,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-08-01,0,0,0,1,0,1,1
AIQUILE,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-09-01,2,3,1,0,3,3,6
"CAIZA ""D""",chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-09-01,0,0,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-09-01,0,0,1,0,1,0,1
SOPACHUY,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-09-01,0,0,1,1,1,1,2
SUCRE,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-09-01,1,0,0,0,1,0,1
ALCALA,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-10-01,0,0,1,0,1,0,1
CUATRO CAÑADAS,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-10-01,0,0,1,0,1,0,1
EL TORNO,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-10-01,0,0,1,0,1,0,1
LA GUARDIA,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-10-01,1,0,0,0,1,0,1
MONTERO,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-10-01,0,0,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-10-01,5,8,0,0,5,8,13
SUCRE,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-10-01,1,1,0,0,1,1,2
TARABUCO,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-10-01,0,1,0,0,0,1,1
TUPIZA,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-10-01,0,1,0,0,0,1,1
AIQUILE,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-11-01,0,2,0,1,0,3,3
EL TORNO,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-11-01,0,1,0,0,0,1,1
SUCRE,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-11-01,0,0,1,0,1,0,1
TARABUCO,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-11-01,0,1,0,0,0,1,1
MAIRANA,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-12-01,0,1,0,0,0,1,1
MONTEAGUDO,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-12-01,0,1,0,0,0,1,1
MONTERO,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-12-01,8,2,3,0,11,2,13
RIBERALTA,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-12-01,0,0,1,0,1,0,1
SAN LORENZO(PND),chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-12-01,1,0,0,0,1,0,1
SUCRE,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-12-01,0,2,0,1,0,3,3
TARABUCO,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-12-01,0,1,0,0,0,1,1
TUPIZA,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-12-01,0,0,0,1,0,1,1
VINTO,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-12-01,1,0,0,0,1,0,1
YACUIBA,chagas,l 25.2       tratamientos 1 ano a menores de 5 anos de edad,2012-12-01,0,1,0,0,0,1,1
