,group,variable,month,L 25.3 TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD INCIADO,L 25.3 TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD INCIADO,L 25.3 TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD CONCLUIDO,L 25.3 TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD CONCLUIDO,TOTALES,TOTALES,TOTALES
VALLEGRANDE,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-01-01,0,1,1,3,1,4,5
CHARAGUA,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-02-01,4,1,0,0,4,1,5
COCHABAMBA,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-02-01,0,3,0,1,0,4,4
EL TORNO,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-02-01,0,0,2,1,2,1,3
GUTIERREZ,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-02-01,6,13,0,0,6,13,19
MONTEAGUDO,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-02-01,0,1,0,0,0,1,1
PAMPA GRANDE,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-02-01,1,0,0,0,1,0,1
SACABA,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-02-01,1,2,0,0,1,2,3
TORO TORO,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-02-01,1,0,0,1,1,1,2
TUPIZA,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-02-01,2,0,0,0,2,0,2
VALLEGRANDE,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-02-01,2,0,2,0,4,0,4
WARNES,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-02-01,1,0,0,0,1,0,1
AIQUILE,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-03-01,9,12,0,1,9,13,22
COCHABAMBA,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-03-01,6,9,0,3,6,12,18
MONTEAGUDO,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-03-01,1,0,3,1,4,1,5
PAILON,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-03-01,0,0,1,0,1,0,1
PUNATA,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-03-01,2,1,0,0,2,1,3
SACABA,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-03-01,0,0,2,0,2,0,2
TORO TORO,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-03-01,1,0,0,0,1,0,1
TUPIZA,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-03-01,0,1,2,0,2,1,3
VILLA TUNARI,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-03-01,0,1,0,0,0,1,1
BERMEJO,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-04-01,0,0,0,1,0,1,1
CHARAGUA,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-04-01,0,0,4,1,4,1,5
CHULUMANI (V. DE LA LIBERTAD),chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-04-01,1,2,0,0,1,2,3
COCHABAMBA,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-04-01,1,0,0,0,1,0,1
MONTEAGUDO,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-04-01,0,1,0,0,0,1,1
PAMPA GRANDE,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-04-01,0,0,1,0,1,0,1
PASORAPA,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-04-01,0,0,0,1,0,1,1
TORO TORO,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-04-01,0,0,2,0,2,0,2
TUPIZA,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-04-01,0,0,1,0,1,0,1
VALLEGRANDE,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-04-01,0,0,1,0,1,0,1
VINTO,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-04-01,1,1,0,0,1,1,2
AIQUILE,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-05-01,4,1,8,10,12,11,23
GUTIERREZ,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-05-01,4,6,6,12,10,18,28
PUNATA,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-05-01,0,0,0,1,0,1,1
TINGUIPAYA,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-05-01,0,0,1,1,1,1,2
TORO TORO,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-05-01,0,0,0,1,0,1,1
TUPIZA,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-05-01,1,1,0,1,1,2,3
VALLEGRANDE,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-05-01,0,1,0,0,0,1,1
VINTO,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-05-01,1,0,0,0,1,0,1
WARNES,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-05-01,0,2,0,0,0,2,2
AIQUILE,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-06-01,1,1,0,0,1,1,2
FERNANDEZ ALONSO,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-06-01,0,1,0,0,0,1,1
LA GUARDIA,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-06-01,1,0,0,0,1,0,1
MIZQUE,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-06-01,1,1,0,0,1,1,2
MONTEAGUDO,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-06-01,0,0,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-06-01,2,4,0,0,2,4,6
TORO TORO,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-06-01,0,0,1,0,1,0,1
VINTO,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-06-01,2,1,0,0,2,1,3
WARNES,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-06-01,2,1,0,0,2,1,3
AIQUILE,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-07-01,3,1,1,1,4,2,6
ARAMPAMPA,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-07-01,2,0,0,1,2,1,3
CAPINOTA,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-07-01,0,1,0,0,0,1,1
COCHABAMBA,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-07-01,3,0,3,0,6,0,6
CUATRO CAÑADAS,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-07-01,1,0,0,0,1,0,1
EL TORNO,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-07-01,0,0,1,0,1,0,1
GUTIERREZ,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-07-01,0,0,5,4,5,4,9
LA PAZ,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-07-01,0,1,0,0,0,1,1
MIZQUE,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-07-01,0,1,0,0,0,1,1
MONTEAGUDO,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-07-01,0,0,1,0,1,0,1
PASORAPA,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-07-01,0,1,0,0,0,1,1
PORTACHUELO,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-07-01,3,4,0,0,3,4,7
SUCRE,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-07-01,2,1,0,0,2,1,3
TOLATA,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-07-01,0,1,0,0,0,1,1
TUPIZA,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-07-01,1,2,1,1,2,3,5
VALLEGRANDE,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-07-01,0,0,1,1,1,1,2
VITICHI,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-07-01,0,1,0,0,0,1,1
WARNES,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-07-01,0,0,0,1,0,1,1
YACUIBA,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-07-01,0,1,0,0,0,1,1
AIQUILE,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-08-01,0,1,1,0,1,1,2
BETANZOS,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-08-01,4,2,0,0,4,2,6
CAMARGO,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-08-01,1,0,0,0,1,0,1
CHARAGUA,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-08-01,0,0,1,2,1,2,3
COCHABAMBA,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-08-01,0,1,0,0,0,1,1
CUATRO CAÑADAS,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-08-01,0,1,0,0,0,1,1
MONTEAGUDO,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-08-01,4,10,0,0,4,10,14
MONTERO,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-08-01,1,0,0,0,1,0,1
OMEREQUE,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-08-01,1,0,0,0,1,0,1
PASORAPA,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-08-01,2,1,0,0,2,1,3
PORTACHUELO,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-08-01,0,1,0,0,0,1,1
SOPACHUY,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-08-01,6,5,0,0,6,5,11
SUCRE,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-08-01,0,8,0,0,0,8,8
VALLEGRANDE,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-08-01,1,2,0,0,1,2,3
VITICHI,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-08-01,1,0,1,1,2,1,3
WARNES,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-08-01,0,0,2,1,2,1,3
AIQUILE,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-09-01,1,2,0,0,1,2,3
BETANZOS,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-09-01,1,0,0,0,1,0,1
"CAIZA ""D""",chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-09-01,2,2,0,0,2,2,4
COCHABAMBA,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-09-01,1,0,0,0,1,0,1
CUATRO CAÑADAS,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-09-01,1,6,0,0,1,6,7
GUTIERREZ,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-09-01,15,6,0,0,15,6,21
MONTEAGUDO,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-09-01,0,1,0,0,0,1,1
PASORAPA,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-09-01,0,0,0,1,0,1,1
PORTACHUELO,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-09-01,0,1,2,3,2,4,6
SOPACHUY,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-09-01,1,0,0,1,1,1,2
SUCRE,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-09-01,1,2,0,1,1,3,4
TUPIZA,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-09-01,0,1,1,3,1,4,5
VITICHI,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-09-01,0,0,0,1,0,1,1
YACUIBA,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-09-01,0,0,0,1,0,1,1
COCHABAMBA,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-10-01,0,2,1,0,1,2,3
CUATRO CAÑADAS,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-10-01,0,1,1,2,1,3,4
EL TORNO,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-10-01,0,1,1,1,1,2,3
MIZQUE,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-10-01,0,0,3,1,3,1,4
MONTEAGUDO,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-10-01,7,11,4,14,11,25,36
MONTERO,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-10-01,3,1,119,0,122,1,123
OMEREQUE,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-10-01,0,2,1,0,1,2,3
PASORAPA,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-10-01,0,0,2,1,2,1,3
PUERTO VILLARROEL,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-10-01,0,0,2,1,2,1,3
SOPACHUY,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-10-01,5,1,5,5,10,6,16
TARABUCO,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-10-01,2,4,0,0,2,4,6
TARIJA,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-10-01,1,1,0,0,1,1,2
TOMAVE,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-10-01,5,2,0,0,5,2,7
VALLEGRANDE,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-10-01,0,0,1,2,1,2,3
AIQUILE,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-11-01,4,1,7,3,11,4,15
COCHABAMBA,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-11-01,10,9,17,30,27,39,66
EL TORNO,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-11-01,0,0,1,0,1,0,1
GUTIERREZ,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-11-01,0,0,8,1,8,1,9
MIZQUE,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-11-01,1,0,0,0,1,0,1
MONTERO,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-11-01,3,6,0,0,3,6,9
SOPACHUY,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-11-01,0,1,0,0,0,1,1
SUCRE,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-11-01,1,0,1,1,2,1,3
TAPACARI,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-11-01,0,0,1,1,1,1,2
TARIJA,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-11-01,3,5,8,12,11,17,28
TUPIZA,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-11-01,0,3,0,1,0,4,4
VITICHI,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-11-01,2,0,0,0,2,0,2
WARNES,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-11-01,1,0,2,0,3,0,3
ACACIO,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-12-01,1,1,0,0,1,1,2
CHARAGUA,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-12-01,0,0,2,3,2,3,5
COCHABAMBA,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-12-01,0,0,1,0,1,0,1
CUATRO CAÑADAS,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-12-01,0,2,0,0,0,2,2
EL TORNO,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-12-01,0,0,0,1,0,1,1
MONTEAGUDO,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-12-01,3,5,3,8,6,13,19
PASORAPA,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-12-01,0,0,0,2,0,2,2
RIBERALTA,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-12-01,0,0,1,0,1,0,1
SHINAOTA,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-12-01,1,0,0,0,1,0,1
SOPACHUY,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-12-01,0,0,4,1,4,1,5
TARIJA,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-12-01,1,1,0,0,1,1,2
VINTO,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-12-01,2,0,0,0,2,0,2
WARNES,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-12-01,0,0,1,3,1,3,4
YOTALA,chagas,l 25.3       tratamientos 5 anos a menores de 15 anos de edad,2012-12-01,4,2,4,2,8,4,12
