,group,variable,month,Nº DE PERSONAS CON ESQUEMA CLASICO COMPLETO CANTIDAD,Nº DE PERSONAS CON ESQUEMA CLASICO COMPLETO CANTIDAD,TOTALES,TOTALES,TOTALES
SAN JOSE DE CHIQUITOS,rabia,no de personas con esquema clasico completo,2018-02-01,2,0,2,0,2
SAN LUCAS,rabia,no de personas con esquema clasico completo,2018-02-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2018-02-01,26,39,26,39,65
TIQUIPAYA,rabia,no de personas con esquema clasico completo,2018-02-01,1,0,1,0,1
TRINIDAD,rabia,no de personas con esquema clasico completo,2018-02-01,11,25,11,25,36
TUPIZA,rabia,no de personas con esquema clasico completo,2018-02-01,0,1,0,1,1
VIACHA,rabia,no de personas con esquema clasico completo,2018-02-01,1,0,1,0,1
VILLA MONTES,rabia,no de personas con esquema clasico completo,2018-02-01,2,2,2,2,4
VILLAZON,rabia,no de personas con esquema clasico completo,2018-02-01,5,4,5,4,9
WARNES,rabia,no de personas con esquema clasico completo,2018-02-01,4,0,4,0,4
YOTALA,rabia,no de personas con esquema clasico completo,2018-02-01,1,0,1,0,1
ACHOCALLA,rabia,no de personas con esquema clasico completo,2018-03-01,1,0,1,0,1
BATALLAS,rabia,no de personas con esquema clasico completo,2018-03-01,1,0,1,0,1
BERMEJO,rabia,no de personas con esquema clasico completo,2018-03-01,0,1,0,1,1
CARAPARI,rabia,no de personas con esquema clasico completo,2018-03-01,0,1,0,1,1
CLIZA,rabia,no de personas con esquema clasico completo,2018-03-01,0,2,0,2,2
COCHABAMBA,rabia,no de personas con esquema clasico completo,2018-03-01,5,4,5,4,9
COLCAPIRHUA,rabia,no de personas con esquema clasico completo,2018-03-01,0,1,0,1,1
"COLCHA ""K""",rabia,no de personas con esquema clasico completo,2018-03-01,1,0,1,0,1
COLQUENCHA,rabia,no de personas con esquema clasico completo,2018-03-01,0,1,0,1,1
COLQUIRI,rabia,no de personas con esquema clasico completo,2018-03-01,1,0,1,0,1
CORIPATA,rabia,no de personas con esquema clasico completo,2018-03-01,0,1,0,1,1
COTOCA,rabia,no de personas con esquema clasico completo,2018-03-01,4,2,4,2,6
EL ALTO,rabia,no de personas con esquema clasico completo,2018-03-01,8,15,8,15,23
EL TORNO,rabia,no de personas con esquema clasico completo,2018-03-01,0,1,0,1,1
LA GUARDIA,rabia,no de personas con esquema clasico completo,2018-03-01,2,0,2,0,2
LA PAZ,rabia,no de personas con esquema clasico completo,2018-03-01,4,2,4,2,6
LLALLAGUA,rabia,no de personas con esquema clasico completo,2018-03-01,0,1,0,1,1
MINEROS,rabia,no de personas con esquema clasico completo,2018-03-01,0,1,0,1,1
MONTERO,rabia,no de personas con esquema clasico completo,2018-03-01,7,2,7,2,9
ORURO,rabia,no de personas con esquema clasico completo,2018-03-01,2,5,2,5,7
PADILLA,rabia,no de personas con esquema clasico completo,2018-03-01,1,1,1,1,2
SACABA,rabia,no de personas con esquema clasico completo,2018-03-01,0,2,0,2,2
SACACA,rabia,no de personas con esquema clasico completo,2018-03-01,1,0,1,0,1
SAN ANDRES,rabia,no de personas con esquema clasico completo,2018-03-01,1,0,1,0,1
SAN JAVIER(STC),rabia,no de personas con esquema clasico completo,2018-03-01,3,0,3,0,3
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2018-03-01,47,45,47,45,92
SUCRE,rabia,no de personas con esquema clasico completo,2018-03-01,110,91,110,91,201
TRINIDAD,rabia,no de personas con esquema clasico completo,2018-03-01,6,7,6,7,13
TUPIZA,rabia,no de personas con esquema clasico completo,2018-03-01,4,0,4,0,4
VILLA VACA GUZMAN (MUYUPAMPA),rabia,no de personas con esquema clasico completo,2018-03-01,2,0,2,0,2
YAPACANI,rabia,no de personas con esquema clasico completo,2018-03-01,2,0,2,0,2
YOTALA,rabia,no de personas con esquema clasico completo,2018-03-01,1,0,1,0,1
ACHACACHI,rabia,no de personas con esquema clasico completo,2018-04-01,0,1,0,1,1
ACHOCALLA,rabia,no de personas con esquema clasico completo,2018-04-01,0,1,0,1,1
ALTO BENI,rabia,no de personas con esquema clasico completo,2018-04-01,0,2,0,2,2
BUENA VISTA,rabia,no de personas con esquema clasico completo,2018-04-01,1,0,1,0,1
CABEZAS,rabia,no de personas con esquema clasico completo,2018-04-01,0,2,0,2,2
CARAPARI,rabia,no de personas con esquema clasico completo,2018-04-01,2,0,2,0,2
COCHABAMBA,rabia,no de personas con esquema clasico completo,2018-04-01,4,3,4,3,7
COTOCA,rabia,no de personas con esquema clasico completo,2018-04-01,2,1,2,1,3
EL ALTO,rabia,no de personas con esquema clasico completo,2018-04-01,19,22,19,22,41
GENERAL SAAVEDRA,rabia,no de personas con esquema clasico completo,2018-04-01,2,1,2,1,3
HUACARETA,rabia,no de personas con esquema clasico completo,2018-04-01,0,1,0,1,1
LA GUARDIA,rabia,no de personas con esquema clasico completo,2018-04-01,4,3,4,3,7
LA PAZ,rabia,no de personas con esquema clasico completo,2018-04-01,0,1,0,1,1
LLALLAGUA,rabia,no de personas con esquema clasico completo,2018-04-01,1,0,1,0,1
MAIRANA,rabia,no de personas con esquema clasico completo,2018-04-01,0,1,0,1,1
MONTERO,rabia,no de personas con esquema clasico completo,2018-04-01,1,2,1,2,3
ORURO,rabia,no de personas con esquema clasico completo,2018-04-01,2,4,2,4,6
PADILLA,rabia,no de personas con esquema clasico completo,2018-04-01,1,0,1,0,1
PORONGO,rabia,no de personas con esquema clasico completo,2018-04-01,0,1,0,1,1
PORTACHUELO,rabia,no de personas con esquema clasico completo,2018-04-01,1,0,1,0,1
QUILLACOLLO,rabia,no de personas con esquema clasico completo,2018-04-01,1,0,1,0,1
SACACA,rabia,no de personas con esquema clasico completo,2018-04-01,0,1,0,1,1
SAN IGNACIO,rabia,no de personas con esquema clasico completo,2018-04-01,3,2,3,2,5
SAN JAVIER(STC),rabia,no de personas con esquema clasico completo,2018-04-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2018-04-01,69,63,69,63,132
SANTA ROSA DEL SARA,rabia,no de personas con esquema clasico completo,2018-04-01,2,0,2,0,2
SUCRE,rabia,no de personas con esquema clasico completo,2018-04-01,2,3,2,3,5
TARIJA,rabia,no de personas con esquema clasico completo,2018-04-01,10,19,10,19,29
TOMAVE,rabia,no de personas con esquema clasico completo,2018-04-01,1,0,1,0,1
TRINIDAD,rabia,no de personas con esquema clasico completo,2018-04-01,15,16,15,16,31
VIACHA,rabia,no de personas con esquema clasico completo,2018-04-01,1,0,1,0,1
VILLA MONTES,rabia,no de personas con esquema clasico completo,2018-04-01,1,1,1,1,2
VILLA VACA GUZMAN (MUYUPAMPA),rabia,no de personas con esquema clasico completo,2018-04-01,0,1,0,1,1
VILLAZON,rabia,no de personas con esquema clasico completo,2018-04-01,1,0,1,0,1
WARNES,rabia,no de personas con esquema clasico completo,2018-04-01,5,4,5,4,9
YAPACANI,rabia,no de personas con esquema clasico completo,2018-04-01,1,2,1,2,3
ACHACACHI,rabia,no de personas con esquema clasico completo,2018-05-01,1,0,1,0,1
CABEZAS,rabia,no de personas con esquema clasico completo,2018-05-01,0,1,0,1,1
COCHABAMBA,rabia,no de personas con esquema clasico completo,2018-05-01,7,4,7,4,11
COLQUIRI,rabia,no de personas con esquema clasico completo,2018-05-01,1,0,1,0,1
COTOCA,rabia,no de personas con esquema clasico completo,2018-05-01,1,3,1,3,4
CURAHUARA DE CARANGAS,rabia,no de personas con esquema clasico completo,2018-05-01,2,2,2,2,4
EL ALTO,rabia,no de personas con esquema clasico completo,2018-05-01,23,18,23,18,41
EL TORNO,rabia,no de personas con esquema clasico completo,2018-05-01,1,0,1,0,1
HUARINA,rabia,no de personas con esquema clasico completo,2018-05-01,1,0,1,0,1
LA ASUNTA,rabia,no de personas con esquema clasico completo,2018-05-01,1,0,1,0,1
LA GUARDIA,rabia,no de personas con esquema clasico completo,2018-05-01,5,5,5,5,10
LA PAZ,rabia,no de personas con esquema clasico completo,2018-05-01,9,1,9,1,10
MONTERO,rabia,no de personas con esquema clasico completo,2018-05-01,3,3,3,3,6
ORURO,rabia,no de personas con esquema clasico completo,2018-05-01,1,0,1,0,1
PAILON,rabia,no de personas con esquema clasico completo,2018-05-01,5,1,5,1,6
PORONGO,rabia,no de personas con esquema clasico completo,2018-05-01,0,2,0,2,2
POTOSI,rabia,no de personas con esquema clasico completo,2018-05-01,42,39,42,39,81
QUILLACOLLO,rabia,no de personas con esquema clasico completo,2018-05-01,2,0,2,0,2
SAN ANDRES,rabia,no de personas con esquema clasico completo,2018-05-01,1,0,1,0,1
SAN BENITO,rabia,no de personas con esquema clasico completo,2018-05-01,1,0,1,0,1
SAN IGNACIO,rabia,no de personas con esquema clasico completo,2018-05-01,9,3,9,3,12
SAN JOSE DE CHIQUITOS,rabia,no de personas con esquema clasico completo,2018-05-01,1,0,1,0,1
SAN PEDRO DE BUENA VISTA,rabia,no de personas con esquema clasico completo,2018-05-01,1,2,1,2,3
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2018-05-01,55,42,55,42,97
SICA SICA (VILLA AROMA),rabia,no de personas con esquema clasico completo,2018-05-01,1,0,1,0,1
TIQUIPAYA,rabia,no de personas con esquema clasico completo,2018-05-01,1,0,1,0,1
TRINIDAD,rabia,no de personas con esquema clasico completo,2018-05-01,15,9,15,9,24
VIACHA,rabia,no de personas con esquema clasico completo,2018-05-01,0,1,0,1,1
VILLA MONTES,rabia,no de personas con esquema clasico completo,2018-05-01,4,0,4,0,4
VILLAZON,rabia,no de personas con esquema clasico completo,2018-05-01,1,0,1,0,1
WARNES,rabia,no de personas con esquema clasico completo,2018-05-01,0,4,0,4,4
YACUIBA,rabia,no de personas con esquema clasico completo,2018-05-01,4,1,4,1,5
YAPACANI,rabia,no de personas con esquema clasico completo,2018-05-01,0,2,0,2,2
ACHACACHI,rabia,no de personas con esquema clasico completo,2018-06-01,1,0,1,0,1
ACHOCALLA,rabia,no de personas con esquema clasico completo,2018-06-01,1,2,1,2,3
BAURES,rabia,no de personas con esquema clasico completo,2018-06-01,1,0,1,0,1
CAMIRI,rabia,no de personas con esquema clasico completo,2018-06-01,0,1,0,1,1
CARANAVI,rabia,no de personas con esquema clasico completo,2018-06-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),rabia,no de personas con esquema clasico completo,2018-06-01,1,0,1,0,1
COCHABAMBA,rabia,no de personas con esquema clasico completo,2018-06-01,6,6,6,6,12
COLQUIRI,rabia,no de personas con esquema clasico completo,2018-06-01,1,0,1,0,1
COTOCA,rabia,no de personas con esquema clasico completo,2018-06-01,2,1,2,1,3
CUATRO CAÑADAS,rabia,no de personas con esquema clasico completo,2018-06-01,0,2,0,2,2
EL ALTO,rabia,no de personas con esquema clasico completo,2018-06-01,20,18,20,18,38
EL CHORO,rabia,no de personas con esquema clasico completo,2018-06-01,0,1,0,1,1
EL TORNO,rabia,no de personas con esquema clasico completo,2018-06-01,1,1,1,1,2
FERNANDEZ ALONSO,rabia,no de personas con esquema clasico completo,2018-06-01,0,2,0,2,2
LA GUARDIA,rabia,no de personas con esquema clasico completo,2018-06-01,2,1,2,1,3
LA PAZ,rabia,no de personas con esquema clasico completo,2018-06-01,5,9,5,9,14
ORURO,rabia,no de personas con esquema clasico completo,2018-06-01,3,4,3,4,7
PELECHUCO,rabia,no de personas con esquema clasico completo,2018-06-01,1,0,1,0,1
PORTACHUELO,rabia,no de personas con esquema clasico completo,2018-06-01,1,0,1,0,1
PUCARANI,rabia,no de personas con esquema clasico completo,2018-06-01,0,1,0,1,1
QUILLACOLLO,rabia,no de personas con esquema clasico completo,2018-06-01,1,0,1,0,1
ROBORE,rabia,no de personas con esquema clasico completo,2018-06-01,1,0,1,0,1
RURRENABAQUE,rabia,no de personas con esquema clasico completo,2018-06-01,0,1,0,1,1
SAN ANDRES,rabia,no de personas con esquema clasico completo,2018-06-01,1,0,1,0,1
SAN ANTONIO DE LOMERIO,rabia,no de personas con esquema clasico completo,2018-06-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2018-06-01,59,63,59,63,122
SIPE SIPE,rabia,no de personas con esquema clasico completo,2018-06-01,1,0,1,0,1
SUCRE,rabia,no de personas con esquema clasico completo,2018-06-01,1,3,1,3,4
TARABUCO,rabia,no de personas con esquema clasico completo,2018-06-01,1,0,1,0,1
TRINIDAD,rabia,no de personas con esquema clasico completo,2018-06-01,13,14,13,14,27
UYUNI,rabia,no de personas con esquema clasico completo,2018-06-01,1,2,1,2,3
VIACHA,rabia,no de personas con esquema clasico completo,2018-06-01,2,0,2,0,2
WARNES,rabia,no de personas con esquema clasico completo,2018-06-01,7,0,7,0,7
YAPACANI,rabia,no de personas con esquema clasico completo,2018-06-01,1,0,1,0,1
ACHACACHI,rabia,no de personas con esquema clasico completo,2018-07-01,1,0,1,0,1
ANCORAIMES,rabia,no de personas con esquema clasico completo,2018-07-01,1,0,1,0,1
CAMARGO,rabia,no de personas con esquema clasico completo,2018-07-01,0,3,0,3,3
CAPINOTA,rabia,no de personas con esquema clasico completo,2018-07-01,1,0,1,0,1
CARANAVI,rabia,no de personas con esquema clasico completo,2018-07-01,0,1,0,1,1
CHUMA,rabia,no de personas con esquema clasico completo,2018-07-01,0,1,0,1,1
COCHABAMBA,rabia,no de personas con esquema clasico completo,2018-07-01,2,4,2,4,6
COLQUENCHA,rabia,no de personas con esquema clasico completo,2018-07-01,0,1,0,1,1
CONCEPCION,rabia,no de personas con esquema clasico completo,2018-07-01,2,0,2,0,2
EL ALTO,rabia,no de personas con esquema clasico completo,2018-07-01,34,18,34,18,52
EL TORNO,rabia,no de personas con esquema clasico completo,2018-07-01,1,1,1,1,2
GENERAL SAAVEDRA,rabia,no de personas con esquema clasico completo,2018-07-01,1,0,1,0,1
LA GUARDIA,rabia,no de personas con esquema clasico completo,2018-07-01,4,1,4,1,5
LA PAZ,rabia,no de personas con esquema clasico completo,2018-07-01,11,11,11,11,22
LLALLAGUA,rabia,no de personas con esquema clasico completo,2018-07-01,1,2,1,2,3
LORETO,rabia,no de personas con esquema clasico completo,2018-07-01,0,1,0,1,1
MAIRANA,rabia,no de personas con esquema clasico completo,2018-07-01,1,0,1,0,1
MONTERO,rabia,no de personas con esquema clasico completo,2018-07-01,6,4,6,4,10
ORURO,rabia,no de personas con esquema clasico completo,2018-07-01,1,1,1,1,2
PAILON,rabia,no de personas con esquema clasico completo,2018-07-01,2,4,2,4,6
POTOSI,rabia,no de personas con esquema clasico completo,2018-07-01,33,18,33,18,51
QUIRUSILLAS,rabia,no de personas con esquema clasico completo,2018-07-01,2,0,2,0,2
SAMAIPATA,rabia,no de personas con esquema clasico completo,2018-07-01,0,1,0,1,1
SAN BENITO,rabia,no de personas con esquema clasico completo,2018-07-01,1,0,1,0,1
SAN BORJA,rabia,no de personas con esquema clasico completo,2018-07-01,1,0,1,0,1
SAN IGNACIO,rabia,no de personas con esquema clasico completo,2018-07-01,0,2,0,2,2
SAN MATIAS,rabia,no de personas con esquema clasico completo,2018-07-01,1,0,1,0,1
SAN PEDRO DE TIQUINA,rabia,no de personas con esquema clasico completo,2018-07-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2018-07-01,30,34,30,34,64
SUCRE,rabia,no de personas con esquema clasico completo,2018-07-01,1,1,1,1,2
TRINIDAD,rabia,no de personas con esquema clasico completo,2018-07-01,17,13,17,13,30
UNCIA,rabia,no de personas con esquema clasico completo,2018-07-01,0,1,0,1,1
VILLA MONTES,rabia,no de personas con esquema clasico completo,2018-07-01,3,0,3,0,3
WARNES,rabia,no de personas con esquema clasico completo,2018-07-01,5,3,5,3,8
ACHACACHI,rabia,no de personas con esquema clasico completo,2018-08-01,0,1,0,1,1
BUENA VISTA,rabia,no de personas con esquema clasico completo,2018-08-01,0,1,0,1,1
CAMARGO,rabia,no de personas con esquema clasico completo,2018-08-01,2,1,2,1,3
COCHABAMBA,rabia,no de personas con esquema clasico completo,2018-08-01,8,6,8,6,14
COLCAPIRHUA,rabia,no de personas con esquema clasico completo,2018-08-01,1,0,1,0,1
CORIPATA,rabia,no de personas con esquema clasico completo,2018-08-01,0,1,0,1,1
COTAGAITA,rabia,no de personas con esquema clasico completo,2018-08-01,1,0,1,0,1
COTOCA,rabia,no de personas con esquema clasico completo,2018-08-01,1,3,1,3,4
EL ALTO,rabia,no de personas con esquema clasico completo,2018-08-01,27,14,27,14,41
EL TORNO,rabia,no de personas con esquema clasico completo,2018-08-01,3,0,3,0,3
LA GUARDIA,rabia,no de personas con esquema clasico completo,2018-08-01,7,11,7,11,18
LA PAZ,rabia,no de personas con esquema clasico completo,2018-08-01,14,17,14,17,31
MONTERO,rabia,no de personas con esquema clasico completo,2018-08-01,3,1,3,1,4
ORURO,rabia,no de personas con esquema clasico completo,2018-08-01,7,10,7,10,17
PAILON,rabia,no de personas con esquema clasico completo,2018-08-01,1,0,1,0,1
PAMPA GRANDE,rabia,no de personas con esquema clasico completo,2018-08-01,1,2,1,2,3
PORONGO,rabia,no de personas con esquema clasico completo,2018-08-01,1,0,1,0,1
POTOSI,rabia,no de personas con esquema clasico completo,2018-08-01,16,16,16,16,32
PUCARANI,rabia,no de personas con esquema clasico completo,2018-08-01,1,0,1,0,1
PUERTO VILLARROEL,rabia,no de personas con esquema clasico completo,2018-08-01,1,0,1,0,1
SAMAIPATA,rabia,no de personas con esquema clasico completo,2018-08-01,1,0,1,0,1
SAN IGNACIO,rabia,no de personas con esquema clasico completo,2018-08-01,3,1,3,1,4
SAN JULIAN,rabia,no de personas con esquema clasico completo,2018-08-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2018-08-01,18,15,18,15,33
SIPE SIPE,rabia,no de personas con esquema clasico completo,2018-08-01,1,0,1,0,1
TARATA,rabia,no de personas con esquema clasico completo,2018-08-01,0,1,0,1,1
TIQUIPAYA,rabia,no de personas con esquema clasico completo,2018-08-01,1,0,1,0,1
TOMAVE,rabia,no de personas con esquema clasico completo,2018-08-01,1,0,1,0,1
TRINIDAD,rabia,no de personas con esquema clasico completo,2018-08-01,5,10,5,10,15
UYUNI,rabia,no de personas con esquema clasico completo,2018-08-01,0,1,0,1,1
VALLEGRANDE,rabia,no de personas con esquema clasico completo,2018-08-01,4,1,4,1,5
VIACHA,rabia,no de personas con esquema clasico completo,2018-08-01,2,0,2,0,2
VILLA MONTES,rabia,no de personas con esquema clasico completo,2018-08-01,1,1,1,1,2
VILLAZON,rabia,no de personas con esquema clasico completo,2018-08-01,2,1,2,1,3
WARNES,rabia,no de personas con esquema clasico completo,2018-08-01,5,2,5,2,7
ACHOCALLA,rabia,no de personas con esquema clasico completo,2018-09-01,1,0,1,0,1
ANCORAIMES,rabia,no de personas con esquema clasico completo,2018-09-01,0,1,0,1,1
CABEZAS,rabia,no de personas con esquema clasico completo,2018-09-01,1,0,1,0,1
CAPINOTA,rabia,no de personas con esquema clasico completo,2018-09-01,1,0,1,0,1
CARAPARI,rabia,no de personas con esquema clasico completo,2018-09-01,1,0,1,0,1
CARMEN RIVERO TORREZ,rabia,no de personas con esquema clasico completo,2018-09-01,0,1,0,1,1
COCHABAMBA,rabia,no de personas con esquema clasico completo,2018-09-01,12,8,12,8,20
CONCEPCION,rabia,no de personas con esquema clasico completo,2018-09-01,0,1,0,1,1
COTOCA,rabia,no de personas con esquema clasico completo,2018-09-01,6,1,6,1,7
EL ALTO,rabia,no de personas con esquema clasico completo,2018-09-01,16,18,16,18,34
EUCALIPTUS,rabia,no de personas con esquema clasico completo,2018-09-01,1,2,1,2,3
LA GUARDIA,rabia,no de personas con esquema clasico completo,2018-09-01,2,5,2,5,7
LA PAZ,rabia,no de personas con esquema clasico completo,2018-09-01,8,6,8,6,14
LAJA,rabia,no de personas con esquema clasico completo,2018-09-01,1,0,1,0,1
MONTERO,rabia,no de personas con esquema clasico completo,2018-09-01,2,0,2,0,2
OCURI,rabia,no de personas con esquema clasico completo,2018-09-01,3,0,3,0,3
ORURO,rabia,no de personas con esquema clasico completo,2018-09-01,2,2,2,2,4
PAMPA GRANDE,rabia,no de personas con esquema clasico completo,2018-09-01,0,2,0,2,2
PELECHUCO,rabia,no de personas con esquema clasico completo,2018-09-01,0,1,0,1,1
POROMA,rabia,no de personas con esquema clasico completo,2018-09-01,1,0,1,0,1
PORONGO,rabia,no de personas con esquema clasico completo,2018-09-01,1,0,1,0,1
POTOSI,rabia,no de personas con esquema clasico completo,2018-09-01,40,29,40,29,69
QUILLACOLLO,rabia,no de personas con esquema clasico completo,2018-09-01,1,0,1,0,1
RURRENABAQUE,rabia,no de personas con esquema clasico completo,2018-09-01,1,0,1,0,1
SAN ANDRES,rabia,no de personas con esquema clasico completo,2018-09-01,2,0,2,0,2
SAN IGNACIO,rabia,no de personas con esquema clasico completo,2018-09-01,0,1,0,1,1
SAN PEDRO DE QUEMES,rabia,no de personas con esquema clasico completo,2018-09-01,0,1,0,1,1
SAN RAMON SCZ,rabia,no de personas con esquema clasico completo,2018-09-01,1,3,1,3,4
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2018-09-01,45,38,45,38,83
SICA SICA (VILLA AROMA),rabia,no de personas con esquema clasico completo,2018-09-01,0,1,0,1,1
SORATA,rabia,no de personas con esquema clasico completo,2018-09-01,0,2,0,2,2
TIQUIPAYA,rabia,no de personas con esquema clasico completo,2018-09-01,3,1,3,1,4
TRINIDAD,rabia,no de personas con esquema clasico completo,2018-09-01,22,17,22,17,39
VIACHA,rabia,no de personas con esquema clasico completo,2018-09-01,1,0,1,0,1
VILLA MONTES,rabia,no de personas con esquema clasico completo,2018-09-01,1,1,1,1,2
WARNES,rabia,no de personas con esquema clasico completo,2018-09-01,4,3,4,3,7
ACHOCALLA,rabia,no de personas con esquema clasico completo,2018-10-01,1,0,1,0,1
ANCORAIMES,rabia,no de personas con esquema clasico completo,2018-10-01,0,1,0,1,1
CABEZAS,rabia,no de personas con esquema clasico completo,2018-10-01,0,1,0,1,1
COCHABAMBA,rabia,no de personas con esquema clasico completo,2018-10-01,4,2,4,2,6
COMARAPA,rabia,no de personas con esquema clasico completo,2018-10-01,0,1,0,1,1
CORIPATA,rabia,no de personas con esquema clasico completo,2018-10-01,1,0,1,0,1
COTOCA,rabia,no de personas con esquema clasico completo,2018-10-01,3,6,3,6,9
EL ALTO,rabia,no de personas con esquema clasico completo,2018-10-01,12,21,12,21,33
HUARINA,rabia,no de personas con esquema clasico completo,2018-10-01,1,0,1,0,1
ICLA,rabia,no de personas con esquema clasico completo,2018-10-01,1,0,1,0,1
LA GUARDIA,rabia,no de personas con esquema clasico completo,2018-10-01,7,5,7,5,12
LA PAZ,rabia,no de personas con esquema clasico completo,2018-10-01,9,11,9,11,20
MAIRANA,rabia,no de personas con esquema clasico completo,2018-10-01,1,0,1,0,1
MONTERO,rabia,no de personas con esquema clasico completo,2018-10-01,3,0,3,0,3
ORURO,rabia,no de personas con esquema clasico completo,2018-10-01,3,2,3,2,5
PAILON,rabia,no de personas con esquema clasico completo,2018-10-01,2,1,2,1,3
PAMPA GRANDE,rabia,no de personas con esquema clasico completo,2018-10-01,1,1,1,1,2
POTOSI,rabia,no de personas con esquema clasico completo,2018-10-01,17,24,17,24,41
PUCARANI,rabia,no de personas con esquema clasico completo,2018-10-01,1,0,1,0,1
