,group,variable,month,ANTIPOLIOMIELÍTICA 2DA DOSIS CANTIDAD,ANTIPOLIOMIELÍTICA 2DA DOSIS CANTIDAD,TOTALES
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-03-01,7,15,22
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-03-01,4,0,4
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-03-01,2,1,3
LA PAZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-03-01,24,1,25
MONTERO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-03-01,2,0,2
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-03-01,0,2,2
ORURO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-03-01,2,0,2
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-03-01,0,1,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-03-01,1,2,3
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-03-01,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-03-01,10,0,10
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-03-01,1,0,1
ROBORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-03-01,4,0,4
SACABA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-03-01,1,2,3
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-03-01,1,1,2
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-03-01,0,17,17
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-03-01,0,1,1
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-03-01,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-03-01,52,15,67
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-03-01,1,1,2
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-03-01,0,2,2
SUCRE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-03-01,1,0,1
TIAWANACU,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-03-01,1,0,1
TOCO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-03-01,0,1,1
TOMAVE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-03-01,0,1,1
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-03-01,1,1,2
VACAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-03-01,6,0,6
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-03-01,3,0,3
YACUIBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-03-01,16,0,16
AIQUILE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,14,45,59
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,10,5,15
AZURDUY,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,12,5,17
BELLA FLOR,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,0,20,20
BOYUIBE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,0,23,23
CABEZAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,150,8,158
"CAIZA ""D""",vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,0,1,1
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,10,9,19
CAMIRI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,6,11,17
CARAPARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,8,0,8
CHAQUI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,4,7,11
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,0,3,3
CKOCHAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,0,8,8
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,8,21,29
COLOMI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,1,0,1
COMANCHE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,0,1,1
COMARAPA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,2,0,2
CORIPATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,0,5,5
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,0,38,38
EL ALTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,40,9,49
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,10,1,11
EL TORNO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,0,1,1
EL VILLAR,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,0,16,16
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,3,0,3
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,3,1,4
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,6,20,26
GUAQUI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,0,2,2
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,0,5,5
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,4,23,27
HUANUNI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,1,0,1
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,0,1,1
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,1,0,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,16,0,16
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,0,1,1
MINEROS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,1,0,1
MIZQUE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,0,4,4
MOJOCOYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,5,18,23
MONTERO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,16,31,47
ORURO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,2,0,2
PADILLA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,0,2,2
PAILON,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,0,2,2
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,0,1,1
PORVENIR,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,0,3,3
POTOSI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,3,0,3
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,4,18,22
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,5,0,5
PUNA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,0,1,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,1,0,1
RAVELO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,0,8,8
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,1,0,1
ROBORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,19,28,47
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,2,11,13
SACABA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,0,8,8
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,0,1,1
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,0,1,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,1,15,16
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,0,1,1
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,0,5,5
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,0,4,4
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,0,2,2
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,0,6,6
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,6,5,11
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,0,2,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,45,114,159
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,1,2,3
SUCRE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,8,13,21
TAPACARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,1,2,3
TARVITA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,4,30,34
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,4,3,7
TOLATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,0,1,1
TOMINA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,0,1,1
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,0,11,11
UNCIA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,1,0,1
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,1,0,1
URUBICHA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,0,25,25
VACAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,1,36,37
VIACHA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,11,0,11
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,0,3,3
VILLA SERRANO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,4,7,11
VINTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,2,0,2
WARNES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,1,19,20
YACUIBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,13,0,13
YOCALLA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-04-01,0,16,16
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,0,1,1
ARAMPAMPA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,0,13,13
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,0,18,18
ATOCHA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,0,25,25
BELLA FLOR,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,0,3,3
BOYUIBE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,0,69,69
BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,0,4,4
CABEZAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,0,48,48
"CAIZA ""D""",vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,4,0,4
CAMIRI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,3,16,19
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,0,1,1
CARAPARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,0,7,7
CHIMORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,1,0,1
CKOCHAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,0,6,6
COBIJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,0,5,5
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,1,18,19
COLLANA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,1,0,1
COMANCHE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,0,1,1
CORIPATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,1,5,6
COTOCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,0,1,1
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,0,6,6
EL ALTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,24,27,51
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,8,16,24
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,4,3,7
EL TORNO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,0,1,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,1,2,3
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,11,2,13
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,2,4,6
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,4,10,14
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,1,0,1
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,2,0,2
HUANUNI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,0,9,9
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,0,3,3
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,12,0,12
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,2,8,10
LA PAZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,4,38,42
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,9,12,21
LAJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,0,1,1
MINEROS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,68,1,69
