,group,variable,month,DPT 4TA DOSIS CANTIDAD,DPT 4TA DOSIS CANTIDAD,TOTALES
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,0,1,1
SAN LORENZO(PND),vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,0,1,1
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,6,0,6
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,0,1,1
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,1,1,2
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,13,9,22
SAN RAMON BENI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,0,1,1
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,4,0,4
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,424,0,424
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,1,17,18
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,9,0,9
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,3,1,4
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,3,2,5
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,28,0,28
SORACACHI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,1,3,4
SUCRE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,122,10,132
TACACOMA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,0,5,5
TACOBAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,3,7,10
TACOPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,10,8,18
TAPACARI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,4,4,8
TARIJA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,104,29,133
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,3,6,9
TOMINA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,0,1,1
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,1,3,4
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,55,1,56
TUPIZA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,6,9,15
VALLEGRANDE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,6,0,6
VILLA CHARCAS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,9,4,13
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,55,18,73
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,19,21,40
VILLAZON,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,16,3,19
WARNES,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,43,6,49
YACUIBA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,34,2,36
YAPACANI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-01-01,0,1,1
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,7,4,11
AIQUILE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,19,2,21
ALCALA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,4,0,4
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,1,0,1
BELLA FLOR,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,1,0,1
BERMEJO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,17,1,18
CABEZAS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,7,20,27
CAJUATA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,5,1,6
CALACOTO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,0,10,10
CAMARGO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,4,0,4
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,75,0,75
CARANAVI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,4,0,4
CARAPARI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,1,5,6
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,1,9,10
CHARAÑA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,2,0,2
CHIMORE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,0,2,2
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,0,20,20
COBIJA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,29,17,46
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,164,14,178
COLOMI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,0,8,8
COLQUIRI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,4,3,7
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,32,0,32
CORO CORO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,0,6,6
COROICO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,3,0,3
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,1,4,5
COTOCA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,25,21,46
CULPINA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,22,3,25
DESAGUADERO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,302,111,413
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,23,9,32
EL TORNO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,26,0,26
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,1,0,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,4,2,6
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,42,10,52
HUANUNI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,1,0,1
ICLA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,31,0,31
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,25,27,52
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,7,61,68
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,2,0,2
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,1,0,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,80,12,92
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,5,1,6
LAS CARRERAS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,1,0,1
MACHACAMARCA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,1,0,1
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,10,0,10
MAIRANA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,8,0,8
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,26,1,27
MONTERO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,20,4,24
OKINAWA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,8,0,8
OMEREQUE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,1,7,8
ORURO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,105,1,106
PADILLA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,1,0,1
PAILON,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,22,14,36
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,1,0,1
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,1,2,3
PAZÑA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,1,0,1
POCOATA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,10,0,10
POCONA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,15,10,25
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,3,0,3
POROMA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,0,1,1
PORONGO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,0,5,5
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,1,0,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,74,0,74
PUERTO CARABUCO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,0,4,4
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,12,1,13
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,10,4,14
PUNATA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,4,0,4
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,15,15,30
QUIME,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,0,4,4
QUIRUSILLAS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,1,0,1
RAVELO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,0,115,115
REYES,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,14,16,30
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,10,0,10
ROBORE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,0,2,2
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,1,0,1
SACABA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,12,29,41
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,1,1,2
SAMAIPATA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,12,2,14
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,1,1,2
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,5,50,55
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,42,0,42
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,13,2,15
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,1,0,1
SAN JUAN DE YAPACANI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,1,0,1
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,0,8,8
SAN LORENZO(PND),vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,7,3,10
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,5,2,7
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,2,0,2
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,5,20,25
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,0,9,9
SAN RAMON BENI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,1,5,6
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,4,0,4
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,338,139,477
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,7,0,7
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,4,0,4
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,3,1,4
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,3,20,23
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,1,0,1
SOPACHUY,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,0,8,8
SORACACHI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,0,6,6
SUCRE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,52,1,53
TACACOMA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,16,7,23
TACOPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,4,0,4
TAPACARI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,2,15,17
TARIJA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,29,29,58
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,3,7,10
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,0,10,10
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,16,2,18
TURCO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,0,3,3
VALLEGRANDE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,8,0,8
VILLA CHARCAS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,3,1,4
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,42,16,58
VILLA RIVERO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,1,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,23,14,37
VILLAZON,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,33,0,33
WARNES,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,54,13,67
YACUIBA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,21,5,26
YAPACANI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,28,6,34
YOTALA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,1,0,1
YUNCHARA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-02-01,1,5,6
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-03-01,15,6,21
AIQUILE,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-03-01,12,4,16
ALCALA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-03-01,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-03-01,18,0,18
AYO AYO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-03-01,0,7,7
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-03-01,0,4,4
BERMEJO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-03-01,5,5,10
CABEZAS,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-03-01,4,24,28
CAJUATA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-03-01,2,0,2
CALACOTO,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-03-01,0,10,10
CALAMARCA,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-03-01,1,0,1
CAMIRI,vacunaciones en ninos de 2 a 4 anos,dpt 4ta dosis,2011-03-01,3,0,3
