,group,variable,month,SRP DOSIS ÚNICA CANTIDAD,SRP DOSIS ÚNICA CANTIDAD,TOTALES
BERMEJO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,14,30,44
BETANZOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,9,2,11
BOLIVAR,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,7,11,18
BOYUIBE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,1,0,1
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,2,1,3
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,1,0,1
CARANAVI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,0,1,1
CARIPUYO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,1,46,47
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,0,2,2
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,0,1,1
CHUMA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,0,8,8
COBIJA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,5,3,8
COCAPATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,2,1,3
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,18,10,28
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,1,0,1
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,1,4,5
COLOMI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,0,3,3
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,0,31,31
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,25,11,36
COPACABANA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,0,1,1
CORIPATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,3,0,3
COROICO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,2,1,3
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,1,1,2
COTOCA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,4,1,5
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,0,2,2
CURVA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,4,7,11
DESAGUADERO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,7,3,10
EL ALTO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,77,25,102
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,1,0,1
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,1,9,10
EL TORNO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,0,12,12
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,3,1,4
HUANUNI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,3,0,3
ICHOCA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,0,1,1
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,6,0,6
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,6,3,9
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,5,0,5
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,0,1,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,42,61,103
LAS CARRERAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,3,3,6
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,39,71,110
LURIBAY,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,3,14,17
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,0,1,1
MALLA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,0,7,7
MINEROS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,1,1,2
MIZQUE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,0,21,21
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,1,0,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,7,0,7
OMEREQUE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,1,29,30
ORURO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,15,1,16
PASORAPA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,4,0,4
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,5,0,5
POTOSI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,2,0,2
PUCARANI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,0,3,3
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,2,0,2
PUNA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,0,10,10
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,5,2,7
RAVELO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,5,0,5
ROBORE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,1,0,1
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,0,1,1
SACABA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,6,21,27
SACABAMBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,0,1,1
SACACA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,3,19,22
SAN AGUSTIN,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,4,0,4
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,4,2,6
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,2,2,4
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,2,0,2
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,0,11,11
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,2,0,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,3,0,3
SAN JUAN DE YAPACANI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,1,0,1
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,1,4,5
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,0,1,1
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,0,52,52
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,3,0,3
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,93,20,113
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,1,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,1,0,1
SORATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,0,1,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,3,2,5
TACACOMA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,0,1,1
TACOBAMBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,0,1,1
TACOPAYA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,3,6,9
TAHUA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,0,11,11
TARACO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,0,14,14
TARATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,1,1,2
TARIJA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,2,4,6
TIAWANACU,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,0,1,1
TINGUIPAYA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,3,53,56
TIPUANI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,0,1,1
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,8,3,11
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,0,2,2
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,19,0,19
TURCO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,0,1,1
VIACHA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,1,0,1
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,0,7,7
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,3,1,4
VILLAZON,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,6,10,16
VINTO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,3,0,3
WARNES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,4,0,4
YACUIBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,0,5,5
YUNCHARA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-02-01,7,21,28
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,4,3,7
ATOCHA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,1,0,1
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,0,2,2
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,3,0,3
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,1,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,2,3,5
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,0,7,7
CHIMORE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,1,1,2
COBIJA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,7,2,9
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,31,23,54
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,5,1,6
COLOMI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,1,2,3
COLQUIRI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,1,0,1
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,2,2,4
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,1,0,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,5,2,7
EL ALTO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,57,42,99
EL TORNO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,9,0,9
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,2,2,4
HUANUNI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,1,5,6
HUARINA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,0,2,2
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,0,1,1
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,4,0,4
LA PAZ,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,39,33,72
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,2,0,2
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,1,0,1
MINEROS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,0,1,1
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,1,0,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,8,5,13
OKINAWA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,1,0,1
OMEREQUE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,0,1,1
ORURO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,10,4,14
PAILON,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,0,3,3
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,1,1,2
POCOATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,1,0,1
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,0,2,2
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,11,0,11
POTOSI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,5,0,5
PUCARANI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,0,1,1
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,0,1,1
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,3,0,3
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,2,0,2
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,2,6,8
QUIME,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,1,0,1
REYES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,0,1,1
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,5,46,51
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,1,0,1
SACABA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,7,15,22
SACACA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,1,0,1
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,1,0,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,5,4,9
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,2,1,3
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,2,0,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,0,2,2
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,0,1,1
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,11,0,11
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,0,1,1
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,0,1,1
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,1,0,1
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,6,0,6
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,3,8,11
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,84,22,106
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,2,0,2
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,0,1,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,6,1,7
TACOBAMBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,0,3,3
TACOPAYA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,2,0,2
TARIJA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,1,0,1
TIPUANI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,0,1,1
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,1,2,3
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,2,1,3
