,group,variable,month,DPT 3RA DOSIS CANTIDAD,DPT 3RA DOSIS CANTIDAD,TOTALES
VILLAZON,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-02-01,1,0,1
VINTO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-02-01,2,0,2
WARNES,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-02-01,1,0,1
YACUIBA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-02-01,0,1,1
ALALAY,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-03-01,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-03-01,1,0,1
ATOCHA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-03-01,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-03-01,0,1,1
CABEZAS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-03-01,1,0,1
CAMIRI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-03-01,1,0,1
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-03-01,1,0,1
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-03-01,0,3,3
COBIJA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-03-01,3,0,3
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-03-01,9,16,25
COLOMI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-03-01,1,7,8
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-03-01,1,0,1
CORIPATA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-03-01,3,0,3
COTOCA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-03-01,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-03-01,27,8,35
HUANUNI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-03-01,1,54,55
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-03-01,0,5,5
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-03-01,1,3,4
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-03-01,8,2,10
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-03-01,2,3,5
MONTERO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-03-01,7,1,8
ORURO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-03-01,9,0,9
PAILON,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-03-01,4,0,4
POCONA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-03-01,0,4,4
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-03-01,2,0,2
POTOSI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-03-01,1,2,3
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-03-01,0,2,2
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-03-01,3,0,3
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-03-01,1,2,3
SACABA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-03-01,0,3,3
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-03-01,2,4,6
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-03-01,0,18,18
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-03-01,1,3,4
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-03-01,1,12,13
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-03-01,1,0,1
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-03-01,0,1,1
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-03-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-03-01,42,0,42
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-03-01,2,1,3
SUCRE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-03-01,9,1,10
TAPACARI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-03-01,0,1,1
TARIJA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-03-01,1,0,1
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-03-01,23,0,23
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-03-01,11,5,16
UNCIA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-03-01,3,0,3
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-03-01,0,1,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-03-01,4,0,4
VILLAZON,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-03-01,0,5,5
WARNES,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-03-01,2,0,2
YACUIBA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-03-01,1,1,2
YANACACHI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-03-01,3,0,3
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-04-01,10,38,48
AUCAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-04-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-04-01,8,9,17
BOYUIBE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-04-01,0,6,6
CAIROMA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-04-01,0,1,1
CAQUIAVIRI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-04-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-04-01,0,2,2
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-04-01,17,24,41
COLOMI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-04-01,0,1,1
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-04-01,0,5,5
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-04-01,0,6,6
COTOCA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-04-01,2,1,3
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-04-01,17,2,19
EL TORNO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-04-01,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-04-01,1,2,3
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-04-01,1,0,1
HUACARETA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-04-01,1,0,1
HUANUNI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-04-01,1,1,2
ICLA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-04-01,0,3,3
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-04-01,0,2,2
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-04-01,0,3,3
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-04-01,1,25,26
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-04-01,12,6,18
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-04-01,0,2,2
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-04-01,1,0,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-04-01,3,0,3
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-04-01,1,1,2
ORURO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-04-01,3,1,4
PAILON,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-04-01,0,17,17
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-04-01,0,1,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-04-01,2,1,3
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-04-01,1,10,11
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-04-01,0,1,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-04-01,1,2,3
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-04-01,5,0,5
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-04-01,0,1,1
SACABA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-04-01,5,2,7
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-04-01,0,2,2
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-04-01,0,1,1
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-04-01,17,0,17
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-04-01,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-04-01,0,2,2
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-04-01,0,3,3
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-04-01,120,53,173
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-04-01,1,0,1
SANTIAGO DE CALLAPA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-04-01,0,11,11
SANTIAGO DE MACHACA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-04-01,2,0,2
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-04-01,0,9,9
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-04-01,0,1,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-04-01,10,20,30
TIAWANACU,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-04-01,1,0,1
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-04-01,0,1,1
TOMAVE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-04-01,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-04-01,4,0,4
TURCO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-04-01,0,1,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-04-01,3,0,3
WARNES,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-04-01,1,4,5
YOCALLA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-04-01,0,33,33
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-05-01,13,31,44
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-05-01,0,27,27
BERMEJO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-05-01,2,0,2
BOYUIBE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-05-01,0,4,4
BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-05-01,0,6,6
CALAMARCA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-05-01,0,1,1
CAMIRI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-05-01,0,4,4
CARAPARI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-05-01,0,13,13
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-05-01,1,0,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-05-01,3,1,4
COBIJA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-05-01,1,1,2
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-05-01,16,6,22
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-05-01,0,1,1
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-05-01,0,7,7
COTOCA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-05-01,0,18,18
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-05-01,32,6,38
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-05-01,1,0,1
EL TORNO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-05-01,0,5,5
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-05-01,2,0,2
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-05-01,0,2,2
HUACARETA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-05-01,2,0,2
HUANUNI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-05-01,0,1,1
ICLA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-05-01,0,3,3
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-05-01,0,17,17
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-05-01,4,2,6
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-05-01,10,0,10
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-05-01,13,9,22
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-05-01,3,2,5
MECAPACA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-05-01,1,1,2
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-05-01,0,1,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-05-01,4,0,4
OKINAWA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-05-01,0,1,1
ORURO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-05-01,1,0,1
PAILON,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-05-01,0,1,1
PASORAPA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-05-01,3,0,3
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-05-01,0,3,3
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-05-01,1,1,2
POTOSI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-05-01,2,1,3
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-05-01,0,1,1
PUNATA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-05-01,1,0,1
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-05-01,2,0,2
SACABA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-05-01,7,48,55
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-05-01,0,4,4
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-05-01,0,2,2
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-05-01,3,36,39
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-05-01,4,0,4
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-05-01,0,9,9
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-05-01,0,3,3
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-05-01,0,23,23
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-05-01,79,34,113
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-05-01,1,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-05-01,3,0,3
SUCRE,vacunaciones en ninos de 2 a 4 anos,dpt 3ra dosis,2011-05-01,10,4,14
