,group,variable,month,ANTI AMARÍLICA CANTIDAD,ANTI AMARÍLICA CANTIDAD,TOTALES
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,0,4,4
BOLIVAR,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,1,0,1
BOYUIBE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,1,0,1
CABEZAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,18,15,33
CAIROMA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,0,3,3
CAJUATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,0,2,2
CAMIRI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,1,0,1
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,3,0,3
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,8,0,8
CARANAVI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,0,6,6
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,1,16,17
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,1,0,1
CHAYANTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,0,2,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,1,6,7
CHUMA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,1,0,1
CLIZA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,2,3,5
COBIJA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,5,4,9
COCAPATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,0,20,20
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,70,6,76
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,1,0,1
COLOMI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,1,0,1
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,0,6,6
COLQUIRI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,1,0,1
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,34,20,54
COROICO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,1,3,4
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,0,1,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,8,0,8
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,0,3,3
EL ALTO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,81,2,83
EL TORNO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,3,0,3
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,0,4,4
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,0,3,3
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,4,2,6
HUANUNI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,6,0,6
HUAYLLAMARCA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,0,1,1
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,4,0,4
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,6,0,6
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,15,0,15
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,10,1,11
LA PAZ,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,51,0,51
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,1,0,1
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,2,0,2
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,2,2,4
MALLA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,0,7,7
MAPIRI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,1,0,1
MECAPACA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,2,0,2
MINEROS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,3,1,4
MIZQUE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,4,0,4
MONTERO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,20,4,24
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,0,6,6
OKINAWA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,0,1,1
ORURO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,38,1,39
PAILON,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,0,1,1
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,1,3,4
PAZÑA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,1,0,1
POCOATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,0,9,9
POCONA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,0,3,3
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,0,1,1
PORONGO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,0,1,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,9,0,9
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,9,3,12
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,1,4,5
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,7,30,37
PUNATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,0,1,1
REYES,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,1,5,6
ROBORE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,2,0,2
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,0,2,2
SACABA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,14,8,22
SACABAMBA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,0,1,1
SAIPINA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,0,2,2
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,0,1,1
SAN AGUSTIN,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,2,0,2
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,3,2,5
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,1,1,2
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,3,22,25
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,3,0,3
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,3,18,21
SAN JOAQUIN,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,2,0,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,4,0,4
SAN JUAN DE YAPACANI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,1,0,1
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,1,0,1
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,1,0,1
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,8,0,8
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,218,8,226
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,1,0,1
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,0,1,1
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,0,1,1
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,2,1,3
SICAYA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,0,1,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,20,1,21
TACOBAMBA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,0,1,1
TACOPAYA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,0,1,1
TAHUA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,0,11,11
TAPACARI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,0,9,9
TARATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,7,2,9
TARIJA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,15,1,16
TEOPONTE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,0,4,4
TIAWANACU,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,0,1,1
TIPUANI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,0,1,1
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,2,3,5
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,19,1,20
TUPIZA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,7,28,35
TURCO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,1,3,4
VIACHA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,8,1,9
VILLA CHARCAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,0,1,1
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,3,3,6
VILLA RIVERO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,2,0,2
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,9,1,10
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,2,0,2
VILLAZON,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,13,2,15
WARNES,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,2,4,6
YACUIBA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,8,4,12
YAPACANI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-02-01,0,1,1
AIQUILE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,1,0,1
ALALAY,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,0,3,3
ARQUE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,6,3,9
ATOCHA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,4,9,13
AYO AYO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,1,3,4
BETANZOS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,0,3,3
BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,3,0,3
"CAIZA ""D""",vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,0,4,4
CAJUATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,0,1,1
CAMIRI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,0,1,1
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,3,0,3
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,3,0,3
CARANAVI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,0,4,4
CHACARILLA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,0,9,9
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,4,9,13
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,0,7,7
CHAYANTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,0,11,11
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,0,1,1
CHUMA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,0,1,1
CLIZA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,2,3,5
COBIJA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,12,3,15
COCAPATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,2,5,7
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,69,13,82
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,5,2,7
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,2,2,4
COLOMI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,11,3,14
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,1,5,6
COLQUIRI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,9,0,9
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,2,2,4
COPACABANA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,0,3,3
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,4,2,6
COTOCA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,14,4,18
DESAGUADERO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,0,1,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,142,7,149
EL TORNO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,9,0,9
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,4,0,4
ESCOMA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,1,0,1
EXALTACION,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,1,0,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,0,2,2
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,4,11,15
HUACARETA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,0,3,3
HUANUNI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,7,24,31
ICLA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,3,7,10
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,7,0,7
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,4,4,8
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,12,1,13
LA PAZ,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,77,0,77
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,2,2,4
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,3,3,6
MECAPACA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,0,1,1
MINEROS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,1,6,7
MONTERO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,26,13,39
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,1,0,1
OKINAWA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,2,0,2
ORURO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,29,0,29
PAILON,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,0,9,9
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,3,10,13
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,1,0,1
PAPEL PAMPA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,0,15,15
POCONA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,0,1,1
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,0,2,2
POOPO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,0,4,4
POROMA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,0,1,1
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,6,0,6
POSTRER VALLE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,0,1,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,24,24,48
