,group,variable,month,DPT 1RA DOSIS CANTIDAD,DPT 1RA DOSIS CANTIDAD,TOTALES
TOCO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,2,5,7
TOMAVE,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,0,1,1
TOMINA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,6,0,6
TORO TORO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,4,3,7
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,4,0,4
UNCIA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,3,5,8
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,1,0,1
UYUNI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,3,0,3
VIACHA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,70,14,84
VILLA RIVERO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,1,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,7,4,11
VILLAZON,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,1,0,1
VINTO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,5,3,8
YACUIBA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,8,0,8
YAPACANI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-01-01,1,2,3
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,2,0,2
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,1,0,1
ATOCHA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,1,2,3
AYATA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,0,5,5
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,0,7,7
BERMEJO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,0,3,3
CABEZAS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,15,0,15
CAMIRI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,1,0,1
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,1,0,1
CARANAVI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,0,10,10
CARAPARI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,1,0,1
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,1,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,3,0,3
CHAYANTA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,0,6,6
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,3,10,13
CLIZA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,0,13,13
COBIJA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,15,0,15
COCAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,2,2,4
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,18,1,19
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,48,13,61
COLPA BELGICA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,16,1,17
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,6,7,13
COLQUENCHA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,1,0,1
COMARAPA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,24,4,28
COROICO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,6,6,12
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,1,0,1
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,11,49,60
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,91,13,104
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,6,25,31
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,33,0,33
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,4,0,4
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,1,4,5
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,4,2,6
HUANUNI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,1,0,1
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,0,20,20
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,1,0,1
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,8,0,8
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,39,3,42
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,115,32,147
MACHARETI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,2,0,2
MAIRANA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,1,0,1
MINEROS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,72,0,72
MIZQUE,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,30,3,33
MOJOCOYA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,2,0,2
MONTERO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,13,3,16
OKINAWA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,6,0,6
ORURO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,36,0,36
PALCA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,0,3,3
PELECHUCO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,1,1,2
POCONA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,0,1,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,1,0,1
PRESTO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,1,0,1
PUCARANI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,5,0,5
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,29,28,57
PUERTO RICO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,6,10,16
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,2,0,2
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,1,0,1
RAVELO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,0,6,6
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,28,5,33
ROBORE,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,1,1,2
SACABA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,7,0,7
SAIPINA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,0,17,17
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,4,2,6
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,0,2,2
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,7,30,37
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,0,10,10
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,1,0,1
SAN JAVIER(STC),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,9,14,23
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,6,54,60
SAN LORENZO(PND),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,0,2,2
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,0,7,7
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,11,0,11
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,208,19,227
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,0,8,8
SANTIAGO DE MACHACA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,4,0,4
SENA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,1,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,9,0,9
SORATA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,0,41,41
SUCRE,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,10,6,16
TAPACARI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,5,11,16
TARIJA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,2,0,2
TIAWANACU,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,1,17,18
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,16,3,19
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,1,23,24
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,24,1,25
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,5,0,5
VIACHA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,17,5,22
VILLA CHARCAS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,0,6,6
VILLA RIVERO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,6,0,6
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,6,5,11
VILLAZON,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,1,0,1
VINTO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,22,0,22
WARNES,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,1,0,1
YACUIBA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,0,1,1
YAMPARAEZ,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-02-01,0,1,1
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-03-01,0,1,1
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-03-01,0,2,2
ARANI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-03-01,2,0,2
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-03-01,4,25,29
ATOCHA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-03-01,0,6,6
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-03-01,2,0,2
BATALLAS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-03-01,4,2,6
BERMEJO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-03-01,9,21,30
CAJUATA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-03-01,4,0,4
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-03-01,0,7,7
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-03-01,1,0,1
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-03-01,1,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-03-01,1,1,2
CHAQUI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-03-01,2,0,2
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-03-01,0,10,10
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-03-01,0,21,21
COBIJA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-03-01,1,3,4
COCAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-03-01,3,0,3
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-03-01,31,1,32
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-03-01,13,21,34
COLOMI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-03-01,11,2,13
COLPA BELGICA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-03-01,6,0,6
COMARAPA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-03-01,6,3,9
COROICO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-03-01,0,6,6
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-03-01,6,15,21
DESAGUADERO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-03-01,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-03-01,84,1,85
EL TORNO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-03-01,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-03-01,7,15,22
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-03-01,18,2,20
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-03-01,3,0,3
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-03-01,0,3,3
HUARINA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-03-01,0,1,1
HUAYLLAMARCA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-03-01,1,0,1
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-03-01,6,0,6
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-03-01,0,36,36
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-03-01,19,8,27
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-03-01,24,0,24
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-03-01,19,0,19
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-03-01,134,20,154
MECAPACA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-03-01,7,5,12
MINEROS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-03-01,8,0,8
MIZQUE,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-03-01,1,0,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-03-01,3,4,7
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-03-01,1,13,14
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-03-01,3,0,3
ORURO,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-03-01,7,0,7
PAILON,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-03-01,33,15,48
PALCA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-03-01,2,4,6
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-03-01,9,11,20
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-03-01,0,11,11
POROMA,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-03-01,6,25,31
POTOSI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-03-01,35,0,35
PUCARANI,vacunaciones en ninos de 2 a 4 anos,dpt 1ra dosis,2011-03-01,7,0,7
