,group,variable,month,DPT 2DA DOSIS CANTIDAD,DPT 2DA DOSIS CANTIDAD,TOTALES
VILLA RIVERO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-02-01,3,0,3
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-02-01,1,0,1
VINTO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-02-01,3,0,3
WARNES,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-02-01,3,0,3
YACUIBA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-02-01,1,1,2
ANZALDO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-03-01,0,4,4
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-03-01,1,20,21
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-03-01,1,0,1
CARAPARI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-03-01,4,1,5
CHAQUI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-03-01,1,0,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-03-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-03-01,2,0,2
COBIJA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-03-01,4,2,6
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-03-01,11,10,21
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-03-01,5,0,5
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-03-01,0,5,5
COMARAPA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-03-01,0,3,3
COROICO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-03-01,1,0,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-03-01,1,0,1
DESAGUADERO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-03-01,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-03-01,28,1,29
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-03-01,3,0,3
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-03-01,4,0,4
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-03-01,0,2,2
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-03-01,6,1,7
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-03-01,2,1,3
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-03-01,36,1,37
MONTERO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-03-01,2,0,2
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-03-01,0,2,2
ORURO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-03-01,2,0,2
PAILON,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-03-01,13,0,13
PALCA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-03-01,1,2,3
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-03-01,0,1,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-03-01,2,2,4
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-03-01,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-03-01,10,0,10
PUNA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-03-01,3,0,3
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-03-01,1,0,1
ROBORE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-03-01,4,0,4
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-03-01,0,5,5
SACABA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-03-01,1,2,3
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-03-01,1,0,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-03-01,1,1,2
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-03-01,2,0,2
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-03-01,3,0,3
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-03-01,0,1,1
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-03-01,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-03-01,56,1,57
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-03-01,1,1,2
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-03-01,0,2,2
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-03-01,3,0,3
SUCRE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-03-01,1,0,1
TAPACARI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-03-01,7,10,17
TARATA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-03-01,1,0,1
TIAWANACU,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-03-01,1,0,1
TOMAVE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-03-01,0,1,1
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-03-01,1,1,2
VACAS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-03-01,6,0,6
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-03-01,3,0,3
YACUIBA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-03-01,22,0,22
YAMPARAEZ,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-03-01,1,0,1
YOCALLA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-03-01,6,0,6
AIQUILE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,14,45,59
AUCAPATA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,1,2,3
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,10,5,15
AZURDUY,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,12,25,37
BELLA FLOR,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,0,21,21
BERMEJO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,3,22,25
BOYUIBE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,0,23,23
CABEZAS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,150,8,158
CAIROMA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,0,3,3
"CAIZA ""D""",vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,0,5,5
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,10,9,19
CAMIRI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,6,11,17
CARAPARI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,8,0,8
CHAQUI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,0,7,7
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,0,3,3
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,4,12,16
CKOCHAS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,0,12,12
CLIZA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,5,0,5
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,4,20,24
COLOMI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,1,0,1
COLPA BELGICA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,5,50,55
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,0,4,4
COMANCHE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,0,1,1
COMARAPA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,2,0,2
CORIPATA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,6,12,18
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,0,38,38
EL ALTO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,42,9,51
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,10,1,11
EL TORNO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,0,1,1
EL VILLAR,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,0,16,16
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,3,1,4
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,3,1,4
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,6,20,26
GUAQUI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,0,2,2
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,0,5,5
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,4,23,27
HUANUNI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,1,0,1
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,0,1,1
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,0,10,10
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,2,0,2
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,3,1,4
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,1,0,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,15,21,36
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,0,1,1
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,0,1,1
MINEROS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,1,0,1
MIZQUE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,0,6,6
MOJOCOYA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,5,18,23
MONTERO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,16,31,47
OCURI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,0,9,9
ORURO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,2,0,2
PADILLA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,0,2,2
PAILON,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,0,2,2
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,0,1,1
PORVENIR,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,0,3,3
POTOSI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,3,0,3
PUERTO CARABUCO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,0,6,6
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,4,18,22
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,5,0,5
PUNA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,0,31,31
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,2,0,2
RAVELO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,0,8,8
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,5,0,5
ROBORE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,19,28,47
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,0,3,3
SACABA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,0,8,8
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,0,1,1
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,2,0,2
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,0,1,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,1,15,16
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,0,1,1
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,1,0,1
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,0,4,4
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,0,7,7
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,0,6,6
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,6,5,11
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,0,5,5
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,0,10,10
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,1,2,3
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,61,113,174
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,1,2,3
SUCRE,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,8,13,21
TAPACARI,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,4,6,10
TARVITA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,4,30,34
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,1,3,4
TOLATA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,0,1,1
TOMINA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,0,1,1
TORO TORO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,0,10,10
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,4,16,20
UNCIA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,1,1,2
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,1,9,10
URUBICHA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,0,25,25
VACAS,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,1,48,49
VIACHA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,11,0,11
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,0,3,3
VILLA RIVERO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,0,3,3
VILLA SERRANO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,4,7,11
VINTO,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,2,0,2
WARNES,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,1,19,20
YACUIBA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,13,0,13
YOCALLA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,9,16,25
YOTALA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-04-01,2,8,10
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,dpt 2da dosis,2011-05-01,0,1,1
