,group,variable,month,TOTAL Nº DE PERSONAS QUE ABANDONARON ESQUEMA CANTIDAD,TOTAL Nº DE PERSONAS QUE ABANDONARON ESQUEMA CANTIDAD,TOTALES,TOTALES,TOTALES
UYUNI,rabia,total no de personas que abandonaron esquema,2015-02-01,2,0,2,0,2
VIACHA,rabia,total no de personas que abandonaron esquema,2015-02-01,2,0,2,0,2
VILLA MONTES,rabia,total no de personas que abandonaron esquema,2015-02-01,0,2,0,2,2
VILLAZON,rabia,total no de personas que abandonaron esquema,2015-02-01,2,1,2,1,3
ACHACACHI,rabia,total no de personas que abandonaron esquema,2015-03-01,2,1,2,1,3
CARANAVI,rabia,total no de personas que abandonaron esquema,2015-03-01,1,1,1,1,2
CARAPARI,rabia,total no de personas que abandonaron esquema,2015-03-01,1,0,1,0,1
COCHABAMBA,rabia,total no de personas que abandonaron esquema,2015-03-01,1,0,1,0,1
CUATRO CAÑADAS,rabia,total no de personas que abandonaron esquema,2015-03-01,0,1,0,1,1
EL ALTO,rabia,total no de personas que abandonaron esquema,2015-03-01,7,7,7,7,14
LA PAZ,rabia,total no de personas que abandonaron esquema,2015-03-01,4,9,4,9,13
MAIRANA,rabia,total no de personas que abandonaron esquema,2015-03-01,1,0,1,0,1
ORURO,rabia,total no de personas que abandonaron esquema,2015-03-01,12,9,12,9,21
PORTACHUELO,rabia,total no de personas que abandonaron esquema,2015-03-01,2,0,2,0,2
QUILLACOLLO,rabia,total no de personas que abandonaron esquema,2015-03-01,2,0,2,0,2
SACABA,rabia,total no de personas que abandonaron esquema,2015-03-01,1,0,1,0,1
SAN JULIAN,rabia,total no de personas que abandonaron esquema,2015-03-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,rabia,total no de personas que abandonaron esquema,2015-03-01,4,5,4,5,9
SUCRE,rabia,total no de personas que abandonaron esquema,2015-03-01,14,2,14,2,16
TIPUANI,rabia,total no de personas que abandonaron esquema,2015-03-01,2,0,2,0,2
TRINIDAD,rabia,total no de personas que abandonaron esquema,2015-03-01,3,4,3,4,7
UNCIA,rabia,total no de personas que abandonaron esquema,2015-03-01,1,0,1,0,1
VIACHA,rabia,total no de personas que abandonaron esquema,2015-03-01,0,1,0,1,1
VILLA TUNARI,rabia,total no de personas que abandonaron esquema,2015-03-01,1,0,1,0,1
VILLAZON,rabia,total no de personas que abandonaron esquema,2015-03-01,2,0,2,0,2
YACUIBA,rabia,total no de personas que abandonaron esquema,2015-03-01,1,0,1,0,1
ASCENCION DE GUARAYOS,rabia,total no de personas que abandonaron esquema,2015-04-01,0,2,0,2,2
BERMEJO,rabia,total no de personas que abandonaron esquema,2015-04-01,3,2,3,2,5
CAMIRI,rabia,total no de personas que abandonaron esquema,2015-04-01,0,1,0,1,1
CARANAVI,rabia,total no de personas que abandonaron esquema,2015-04-01,3,0,3,0,3
CHALLAPATA,rabia,total no de personas que abandonaron esquema,2015-04-01,1,0,1,0,1
CHIMORE,rabia,total no de personas que abandonaron esquema,2015-04-01,1,0,1,0,1
COCHABAMBA,rabia,total no de personas que abandonaron esquema,2015-04-01,6,1,6,1,7
EL ALTO,rabia,total no de personas que abandonaron esquema,2015-04-01,9,7,9,7,16
LA PAZ,rabia,total no de personas que abandonaron esquema,2015-04-01,2,4,2,4,6
MAIRANA,rabia,total no de personas que abandonaron esquema,2015-04-01,0,1,0,1,1
MONTEAGUDO,rabia,total no de personas que abandonaron esquema,2015-04-01,0,1,0,1,1
ORURO,rabia,total no de personas que abandonaron esquema,2015-04-01,4,7,4,7,11
PORONGO,rabia,total no de personas que abandonaron esquema,2015-04-01,1,1,1,1,2
QUILLACOLLO,rabia,total no de personas que abandonaron esquema,2015-04-01,2,1,2,1,3
SACABA,rabia,total no de personas que abandonaron esquema,2015-04-01,1,0,1,0,1
SAN IGNACIO,rabia,total no de personas que abandonaron esquema,2015-04-01,3,1,3,1,4
SANTA CRUZ DE LA SIERRA,rabia,total no de personas que abandonaron esquema,2015-04-01,5,6,5,6,11
SUCRE,rabia,total no de personas que abandonaron esquema,2015-04-01,11,1,11,1,12
TARIJA,rabia,total no de personas que abandonaron esquema,2015-04-01,1,1,1,1,2
TIPUANI,rabia,total no de personas que abandonaron esquema,2015-04-01,1,0,1,0,1
TRINIDAD,rabia,total no de personas que abandonaron esquema,2015-04-01,1,2,1,2,3
UYUNI,rabia,total no de personas que abandonaron esquema,2015-04-01,0,1,0,1,1
CARANAVI,rabia,total no de personas que abandonaron esquema,2015-05-01,1,0,1,0,1
CHARAÑA,rabia,total no de personas que abandonaron esquema,2015-05-01,0,1,0,1,1
COCHABAMBA,rabia,total no de personas que abandonaron esquema,2015-05-01,3,2,3,2,5
EL ALTO,rabia,total no de personas que abandonaron esquema,2015-05-01,7,12,7,12,19
LA PAZ,rabia,total no de personas que abandonaron esquema,2015-05-01,3,0,3,0,3
MAIRANA,rabia,total no de personas que abandonaron esquema,2015-05-01,1,0,1,0,1
MAPIRI,rabia,total no de personas que abandonaron esquema,2015-05-01,1,0,1,0,1
ORURO,rabia,total no de personas que abandonaron esquema,2015-05-01,7,1,7,1,8
PORTACHUELO,rabia,total no de personas que abandonaron esquema,2015-05-01,1,0,1,0,1
QUILLACOLLO,rabia,total no de personas que abandonaron esquema,2015-05-01,1,1,1,1,2
SACABA,rabia,total no de personas que abandonaron esquema,2015-05-01,1,0,1,0,1
SAN IGNACIO,rabia,total no de personas que abandonaron esquema,2015-05-01,2,0,2,0,2
SAN JULIAN,rabia,total no de personas que abandonaron esquema,2015-05-01,1,0,1,0,1
SAN RAMON SCZ,rabia,total no de personas que abandonaron esquema,2015-05-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,total no de personas que abandonaron esquema,2015-05-01,3,5,3,5,8
SUCRE,rabia,total no de personas que abandonaron esquema,2015-05-01,5,2,5,2,7
TARIJA,rabia,total no de personas que abandonaron esquema,2015-05-01,1,0,1,0,1
TRINIDAD,rabia,total no de personas que abandonaron esquema,2015-05-01,2,1,2,1,3
UYUNI,rabia,total no de personas que abandonaron esquema,2015-05-01,0,2,0,2,2
VILLAZON,rabia,total no de personas que abandonaron esquema,2015-05-01,1,0,1,0,1
WARNES,rabia,total no de personas que abandonaron esquema,2015-05-01,1,0,1,0,1
YACUIBA,rabia,total no de personas que abandonaron esquema,2015-05-01,5,3,5,3,8
ATOCHA,rabia,total no de personas que abandonaron esquema,2015-06-01,1,0,1,0,1
BERMEJO,rabia,total no de personas que abandonaron esquema,2015-06-01,1,0,1,0,1
CHALLAPATA,rabia,total no de personas que abandonaron esquema,2015-06-01,2,2,2,2,4
COCHABAMBA,rabia,total no de personas que abandonaron esquema,2015-06-01,2,3,2,3,5
EL ALTO,rabia,total no de personas que abandonaron esquema,2015-06-01,9,7,9,7,16
LA GUARDIA,rabia,total no de personas que abandonaron esquema,2015-06-01,1,0,1,0,1
LA PAZ,rabia,total no de personas que abandonaron esquema,2015-06-01,3,4,3,4,7
ORURO,rabia,total no de personas que abandonaron esquema,2015-06-01,4,3,4,3,7
PORTACHUELO,rabia,total no de personas que abandonaron esquema,2015-06-01,1,2,1,2,3
SANTA CRUZ DE LA SIERRA,rabia,total no de personas que abandonaron esquema,2015-06-01,6,2,6,2,8
SUCRE,rabia,total no de personas que abandonaron esquema,2015-06-01,21,1,21,1,22
TARIJA,rabia,total no de personas que abandonaron esquema,2015-06-01,1,1,1,1,2
TOLATA,rabia,total no de personas que abandonaron esquema,2015-06-01,2,0,2,0,2
TRINIDAD,rabia,total no de personas que abandonaron esquema,2015-06-01,7,3,7,3,10
WARNES,rabia,total no de personas que abandonaron esquema,2015-06-01,0,1,0,1,1
YACUIBA,rabia,total no de personas que abandonaron esquema,2015-06-01,2,0,2,0,2
CAMIRI,rabia,total no de personas que abandonaron esquema,2015-07-01,1,0,1,0,1
CARANAVI,rabia,total no de personas que abandonaron esquema,2015-07-01,1,0,1,0,1
CHALLAPATA,rabia,total no de personas que abandonaron esquema,2015-07-01,2,0,2,0,2
COCHABAMBA,rabia,total no de personas que abandonaron esquema,2015-07-01,1,2,1,2,3
EL ALTO,rabia,total no de personas que abandonaron esquema,2015-07-01,10,7,10,7,17
LA GUARDIA,rabia,total no de personas que abandonaron esquema,2015-07-01,1,1,1,1,2
LA PAZ,rabia,total no de personas que abandonaron esquema,2015-07-01,3,5,3,5,8
MIZQUE,rabia,total no de personas que abandonaron esquema,2015-07-01,1,0,1,0,1
ORURO,rabia,total no de personas que abandonaron esquema,2015-07-01,4,6,4,6,10
PORTACHUELO,rabia,total no de personas que abandonaron esquema,2015-07-01,1,2,1,2,3
QUILLACOLLO,rabia,total no de personas que abandonaron esquema,2015-07-01,0,1,0,1,1
SAN IGNACIO,rabia,total no de personas que abandonaron esquema,2015-07-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,total no de personas que abandonaron esquema,2015-07-01,7,3,7,3,10
SUCRE,rabia,total no de personas que abandonaron esquema,2015-07-01,45,0,45,0,45
TARIJA,rabia,total no de personas que abandonaron esquema,2015-07-01,1,2,1,2,3
TEOPONTE,rabia,total no de personas que abandonaron esquema,2015-07-01,0,1,0,1,1
TIPUANI,rabia,total no de personas que abandonaron esquema,2015-07-01,1,0,1,0,1
TRINIDAD,rabia,total no de personas que abandonaron esquema,2015-07-01,10,12,10,12,22
VALLEGRANDE,rabia,total no de personas que abandonaron esquema,2015-07-01,0,1,0,1,1
VIACHA,rabia,total no de personas que abandonaron esquema,2015-07-01,1,0,1,0,1
VILLAZON,rabia,total no de personas que abandonaron esquema,2015-07-01,1,4,1,4,5
WARNES,rabia,total no de personas que abandonaron esquema,2015-07-01,1,1,1,1,2
CAMARGO,rabia,total no de personas que abandonaron esquema,2015-08-01,0,2,0,2,2
CAMIRI,rabia,total no de personas que abandonaron esquema,2015-08-01,1,0,1,0,1
CARAPARI,rabia,total no de personas que abandonaron esquema,2015-08-01,1,1,1,1,2
CHALLAPATA,rabia,total no de personas que abandonaron esquema,2015-08-01,2,6,2,6,8
COCHABAMBA,rabia,total no de personas que abandonaron esquema,2015-08-01,4,1,4,1,5
COLCAPIRHUA,rabia,total no de personas que abandonaron esquema,2015-08-01,1,0,1,0,1
COTOCA,rabia,total no de personas que abandonaron esquema,2015-08-01,1,0,1,0,1
CUATRO CAÑADAS,rabia,total no de personas que abandonaron esquema,2015-08-01,0,1,0,1,1
EL ALTO,rabia,total no de personas que abandonaron esquema,2015-08-01,11,10,11,10,21
ENTRE RIOS TRJ,rabia,total no de personas que abandonaron esquema,2015-08-01,1,0,1,0,1
LA GUARDIA,rabia,total no de personas que abandonaron esquema,2015-08-01,0,1,0,1,1
LA PAZ,rabia,total no de personas que abandonaron esquema,2015-08-01,5,7,5,7,12
MORO MORO,rabia,total no de personas que abandonaron esquema,2015-08-01,1,0,1,0,1
ORURO,rabia,total no de personas que abandonaron esquema,2015-08-01,1,5,1,5,6
SACABA,rabia,total no de personas que abandonaron esquema,2015-08-01,0,2,0,2,2
SAN CARLOS,rabia,total no de personas que abandonaron esquema,2015-08-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,total no de personas que abandonaron esquema,2015-08-01,8,4,8,4,12
SUCRE,rabia,total no de personas que abandonaron esquema,2015-08-01,8,11,8,11,19
TARIJA,rabia,total no de personas que abandonaron esquema,2015-08-01,5,2,5,2,7
TRINIDAD,rabia,total no de personas que abandonaron esquema,2015-08-01,2,4,2,4,6
VIACHA,rabia,total no de personas que abandonaron esquema,2015-08-01,1,2,1,2,3
VILLA MONTES,rabia,total no de personas que abandonaron esquema,2015-08-01,0,1,0,1,1
VILLAZON,rabia,total no de personas que abandonaron esquema,2015-08-01,1,0,1,0,1
WARNES,rabia,total no de personas que abandonaron esquema,2015-08-01,1,0,1,0,1
YACUIBA,rabia,total no de personas que abandonaron esquema,2015-08-01,9,6,9,6,15
AIQUILE,rabia,total no de personas que abandonaron esquema,2015-09-01,1,0,1,0,1
CARANAVI,rabia,total no de personas que abandonaron esquema,2015-09-01,0,1,0,1,1
CHALLAPATA,rabia,total no de personas que abandonaron esquema,2015-09-01,2,5,2,5,7
COCHABAMBA,rabia,total no de personas que abandonaron esquema,2015-09-01,4,1,4,1,5
COMARAPA,rabia,total no de personas que abandonaron esquema,2015-09-01,1,0,1,0,1
COPACABANA,rabia,total no de personas que abandonaron esquema,2015-09-01,0,1,0,1,1
COTOCA,rabia,total no de personas que abandonaron esquema,2015-09-01,1,0,1,0,1
EL ALTO,rabia,total no de personas que abandonaron esquema,2015-09-01,9,4,9,4,13
LA PAZ,rabia,total no de personas que abandonaron esquema,2015-09-01,6,2,6,2,8
MIZQUE,rabia,total no de personas que abandonaron esquema,2015-09-01,0,1,0,1,1
MONTEAGUDO,rabia,total no de personas que abandonaron esquema,2015-09-01,0,1,0,1,1
ORURO,rabia,total no de personas que abandonaron esquema,2015-09-01,9,6,9,6,15
QUILLACOLLO,rabia,total no de personas que abandonaron esquema,2015-09-01,1,0,1,0,1
SAN IGNACIO,rabia,total no de personas que abandonaron esquema,2015-09-01,0,3,0,3,3
SAN RAMON SCZ,rabia,total no de personas que abandonaron esquema,2015-09-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,rabia,total no de personas que abandonaron esquema,2015-09-01,8,3,8,3,11
SUCRE,rabia,total no de personas que abandonaron esquema,2015-09-01,10,15,10,15,25
TARIJA,rabia,total no de personas que abandonaron esquema,2015-09-01,5,3,5,3,8
TRINIDAD,rabia,total no de personas que abandonaron esquema,2015-09-01,8,8,8,8,16
UYUNI,rabia,total no de personas que abandonaron esquema,2015-09-01,1,0,1,0,1
VIACHA,rabia,total no de personas que abandonaron esquema,2015-09-01,1,2,1,2,3
VILLA MONTES,rabia,total no de personas que abandonaron esquema,2015-09-01,0,1,0,1,1
VILLAZON,rabia,total no de personas que abandonaron esquema,2015-09-01,3,0,3,0,3
WARNES,rabia,total no de personas que abandonaron esquema,2015-09-01,0,1,0,1,1
YACUIBA,rabia,total no de personas que abandonaron esquema,2015-09-01,7,4,7,4,11
CARANAVI,rabia,total no de personas que abandonaron esquema,2015-10-01,0,2,0,2,2
CHALLAPATA,rabia,total no de personas que abandonaron esquema,2015-10-01,59,41,59,41,100
COCHABAMBA,rabia,total no de personas que abandonaron esquema,2015-10-01,5,2,5,2,7
CUATRO CAÑADAS,rabia,total no de personas que abandonaron esquema,2015-10-01,2,2,2,2,4
EL ALTO,rabia,total no de personas que abandonaron esquema,2015-10-01,9,7,9,7,16
HUANUNI,rabia,total no de personas que abandonaron esquema,2015-10-01,1,2,1,2,3
LA PAZ,rabia,total no de personas que abandonaron esquema,2015-10-01,4,3,4,3,7
MONTERO,rabia,total no de personas que abandonaron esquema,2015-10-01,1,1,1,1,2
ORURO,rabia,total no de personas que abandonaron esquema,2015-10-01,8,1,8,1,9
QUILLACOLLO,rabia,total no de personas que abandonaron esquema,2015-10-01,3,1,3,1,4
SAN IGNACIO,rabia,total no de personas que abandonaron esquema,2015-10-01,4,1,4,1,5
SAN RAMON SCZ,rabia,total no de personas que abandonaron esquema,2015-10-01,2,1,2,1,3
SANTA CRUZ DE LA SIERRA,rabia,total no de personas que abandonaron esquema,2015-10-01,1,2,1,2,3
SUCRE,rabia,total no de personas que abandonaron esquema,2015-10-01,12,9,12,9,21
TRINIDAD,rabia,total no de personas que abandonaron esquema,2015-10-01,3,0,3,0,3
UYUNI,rabia,total no de personas que abandonaron esquema,2015-10-01,8,7,8,7,15
VIACHA,rabia,total no de personas que abandonaron esquema,2015-10-01,1,2,1,2,3
VILLA TUNARI,rabia,total no de personas que abandonaron esquema,2015-10-01,1,0,1,0,1
WARNES,rabia,total no de personas que abandonaron esquema,2015-10-01,1,1,1,1,2
YACUIBA,rabia,total no de personas que abandonaron esquema,2015-10-01,2,0,2,0,2
ACHOCALLA,rabia,total no de personas que abandonaron esquema,2015-11-01,1,0,1,0,1
ATOCHA,rabia,total no de personas que abandonaron esquema,2015-11-01,1,0,1,0,1
CARANAVI,rabia,total no de personas que abandonaron esquema,2015-11-01,1,0,1,0,1
CHALLAPATA,rabia,total no de personas que abandonaron esquema,2015-11-01,3,1,3,1,4
COCHABAMBA,rabia,total no de personas que abandonaron esquema,2015-11-01,5,2,5,2,7
CUATRO CAÑADAS,rabia,total no de personas que abandonaron esquema,2015-11-01,1,3,1,3,4
EL ALTO,rabia,total no de personas que abandonaron esquema,2015-11-01,4,3,4,3,7
ESCOMA,rabia,total no de personas que abandonaron esquema,2015-11-01,1,0,1,0,1
MONTERO,rabia,total no de personas que abandonaron esquema,2015-11-01,0,1,0,1,1
ORURO,rabia,total no de personas que abandonaron esquema,2015-11-01,3,0,3,0,3
PORTACHUELO,rabia,total no de personas que abandonaron esquema,2015-11-01,1,0,1,0,1
QUILLACOLLO,rabia,total no de personas que abandonaron esquema,2015-11-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,total no de personas que abandonaron esquema,2015-11-01,4,3,4,3,7
SUCRE,rabia,total no de personas que abandonaron esquema,2015-11-01,5,7,5,7,12
TRINIDAD,rabia,total no de personas que abandonaron esquema,2015-11-01,8,1,8,1,9
UNCIA,rabia,total no de personas que abandonaron esquema,2015-11-01,1,0,1,0,1
UYUNI,rabia,total no de personas que abandonaron esquema,2015-11-01,1,1,1,1,2
VALLEGRANDE,rabia,total no de personas que abandonaron esquema,2015-11-01,0,1,0,1,1
VIACHA,rabia,total no de personas que abandonaron esquema,2015-11-01,1,0,1,0,1
VILLA MONTES,rabia,total no de personas que abandonaron esquema,2015-11-01,3,3,3,3,6
WARNES,rabia,total no de personas que abandonaron esquema,2015-11-01,1,0,1,0,1
ANCORAIMES,rabia,total no de personas que abandonaron esquema,2015-12-01,1,0,1,0,1
BERMEJO,rabia,total no de personas que abandonaron esquema,2015-12-01,0,2,0,2,2
CARANAVI,rabia,total no de personas que abandonaron esquema,2015-12-01,1,0,1,0,1
CHALLAPATA,rabia,total no de personas que abandonaron esquema,2015-12-01,3,1,3,1,4
CLIZA,rabia,total no de personas que abandonaron esquema,2015-12-01,1,0,1,0,1
COCHABAMBA,rabia,total no de personas que abandonaron esquema,2015-12-01,3,2,3,2,5
CORIPATA,rabia,total no de personas que abandonaron esquema,2015-12-01,1,0,1,0,1
COTOCA,rabia,total no de personas que abandonaron esquema,2015-12-01,2,0,2,0,2
CUATRO CAÑADAS,rabia,total no de personas que abandonaron esquema,2015-12-01,1,1,1,1,2
EL ALTO,rabia,total no de personas que abandonaron esquema,2015-12-01,8,5,8,5,13
HUANUNI,rabia,total no de personas que abandonaron esquema,2015-12-01,1,1,1,1,2
LA PAZ,rabia,total no de personas que abandonaron esquema,2015-12-01,6,1,6,1,7
MONTERO,rabia,total no de personas que abandonaron esquema,2015-12-01,0,1,0,1,1
ORURO,rabia,total no de personas que abandonaron esquema,2015-12-01,2,4,2,4,6
POTOSI,rabia,total no de personas que abandonaron esquema,2015-12-01,1,0,1,0,1
PUNA,rabia,total no de personas que abandonaron esquema,2015-12-01,0,1,0,1,1
QUILLACOLLO,rabia,total no de personas que abandonaron esquema,2015-12-01,1,3,1,3,4
SACABA,rabia,total no de personas que abandonaron esquema,2015-12-01,1,1,1,1,2
SAN BUENA VENTURA,rabia,total no de personas que abandonaron esquema,2015-12-01,0,1,0,1,1
SAN IGNACIO,rabia,total no de personas que abandonaron esquema,2015-12-01,1,0,1,0,1
SAN JULIAN,rabia,total no de personas que abandonaron esquema,2015-12-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,rabia,total no de personas que abandonaron esquema,2015-12-01,4,3,4,3,7
SHINAOTA,rabia,total no de personas que abandonaron esquema,2015-12-01,2,0,2,0,2
SUCRE,rabia,total no de personas que abandonaron esquema,2015-12-01,10,5,10,5,15
TARIJA,rabia,total no de personas que abandonaron esquema,2015-12-01,1,0,1,0,1
TRINIDAD,rabia,total no de personas que abandonaron esquema,2015-12-01,5,8,5,8,13
VIACHA,rabia,total no de personas que abandonaron esquema,2015-12-01,0,1,0,1,1
VILLA MONTES,rabia,total no de personas que abandonaron esquema,2015-12-01,1,1,1,1,2
VILLA TUNARI,rabia,total no de personas que abandonaron esquema,2015-12-01,1,0,1,0,1
VILLAZON,rabia,total no de personas que abandonaron esquema,2015-12-01,2,0,2,0,2
VINTO,rabia,total no de personas que abandonaron esquema,2015-12-01,1,0,1,0,1
