,group,variable,month,TOTAL Nº DE PERSONAS CON ESQUEMA CLASICO COMPLETO CANTIDAD,TOTAL Nº DE PERSONAS CON ESQUEMA CLASICO COMPLETO CANTIDAD,TOTALES,TOTALES,TOTALES
SORACACHI,rabia,total no de personas con esquema clasico completo,2015-02-01,0,1,0,1,1
TIQUIPAYA,rabia,total no de personas con esquema clasico completo,2015-02-01,0,1,0,1,1
TRINIDAD,rabia,total no de personas con esquema clasico completo,2015-02-01,4,7,4,7,11
UYUNI,rabia,total no de personas con esquema clasico completo,2015-02-01,2,1,2,1,3
VILLAZON,rabia,total no de personas con esquema clasico completo,2015-02-01,1,1,1,1,2
WARNES,rabia,total no de personas con esquema clasico completo,2015-02-01,1,0,1,0,1
YAPACANI,rabia,total no de personas con esquema clasico completo,2015-02-01,1,5,1,5,6
AIQUILE,rabia,total no de personas con esquema clasico completo,2015-03-01,2,0,2,0,2
ARBIETO,rabia,total no de personas con esquema clasico completo,2015-03-01,0,1,0,1,1
ATOCHA,rabia,total no de personas con esquema clasico completo,2015-03-01,0,1,0,1,1
BERMEJO,rabia,total no de personas con esquema clasico completo,2015-03-01,4,0,4,0,4
CARANAVI,rabia,total no de personas con esquema clasico completo,2015-03-01,0,1,0,1,1
CHALLAPATA,rabia,total no de personas con esquema clasico completo,2015-03-01,2,0,2,0,2
COCHABAMBA,rabia,total no de personas con esquema clasico completo,2015-03-01,5,1,5,1,6
"COLCHA ""K""",rabia,total no de personas con esquema clasico completo,2015-03-01,0,1,0,1,1
CONCEPCION,rabia,total no de personas con esquema clasico completo,2015-03-01,1,2,1,2,3
COTOCA,rabia,total no de personas con esquema clasico completo,2015-03-01,0,1,0,1,1
EL ALTO,rabia,total no de personas con esquema clasico completo,2015-03-01,20,18,20,18,38
LA PAZ,rabia,total no de personas con esquema clasico completo,2015-03-01,5,4,5,4,9
MAIRANA,rabia,total no de personas con esquema clasico completo,2015-03-01,1,1,1,1,2
ORURO,rabia,total no de personas con esquema clasico completo,2015-03-01,1,0,1,0,1
PAILON,rabia,total no de personas con esquema clasico completo,2015-03-01,0,1,0,1,1
POCOATA,rabia,total no de personas con esquema clasico completo,2015-03-01,1,1,1,1,2
PORTACHUELO,rabia,total no de personas con esquema clasico completo,2015-03-01,2,0,2,0,2
POTOSI,rabia,total no de personas con esquema clasico completo,2015-03-01,15,15,15,15,30
PUERTO QUIJARRO,rabia,total no de personas con esquema clasico completo,2015-03-01,1,0,1,0,1
PUNA,rabia,total no de personas con esquema clasico completo,2015-03-01,0,2,0,2,2
SAN CARLOS,rabia,total no de personas con esquema clasico completo,2015-03-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,total no de personas con esquema clasico completo,2015-03-01,8,7,8,7,15
SANTUARIO DE QUILLACAS,rabia,total no de personas con esquema clasico completo,2015-03-01,0,1,0,1,1
TRINIDAD,rabia,total no de personas con esquema clasico completo,2015-03-01,9,8,9,8,17
VILLA MONTES,rabia,total no de personas con esquema clasico completo,2015-03-01,1,0,1,0,1
VILLAZON,rabia,total no de personas con esquema clasico completo,2015-03-01,4,3,4,3,7
WARNES,rabia,total no de personas con esquema clasico completo,2015-03-01,1,0,1,0,1
YAPACANI,rabia,total no de personas con esquema clasico completo,2015-03-01,9,6,9,6,15
AIQUILE,rabia,total no de personas con esquema clasico completo,2015-04-01,1,1,1,1,2
ARBIETO,rabia,total no de personas con esquema clasico completo,2015-04-01,1,0,1,0,1
ATOCHA,rabia,total no de personas con esquema clasico completo,2015-04-01,2,2,2,2,4
BERMEJO,rabia,total no de personas con esquema clasico completo,2015-04-01,2,0,2,0,2
CAMIRI,rabia,total no de personas con esquema clasico completo,2015-04-01,0,1,0,1,1
CARANAVI,rabia,total no de personas con esquema clasico completo,2015-04-01,2,1,2,1,3
CHALLAPATA,rabia,total no de personas con esquema clasico completo,2015-04-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),rabia,total no de personas con esquema clasico completo,2015-04-01,0,1,0,1,1
COCHABAMBA,rabia,total no de personas con esquema clasico completo,2015-04-01,2,1,2,1,3
EL ALTO,rabia,total no de personas con esquema clasico completo,2015-04-01,16,12,16,12,28
EL TORNO,rabia,total no de personas con esquema clasico completo,2015-04-01,0,3,0,3,3
LA PAZ,rabia,total no de personas con esquema clasico completo,2015-04-01,7,8,7,8,15
MONTERO,rabia,total no de personas con esquema clasico completo,2015-04-01,0,1,0,1,1
ORURO,rabia,total no de personas con esquema clasico completo,2015-04-01,2,0,2,0,2
PALOS BLANCOS,rabia,total no de personas con esquema clasico completo,2015-04-01,0,1,0,1,1
PORTACHUELO,rabia,total no de personas con esquema clasico completo,2015-04-01,2,0,2,0,2
POTOSI,rabia,total no de personas con esquema clasico completo,2015-04-01,29,30,29,30,59
PUERTO QUIJARRO,rabia,total no de personas con esquema clasico completo,2015-04-01,1,1,1,1,2
SAN IGNACIO,rabia,total no de personas con esquema clasico completo,2015-04-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,rabia,total no de personas con esquema clasico completo,2015-04-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,rabia,total no de personas con esquema clasico completo,2015-04-01,12,13,12,13,25
SANTIAGO DE HUARI,rabia,total no de personas con esquema clasico completo,2015-04-01,0,1,0,1,1
SHINAOTA,rabia,total no de personas con esquema clasico completo,2015-04-01,1,0,1,0,1
SUCRE,rabia,total no de personas con esquema clasico completo,2015-04-01,1,0,1,0,1
TRINIDAD,rabia,total no de personas con esquema clasico completo,2015-04-01,6,13,6,13,19
UYUNI,rabia,total no de personas con esquema clasico completo,2015-04-01,4,3,4,3,7
VIACHA,rabia,total no de personas con esquema clasico completo,2015-04-01,1,0,1,0,1
WARNES,rabia,total no de personas con esquema clasico completo,2015-04-01,2,0,2,0,2
YAPACANI,rabia,total no de personas con esquema clasico completo,2015-04-01,0,1,0,1,1
ATOCHA,rabia,total no de personas con esquema clasico completo,2015-05-01,4,3,4,3,7
BUENA VISTA,rabia,total no de personas con esquema clasico completo,2015-05-01,1,0,1,0,1
CAMIRI,rabia,total no de personas con esquema clasico completo,2015-05-01,1,0,1,0,1
CARANAVI,rabia,total no de personas con esquema clasico completo,2015-05-01,0,1,0,1,1
CHALLAPATA,rabia,total no de personas con esquema clasico completo,2015-05-01,1,1,1,1,2
CLIZA,rabia,total no de personas con esquema clasico completo,2015-05-01,1,0,1,0,1
COCHABAMBA,rabia,total no de personas con esquema clasico completo,2015-05-01,3,1,3,1,4
COTOCA,rabia,total no de personas con esquema clasico completo,2015-05-01,1,0,1,0,1
EL ALTO,rabia,total no de personas con esquema clasico completo,2015-05-01,12,17,12,17,29
EL TORNO,rabia,total no de personas con esquema clasico completo,2015-05-01,2,0,2,0,2
LA PAZ,rabia,total no de personas con esquema clasico completo,2015-05-01,8,6,8,6,14
MAPIRI,rabia,total no de personas con esquema clasico completo,2015-05-01,1,0,1,0,1
MONTERO,rabia,total no de personas con esquema clasico completo,2015-05-01,1,0,1,0,1
PORTACHUELO,rabia,total no de personas con esquema clasico completo,2015-05-01,2,0,2,0,2
POTOSI,rabia,total no de personas con esquema clasico completo,2015-05-01,20,23,20,23,43
PUNA,rabia,total no de personas con esquema clasico completo,2015-05-01,0,1,0,1,1
ROBORE,rabia,total no de personas con esquema clasico completo,2015-05-01,0,2,0,2,2
SAN CARLOS,rabia,total no de personas con esquema clasico completo,2015-05-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,rabia,total no de personas con esquema clasico completo,2015-05-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,rabia,total no de personas con esquema clasico completo,2015-05-01,4,7,4,7,11
SANTA ROSA DEL SARA,rabia,total no de personas con esquema clasico completo,2015-05-01,1,0,1,0,1
SANTIAGO DE HUARI,rabia,total no de personas con esquema clasico completo,2015-05-01,1,0,1,0,1
SORACACHI,rabia,total no de personas con esquema clasico completo,2015-05-01,0,1,0,1,1
TIQUIPAYA,rabia,total no de personas con esquema clasico completo,2015-05-01,2,0,2,0,2
TRINIDAD,rabia,total no de personas con esquema clasico completo,2015-05-01,6,10,6,10,16
UYUNI,rabia,total no de personas con esquema clasico completo,2015-05-01,1,3,1,3,4
VILLA MONTES,rabia,total no de personas con esquema clasico completo,2015-05-01,0,2,0,2,2
VILLAZON,rabia,total no de personas con esquema clasico completo,2015-05-01,2,2,2,2,4
WARNES,rabia,total no de personas con esquema clasico completo,2015-05-01,1,1,1,1,2
YACUIBA,rabia,total no de personas con esquema clasico completo,2015-05-01,2,1,2,1,3
ACHACACHI,rabia,total no de personas con esquema clasico completo,2015-06-01,1,0,1,0,1
ATOCHA,rabia,total no de personas con esquema clasico completo,2015-06-01,1,2,1,2,3
"CAIZA ""D""",rabia,total no de personas con esquema clasico completo,2015-06-01,0,1,0,1,1
CAMIRI,rabia,total no de personas con esquema clasico completo,2015-06-01,1,1,1,1,2
CARANAVI,rabia,total no de personas con esquema clasico completo,2015-06-01,0,1,0,1,1
CARAPARI,rabia,total no de personas con esquema clasico completo,2015-06-01,1,0,1,0,1
COCHABAMBA,rabia,total no de personas con esquema clasico completo,2015-06-01,3,3,3,3,6
COTOCA,rabia,total no de personas con esquema clasico completo,2015-06-01,1,3,1,3,4
EL ALTO,rabia,total no de personas con esquema clasico completo,2015-06-01,12,9,12,9,21
EL TORNO,rabia,total no de personas con esquema clasico completo,2015-06-01,1,1,1,1,2
ENTRE RIOS TRJ,rabia,total no de personas con esquema clasico completo,2015-06-01,0,1,0,1,1
LA GUARDIA,rabia,total no de personas con esquema clasico completo,2015-06-01,2,3,2,3,5
LA PAZ,rabia,total no de personas con esquema clasico completo,2015-06-01,8,9,8,9,17
LAGUNILLAS,rabia,total no de personas con esquema clasico completo,2015-06-01,1,0,1,0,1
MONTEAGUDO,rabia,total no de personas con esquema clasico completo,2015-06-01,3,0,3,0,3
MONTERO,rabia,total no de personas con esquema clasico completo,2015-06-01,4,3,4,3,7
ORURO,rabia,total no de personas con esquema clasico completo,2015-06-01,4,2,4,2,6
PORTACHUELO,rabia,total no de personas con esquema clasico completo,2015-06-01,6,8,6,8,14
POTOSI,rabia,total no de personas con esquema clasico completo,2015-06-01,19,9,19,9,28
PUNA,rabia,total no de personas con esquema clasico completo,2015-06-01,1,0,1,0,1
SAMAIPATA,rabia,total no de personas con esquema clasico completo,2015-06-01,0,1,0,1,1
SAN ANTONIO DE LOMERIO,rabia,total no de personas con esquema clasico completo,2015-06-01,1,0,1,0,1
SAN LORENZO(TJA),rabia,total no de personas con esquema clasico completo,2015-06-01,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,rabia,total no de personas con esquema clasico completo,2015-06-01,10,8,10,8,18
SANTA ROSA DEL SARA,rabia,total no de personas con esquema clasico completo,2015-06-01,1,0,1,0,1
TOMAVE,rabia,total no de personas con esquema clasico completo,2015-06-01,1,0,1,0,1
TRINIDAD,rabia,total no de personas con esquema clasico completo,2015-06-01,27,19,27,19,46
UYUNI,rabia,total no de personas con esquema clasico completo,2015-06-01,3,0,3,0,3
VALLEGRANDE,rabia,total no de personas con esquema clasico completo,2015-06-01,1,1,1,1,2
VIACHA,rabia,total no de personas con esquema clasico completo,2015-06-01,2,3,2,3,5
VILLAZON,rabia,total no de personas con esquema clasico completo,2015-06-01,0,2,0,2,2
WARNES,rabia,total no de personas con esquema clasico completo,2015-06-01,1,0,1,0,1
YACUIBA,rabia,total no de personas con esquema clasico completo,2015-06-01,3,3,3,3,6
ATOCHA,rabia,total no de personas con esquema clasico completo,2015-07-01,1,0,1,0,1
CABEZAS,rabia,total no de personas con esquema clasico completo,2015-07-01,15,3,15,3,18
CAMIRI,rabia,total no de personas con esquema clasico completo,2015-07-01,2,1,2,1,3
CARANAVI,rabia,total no de personas con esquema clasico completo,2015-07-01,0,1,0,1,1
CARAPARI,rabia,total no de personas con esquema clasico completo,2015-07-01,0,1,0,1,1
COCHABAMBA,rabia,total no de personas con esquema clasico completo,2015-07-01,2,1,2,1,3
COLLANA,rabia,total no de personas con esquema clasico completo,2015-07-01,1,0,1,0,1
COTOCA,rabia,total no de personas con esquema clasico completo,2015-07-01,3,1,3,1,4
EL ALTO,rabia,total no de personas con esquema clasico completo,2015-07-01,22,10,22,10,32
EL TORNO,rabia,total no de personas con esquema clasico completo,2015-07-01,1,3,1,3,4
ESCOMA,rabia,total no de personas con esquema clasico completo,2015-07-01,1,0,1,0,1
GUANAY,rabia,total no de personas con esquema clasico completo,2015-07-01,0,1,0,1,1
HUANUNI,rabia,total no de personas con esquema clasico completo,2015-07-01,0,1,0,1,1
LA GUARDIA,rabia,total no de personas con esquema clasico completo,2015-07-01,0,1,0,1,1
LA PAZ,rabia,total no de personas con esquema clasico completo,2015-07-01,2,0,2,0,2
LLALLAGUA,rabia,total no de personas con esquema clasico completo,2015-07-01,1,3,1,3,4
MONTEAGUDO,rabia,total no de personas con esquema clasico completo,2015-07-01,0,1,0,1,1
MONTERO,rabia,total no de personas con esquema clasico completo,2015-07-01,0,2,0,2,2
ORURO,rabia,total no de personas con esquema clasico completo,2015-07-01,4,5,4,5,9
PAILON,rabia,total no de personas con esquema clasico completo,2015-07-01,0,2,0,2,2
PORTACHUELO,rabia,total no de personas con esquema clasico completo,2015-07-01,1,3,1,3,4
POTOSI,rabia,total no de personas con esquema clasico completo,2015-07-01,19,9,19,9,28
SAN MIGUEL DE VELASCO,rabia,total no de personas con esquema clasico completo,2015-07-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,rabia,total no de personas con esquema clasico completo,2015-07-01,16,5,16,5,21
TARIJA,rabia,total no de personas con esquema clasico completo,2015-07-01,0,2,0,2,2
TRINIDAD,rabia,total no de personas con esquema clasico completo,2015-07-01,8,12,8,12,20
UYUNI,rabia,total no de personas con esquema clasico completo,2015-07-01,3,1,3,1,4
VALLEGRANDE,rabia,total no de personas con esquema clasico completo,2015-07-01,1,0,1,0,1
VILLAZON,rabia,total no de personas con esquema clasico completo,2015-07-01,2,0,2,0,2
ACHOCALLA,rabia,total no de personas con esquema clasico completo,2015-08-01,0,1,0,1,1
CAMARGO,rabia,total no de personas con esquema clasico completo,2015-08-01,0,1,0,1,1
CAMIRI,rabia,total no de personas con esquema clasico completo,2015-08-01,0,1,0,1,1
CARAPARI,rabia,total no de personas con esquema clasico completo,2015-08-01,1,0,1,0,1
CHALLAPATA,rabia,total no de personas con esquema clasico completo,2015-08-01,4,5,4,5,9
COCHABAMBA,rabia,total no de personas con esquema clasico completo,2015-08-01,7,2,7,2,9
COTOCA,rabia,total no de personas con esquema clasico completo,2015-08-01,1,1,1,1,2
EL ALTO,rabia,total no de personas con esquema clasico completo,2015-08-01,13,19,13,19,32
LA GUARDIA,rabia,total no de personas con esquema clasico completo,2015-08-01,1,0,1,0,1
LA PAZ,rabia,total no de personas con esquema clasico completo,2015-08-01,3,3,3,3,6
MONTERO,rabia,total no de personas con esquema clasico completo,2015-08-01,1,4,1,4,5
ORURO,rabia,total no de personas con esquema clasico completo,2015-08-01,4,4,4,4,8
PAILON,rabia,total no de personas con esquema clasico completo,2015-08-01,0,2,0,2,2
PORTACHUELO,rabia,total no de personas con esquema clasico completo,2015-08-01,2,1,2,1,3
POTOSI,rabia,total no de personas con esquema clasico completo,2015-08-01,24,22,24,22,46
PUERTO PEREZ,rabia,total no de personas con esquema clasico completo,2015-08-01,0,1,0,1,1
PUERTO QUIJARRO,rabia,total no de personas con esquema clasico completo,2015-08-01,0,1,0,1,1
SAN IGNACIO,rabia,total no de personas con esquema clasico completo,2015-08-01,3,1,3,1,4
SAN JULIAN,rabia,total no de personas con esquema clasico completo,2015-08-01,1,0,1,0,1
SAN LORENZO(TJA),rabia,total no de personas con esquema clasico completo,2015-08-01,0,1,0,1,1
SAN MIGUEL DE VELASCO,rabia,total no de personas con esquema clasico completo,2015-08-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,total no de personas con esquema clasico completo,2015-08-01,18,13,18,13,31
SHINAOTA,rabia,total no de personas con esquema clasico completo,2015-08-01,1,0,1,0,1
TARIJA,rabia,total no de personas con esquema clasico completo,2015-08-01,6,4,6,4,10
TRINIDAD,rabia,total no de personas con esquema clasico completo,2015-08-01,32,21,32,21,53
UYUNI,rabia,total no de personas con esquema clasico completo,2015-08-01,2,0,2,0,2
VIACHA,rabia,total no de personas con esquema clasico completo,2015-08-01,0,1,0,1,1
VILLA MONTES,rabia,total no de personas con esquema clasico completo,2015-08-01,0,1,0,1,1
VILLA TUNARI,rabia,total no de personas con esquema clasico completo,2015-08-01,1,0,1,0,1
VILLAZON,rabia,total no de personas con esquema clasico completo,2015-08-01,1,1,1,1,2
VINTO,rabia,total no de personas con esquema clasico completo,2015-08-01,1,0,1,0,1
WARNES,rabia,total no de personas con esquema clasico completo,2015-08-01,1,0,1,0,1
YACUIBA,rabia,total no de personas con esquema clasico completo,2015-08-01,7,6,7,6,13
YAPACANI,rabia,total no de personas con esquema clasico completo,2015-08-01,5,5,5,5,10
BERMEJO,rabia,total no de personas con esquema clasico completo,2015-09-01,0,1,0,1,1
CABEZAS,rabia,total no de personas con esquema clasico completo,2015-09-01,1,0,1,0,1
CAMIRI,rabia,total no de personas con esquema clasico completo,2015-09-01,0,1,0,1,1
CARANAVI,rabia,total no de personas con esquema clasico completo,2015-09-01,2,0,2,0,2
CHALLAPATA,rabia,total no de personas con esquema clasico completo,2015-09-01,1,0,1,0,1
COCHABAMBA,rabia,total no de personas con esquema clasico completo,2015-09-01,3,2,3,2,5
COTOCA,rabia,total no de personas con esquema clasico completo,2015-09-01,1,0,1,0,1
EL ALTO,rabia,total no de personas con esquema clasico completo,2015-09-01,11,14,11,14,25
ENTRE RIOS TRJ,rabia,total no de personas con esquema clasico completo,2015-09-01,0,1,0,1,1
LA PAZ,rabia,total no de personas con esquema clasico completo,2015-09-01,0,1,0,1,1
MACHACAMARCA,rabia,total no de personas con esquema clasico completo,2015-09-01,2,2,2,2,4
ORURO,rabia,total no de personas con esquema clasico completo,2015-09-01,26,25,26,25,51
PALCA,rabia,total no de personas con esquema clasico completo,2015-09-01,0,1,0,1,1
PORTACHUELO,rabia,total no de personas con esquema clasico completo,2015-09-01,1,0,1,0,1
POTOSI,rabia,total no de personas con esquema clasico completo,2015-09-01,22,16,22,16,38
PUNA,rabia,total no de personas con esquema clasico completo,2015-09-01,10,10,10,10,20
SACABA,rabia,total no de personas con esquema clasico completo,2015-09-01,1,1,1,1,2
SAN IGNACIO,rabia,total no de personas con esquema clasico completo,2015-09-01,1,2,1,2,3
SAN IGNACIO DE VELASCO,rabia,total no de personas con esquema clasico completo,2015-09-01,1,2,1,2,3
SANTA CRUZ DE LA SIERRA,rabia,total no de personas con esquema clasico completo,2015-09-01,16,14,16,14,30
SANTIAGO DE HUARI,rabia,total no de personas con esquema clasico completo,2015-09-01,1,1,1,1,2
SORACACHI,rabia,total no de personas con esquema clasico completo,2015-09-01,1,0,1,0,1
TARATA,rabia,total no de personas con esquema clasico completo,2015-09-01,0,1,0,1,1
TARIJA,rabia,total no de personas con esquema clasico completo,2015-09-01,8,6,8,6,14
TRINIDAD,rabia,total no de personas con esquema clasico completo,2015-09-01,19,21,19,21,40
UYUNI,rabia,total no de personas con esquema clasico completo,2015-09-01,3,2,3,2,5
VALLEGRANDE,rabia,total no de personas con esquema clasico completo,2015-09-01,0,2,0,2,2
VIACHA,rabia,total no de personas con esquema clasico completo,2015-09-01,1,6,1,6,7
VILLAZON,rabia,total no de personas con esquema clasico completo,2015-09-01,1,0,1,0,1
WARNES,rabia,total no de personas con esquema clasico completo,2015-09-01,2,1,2,1,3
YACUIBA,rabia,total no de personas con esquema clasico completo,2015-09-01,0,2,0,2,2
YAPACANI,rabia,total no de personas con esquema clasico completo,2015-09-01,1,0,1,0,1
ACHACACHI,rabia,total no de personas con esquema clasico completo,2015-10-01,1,0,1,0,1
ATOCHA,rabia,total no de personas con esquema clasico completo,2015-10-01,0,3,0,3,3
CARANAVI,rabia,total no de personas con esquema clasico completo,2015-10-01,1,0,1,0,1
CARAPARI,rabia,total no de personas con esquema clasico completo,2015-10-01,0,1,0,1,1
CLIZA,rabia,total no de personas con esquema clasico completo,2015-10-01,1,0,1,0,1
COCHABAMBA,rabia,total no de personas con esquema clasico completo,2015-10-01,7,2,7,2,9
COLQUECHACA,rabia,total no de personas con esquema clasico completo,2015-10-01,1,0,1,0,1
COTOCA,rabia,total no de personas con esquema clasico completo,2015-10-01,1,0,1,0,1
EL ALTO,rabia,total no de personas con esquema clasico completo,2015-10-01,34,6,34,6,40
ESCOMA,rabia,total no de personas con esquema clasico completo,2015-10-01,0,1,0,1,1
LA GUARDIA,rabia,total no de personas con esquema clasico completo,2015-10-01,4,6,4,6,10
LA PAZ,rabia,total no de personas con esquema clasico completo,2015-10-01,2,1,2,1,3
MONTERO,rabia,total no de personas con esquema clasico completo,2015-10-01,2,5,2,5,7
ORURO,rabia,total no de personas con esquema clasico completo,2015-10-01,5,2,5,2,7
PALCA,rabia,total no de personas con esquema clasico completo,2015-10-01,0,1,0,1,1
PORCO,rabia,total no de personas con esquema clasico completo,2015-10-01,0,1,0,1,1
PORTACHUELO,rabia,total no de personas con esquema clasico completo,2015-10-01,2,3,2,3,5
POTOSI,rabia,total no de personas con esquema clasico completo,2015-10-01,16,12,16,12,28
SACABA,rabia,total no de personas con esquema clasico completo,2015-10-01,3,1,3,1,4
SAN IGNACIO,rabia,total no de personas con esquema clasico completo,2015-10-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,total no de personas con esquema clasico completo,2015-10-01,11,13,11,13,24
SANTA ROSA DEL SARA,rabia,total no de personas con esquema clasico completo,2015-10-01,1,0,1,0,1
SANTIAGO DE HUARI,rabia,total no de personas con esquema clasico completo,2015-10-01,0,1,0,1,1
TIQUIPAYA,rabia,total no de personas con esquema clasico completo,2015-10-01,0,1,0,1,1
TRINIDAD,rabia,total no de personas con esquema clasico completo,2015-10-01,12,12,12,12,24
TUPIZA,rabia,total no de personas con esquema clasico completo,2015-10-01,0,7,0,7,7
UYUNI,rabia,total no de personas con esquema clasico completo,2015-10-01,39,53,39,53,92
VALLEGRANDE,rabia,total no de personas con esquema clasico completo,2015-10-01,0,1,0,1,1
VIACHA,rabia,total no de personas con esquema clasico completo,2015-10-01,1,2,1,2,3
VILLA MONTES,rabia,total no de personas con esquema clasico completo,2015-10-01,1,0,1,0,1
VILLAZON,rabia,total no de personas con esquema clasico completo,2015-10-01,0,2,0,2,2
VITICHI,rabia,total no de personas con esquema clasico completo,2015-10-01,0,1,0,1,1
WARNES,rabia,total no de personas con esquema clasico completo,2015-10-01,1,0,1,0,1
YACUIBA,rabia,total no de personas con esquema clasico completo,2015-10-01,4,3,4,3,7
ARBIETO,rabia,total no de personas con esquema clasico completo,2015-11-01,0,1,0,1,1
ATOCHA,rabia,total no de personas con esquema clasico completo,2015-11-01,1,2,1,2,3
BERMEJO,rabia,total no de personas con esquema clasico completo,2015-11-01,1,0,1,0,1
CABEZAS,rabia,total no de personas con esquema clasico completo,2015-11-01,6,2,6,2,8
CARANAVI,rabia,total no de personas con esquema clasico completo,2015-11-01,1,2,1,2,3
CHALLAPATA,rabia,total no de personas con esquema clasico completo,2015-11-01,1,0,1,0,1
COCHABAMBA,rabia,total no de personas con esquema clasico completo,2015-11-01,5,6,5,6,11
COLCAPIRHUA,rabia,total no de personas con esquema clasico completo,2015-11-01,2,0,2,0,2
"COLCHA ""K""",rabia,total no de personas con esquema clasico completo,2015-11-01,1,0,1,0,1
