,group,variable,month,TOTAL Nº DE PERSONAS CON ESQUEMA REDUCIDO COMPLETO CANTIDAD,TOTAL Nº DE PERSONAS CON ESQUEMA REDUCIDO COMPLETO CANTIDAD,TOTALES,TOTALES,TOTALES
SANTA CRUZ DE LA SIERRA,rabia,total no de personas con esquema reducido completo,2015-01-01,84,36,84,36,120
SHINAOTA,rabia,total no de personas con esquema reducido completo,2015-01-01,0,1,0,1,1
SUCRE,rabia,total no de personas con esquema reducido completo,2015-01-01,70,0,70,0,70
TARIJA,rabia,total no de personas con esquema reducido completo,2015-01-01,23,20,23,20,43
TIAWANACU,rabia,total no de personas con esquema reducido completo,2015-01-01,1,1,1,1,2
TIPUANI,rabia,total no de personas con esquema reducido completo,2015-01-01,1,1,1,1,2
TIQUIPAYA,rabia,total no de personas con esquema reducido completo,2015-01-01,2,0,2,0,2
TRINIDAD,rabia,total no de personas con esquema reducido completo,2015-01-01,3,4,3,4,7
TUPIZA,rabia,total no de personas con esquema reducido completo,2015-01-01,0,1,0,1,1
VALLEGRANDE,rabia,total no de personas con esquema reducido completo,2015-01-01,6,0,6,0,6
VIACHA,rabia,total no de personas con esquema reducido completo,2015-01-01,2,2,2,2,4
VILLA MONTES,rabia,total no de personas con esquema reducido completo,2015-01-01,1,0,1,0,1
VILLAZON,rabia,total no de personas con esquema reducido completo,2015-01-01,1,3,1,3,4
WARNES,rabia,total no de personas con esquema reducido completo,2015-01-01,5,2,5,2,7
YAPACANI,rabia,total no de personas con esquema reducido completo,2015-01-01,1,2,1,2,3
ACHACACHI,rabia,total no de personas con esquema reducido completo,2015-02-01,1,1,1,1,2
AIQUILE,rabia,total no de personas con esquema reducido completo,2015-02-01,1,2,1,2,3
ASCENCION DE GUARAYOS,rabia,total no de personas con esquema reducido completo,2015-02-01,2,1,2,1,3
BATALLAS,rabia,total no de personas con esquema reducido completo,2015-02-01,3,1,3,1,4
CAPINOTA,rabia,total no de personas con esquema reducido completo,2015-02-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),rabia,total no de personas con esquema reducido completo,2015-02-01,1,0,1,0,1
COCHABAMBA,rabia,total no de personas con esquema reducido completo,2015-02-01,14,12,14,12,26
COLCAPIRHUA,rabia,total no de personas con esquema reducido completo,2015-02-01,1,5,1,5,6
COTOCA,rabia,total no de personas con esquema reducido completo,2015-02-01,3,4,3,4,7
CUATRO CAÑADAS,rabia,total no de personas con esquema reducido completo,2015-02-01,2,1,2,1,3
EL ALTO,rabia,total no de personas con esquema reducido completo,2015-02-01,23,27,23,27,50
EL TORNO,rabia,total no de personas con esquema reducido completo,2015-02-01,14,19,14,19,33
GUANAY,rabia,total no de personas con esquema reducido completo,2015-02-01,0,1,0,1,1
LA GUARDIA,rabia,total no de personas con esquema reducido completo,2015-02-01,6,5,6,5,11
LA PAZ,rabia,total no de personas con esquema reducido completo,2015-02-01,64,55,64,55,119
MAIRANA,rabia,total no de personas con esquema reducido completo,2015-02-01,1,0,1,0,1
MONTERO,rabia,total no de personas con esquema reducido completo,2015-02-01,5,3,5,3,8
OMEREQUE,rabia,total no de personas con esquema reducido completo,2015-02-01,0,1,0,1,1
ORURO,rabia,total no de personas con esquema reducido completo,2015-02-01,10,6,10,6,16
PAILON,rabia,total no de personas con esquema reducido completo,2015-02-01,3,0,3,0,3
PALOS BLANCOS,rabia,total no de personas con esquema reducido completo,2015-02-01,0,1,0,1,1
PORTACHUELO,rabia,total no de personas con esquema reducido completo,2015-02-01,5,0,5,0,5
PUCARANI,rabia,total no de personas con esquema reducido completo,2015-02-01,2,0,2,0,2
PUERTO PEREZ,rabia,total no de personas con esquema reducido completo,2015-02-01,0,1,0,1,1
PUERTO QUIJARRO,rabia,total no de personas con esquema reducido completo,2015-02-01,0,1,0,1,1
QUILLACOLLO,rabia,total no de personas con esquema reducido completo,2015-02-01,2,0,2,0,2
ROBORE,rabia,total no de personas con esquema reducido completo,2015-02-01,1,4,1,4,5
SACABA,rabia,total no de personas con esquema reducido completo,2015-02-01,1,0,1,0,1
SAN CARLOS,rabia,total no de personas con esquema reducido completo,2015-02-01,1,1,1,1,2
SAN IGNACIO,rabia,total no de personas con esquema reducido completo,2015-02-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,rabia,total no de personas con esquema reducido completo,2015-02-01,2,3,2,3,5
SAN JULIAN,rabia,total no de personas con esquema reducido completo,2015-02-01,2,2,2,2,4
SAN PEDRO DE CURAHUARA,rabia,total no de personas con esquema reducido completo,2015-02-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,total no de personas con esquema reducido completo,2015-02-01,29,28,29,28,57
SANTA ROSA DEL SARA,rabia,total no de personas con esquema reducido completo,2015-02-01,1,0,1,0,1
SORACACHI,rabia,total no de personas con esquema reducido completo,2015-02-01,1,0,1,0,1
SUCRE,rabia,total no de personas con esquema reducido completo,2015-02-01,66,0,66,0,66
TARATA,rabia,total no de personas con esquema reducido completo,2015-02-01,0,1,0,1,1
TARIJA,rabia,total no de personas con esquema reducido completo,2015-02-01,11,15,11,15,26
TIPUANI,rabia,total no de personas con esquema reducido completo,2015-02-01,1,0,1,0,1
TIQUIPAYA,rabia,total no de personas con esquema reducido completo,2015-02-01,0,1,0,1,1
TOLATA,rabia,total no de personas con esquema reducido completo,2015-02-01,1,1,1,1,2
TRIGAL,rabia,total no de personas con esquema reducido completo,2015-02-01,1,0,1,0,1
TRINIDAD,rabia,total no de personas con esquema reducido completo,2015-02-01,4,3,4,3,7
VALLEGRANDE,rabia,total no de personas con esquema reducido completo,2015-02-01,1,2,1,2,3
VIACHA,rabia,total no de personas con esquema reducido completo,2015-02-01,1,3,1,3,4
VILLAZON,rabia,total no de personas con esquema reducido completo,2015-02-01,1,2,1,2,3
WARNES,rabia,total no de personas con esquema reducido completo,2015-02-01,3,2,3,2,5
YAPACANI,rabia,total no de personas con esquema reducido completo,2015-02-01,0,1,0,1,1
ACHACACHI,rabia,total no de personas con esquema reducido completo,2015-03-01,0,1,0,1,1
AIQUILE,rabia,total no de personas con esquema reducido completo,2015-03-01,0,4,0,4,4
ALTO BENI,rabia,total no de personas con esquema reducido completo,2015-03-01,0,1,0,1,1
ASCENCION DE GUARAYOS,rabia,total no de personas con esquema reducido completo,2015-03-01,1,1,1,1,2
BATALLAS,rabia,total no de personas con esquema reducido completo,2015-03-01,1,1,1,1,2
BERMEJO,rabia,total no de personas con esquema reducido completo,2015-03-01,1,0,1,0,1
BETANZOS,rabia,total no de personas con esquema reducido completo,2015-03-01,1,0,1,0,1
CAMIRI,rabia,total no de personas con esquema reducido completo,2015-03-01,2,0,2,0,2
CARANAVI,rabia,total no de personas con esquema reducido completo,2015-03-01,2,0,2,0,2
CARAPARI,rabia,total no de personas con esquema reducido completo,2015-03-01,1,0,1,0,1
CHALLAPATA,rabia,total no de personas con esquema reducido completo,2015-03-01,6,10,6,10,16
CHIMORE,rabia,total no de personas con esquema reducido completo,2015-03-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),rabia,total no de personas con esquema reducido completo,2015-03-01,0,1,0,1,1
COCHABAMBA,rabia,total no de personas con esquema reducido completo,2015-03-01,23,16,23,16,39
COLCAPIRHUA,rabia,total no de personas con esquema reducido completo,2015-03-01,1,2,1,2,3
COTOCA,rabia,total no de personas con esquema reducido completo,2015-03-01,6,1,6,1,7
CUATRO CAÑADAS,rabia,total no de personas con esquema reducido completo,2015-03-01,1,0,1,0,1
EL ALTO,rabia,total no de personas con esquema reducido completo,2015-03-01,55,31,55,31,86
EL TORNO,rabia,total no de personas con esquema reducido completo,2015-03-01,6,8,6,8,14
GENERAL SAAVEDRA,rabia,total no de personas con esquema reducido completo,2015-03-01,1,0,1,0,1
GUANAY,rabia,total no de personas con esquema reducido completo,2015-03-01,0,2,0,2,2
GUAQUI,rabia,total no de personas con esquema reducido completo,2015-03-01,1,0,1,0,1
LA ASUNTA,rabia,total no de personas con esquema reducido completo,2015-03-01,0,1,0,1,1
LA GUARDIA,rabia,total no de personas con esquema reducido completo,2015-03-01,3,4,3,4,7
LA PAZ,rabia,total no de personas con esquema reducido completo,2015-03-01,56,44,56,44,100
MAIRANA,rabia,total no de personas con esquema reducido completo,2015-03-01,1,0,1,0,1
MONTEAGUDO,rabia,total no de personas con esquema reducido completo,2015-03-01,1,0,1,0,1
MONTERO,rabia,total no de personas con esquema reducido completo,2015-03-01,3,5,3,5,8
MORO MORO,rabia,total no de personas con esquema reducido completo,2015-03-01,0,1,0,1,1
ORURO,rabia,total no de personas con esquema reducido completo,2015-03-01,5,8,5,8,13
PAZÑA,rabia,total no de personas con esquema reducido completo,2015-03-01,0,1,0,1,1
PORONGO,rabia,total no de personas con esquema reducido completo,2015-03-01,0,2,0,2,2
PORTACHUELO,rabia,total no de personas con esquema reducido completo,2015-03-01,24,7,24,7,31
PUERTO QUIJARRO,rabia,total no de personas con esquema reducido completo,2015-03-01,0,1,0,1,1
PUNATA,rabia,total no de personas con esquema reducido completo,2015-03-01,0,1,0,1,1
QUILLACOLLO,rabia,total no de personas con esquema reducido completo,2015-03-01,2,3,2,3,5
SACABA,rabia,total no de personas con esquema reducido completo,2015-03-01,2,0,2,0,2
SAN CARLOS,rabia,total no de personas con esquema reducido completo,2015-03-01,3,6,3,6,9
SAN IGNACIO DE VELASCO,rabia,total no de personas con esquema reducido completo,2015-03-01,0,1,0,1,1
SAN JULIAN,rabia,total no de personas con esquema reducido completo,2015-03-01,2,1,2,1,3
SAN RAMON SCZ,rabia,total no de personas con esquema reducido completo,2015-03-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,rabia,total no de personas con esquema reducido completo,2015-03-01,32,44,32,44,76
SANTIAGO DE HUARI,rabia,total no de personas con esquema reducido completo,2015-03-01,1,0,1,0,1
SHINAOTA,rabia,total no de personas con esquema reducido completo,2015-03-01,1,0,1,0,1
SORACACHI,rabia,total no de personas con esquema reducido completo,2015-03-01,1,0,1,0,1
SUCRE,rabia,total no de personas con esquema reducido completo,2015-03-01,56,1,56,1,57
TARIJA,rabia,total no de personas con esquema reducido completo,2015-03-01,9,9,9,9,18
TEOPONTE,rabia,total no de personas con esquema reducido completo,2015-03-01,1,0,1,0,1
TIQUIPAYA,rabia,total no de personas con esquema reducido completo,2015-03-01,2,5,2,5,7
TIRAQUE (CBBA),rabia,total no de personas con esquema reducido completo,2015-03-01,0,1,0,1,1
TRINIDAD,rabia,total no de personas con esquema reducido completo,2015-03-01,4,4,4,4,8
TUPIZA,rabia,total no de personas con esquema reducido completo,2015-03-01,1,0,1,0,1
UYUNI,rabia,total no de personas con esquema reducido completo,2015-03-01,3,0,3,0,3
VACAS,rabia,total no de personas con esquema reducido completo,2015-03-01,0,1,0,1,1
VALLEGRANDE,rabia,total no de personas con esquema reducido completo,2015-03-01,2,2,2,2,4
VIACHA,rabia,total no de personas con esquema reducido completo,2015-03-01,1,0,1,0,1
VILLA MONTES,rabia,total no de personas con esquema reducido completo,2015-03-01,1,0,1,0,1
VILLA TUNARI,rabia,total no de personas con esquema reducido completo,2015-03-01,1,0,1,0,1
VILLAZON,rabia,total no de personas con esquema reducido completo,2015-03-01,1,0,1,0,1
WARNES,rabia,total no de personas con esquema reducido completo,2015-03-01,3,2,3,2,5
YAPACANI,rabia,total no de personas con esquema reducido completo,2015-03-01,0,1,0,1,1
ACHACACHI,rabia,total no de personas con esquema reducido completo,2015-04-01,2,2,2,2,4
AIQUILE,rabia,total no de personas con esquema reducido completo,2015-04-01,0,1,0,1,1
ARANI,rabia,total no de personas con esquema reducido completo,2015-04-01,0,1,0,1,1
ATOCHA,rabia,total no de personas con esquema reducido completo,2015-04-01,2,2,2,2,4
CAIROMA,rabia,total no de personas con esquema reducido completo,2015-04-01,1,0,1,0,1
CAMIRI,rabia,total no de personas con esquema reducido completo,2015-04-01,0,1,0,1,1
CAPINOTA,rabia,total no de personas con esquema reducido completo,2015-04-01,0,1,0,1,1
CARANAVI,rabia,total no de personas con esquema reducido completo,2015-04-01,0,1,0,1,1
CARAPARI,rabia,total no de personas con esquema reducido completo,2015-04-01,1,1,1,1,2
CHIMORE,rabia,total no de personas con esquema reducido completo,2015-04-01,1,0,1,0,1
CLIZA,rabia,total no de personas con esquema reducido completo,2015-04-01,1,0,1,0,1
COCHABAMBA,rabia,total no de personas con esquema reducido completo,2015-04-01,20,14,20,14,34
COLCAPIRHUA,rabia,total no de personas con esquema reducido completo,2015-04-01,3,0,3,0,3
COLOMI,rabia,total no de personas con esquema reducido completo,2015-04-01,1,0,1,0,1
COTOCA,rabia,total no de personas con esquema reducido completo,2015-04-01,0,3,0,3,3
CUATRO CAÑADAS,rabia,total no de personas con esquema reducido completo,2015-04-01,1,1,1,1,2
CUEVO,rabia,total no de personas con esquema reducido completo,2015-04-01,0,1,0,1,1
EL ALTO,rabia,total no de personas con esquema reducido completo,2015-04-01,45,26,45,26,71
EL TORNO,rabia,total no de personas con esquema reducido completo,2015-04-01,6,3,6,3,9
GENERAL SAAVEDRA,rabia,total no de personas con esquema reducido completo,2015-04-01,2,0,2,0,2
GUANAY,rabia,total no de personas con esquema reducido completo,2015-04-01,0,1,0,1,1
IXIAMAS,rabia,total no de personas con esquema reducido completo,2015-04-01,1,0,1,0,1
LA ASUNTA,rabia,total no de personas con esquema reducido completo,2015-04-01,0,1,0,1,1
LA GUARDIA,rabia,total no de personas con esquema reducido completo,2015-04-01,6,4,6,4,10
LA PAZ,rabia,total no de personas con esquema reducido completo,2015-04-01,64,63,64,63,127
MAIRANA,rabia,total no de personas con esquema reducido completo,2015-04-01,1,0,1,0,1
MONTERO,rabia,total no de personas con esquema reducido completo,2015-04-01,5,3,5,3,8
ORURO,rabia,total no de personas con esquema reducido completo,2015-04-01,5,3,5,3,8
PALOS BLANCOS,rabia,total no de personas con esquema reducido completo,2015-04-01,0,1,0,1,1
PAZÑA,rabia,total no de personas con esquema reducido completo,2015-04-01,1,1,1,1,2
PORCO,rabia,total no de personas con esquema reducido completo,2015-04-01,1,0,1,0,1
PORONGO,rabia,total no de personas con esquema reducido completo,2015-04-01,3,3,3,3,6
PORTACHUELO,rabia,total no de personas con esquema reducido completo,2015-04-01,17,5,17,5,22
POSTRER VALLE,rabia,total no de personas con esquema reducido completo,2015-04-01,1,1,1,1,2
PUERTO QUIJARRO,rabia,total no de personas con esquema reducido completo,2015-04-01,1,0,1,0,1
PUNATA,rabia,total no de personas con esquema reducido completo,2015-04-01,1,0,1,0,1
QUIABAYA,rabia,total no de personas con esquema reducido completo,2015-04-01,1,0,1,0,1
QUILLACOLLO,rabia,total no de personas con esquema reducido completo,2015-04-01,2,1,2,1,3
ROBORE,rabia,total no de personas con esquema reducido completo,2015-04-01,1,0,1,0,1
SACABA,rabia,total no de personas con esquema reducido completo,2015-04-01,2,2,2,2,4
SAN AGUSTIN,rabia,total no de personas con esquema reducido completo,2015-04-01,1,0,1,0,1
SAN BENITO,rabia,total no de personas con esquema reducido completo,2015-04-01,1,0,1,0,1
SAN BORJA,rabia,total no de personas con esquema reducido completo,2015-04-01,0,1,0,1,1
SAN BUENA VENTURA,rabia,total no de personas con esquema reducido completo,2015-04-01,1,0,1,0,1
SAN CARLOS,rabia,total no de personas con esquema reducido completo,2015-04-01,13,9,13,9,22
SAN IGNACIO DE VELASCO,rabia,total no de personas con esquema reducido completo,2015-04-01,0,2,0,2,2
SAN JOSE DE CHIQUITOS,rabia,total no de personas con esquema reducido completo,2015-04-01,1,0,1,0,1
SAN JULIAN,rabia,total no de personas con esquema reducido completo,2015-04-01,2,4,2,4,6
SAN LORENZO(TJA),rabia,total no de personas con esquema reducido completo,2015-04-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,rabia,total no de personas con esquema reducido completo,2015-04-01,32,39,32,39,71
SHINAOTA,rabia,total no de personas con esquema reducido completo,2015-04-01,1,0,1,0,1
SUCRE,rabia,total no de personas con esquema reducido completo,2015-04-01,71,3,71,3,74
TARIJA,rabia,total no de personas con esquema reducido completo,2015-04-01,11,14,11,14,25
TIQUIPAYA,rabia,total no de personas con esquema reducido completo,2015-04-01,2,0,2,0,2
TRINIDAD,rabia,total no de personas con esquema reducido completo,2015-04-01,6,10,6,10,16
UNCIA,rabia,total no de personas con esquema reducido completo,2015-04-01,1,0,1,0,1
VIACHA,rabia,total no de personas con esquema reducido completo,2015-04-01,1,0,1,0,1
VINTO,rabia,total no de personas con esquema reducido completo,2015-04-01,1,1,1,1,2
WARNES,rabia,total no de personas con esquema reducido completo,2015-04-01,5,2,5,2,7
YAPACANI,rabia,total no de personas con esquema reducido completo,2015-04-01,1,2,1,2,3
ACHACACHI,rabia,total no de personas con esquema reducido completo,2015-05-01,2,0,2,0,2
ARBIETO,rabia,total no de personas con esquema reducido completo,2015-05-01,0,1,0,1,1
ASCENCION DE GUARAYOS,rabia,total no de personas con esquema reducido completo,2015-05-01,1,0,1,0,1
ATOCHA,rabia,total no de personas con esquema reducido completo,2015-05-01,1,0,1,0,1
BUENA VISTA,rabia,total no de personas con esquema reducido completo,2015-05-01,1,0,1,0,1
CARANAVI,rabia,total no de personas con esquema reducido completo,2015-05-01,2,0,2,0,2
CHALLAPATA,rabia,total no de personas con esquema reducido completo,2015-05-01,4,2,4,2,6
CHULUMANI (V. DE LA LIBERTAD),rabia,total no de personas con esquema reducido completo,2015-05-01,1,0,1,0,1
CLIZA,rabia,total no de personas con esquema reducido completo,2015-05-01,1,1,1,1,2
COCHABAMBA,rabia,total no de personas con esquema reducido completo,2015-05-01,21,15,21,15,36
CORO CORO,rabia,total no de personas con esquema reducido completo,2015-05-01,1,1,1,1,2
COTOCA,rabia,total no de personas con esquema reducido completo,2015-05-01,1,0,1,0,1
CUATRO CAÑADAS,rabia,total no de personas con esquema reducido completo,2015-05-01,1,2,1,2,3
EL ALTO,rabia,total no de personas con esquema reducido completo,2015-05-01,46,351,46,351,397
EL TORNO,rabia,total no de personas con esquema reducido completo,2015-05-01,15,9,15,9,24
ENTRE RIOS CBBA,rabia,total no de personas con esquema reducido completo,2015-05-01,0,1,0,1,1
GENERAL SAAVEDRA,rabia,total no de personas con esquema reducido completo,2015-05-01,0,1,0,1,1
GUANAY,rabia,total no de personas con esquema reducido completo,2015-05-01,1,0,1,0,1
HUAYLLAMARCA,rabia,total no de personas con esquema reducido completo,2015-05-01,1,0,1,0,1
LA GUARDIA,rabia,total no de personas con esquema reducido completo,2015-05-01,0,5,0,5,5
LA PAZ,rabia,total no de personas con esquema reducido completo,2015-05-01,58,27,58,27,85
LAJA,rabia,total no de personas con esquema reducido completo,2015-05-01,5,2,5,2,7
LLICA,rabia,total no de personas con esquema reducido completo,2015-05-01,1,0,1,0,1
MAIRANA,rabia,total no de personas con esquema reducido completo,2015-05-01,0,1,0,1,1
MONTERO,rabia,total no de personas con esquema reducido completo,2015-05-01,4,2,4,2,6
ORURO,rabia,total no de personas con esquema reducido completo,2015-05-01,13,7,13,7,20
PORTACHUELO,rabia,total no de personas con esquema reducido completo,2015-05-01,10,0,10,0,10
PUERTO QUIJARRO,rabia,total no de personas con esquema reducido completo,2015-05-01,0,2,0,2,2
PUNATA,rabia,total no de personas con esquema reducido completo,2015-05-01,0,1,0,1,1
QUILLACOLLO,rabia,total no de personas con esquema reducido completo,2015-05-01,2,3,2,3,5
ROBORE,rabia,total no de personas con esquema reducido completo,2015-05-01,1,4,1,4,5
SACABA,rabia,total no de personas con esquema reducido completo,2015-05-01,0,1,0,1,1
SAN CARLOS,rabia,total no de personas con esquema reducido completo,2015-05-01,1,1,1,1,2
SAN IGNACIO DE VELASCO,rabia,total no de personas con esquema reducido completo,2015-05-01,0,2,0,2,2
SAN JULIAN,rabia,total no de personas con esquema reducido completo,2015-05-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,rabia,total no de personas con esquema reducido completo,2015-05-01,34,57,34,57,91
SANTA ROSA DEL SARA,rabia,total no de personas con esquema reducido completo,2015-05-01,1,1,1,1,2
SANTIVAÑES,rabia,total no de personas con esquema reducido completo,2015-05-01,1,0,1,0,1
SUCRE,rabia,total no de personas con esquema reducido completo,2015-05-01,51,3,51,3,54
TAPACARI,rabia,total no de personas con esquema reducido completo,2015-05-01,1,0,1,0,1
TARIJA,rabia,total no de personas con esquema reducido completo,2015-05-01,20,11,20,11,31
TIPUANI,rabia,total no de personas con esquema reducido completo,2015-05-01,1,0,1,0,1
TRINIDAD,rabia,total no de personas con esquema reducido completo,2015-05-01,2,3,2,3,5
VALLEGRANDE,rabia,total no de personas con esquema reducido completo,2015-05-01,0,1,0,1,1
VILLAZON,rabia,total no de personas con esquema reducido completo,2015-05-01,2,1,2,1,3
WARNES,rabia,total no de personas con esquema reducido completo,2015-05-01,3,0,3,0,3
YACUIBA,rabia,total no de personas con esquema reducido completo,2015-05-01,3,3,3,3,6
YAPACANI,rabia,total no de personas con esquema reducido completo,2015-05-01,1,2,1,2,3
ACHACACHI,rabia,total no de personas con esquema reducido completo,2015-06-01,2,0,2,0,2
AIQUILE,rabia,total no de personas con esquema reducido completo,2015-06-01,0,1,0,1,1
ASCENCION DE GUARAYOS,rabia,total no de personas con esquema reducido completo,2015-06-01,2,1,2,1,3
ATOCHA,rabia,total no de personas con esquema reducido completo,2015-06-01,1,2,1,2,3
CABEZAS,rabia,total no de personas con esquema reducido completo,2015-06-01,15,7,15,7,22
CARANAVI,rabia,total no de personas con esquema reducido completo,2015-06-01,2,1,2,1,3
CHALLAPATA,rabia,total no de personas con esquema reducido completo,2015-06-01,2,0,2,0,2
COCHABAMBA,rabia,total no de personas con esquema reducido completo,2015-06-01,18,13,18,13,31
CONCEPCION,rabia,total no de personas con esquema reducido completo,2015-06-01,0,1,0,1,1
COTOCA,rabia,total no de personas con esquema reducido completo,2015-06-01,3,0,3,0,3
CUATRO CAÑADAS,rabia,total no de personas con esquema reducido completo,2015-06-01,1,2,1,2,3
EL ALTO,rabia,total no de personas con esquema reducido completo,2015-06-01,50,40,50,40,90
EL TORNO,rabia,total no de personas con esquema reducido completo,2015-06-01,13,9,13,9,22
ENTRE RIOS CBBA,rabia,total no de personas con esquema reducido completo,2015-06-01,0,2,0,2,2
GENERAL SAAVEDRA,rabia,total no de personas con esquema reducido completo,2015-06-01,2,0,2,0,2
GUANAY,rabia,total no de personas con esquema reducido completo,2015-06-01,1,1,1,1,2
LA GUARDIA,rabia,total no de personas con esquema reducido completo,2015-06-01,3,5,3,5,8
LA PAZ,rabia,total no de personas con esquema reducido completo,2015-06-01,73,49,73,49,122
MIZQUE,rabia,total no de personas con esquema reducido completo,2015-06-01,4,2,4,2,6
MONTERO,rabia,total no de personas con esquema reducido completo,2015-06-01,3,0,3,0,3
ORURO,rabia,total no de personas con esquema reducido completo,2015-06-01,6,4,6,4,10
PORTACHUELO,rabia,total no de personas con esquema reducido completo,2015-06-01,24,46,24,46,70
PUERTO PEREZ,rabia,total no de personas con esquema reducido completo,2015-06-01,1,1,1,1,2
QUILLACOLLO,rabia,total no de personas con esquema reducido completo,2015-06-01,7,2,7,2,9
SACABA,rabia,total no de personas con esquema reducido completo,2015-06-01,1,0,1,0,1
SAN CARLOS,rabia,total no de personas con esquema reducido completo,2015-06-01,2,0,2,0,2
SAN IGNACIO DE VELASCO,rabia,total no de personas con esquema reducido completo,2015-06-01,1,0,1,0,1
SAN JAVIER(STC),rabia,total no de personas con esquema reducido completo,2015-06-01,1,0,1,0,1
SAN JULIAN,rabia,total no de personas con esquema reducido completo,2015-06-01,3,3,3,3,6
