,group,variable,month,TOTAL Nº DE PERSONAS CON VACUNA ANTIRRÁBICA CANTIDAD,TOTAL Nº DE PERSONAS CON VACUNA ANTIRRÁBICA CANTIDAD,TOTALES,TOTALES,TOTALES
QUILLACOLLO,rabia,total no de personas con vacuna antirrabica,2015-01-01,5,1,5,1,6
QUIRUSILLAS,rabia,total no de personas con vacuna antirrabica,2015-01-01,1,0,1,0,1
RURRENABAQUE,rabia,total no de personas con vacuna antirrabica,2015-01-01,0,2,0,2,2
SACABA,rabia,total no de personas con vacuna antirrabica,2015-01-01,2,0,2,0,2
SAIPINA,rabia,total no de personas con vacuna antirrabica,2015-01-01,1,0,1,0,1
SAMAIPATA,rabia,total no de personas con vacuna antirrabica,2015-01-01,2,1,2,1,3
SAN ANDRES DE MACHACA,rabia,total no de personas con vacuna antirrabica,2015-01-01,0,1,0,1,1
SAN CARLOS,rabia,total no de personas con vacuna antirrabica,2015-01-01,4,5,4,5,9
SAN IGNACIO,rabia,total no de personas con vacuna antirrabica,2015-01-01,4,3,4,3,7
SAN IGNACIO DE VELASCO,rabia,total no de personas con vacuna antirrabica,2015-01-01,6,2,6,2,8
SAN JUAN DE YAPACANI,rabia,total no de personas con vacuna antirrabica,2015-01-01,1,0,1,0,1
SAN JULIAN,rabia,total no de personas con vacuna antirrabica,2015-01-01,4,2,4,2,6
SAN RAMON SCZ,rabia,total no de personas con vacuna antirrabica,2015-01-01,4,0,4,0,4
SANTA CRUZ DE LA SIERRA,rabia,total no de personas con vacuna antirrabica,2015-01-01,501,427,501,427,928
SANTIAGO DE HUARI,rabia,total no de personas con vacuna antirrabica,2015-01-01,2,1,2,1,3
SHINAOTA,rabia,total no de personas con vacuna antirrabica,2015-01-01,0,1,0,1,1
SUCRE,rabia,total no de personas con vacuna antirrabica,2015-01-01,174,0,174,0,174
TARIJA,rabia,total no de personas con vacuna antirrabica,2015-01-01,24,21,24,21,45
TIAWANACU,rabia,total no de personas con vacuna antirrabica,2015-01-01,0,1,0,1,1
TIPUANI,rabia,total no de personas con vacuna antirrabica,2015-01-01,1,1,1,1,2
TIRAQUE (CBBA),rabia,total no de personas con vacuna antirrabica,2015-01-01,0,1,0,1,1
TOLATA,rabia,total no de personas con vacuna antirrabica,2015-01-01,1,1,1,1,2
TRINIDAD,rabia,total no de personas con vacuna antirrabica,2015-01-01,21,15,21,15,36
TUPIZA,rabia,total no de personas con vacuna antirrabica,2015-01-01,1,2,1,2,3
UNCIA,rabia,total no de personas con vacuna antirrabica,2015-01-01,2,0,2,0,2
UYUNI,rabia,total no de personas con vacuna antirrabica,2015-01-01,2,4,2,4,6
VACAS,rabia,total no de personas con vacuna antirrabica,2015-01-01,0,1,0,1,1
VALLEGRANDE,rabia,total no de personas con vacuna antirrabica,2015-01-01,10,4,10,4,14
VIACHA,rabia,total no de personas con vacuna antirrabica,2015-01-01,0,5,0,5,5
VILLA MONTES,rabia,total no de personas con vacuna antirrabica,2015-01-01,2,0,2,0,2
VILLA SERRANO,rabia,total no de personas con vacuna antirrabica,2015-01-01,1,2,1,2,3
VILLA TUNARI,rabia,total no de personas con vacuna antirrabica,2015-01-01,0,1,0,1,1
VILLAZON,rabia,total no de personas con vacuna antirrabica,2015-01-01,3,6,3,6,9
WARNES,rabia,total no de personas con vacuna antirrabica,2015-01-01,10,7,10,7,17
YAPACANI,rabia,total no de personas con vacuna antirrabica,2015-01-01,1,3,1,3,4
ACHACACHI,rabia,total no de personas con vacuna antirrabica,2015-02-01,2,3,2,3,5
AIQUILE,rabia,total no de personas con vacuna antirrabica,2015-02-01,7,2,7,2,9
ASCENCION DE GUARAYOS,rabia,total no de personas con vacuna antirrabica,2015-02-01,2,2,2,2,4
ATOCHA,rabia,total no de personas con vacuna antirrabica,2015-02-01,0,1,0,1,1
BERMEJO,rabia,total no de personas con vacuna antirrabica,2015-02-01,2,0,2,0,2
CALAMARCA,rabia,total no de personas con vacuna antirrabica,2015-02-01,0,7,0,7,7
CAMIRI,rabia,total no de personas con vacuna antirrabica,2015-02-01,3,0,3,0,3
CARANAVI,rabia,total no de personas con vacuna antirrabica,2015-02-01,1,2,1,2,3
CARAPARI,rabia,total no de personas con vacuna antirrabica,2015-02-01,4,2,4,2,6
CHALLAPATA,rabia,total no de personas con vacuna antirrabica,2015-02-01,7,3,7,3,10
CLIZA,rabia,total no de personas con vacuna antirrabica,2015-02-01,1,0,1,0,1
COCHABAMBA,rabia,total no de personas con vacuna antirrabica,2015-02-01,30,19,30,19,49
COLCAPIRHUA,rabia,total no de personas con vacuna antirrabica,2015-02-01,2,1,2,1,3
COMARAPA,rabia,total no de personas con vacuna antirrabica,2015-02-01,1,1,1,1,2
COPACABANA,rabia,total no de personas con vacuna antirrabica,2015-02-01,0,1,0,1,1
COTOCA,rabia,total no de personas con vacuna antirrabica,2015-02-01,3,4,3,4,7
CUATRO CAÑADAS,rabia,total no de personas con vacuna antirrabica,2015-02-01,2,1,2,1,3
EL ALTO,rabia,total no de personas con vacuna antirrabica,2015-02-01,151,162,151,162,313
EL TORNO,rabia,total no de personas con vacuna antirrabica,2015-02-01,14,14,14,14,28
GRAL. J.J. PEREZ (CHARAZANI),rabia,total no de personas con vacuna antirrabica,2015-02-01,1,0,1,0,1
GUANAY,rabia,total no de personas con vacuna antirrabica,2015-02-01,0,1,0,1,1
GUAQUI,rabia,total no de personas con vacuna antirrabica,2015-02-01,1,0,1,0,1
LA GUARDIA,rabia,total no de personas con vacuna antirrabica,2015-02-01,12,12,12,12,24
LA PAZ,rabia,total no de personas con vacuna antirrabica,2015-02-01,87,82,87,82,169
MAIRANA,rabia,total no de personas con vacuna antirrabica,2015-02-01,3,0,3,0,3
MAPIRI,rabia,total no de personas con vacuna antirrabica,2015-02-01,2,2,2,2,4
MIZQUE,rabia,total no de personas con vacuna antirrabica,2015-02-01,1,1,1,1,2
MONTERO,rabia,total no de personas con vacuna antirrabica,2015-02-01,3,4,3,4,7
MORO MORO,rabia,total no de personas con vacuna antirrabica,2015-02-01,0,1,0,1,1
ORURO,rabia,total no de personas con vacuna antirrabica,2015-02-01,56,30,56,30,86
PAILON,rabia,total no de personas con vacuna antirrabica,2015-02-01,3,0,3,0,3
PALOS BLANCOS,rabia,total no de personas con vacuna antirrabica,2015-02-01,0,1,0,1,1
PAMPA GRANDE,rabia,total no de personas con vacuna antirrabica,2015-02-01,1,0,1,0,1
PATACAMAYA,rabia,total no de personas con vacuna antirrabica,2015-02-01,0,2,0,2,2
PORONGO,rabia,total no de personas con vacuna antirrabica,2015-02-01,1,0,1,0,1
PORTACHUELO,rabia,total no de personas con vacuna antirrabica,2015-02-01,4,5,4,5,9
POTOSI,rabia,total no de personas con vacuna antirrabica,2015-02-01,141,142,141,142,283
PUERTO PEREZ,rabia,total no de personas con vacuna antirrabica,2015-02-01,0,1,0,1,1
PUERTO QUIJARRO,rabia,total no de personas con vacuna antirrabica,2015-02-01,1,1,1,1,2
PUERTO VILLARROEL,rabia,total no de personas con vacuna antirrabica,2015-02-01,1,0,1,0,1
PUNA,rabia,total no de personas con vacuna antirrabica,2015-02-01,1,1,1,1,2
QUILLACOLLO,rabia,total no de personas con vacuna antirrabica,2015-02-01,4,1,4,1,5
ROBORE,rabia,total no de personas con vacuna antirrabica,2015-02-01,1,4,1,4,5
SACABA,rabia,total no de personas con vacuna antirrabica,2015-02-01,7,2,7,2,9
SAIPINA,rabia,total no de personas con vacuna antirrabica,2015-02-01,0,1,0,1,1
SAMAIPATA,rabia,total no de personas con vacuna antirrabica,2015-02-01,1,1,1,1,2
SAN BENITO,rabia,total no de personas con vacuna antirrabica,2015-02-01,1,0,1,0,1
SAN BORJA,rabia,total no de personas con vacuna antirrabica,2015-02-01,0,2,0,2,2
SAN CARLOS,rabia,total no de personas con vacuna antirrabica,2015-02-01,7,7,7,7,14
SAN IGNACIO,rabia,total no de personas con vacuna antirrabica,2015-02-01,3,1,3,1,4
SAN IGNACIO DE VELASCO,rabia,total no de personas con vacuna antirrabica,2015-02-01,9,3,9,3,12
SAN JULIAN,rabia,total no de personas con vacuna antirrabica,2015-02-01,3,1,3,1,4
SAN PEDRO DE CURAHUARA,rabia,total no de personas con vacuna antirrabica,2015-02-01,1,0,1,0,1
SAN RAMON SCZ,rabia,total no de personas con vacuna antirrabica,2015-02-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,total no de personas con vacuna antirrabica,2015-02-01,301,201,301,201,502
SANTA ROSA DEL SARA,rabia,total no de personas con vacuna antirrabica,2015-02-01,10,0,10,0,10
SANTIAGO DE HUARI,rabia,total no de personas con vacuna antirrabica,2015-02-01,2,0,2,0,2
SORACACHI,rabia,total no de personas con vacuna antirrabica,2015-02-01,0,1,0,1,1
SUCRE,rabia,total no de personas con vacuna antirrabica,2015-02-01,86,0,86,0,86
TARIJA,rabia,total no de personas con vacuna antirrabica,2015-02-01,11,16,11,16,27
TEOPONTE,rabia,total no de personas con vacuna antirrabica,2015-02-01,1,0,1,0,1
TIPUANI,rabia,total no de personas con vacuna antirrabica,2015-02-01,1,0,1,0,1
TIQUIPAYA,rabia,total no de personas con vacuna antirrabica,2015-02-01,1,0,1,0,1
TRIGAL,rabia,total no de personas con vacuna antirrabica,2015-02-01,1,0,1,0,1
TRINIDAD,rabia,total no de personas con vacuna antirrabica,2015-02-01,19,20,19,20,39
TUPIZA,rabia,total no de personas con vacuna antirrabica,2015-02-01,0,1,0,1,1
UYUNI,rabia,total no de personas con vacuna antirrabica,2015-02-01,5,1,5,1,6
VACAS,rabia,total no de personas con vacuna antirrabica,2015-02-01,0,1,0,1,1
VALLEGRANDE,rabia,total no de personas con vacuna antirrabica,2015-02-01,4,5,4,5,9
VIACHA,rabia,total no de personas con vacuna antirrabica,2015-02-01,2,2,2,2,4
VILLA MONTES,rabia,total no de personas con vacuna antirrabica,2015-02-01,0,2,0,2,2
VILLA TUNARI,rabia,total no de personas con vacuna antirrabica,2015-02-01,1,0,1,0,1
VILLAZON,rabia,total no de personas con vacuna antirrabica,2015-02-01,4,6,4,6,10
WARNES,rabia,total no de personas con vacuna antirrabica,2015-02-01,5,4,5,4,9
YACUIBA,rabia,total no de personas con vacuna antirrabica,2015-02-01,33,16,33,16,49
YAPACANI,rabia,total no de personas con vacuna antirrabica,2015-02-01,10,9,10,9,19
ACHACACHI,rabia,total no de personas con vacuna antirrabica,2015-03-01,3,3,3,3,6
AIQUILE,rabia,total no de personas con vacuna antirrabica,2015-03-01,8,14,8,14,22
ALTO BENI,rabia,total no de personas con vacuna antirrabica,2015-03-01,0,1,0,1,1
ARANI,rabia,total no de personas con vacuna antirrabica,2015-03-01,0,1,0,1,1
ARBIETO,rabia,total no de personas con vacuna antirrabica,2015-03-01,1,2,1,2,3
ASCENCION DE GUARAYOS,rabia,total no de personas con vacuna antirrabica,2015-03-01,2,2,2,2,4
ATOCHA,rabia,total no de personas con vacuna antirrabica,2015-03-01,0,1,0,1,1
BERMEJO,rabia,total no de personas con vacuna antirrabica,2015-03-01,5,0,5,0,5
BETANZOS,rabia,total no de personas con vacuna antirrabica,2015-03-01,2,0,2,0,2
"CAIZA ""D""",rabia,total no de personas con vacuna antirrabica,2015-03-01,6,0,6,0,6
CAMIRI,rabia,total no de personas con vacuna antirrabica,2015-03-01,0,1,0,1,1
CAPINOTA,rabia,total no de personas con vacuna antirrabica,2015-03-01,0,1,0,1,1
CARANAVI,rabia,total no de personas con vacuna antirrabica,2015-03-01,2,2,2,2,4
CARAPARI,rabia,total no de personas con vacuna antirrabica,2015-03-01,1,0,1,0,1
CHALLAPATA,rabia,total no de personas con vacuna antirrabica,2015-03-01,18,28,18,28,46
CHIMORE,rabia,total no de personas con vacuna antirrabica,2015-03-01,3,0,3,0,3
CLIZA,rabia,total no de personas con vacuna antirrabica,2015-03-01,1,0,1,0,1
COCHABAMBA,rabia,total no de personas con vacuna antirrabica,2015-03-01,44,34,44,34,78
COLCAPIRHUA,rabia,total no de personas con vacuna antirrabica,2015-03-01,3,0,3,0,3
"COLCHA ""K""",rabia,total no de personas con vacuna antirrabica,2015-03-01,0,1,0,1,1
COLOMI,rabia,total no de personas con vacuna antirrabica,2015-03-01,1,0,1,0,1
COMARAPA,rabia,total no de personas con vacuna antirrabica,2015-03-01,1,3,1,3,4
CONCEPCION,rabia,total no de personas con vacuna antirrabica,2015-03-01,1,2,1,2,3
COPACABANA,rabia,total no de personas con vacuna antirrabica,2015-03-01,0,1,0,1,1
CORIPATA,rabia,total no de personas con vacuna antirrabica,2015-03-01,1,0,1,0,1
COTAGAITA,rabia,total no de personas con vacuna antirrabica,2015-03-01,1,0,1,0,1
COTOCA,rabia,total no de personas con vacuna antirrabica,2015-03-01,6,2,6,2,8
CUATRO CAÑADAS,rabia,total no de personas con vacuna antirrabica,2015-03-01,11,14,11,14,25
EL ALTO,rabia,total no de personas con vacuna antirrabica,2015-03-01,249,186,249,186,435
EL PUENTE(STC),rabia,total no de personas con vacuna antirrabica,2015-03-01,7,2,7,2,9
EL TORNO,rabia,total no de personas con vacuna antirrabica,2015-03-01,11,12,11,12,23
GENERAL SAAVEDRA,rabia,total no de personas con vacuna antirrabica,2015-03-01,1,0,1,0,1
GUANAY,rabia,total no de personas con vacuna antirrabica,2015-03-01,0,2,0,2,2
IXIAMAS,rabia,total no de personas con vacuna antirrabica,2015-03-01,1,0,1,0,1
LA ASUNTA,rabia,total no de personas con vacuna antirrabica,2015-03-01,0,1,0,1,1
LA GUARDIA,rabia,total no de personas con vacuna antirrabica,2015-03-01,16,10,16,10,26
LA PAZ,rabia,total no de personas con vacuna antirrabica,2015-03-01,150,108,150,108,258
MAIRANA,rabia,total no de personas con vacuna antirrabica,2015-03-01,2,1,2,1,3
MONTEAGUDO,rabia,total no de personas con vacuna antirrabica,2015-03-01,1,0,1,0,1
MONTERO,rabia,total no de personas con vacuna antirrabica,2015-03-01,3,6,3,6,9
ORURO,rabia,total no de personas con vacuna antirrabica,2015-03-01,51,37,51,37,88
PAILON,rabia,total no de personas con vacuna antirrabica,2015-03-01,0,1,0,1,1
PAMPA GRANDE,rabia,total no de personas con vacuna antirrabica,2015-03-01,0,1,0,1,1
PAZÑA,rabia,total no de personas con vacuna antirrabica,2015-03-01,0,1,0,1,1
POCOATA,rabia,total no de personas con vacuna antirrabica,2015-03-01,1,1,1,1,2
POOPO,rabia,total no de personas con vacuna antirrabica,2015-03-01,3,2,3,2,5
PORCO,rabia,total no de personas con vacuna antirrabica,2015-03-01,1,0,1,0,1
PORONGO,rabia,total no de personas con vacuna antirrabica,2015-03-01,0,2,0,2,2
PORTACHUELO,rabia,total no de personas con vacuna antirrabica,2015-03-01,26,7,26,7,33
POTOSI,rabia,total no de personas con vacuna antirrabica,2015-03-01,24,24,24,24,48
PUERTO QUIJARRO,rabia,total no de personas con vacuna antirrabica,2015-03-01,1,1,1,1,2
PUNA,rabia,total no de personas con vacuna antirrabica,2015-03-01,1,0,1,0,1
QUILLACOLLO,rabia,total no de personas con vacuna antirrabica,2015-03-01,4,4,4,4,8
SACABA,rabia,total no de personas con vacuna antirrabica,2015-03-01,6,2,6,2,8
SAMAIPATA,rabia,total no de personas con vacuna antirrabica,2015-03-01,0,1,0,1,1
SAN AGUSTIN,rabia,total no de personas con vacuna antirrabica,2015-03-01,1,0,1,0,1
SAN BORJA,rabia,total no de personas con vacuna antirrabica,2015-03-01,1,0,1,0,1
SAN CARLOS,rabia,total no de personas con vacuna antirrabica,2015-03-01,115,80,115,80,195
SAN IGNACIO DE VELASCO,rabia,total no de personas con vacuna antirrabica,2015-03-01,5,2,5,2,7
SAN JOSE DE CHIQUITOS,rabia,total no de personas con vacuna antirrabica,2015-03-01,4,6,4,6,10
SAN JULIAN,rabia,total no de personas con vacuna antirrabica,2015-03-01,4,3,4,3,7
SAN RAMON SCZ,rabia,total no de personas con vacuna antirrabica,2015-03-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,rabia,total no de personas con vacuna antirrabica,2015-03-01,181,185,181,185,366
SANTA ROSA DEL SARA,rabia,total no de personas con vacuna antirrabica,2015-03-01,0,1,0,1,1
SANTIAGO DE HUARI,rabia,total no de personas con vacuna antirrabica,2015-03-01,5,1,5,1,6
SANTUARIO DE QUILLACAS,rabia,total no de personas con vacuna antirrabica,2015-03-01,0,1,0,1,1
SHINAOTA,rabia,total no de personas con vacuna antirrabica,2015-03-01,1,0,1,0,1
SUCRE,rabia,total no de personas con vacuna antirrabica,2015-03-01,77,0,77,0,77
TARIJA,rabia,total no de personas con vacuna antirrabica,2015-03-01,9,9,9,9,18
TIQUIPAYA,rabia,total no de personas con vacuna antirrabica,2015-03-01,2,5,2,5,7
TIRAQUE (CBBA),rabia,total no de personas con vacuna antirrabica,2015-03-01,0,1,0,1,1
TRINIDAD,rabia,total no de personas con vacuna antirrabica,2015-03-01,19,22,19,22,41
TUPIZA,rabia,total no de personas con vacuna antirrabica,2015-03-01,2,0,2,0,2
UNCIA,rabia,total no de personas con vacuna antirrabica,2015-03-01,2,0,2,0,2
UYUNI,rabia,total no de personas con vacuna antirrabica,2015-03-01,3,0,3,0,3
VALLEGRANDE,rabia,total no de personas con vacuna antirrabica,2015-03-01,6,5,6,5,11
VIACHA,rabia,total no de personas con vacuna antirrabica,2015-03-01,4,3,4,3,7
VILLA MONTES,rabia,total no de personas con vacuna antirrabica,2015-03-01,2,0,2,0,2
VILLA TUNARI,rabia,total no de personas con vacuna antirrabica,2015-03-01,1,0,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),rabia,total no de personas con vacuna antirrabica,2015-03-01,1,0,1,0,1
VILLAZON,rabia,total no de personas con vacuna antirrabica,2015-03-01,4,3,4,3,7
WARNES,rabia,total no de personas con vacuna antirrabica,2015-03-01,7,6,7,6,13
YACUIBA,rabia,total no de personas con vacuna antirrabica,2015-03-01,16,16,16,16,32
YAPACANI,rabia,total no de personas con vacuna antirrabica,2015-03-01,11,9,11,9,20
ACHACACHI,rabia,total no de personas con vacuna antirrabica,2015-04-01,3,0,3,0,3
AIQUILE,rabia,total no de personas con vacuna antirrabica,2015-04-01,2,2,2,2,4
ASCENCION DE GUARAYOS,rabia,total no de personas con vacuna antirrabica,2015-04-01,3,1,3,1,4
ATOCHA,rabia,total no de personas con vacuna antirrabica,2015-04-01,5,3,5,3,8
BERMEJO,rabia,total no de personas con vacuna antirrabica,2015-04-01,5,2,5,2,7
BUENA VISTA,rabia,total no de personas con vacuna antirrabica,2015-04-01,1,1,1,1,2
"CAIZA ""D""",rabia,total no de personas con vacuna antirrabica,2015-04-01,0,1,0,1,1
CAMIRI,rabia,total no de personas con vacuna antirrabica,2015-04-01,1,2,1,2,3
CARANAVI,rabia,total no de personas con vacuna antirrabica,2015-04-01,6,3,6,3,9
CARAPARI,rabia,total no de personas con vacuna antirrabica,2015-04-01,1,1,1,1,2
CHALLAPATA,rabia,total no de personas con vacuna antirrabica,2015-04-01,5,4,5,4,9
CHIMORE,rabia,total no de personas con vacuna antirrabica,2015-04-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),rabia,total no de personas con vacuna antirrabica,2015-04-01,0,1,0,1,1
CLIZA,rabia,total no de personas con vacuna antirrabica,2015-04-01,2,1,2,1,3
COCHABAMBA,rabia,total no de personas con vacuna antirrabica,2015-04-01,40,35,40,35,75
COMARAPA,rabia,total no de personas con vacuna antirrabica,2015-04-01,1,3,1,3,4
COPACABANA,rabia,total no de personas con vacuna antirrabica,2015-04-01,0,1,0,1,1
CORO CORO,rabia,total no de personas con vacuna antirrabica,2015-04-01,1,1,1,1,2
COTOCA,rabia,total no de personas con vacuna antirrabica,2015-04-01,0,3,0,3,3
CUATRO CAÑADAS,rabia,total no de personas con vacuna antirrabica,2015-04-01,3,2,3,2,5
CUEVO,rabia,total no de personas con vacuna antirrabica,2015-04-01,0,1,0,1,1
EL ALTO,rabia,total no de personas con vacuna antirrabica,2015-04-01,242,135,242,135,377
EL TORNO,rabia,total no de personas con vacuna antirrabica,2015-04-01,10,11,10,11,21
GENERAL SAAVEDRA,rabia,total no de personas con vacuna antirrabica,2015-04-01,2,0,2,0,2
LA GUARDIA,rabia,total no de personas con vacuna antirrabica,2015-04-01,6,4,6,4,10
LA PAZ,rabia,total no de personas con vacuna antirrabica,2015-04-01,96,92,96,92,188
LAJA,rabia,total no de personas con vacuna antirrabica,2015-04-01,4,5,4,5,9
LLALLAGUA,rabia,total no de personas con vacuna antirrabica,2015-04-01,6,1,6,1,7
LLICA,rabia,total no de personas con vacuna antirrabica,2015-04-01,1,0,1,0,1
MAIRANA,rabia,total no de personas con vacuna antirrabica,2015-04-01,2,2,2,2,4
MIZQUE,rabia,total no de personas con vacuna antirrabica,2015-04-01,0,1,0,1,1
MONTEAGUDO,rabia,total no de personas con vacuna antirrabica,2015-04-01,1,0,1,0,1
MONTERO,rabia,total no de personas con vacuna antirrabica,2015-04-01,6,4,6,4,10
ORURO,rabia,total no de personas con vacuna antirrabica,2015-04-01,29,41,29,41,70
PALOS BLANCOS,rabia,total no de personas con vacuna antirrabica,2015-04-01,0,2,0,2,2
PAZÑA,rabia,total no de personas con vacuna antirrabica,2015-04-01,1,1,1,1,2
POOPO,rabia,total no de personas con vacuna antirrabica,2015-04-01,1,0,1,0,1
PORCO,rabia,total no de personas con vacuna antirrabica,2015-04-01,1,0,1,0,1
PORTACHUELO,rabia,total no de personas con vacuna antirrabica,2015-04-01,19,5,19,5,24
POSTRER VALLE,rabia,total no de personas con vacuna antirrabica,2015-04-01,1,1,1,1,2
POTOSI,rabia,total no de personas con vacuna antirrabica,2015-04-01,300,291,300,291,591
PUERTO QUIJARRO,rabia,total no de personas con vacuna antirrabica,2015-04-01,1,2,1,2,3
PUNATA,rabia,total no de personas con vacuna antirrabica,2015-04-01,0,1,0,1,1
QUILLACOLLO,rabia,total no de personas con vacuna antirrabica,2015-04-01,5,2,5,2,7
QUIRUSILLAS,rabia,total no de personas con vacuna antirrabica,2015-04-01,0,1,0,1,1
ROBORE,rabia,total no de personas con vacuna antirrabica,2015-04-01,1,0,1,0,1
SACABA,rabia,total no de personas con vacuna antirrabica,2015-04-01,3,2,3,2,5
SAIPINA,rabia,total no de personas con vacuna antirrabica,2015-04-01,2,0,2,0,2
SAMAIPATA,rabia,total no de personas con vacuna antirrabica,2015-04-01,0,1,0,1,1
SAN AGUSTIN,rabia,total no de personas con vacuna antirrabica,2015-04-01,1,0,1,0,1
SAN ANTONIO DE LOMERIO,rabia,total no de personas con vacuna antirrabica,2015-04-01,1,0,1,0,1
SAN BORJA,rabia,total no de personas con vacuna antirrabica,2015-04-01,1,1,1,1,2
SAN CARLOS,rabia,total no de personas con vacuna antirrabica,2015-04-01,56,26,56,26,82
SAN IGNACIO,rabia,total no de personas con vacuna antirrabica,2015-04-01,4,1,4,1,5
SAN IGNACIO DE VELASCO,rabia,total no de personas con vacuna antirrabica,2015-04-01,3,5,3,5,8
SAN JOSE DE CHIQUITOS,rabia,total no de personas con vacuna antirrabica,2015-04-01,0,1,0,1,1
SAN JULIAN,rabia,total no de personas con vacuna antirrabica,2015-04-01,2,4,2,4,6
SAN RAMON SCZ,rabia,total no de personas con vacuna antirrabica,2015-04-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,rabia,total no de personas con vacuna antirrabica,2015-04-01,337,250,337,250,587
SANTIAGO DE HUARI,rabia,total no de personas con vacuna antirrabica,2015-04-01,0,8,0,8,8
SANTUARIO DE QUILLACAS,rabia,total no de personas con vacuna antirrabica,2015-04-01,1,0,1,0,1
