,group,variable,month,TRABAJADOR DE SALUD HEPATITIS B 2DA DOSIS CANTIDAD,TRABAJADOR DE SALUD HEPATITIS B 2DA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
YACUIBA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-05-01,14,160,14,160,174
YUNCHARA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-05-01,0,1,0,1,1
BERMEJO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-06-01,1,0,1,0,1
CAQUIAVIRI,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-06-01,1,1,1,1,2
CARAPARI,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-06-01,18,0,18,0,18
COBIJA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-06-01,1,0,1,0,1
COPACABANA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-06-01,0,24,0,24,24
CORO CORO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-06-01,2,1,2,1,3
COTOCA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-06-01,3,0,3,0,3
EL ALTO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-06-01,63,0,63,0,63
ENTRE RIOS TRJ,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-06-01,4,4,4,4,8
IXIAMAS,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-06-01,6,0,6,0,6
LA PAZ,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-06-01,66,0,66,0,66
MORO MORO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-06-01,10,0,10,0,10
ORURO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-06-01,19,0,19,0,19
PASORAPA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-06-01,2,0,2,0,2
POCONA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-06-01,2,0,2,0,2
POJO (CBBA),otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-06-01,9,0,9,0,9
PUCARANI,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-06-01,0,6,0,6,6
PUERTO GONZALO MORENO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-06-01,5,0,5,0,5
QUILLACOLLO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-06-01,107,517,107,517,624
SAN IGNACIO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-06-01,2,0,2,0,2
SAN IGNACIO DE VELASCO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-06-01,5,0,5,0,5
SAN JOSE DE CHIQUITOS,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-06-01,12,0,12,0,12
SAN JULIAN,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-06-01,11,0,11,0,11
SAN MIGUEL DE VELASCO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-06-01,14,0,14,0,14
SAN PEDRO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-06-01,4,0,4,0,4
SAN RAMON BENI,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-06-01,1,0,1,0,1
SANTA ANA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-06-01,4,0,4,0,4
SANTA CRUZ DE LA SIERRA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-06-01,90,0,90,0,90
SANTA ROSA DEL SARA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-06-01,2,0,2,0,2
SANTIAGO DE MACHACA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-06-01,4,0,4,0,4
SENA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-06-01,6,0,6,0,6
SUCRE,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-06-01,1,0,1,0,1
TARIJA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-06-01,19,0,19,0,19
TIPUANI,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-06-01,9,0,9,0,9
TOTORA(CBBA),otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-06-01,2,0,2,0,2
URIONDO (A. CONCEPCION),otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-06-01,1,0,1,0,1
VALLEGRANDE,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-06-01,14,0,14,0,14
VILLA MONTES,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-06-01,0,3,0,3,3
WARNES,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-06-01,13,0,13,0,13
YACUIBA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-06-01,30,47,30,47,77
YUNCHARA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-06-01,2,5,2,5,7
BERMEJO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-07-01,2,0,2,0,2
COBIJA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-07-01,2,0,2,0,2
INCAHUASI,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-07-01,7,0,7,0,7
LA PAZ,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-07-01,81,5,81,5,86
ORURO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-07-01,14,25,14,25,39
SAN BENITO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-07-01,10,0,10,0,10
SAN IGNACIO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-07-01,10,0,10,0,10
SANTA CRUZ DE LA SIERRA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-07-01,0,0,0,0,0
TARIJA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-07-01,11,0,11,0,11
VILLA MONTES,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-07-01,1,0,1,0,1
YACUIBA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-07-01,14,1,14,1,15
ALCALA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-08-01,9,0,9,0,9
BERMEJO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-08-01,10,10,10,10,20
INCAHUASI,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-08-01,4,0,4,0,4
IXIAMAS,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-08-01,1,0,1,0,1
LA PAZ,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-08-01,62,0,62,0,62
LURIBAY,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-08-01,5,0,5,0,5
MAGDALENA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-08-01,4,0,4,0,4
ORURO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-08-01,16,0,16,0,16
PUERTO GONZALO MORENO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-08-01,1,0,1,0,1
SACABA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-08-01,0,187,0,187,187
SAN BENITO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-08-01,14,0,14,0,14
SAN BORJA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-08-01,1,0,1,0,1
SAN IGNACIO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-08-01,8,0,8,0,8
SANTA CRUZ DE LA SIERRA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-08-01,0,0,0,0,0
SUCRE,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-08-01,3,0,3,0,3
TARIJA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-08-01,23,0,23,0,23
TOMINA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-08-01,4,0,4,0,4
VILLA MONTES,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-08-01,2,0,2,0,2
VILLA SERRANO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-08-01,26,0,26,0,26
YACUIBA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-08-01,6,0,6,0,6
BERMEJO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-09-01,1,13,1,13,14
COBIJA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-09-01,2,0,2,0,2
FILADELFIA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-09-01,7,0,7,0,7
INCAHUASI,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-09-01,6,29,6,29,35
LA PAZ,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-09-01,70,0,70,0,70
LURIBAY,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-09-01,6,0,6,0,6
MONTEAGUDO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-09-01,29,0,29,0,29
ORURO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-09-01,50,48,50,48,98
PADILLA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-09-01,40,0,40,0,40
SAN BENITO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-09-01,1,0,1,0,1
SAN BORJA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-09-01,12,0,12,0,12
SAN IGNACIO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-09-01,1,0,1,0,1
SAN RAMON BENI,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-09-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-09-01,0,0,0,0,0
SUCRE,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-09-01,12,0,12,0,12
TARIJA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-09-01,15,0,15,0,15
TARVITA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-09-01,22,0,22,0,22
TOMINA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-09-01,23,0,23,0,23
URIONDO (A. CONCEPCION),otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-09-01,1,0,1,0,1
VILLA MONTES,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-09-01,1,0,1,0,1
YACUIBA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-09-01,26,0,26,0,26
YAMPARAEZ,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-09-01,3,20,3,20,23
YOTALA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-09-01,5,0,5,0,5
BERMEJO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-10-01,4,2,4,2,6
COBIJA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-10-01,1,0,1,0,1
COCHABAMBA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-10-01,0,12,0,12,12
EL TORNO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-10-01,7,0,7,0,7
LA PAZ,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-10-01,48,0,48,0,48
MONTEAGUDO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-10-01,1,0,1,0,1
ORURO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-10-01,12,0,12,0,12
PADILLA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-10-01,3,0,3,0,3
SAN BORJA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-10-01,2,0,2,0,2
SAN IGNACIO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-10-01,0,3,0,3,3
SANTA CRUZ DE LA SIERRA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-10-01,8,0,8,0,8
SANTIAGO DE HUARI,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-10-01,1,0,1,0,1
SUCRE,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-10-01,260,0,260,0,260
TARABUCO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-10-01,4,0,4,0,4
TARIJA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-10-01,10,0,10,0,10
TARVITA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-10-01,4,0,4,0,4
TRINIDAD,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-10-01,7,0,7,0,7
VIACHA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-10-01,10,0,10,0,10
VILLA MONTES,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-10-01,2,0,2,0,2
YACUIBA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-10-01,18,0,18,0,18
YAMPARAEZ,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-10-01,24,13,24,13,37
YOTALA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-10-01,4,0,4,0,4
YUNCHARA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-10-01,14,0,14,0,14
BERMEJO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-11-01,1,6,1,6,7
COBIJA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-11-01,2,0,2,0,2
FILADELFIA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-11-01,1,0,1,0,1
LA PAZ,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-11-01,66,0,66,0,66
LURIBAY,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-11-01,1,0,1,0,1
ORURO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-11-01,11,19,11,19,30
PAILON,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-11-01,15,0,15,0,15
PORVENIR,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-11-01,4,0,4,0,4
SAN BORJA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-11-01,5,0,5,0,5
SAN IGNACIO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-11-01,4,0,4,0,4
SANTA CRUZ DE LA SIERRA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-11-01,0,0,0,0,0
SUCRE,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-11-01,56,0,56,0,56
TARABUCO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-11-01,5,0,5,0,5
TARIJA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-11-01,12,0,12,0,12
TARVITA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-11-01,7,0,7,0,7
TRINIDAD,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-11-01,13,0,13,0,13
YACUIBA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-11-01,5,0,5,0,5
YAMPARAEZ,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-11-01,21,12,21,12,33
YOTALA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-11-01,0,2,0,2,2
YUNCHARA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-11-01,0,2,0,2,2
ARBIETO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-12-01,10,0,10,0,10
BERMEJO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-12-01,1,2,1,2,3
CLIZA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-12-01,6,0,6,0,6
COBIJA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-12-01,4,0,4,0,4
EL ALTO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-12-01,1,0,1,0,1
EL TORNO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-12-01,3,0,3,0,3
LA GUARDIA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-12-01,8,0,8,0,8
LA PAZ,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-12-01,85,0,85,0,85
MALLA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-12-01,1,0,1,0,1
MONTEAGUDO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-12-01,1,0,1,0,1
ORURO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-12-01,23,15,23,15,38
PADILLA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-12-01,5,0,5,0,5
PAILON,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-12-01,2,0,2,0,2
SAN IGNACIO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-12-01,1,0,1,0,1
SAN LORENZO(PND),otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-12-01,5,0,5,0,5
SANTA CRUZ DE LA SIERRA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-12-01,0,0,0,0,0
SANTIAGO DE HUARI,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-12-01,0,3,0,3,3
SUCRE,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-12-01,30,0,30,0,30
TARABUCO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-12-01,3,0,3,0,3
TARIJA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2011-12-01,1,0,1,0,1
