,group,variable,month,TRABAJADOR DE SALUD HEPATITIS B 3RA DOSIS CANTIDAD,TRABAJADOR DE SALUD HEPATITIS B 3RA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
SAN IGNACIO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-06-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-06-01,11,0,11,0,11
SAN JOSE DE CHIQUITOS,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-06-01,16,0,16,0,16
SAN JULIAN,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-06-01,32,0,32,0,32
SAN PEDRO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-06-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-06-01,132,0,132,0,132
SANTA ROSA DEL SARA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-06-01,1,0,1,0,1
SANTIAGO DE MACHACA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-06-01,3,0,3,0,3
SENA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-06-01,6,0,6,0,6
SUCRE,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-06-01,41,0,41,0,41
TARIJA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-06-01,40,0,40,0,40
TIPUANI,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-06-01,3,0,3,0,3
TOTORA(CBBA),otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-06-01,2,0,2,0,2
VALLEGRANDE,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-06-01,8,0,8,0,8
WARNES,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-06-01,22,0,22,0,22
YACUIBA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-06-01,1,0,1,0,1
BERMEJO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-07-01,4,0,4,0,4
BOLPEBRA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-07-01,1,0,1,0,1
COBIJA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-07-01,2,0,2,0,2
INCAHUASI,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-07-01,3,0,3,0,3
LA PAZ,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-07-01,92,0,92,0,92
ORURO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-07-01,1,5,1,5,6
SAN IGNACIO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-07-01,19,0,19,0,19
SANTA CRUZ DE LA SIERRA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-07-01,0,0,0,0,0
SENA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-07-01,4,0,4,0,4
SUCRE,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-07-01,10,0,10,0,10
TARIJA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-07-01,23,0,23,0,23
YACUIBA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-07-01,2,0,2,0,2
BERMEJO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-08-01,3,0,3,0,3
LA PAZ,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-08-01,8,0,8,0,8
SACABA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-08-01,0,40,0,40,40
SAN BENITO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-08-01,1,0,1,0,1
SAN IGNACIO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-08-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-08-01,0,0,0,0,0
SUCRE,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-08-01,2,0,2,0,2
TARIJA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-08-01,3,0,3,0,3
TOMINA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-08-01,4,0,4,0,4
YACUIBA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-08-01,1,0,1,0,1
ALCALA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-09-01,13,0,13,0,13
BERMEJO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-09-01,5,3,5,3,8
COBIJA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-09-01,2,0,2,0,2
HUACARETA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-09-01,1,0,1,0,1
INCAHUASI,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-09-01,1,0,1,0,1
LA PAZ,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-09-01,88,0,88,0,88
MONTEAGUDO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-09-01,10,0,10,0,10
ORURO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-09-01,2,3,2,3,5
SAN IGNACIO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-09-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-09-01,0,0,0,0,0
SUCRE,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-09-01,3,0,3,0,3
TARIJA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-09-01,3,0,3,0,3
TOMINA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-09-01,3,0,3,0,3
YACUIBA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-09-01,3,0,3,0,3
YOTALA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-09-01,4,0,4,0,4
BERMEJO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-10-01,3,1,3,1,4
EL TORNO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-10-01,12,0,12,0,12
GUANAY,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-10-01,0,1,0,1,1
INCAHUASI,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-10-01,1,0,1,0,1
LA PAZ,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-10-01,12,0,12,0,12
LURIBAY,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-10-01,3,0,3,0,3
MONTEAGUDO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-10-01,15,0,15,0,15
ORURO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-10-01,8,0,8,0,8
PADILLA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-10-01,10,0,10,0,10
SAN BORJA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-10-01,1,0,1,0,1
SAN IGNACIO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-10-01,0,4,0,4,4
SANTA CRUZ DE LA SIERRA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-10-01,4,0,4,0,4
SUCRE,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-10-01,98,0,98,0,98
TARABUCO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-10-01,3,0,3,0,3
TARIJA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-10-01,13,0,13,0,13
TOMINA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-10-01,14,0,14,0,14
VIACHA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-10-01,5,0,5,0,5
YACUIBA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-10-01,1,0,1,0,1
YAMPARAEZ,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-10-01,2,0,2,0,2
YOTALA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-10-01,3,0,3,0,3
BERMEJO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-11-01,4,0,4,0,4
LA GUARDIA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-11-01,7,0,7,0,7
LA PAZ,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-11-01,10,0,10,0,10
LURIBAY,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-11-01,1,0,1,0,1
MONTEAGUDO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-11-01,20,0,20,0,20
ORURO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-11-01,2,4,2,4,6
PORVENIR,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-11-01,7,0,7,0,7
SAN IGNACIO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-11-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-11-01,0,0,0,0,0
SUCRE,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-11-01,270,0,270,0,270
TARABUCO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-11-01,1,0,1,0,1
TARIJA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-11-01,4,0,4,0,4
VILLA MONTES,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-11-01,1,0,1,0,1
YACUIBA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-11-01,3,0,3,0,3
YAMPARAEZ,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-11-01,24,13,24,13,37
YOTALA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-11-01,0,2,0,2,2
BERMEJO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-12-01,1,3,1,3,4
COBIJA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-12-01,7,0,7,0,7
EL ALTO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-12-01,4,0,4,0,4
INCAHUASI,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-12-01,30,0,30,0,30
LA GUARDIA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-12-01,4,0,4,0,4
LA PAZ,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-12-01,16,0,16,0,16
MONTEAGUDO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-12-01,18,0,18,0,18
ORURO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-12-01,26,21,26,21,47
PADILLA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-12-01,13,0,13,0,13
SAN BORJA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-12-01,3,0,3,0,3
SAN IGNACIO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-12-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-12-01,0,0,0,0,0
SUCRE,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-12-01,20,0,20,0,20
TARABUCO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-12-01,3,0,3,0,3
TARIJA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-12-01,15,0,15,0,15
YACUIBA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-12-01,7,0,7,0,7
YAMPARAEZ,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2011-12-01,18,12,18,12,30
