,group,variable,month,MUJERES DE 10 A 49 AÑOS 1RA DOSIS DE DT CANTIDAD,MUJERES DE 10 A 49 AÑOS 1RA DOSIS DE DT CANTIDAD,TOTALES,TOTALES,TOTALES
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,7,0,7,0,7
CUEVO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,3,0,3,0,3
CULPINA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,19,6,19,6,25
CURAHUARA DE CARANGAS,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,1,0,1,0,1
DESAGUADERO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,6,1,6,1,7
EL ALTO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,1279,81,1279,81,1360
EL PUENTE(STC),otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,6,10,6,10,16
EL PUENTE(TJA),otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,19,3,19,3,22
EL TORNO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,81,11,81,11,92
ENTRE RIOS TRJ,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,17,1,17,1,18
ENTRE RIOS CBBA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,55,43,55,43,98
ESCOMA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,29,1,29,1,30
EUCALIPTUS,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,4,1,4,1,5
EUREKA (SANTOS MERCADO),otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,3,4,3,4,7
EXALTACION,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,1,0,1,0,1
FERNANDEZ ALONSO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,16,78,16,78,94
FILADELFIA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,8,8,8,8,16
GENERAL SAAVEDRA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,14,14,14,14,28
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,0,1,0,1,1
GUANAY,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,32,5,32,5,37
GUAQUI,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,6,0,6,0,6
GUAYARAMERIN,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,111,53,111,53,164
GUTIERREZ,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,13,7,13,7,20
HUACARETA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,13,1,13,1,14
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,0,4,0,4,4
HUANUNI,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,39,3,39,3,42
HUARACAJE,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,4,0,4,0,4
HUARINA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,2,2,2,2,4
HUAYLLAMARCA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,1,5,1,5,6
HUMANATA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,6,2,6,2,8
ICHOCA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,4,6,4,6,10
ICLA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,3,0,3,0,3
INCAHUASI,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,6,8,6,8,14
INQUISIVI,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,31,32,31,32,63
IRUPANA (VILLA DE LANZA),otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,6,1,6,1,7
IXIAMAS,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,13,2,13,2,15
JESUS DE MACHACA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,7,0,7,0,7
LA ASUNTA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,66,38,66,38,104
LA GUARDIA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,75,30,75,30,105
LA PAZ,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,1568,714,1568,714,2282
LAGUNILLAS,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,14,6,14,6,20
LAJA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,17,0,17,0,17
LAS CARRERAS,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,2,0,2,0,2
LICOMA PAMPA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,5,0,5,0,5
LLALLAGUA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,72,33,72,33,105
LLICA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,1,0,1,0,1
LORETO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,5,13,5,13,18
LURIBAY,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,22,0,22,0,22
MACHARETI,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,1,1,1,1,2
MAGDALENA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,11,0,11,0,11
MAIRANA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,4,1,4,1,5
MAPIRI,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,8,0,8,0,8
MECAPACA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,17,1,17,1,18
MINEROS,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,30,0,30,0,30
MIZQUE,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,52,8,52,8,60
MOCOMOCO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,3,3,3,3,6
MOJOCOYA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,5,0,5,0,5
MONTEAGUDO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,17,2,17,2,19
MONTERO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,197,1,197,1,198
MORO MORO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,1,0,1,0,1
MOROCHATA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,1,13,1,13,14
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,1,1,1,1,2
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,1,0,1,0,1
OCURI,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,32,13,32,13,45
OKINAWA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,23,18,23,18,41
OMEREQUE,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,2,10,2,10,12
ORURO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,401,3,401,3,404
PADCAYA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,18,3,18,3,21
PADILLA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,4,5,4,5,9
PAILON,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,15,23,15,23,38
PALCA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,6,6,6,6,12
PALOS BLANCOS,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,6,1,6,1,7
PAMPA AULLAGAS,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,1,1,1,1,2
PAMPA GRANDE,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,14,1,14,1,15
PASORAPA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,1,0,1,0,1
PATACAMAYA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,62,1,62,1,63
PAZÑA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,2,0,2,0,2
PELECHUCO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,1,10,1,10,11
POCOATA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,4,18,4,18,22
POCONA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,17,8,17,8,25
POJO (CBBA),otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,18,29,18,29,47
POOPO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,6,1,6,1,7
PORCO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,19,2,19,2,21
POROMA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,26,21,26,21,47
PORONGO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,24,22,24,22,46
PORTACHUELO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,24,0,24,0,24
PORVENIR,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,2,0,2,0,2
POTOSI,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,382,24,382,24,406
PRESTO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,3,2,3,2,5
PUCARANI,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,1,0,1,0,1
PUERTO ACOSTA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,6,1,6,1,7
PUERTO CARABUCO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,0,71,0,71,71
PUERTO GONZALO MORENO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,2,6,2,6,8
PUERTO PEREZ,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,1,0,1,0,1
PUERTO QUIJARRO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,58,44,58,44,102
PUERTO RICO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,19,1,19,1,20
PUERTO SUAREZ,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,37,86,37,86,123
PUERTO VILLARROEL,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,113,35,113,35,148
PUNA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,27,0,27,0,27
PUNATA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,51,1,51,1,52
QUIABAYA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,4,0,4,0,4
QUILLACOLLO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,63,99,63,99,162
QUIME,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,2,1,2,1,3
RAVELO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,18,55,18,55,73
REYES,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,18,0,18,0,18
RIBERALTA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,149,3,149,3,152
ROBORE,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,9,14,9,14,23
RURRENABAQUE,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,14,7,14,7,21
SABAYA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,4,0,4,0,4
SACABA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,107,266,107,266,373
SACABAMBA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,3,14,3,14,17
SACACA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,2,19,2,19,21
SAIPINA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,9,0,9,0,9
SALINAS DE GARCI MENDOZA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,8,2,8,2,10
SAMAIPATA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,2,4,2,4,6
SAN ANDRES,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,24,1,24,1,25
SAN ANDRES DE MACHACA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,1,0,1,0,1
SAN ANTONIO DE ESMORUCO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,4,0,4,0,4
SAN ANTONIO DE LOMERIO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,0,5,0,5,5
SAN BENITO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,8,18,8,18,26
SAN BORJA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,89,3,89,3,92
SAN BUENA VENTURA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,12,10,12,10,22
SAN CARLOS,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,10,0,10,0,10
SAN IGNACIO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,81,0,81,0,81
SAN IGNACIO DE VELASCO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,66,5,66,5,71
SAN JAVIER(BNI),otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,6,0,6,0,6
SAN JAVIER(STC),otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,16,8,16,8,24
SAN JOAQUIN,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,13,0,13,0,13
SAN JOSE DE CHIQUITOS,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,6,0,6,0,6
SAN JUAN DE YAPACANI,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,13,2,13,2,15
SAN JULIAN,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,91,54,91,54,145
SAN LORENZO(PND),otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,4,9,4,9,13
SAN LORENZO(TJA),otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,8,0,8,0,8
SAN LUCAS,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,29,56,29,56,85
SAN MATIAS,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,4,3,4,3,7
SAN MIGUEL DE VELASCO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,19,27,19,27,46
SAN PEDRO DE BUENA VISTA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,24,13,24,13,37
SAN PEDRO DE CURAHUARA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,2,2,2,2,4
SAN PEDRO DE TIQUINA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,1,2,1,2,3
SAN RAMON BENI,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,12,6,12,6,18
SAN RAMON SCZ,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,6,0,6,0,6
SANTA ANA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,36,0,36,0,36
SANTA CRUZ DE LA SIERRA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,3496,284,3496,284,3780
SANTA ROSA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2011-01-01,27,6,27,6,33
