,group,variable,month,TRABAJADOR DE SALUD HEPATITIS B 1RA DOSIS CANTIDAD,TRABAJADOR DE SALUD HEPATITIS B 1RA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
EL ALTO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-05-01,25,0,25,0,25
ENTRE RIOS TRJ,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-05-01,8,3,8,3,11
HUACARETA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-05-01,6,18,6,18,24
HUMANATA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-05-01,18,13,18,13,31
IXIAMAS,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-05-01,9,4,9,4,13
LA PAZ,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-05-01,60,0,60,0,60
MONTERO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-05-01,3,0,3,0,3
ORURO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-05-01,18,25,18,25,43
PAILON,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-05-01,27,0,27,0,27
PASORAPA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-05-01,3,0,3,0,3
POCONA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-05-01,1,0,1,0,1
PORTACHUELO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-05-01,9,0,9,0,9
POTOSI,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-05-01,1,0,1,0,1
PUCARA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-05-01,3,0,3,0,3
PUCARANI,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-05-01,3,0,3,0,3
PUERTO GONZALO MORENO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-05-01,0,20,0,20,20
SAN IGNACIO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-05-01,2,0,2,0,2
SAN PEDRO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-05-01,4,0,4,0,4
SAN RAMON BENI,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-05-01,1,0,1,0,1
SANTA ANA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-05-01,0,11,0,11,11
SANTA CRUZ DE LA SIERRA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-05-01,21,9,21,9,30
SANTA ROSA DEL SARA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-05-01,5,0,5,0,5
SENA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-05-01,3,0,3,0,3
TARIJA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-05-01,76,0,76,0,76
TIPUANI,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-05-01,7,0,7,0,7
TOTORA(CBBA),otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-05-01,4,0,4,0,4
TRIGAL,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-05-01,8,0,8,0,8
URIONDO (A. CONCEPCION),otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-05-01,1,0,1,0,1
VALLEGRANDE,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-05-01,11,0,11,0,11
VILLA MONTES,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-05-01,1,0,1,0,1
YACUIBA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-05-01,60,447,60,447,507
YUNCHARA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-05-01,3,26,3,26,29
ALTO BENI,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-06-01,1,0,1,0,1
BERMEJO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-06-01,16,0,16,0,16
CAMIRI,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-06-01,6,0,6,0,6
CAQUIAVIRI,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-06-01,0,10,0,10,10
CARAPARI,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-06-01,6,0,6,0,6
COBIJA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-06-01,2,0,2,0,2
COCHABAMBA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-06-01,2,0,2,0,2
COPACABANA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-06-01,2,12,2,12,14
CORO CORO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-06-01,2,0,2,0,2
COTOCA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-06-01,21,0,21,0,21
CULPINA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-06-01,1,0,1,0,1
EL ALTO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-06-01,77,0,77,0,77
ENTRE RIOS TRJ,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-06-01,3,3,3,3,6
LA PAZ,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-06-01,249,99,249,99,348
MINEROS,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-06-01,3,4,3,4,7
ORURO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-06-01,117,70,117,70,187
PALOS BLANCOS,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-06-01,0,1,0,1,1
POJO (CBBA),otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-06-01,7,0,7,0,7
PORTACHUELO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-06-01,3,0,3,0,3
PUCARANI,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-06-01,2,1,2,1,3
PUERTO GONZALO MORENO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-06-01,36,6,36,6,42
SAN BENITO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-06-01,25,0,25,0,25
SAN IGNACIO DE VELASCO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-06-01,19,0,19,0,19
SAN JOSE DE CHIQUITOS,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-06-01,40,32,40,32,72
SAN JULIAN,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-06-01,36,0,36,0,36
SAN PEDRO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-06-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-06-01,106,0,106,0,106
SANTA ROSA DEL SARA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-06-01,6,0,6,0,6
SENA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-06-01,2,0,2,0,2
SUCRE,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-06-01,3,0,3,0,3
TARIJA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-06-01,32,0,32,0,32
TIPUANI,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-06-01,23,4,23,4,27
TOTORA(CBBA),otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-06-01,4,0,4,0,4
VALLEGRANDE,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-06-01,6,0,6,0,6
VILLA MONTES,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-06-01,11,0,11,0,11
WARNES,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-06-01,31,0,31,0,31
YACUIBA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-06-01,25,159,25,159,184
YUNCHARA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-06-01,0,2,0,2,2
ALCALA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-07-01,13,0,13,0,13
ANZALDO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-07-01,0,5,0,5,5
BERMEJO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-07-01,12,0,12,0,12
BOLPEBRA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-07-01,1,0,1,0,1
BUENA VISTA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-07-01,1,0,1,0,1
COBIJA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-07-01,2,0,2,0,2
GUANAY,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-07-01,0,2,0,2,2
INCAHUASI,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-07-01,17,0,17,0,17
LA PAZ,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-07-01,270,0,270,0,270
ORURO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-07-01,7,16,7,16,23
PUERTO GONZALO MORENO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-07-01,5,0,5,0,5
PUERTO RICO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-07-01,1,0,1,0,1
PUERTO VILLARROEL,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-07-01,1,39,1,39,40
SAN BENITO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-07-01,2,0,2,0,2
SAN BORJA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-07-01,2,0,2,0,2
SAN IGNACIO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-07-01,17,0,17,0,17
SAN RAMON BENI,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-07-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-07-01,0,0,0,0,0
SUCRE,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-07-01,1,0,1,0,1
TARIJA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-07-01,20,0,20,0,20
VILLA MONTES,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-07-01,4,0,4,0,4
VILLA SERRANO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-07-01,26,0,26,0,26
YACUIBA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-07-01,34,1,34,1,35
BERMEJO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-08-01,1,5,1,5,6
COBIJA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-08-01,3,0,3,0,3
FILADELFIA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-08-01,9,0,9,0,9
INCAHUASI,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-08-01,27,0,27,0,27
IXIAMAS,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-08-01,4,0,4,0,4
LA PAZ,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-08-01,84,0,84,0,84
LURIBAY,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-08-01,8,0,8,0,8
MAGDALENA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-08-01,4,0,4,0,4
MONTEAGUDO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-08-01,0,3,0,3,3
ORURO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-08-01,80,0,80,0,80
PADILLA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-08-01,41,0,41,0,41
PUERTO GONZALO MORENO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-08-01,1,0,1,0,1
SACABA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-08-01,0,468,0,468,468
SAN BENITO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-08-01,2,0,2,0,2
SAN BORJA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-08-01,24,2,24,2,26
SAN IGNACIO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-08-01,4,0,4,0,4
SAN RAMON BENI,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-08-01,0,4,0,4,4
SANTA CRUZ DE LA SIERRA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-08-01,0,0,0,0,0
SUCRE,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-08-01,18,0,18,0,18
TARIJA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-08-01,49,0,49,0,49
TARVITA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-08-01,35,0,35,0,35
TOMINA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-08-01,24,0,24,0,24
VILLA MONTES,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-08-01,2,0,2,0,2
YACUIBA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-08-01,70,0,70,0,70
BERMEJO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-09-01,1,16,1,16,17
COBIJA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-09-01,5,0,5,0,5
FILADELFIA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-09-01,4,0,4,0,4
INCAHUASI,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-09-01,5,17,5,17,22
LA GUARDIA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-09-01,15,0,15,0,15
LA PAZ,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-09-01,122,0,122,0,122
MONTEAGUDO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-09-01,17,0,17,0,17
ORURO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-09-01,36,37,36,37,73
PADILLA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-09-01,8,0,8,0,8
SAN BORJA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-09-01,6,0,6,0,6
SAN IGNACIO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-09-01,1,0,1,0,1
SAN RAMON BENI,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-09-01,3,2,3,2,5
SANTA CRUZ DE LA SIERRA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-09-01,1,0,1,0,1
SOPACHUY,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-09-01,31,0,31,0,31
SUCRE,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-09-01,212,0,212,0,212
TARIJA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-09-01,21,0,21,0,21
TARVITA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-09-01,9,0,9,0,9
URIONDO (A. CONCEPCION),otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-09-01,2,0,2,0,2
YACO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-09-01,0,1,0,1,1
YACUIBA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-09-01,34,0,34,0,34
YAMPARAEZ,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-09-01,4,12,4,12,16
YOTALA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-09-01,12,0,12,0,12
YUNCHARA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-09-01,9,7,9,7,16
BERMEJO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-10-01,3,7,3,7,10
EL ALTO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-10-01,5,0,5,0,5
EL TORNO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-10-01,9,0,9,0,9
FILADELFIA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-10-01,2,0,2,0,2
HUMANATA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-10-01,6,0,6,0,6
IXIAMAS,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-10-01,1,0,1,0,1
LA PAZ,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-10-01,124,0,124,0,124
LURIBAY,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-10-01,1,0,1,0,1
ORURO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-10-01,40,0,40,0,40
PADILLA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-10-01,6,0,6,0,6
SAN BORJA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-10-01,6,10,6,10,16
SAN IGNACIO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-10-01,1,14,1,14,15
SAN JAVIER(BNI),otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-10-01,7,0,7,0,7
SAN JUAN DE YAPACANI,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-10-01,1,2,1,2,3
SANTA CRUZ DE LA SIERRA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-10-01,4,0,4,0,4
SANTIAGO DE HUARI,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2011-10-01,2,0,2,0,2
