,group,variable,month,ANTIRRÁBICA EN HUMANO CANTIDAD,ANTIRRÁBICA EN HUMANO CANTIDAD,TOTALES,TOTALES,TOTALES
SAN BENITO,otras vacunaciones,antirrabica en humano,2011-03-01,1,0,1,0,1
SAN IGNACIO,otras vacunaciones,antirrabica en humano,2011-03-01,7,0,7,0,7
SAN IGNACIO DE VELASCO,otras vacunaciones,antirrabica en humano,2011-03-01,14,0,14,0,14
SAN JULIAN,otras vacunaciones,antirrabica en humano,2011-03-01,48,0,48,0,48
SAN MIGUEL DE VELASCO,otras vacunaciones,antirrabica en humano,2011-03-01,0,28,0,28,28
SAN PEDRO,otras vacunaciones,antirrabica en humano,2011-03-01,4,0,4,0,4
SAN RAMON SCZ,otras vacunaciones,antirrabica en humano,2011-03-01,15,0,15,0,15
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica en humano,2011-03-01,1418,0,1418,0,1418
SANTA ROSA DEL SARA,otras vacunaciones,antirrabica en humano,2011-03-01,1,0,1,0,1
SANTIAGO DE MACHACA,otras vacunaciones,antirrabica en humano,2011-03-01,1,0,1,0,1
SIPE SIPE,otras vacunaciones,antirrabica en humano,2011-03-01,3,0,3,0,3
SUCRE,otras vacunaciones,antirrabica en humano,2011-03-01,894,7,894,7,901
TARATA,otras vacunaciones,antirrabica en humano,2011-03-01,3,0,3,0,3
TARIJA,otras vacunaciones,antirrabica en humano,2011-03-01,8,0,8,0,8
TIPUANI,otras vacunaciones,antirrabica en humano,2011-03-01,8,0,8,0,8
TIQUIPAYA,otras vacunaciones,antirrabica en humano,2011-03-01,7,0,7,0,7
TUPIZA,otras vacunaciones,antirrabica en humano,2011-03-01,11,0,11,0,11
UYUNI,otras vacunaciones,antirrabica en humano,2011-03-01,8,0,8,0,8
VALLEGRANDE,otras vacunaciones,antirrabica en humano,2011-03-01,13,0,13,0,13
VIACHA,otras vacunaciones,antirrabica en humano,2011-03-01,1,0,1,0,1
VILLA MONTES,otras vacunaciones,antirrabica en humano,2011-03-01,8,0,8,0,8
VILLAZON,otras vacunaciones,antirrabica en humano,2011-03-01,28,0,28,0,28
VINTO,otras vacunaciones,antirrabica en humano,2011-03-01,4,0,4,0,4
WARNES,otras vacunaciones,antirrabica en humano,2011-03-01,69,0,69,0,69
YACUIBA,otras vacunaciones,antirrabica en humano,2011-03-01,90,0,90,0,90
YAPACANI,otras vacunaciones,antirrabica en humano,2011-03-01,1,0,1,0,1
AIQUILE,otras vacunaciones,antirrabica en humano,2011-04-01,8,0,8,0,8
BERMEJO,otras vacunaciones,antirrabica en humano,2011-04-01,1,0,1,0,1
BETANZOS,otras vacunaciones,antirrabica en humano,2011-04-01,1,0,1,0,1
CARANAVI,otras vacunaciones,antirrabica en humano,2011-04-01,20,0,20,0,20
CHALLAPATA,otras vacunaciones,antirrabica en humano,2011-04-01,9,0,9,0,9
CLIZA,otras vacunaciones,antirrabica en humano,2011-04-01,3,1,3,1,4
COCHABAMBA,otras vacunaciones,antirrabica en humano,2011-04-01,442,0,442,0,442
COMARAPA,otras vacunaciones,antirrabica en humano,2011-04-01,8,0,8,0,8
COTOCA,otras vacunaciones,antirrabica en humano,2011-04-01,79,3,79,3,82
EL ALTO,otras vacunaciones,antirrabica en humano,2011-04-01,816,0,816,0,816
EL TORNO,otras vacunaciones,antirrabica en humano,2011-04-01,88,0,88,0,88
ENTRE RIOS TRJ,otras vacunaciones,antirrabica en humano,2011-04-01,0,1,0,1,1
GENERAL SAAVEDRA,otras vacunaciones,antirrabica en humano,2011-04-01,5,0,5,0,5
GUAQUI,otras vacunaciones,antirrabica en humano,2011-04-01,3,0,3,0,3
HUANUNI,otras vacunaciones,antirrabica en humano,2011-04-01,0,4,0,4,4
LA GUARDIA,otras vacunaciones,antirrabica en humano,2011-04-01,133,0,133,0,133
LA PAZ,otras vacunaciones,antirrabica en humano,2011-04-01,50,0,50,0,50
MAIRANA,otras vacunaciones,antirrabica en humano,2011-04-01,10,0,10,0,10
MIZQUE,otras vacunaciones,antirrabica en humano,2011-04-01,2,49,2,49,51
MONTERO,otras vacunaciones,antirrabica en humano,2011-04-01,78,0,78,0,78
MORO MORO,otras vacunaciones,antirrabica en humano,2011-04-01,10,0,10,0,10
OCURI,otras vacunaciones,antirrabica en humano,2011-04-01,88,0,88,0,88
OKINAWA,otras vacunaciones,antirrabica en humano,2011-04-01,10,0,10,0,10
PALOS BLANCOS,otras vacunaciones,antirrabica en humano,2011-04-01,8,0,8,0,8
PAMPA GRANDE,otras vacunaciones,antirrabica en humano,2011-04-01,5,0,5,0,5
PORCO,otras vacunaciones,antirrabica en humano,2011-04-01,20,0,20,0,20
PORONGO,otras vacunaciones,antirrabica en humano,2011-04-01,10,0,10,0,10
PORTACHUELO,otras vacunaciones,antirrabica en humano,2011-04-01,1,0,1,0,1
POTOSI,otras vacunaciones,antirrabica en humano,2011-04-01,140,0,140,0,140
PUERTO VILLARROEL,otras vacunaciones,antirrabica en humano,2011-04-01,12,0,12,0,12
PUNATA,otras vacunaciones,antirrabica en humano,2011-04-01,7,0,7,0,7
SACABA,otras vacunaciones,antirrabica en humano,2011-04-01,6,0,6,0,6
SAIPINA,otras vacunaciones,antirrabica en humano,2011-04-01,8,0,8,0,8
SAMAIPATA,otras vacunaciones,antirrabica en humano,2011-04-01,10,0,10,0,10
SAN BENITO,otras vacunaciones,antirrabica en humano,2011-04-01,1,0,1,0,1
SAN BORJA,otras vacunaciones,antirrabica en humano,2011-04-01,1,0,1,0,1
SAN CARLOS,otras vacunaciones,antirrabica en humano,2011-04-01,3,0,3,0,3
SAN IGNACIO,otras vacunaciones,antirrabica en humano,2011-04-01,4,0,4,0,4
SAN IGNACIO DE VELASCO,otras vacunaciones,antirrabica en humano,2011-04-01,6,0,6,0,6
SAN JULIAN,otras vacunaciones,antirrabica en humano,2011-04-01,94,0,94,0,94
SAN LORENZO(TJA),otras vacunaciones,antirrabica en humano,2011-04-01,1,0,1,0,1
SAN MIGUEL DE VELASCO,otras vacunaciones,antirrabica en humano,2011-04-01,8,7,8,7,15
SAN PEDRO,otras vacunaciones,antirrabica en humano,2011-04-01,6,0,6,0,6
SAN RAMON SCZ,otras vacunaciones,antirrabica en humano,2011-04-01,15,0,15,0,15
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica en humano,2011-04-01,1865,0,1865,0,1865
SIPE SIPE,otras vacunaciones,antirrabica en humano,2011-04-01,2,0,2,0,2
SUCRE,otras vacunaciones,antirrabica en humano,2011-04-01,839,17,839,17,856
TAPACARI,otras vacunaciones,antirrabica en humano,2011-04-01,1,0,1,0,1
TARATA,otras vacunaciones,antirrabica en humano,2011-04-01,9,0,9,0,9
TIAWANACU,otras vacunaciones,antirrabica en humano,2011-04-01,23,0,23,0,23
TIPUANI,otras vacunaciones,antirrabica en humano,2011-04-01,1,0,1,0,1
TIQUIPAYA,otras vacunaciones,antirrabica en humano,2011-04-01,17,0,17,0,17
TRIGAL,otras vacunaciones,antirrabica en humano,2011-04-01,8,0,8,0,8
TUPIZA,otras vacunaciones,antirrabica en humano,2011-04-01,40,0,40,0,40
VACAS,otras vacunaciones,antirrabica en humano,2011-04-01,1,0,1,0,1
VALLEGRANDE,otras vacunaciones,antirrabica en humano,2011-04-01,1,0,1,0,1
VILLA TUNARI,otras vacunaciones,antirrabica en humano,2011-04-01,1,0,1,0,1
VILLAZON,otras vacunaciones,antirrabica en humano,2011-04-01,1,0,1,0,1
WARNES,otras vacunaciones,antirrabica en humano,2011-04-01,237,0,237,0,237
YACUIBA,otras vacunaciones,antirrabica en humano,2011-04-01,76,0,76,0,76
YAPACANI,otras vacunaciones,antirrabica en humano,2011-04-01,3,0,3,0,3
AIQUILE,otras vacunaciones,antirrabica en humano,2011-05-01,4,0,4,0,4
ASCENCION DE GUARAYOS,otras vacunaciones,antirrabica en humano,2011-05-01,10,5,10,5,15
BERMEJO,otras vacunaciones,antirrabica en humano,2011-05-01,9,9,9,9,18
BOLIVAR,otras vacunaciones,antirrabica en humano,2011-05-01,0,1,0,1,1
CAPINOTA,otras vacunaciones,antirrabica en humano,2011-05-01,2,0,2,0,2
CARANAVI,otras vacunaciones,antirrabica en humano,2011-05-01,10,0,10,0,10
CLIZA,otras vacunaciones,antirrabica en humano,2011-05-01,7,4,7,4,11
COCHABAMBA,otras vacunaciones,antirrabica en humano,2011-05-01,281,65,281,65,346
COLCAPIRHUA,otras vacunaciones,antirrabica en humano,2011-05-01,22,0,22,0,22
COLLANA,otras vacunaciones,antirrabica en humano,2011-05-01,1,0,1,0,1
COMARAPA,otras vacunaciones,antirrabica en humano,2011-05-01,1,0,1,0,1
COTOCA,otras vacunaciones,antirrabica en humano,2011-05-01,109,0,109,0,109
EL ALTO,otras vacunaciones,antirrabica en humano,2011-05-01,646,0,646,0,646
EL TORNO,otras vacunaciones,antirrabica en humano,2011-05-01,129,0,129,0,129
ENTRE RIOS TRJ,otras vacunaciones,antirrabica en humano,2011-05-01,1,0,1,0,1
FERNANDEZ ALONSO,otras vacunaciones,antirrabica en humano,2011-05-01,2,0,2,0,2
GENERAL SAAVEDRA,otras vacunaciones,antirrabica en humano,2011-05-01,6,0,6,0,6
GUANAY,otras vacunaciones,antirrabica en humano,2011-05-01,12,0,12,0,12
HUANUNI,otras vacunaciones,antirrabica en humano,2011-05-01,0,4,0,4,4
LA GUARDIA,otras vacunaciones,antirrabica en humano,2011-05-01,169,0,169,0,169
LA PAZ,otras vacunaciones,antirrabica en humano,2011-05-01,42,0,42,0,42
MAIRANA,otras vacunaciones,antirrabica en humano,2011-05-01,20,0,20,0,20
MINEROS,otras vacunaciones,antirrabica en humano,2011-05-01,5,0,5,0,5
MIZQUE,otras vacunaciones,antirrabica en humano,2011-05-01,0,30,0,30,30
MONTERO,otras vacunaciones,antirrabica en humano,2011-05-01,115,0,115,0,115
MORO MORO,otras vacunaciones,antirrabica en humano,2011-05-01,1,0,1,0,1
OKINAWA,otras vacunaciones,antirrabica en humano,2011-05-01,5,5,5,5,10
PAILON,otras vacunaciones,antirrabica en humano,2011-05-01,5,0,5,0,5
PALOS BLANCOS,otras vacunaciones,antirrabica en humano,2011-05-01,9,0,9,0,9
PORONGO,otras vacunaciones,antirrabica en humano,2011-05-01,24,0,24,0,24
PORTACHUELO,otras vacunaciones,antirrabica en humano,2011-05-01,5,0,5,0,5
POTOSI,otras vacunaciones,antirrabica en humano,2011-05-01,133,0,133,0,133
PUERTO VILLARROEL,otras vacunaciones,antirrabica en humano,2011-05-01,21,0,21,0,21
PUNATA,otras vacunaciones,antirrabica en humano,2011-05-01,2,0,2,0,2
QUILLACOLLO,otras vacunaciones,antirrabica en humano,2011-05-01,17,0,17,0,17
SACABA,otras vacunaciones,antirrabica en humano,2011-05-01,3,0,3,0,3
SAIPINA,otras vacunaciones,antirrabica en humano,2011-05-01,1,0,1,0,1
SAMAIPATA,otras vacunaciones,antirrabica en humano,2011-05-01,5,0,5,0,5
SAN IGNACIO,otras vacunaciones,antirrabica en humano,2011-05-01,9,0,9,0,9
SAN IGNACIO DE VELASCO,otras vacunaciones,antirrabica en humano,2011-05-01,1,0,1,0,1
SAN JULIAN,otras vacunaciones,antirrabica en humano,2011-05-01,23,7,23,7,30
SAN MIGUEL DE VELASCO,otras vacunaciones,antirrabica en humano,2011-05-01,1,7,1,7,8
SAN PEDRO,otras vacunaciones,antirrabica en humano,2011-05-01,5,0,5,0,5
SANTA ANA,otras vacunaciones,antirrabica en humano,2011-05-01,0,15,0,15,15
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica en humano,2011-05-01,1870,0,1870,0,1870
SANTA ROSA DEL SARA,otras vacunaciones,antirrabica en humano,2011-05-01,10,0,10,0,10
SUCRE,otras vacunaciones,antirrabica en humano,2011-05-01,815,0,815,0,815
TACOPAYA,otras vacunaciones,antirrabica en humano,2011-05-01,0,1,0,1,1
TARATA,otras vacunaciones,antirrabica en humano,2011-05-01,7,0,7,0,7
TARIJA,otras vacunaciones,antirrabica en humano,2011-05-01,191,0,191,0,191
TIAWANACU,otras vacunaciones,antirrabica en humano,2011-05-01,6,0,6,0,6
TIQUIPAYA,otras vacunaciones,antirrabica en humano,2011-05-01,1,0,1,0,1
TIRAQUE (CBBA),otras vacunaciones,antirrabica en humano,2011-05-01,0,1,0,1,1
TRIGAL,otras vacunaciones,antirrabica en humano,2011-05-01,2,0,2,0,2
TUPIZA,otras vacunaciones,antirrabica en humano,2011-05-01,1,0,1,0,1
UYUNI,otras vacunaciones,antirrabica en humano,2011-05-01,16,0,16,0,16
VALLEGRANDE,otras vacunaciones,antirrabica en humano,2011-05-01,3,0,3,0,3
VIACHA,otras vacunaciones,antirrabica en humano,2011-05-01,4,0,4,0,4
VILLAZON,otras vacunaciones,antirrabica en humano,2011-05-01,2,0,2,0,2
VINTO,otras vacunaciones,antirrabica en humano,2011-05-01,7,0,7,0,7
WARNES,otras vacunaciones,antirrabica en humano,2011-05-01,37,0,37,0,37
YACUIBA,otras vacunaciones,antirrabica en humano,2011-05-01,50,0,50,0,50
YAPACANI,otras vacunaciones,antirrabica en humano,2011-05-01,1,0,1,0,1
AIQUILE,otras vacunaciones,antirrabica en humano,2011-06-01,3,0,3,0,3
ALTO BENI,otras vacunaciones,antirrabica en humano,2011-06-01,7,0,7,0,7
BERMEJO,otras vacunaciones,antirrabica en humano,2011-06-01,3,0,3,0,3
CAQUIAVIRI,otras vacunaciones,antirrabica en humano,2011-06-01,0,1,0,1,1
CHALLAPATA,otras vacunaciones,antirrabica en humano,2011-06-01,1,1,1,1,2
COCHABAMBA,otras vacunaciones,antirrabica en humano,2011-06-01,274,2,274,2,276
COLCAPIRHUA,otras vacunaciones,antirrabica en humano,2011-06-01,6,0,6,0,6
COMARAPA,otras vacunaciones,antirrabica en humano,2011-06-01,1,0,1,0,1
COTOCA,otras vacunaciones,antirrabica en humano,2011-06-01,20,7,20,7,27
EL ALTO,otras vacunaciones,antirrabica en humano,2011-06-01,654,0,654,0,654
EL PUENTE(STC),otras vacunaciones,antirrabica en humano,2011-06-01,5,0,5,0,5
EL TORNO,otras vacunaciones,antirrabica en humano,2011-06-01,69,0,69,0,69
ENTRE RIOS CBBA,otras vacunaciones,antirrabica en humano,2011-06-01,7,0,7,0,7
FERNANDEZ ALONSO,otras vacunaciones,antirrabica en humano,2011-06-01,4,0,4,0,4
GUANAY,otras vacunaciones,antirrabica en humano,2011-06-01,8,0,8,0,8
HUANUNI,otras vacunaciones,antirrabica en humano,2011-06-01,2,0,2,0,2
JESUS DE MACHACA,otras vacunaciones,antirrabica en humano,2011-06-01,15,0,15,0,15
LA GUARDIA,otras vacunaciones,antirrabica en humano,2011-06-01,118,0,118,0,118
LA PAZ,otras vacunaciones,antirrabica en humano,2011-06-01,54,0,54,0,54
LAJA,otras vacunaciones,antirrabica en humano,2011-06-01,8,0,8,0,8
MAIRANA,otras vacunaciones,antirrabica en humano,2011-06-01,6,0,6,0,6
MINEROS,otras vacunaciones,antirrabica en humano,2011-06-01,5,0,5,0,5
MIZQUE,otras vacunaciones,antirrabica en humano,2011-06-01,4,0,4,0,4
MONTERO,otras vacunaciones,antirrabica en humano,2011-06-01,163,0,163,0,163
MORO MORO,otras vacunaciones,antirrabica en humano,2011-06-01,1,0,1,0,1
OKINAWA,otras vacunaciones,antirrabica en humano,2011-06-01,10,0,10,0,10
PALOS BLANCOS,otras vacunaciones,antirrabica en humano,2011-06-01,7,0,7,0,7
PORONGO,otras vacunaciones,antirrabica en humano,2011-06-01,15,0,15,0,15
POTOSI,otras vacunaciones,antirrabica en humano,2011-06-01,191,0,191,0,191
PUERTO VILLARROEL,otras vacunaciones,antirrabica en humano,2011-06-01,1,0,1,0,1
PUNATA,otras vacunaciones,antirrabica en humano,2011-06-01,3,0,3,0,3
QUILLACOLLO,otras vacunaciones,antirrabica en humano,2011-06-01,14,0,14,0,14
QUIRUSILLAS,otras vacunaciones,antirrabica en humano,2011-06-01,5,0,5,0,5
SAIPINA,otras vacunaciones,antirrabica en humano,2011-06-01,1,0,1,0,1
SAN JULIAN,otras vacunaciones,antirrabica en humano,2011-06-01,42,0,42,0,42
SAN MIGUEL DE VELASCO,otras vacunaciones,antirrabica en humano,2011-06-01,1,0,1,0,1
SAN PEDRO,otras vacunaciones,antirrabica en humano,2011-06-01,5,0,5,0,5
SAN RAMON SCZ,otras vacunaciones,antirrabica en humano,2011-06-01,5,0,5,0,5
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica en humano,2011-06-01,1351,0,1351,0,1351
SIPE SIPE,otras vacunaciones,antirrabica en humano,2011-06-01,4,0,4,0,4
SUCRE,otras vacunaciones,antirrabica en humano,2011-06-01,789,0,789,0,789
TARATA,otras vacunaciones,antirrabica en humano,2011-06-01,7,0,7,0,7
TIAWANACU,otras vacunaciones,antirrabica en humano,2011-06-01,5,0,5,0,5
TIQUIPAYA,otras vacunaciones,antirrabica en humano,2011-06-01,9,0,9,0,9
UYUNI,otras vacunaciones,antirrabica en humano,2011-06-01,91,0,91,0,91
VALLEGRANDE,otras vacunaciones,antirrabica en humano,2011-06-01,14,0,14,0,14
VIACHA,otras vacunaciones,antirrabica en humano,2011-06-01,2,0,2,0,2
VILLAZON,otras vacunaciones,antirrabica en humano,2011-06-01,1,0,1,0,1
VINTO,otras vacunaciones,antirrabica en humano,2011-06-01,5,0,5,0,5
WARNES,otras vacunaciones,antirrabica en humano,2011-06-01,13,0,13,0,13
YACUIBA,otras vacunaciones,antirrabica en humano,2011-06-01,67,0,67,0,67
