,group,variable,month,ANTIRRÁBICA HUMANA ESQUEMA COMPLETO CANTIDAD,ANTIRRÁBICA HUMANA ESQUEMA COMPLETO CANTIDAD,TOTALES,TOTALES,TOTALES
TAPACARI,otras vacunaciones,antirrabica humana esquema completo,2011-03-01,1,0,1,0,1
TARATA,otras vacunaciones,antirrabica humana esquema completo,2011-03-01,1,0,1,0,1
TIQUIPAYA,otras vacunaciones,antirrabica humana esquema completo,2011-03-01,7,0,7,0,7
TUPIZA,otras vacunaciones,antirrabica humana esquema completo,2011-03-01,3,0,3,0,3
UYUNI,otras vacunaciones,antirrabica humana esquema completo,2011-03-01,1,0,1,0,1
VALLEGRANDE,otras vacunaciones,antirrabica humana esquema completo,2011-03-01,1,0,1,0,1
VILLA TUNARI,otras vacunaciones,antirrabica humana esquema completo,2011-03-01,0,2,0,2,2
VILLAZON,otras vacunaciones,antirrabica humana esquema completo,2011-03-01,3,0,3,0,3
VINTO,otras vacunaciones,antirrabica humana esquema completo,2011-03-01,1,0,1,0,1
WARNES,otras vacunaciones,antirrabica humana esquema completo,2011-03-01,3,0,3,0,3
YACUIBA,otras vacunaciones,antirrabica humana esquema completo,2011-03-01,4,0,4,0,4
YAPACANI,otras vacunaciones,antirrabica humana esquema completo,2011-03-01,1,0,1,0,1
BERMEJO,otras vacunaciones,antirrabica humana esquema completo,2011-04-01,0,1,0,1,1
BETANZOS,otras vacunaciones,antirrabica humana esquema completo,2011-04-01,7,0,7,0,7
CALACOTO,otras vacunaciones,antirrabica humana esquema completo,2011-04-01,0,1,0,1,1
CAMIRI,otras vacunaciones,antirrabica humana esquema completo,2011-04-01,1,0,1,0,1
CARANAVI,otras vacunaciones,antirrabica humana esquema completo,2011-04-01,2,0,2,0,2
CHALLAPATA,otras vacunaciones,antirrabica humana esquema completo,2011-04-01,2,0,2,0,2
CLIZA,otras vacunaciones,antirrabica humana esquema completo,2011-04-01,0,1,0,1,1
COBIJA,otras vacunaciones,antirrabica humana esquema completo,2011-04-01,0,3,0,3,3
COCHABAMBA,otras vacunaciones,antirrabica humana esquema completo,2011-04-01,64,0,64,0,64
COLCAPIRHUA,otras vacunaciones,antirrabica humana esquema completo,2011-04-01,2,0,2,0,2
COMARAPA,otras vacunaciones,antirrabica humana esquema completo,2011-04-01,1,0,1,0,1
COTOCA,otras vacunaciones,antirrabica humana esquema completo,2011-04-01,2,0,2,0,2
EL ALTO,otras vacunaciones,antirrabica humana esquema completo,2011-04-01,99,0,99,0,99
EL TORNO,otras vacunaciones,antirrabica humana esquema completo,2011-04-01,8,0,8,0,8
LA GUARDIA,otras vacunaciones,antirrabica humana esquema completo,2011-04-01,7,0,7,0,7
LA PAZ,otras vacunaciones,antirrabica humana esquema completo,2011-04-01,9,0,9,0,9
MAIRANA,otras vacunaciones,antirrabica humana esquema completo,2011-04-01,1,0,1,0,1
MORO MORO,otras vacunaciones,antirrabica humana esquema completo,2011-04-01,3,0,3,0,3
OCURI,otras vacunaciones,antirrabica humana esquema completo,2011-04-01,6,0,6,0,6
OKINAWA,otras vacunaciones,antirrabica humana esquema completo,2011-04-01,1,0,1,0,1
PADILLA,otras vacunaciones,antirrabica humana esquema completo,2011-04-01,1,0,1,0,1
PORCO,otras vacunaciones,antirrabica humana esquema completo,2011-04-01,2,0,2,0,2
PORONGO,otras vacunaciones,antirrabica humana esquema completo,2011-04-01,1,0,1,0,1
POTOSI,otras vacunaciones,antirrabica humana esquema completo,2011-04-01,14,0,14,0,14
PUERTO VILLARROEL,otras vacunaciones,antirrabica humana esquema completo,2011-04-01,5,0,5,0,5
PUNATA,otras vacunaciones,antirrabica humana esquema completo,2011-04-01,1,0,1,0,1
SACABA,otras vacunaciones,antirrabica humana esquema completo,2011-04-01,7,0,7,0,7
SAIPINA,otras vacunaciones,antirrabica humana esquema completo,2011-04-01,1,0,1,0,1
SAN CARLOS,otras vacunaciones,antirrabica humana esquema completo,2011-04-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,otras vacunaciones,antirrabica humana esquema completo,2011-04-01,5,0,5,0,5
SAN JULIAN,otras vacunaciones,antirrabica humana esquema completo,2011-04-01,15,0,15,0,15
SAN MIGUEL DE VELASCO,otras vacunaciones,antirrabica humana esquema completo,2011-04-01,0,7,0,7,7
SAN RAMON SCZ,otras vacunaciones,antirrabica humana esquema completo,2011-04-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica humana esquema completo,2011-04-01,99,0,99,0,99
SANTA ROSA DEL SARA,otras vacunaciones,antirrabica humana esquema completo,2011-04-01,0,1,0,1,1
SAPAHAQUI,otras vacunaciones,antirrabica humana esquema completo,2011-04-01,1,0,1,0,1
SICA SICA (VILLA AROMA),otras vacunaciones,antirrabica humana esquema completo,2011-04-01,1,0,1,0,1
SIPE SIPE,otras vacunaciones,antirrabica humana esquema completo,2011-04-01,5,3,5,3,8
SUCRE,otras vacunaciones,antirrabica humana esquema completo,2011-04-01,47,17,47,17,64
TARATA,otras vacunaciones,antirrabica humana esquema completo,2011-04-01,1,0,1,0,1
TIQUIPAYA,otras vacunaciones,antirrabica humana esquema completo,2011-04-01,11,0,11,0,11
TUPIZA,otras vacunaciones,antirrabica humana esquema completo,2011-04-01,4,0,4,0,4
VACAS,otras vacunaciones,antirrabica humana esquema completo,2011-04-01,1,0,1,0,1
VALLEGRANDE,otras vacunaciones,antirrabica humana esquema completo,2011-04-01,1,0,1,0,1
VIACHA,otras vacunaciones,antirrabica humana esquema completo,2011-04-01,1,0,1,0,1
VILLA TUNARI,otras vacunaciones,antirrabica humana esquema completo,2011-04-01,6,3,6,3,9
WARNES,otras vacunaciones,antirrabica humana esquema completo,2011-04-01,23,0,23,0,23
YACUIBA,otras vacunaciones,antirrabica humana esquema completo,2011-04-01,9,0,9,0,9
YAPACANI,otras vacunaciones,antirrabica humana esquema completo,2011-04-01,3,0,3,0,3
ARBIETO,otras vacunaciones,antirrabica humana esquema completo,2011-05-01,1,0,1,0,1
BELEN DE ANDAMARCA,otras vacunaciones,antirrabica humana esquema completo,2011-05-01,4,0,4,0,4
BERMEJO,otras vacunaciones,antirrabica humana esquema completo,2011-05-01,9,0,9,0,9
BOLIVAR,otras vacunaciones,antirrabica humana esquema completo,2011-05-01,1,29,1,29,30
CAMIRI,otras vacunaciones,antirrabica humana esquema completo,2011-05-01,1,0,1,0,1
CAPINOTA,otras vacunaciones,antirrabica humana esquema completo,2011-05-01,1,0,1,0,1
CARAPARI,otras vacunaciones,antirrabica humana esquema completo,2011-05-01,2,0,2,0,2
COCHABAMBA,otras vacunaciones,antirrabica humana esquema completo,2011-05-01,62,0,62,0,62
COLCAPIRHUA,otras vacunaciones,antirrabica humana esquema completo,2011-05-01,4,0,4,0,4
COLLANA,otras vacunaciones,antirrabica humana esquema completo,2011-05-01,1,0,1,0,1
COLOMI,otras vacunaciones,antirrabica humana esquema completo,2011-05-01,0,1,0,1,1
COTOCA,otras vacunaciones,antirrabica humana esquema completo,2011-05-01,1,0,1,0,1
EL ALTO,otras vacunaciones,antirrabica humana esquema completo,2011-05-01,65,0,65,0,65
EL TORNO,otras vacunaciones,antirrabica humana esquema completo,2011-05-01,3,0,3,0,3
LA GUARDIA,otras vacunaciones,antirrabica humana esquema completo,2011-05-01,11,0,11,0,11
LA PAZ,otras vacunaciones,antirrabica humana esquema completo,2011-05-01,8,0,8,0,8
MAIRANA,otras vacunaciones,antirrabica humana esquema completo,2011-05-01,1,0,1,0,1
MIZQUE,otras vacunaciones,antirrabica humana esquema completo,2011-05-01,0,7,0,7,7
MONTERO,otras vacunaciones,antirrabica humana esquema completo,2011-05-01,6,2,6,2,8
PAILON,otras vacunaciones,antirrabica humana esquema completo,2011-05-01,4,0,4,0,4
PALOS BLANCOS,otras vacunaciones,antirrabica humana esquema completo,2011-05-01,2,0,2,0,2
PORONGO,otras vacunaciones,antirrabica humana esquema completo,2011-05-01,2,0,2,0,2
POTOSI,otras vacunaciones,antirrabica humana esquema completo,2011-05-01,12,0,12,0,12
PUERTO VILLARROEL,otras vacunaciones,antirrabica humana esquema completo,2011-05-01,4,0,4,0,4
QUILLACOLLO,otras vacunaciones,antirrabica humana esquema completo,2011-05-01,12,0,12,0,12
SACABA,otras vacunaciones,antirrabica humana esquema completo,2011-05-01,11,0,11,0,11
SAN BENITO,otras vacunaciones,antirrabica humana esquema completo,2011-05-01,1,0,1,0,1
SAN CARLOS,otras vacunaciones,antirrabica humana esquema completo,2011-05-01,2,0,2,0,2
SAN IGNACIO,otras vacunaciones,antirrabica humana esquema completo,2011-05-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,otras vacunaciones,antirrabica humana esquema completo,2011-05-01,1,0,1,0,1
SAN JULIAN,otras vacunaciones,antirrabica humana esquema completo,2011-05-01,2,1,2,1,3
SAN MATIAS,otras vacunaciones,antirrabica humana esquema completo,2011-05-01,2,0,2,0,2
SAN MIGUEL DE VELASCO,otras vacunaciones,antirrabica humana esquema completo,2011-05-01,0,7,0,7,7
SANTA ANA,otras vacunaciones,antirrabica humana esquema completo,2011-05-01,0,3,0,3,3
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica humana esquema completo,2011-05-01,140,0,140,0,140
SANTA ROSA DEL SARA,otras vacunaciones,antirrabica humana esquema completo,2011-05-01,1,0,1,0,1
SIPE SIPE,otras vacunaciones,antirrabica humana esquema completo,2011-05-01,3,0,3,0,3
SUCRE,otras vacunaciones,antirrabica humana esquema completo,2011-05-01,67,0,67,0,67
TACOPAYA,otras vacunaciones,antirrabica humana esquema completo,2011-05-01,0,1,0,1,1
TARATA,otras vacunaciones,antirrabica humana esquema completo,2011-05-01,2,0,2,0,2
TARIJA,otras vacunaciones,antirrabica humana esquema completo,2011-05-01,14,0,14,0,14
TIQUIPAYA,otras vacunaciones,antirrabica humana esquema completo,2011-05-01,3,0,3,0,3
TRIGAL,otras vacunaciones,antirrabica humana esquema completo,2011-05-01,1,0,1,0,1
TUPIZA,otras vacunaciones,antirrabica humana esquema completo,2011-05-01,1,0,1,0,1
UYUNI,otras vacunaciones,antirrabica humana esquema completo,2011-05-01,2,0,2,0,2
VALLEGRANDE,otras vacunaciones,antirrabica humana esquema completo,2011-05-01,2,0,2,0,2
VIACHA,otras vacunaciones,antirrabica humana esquema completo,2011-05-01,1,0,1,0,1
VILLA TUNARI,otras vacunaciones,antirrabica humana esquema completo,2011-05-01,1,0,1,0,1
VILLAZON,otras vacunaciones,antirrabica humana esquema completo,2011-05-01,1,0,1,0,1
WARNES,otras vacunaciones,antirrabica humana esquema completo,2011-05-01,3,0,3,0,3
YACUIBA,otras vacunaciones,antirrabica humana esquema completo,2011-05-01,10,0,10,0,10
CAMIRI,otras vacunaciones,antirrabica humana esquema completo,2011-06-01,1,0,1,0,1
CAQUIAVIRI,otras vacunaciones,antirrabica humana esquema completo,2011-06-01,0,1,0,1,1
CHALLAPATA,otras vacunaciones,antirrabica humana esquema completo,2011-06-01,0,1,0,1,1
COBIJA,otras vacunaciones,antirrabica humana esquema completo,2011-06-01,0,2,0,2,2
COCHABAMBA,otras vacunaciones,antirrabica humana esquema completo,2011-06-01,51,0,51,0,51
COLCAPIRHUA,otras vacunaciones,antirrabica humana esquema completo,2011-06-01,1,0,1,0,1
COTOCA,otras vacunaciones,antirrabica humana esquema completo,2011-06-01,3,0,3,0,3
EL ALTO,otras vacunaciones,antirrabica humana esquema completo,2011-06-01,57,0,57,0,57
EL TORNO,otras vacunaciones,antirrabica humana esquema completo,2011-06-01,6,7,6,7,13
GUANAY,otras vacunaciones,antirrabica humana esquema completo,2011-06-01,2,0,2,0,2
LA GUARDIA,otras vacunaciones,antirrabica humana esquema completo,2011-06-01,3,0,3,0,3
LA PAZ,otras vacunaciones,antirrabica humana esquema completo,2011-06-01,7,0,7,0,7
MINEROS,otras vacunaciones,antirrabica humana esquema completo,2011-06-01,0,326,0,326,326
MONTERO,otras vacunaciones,antirrabica humana esquema completo,2011-06-01,13,0,13,0,13
MORO MORO,otras vacunaciones,antirrabica humana esquema completo,2011-06-01,1,0,1,0,1
PALOS BLANCOS,otras vacunaciones,antirrabica humana esquema completo,2011-06-01,2,2,2,2,4
PORCO,otras vacunaciones,antirrabica humana esquema completo,2011-06-01,1,0,1,0,1
PORONGO,otras vacunaciones,antirrabica humana esquema completo,2011-06-01,2,0,2,0,2
POTOSI,otras vacunaciones,antirrabica humana esquema completo,2011-06-01,19,0,19,0,19
PUERTO VILLARROEL,otras vacunaciones,antirrabica humana esquema completo,2011-06-01,4,0,4,0,4
QUILLACOLLO,otras vacunaciones,antirrabica humana esquema completo,2011-06-01,7,0,7,0,7
SACABA,otras vacunaciones,antirrabica humana esquema completo,2011-06-01,2,0,2,0,2
SAN CARLOS,otras vacunaciones,antirrabica humana esquema completo,2011-06-01,1,0,1,0,1
SAN JULIAN,otras vacunaciones,antirrabica humana esquema completo,2011-06-01,6,0,6,0,6
SAN MATIAS,otras vacunaciones,antirrabica humana esquema completo,2011-06-01,1,0,1,0,1
SAN MIGUEL DE VELASCO,otras vacunaciones,antirrabica humana esquema completo,2011-06-01,1,0,1,0,1
SAN RAMON SCZ,otras vacunaciones,antirrabica humana esquema completo,2011-06-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica humana esquema completo,2011-06-01,106,0,106,0,106
SANTA ROSA DEL SARA,otras vacunaciones,antirrabica humana esquema completo,2011-06-01,1,1,1,1,2
SIPE SIPE,otras vacunaciones,antirrabica humana esquema completo,2011-06-01,1,0,1,0,1
SUCRE,otras vacunaciones,antirrabica humana esquema completo,2011-06-01,54,0,54,0,54
TIQUIPAYA,otras vacunaciones,antirrabica humana esquema completo,2011-06-01,5,0,5,0,5
TOLATA,otras vacunaciones,antirrabica humana esquema completo,2011-06-01,1,0,1,0,1
UYUNI,otras vacunaciones,antirrabica humana esquema completo,2011-06-01,7,0,7,0,7
VIACHA,otras vacunaciones,antirrabica humana esquema completo,2011-06-01,1,0,1,0,1
WARNES,otras vacunaciones,antirrabica humana esquema completo,2011-06-01,2,0,2,0,2
YAPACANI,otras vacunaciones,antirrabica humana esquema completo,2011-06-01,7,0,7,0,7
ALTO BENI,otras vacunaciones,antirrabica humana esquema completo,2011-07-01,1,0,1,0,1
CAMIRI,otras vacunaciones,antirrabica humana esquema completo,2011-07-01,3,0,3,0,3
CAPINOTA,otras vacunaciones,antirrabica humana esquema completo,2011-07-01,4,0,4,0,4
COCHABAMBA,otras vacunaciones,antirrabica humana esquema completo,2011-07-01,72,0,72,0,72
COLCAPIRHUA,otras vacunaciones,antirrabica humana esquema completo,2011-07-01,2,0,2,0,2
COTOCA,otras vacunaciones,antirrabica humana esquema completo,2011-07-01,3,0,3,0,3
EL ALTO,otras vacunaciones,antirrabica humana esquema completo,2011-07-01,74,0,74,0,74
EL TORNO,otras vacunaciones,antirrabica humana esquema completo,2011-07-01,5,0,5,0,5
ENTRE RIOS TRJ,otras vacunaciones,antirrabica humana esquema completo,2011-07-01,1,0,1,0,1
LA GUARDIA,otras vacunaciones,antirrabica humana esquema completo,2011-07-01,7,0,7,0,7
LA PAZ,otras vacunaciones,antirrabica humana esquema completo,2011-07-01,4,7,4,7,11
LAJA,otras vacunaciones,antirrabica humana esquema completo,2011-07-01,1,0,1,0,1
MONTERO,otras vacunaciones,antirrabica humana esquema completo,2011-07-01,29,0,29,0,29
PORONGO,otras vacunaciones,antirrabica humana esquema completo,2011-07-01,3,0,3,0,3
POTOSI,otras vacunaciones,antirrabica humana esquema completo,2011-07-01,10,0,10,0,10
QUILLACOLLO,otras vacunaciones,antirrabica humana esquema completo,2011-07-01,11,0,11,0,11
SACABA,otras vacunaciones,antirrabica humana esquema completo,2011-07-01,4,0,4,0,4
SAN IGNACIO,otras vacunaciones,antirrabica humana esquema completo,2011-07-01,1,0,1,0,1
SAN JULIAN,otras vacunaciones,antirrabica humana esquema completo,2011-07-01,4,0,4,0,4
SAN RAMON SCZ,otras vacunaciones,antirrabica humana esquema completo,2011-07-01,2,0,2,0,2
SANTA ANA,otras vacunaciones,antirrabica humana esquema completo,2011-07-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica humana esquema completo,2011-07-01,100,0,100,0,100
SANTA ROSA DEL SARA,otras vacunaciones,antirrabica humana esquema completo,2011-07-01,1,0,1,0,1
SIPE SIPE,otras vacunaciones,antirrabica humana esquema completo,2011-07-01,2,0,2,0,2
SUCRE,otras vacunaciones,antirrabica humana esquema completo,2011-07-01,56,0,56,0,56
TARATA,otras vacunaciones,antirrabica humana esquema completo,2011-07-01,2,0,2,0,2
TIAWANACU,otras vacunaciones,antirrabica humana esquema completo,2011-07-01,1,0,1,0,1
TIQUIPAYA,otras vacunaciones,antirrabica humana esquema completo,2011-07-01,10,0,10,0,10
URIONDO (A. CONCEPCION),otras vacunaciones,antirrabica humana esquema completo,2011-07-01,1,0,1,0,1
UYUNI,otras vacunaciones,antirrabica humana esquema completo,2011-07-01,1,0,1,0,1
VIACHA,otras vacunaciones,antirrabica humana esquema completo,2011-07-01,1,0,1,0,1
YACUIBA,otras vacunaciones,antirrabica humana esquema completo,2011-07-01,4,0,4,0,4
YAPACANI,otras vacunaciones,antirrabica humana esquema completo,2011-07-01,2,0,2,0,2
ACACIO,otras vacunaciones,antirrabica humana esquema completo,2011-08-01,0,1,0,1,1
BERMEJO,otras vacunaciones,antirrabica humana esquema completo,2011-08-01,1,0,1,0,1
CAMIRI,otras vacunaciones,antirrabica humana esquema completo,2011-08-01,1,0,1,0,1
