municipality,group,variable,month,Anestesias generales y regionales,TOTAL
TIRAQUE (CBBA),cirugias y anestesias,anestesias generales y regionales,2008-01-01,18,18
TRINIDAD,cirugias y anestesias,anestesias generales y regionales,2008-01-01,170,170
TUPIZA,cirugias y anestesias,anestesias generales y regionales,2008-01-01,49,49
UNCIA,cirugias y anestesias,anestesias generales y regionales,2008-01-01,33,33
UYUNI,cirugias y anestesias,anestesias generales y regionales,2008-01-01,9,9
VALLEGRANDE,cirugias y anestesias,anestesias generales y regionales,2008-01-01,45,45
VIACHA,cirugias y anestesias,anestesias generales y regionales,2008-01-01,25,25
VILLA MONTES,cirugias y anestesias,anestesias generales y regionales,2008-01-01,46,46
VILLA SERRANO,cirugias y anestesias,anestesias generales y regionales,2008-01-01,2,2
VILLA TUNARI,cirugias y anestesias,anestesias generales y regionales,2008-01-01,16,16
VILLAZON,cirugias y anestesias,anestesias generales y regionales,2008-01-01,116,116
VINTO,cirugias y anestesias,anestesias generales y regionales,2008-01-01,3,3
WARNES,cirugias y anestesias,anestesias generales y regionales,2008-01-01,25,25
YACUIBA,cirugias y anestesias,anestesias generales y regionales,2008-01-01,128,128
YAMPARAEZ,cirugias y anestesias,anestesias generales y regionales,2008-01-01,3,3
YAPACANI,cirugias y anestesias,anestesias generales y regionales,2008-01-01,4,4
ACHACACHI,cirugias y anestesias,anestesias generales y regionales,2008-02-01,4,4
AIQUILE,cirugias y anestesias,anestesias generales y regionales,2008-02-01,3,3
ANTEQUERA,cirugias y anestesias,anestesias generales y regionales,2008-02-01,3,3
ASCENCION DE GUARAYOS,cirugias y anestesias,anestesias generales y regionales,2008-02-01,17,17
ATOCHA,cirugias y anestesias,anestesias generales y regionales,2008-02-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),cirugias y anestesias,anestesias generales y regionales,2008-02-01,8,8
AZURDUY,cirugias y anestesias,anestesias generales y regionales,2008-02-01,8,8
BERMEJO,cirugias y anestesias,anestesias generales y regionales,2008-02-01,44,44
BETANZOS,cirugias y anestesias,anestesias generales y regionales,2008-02-01,14,14
CAMARGO,cirugias y anestesias,anestesias generales y regionales,2008-02-01,19,19
CAMIRI,cirugias y anestesias,anestesias generales y regionales,2008-02-01,84,84
CARANAVI,cirugias y anestesias,anestesias generales y regionales,2008-02-01,45,45
CHALLAPATA,cirugias y anestesias,anestesias generales y regionales,2008-02-01,1,1
CHARAGUA,cirugias y anestesias,anestesias generales y regionales,2008-02-01,12,12
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,anestesias generales y regionales,2008-02-01,2,2
COBIJA,cirugias y anestesias,anestesias generales y regionales,2008-02-01,180,180
COCHABAMBA,cirugias y anestesias,anestesias generales y regionales,2008-02-01,2669,2669
COLCAPIRHUA,cirugias y anestesias,anestesias generales y regionales,2008-02-01,34,34
COMARAPA,cirugias y anestesias,anestesias generales y regionales,2008-02-01,6,6
COROICO,cirugias y anestesias,anestesias generales y regionales,2008-02-01,14,14
COTOCA,cirugias y anestesias,anestesias generales y regionales,2008-02-01,16,16
CULPINA,cirugias y anestesias,anestesias generales y regionales,2008-02-01,1,1
EL ALTO,cirugias y anestesias,anestesias generales y regionales,2008-02-01,770,770
EL TORNO,cirugias y anestesias,anestesias generales y regionales,2008-02-01,20,20
GUAYARAMERIN,cirugias y anestesias,anestesias generales y regionales,2008-02-01,64,64
HUACARETA,cirugias y anestesias,anestesias generales y regionales,2008-02-01,4,4
HUACAYA (VILLA DE HUACAYA),cirugias y anestesias,anestesias generales y regionales,2008-02-01,2,2
HUANUNI,cirugias y anestesias,anestesias generales y regionales,2008-02-01,5,5
LA PAZ,cirugias y anestesias,anestesias generales y regionales,2008-02-01,2822,2822
LLALLAGUA,cirugias y anestesias,anestesias generales y regionales,2008-02-01,54,54
MACHARETI,cirugias y anestesias,anestesias generales y regionales,2008-02-01,5,5
MAIRANA,cirugias y anestesias,anestesias generales y regionales,2008-02-01,9,9
MONTEAGUDO,cirugias y anestesias,anestesias generales y regionales,2008-02-01,76,76
MONTERO,cirugias y anestesias,anestesias generales y regionales,2008-02-01,113,113
OCURI,cirugias y anestesias,anestesias generales y regionales,2008-02-01,1,1
ORURO,cirugias y anestesias,anestesias generales y regionales,2008-02-01,495,495
PADILLA,cirugias y anestesias,anestesias generales y regionales,2008-02-01,13,13
PATACAMAYA,cirugias y anestesias,anestesias generales y regionales,2008-02-01,47,47
PORTACHUELO,cirugias y anestesias,anestesias generales y regionales,2008-02-01,35,35
PORVENIR,cirugias y anestesias,anestesias generales y regionales,2008-02-01,6,6
POTOSI,cirugias y anestesias,anestesias generales y regionales,2008-02-01,384,384
PUERTO ACOSTA,cirugias y anestesias,anestesias generales y regionales,2008-02-01,9,9
PUERTO QUIJARRO,cirugias y anestesias,anestesias generales y regionales,2008-02-01,3,3
PUERTO SUAREZ,cirugias y anestesias,anestesias generales y regionales,2008-02-01,83,83
PUERTO VILLARROEL,cirugias y anestesias,anestesias generales y regionales,2008-02-01,86,86
PUNATA,cirugias y anestesias,anestesias generales y regionales,2008-02-01,109,109
QUILLACOLLO,cirugias y anestesias,anestesias generales y regionales,2008-02-01,178,178
REYES,cirugias y anestesias,anestesias generales y regionales,2008-02-01,7,7
RIBERALTA,cirugias y anestesias,anestesias generales y regionales,2008-02-01,251,251
ROBORE,cirugias y anestesias,anestesias generales y regionales,2008-02-01,11,11
RURRENABAQUE,cirugias y anestesias,anestesias generales y regionales,2008-02-01,3,3
SACABA,cirugias y anestesias,anestesias generales y regionales,2008-02-01,85,85
SAN ANDRES,cirugias y anestesias,anestesias generales y regionales,2008-02-01,3,3
SAN ANTONIO DE LOMERIO,cirugias y anestesias,anestesias generales y regionales,2008-02-01,4,4
SAN BORJA,cirugias y anestesias,anestesias generales y regionales,2008-02-01,31,31
SAN BUENA VENTURA,cirugias y anestesias,anestesias generales y regionales,2008-02-01,10,10
SAN CARLOS,cirugias y anestesias,anestesias generales y regionales,2008-02-01,32,32
SAN IGNACIO,cirugias y anestesias,anestesias generales y regionales,2008-02-01,2,2
SAN IGNACIO DE VELASCO,cirugias y anestesias,anestesias generales y regionales,2008-02-01,73,73
SAN JAVIER(STC),cirugias y anestesias,anestesias generales y regionales,2008-02-01,1,1
SAN JOSE DE CHIQUITOS,cirugias y anestesias,anestesias generales y regionales,2008-02-01,10,10
SAN JUAN DE YAPACANI,cirugias y anestesias,anestesias generales y regionales,2008-02-01,33,33
SAN LUCAS,cirugias y anestesias,anestesias generales y regionales,2008-02-01,20,20
SAN MATIAS,cirugias y anestesias,anestesias generales y regionales,2008-02-01,7,7
SAN RAMON,cirugias y anestesias,anestesias generales y regionales,2008-02-01,14,14
SAN RAMON,cirugias y anestesias,anestesias generales y regionales,2008-02-01,10,10
SANTA ANA,cirugias y anestesias,anestesias generales y regionales,2008-02-01,19,19
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,anestesias generales y regionales,2008-02-01,3414,3414
SANTA ROSA,cirugias y anestesias,anestesias generales y regionales,2008-02-01,2,2
SIPE SIPE,cirugias y anestesias,anestesias generales y regionales,2008-02-01,13,13
SOPACHUY,cirugias y anestesias,anestesias generales y regionales,2008-02-01,4,4
SUCRE,cirugias y anestesias,anestesias generales y regionales,2008-02-01,1071,1071
TARABUCO,cirugias y anestesias,anestesias generales y regionales,2008-02-01,1,1
TARIJA,cirugias y anestesias,anestesias generales y regionales,2008-02-01,878,878
TARVITA,cirugias y anestesias,anestesias generales y regionales,2008-02-01,3,3
TIQUIPAYA,cirugias y anestesias,anestesias generales y regionales,2008-02-01,5,5
TIRAQUE (CBBA),cirugias y anestesias,anestesias generales y regionales,2008-02-01,4,4
TRINIDAD,cirugias y anestesias,anestesias generales y regionales,2008-02-01,140,140
TUPIZA,cirugias y anestesias,anestesias generales y regionales,2008-02-01,44,44
UYUNI,cirugias y anestesias,anestesias generales y regionales,2008-02-01,13,13
VALLEGRANDE,cirugias y anestesias,anestesias generales y regionales,2008-02-01,45,45
VIACHA,cirugias y anestesias,anestesias generales y regionales,2008-02-01,14,14
VILLA MONTES,cirugias y anestesias,anestesias generales y regionales,2008-02-01,46,46
VILLA TUNARI,cirugias y anestesias,anestesias generales y regionales,2008-02-01,8,8
VILLA VACA GUZMAN (MUYUPAMPA),cirugias y anestesias,anestesias generales y regionales,2008-02-01,3,3
VILLAZON,cirugias y anestesias,anestesias generales y regionales,2008-02-01,70,70
VINTO,cirugias y anestesias,anestesias generales y regionales,2008-02-01,1,1
WARNES,cirugias y anestesias,anestesias generales y regionales,2008-02-01,25,25
YACUIBA,cirugias y anestesias,anestesias generales y regionales,2008-02-01,107,107
YOTALA,cirugias y anestesias,anestesias generales y regionales,2008-02-01,13,13
ZUDAÑEZ,cirugias y anestesias,anestesias generales y regionales,2008-02-01,1,1
ACHACACHI,cirugias y anestesias,anestesias generales y regionales,2008-03-01,2,2
AIQUILE,cirugias y anestesias,anestesias generales y regionales,2008-03-01,12,12
ANTEQUERA,cirugias y anestesias,anestesias generales y regionales,2008-03-01,1,1
ASCENCION DE GUARAYOS,cirugias y anestesias,anestesias generales y regionales,2008-03-01,24,24
ATOCHA,cirugias y anestesias,anestesias generales y regionales,2008-03-01,12,12
AYOPAYA (V. DE INDEPENDENCIA),cirugias y anestesias,anestesias generales y regionales,2008-03-01,7,7
BERMEJO,cirugias y anestesias,anestesias generales y regionales,2008-03-01,56,56
BETANZOS,cirugias y anestesias,anestesias generales y regionales,2008-03-01,19,19
CAMARGO,cirugias y anestesias,anestesias generales y regionales,2008-03-01,35,35
CAMIRI,cirugias y anestesias,anestesias generales y regionales,2008-03-01,44,44
CARANAVI,cirugias y anestesias,anestesias generales y regionales,2008-03-01,34,34
CARMEN RIVERO TORREZ,cirugias y anestesias,anestesias generales y regionales,2008-03-01,2,2
CHALLAPATA,cirugias y anestesias,anestesias generales y regionales,2008-03-01,4,4
CHARAGUA,cirugias y anestesias,anestesias generales y regionales,2008-03-01,7,7
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,anestesias generales y regionales,2008-03-01,4,4
COBIJA,cirugias y anestesias,anestesias generales y regionales,2008-03-01,153,153
COCHABAMBA,cirugias y anestesias,anestesias generales y regionales,2008-03-01,3002,3002
COLCAPIRHUA,cirugias y anestesias,anestesias generales y regionales,2008-03-01,39,39
COMARAPA,cirugias y anestesias,anestesias generales y regionales,2008-03-01,6,6
COPACABANA,cirugias y anestesias,anestesias generales y regionales,2008-03-01,7,7
COROICO,cirugias y anestesias,anestesias generales y regionales,2008-03-01,28,28
COTOCA,cirugias y anestesias,anestesias generales y regionales,2008-03-01,23,23
CULPINA,cirugias y anestesias,anestesias generales y regionales,2008-03-01,12,12
EL ALTO,cirugias y anestesias,anestesias generales y regionales,2008-03-01,664,664
EL TORNO,cirugias y anestesias,anestesias generales y regionales,2008-03-01,19,19
GUAYARAMERIN,cirugias y anestesias,anestesias generales y regionales,2008-03-01,76,76
HUACARETA,cirugias y anestesias,anestesias generales y regionales,2008-03-01,2,2
HUANUNI,cirugias y anestesias,anestesias generales y regionales,2008-03-01,2,2
LA PAZ,cirugias y anestesias,anestesias generales y regionales,2008-03-01,2959,2959
LLALLAGUA,cirugias y anestesias,anestesias generales y regionales,2008-03-01,75,75
MAIRANA,cirugias y anestesias,anestesias generales y regionales,2008-03-01,15,15
MONTEAGUDO,cirugias y anestesias,anestesias generales y regionales,2008-03-01,63,63
MONTERO,cirugias y anestesias,anestesias generales y regionales,2008-03-01,137,137
ORURO,cirugias y anestesias,anestesias generales y regionales,2008-03-01,622,622
PADILLA,cirugias y anestesias,anestesias generales y regionales,2008-03-01,21,21
PATACAMAYA,cirugias y anestesias,anestesias generales y regionales,2008-03-01,6,6
PORTACHUELO,cirugias y anestesias,anestesias generales y regionales,2008-03-01,46,46
PORVENIR,cirugias y anestesias,anestesias generales y regionales,2008-03-01,19,19
POTOSI,cirugias y anestesias,anestesias generales y regionales,2008-03-01,335,335
PUERTO ACOSTA,cirugias y anestesias,anestesias generales y regionales,2008-03-01,14,14
PUERTO SUAREZ,cirugias y anestesias,anestesias generales y regionales,2008-03-01,94,94
PUERTO VILLARROEL,cirugias y anestesias,anestesias generales y regionales,2008-03-01,93,93
PUNATA,cirugias y anestesias,anestesias generales y regionales,2008-03-01,94,94
QUILLACOLLO,cirugias y anestesias,anestesias generales y regionales,2008-03-01,174,174
REYES,cirugias y anestesias,anestesias generales y regionales,2008-03-01,10,10
RIBERALTA,cirugias y anestesias,anestesias generales y regionales,2008-03-01,252,252
ROBORE,cirugias y anestesias,anestesias generales y regionales,2008-03-01,10,10
RURRENABAQUE,cirugias y anestesias,anestesias generales y regionales,2008-03-01,13,13
SACABA,cirugias y anestesias,anestesias generales y regionales,2008-03-01,145,145
SAMAIPATA,cirugias y anestesias,anestesias generales y regionales,2008-03-01,1,1
SAN ANDRES,cirugias y anestesias,anestesias generales y regionales,2008-03-01,4,4
SAN BORJA,cirugias y anestesias,anestesias generales y regionales,2008-03-01,27,27
SAN BUENA VENTURA,cirugias y anestesias,anestesias generales y regionales,2008-03-01,16,16
SAN CARLOS,cirugias y anestesias,anestesias generales y regionales,2008-03-01,35,35
SAN IGNACIO,cirugias y anestesias,anestesias generales y regionales,2008-03-01,7,7
SAN IGNACIO DE VELASCO,cirugias y anestesias,anestesias generales y regionales,2008-03-01,82,82
SAN JAVIER(STC),cirugias y anestesias,anestesias generales y regionales,2008-03-01,5,5
SAN JOAQUIN,cirugias y anestesias,anestesias generales y regionales,2008-03-01,2,2
SAN JOSE DE CHIQUITOS,cirugias y anestesias,anestesias generales y regionales,2008-03-01,6,6
SAN JUAN DE YAPACANI,cirugias y anestesias,anestesias generales y regionales,2008-03-01,31,31
SAN JULIAN,cirugias y anestesias,anestesias generales y regionales,2008-03-01,9,9
SAN LUCAS,cirugias y anestesias,anestesias generales y regionales,2008-03-01,15,15
SAN MATIAS,cirugias y anestesias,anestesias generales y regionales,2008-03-01,8,8
SAN RAMON,cirugias y anestesias,anestesias generales y regionales,2008-03-01,15,15
SAN RAMON,cirugias y anestesias,anestesias generales y regionales,2008-03-01,5,5
SANTA ANA,cirugias y anestesias,anestesias generales y regionales,2008-03-01,75,75
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,anestesias generales y regionales,2008-03-01,3601,3601
SANTA ROSA,cirugias y anestesias,anestesias generales y regionales,2008-03-01,5,5
SIPE SIPE,cirugias y anestesias,anestesias generales y regionales,2008-03-01,25,25
SOPACHUY,cirugias y anestesias,anestesias generales y regionales,2008-03-01,4,4
SUCRE,cirugias y anestesias,anestesias generales y regionales,2008-03-01,961,961
TARABUCO,cirugias y anestesias,anestesias generales y regionales,2008-03-01,5,5
TARIJA,cirugias y anestesias,anestesias generales y regionales,2008-03-01,498,498
TIQUIPAYA,cirugias y anestesias,anestesias generales y regionales,2008-03-01,1,1
TIRAQUE (CBBA),cirugias y anestesias,anestesias generales y regionales,2008-03-01,8,8
TRINIDAD,cirugias y anestesias,anestesias generales y regionales,2008-03-01,271,271
TUPIZA,cirugias y anestesias,anestesias generales y regionales,2008-03-01,47,47
UNCIA,cirugias y anestesias,anestesias generales y regionales,2008-03-01,41,41
UYUNI,cirugias y anestesias,anestesias generales y regionales,2008-03-01,11,11
VALLEGRANDE,cirugias y anestesias,anestesias generales y regionales,2008-03-01,30,30
VIACHA,cirugias y anestesias,anestesias generales y regionales,2008-03-01,1,1
VILLA MONTES,cirugias y anestesias,anestesias generales y regionales,2008-03-01,79,79
VILLA TUNARI,cirugias y anestesias,anestesias generales y regionales,2008-03-01,14,14
VILLAZON,cirugias y anestesias,anestesias generales y regionales,2008-03-01,86,86
VINTO,cirugias y anestesias,anestesias generales y regionales,2008-03-01,3,3
WARNES,cirugias y anestesias,anestesias generales y regionales,2008-03-01,32,32
YACUIBA,cirugias y anestesias,anestesias generales y regionales,2008-03-01,111,111
YAPACANI,cirugias y anestesias,anestesias generales y regionales,2008-03-01,6,6
YOTALA,cirugias y anestesias,anestesias generales y regionales,2008-03-01,15,15
ZUDAÑEZ,cirugias y anestesias,anestesias generales y regionales,2008-03-01,5,5
AIQUILE,cirugias y anestesias,anestesias generales y regionales,2008-04-01,14,14
ASCENCION DE GUARAYOS,cirugias y anestesias,anestesias generales y regionales,2008-04-01,45,45
ATOCHA,cirugias y anestesias,anestesias generales y regionales,2008-04-01,18,18
BERMEJO,cirugias y anestesias,anestesias generales y regionales,2008-04-01,48,48
BETANZOS,cirugias y anestesias,anestesias generales y regionales,2008-04-01,21,21
CAMARGO,cirugias y anestesias,anestesias generales y regionales,2008-04-01,7,7
CAMIRI,cirugias y anestesias,anestesias generales y regionales,2008-04-01,48,48
CARANAVI,cirugias y anestesias,anestesias generales y regionales,2008-04-01,39,39
CHALLAPATA,cirugias y anestesias,anestesias generales y regionales,2008-04-01,2,2
CHARAGUA,cirugias y anestesias,anestesias generales y regionales,2008-04-01,10,10
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,anestesias generales y regionales,2008-04-01,4,4
COBIJA,cirugias y anestesias,anestesias generales y regionales,2008-04-01,111,111
COCHABAMBA,cirugias y anestesias,anestesias generales y regionales,2008-04-01,3205,3205
COLCAPIRHUA,cirugias y anestesias,anestesias generales y regionales,2008-04-01,61,61
COMARAPA,cirugias y anestesias,anestesias generales y regionales,2008-04-01,8,8
CONCEPCION,cirugias y anestesias,anestesias generales y regionales,2008-04-01,35,35
COROICO,cirugias y anestesias,anestesias generales y regionales,2008-04-01,25,25
COTOCA,cirugias y anestesias,anestesias generales y regionales,2008-04-01,11,11
CULPINA,cirugias y anestesias,anestesias generales y regionales,2008-04-01,8,8
EL ALTO,cirugias y anestesias,anestesias generales y regionales,2008-04-01,752,752
EL TORNO,cirugias y anestesias,anestesias generales y regionales,2008-04-01,29,29
GUAYARAMERIN,cirugias y anestesias,anestesias generales y regionales,2008-04-01,87,87
HUACARETA,cirugias y anestesias,anestesias generales y regionales,2008-04-01,1,1
HUANUNI,cirugias y anestesias,anestesias generales y regionales,2008-04-01,1,1
LA PAZ,cirugias y anestesias,anestesias generales y regionales,2008-04-01,3072,3072
LLALLAGUA,cirugias y anestesias,anestesias generales y regionales,2008-04-01,60,60
MAIRANA,cirugias y anestesias,anestesias generales y regionales,2008-04-01,4,4
MONTEAGUDO,cirugias y anestesias,anestesias generales y regionales,2008-04-01,24,24
MONTERO,cirugias y anestesias,anestesias generales y regionales,2008-04-01,161,161
ORURO,cirugias y anestesias,anestesias generales y regionales,2008-04-01,642,642
PADILLA,cirugias y anestesias,anestesias generales y regionales,2008-04-01,20,20
PATACAMAYA,cirugias y anestesias,anestesias generales y regionales,2008-04-01,8,8
PORTACHUELO,cirugias y anestesias,anestesias generales y regionales,2008-04-01,39,39
PORVENIR,cirugias y anestesias,anestesias generales y regionales,2008-04-01,8,8
POTOSI,cirugias y anestesias,anestesias generales y regionales,2008-04-01,353,353
PUERTO ACOSTA,cirugias y anestesias,anestesias generales y regionales,2008-04-01,12,12
PUERTO QUIJARRO,cirugias y anestesias,anestesias generales y regionales,2008-04-01,3,3
PUERTO SUAREZ,cirugias y anestesias,anestesias generales y regionales,2008-04-01,118,118
PUERTO VILLARROEL,cirugias y anestesias,anestesias generales y regionales,2008-04-01,34,34
PUNATA,cirugias y anestesias,anestesias generales y regionales,2008-04-01,67,67
QUILLACOLLO,cirugias y anestesias,anestesias generales y regionales,2008-04-01,161,161
REYES,cirugias y anestesias,anestesias generales y regionales,2008-04-01,8,8
RIBERALTA,cirugias y anestesias,anestesias generales y regionales,2008-04-01,141,141
ROBORE,cirugias y anestesias,anestesias generales y regionales,2008-04-01,14,14
RURRENABAQUE,cirugias y anestesias,anestesias generales y regionales,2008-04-01,21,21
SACABA,cirugias y anestesias,anestesias generales y regionales,2008-04-01,128,128
SAMAIPATA,cirugias y anestesias,anestesias generales y regionales,2008-04-01,4,4
SAN BORJA,cirugias y anestesias,anestesias generales y regionales,2008-04-01,75,75
SAN BUENA VENTURA,cirugias y anestesias,anestesias generales y regionales,2008-04-01,10,10
SAN CARLOS,cirugias y anestesias,anestesias generales y regionales,2008-04-01,20,20
SAN IGNACIO,cirugias y anestesias,anestesias generales y regionales,2008-04-01,3,3
SAN IGNACIO DE VELASCO,cirugias y anestesias,anestesias generales y regionales,2008-04-01,95,95
SAN JAVIER(STC),cirugias y anestesias,anestesias generales y regionales,2008-04-01,8,8
SAN JOAQUIN,cirugias y anestesias,anestesias generales y regionales,2008-04-01,1,1
SAN JOSE DE CHIQUITOS,cirugias y anestesias,anestesias generales y regionales,2008-04-01,7,7
SAN JULIAN,cirugias y anestesias,anestesias generales y regionales,2008-04-01,9,9
SAN LUCAS,cirugias y anestesias,anestesias generales y regionales,2008-04-01,29,29
SAN MATIAS,cirugias y anestesias,anestesias generales y regionales,2008-04-01,12,12
SAN RAMON,cirugias y anestesias,anestesias generales y regionales,2008-04-01,10,10
SANTA ANA,cirugias y anestesias,anestesias generales y regionales,2008-04-01,46,46
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,anestesias generales y regionales,2008-04-01,4053,4053
SANTA ROSA,cirugias y anestesias,anestesias generales y regionales,2008-04-01,1,1
SIPE SIPE,cirugias y anestesias,anestesias generales y regionales,2008-04-01,20,20
SOPACHUY,cirugias y anestesias,anestesias generales y regionales,2008-04-01,3,3
SUCRE,cirugias y anestesias,anestesias generales y regionales,2008-04-01,1090,1090
TARABUCO,cirugias y anestesias,anestesias generales y regionales,2008-04-01,5,5
TARIJA,cirugias y anestesias,anestesias generales y regionales,2008-04-01,648,648
