municipality,group,variable,month,Cirugías medianas y mayores,TOTAL
SAN JOSE DE CHIQUITOS,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,5,5
SAN JUAN DE YAPACANI,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,31,31
SAN JULIAN,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,9,9
SAN MATIAS,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,8,8
SAN RAMON,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,15,15
SAN RAMON,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,1,1
SANTA ANA,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,70,70
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,3297,3297
SANTA ROSA,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,5,5
SIPE SIPE,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,24,24
SOPACHUY,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,4,4
SUCRE,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,836,836
TARABUCO,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,5,5
TARIJA,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,444,444
TIQUIPAYA,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,1,1
TIRAQUE (CBBA),cirugias y anestesias,cirugias medianas y mayores,2008-03-01,8,8
TRINIDAD,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,235,235
TUPIZA,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,47,47
UNCIA,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,38,38
UYUNI,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,11,11
VALLEGRANDE,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,30,30
VIACHA,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,1,1
VILLA MONTES,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,79,79
VILLA TUNARI,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,14,14
VILLAZON,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,23,23
VINTO,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,3,3
WARNES,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,32,32
YACUIBA,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,103,103
YAPACANI,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,6,6
YOTALA,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,1,1
ZUDAÑEZ,cirugias y anestesias,cirugias medianas y mayores,2008-03-01,1,1
AIQUILE,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,14,14
ASCENCION DE GUARAYOS,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,24,24
ATOCHA,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,18,18
BERMEJO,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,21,21
BETANZOS,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,2,2
CAMARGO,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,7,7
CAMIRI,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,48,48
CARANAVI,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,24,24
CHALLAPATA,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,2,2
CHARAGUA,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,10,10
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,cirugias medianas y mayores,2008-04-01,3,3
COBIJA,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,92,92
COCHABAMBA,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,2907,2907
COLCAPIRHUA,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,61,61
COMARAPA,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,8,8
CONCEPCION,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,35,35
COROICO,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,16,16
COTOCA,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,11,11
CULPINA,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,6,6
EL ALTO,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,752,752
EL TORNO,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,29,29
GUAYARAMERIN,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,81,81
HUANUNI,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,1,1
LA PAZ,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,2876,2876
LLALLAGUA,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,60,60
MAIRANA,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,4,4
MONTEAGUDO,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,10,10
MONTERO,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,161,161
ORURO,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,595,595
PADILLA,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,20,20
PATACAMAYA,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,8,8
PORTACHUELO,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,39,39
POTOSI,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,211,211
PUERTO ACOSTA,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,12,12
PUERTO QUIJARRO,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,3,3
PUERTO SUAREZ,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,31,31
PUERTO VILLARROEL,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,13,13
PUNATA,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,23,23
QUILLACOLLO,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,36,36
REYES,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,8,8
RIBERALTA,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,141,141
ROBORE,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,14,14
RURRENABAQUE,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,21,21
SACABA,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,64,64
SAMAIPATA,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,4,4
SAN BORJA,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,75,75
SAN BUENA VENTURA,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,10,10
SAN CARLOS,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,20,20
SAN IGNACIO,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,3,3
SAN IGNACIO DE VELASCO,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,47,47
SAN JAVIER(STC),cirugias y anestesias,cirugias medianas y mayores,2008-04-01,8,8
SAN JOAQUIN,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,1,1
SAN JOSE DE CHIQUITOS,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,7,7
SAN JULIAN,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,9,9
SAN LUCAS,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,5,5
SAN MATIAS,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,11,11
SAN RAMON,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,10,10
SANTA ANA,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,33,33
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,3795,3795
SANTA ROSA,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,1,1
SIPE SIPE,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,20,20
SOPACHUY,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,3,3
SUCRE,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,838,838
TARABUCO,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,1,1
TARIJA,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,529,529
TIRAQUE (CBBA),cirugias y anestesias,cirugias medianas y mayores,2008-04-01,10,10
TRINIDAD,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,297,297
TUPIZA,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,41,41
UNCIA,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,36,36
UYUNI,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,3,3
VALLEGRANDE,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,35,35
VILLA MONTES,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,56,56
VILLA TUNARI,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,34,34
VILLAZON,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,26,26
VINTO,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,1,1
WARNES,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,30,30
YACUIBA,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,66,66
YAPACANI,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,8,8
ZUDAÑEZ,cirugias y anestesias,cirugias medianas y mayores,2008-04-01,1,1
ACHACACHI,cirugias y anestesias,cirugias medianas y mayores,2008-05-01,3,3
AIQUILE,cirugias y anestesias,cirugias medianas y mayores,2008-05-01,19,19
ASCENCION DE GUARAYOS,cirugias y anestesias,cirugias medianas y mayores,2008-05-01,12,12
ATOCHA,cirugias y anestesias,cirugias medianas y mayores,2008-05-01,26,26
AYOPAYA (V. DE INDEPENDENCIA),cirugias y anestesias,cirugias medianas y mayores,2008-05-01,1,1
BAURES,cirugias y anestesias,cirugias medianas y mayores,2008-05-01,4,4
BERMEJO,cirugias y anestesias,cirugias medianas y mayores,2008-05-01,16,16
BETANZOS,cirugias y anestesias,cirugias medianas y mayores,2008-05-01,4,4
CAMARGO,cirugias y anestesias,cirugias medianas y mayores,2008-05-01,25,25
