,group,variable,month,MUJERES CON 4TA CONSULTA PRENATAL TOTAL 4.4 MUJERES CON 4TA CONSULTA PRENATAL,MUJERES CON 4TA CONSULTA PRENATAL TOTAL 4.4 MUJERES CON 4TA CONSULTA PRENATAL,TOTALES
FILADELFIA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,7,0,7
GENERAL SAAVEDRA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,25,4,29
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,2,0,2
GUANAY,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,20,1,21
GUAQUI,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,5,1,6
GUAYARAMERIN,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,80,22,102
GUTIERREZ,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,21,2,23
HUACARETA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,8,3,11
HUACAYA (VILLA DE HUACAYA),consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,1,4,5
HUANUNI,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,37,0,37
HUARACAJE,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,5,0,5
HUARINA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,4,0,4
HUAYLLAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,6,0,6
HUMANATA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,1,0,1
ICHOCA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,2,0,2
ICLA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,4,3,7
INCAHUASI,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,14,11,25
INGAVI (HUMAITA),consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,5,0,5
INQUISIVI,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,6,0,6
IRUPANA (VILLA DE LANZA),consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,11,0,11
IXIAMAS,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,7,0,7
JESUS DE MACHACA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,26,0,26
LA ASUNTA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,54,0,54
LA GUARDIA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,86,0,86
LA PAZ,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,1090,4,1094
LAGUNILLAS,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,9,0,9
LAJA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,12,0,12
LAS CARRERAS,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,3,0,3
LICOMA PAMPA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,6,0,6
LLALLAGUA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,50,0,50
LLICA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,4,0,4
LORETO,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,8,0,8
LURIBAY,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,7,1,8
MACHACAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,3,0,3
MACHARETI,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,10,1,11
MAGDALENA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,21,1,22
MAIRANA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,31,0,31
MALLA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,1,0,1
MAPIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,15,0,15
MECAPACA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,4,0,4
MINEROS,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,34,0,34
MIZQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,15,0,15
MOCOMOCO,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,4,1,5
MOJOCOYA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,7,3,10
MONTEAGUDO,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,43,2,45
MONTERO,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,197,0,197
MORO MORO,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,2,1,3
MOROCHATA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,6,5,11
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,1,0,1
NAZACARA DE PACAJES,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,1,0,1
OCURI,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,15,2,17
OKINAWA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,17,0,17
OMEREQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,12,0,12
ORURO,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,442,0,442
PADCAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,21,3,24
PADILLA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,19,1,20
PAILON,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,51,0,51
PALCA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,15,1,16
PALOS BLANCOS,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,39,0,39
PAMPA GRANDE,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,9,0,9
PAPEL PAMPA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,2,2,4
PASORAPA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,6,1,7
PATACAMAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,16,1,17
PAZÑA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,6,3,9
PELECHUCO,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,0,1,1
POCOATA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,9,8,17
POCONA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,11,2,13
POJO (CBBA),consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,17,0,17
POOPO,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,6,0,6
PORCO,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,17,0,17
POROMA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,7,6,13
PORONGO,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,15,11,26
PORTACHUELO,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,66,0,66
PORVENIR,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,3,0,3
POSTRER VALLE,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,2,0,2
POTOSI,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,334,0,334
PRESTO,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,4,6,10
PUCARA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,2,0,2
PUCARANI,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,21,0,21
PUERTO ACOSTA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,6,0,6
PUERTO CARABUCO,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,8,1,9
PUERTO GONZALO MORENO,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,3,0,3
PUERTO PEREZ,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,3,0,3
PUERTO QUIJARRO,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,16,0,16
PUERTO RICO,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,16,0,16
PUERTO SILES,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,5,0,5
PUERTO SUAREZ,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,24,0,24
PUERTO VILLARROEL,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,70,0,70
PUNA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,28,1,29
PUNATA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,26,0,26
QUIABAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,7,0,7
QUILLACOLLO,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,164,0,164
QUIME,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,20,1,21
QUIRUSILLAS,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,2,0,2
RAVELO,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,10,5,15
REYES,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,19,1,20
RIBERALTA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,239,14,253
ROBORE,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,38,0,38
RURRENABAQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,47,0,47
SABAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,3,1,4
SACABA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,279,0,279
SACABAMBA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,8,0,8
SACACA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,29,1,30
SAIPINA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,17,0,17
SALINAS DE GARCI MENDOZA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,3,1,4
SAMAIPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,8,0,8
SAN AGUSTIN,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,3,0,3
SAN ANDRES,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,18,2,20
SAN ANDRES DE MACHACA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,3,1,4
SAN ANTONIO DE ESMORUCO,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,1,0,1
SAN ANTONIO DE LOMERIO,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,10,2,12
SAN BENITO,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,16,0,16
SAN BORJA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,83,0,83
SAN BUENA VENTURA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,18,2,20
SAN CARLOS,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,49,0,49
SAN IGNACIO,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,44,0,44
SAN IGNACIO DE VELASCO,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,139,7,146
SAN JAVIER(BNI),consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,2,0,2
SAN JAVIER(STC),consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,26,0,26
SAN JOAQUIN,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,13,3,16
SAN JOSE DE CHIQUITOS,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,22,0,22
SAN JUAN DE YAPACANI,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,25,0,25
SAN JULIAN,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,92,2,94
SAN LORENZO(PND),consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,3,1,4
SAN LORENZO(TJA),consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,13,0,13
SAN LUCAS,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,35,11,46
SAN MATIAS,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,18,0,18
SAN MIGUEL DE VELASCO,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,17,2,19
SAN PABLO DE LIPEZ,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,3,0,3
SAN PEDRO,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,14,0,14
SAN PEDRO DE BUENA VISTA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,32,0,32
SAN PEDRO DE CURAHUARA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,5,1,6
SAN PEDRO DE QUEMES,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,1,0,1
SAN PEDRO DE TIQUINA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,2,0,2
SAN RAFAEL,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,5,0,5
SAN RAMON BENI,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,10,0,10
SAN RAMON SCZ,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,34,0,34
SANTA ANA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,41,0,41
SANTA CRUZ DE LA SIERRA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,1684,2,1686
SANTA ROSA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,18,3,21
SANTA ROSA DEL SARA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,27,1,28
SANTIAGO DE CALLAPA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,0,2,2
SANTIAGO DE HUARI,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,7,1,8
SANTIAGO DE HUATA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,3,0,3
SANTIAGO DE MACHACA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,2,1,3
SANTIVAÑES,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,3,0,3
SANTUARIO DE QUILLACAS,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,3,0,3
SAPAHAQUI,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,4,1,5
SENA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,3,0,3
SHINAOTA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,41,0,41
SICA SICA (VILLA AROMA),consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,18,1,19
SICAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,5,0,5
SIPE SIPE,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,52,0,52
SOPACHUY,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,12,4,16
SORACACHI,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,6,1,7
SORATA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,32,2,34
SUCRE,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,644,5,649
TACACHI,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,1,0,1
TACACOMA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,9,0,9
TACOBAMBA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,6,0,6
TACOPAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,6,0,6
TAPACARI,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,15,6,21
TARABUCO,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,19,2,21
TARACO,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,4,0,4
TARATA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,16,0,16
TARIJA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,416,2,418
TARVITA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,13,3,16
TEOPONTE,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,6,0,6
TIAWANACU,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,16,3,19
TINGUIPAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,13,5,18
TIPUANI,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,19,0,19
TIQUIPAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,88,0,88
TIRAQUE (CBBA),consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,20,1,21
TITO YUPANQUI (PARQUIPUJIO),consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,1,0,1
TOCO,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,11,0,11
TODOS SANTOS,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,1,0,1
TOLATA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,6,0,6
TOLEDO,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,2,0,2
TOMAVE,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,8,6,14
TOMINA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,11,0,11
TORO TORO,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,3,1,4
TOTORA(CBBA),consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,7,1,8
TOTORA(ORR),consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,6,0,6
TRIGAL,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,2,1,3
TRINIDAD,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,277,4,281
TUPIZA,consultas prenatales,mujeres con 4ta consulta prenatal,2011-01-01,71,0,71
