,group,variable,month,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO CANTIDAD,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO CANTIDAD,TOTALES
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,6,1,7
GUANAY,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,5,1,6
GUAQUI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,8,3,11
GUAYARAMERIN,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,37,23,60
GUTIERREZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,8,3,11
HUACARETA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,4,1,5
HUACAYA (VILLA DE HUACAYA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,0,1,1
HUACHACALLA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,2,0,2
HUANUNI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,19,0,19
HUARACAJE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,5,0,5
HUARINA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,3,1,4
HUAYLLAMARCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,2,1,3
HUMANATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,8,0,8
ICHOCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,0,5,5
ICLA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,0,2,2
INCAHUASI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,1,1,2
INGAVI (HUMAITA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,5,2,7
INQUISIVI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,6,3,9
IRUPANA (VILLA DE LANZA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,10,0,10
IXIAMAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,4,2,6
JESUS DE MACHACA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,27,1,28
LA ASUNTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,45,6,51
LA GUARDIA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,50,0,50
LA PAZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,1384,0,1384
LAGUNILLAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,3,0,3
LAJA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,7,3,10
LICOMA PAMPA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,4,0,4
LLALLAGUA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,40,1,41
LLICA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,1,0,1
LORETO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,3,0,3
LURIBAY,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,7,1,8
MACHACAMARCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,1,0,1
MACHARETI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,4,2,6
MAGDALENA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,3,0,3
MAIRANA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,4,0,4
MALLA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,2,1,3
MAPIRI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,12,2,14
MECAPACA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,7,4,11
MINEROS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,17,0,17
MIZQUE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,17,8,25
MOCOMOCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,13,0,13
MOJOCOYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,1,0,1
MONTEAGUDO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,7,0,7
MONTERO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,158,0,158
MOROCHATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,11,5,16
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,2,0,2
OCURI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,8,1,9
OKINAWA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,4,0,4
OMEREQUE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,4,1,5
ORURO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,448,0,448
PADCAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,5,0,5
PADILLA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,6,0,6
PAILON,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,27,2,29
PALCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,9,1,10
PALOS BLANCOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,24,1,25
PAMPA AULLAGAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,1,1,2
PAMPA GRANDE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,2,0,2
PAPEL PAMPA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,3,0,3
PATACAMAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,25,0,25
PAZÑA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,5,0,5
PELECHUCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,6,1,7
POCOATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,10,6,16
POCONA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,10,0,10
POJO (CBBA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,18,0,18
POOPO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,8,1,9
PORCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,11,0,11
POROMA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,11,2,13
PORONGO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,7,2,9
PORTACHUELO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,30,0,30
PORVENIR,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,3,0,3
POSTRER VALLE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,0,1,1
POTOSI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,497,0,497
PRESTO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,1,1,2
PUCARA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,0,1,1
PUCARANI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,16,0,16
PUERTO ACOSTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,5,0,5
PUERTO CARABUCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,4,0,4
PUERTO GONZALO MORENO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,3,0,3
PUERTO PEREZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,6,0,6
PUERTO QUIJARRO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,26,0,26
PUERTO RICO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,4,0,4
PUERTO SILES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,2,0,2
PUERTO SUAREZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,29,0,29
PUERTO VILLARROEL,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,96,0,96
PUNA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,11,0,11
PUNATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,24,0,24
QUIABAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,1,0,1
QUILLACOLLO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,164,2,166
QUIME,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,9,0,9
QUIRUSILLAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,1,0,1
RAVELO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,6,5,11
REYES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,8,1,9
RIBERALTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,151,8,159
ROBORE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,3,1,4
RURRENABAQUE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,17,1,18
SABAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,6,0,6
SACABA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,199,0,199
SACABAMBA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,2,1,3
SACACA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,14,1,15
SAIPINA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,4,0,4
SALINAS DE GARCI MENDOZA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,2,0,2
SAMAIPATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,2,1,3
SAN AGUSTIN,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,3,0,3
SAN ANDRES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,7,0,7
SAN ANDRES DE MACHACA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,1,0,1
SAN ANTONIO DE ESMORUCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,5,0,5
SAN ANTONIO DE LOMERIO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,1,2,3
SAN BENITO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,7,0,7
SAN BORJA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,40,4,44
SAN BUENA VENTURA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,8,1,9
SAN CARLOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,13,0,13
SAN IGNACIO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,30,0,30
SAN IGNACIO DE VELASCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,65,6,71
SAN JAVIER(BNI),consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,6,0,6
SAN JAVIER(STC),consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,15,0,15
SAN JOAQUIN,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,7,0,7
SAN JOSE DE CHIQUITOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,32,0,32
SAN JUAN DE YAPACANI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,11,0,11
SAN JULIAN,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,42,0,42
SAN LORENZO(PND),consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,3,1,4
SAN LORENZO(TJA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,3,1,4
SAN LUCAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,11,1,12
SAN MATIAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,11,0,11
SAN MIGUEL DE VELASCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,6,1,7
SAN PABLO DE LIPEZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,4,0,4
SAN PEDRO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,4,0,4
SAN PEDRO DE BUENA VISTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,13,2,15
SAN PEDRO DE CURAHUARA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,2,4,6
SAN PEDRO DE TIQUINA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,2,0,2
SAN PEDRO(PND),consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,2,0,2
SAN RAFAEL,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,3,1,4
SAN RAMON BENI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,6,0,6
SAN RAMON SCZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,13,0,13
SANTA ANA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,20,0,20
SANTA CRUZ DE LA SIERRA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,3402,3,3405
SANTA ROSA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,9,0,9
SANTA ROSA DEL SARA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,11,1,12
SANTIAGO DE CALLAPA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,0,1,1
SANTIAGO DE HUARI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,1,1,2
SANTIAGO DE HUATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,6,0,6
SANTIAGO DE MACHACA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,0,3,3
SANTIVAÑES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,5,1,6
SANTUARIO DE QUILLACAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,0,1,1
SAPAHAQUI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,1,2,3
SHINAOTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,30,0,30
SICA SICA (VILLA AROMA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,21,3,24
SICAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,3,0,3
SIPE SIPE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,73,0,73
SOPACHUY,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,5,0,5
SORACACHI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,5,4,9
SORATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,9,10,19
SUCRE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,136,2,138
TACACOMA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,5,1,6
TACOBAMBA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,5,2,7
TACOPAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,7,1,8
TAHUA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,1,0,1
TAPACARI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,15,8,23
TARABUCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,8,1,9
TARACO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,1,0,1
TARATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,7,0,7
TARIJA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,264,0,264
TARVITA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,2,0,2
TEOPONTE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,2,0,2
TIAWANACU,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,17,2,19
TINGUIPAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,9,1,10
TIPUANI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,12,0,12
TIQUIPAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,88,2,90
TIRAQUE (CBBA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,11,1,12
TITO YUPANQUI (PARQUIPUJIO),consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,1,0,1
TOCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,5,0,5
TOLATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,3,0,3
TOLEDO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,6,0,6
TOMAVE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,3,3,6
TOMINA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,1,1,2
TORO TORO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,2,6,8
TOTORA(CBBA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,8,1,9
TOTORA(ORR),consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,0,1,1
TRINIDAD,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,193,2,195
TUPIZA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,43,1,44
TURCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2011-01-01,5,0,5
