,group,variable,month,REPETIDAS TOTAL 4.3 REPETIDAS,REPETIDAS TOTAL 4.3 REPETIDAS,TOTALES
LICOMA PAMPA,consultas prenatales,repetidas,2011-01-01,19,0,19
LLALLAGUA,consultas prenatales,repetidas,2011-01-01,291,10,301
LLICA,consultas prenatales,repetidas,2011-01-01,12,3,15
LORETO,consultas prenatales,repetidas,2011-01-01,15,2,17
LURIBAY,consultas prenatales,repetidas,2011-01-01,22,3,25
MACHACAMARCA,consultas prenatales,repetidas,2011-01-01,22,1,23
MACHARETI,consultas prenatales,repetidas,2011-01-01,44,7,51
MAGDALENA,consultas prenatales,repetidas,2011-01-01,109,7,116
MAIRANA,consultas prenatales,repetidas,2011-01-01,122,0,122
MALLA,consultas prenatales,repetidas,2011-01-01,1,4,5
MAPIRI,consultas prenatales,repetidas,2011-01-01,109,1,110
MECAPACA,consultas prenatales,repetidas,2011-01-01,50,4,54
MINEROS,consultas prenatales,repetidas,2011-01-01,193,0,193
MIZQUE,consultas prenatales,repetidas,2011-01-01,135,16,151
MOCOMOCO,consultas prenatales,repetidas,2011-01-01,23,2,25
MOJOCOYA,consultas prenatales,repetidas,2011-01-01,41,5,46
MONTEAGUDO,consultas prenatales,repetidas,2011-01-01,296,9,305
MONTERO,consultas prenatales,repetidas,2011-01-01,1166,0,1166
MORO MORO,consultas prenatales,repetidas,2011-01-01,21,4,25
MOROCHATA,consultas prenatales,repetidas,2011-01-01,42,18,60
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales,repetidas,2011-01-01,5,0,5
NAZACARA DE PACAJES,consultas prenatales,repetidas,2011-01-01,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),consultas prenatales,repetidas,2011-01-01,3,3,6
OCURI,consultas prenatales,repetidas,2011-01-01,53,18,71
OKINAWA,consultas prenatales,repetidas,2011-01-01,119,0,119
OMEREQUE,consultas prenatales,repetidas,2011-01-01,41,3,44
ORURO,consultas prenatales,repetidas,2011-01-01,2592,0,2592
PADCAYA,consultas prenatales,repetidas,2011-01-01,98,6,104
PADILLA,consultas prenatales,repetidas,2011-01-01,85,6,91
PAILON,consultas prenatales,repetidas,2011-01-01,189,4,193
PALCA,consultas prenatales,repetidas,2011-01-01,47,4,51
PALOS BLANCOS,consultas prenatales,repetidas,2011-01-01,230,6,236
PAMPA AULLAGAS,consultas prenatales,repetidas,2011-01-01,13,1,14
PAMPA GRANDE,consultas prenatales,repetidas,2011-01-01,74,0,74
PAPEL PAMPA,consultas prenatales,repetidas,2011-01-01,11,8,19
PASORAPA,consultas prenatales,repetidas,2011-01-01,19,3,22
PATACAMAYA,consultas prenatales,repetidas,2011-01-01,151,2,153
PAZÑA,consultas prenatales,repetidas,2011-01-01,22,9,31
PELECHUCO,consultas prenatales,repetidas,2011-01-01,20,3,23
POCOATA,consultas prenatales,repetidas,2011-01-01,47,40,87
POCONA,consultas prenatales,repetidas,2011-01-01,51,4,55
POJO (CBBA),consultas prenatales,repetidas,2011-01-01,103,0,103
POOPO,consultas prenatales,repetidas,2011-01-01,24,0,24
PORCO,consultas prenatales,repetidas,2011-01-01,94,0,94
POROMA,consultas prenatales,repetidas,2011-01-01,33,19,52
PORONGO,consultas prenatales,repetidas,2011-01-01,67,15,82
PORTACHUELO,consultas prenatales,repetidas,2011-01-01,701,0,701
PORVENIR,consultas prenatales,repetidas,2011-01-01,32,0,32
POSTRER VALLE,consultas prenatales,repetidas,2011-01-01,6,5,11
POTOSI,consultas prenatales,repetidas,2011-01-01,1572,0,1572
PRESTO,consultas prenatales,repetidas,2011-01-01,8,25,33
PUCARA,consultas prenatales,repetidas,2011-01-01,9,3,12
PUCARANI,consultas prenatales,repetidas,2011-01-01,131,5,136
PUERTO ACOSTA,consultas prenatales,repetidas,2011-01-01,21,1,22
PUERTO CARABUCO,consultas prenatales,repetidas,2011-01-01,25,9,34
PUERTO GONZALO MORENO,consultas prenatales,repetidas,2011-01-01,31,3,34
PUERTO PEREZ,consultas prenatales,repetidas,2011-01-01,12,0,12
PUERTO QUIJARRO,consultas prenatales,repetidas,2011-01-01,81,0,81
PUERTO RICO,consultas prenatales,repetidas,2011-01-01,66,0,66
PUERTO SILES,consultas prenatales,repetidas,2011-01-01,9,1,10
PUERTO SUAREZ,consultas prenatales,repetidas,2011-01-01,135,2,137
PUERTO VILLARROEL,consultas prenatales,repetidas,2011-01-01,498,0,498
PUNA,consultas prenatales,repetidas,2011-01-01,104,3,107
PUNATA,consultas prenatales,repetidas,2011-01-01,216,0,216
QUIABAYA,consultas prenatales,repetidas,2011-01-01,17,0,17
QUILLACOLLO,consultas prenatales,repetidas,2011-01-01,594,13,607
QUIME,consultas prenatales,repetidas,2011-01-01,49,1,50
QUIRUSILLAS,consultas prenatales,repetidas,2011-01-01,11,0,11
RAVELO,consultas prenatales,repetidas,2011-01-01,52,11,63
REYES,consultas prenatales,repetidas,2011-01-01,82,1,83
RIBERALTA,consultas prenatales,repetidas,2011-01-01,1152,17,1169
ROBORE,consultas prenatales,repetidas,2011-01-01,148,0,148
RURRENABAQUE,consultas prenatales,repetidas,2011-01-01,194,6,200
SABAYA,consultas prenatales,repetidas,2011-01-01,9,1,10
SACABA,consultas prenatales,repetidas,2011-01-01,1223,20,1243
SACABAMBA,consultas prenatales,repetidas,2011-01-01,22,0,22
SACACA,consultas prenatales,repetidas,2011-01-01,102,7,109
SAIPINA,consultas prenatales,repetidas,2011-01-01,59,0,59
SALINAS DE GARCI MENDOZA,consultas prenatales,repetidas,2011-01-01,27,9,36
SAMAIPATA,consultas prenatales,repetidas,2011-01-01,52,2,54
SAN AGUSTIN,consultas prenatales,repetidas,2011-01-01,10,0,10
SAN ANDRES,consultas prenatales,repetidas,2011-01-01,53,3,56
SAN ANDRES DE MACHACA,consultas prenatales,repetidas,2011-01-01,8,8,16
SAN ANTONIO DE ESMORUCO,consultas prenatales,repetidas,2011-01-01,6,1,7
SAN ANTONIO DE LOMERIO,consultas prenatales,repetidas,2011-01-01,32,5,37
SAN BENITO,consultas prenatales,repetidas,2011-01-01,118,4,122
SAN BORJA,consultas prenatales,repetidas,2011-01-01,363,8,371
SAN BUENA VENTURA,consultas prenatales,repetidas,2011-01-01,90,4,94
SAN CARLOS,consultas prenatales,repetidas,2011-01-01,185,0,185
SAN IGNACIO,consultas prenatales,repetidas,2011-01-01,170,3,173
SAN IGNACIO DE VELASCO,consultas prenatales,repetidas,2011-01-01,738,34,772
SAN JAVIER(BNI),consultas prenatales,repetidas,2011-01-01,10,0,10
SAN JAVIER(STC),consultas prenatales,repetidas,2011-01-01,145,0,145
SAN JOAQUIN,consultas prenatales,repetidas,2011-01-01,29,11,40
SAN JOSE DE CHIQUITOS,consultas prenatales,repetidas,2011-01-01,102,0,102
SAN JUAN DE YAPACANI,consultas prenatales,repetidas,2011-01-01,75,0,75
SAN JULIAN,consultas prenatales,repetidas,2011-01-01,403,6,409
SAN LORENZO(PND),consultas prenatales,repetidas,2011-01-01,11,6,17
SAN LORENZO(TJA),consultas prenatales,repetidas,2011-01-01,85,4,89
SAN LUCAS,consultas prenatales,repetidas,2011-01-01,160,65,225
SAN MATIAS,consultas prenatales,repetidas,2011-01-01,71,0,71
SAN MIGUEL DE VELASCO,consultas prenatales,repetidas,2011-01-01,81,4,85
SAN PABLO DE LIPEZ,consultas prenatales,repetidas,2011-01-01,15,0,15
SAN PEDRO,consultas prenatales,repetidas,2011-01-01,106,0,106
SAN PEDRO DE BUENA VISTA,consultas prenatales,repetidas,2011-01-01,90,9,99
SAN PEDRO DE CURAHUARA,consultas prenatales,repetidas,2011-01-01,16,3,19
SAN PEDRO DE QUEMES,consultas prenatales,repetidas,2011-01-01,3,0,3
SAN PEDRO DE TIQUINA,consultas prenatales,repetidas,2011-01-01,18,0,18
SAN PEDRO(PND),consultas prenatales,repetidas,2011-01-01,3,0,3
SAN RAFAEL,consultas prenatales,repetidas,2011-01-01,25,1,26
SAN RAMON BENI,consultas prenatales,repetidas,2011-01-01,34,0,34
SAN RAMON SCZ,consultas prenatales,repetidas,2011-01-01,107,0,107
SANTA ANA,consultas prenatales,repetidas,2011-01-01,173,0,173
SANTA CRUZ DE LA SIERRA,consultas prenatales,repetidas,2011-01-01,8885,22,8907
SANTA ROSA,consultas prenatales,repetidas,2011-01-01,103,3,106
SANTA ROSA DEL SARA,consultas prenatales,repetidas,2011-01-01,152,5,157
SANTIAGO DE CALLAPA,consultas prenatales,repetidas,2011-01-01,5,9,14
SANTIAGO DE HUARI,consultas prenatales,repetidas,2011-01-01,29,2,31
SANTIAGO DE HUATA,consultas prenatales,repetidas,2011-01-01,11,2,13
SANTIAGO DE MACHACA,consultas prenatales,repetidas,2011-01-01,7,4,11
SANTIVAÑES,consultas prenatales,repetidas,2011-01-01,25,0,25
SANTUARIO DE QUILLACAS,consultas prenatales,repetidas,2011-01-01,8,2,10
SAPAHAQUI,consultas prenatales,repetidas,2011-01-01,20,6,26
SENA,consultas prenatales,repetidas,2011-01-01,22,1,23
SHINAOTA,consultas prenatales,repetidas,2011-01-01,354,0,354
SICA SICA (VILLA AROMA),consultas prenatales,repetidas,2011-01-01,71,1,72
SICAYA,consultas prenatales,repetidas,2011-01-01,11,0,11
SIPE SIPE,consultas prenatales,repetidas,2011-01-01,306,0,306
SOPACHUY,consultas prenatales,repetidas,2011-01-01,39,10,49
SORACACHI,consultas prenatales,repetidas,2011-01-01,30,11,41
SORATA,consultas prenatales,repetidas,2011-01-01,91,13,104
SUCRE,consultas prenatales,repetidas,2011-01-01,2818,11,2829
TACACHI,consultas prenatales,repetidas,2011-01-01,2,0,2
TACACOMA,consultas prenatales,repetidas,2011-01-01,47,1,48
TACOBAMBA,consultas prenatales,repetidas,2011-01-01,13,4,17
TACOPAYA,consultas prenatales,repetidas,2011-01-01,40,3,43
TAHUA,consultas prenatales,repetidas,2011-01-01,4,0,4
TAPACARI,consultas prenatales,repetidas,2011-01-01,100,14,114
TARABUCO,consultas prenatales,repetidas,2011-01-01,88,18,106
TARACO,consultas prenatales,repetidas,2011-01-01,3,1,4
TARATA,consultas prenatales,repetidas,2011-01-01,81,1,82
TARIJA,consultas prenatales,repetidas,2011-01-01,1987,2,1989
TARVITA,consultas prenatales,repetidas,2011-01-01,70,19,89
TEOPONTE,consultas prenatales,repetidas,2011-01-01,35,3,38
TIAWANACU,consultas prenatales,repetidas,2011-01-01,52,13,65
TINGUIPAYA,consultas prenatales,repetidas,2011-01-01,42,6,48
TIPUANI,consultas prenatales,repetidas,2011-01-01,80,0,80
TIQUIPAYA,consultas prenatales,repetidas,2011-01-01,644,2,646
TIRAQUE (CBBA),consultas prenatales,repetidas,2011-01-01,87,7,94
TITO YUPANQUI (PARQUIPUJIO),consultas prenatales,repetidas,2011-01-01,5,0,5
TOCO,consultas prenatales,repetidas,2011-01-01,34,2,36
TODOS SANTOS,consultas prenatales,repetidas,2011-01-01,1,0,1
TOLATA,consultas prenatales,repetidas,2011-01-01,26,0,26
TOLEDO,consultas prenatales,repetidas,2011-01-01,18,2,20
TOMAVE,consultas prenatales,repetidas,2011-01-01,39,16,55
TOMINA,consultas prenatales,repetidas,2011-01-01,48,8,56
TORO TORO,consultas prenatales,repetidas,2011-01-01,14,2,16
TOTORA(CBBA),consultas prenatales,repetidas,2011-01-01,138,2,140
TOTORA(ORR),consultas prenatales,repetidas,2011-01-01,13,1,14
TRIGAL,consultas prenatales,repetidas,2011-01-01,10,2,12
TRINIDAD,consultas prenatales,repetidas,2011-01-01,1168,10,1178
TUPIZA,consultas prenatales,repetidas,2011-01-01,353,2,355
TURCO,consultas prenatales,repetidas,2011-01-01,9,6,15
UMALA,consultas prenatales,repetidas,2011-01-01,22,7,29
UNCIA,consultas prenatales,repetidas,2011-01-01,99,19,118
URIONDO (A. CONCEPCION),consultas prenatales,repetidas,2011-01-01,77,0,77
URUBICHA,consultas prenatales,repetidas,2011-01-01,51,0,51
UYUNI,consultas prenatales,repetidas,2011-01-01,246,6,252
VACAS,consultas prenatales,repetidas,2011-01-01,47,1,48
VALLEGRANDE,consultas prenatales,repetidas,2011-01-01,118,9,127
VIACHA,consultas prenatales,repetidas,2011-01-01,350,5,355
VILA VILA,consultas prenatales,repetidas,2011-01-01,10,0,10
VILLA CHARCAS,consultas prenatales,repetidas,2011-01-01,80,25,105
VILLA MONTES,consultas prenatales,repetidas,2011-01-01,359,19,378
VILLA NUEVA (LOMA ALTA),consultas prenatales,repetidas,2011-01-01,13,0,13
VILLA RIVERO,consultas prenatales,repetidas,2011-01-01,42,0,42
VILLA SERRANO,consultas prenatales,repetidas,2011-01-01,64,20,84
VILLA TUNARI,consultas prenatales,repetidas,2011-01-01,579,8,587
VILLA VACA GUZMAN (MUYUPAMPA),consultas prenatales,repetidas,2011-01-01,57,16,73
VILLAZON,consultas prenatales,repetidas,2011-01-01,396,13,409
VINTO,consultas prenatales,repetidas,2011-01-01,186,0,186
VITICHI,consultas prenatales,repetidas,2011-01-01,50,7,57
WALDO BALLIVIAN,consultas prenatales,repetidas,2011-01-01,9,0,9
WARNES,consultas prenatales,repetidas,2011-01-01,638,4,642
YACO,consultas prenatales,repetidas,2011-01-01,10,4,14
YACUIBA,consultas prenatales,repetidas,2011-01-01,371,3,374
YAMPARAEZ,consultas prenatales,repetidas,2011-01-01,31,5,36
YANACACHI,consultas prenatales,repetidas,2011-01-01,28,0,28
YAPACANI,consultas prenatales,repetidas,2011-01-01,452,1,453
YOCALLA,consultas prenatales,repetidas,2011-01-01,19,0,19
YOTALA,consultas prenatales,repetidas,2011-01-01,44,2,46
YUNCHARA,consultas prenatales,repetidas,2011-01-01,10,13,23
ZUDAÑEZ,consultas prenatales,repetidas,2011-01-01,26,3,29
ACACIO,consultas prenatales,repetidas,2011-02-01,23,2,25
ACHACACHI,consultas prenatales,repetidas,2011-02-01,171,11,182
ACHOCALLA,consultas prenatales,repetidas,2011-02-01,51,3,54
AIQUILE,consultas prenatales,repetidas,2011-02-01,200,1,201
ALALAY,consultas prenatales,repetidas,2011-02-01,5,3,8
ALCALA,consultas prenatales,repetidas,2011-02-01,20,3,23
ALTO BENI,consultas prenatales,repetidas,2011-02-01,74,11,85
ANCORAIMES,consultas prenatales,repetidas,2011-02-01,36,3,39
ANDAMARCA,consultas prenatales,repetidas,2011-02-01,7,2,9
ANTEQUERA,consultas prenatales,repetidas,2011-02-01,15,1,16
ANZALDO,consultas prenatales,repetidas,2011-02-01,22,7,29
APOLO,consultas prenatales,repetidas,2011-02-01,120,9,129
ARAMPAMPA,consultas prenatales,repetidas,2011-02-01,11,8,19
ARANI,consultas prenatales,repetidas,2011-02-01,108,9,117
ARBIETO,consultas prenatales,repetidas,2011-02-01,40,14,54
ARQUE,consultas prenatales,repetidas,2011-02-01,67,3,70
ASCENCION DE GUARAYOS,consultas prenatales,repetidas,2011-02-01,224,0,224
ATOCHA,consultas prenatales,repetidas,2011-02-01,73,3,76
AUCAPATA,consultas prenatales,repetidas,2011-02-01,15,0,15
AYATA,consultas prenatales,repetidas,2011-02-01,17,13,30
AYO AYO,consultas prenatales,repetidas,2011-02-01,30,0,30
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,repetidas,2011-02-01,104,5,109
AZURDUY,consultas prenatales,repetidas,2011-02-01,34,29,63
BATALLAS,consultas prenatales,repetidas,2011-02-01,55,0,55
BAURES,consultas prenatales,repetidas,2011-02-01,35,0,35
BELEN DE ANDAMARCA,consultas prenatales,repetidas,2011-02-01,1,2,3
BELEN DE URMIRI,consultas prenatales,repetidas,2011-02-01,3,0,3
BELLA FLOR,consultas prenatales,repetidas,2011-02-01,8,4,12
BERMEJO,consultas prenatales,repetidas,2011-02-01,285,0,285
BETANZOS,consultas prenatales,repetidas,2011-02-01,142,14,156
BOLIVAR,consultas prenatales,repetidas,2011-02-01,14,3,17
BOLPEBRA,consultas prenatales,repetidas,2011-02-01,9,0,9
BOYUIBE,consultas prenatales,repetidas,2011-02-01,37,3,40
BUENA VISTA,consultas prenatales,repetidas,2011-02-01,64,1,65
CABEZAS,consultas prenatales,repetidas,2011-02-01,133,1,134
CAIROMA,consultas prenatales,repetidas,2011-02-01,43,6,49
"CAIZA ""D""",consultas prenatales,repetidas,2011-02-01,52,0,52
CAJUATA,consultas prenatales,repetidas,2011-02-01,31,0,31
CALACOTO,consultas prenatales,repetidas,2011-02-01,8,4,12
CALAMARCA,consultas prenatales,repetidas,2011-02-01,49,10,59
CAMARGO,consultas prenatales,repetidas,2011-02-01,88,7,95
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,repetidas,2011-02-01,15,7,22
CAMIRI,consultas prenatales,repetidas,2011-02-01,253,2,255
CAPINOTA,consultas prenatales,repetidas,2011-02-01,167,0,167
CAQUIAVIRI,consultas prenatales,repetidas,2011-02-01,38,14,52
CARACOLLO,consultas prenatales,repetidas,2011-02-01,66,3,69
CARANAVI,consultas prenatales,repetidas,2011-02-01,494,8,502
CARAPARI,consultas prenatales,repetidas,2011-02-01,81,4,85
CARIPUYO,consultas prenatales,repetidas,2011-02-01,39,14,53
CARMEN RIVERO TORREZ,consultas prenatales,repetidas,2011-02-01,37,3,40
CATACORA,consultas prenatales,repetidas,2011-02-01,5,0,5
CHACARILLA,consultas prenatales,repetidas,2011-02-01,2,1,3
CHALLAPATA,consultas prenatales,repetidas,2011-02-01,210,24,234
CHAQUI,consultas prenatales,repetidas,2011-02-01,30,4,34
CHARAGUA,consultas prenatales,repetidas,2011-02-01,198,17,215
CHARAÑA,consultas prenatales,repetidas,2011-02-01,14,1,15
CHAYANTA,consultas prenatales,repetidas,2011-02-01,54,20,74
CHIMORE,consultas prenatales,repetidas,2011-02-01,164,0,164
CHIPAYA,consultas prenatales,repetidas,2011-02-01,5,0,5
CHOQUE COTA,consultas prenatales,repetidas,2011-02-01,1,0,1
