,group,variable,month,MUJER EMBARAZADA VIVAX,MUJER EMBARAZADA VIVAX,MUJER EMBARAZADA FALCIPARUM,MUJER EMBARAZADA FALCIPARUM,TOTALES,TOTALES,TOTALES
VILLA VACA GUZMAN (MUYUPAMPA),malaria,mujer embarazada,2019-05-01,0,10,0,0,0,10,10
EUREKA (SANTOS MERCADO),malaria,mujer embarazada,2019-06-01,0,1,0,0,0,1,1
GUAYARAMERIN,malaria,mujer embarazada,2019-06-01,0,4,0,0,0,4,4
IXIAMAS,malaria,mujer embarazada,2019-06-01,0,3,0,0,0,3,3
MONTERO,malaria,mujer embarazada,2019-06-01,0,0,0,0,0,0,0
POROMA,malaria,mujer embarazada,2019-06-01,0,0,0,2,0,2,2
EL TORNO,malaria,mujer embarazada,2019-07-01,0,1,0,1,0,2,2
EUREKA (SANTOS MERCADO),malaria,mujer embarazada,2019-07-01,0,1,0,0,0,1,1
IXIAMAS,malaria,mujer embarazada,2019-07-01,0,2,0,0,0,2,2
PUERTO RICO,malaria,mujer embarazada,2019-07-01,0,2,0,0,0,2,2
RIBERALTA,malaria,mujer embarazada,2019-07-01,0,4,0,0,0,4,4
SENA,malaria,mujer embarazada,2019-07-01,0,2,0,0,0,2,2
VILLA VACA GUZMAN (MUYUPAMPA),malaria,mujer embarazada,2019-07-01,0,7,0,0,0,7,7
YACUIBA,malaria,mujer embarazada,2019-07-01,0,1,0,0,0,1,1
MACHARETI,malaria,mujer embarazada,2019-08-01,0,2,0,0,0,2,2
REYES,malaria,mujer embarazada,2019-08-01,0,1,0,0,0,1,1
RIBERALTA,malaria,mujer embarazada,2019-08-01,0,2,0,0,0,2,2
GUAYARAMERIN,malaria,mujer embarazada,2019-09-01,0,4,0,0,0,4,4
NUEVO MANOA (NUEVA ESPERANZA),malaria,mujer embarazada,2019-09-01,0,3,0,0,0,3,3
PUERTO RICO,malaria,mujer embarazada,2019-09-01,0,1,0,0,0,1,1
RIBERALTA,malaria,mujer embarazada,2019-09-01,0,5,0,0,0,5,5
SUCRE,malaria,mujer embarazada,2019-09-01,0,3,0,0,0,3,3
VILLA VACA GUZMAN (MUYUPAMPA),malaria,mujer embarazada,2019-09-01,0,4,0,0,0,4,4
GUAYARAMERIN,malaria,mujer embarazada,2019-10-01,0,2,0,0,0,2,2
IXIAMAS,malaria,mujer embarazada,2019-10-01,0,2,0,0,0,2,2
NACEBE (SANTA ROSA DEL ABUNA),malaria,mujer embarazada,2019-10-01,0,1,0,0,0,1,1
RIBERALTA,malaria,mujer embarazada,2019-10-01,0,5,0,0,0,5,5
SAN LORENZO(PND),malaria,mujer embarazada,2019-10-01,0,1,0,0,0,1,1
SUCRE,malaria,mujer embarazada,2019-10-01,0,1,0,0,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),malaria,mujer embarazada,2019-10-01,0,4,0,0,0,4,4
GUAYARAMERIN,malaria,mujer embarazada,2019-11-01,0,2,0,0,0,2,2
IXIAMAS,malaria,mujer embarazada,2019-11-01,0,1,0,0,0,1,1
MACHARETI,malaria,mujer embarazada,2019-11-01,0,1,0,0,0,1,1
MONTERO,malaria,mujer embarazada,2019-11-01,2,0,6,0,8,0,8
RIBERALTA,malaria,mujer embarazada,2019-11-01,0,6,0,0,0,6,6
SENA,malaria,mujer embarazada,2019-11-01,0,2,0,0,0,2,2
VILLA NUEVA (LOMA ALTA),malaria,mujer embarazada,2019-11-01,0,1,0,0,0,1,1
IXIAMAS,malaria,mujer embarazada,2019-12-01,0,1,0,0,0,1,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,mujer embarazada,2019-12-01,0,1,0,0,0,1,1
PUERTO RICO,malaria,mujer embarazada,2019-12-01,0,1,0,0,0,1,1
RIBERALTA,malaria,mujer embarazada,2019-12-01,0,7,0,0,0,7,7
SAN LORENZO(PND),malaria,mujer embarazada,2019-12-01,0,1,0,0,0,1,1
SENA,malaria,mujer embarazada,2019-12-01,0,1,0,0,0,1,1
