,group,variable,month,DE 5 AÑOS Y MÁS VIVAX,DE 5 AÑOS Y MÁS VIVAX,DE 5 AÑOS Y MÁS FALCIPARUM,DE 5 AÑOS Y MÁS FALCIPARUM,TOTALES,TOTALES,TOTALES
EUREKA (SANTOS MERCADO),malaria,de 5 anos y mas,2019-02-01,6,3,0,0,6,3,9
FILADELFIA,malaria,de 5 anos y mas,2019-02-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,de 5 anos y mas,2019-02-01,35,34,0,0,35,34,69
IXIAMAS,malaria,de 5 anos y mas,2019-02-01,51,25,0,0,51,25,76
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 5 anos y mas,2019-02-01,6,1,0,0,6,1,7
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 5 anos y mas,2019-02-01,6,5,0,0,6,5,11
POROMA,malaria,de 5 anos y mas,2019-02-01,3,14,0,0,3,14,17
PORVENIR,malaria,de 5 anos y mas,2019-02-01,0,2,0,0,0,2,2
PUERTO RICO,malaria,de 5 anos y mas,2019-02-01,4,3,0,0,4,3,7
REYES,malaria,de 5 anos y mas,2019-02-01,2,0,0,0,2,0,2
RIBERALTA,malaria,de 5 anos y mas,2019-02-01,113,65,0,0,113,65,178
SAN BUENA VENTURA,malaria,de 5 anos y mas,2019-02-01,2,1,0,0,2,1,3
SAN JOAQUIN,malaria,de 5 anos y mas,2019-02-01,1,0,0,0,1,0,1
SAN LORENZO(PND),malaria,de 5 anos y mas,2019-02-01,9,11,0,0,9,11,20
SAN PEDRO(PND),malaria,de 5 anos y mas,2019-02-01,1,0,0,0,1,0,1
SANTA ROSA,malaria,de 5 anos y mas,2019-02-01,1,1,0,0,1,1,2
SENA,malaria,de 5 anos y mas,2019-02-01,34,16,0,0,34,16,50
SUCRE,malaria,de 5 anos y mas,2019-02-01,1,0,0,0,1,0,1
TRINIDAD,malaria,de 5 anos y mas,2019-02-01,10,0,0,0,10,0,10
VILLA NUEVA (LOMA ALTA),malaria,de 5 anos y mas,2019-02-01,3,0,0,0,3,0,3
YACUIBA,malaria,de 5 anos y mas,2019-02-01,9,6,0,0,9,6,15
BELLA FLOR,malaria,de 5 anos y mas,2019-03-01,2,0,0,0,2,0,2
CARANAVI,malaria,de 5 anos y mas,2019-03-01,2,1,0,0,2,1,3
COBIJA,malaria,de 5 anos y mas,2019-03-01,1,1,0,0,1,1,2
COCHABAMBA,malaria,de 5 anos y mas,2019-03-01,1,0,0,0,1,0,1
EUREKA (SANTOS MERCADO),malaria,de 5 anos y mas,2019-03-01,10,7,0,0,10,7,17
FILADELFIA,malaria,de 5 anos y mas,2019-03-01,0,1,0,0,0,1,1
GUAYARAMERIN,malaria,de 5 anos y mas,2019-03-01,56,26,0,0,56,26,82
INGAVI (HUMAITA),malaria,de 5 anos y mas,2019-03-01,1,1,0,0,1,1,2
IXIAMAS,malaria,de 5 anos y mas,2019-03-01,22,7,0,0,22,7,29
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 5 anos y mas,2019-03-01,5,0,0,0,5,0,5
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 5 anos y mas,2019-03-01,8,5,0,0,8,5,13
POROMA,malaria,de 5 anos y mas,2019-03-01,10,17,0,8,10,25,35
PUERTO GONZALO MORENO,malaria,de 5 anos y mas,2019-03-01,5,2,0,0,5,2,7
PUERTO RICO,malaria,de 5 anos y mas,2019-03-01,2,1,0,0,2,1,3
REYES,malaria,de 5 anos y mas,2019-03-01,1,0,0,0,1,0,1
RIBERALTA,malaria,de 5 anos y mas,2019-03-01,108,50,0,0,108,50,158
RURRENABAQUE,malaria,de 5 anos y mas,2019-03-01,1,0,0,0,1,0,1
SAN LORENZO(PND),malaria,de 5 anos y mas,2019-03-01,11,15,0,0,11,15,26
SANTA ROSA,malaria,de 5 anos y mas,2019-03-01,4,1,0,0,4,1,5
SENA,malaria,de 5 anos y mas,2019-03-01,69,50,0,0,69,50,119
TARIJA,malaria,de 5 anos y mas,2019-03-01,0,1,0,0,0,1,1
VILLA NUEVA (LOMA ALTA),malaria,de 5 anos y mas,2019-03-01,5,1,0,0,5,1,6
YACUIBA,malaria,de 5 anos y mas,2019-03-01,2,0,0,0,2,0,2
COBIJA,malaria,de 5 anos y mas,2019-04-01,0,1,0,0,0,1,1
EUREKA (SANTOS MERCADO),malaria,de 5 anos y mas,2019-04-01,23,7,0,0,23,7,30
FILADELFIA,malaria,de 5 anos y mas,2019-04-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,de 5 anos y mas,2019-04-01,103,62,0,0,103,62,165
INGAVI (HUMAITA),malaria,de 5 anos y mas,2019-04-01,8,7,0,0,8,7,15
IXIAMAS,malaria,de 5 anos y mas,2019-04-01,7,4,0,0,7,4,11
MAGDALENA,malaria,de 5 anos y mas,2019-04-01,2,0,0,0,2,0,2
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 5 anos y mas,2019-04-01,7,3,0,0,7,3,10
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 5 anos y mas,2019-04-01,16,13,0,0,16,13,29
PUERTO GONZALO MORENO,malaria,de 5 anos y mas,2019-04-01,7,0,0,0,7,0,7
PUERTO RICO,malaria,de 5 anos y mas,2019-04-01,3,1,0,0,3,1,4
REYES,malaria,de 5 anos y mas,2019-04-01,9,3,0,0,9,3,12
RIBERALTA,malaria,de 5 anos y mas,2019-04-01,103,44,0,0,103,44,147
RURRENABAQUE,malaria,de 5 anos y mas,2019-04-01,2,0,0,0,2,0,2
SAN BUENA VENTURA,malaria,de 5 anos y mas,2019-04-01,0,1,0,0,0,1,1
SAN LORENZO(PND),malaria,de 5 anos y mas,2019-04-01,13,11,0,0,13,11,24
SAN PEDRO(PND),malaria,de 5 anos y mas,2019-04-01,0,1,0,0,0,1,1
SANTA ROSA,malaria,de 5 anos y mas,2019-04-01,2,0,0,0,2,0,2
SENA,malaria,de 5 anos y mas,2019-04-01,63,21,0,0,63,21,84
TRINIDAD,malaria,de 5 anos y mas,2019-04-01,21,20,0,0,21,20,41
VILLA NUEVA (LOMA ALTA),malaria,de 5 anos y mas,2019-04-01,3,2,0,0,3,2,5
BELLA FLOR,malaria,de 5 anos y mas,2019-05-01,1,0,0,0,1,0,1
CARANAVI,malaria,de 5 anos y mas,2019-05-01,0,2,0,0,0,2,2
COBIJA,malaria,de 5 anos y mas,2019-05-01,4,1,0,0,4,1,5
EUREKA (SANTOS MERCADO),malaria,de 5 anos y mas,2019-05-01,44,18,0,0,44,18,62
FILADELFIA,malaria,de 5 anos y mas,2019-05-01,3,1,0,0,3,1,4
GUAYARAMERIN,malaria,de 5 anos y mas,2019-05-01,91,48,0,0,91,48,139
INGAVI (HUMAITA),malaria,de 5 anos y mas,2019-05-01,7,4,0,0,7,4,11
IXIAMAS,malaria,de 5 anos y mas,2019-05-01,52,11,0,0,52,11,63
MAGDALENA,malaria,de 5 anos y mas,2019-05-01,0,1,0,0,0,1,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 5 anos y mas,2019-05-01,14,4,0,0,14,4,18
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 5 anos y mas,2019-05-01,20,9,0,0,20,9,29
PORVENIR,malaria,de 5 anos y mas,2019-05-01,2,0,0,0,2,0,2
PUERTO GONZALO MORENO,malaria,de 5 anos y mas,2019-05-01,6,1,0,0,6,1,7
PUERTO RICO,malaria,de 5 anos y mas,2019-05-01,21,4,0,0,21,4,25
REYES,malaria,de 5 anos y mas,2019-05-01,4,0,0,0,4,0,4
RIBERALTA,malaria,de 5 anos y mas,2019-05-01,196,95,0,0,196,95,291
SAN BORJA,malaria,de 5 anos y mas,2019-05-01,1,0,0,0,1,0,1
SAN JOAQUIN,malaria,de 5 anos y mas,2019-05-01,4,1,0,0,4,1,5
SAN LORENZO(PND),malaria,de 5 anos y mas,2019-05-01,30,22,0,0,30,22,52
SAN PEDRO(PND),malaria,de 5 anos y mas,2019-05-01,1,0,0,0,1,0,1
SANTA ROSA,malaria,de 5 anos y mas,2019-05-01,1,2,0,0,1,2,3
SENA,malaria,de 5 anos y mas,2019-05-01,72,57,0,0,72,57,129
TRINIDAD,malaria,de 5 anos y mas,2019-05-01,10,18,0,0,10,18,28
VILLA NUEVA (LOMA ALTA),malaria,de 5 anos y mas,2019-05-01,6,1,0,0,6,1,7
VILLA VACA GUZMAN (MUYUPAMPA),malaria,de 5 anos y mas,2019-05-01,1,1,0,0,1,1,2
YACUIBA,malaria,de 5 anos y mas,2019-05-01,2,0,0,0,2,0,2
BELLA FLOR,malaria,de 5 anos y mas,2019-06-01,2,0,0,0,2,0,2
COBIJA,malaria,de 5 anos y mas,2019-06-01,4,2,0,0,4,2,6
CONCEPCION,malaria,de 5 anos y mas,2019-06-01,3,7,0,0,3,7,10
EL TORNO,malaria,de 5 anos y mas,2019-06-01,1,0,0,0,1,0,1
EUREKA (SANTOS MERCADO),malaria,de 5 anos y mas,2019-06-01,17,9,9,5,26,14,40
FILADELFIA,malaria,de 5 anos y mas,2019-06-01,2,3,0,0,2,3,5
GUAYARAMERIN,malaria,de 5 anos y mas,2019-06-01,118,73,0,0,118,73,191
INGAVI (HUMAITA),malaria,de 5 anos y mas,2019-06-01,3,1,0,0,3,1,4
IXIAMAS,malaria,de 5 anos y mas,2019-06-01,56,30,0,0,56,30,86
MAGDALENA,malaria,de 5 anos y mas,2019-06-01,1,0,0,0,1,0,1
MONTERO,malaria,de 5 anos y mas,2019-06-01,0,0,0,0,0,0,0
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 5 anos y mas,2019-06-01,8,4,0,0,8,4,12
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 5 anos y mas,2019-06-01,18,11,0,0,18,11,29
PUERTO GONZALO MORENO,malaria,de 5 anos y mas,2019-06-01,5,1,0,0,5,1,6
PUERTO RICO,malaria,de 5 anos y mas,2019-06-01,12,12,0,0,12,12,24
REYES,malaria,de 5 anos y mas,2019-06-01,4,2,0,0,4,2,6
RIBERALTA,malaria,de 5 anos y mas,2019-06-01,126,77,0,0,126,77,203
SAN BORJA,malaria,de 5 anos y mas,2019-06-01,2,0,0,0,2,0,2
SAN JOAQUIN,malaria,de 5 anos y mas,2019-06-01,12,9,0,0,12,9,21
SAN LORENZO(PND),malaria,de 5 anos y mas,2019-06-01,21,17,0,0,21,17,38
SAN PEDRO(PND),malaria,de 5 anos y mas,2019-06-01,3,0,0,0,3,0,3
SANTA ROSA,malaria,de 5 anos y mas,2019-06-01,3,2,0,0,3,2,5
SENA,malaria,de 5 anos y mas,2019-06-01,67,52,0,0,67,52,119
TRINIDAD,malaria,de 5 anos y mas,2019-06-01,1,3,0,0,1,3,4
VILLA MONTES,malaria,de 5 anos y mas,2019-06-01,15,11,0,0,15,11,26
VILLA NUEVA (LOMA ALTA),malaria,de 5 anos y mas,2019-06-01,2,3,0,0,2,3,5
BELLA FLOR,malaria,de 5 anos y mas,2019-07-01,2,0,0,0,2,0,2
COBIJA,malaria,de 5 anos y mas,2019-07-01,1,2,0,0,1,2,3
EL TORNO,malaria,de 5 anos y mas,2019-07-01,0,0,1,2,1,2,3
EUREKA (SANTOS MERCADO),malaria,de 5 anos y mas,2019-07-01,16,11,0,0,16,11,27
FILADELFIA,malaria,de 5 anos y mas,2019-07-01,4,1,0,0,4,1,5
GUAYARAMERIN,malaria,de 5 anos y mas,2019-07-01,132,83,0,0,132,83,215
INGAVI (HUMAITA),malaria,de 5 anos y mas,2019-07-01,6,2,0,0,6,2,8
IXIAMAS,malaria,de 5 anos y mas,2019-07-01,33,24,0,0,33,24,57
MAGDALENA,malaria,de 5 anos y mas,2019-07-01,5,0,0,0,5,0,5
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 5 anos y mas,2019-07-01,18,9,0,0,18,9,27
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 5 anos y mas,2019-07-01,18,10,1,0,19,10,29
PUERTO GONZALO MORENO,malaria,de 5 anos y mas,2019-07-01,9,1,0,0,9,1,10
PUERTO RICO,malaria,de 5 anos y mas,2019-07-01,15,9,1,0,16,9,25
REYES,malaria,de 5 anos y mas,2019-07-01,1,0,0,0,1,0,1
RIBERALTA,malaria,de 5 anos y mas,2019-07-01,165,103,0,0,165,103,268
SAN JOAQUIN,malaria,de 5 anos y mas,2019-07-01,2,6,0,0,2,6,8
SAN LORENZO(PND),malaria,de 5 anos y mas,2019-07-01,22,13,0,0,22,13,35
SANTA ROSA,malaria,de 5 anos y mas,2019-07-01,5,1,0,0,5,1,6
SENA,malaria,de 5 anos y mas,2019-07-01,53,25,0,0,53,25,78
SUCRE,malaria,de 5 anos y mas,2019-07-01,1,0,0,0,1,0,1
VILLA MONTES,malaria,de 5 anos y mas,2019-07-01,11,16,0,0,11,16,27
VILLA NUEVA (LOMA ALTA),malaria,de 5 anos y mas,2019-07-01,3,1,1,0,4,1,5
BELLA FLOR,malaria,de 5 anos y mas,2019-08-01,1,1,0,0,1,1,2
COBIJA,malaria,de 5 anos y mas,2019-08-01,3,2,0,0,3,2,5
EUREKA (SANTOS MERCADO),malaria,de 5 anos y mas,2019-08-01,13,12,0,0,13,12,25
FILADELFIA,malaria,de 5 anos y mas,2019-08-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,de 5 anos y mas,2019-08-01,127,78,1,0,128,78,206
INGAVI (HUMAITA),malaria,de 5 anos y mas,2019-08-01,9,6,0,0,9,6,15
IXIAMAS,malaria,de 5 anos y mas,2019-08-01,16,9,0,0,16,9,25
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 5 anos y mas,2019-08-01,17,7,0,0,17,7,24
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 5 anos y mas,2019-08-01,21,17,0,0,21,17,38
PUERTO GONZALO MORENO,malaria,de 5 anos y mas,2019-08-01,1,0,0,0,1,0,1
PUERTO RICO,malaria,de 5 anos y mas,2019-08-01,10,2,0,0,10,2,12
REYES,malaria,de 5 anos y mas,2019-08-01,1,2,0,0,1,2,3
RIBERALTA,malaria,de 5 anos y mas,2019-08-01,71,51,1,0,72,51,123
RURRENABAQUE,malaria,de 5 anos y mas,2019-08-01,2,1,0,0,2,1,3
SAN BORJA,malaria,de 5 anos y mas,2019-08-01,1,0,0,0,1,0,1
SAN BUENA VENTURA,malaria,de 5 anos y mas,2019-08-01,0,1,0,0,0,1,1
SAN IGNACIO DE VELASCO,malaria,de 5 anos y mas,2019-08-01,1,0,0,0,1,0,1
SAN JOAQUIN,malaria,de 5 anos y mas,2019-08-01,4,3,0,0,4,3,7
SAN LORENZO(PND),malaria,de 5 anos y mas,2019-08-01,13,21,0,0,13,21,34
SAN MATIAS,malaria,de 5 anos y mas,2019-08-01,139,180,176,169,315,349,664
SAN PEDRO(PND),malaria,de 5 anos y mas,2019-08-01,1,1,0,0,1,1,2
SANTA ROSA,malaria,de 5 anos y mas,2019-08-01,1,0,0,0,1,0,1
SENA,malaria,de 5 anos y mas,2019-08-01,44,27,0,0,44,27,71
TARIJA,malaria,de 5 anos y mas,2019-08-01,0,0,1,0,1,0,1
VILLA MONTES,malaria,de 5 anos y mas,2019-08-01,17,18,0,0,17,18,35
VILLA NUEVA (LOMA ALTA),malaria,de 5 anos y mas,2019-08-01,1,1,0,0,1,1,2
YACUIBA,malaria,de 5 anos y mas,2019-08-01,1,1,0,0,1,1,2
BELLA FLOR,malaria,de 5 anos y mas,2019-09-01,2,0,0,0,2,0,2
COBIJA,malaria,de 5 anos y mas,2019-09-01,0,3,0,0,0,3,3
EUREKA (SANTOS MERCADO),malaria,de 5 anos y mas,2019-09-01,34,23,0,0,34,23,57
FILADELFIA,malaria,de 5 anos y mas,2019-09-01,3,1,0,0,3,1,4
GUAYARAMERIN,malaria,de 5 anos y mas,2019-09-01,142,67,0,0,142,67,209
INGAVI (HUMAITA),malaria,de 5 anos y mas,2019-09-01,13,17,0,0,13,17,30
IXIAMAS,malaria,de 5 anos y mas,2019-09-01,18,4,0,0,18,4,22
MONTEAGUDO,malaria,de 5 anos y mas,2019-09-01,1,0,0,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 5 anos y mas,2019-09-01,14,6,0,0,14,6,20
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 5 anos y mas,2019-09-01,36,24,0,0,36,24,60
PORVENIR,malaria,de 5 anos y mas,2019-09-01,0,1,0,0,0,1,1
PUERTO RICO,malaria,de 5 anos y mas,2019-09-01,8,7,0,0,8,7,15
REYES,malaria,de 5 anos y mas,2019-09-01,1,1,0,0,1,1,2
RIBERALTA,malaria,de 5 anos y mas,2019-09-01,125,78,0,0,125,78,203
RURRENABAQUE,malaria,de 5 anos y mas,2019-09-01,1,0,0,0,1,0,1
SACABA,malaria,de 5 anos y mas,2019-09-01,1,0,0,0,1,0,1
SAN JOAQUIN,malaria,de 5 anos y mas,2019-09-01,1,0,0,0,1,0,1
SAN LORENZO(PND),malaria,de 5 anos y mas,2019-09-01,12,8,0,0,12,8,20
SAN PEDRO(PND),malaria,de 5 anos y mas,2019-09-01,1,1,0,0,1,1,2
SENA,malaria,de 5 anos y mas,2019-09-01,32,19,5,6,37,25,62
VILLA MONTES,malaria,de 5 anos y mas,2019-09-01,2,0,0,0,2,0,2
VILLA NUEVA (LOMA ALTA),malaria,de 5 anos y mas,2019-09-01,2,2,0,0,2,2,4
VILLA VACA GUZMAN (MUYUPAMPA),malaria,de 5 anos y mas,2019-09-01,11,7,0,0,11,7,18
YACUIBA,malaria,de 5 anos y mas,2019-09-01,0,1,0,0,0,1,1
BELLA FLOR,malaria,de 5 anos y mas,2019-10-01,4,1,0,0,4,1,5
COBIJA,malaria,de 5 anos y mas,2019-10-01,3,0,0,0,3,0,3
EUREKA (SANTOS MERCADO),malaria,de 5 anos y mas,2019-10-01,13,10,0,0,13,10,23
FILADELFIA,malaria,de 5 anos y mas,2019-10-01,4,2,0,0,4,2,6
GUAYARAMERIN,malaria,de 5 anos y mas,2019-10-01,123,60,0,0,123,60,183
INGAVI (HUMAITA),malaria,de 5 anos y mas,2019-10-01,10,12,0,0,10,12,22
IXIAMAS,malaria,de 5 anos y mas,2019-10-01,4,12,0,0,4,12,16
MAGDALENA,malaria,de 5 anos y mas,2019-10-01,1,1,0,0,1,1,2
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 5 anos y mas,2019-10-01,9,4,0,0,9,4,13
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 5 anos y mas,2019-10-01,3,4,0,0,3,4,7
PORVENIR,malaria,de 5 anos y mas,2019-10-01,0,1,0,0,0,1,1
PUERTO GONZALO MORENO,malaria,de 5 anos y mas,2019-10-01,3,1,0,0,3,1,4
PUERTO RICO,malaria,de 5 anos y mas,2019-10-01,11,6,0,0,11,6,17
REYES,malaria,de 5 anos y mas,2019-10-01,2,3,0,0,2,3,5
RIBERALTA,malaria,de 5 anos y mas,2019-10-01,210,117,0,0,210,117,327
SAN BORJA,malaria,de 5 anos y mas,2019-10-01,1,0,0,0,1,0,1
SAN JOAQUIN,malaria,de 5 anos y mas,2019-10-01,4,2,0,0,4,2,6
SAN LORENZO(PND),malaria,de 5 anos y mas,2019-10-01,14,19,0,0,14,19,33
SAN PEDRO(PND),malaria,de 5 anos y mas,2019-10-01,0,2,0,0,0,2,2
SANTA ROSA,malaria,de 5 anos y mas,2019-10-01,3,2,0,0,3,2,5
SENA,malaria,de 5 anos y mas,2019-10-01,56,43,0,0,56,43,99
VILLA MONTES,malaria,de 5 anos y mas,2019-10-01,7,13,0,0,7,13,20
VILLA NUEVA (LOMA ALTA),malaria,de 5 anos y mas,2019-10-01,6,0,0,0,6,0,6
VILLA VACA GUZMAN (MUYUPAMPA),malaria,de 5 anos y mas,2019-10-01,0,1,0,0,0,1,1
YACUIBA,malaria,de 5 anos y mas,2019-10-01,2,0,0,0,2,0,2
BAURES,malaria,de 5 anos y mas,2019-11-01,1,0,0,0,1,0,1
BELLA FLOR,malaria,de 5 anos y mas,2019-11-01,1,0,0,0,1,0,1
COBIJA,malaria,de 5 anos y mas,2019-11-01,4,1,0,0,4,1,5
EUREKA (SANTOS MERCADO),malaria,de 5 anos y mas,2019-11-01,31,12,0,0,31,12,43
FILADELFIA,malaria,de 5 anos y mas,2019-11-01,7,1,0,0,7,1,8
GUAYARAMERIN,malaria,de 5 anos y mas,2019-11-01,123,69,0,0,123,69,192
INGAVI (HUMAITA),malaria,de 5 anos y mas,2019-11-01,3,5,0,0,3,5,8
IXIAMAS,malaria,de 5 anos y mas,2019-11-01,12,10,0,0,12,10,22
MACHARETI,malaria,de 5 anos y mas,2019-11-01,0,1,0,0,0,1,1
MONTERO,malaria,de 5 anos y mas,2019-11-01,14,0,22,0,36,0,36
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 5 anos y mas,2019-11-01,16,8,0,0,16,8,24
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 5 anos y mas,2019-11-01,52,29,6,3,58,32,90
OMEREQUE,malaria,de 5 anos y mas,2019-11-01,1,0,0,0,1,0,1
PUERTO GONZALO MORENO,malaria,de 5 anos y mas,2019-11-01,1,0,0,0,1,0,1
PUERTO RICO,malaria,de 5 anos y mas,2019-11-01,38,17,0,0,38,17,55
REYES,malaria,de 5 anos y mas,2019-11-01,1,2,0,0,1,2,3
RIBERALTA,malaria,de 5 anos y mas,2019-11-01,169,90,0,0,169,90,259
RURRENABAQUE,malaria,de 5 anos y mas,2019-11-01,0,1,0,0,0,1,1
SAN JOAQUIN,malaria,de 5 anos y mas,2019-11-01,5,0,0,0,5,0,5
SAN LORENZO(PND),malaria,de 5 anos y mas,2019-11-01,20,22,0,0,20,22,42
SAN PEDRO(PND),malaria,de 5 anos y mas,2019-11-01,3,0,0,0,3,0,3
SANTA ANA,malaria,de 5 anos y mas,2019-11-01,0,1,0,0,0,1,1
SANTA ROSA,malaria,de 5 anos y mas,2019-11-01,4,2,0,0,4,2,6
SENA,malaria,de 5 anos y mas,2019-11-01,59,41,0,0,59,41,100
VILLA NUEVA (LOMA ALTA),malaria,de 5 anos y mas,2019-11-01,6,3,0,0,6,3,9
BELLA FLOR,malaria,de 5 anos y mas,2019-12-01,5,1,0,0,5,1,6
CARANAVI,malaria,de 5 anos y mas,2019-12-01,1,1,0,0,1,1,2
COBIJA,malaria,de 5 anos y mas,2019-12-01,3,1,0,0,3,1,4
EUREKA (SANTOS MERCADO),malaria,de 5 anos y mas,2019-12-01,19,6,0,0,19,6,25
FILADELFIA,malaria,de 5 anos y mas,2019-12-01,4,3,0,0,4,3,7
GUAYARAMERIN,malaria,de 5 anos y mas,2019-12-01,89,43,0,0,89,43,132
INGAVI (HUMAITA),malaria,de 5 anos y mas,2019-12-01,0,3,0,0,0,3,3
IXIAMAS,malaria,de 5 anos y mas,2019-12-01,21,16,0,0,21,16,37
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 5 anos y mas,2019-12-01,30,10,0,0,30,10,40
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 5 anos y mas,2019-12-01,7,7,0,0,7,7,14
PUERTO GONZALO MORENO,malaria,de 5 anos y mas,2019-12-01,3,0,0,0,3,0,3
PUERTO RICO,malaria,de 5 anos y mas,2019-12-01,44,7,0,0,44,7,51
REYES,malaria,de 5 anos y mas,2019-12-01,2,2,0,0,2,2,4
RIBERALTA,malaria,de 5 anos y mas,2019-12-01,183,111,0,1,183,112,295
RURRENABAQUE,malaria,de 5 anos y mas,2019-12-01,2,0,0,0,2,0,2
SAN BORJA,malaria,de 5 anos y mas,2019-12-01,0,1,0,0,0,1,1
SAN BUENA VENTURA,malaria,de 5 anos y mas,2019-12-01,1,0,0,0,1,0,1
SAN IGNACIO,malaria,de 5 anos y mas,2019-12-01,1,0,0,0,1,0,1
SAN JOAQUIN,malaria,de 5 anos y mas,2019-12-01,1,0,0,0,1,0,1
SAN LORENZO(PND),malaria,de 5 anos y mas,2019-12-01,20,17,0,0,20,17,37
SAN PEDRO(PND),malaria,de 5 anos y mas,2019-12-01,0,1,0,0,0,1,1
SANTA ROSA,malaria,de 5 anos y mas,2019-12-01,9,7,0,0,9,7,16
SENA,malaria,de 5 anos y mas,2019-12-01,45,28,0,0,45,28,73
TARIJA,malaria,de 5 anos y mas,2019-12-01,2,0,6,11,8,11,19
VILLA NUEVA (LOMA ALTA),malaria,de 5 anos y mas,2019-12-01,16,5,0,0,16,5,21
