,group,variable,month,DE 1 A MENORES DE 5 AÑOS VIVAX,DE 1 A MENORES DE 5 AÑOS VIVAX,DE 1 A MENORES DE 5 AÑOS FALCIPARUM,DE 1 A MENORES DE 5 AÑOS FALCIPARUM,TOTALES,TOTALES,TOTALES
IXIAMAS,malaria,de 1 a menores de 5 anos,2019-03-01,2,1,0,0,2,1,3
PUERTO GONZALO MORENO,malaria,de 1 a menores de 5 anos,2019-03-01,1,0,0,0,1,0,1
RIBERALTA,malaria,de 1 a menores de 5 anos,2019-03-01,3,1,0,0,3,1,4
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2019-03-01,1,1,0,0,1,1,2
SANTA ROSA,malaria,de 1 a menores de 5 anos,2019-03-01,0,1,0,0,0,1,1
SENA,malaria,de 1 a menores de 5 anos,2019-03-01,9,6,0,0,9,6,15
EUREKA (SANTOS MERCADO),malaria,de 1 a menores de 5 anos,2019-04-01,2,0,0,0,2,0,2
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2019-04-01,0,3,0,0,0,3,3
INGAVI (HUMAITA),malaria,de 1 a menores de 5 anos,2019-04-01,0,1,0,0,0,1,1
IXIAMAS,malaria,de 1 a menores de 5 anos,2019-04-01,2,2,0,0,2,2,4
RIBERALTA,malaria,de 1 a menores de 5 anos,2019-04-01,2,4,0,0,2,4,6
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2019-04-01,2,2,0,0,2,2,4
SENA,malaria,de 1 a menores de 5 anos,2019-04-01,6,2,0,0,6,2,8
VILLA NUEVA (LOMA ALTA),malaria,de 1 a menores de 5 anos,2019-04-01,4,1,0,0,4,1,5
YACUIBA,malaria,de 1 a menores de 5 anos,2019-04-01,0,1,0,0,0,1,1
EUREKA (SANTOS MERCADO),malaria,de 1 a menores de 5 anos,2019-05-01,4,2,0,0,4,2,6
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2019-05-01,3,0,0,0,3,0,3
IXIAMAS,malaria,de 1 a menores de 5 anos,2019-05-01,5,4,0,0,5,4,9
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 1 a menores de 5 anos,2019-05-01,1,1,0,0,1,1,2
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 1 a menores de 5 anos,2019-05-01,0,1,0,0,0,1,1
PUERTO RICO,malaria,de 1 a menores de 5 anos,2019-05-01,2,0,0,0,2,0,2
RIBERALTA,malaria,de 1 a menores de 5 anos,2019-05-01,8,8,0,0,8,8,16
RURRENABAQUE,malaria,de 1 a menores de 5 anos,2019-05-01,0,1,0,0,0,1,1
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2019-05-01,1,1,0,0,1,1,2
SANTA ROSA,malaria,de 1 a menores de 5 anos,2019-05-01,0,1,0,0,0,1,1
SENA,malaria,de 1 a menores de 5 anos,2019-05-01,6,3,0,0,6,3,9
YACUIBA,malaria,de 1 a menores de 5 anos,2019-05-01,1,0,0,0,1,0,1
COBIJA,malaria,de 1 a menores de 5 anos,2019-06-01,1,0,0,0,1,0,1
CONCEPCION,malaria,de 1 a menores de 5 anos,2019-06-01,1,0,0,0,1,0,1
EUREKA (SANTOS MERCADO),malaria,de 1 a menores de 5 anos,2019-06-01,2,3,0,0,2,3,5
FILADELFIA,malaria,de 1 a menores de 5 anos,2019-06-01,1,1,0,0,1,1,2
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2019-06-01,6,3,0,0,6,3,9
IXIAMAS,malaria,de 1 a menores de 5 anos,2019-06-01,8,3,0,0,8,3,11
MONTERO,malaria,de 1 a menores de 5 anos,2019-06-01,0,0,0,0,0,0,0
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 1 a menores de 5 anos,2019-06-01,0,1,0,0,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 1 a menores de 5 anos,2019-06-01,2,0,0,0,2,0,2
REYES,malaria,de 1 a menores de 5 anos,2019-06-01,0,1,0,0,0,1,1
RIBERALTA,malaria,de 1 a menores de 5 anos,2019-06-01,4,3,0,0,4,3,7
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2019-06-01,3,2,0,0,3,2,5
SENA,malaria,de 1 a menores de 5 anos,2019-06-01,7,8,0,0,7,8,15
VILLA MONTES,malaria,de 1 a menores de 5 anos,2019-06-01,1,1,0,0,1,1,2
VILLA NUEVA (LOMA ALTA),malaria,de 1 a menores de 5 anos,2019-06-01,2,2,0,0,2,2,4
EUREKA (SANTOS MERCADO),malaria,de 1 a menores de 5 anos,2019-07-01,4,1,2,3,6,4,10
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2019-07-01,8,3,0,0,8,3,11
INGAVI (HUMAITA),malaria,de 1 a menores de 5 anos,2019-07-01,0,1,0,0,0,1,1
IXIAMAS,malaria,de 1 a menores de 5 anos,2019-07-01,4,11,0,0,4,11,15
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 1 a menores de 5 anos,2019-07-01,0,1,0,0,0,1,1
PUERTO RICO,malaria,de 1 a menores de 5 anos,2019-07-01,1,0,0,0,1,0,1
RIBERALTA,malaria,de 1 a menores de 5 anos,2019-07-01,4,5,0,0,4,5,9
SAN JOAQUIN,malaria,de 1 a menores de 5 anos,2019-07-01,0,1,0,0,0,1,1
SENA,malaria,de 1 a menores de 5 anos,2019-07-01,10,4,0,0,10,4,14
EUREKA (SANTOS MERCADO),malaria,de 1 a menores de 5 anos,2019-08-01,1,2,0,0,1,2,3
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2019-08-01,9,1,0,0,9,1,10
IXIAMAS,malaria,de 1 a menores de 5 anos,2019-08-01,1,1,0,0,1,1,2
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 1 a menores de 5 anos,2019-08-01,0,1,0,0,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 1 a menores de 5 anos,2019-08-01,2,0,0,0,2,0,2
RIBERALTA,malaria,de 1 a menores de 5 anos,2019-08-01,5,7,0,0,5,7,12
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2019-08-01,1,4,0,0,1,4,5
SENA,malaria,de 1 a menores de 5 anos,2019-08-01,4,6,0,0,4,6,10
VILLA MONTES,malaria,de 1 a menores de 5 anos,2019-08-01,1,3,0,0,1,3,4
VILLA NUEVA (LOMA ALTA),malaria,de 1 a menores de 5 anos,2019-08-01,0,1,0,0,0,1,1
EUREKA (SANTOS MERCADO),malaria,de 1 a menores de 5 anos,2019-09-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2019-09-01,5,6,0,0,5,6,11
INGAVI (HUMAITA),malaria,de 1 a menores de 5 anos,2019-09-01,2,0,0,0,2,0,2
IXIAMAS,malaria,de 1 a menores de 5 anos,2019-09-01,0,1,0,0,0,1,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 1 a menores de 5 anos,2019-09-01,1,0,0,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 1 a menores de 5 anos,2019-09-01,2,2,0,0,2,2,4
PUERTO RICO,malaria,de 1 a menores de 5 anos,2019-09-01,1,0,0,0,1,0,1
RIBERALTA,malaria,de 1 a menores de 5 anos,2019-09-01,11,8,0,0,11,8,19
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2019-09-01,1,2,0,0,1,2,3
SENA,malaria,de 1 a menores de 5 anos,2019-09-01,6,2,1,0,7,2,9
SUCRE,malaria,de 1 a menores de 5 anos,2019-09-01,0,0,0,1,0,1,1
VILLA MONTES,malaria,de 1 a menores de 5 anos,2019-09-01,0,3,0,0,0,3,3
VILLA NUEVA (LOMA ALTA),malaria,de 1 a menores de 5 anos,2019-09-01,0,1,0,0,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),malaria,de 1 a menores de 5 anos,2019-09-01,6,2,0,0,6,2,8
EUREKA (SANTOS MERCADO),malaria,de 1 a menores de 5 anos,2019-10-01,2,0,0,0,2,0,2
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2019-10-01,6,3,0,0,6,3,9
INGAVI (HUMAITA),malaria,de 1 a menores de 5 anos,2019-10-01,3,0,0,0,3,0,3
PUERTO RICO,malaria,de 1 a menores de 5 anos,2019-10-01,2,0,0,0,2,0,2
RIBERALTA,malaria,de 1 a menores de 5 anos,2019-10-01,15,7,0,0,15,7,22
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2019-10-01,2,3,0,0,2,3,5
SENA,malaria,de 1 a menores de 5 anos,2019-10-01,3,10,0,0,3,10,13
VILLA MONTES,malaria,de 1 a menores de 5 anos,2019-10-01,1,1,0,0,1,1,2
EUREKA (SANTOS MERCADO),malaria,de 1 a menores de 5 anos,2019-11-01,5,1,0,0,5,1,6
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2019-11-01,4,4,0,0,4,4,8
IXIAMAS,malaria,de 1 a menores de 5 anos,2019-11-01,1,0,0,0,1,0,1
MONTERO,malaria,de 1 a menores de 5 anos,2019-11-01,0,0,0,1,0,1,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 1 a menores de 5 anos,2019-11-01,2,0,0,0,2,0,2
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 1 a menores de 5 anos,2019-11-01,2,3,1,0,3,3,6
OMEREQUE,malaria,de 1 a menores de 5 anos,2019-11-01,0,2,0,0,0,2,2
REYES,malaria,de 1 a menores de 5 anos,2019-11-01,0,1,0,0,0,1,1
RIBERALTA,malaria,de 1 a menores de 5 anos,2019-11-01,8,4,0,0,8,4,12
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2019-11-01,1,1,0,0,1,1,2
SANTA ANA,malaria,de 1 a menores de 5 anos,2019-11-01,0,1,0,0,0,1,1
SENA,malaria,de 1 a menores de 5 anos,2019-11-01,5,6,0,0,5,6,11
TOMAVE,malaria,de 1 a menores de 5 anos,2019-11-01,0,0,0,1,0,1,1
VILLA NUEVA (LOMA ALTA),malaria,de 1 a menores de 5 anos,2019-11-01,0,1,0,0,0,1,1
YACUIBA,malaria,de 1 a menores de 5 anos,2019-11-01,0,1,0,0,0,1,1
EUREKA (SANTOS MERCADO),malaria,de 1 a menores de 5 anos,2019-12-01,0,1,0,0,0,1,1
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2019-12-01,3,3,0,0,3,3,6
IXIAMAS,malaria,de 1 a menores de 5 anos,2019-12-01,3,1,0,0,3,1,4
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 1 a menores de 5 anos,2019-12-01,2,2,0,0,2,2,4
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 1 a menores de 5 anos,2019-12-01,1,2,0,0,1,2,3
PUERTO GONZALO MORENO,malaria,de 1 a menores de 5 anos,2019-12-01,1,0,0,0,1,0,1
RIBERALTA,malaria,de 1 a menores de 5 anos,2019-12-01,17,10,0,0,17,10,27
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2019-12-01,1,1,0,0,1,1,2
SANTA ROSA,malaria,de 1 a menores de 5 anos,2019-12-01,1,0,0,0,1,0,1
SENA,malaria,de 1 a menores de 5 anos,2019-12-01,2,4,0,0,2,4,6
VILLA NUEVA (LOMA ALTA),malaria,de 1 a menores de 5 anos,2019-12-01,1,0,0,0,1,0,1
