municipality,group,variable,month,Otros,TOTAL
IXIAMAS,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,1,1
LA ASUNTA,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,3,3
LA PAZ,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,271,271
LLALLAGUA,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,25,25
MAGDALENA,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,6,6
MAIRANA,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,1,1
MONTEAGUDO,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,10,10
MONTERO,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,102,102
ORURO,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,58,58
PADILLA,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,7,7
PORTACHUELO,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,48,48
POTOSI,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,44,44
PUERTO RICO,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,1,1
PUERTO SUAREZ,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,1,1
PUERTO VILLARROEL,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,6,6
PUNATA,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,23,23
QUILLACOLLO,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,33,33
REYES,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,1,1
RIBERALTA,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,15,15
ROBORE,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,1,1
RURRENABAQUE,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,3,3
SACABA,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,30,30
SAMAIPATA,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,1,1
SAN BORJA,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,5,5
SAN CARLOS,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,8,8
SAN IGNACIO,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,2,2
SAN IGNACIO DE VELASCO,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,62,62
SAN JOAQUIN,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,3,3
SAN JOSE DE CHIQUITOS,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,1,1
SAN JUAN DE YAPACANI,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,2,2
SAN JULIAN,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,13,13
SAN LORENZO(TJA),diagnostico de egreso en menores de 5 anos,otros,2005-01-01,2,2
SAN LUCAS,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,1,1
SAN MATIAS,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,1,1
SAN MIGUEL DE VELASCO,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,1,1
SAN PEDRO,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,12,12
SAN RAFAEL,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,1,1
SAN RAMON,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,3,3
SANTA ANA,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,2,2
SANTA CRUZ DE LA SIERRA,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,661,661
SANTA ROSA DEL SARA,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,3,3
SOPACHUY,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,4,4
SUCRE,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,159,159
TARABUCO,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,4,4
TARIJA,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,86,86
TIQUIPAYA,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,5,5
TIRAQUE (CBBA),diagnostico de egreso en menores de 5 anos,otros,2005-01-01,17,17
TOTORA(CBBA),diagnostico de egreso en menores de 5 anos,otros,2005-01-01,5,5
TRINIDAD,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,119,119
TUPIZA,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,41,41
UNCIA,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,27,27
VALLEGRANDE,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,7,7
VILLA MONTES,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,22,22
VILLA TUNARI,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,8,8
VILLAZON,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,20,20
WARNES,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,1,1
YACUIBA,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,50,50
YAPACANI,diagnostico de egreso en menores de 5 anos,otros,2005-01-01,30,30
ACHACACHI,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,2,2
AIQUILE,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,10,10
APOLO,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,1,1
ASCENCION DE GUARAYOS,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,14,14
ATOCHA,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,6,6
AZURDUY,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,1,1
BERMEJO,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,20,20
BETANZOS,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,2,2
BOYUIBE,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,1,1
CABEZAS,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,1,1
CAMARGO,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,5,5
CAMATAQUI (C. VILLA ABECIA),diagnostico de egreso en menores de 5 anos,otros,2005-02-01,1,1
CAMIRI,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,43,43
CAPINOTA,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,1,1
CARANAVI,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,8,8
CHALLAPATA,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,2,2
CHARAGUA,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,12,12
CHUMA,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,1,1
COBIJA,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,13,13
COCHABAMBA,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,193,193
COLCAPIRHUA,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,6,6
COMARAPA,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,9,9
COROICO,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,10,10
COTOCA,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,2,2
CUEVO,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,1,1
EL ALTO,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,223,223
EL TORNO,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,1,1
ENTRE RIOS,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,1,1
FERNANDEZ ALONSO,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,324,324
GUAYARAMERIN,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,28,28
HUANUNI,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,2,2
LA ASUNTA,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,1,1
LA PAZ,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,238,238
LLALLAGUA,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,17,17
MAIRANA,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,3,3
MIZQUE,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,1,1
MOJOCOYA,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,1,1
MONTEAGUDO,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,11,11
MONTERO,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,96,96
OCURI,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,1,1
ORURO,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,44,44
PADILLA,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,11,11
PALOS BLANCOS,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,2,2
PAPEL PAMPA,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,1,1
PORTACHUELO,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,2,2
POTOSI,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,60,60
PUERTO ACOSTA,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,4,4
PUERTO RICO,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,1,1
PUERTO SUAREZ,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,2,2
PUERTO VILLARROEL,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,8,8
PUNATA,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,32,32
QUILLACOLLO,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,22,22
RIBERALTA,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,43,43
ROBORE,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,1,1
SACABA,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,28,28
SAN BORJA,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,10,10
SAN CARLOS,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,1,1
SAN IGNACIO,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,1,1
SAN IGNACIO DE VELASCO,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,73,73
SAN JOAQUIN,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,1,1
SAN JOSE DE CHIQUITOS,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,1,1
SAN JULIAN,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,9,9
SAN LORENZO(TJA),diagnostico de egreso en menores de 5 anos,otros,2005-02-01,1,1
SAN LUCAS,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,1,1
SAN RAFAEL,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,1,1
SAN RAMON,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,4,4
SAN RAMON,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,7,7
SANTA ANA,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,5,5
SANTA CRUZ DE LA SIERRA,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,693,693
SANTA ROSA,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,1,1
SUCRE,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,136,136
TARABUCO,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,2,2
TARIJA,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,96,96
TIQUIPAYA,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,2,2
TIRAQUE (CBBA),diagnostico de egreso en menores de 5 anos,otros,2005-02-01,26,26
TRINIDAD,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,102,102
TUPIZA,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,17,17
UNCIA,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,6,6
VALLEGRANDE,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,5,5
VILLA MONTES,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,16,16
VILLA TUNARI,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,8,8
VILLA VACA GUZMAN (MUYUPAMPA),diagnostico de egreso en menores de 5 anos,otros,2005-02-01,1,1
VILLAZON,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,18,18
WARNES,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,3,3
YACUIBA,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,51,51
YAPACANI,diagnostico de egreso en menores de 5 anos,otros,2005-02-01,19,19
ACHACACHI,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,3,3
AIQUILE,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,8,8
ASCENCION DE GUARAYOS,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,17,17
ATOCHA,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,3,3
BAURES,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,3,3
BERMEJO,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,8,8
BETANZOS,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,2,2
BUENA VISTA,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,1,1
CAMIRI,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,48,48
CARANAVI,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,8,8
CHALLAPATA,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,10,10
CHARAGUA,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,9,9
COBIJA,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,19,19
COCHABAMBA,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,196,196
COLCAPIRHUA,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,2,2
COMARAPA,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,13,13
CONCEPCION,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,1,1
COROICO,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,15,15
COTAGAITA,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,1,1
COTOCA,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,2,2
EL ALTO,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,185,185
ENTRE RIOS,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,1,1
GUAYARAMERIN,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,85,85
HUANUNI,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,4,4
INCAHUASI,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,2,2
LA ASUNTA,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,4,4
LA GUARDIA,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,1,1
LA PAZ,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,346,346
LLALLAGUA,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,33,33
MAIRANA,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,4,4
MOJOCOYA,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,2,2
MONTEAGUDO,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,8,8
MONTERO,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,107,107
ORURO,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,52,52
PADILLA,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,2,2
PAILON,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,1,1
PALOS BLANCOS,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,1,1
PORTACHUELO,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,2,2
POTOSI,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,56,56
PUERTO ACOSTA,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,2,2
PUERTO QUIJARRO,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,8,8
PUERTO RICO,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,4,4
PUERTO SUAREZ,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,3,3
PUERTO VILLARROEL,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,8,8
PUNATA,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,8,8
QUILLACOLLO,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,34,34
RIBERALTA,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,23,23
ROBORE,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,4,4
RURRENABAQUE,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,2,2
SACABA,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,21,21
SAN BORJA,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,3,3
SAN CARLOS,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,10,10
SAN IGNACIO,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,2,2
SAN IGNACIO DE VELASCO,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,68,68
SAN JOAQUIN,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,5,5
SAN JOSE DE CHIQUITOS,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,1,1
SAN JULIAN,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,10,10
SAN LORENZO(TJA),diagnostico de egreso en menores de 5 anos,otros,2005-03-01,4,4
SAN LUCAS,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,2,2
SAN MATIAS,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,4,4
SAN MIGUEL DE VELASCO,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,2,2
SAN RAMON,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,1,1
SANTA ANA,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,1,1
SANTA CRUZ DE LA SIERRA,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,811,811
SANTA ROSA,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,2,2
SENA,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,1,1
SOPACHUY,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,5,5
SUCRE,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,175,175
TARABUCO,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,3,3
TARIJA,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,126,126
TIQUIPAYA,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,3,3
TIRAQUE (CBBA),diagnostico de egreso en menores de 5 anos,otros,2005-03-01,7,7
TORO TORO,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,1,1
TRINIDAD,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,207,207
TUPIZA,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,20,20
UNCIA,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,11,11
VALLEGRANDE,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,7,7
VILLA MONTES,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,13,13
VILLA TUNARI,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,7,7
VILLAZON,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,23,23
WARNES,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,4,4
YACUIBA,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,41,41
YAPACANI,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,20,20
YOTALA,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,3,3
ZUDAÑEZ,diagnostico de egreso en menores de 5 anos,otros,2005-03-01,1,1
ACHACACHI,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,4,4
AIQUILE,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,10,10
ASCENCION DE GUARAYOS,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,25,25
ATOCHA,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,6,6
BERMEJO,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,14,14
BETANZOS,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,4,4
BUENA VISTA,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,1,1
CABEZAS,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,1,1
CAMARGO,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,9,9
CAMIRI,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,77,77
CARANAVI,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,12,12
CHALLAPATA,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,6,6
CHARAGUA,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,8,8
CLIZA,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,1,1
COBIJA,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,16,16
COCHABAMBA,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,199,199
COLCAPIRHUA,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,4,4
"COLCHA ""K""",diagnostico de egreso en menores de 5 anos,otros,2005-04-01,4,4
COMARAPA,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,8,8
CONCEPCION,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,2,2
COROICO,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,15,15
COTOCA,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,1,1
EL ALTO,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,159,159
ENTRE RIOS,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,1,1
GUAYARAMERIN,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,108,108
HUANUNI,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,2,2
INCAHUASI,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,1,1
LA ASUNTA,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,2,2
LA GUARDIA,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,7,7
LA PAZ,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,383,383
LLALLAGUA,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,34,34
MAGDALENA,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,3,3
MAIRANA,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,2,2
MAPIRI,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,1,1
MONTEAGUDO,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,12,12
MONTERO,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,109,109
ORURO,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,52,52
PADILLA,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,17,17
PAILON,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,3,3
PORTACHUELO,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,44,44
POTOSI,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,65,65
PUERTO QUIJARRO,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,3,3
PUERTO RICO,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,1,1
PUERTO SUAREZ,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,4,4
PUERTO VILLARROEL,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,12,12
PUNATA,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,48,48
QUILLACOLLO,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,48,48
REYES,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,1,1
RIBERALTA,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,104,104
RURRENABAQUE,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,3,3
SACABA,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,34,34
SACACA,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,1,1
SAN BORJA,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,3,3
SAN CARLOS,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,12,12
SAN IGNACIO,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,18,18
SAN IGNACIO DE VELASCO,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,71,71
SAN JOAQUIN,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,4,4
SAN JOSE DE CHIQUITOS,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,2,2
SAN JULIAN,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,8,8
SAN LORENZO(TJA),diagnostico de egreso en menores de 5 anos,otros,2005-04-01,1,1
SAN LUCAS,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,2,2
SAN MATIAS,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,1,1
SAN RAMON,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,2,2
SAN RAMON,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,9,9
SANTA ANA,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,4,4
SANTA CRUZ DE LA SIERRA,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,627,627
SANTA ROSA,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,2,2
SENA,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,1,1
SIPE SIPE,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,1,1
SOPACHUY,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,7,7
SUCRE,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,148,148
TARABUCO,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,1,1
TARIJA,diagnostico de egreso en menores de 5 anos,otros,2005-04-01,104,104
