,group,variable,month,CONSULTAS NUEVAS DE 60 AÑOS Y MÁS CANTIDAD,CONSULTAS NUEVAS DE 60 AÑOS Y MÁS CANTIDAD,TOTALES,TOTALES,TOTALES
CHIMORE,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,4,1,4,1,5
CHIPAYA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,1,0,1,0,1
CHOQUE COTA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,0,3,0,3,3
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,3,3,3,3,6
CHUMA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,13,8,13,8,21
CLIZA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,10,25,10,25,35
COBIJA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,3,11,3,11,14
COCAPATA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,0,1,0,1,1
COCHABAMBA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,519,655,519,655,1174
COIPASA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,0,1,0,1,1
COLCAPIRHUA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,3,6,3,6,9
"COLCHA ""K""",atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,0,1,0,1,1
COLLANA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,0,2,0,2,2
COLPA BELGICA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,3,0,3,0,3
COLQUIRI,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,8,3,8,3,11
COMANCHE,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,1,1,1,1,2
COMARAPA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,2,2,2,2,4
COMBAYA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,0,2,0,2,2
CONCEPCION,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,2,0,2,0,2
COPACABANA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,4,1,4,1,5
CORIPATA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,0,6,0,6,6
CORO CORO,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,1,0,1,0,1
COROICO,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,17,11,17,11,28
CORQUE,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,3,9,3,9,12
COTAGAITA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,23,28,23,28,51
COTOCA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,0,4,0,4,4
CUATRO CAÑADAS,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,306,0,306,0,306
CUEVO,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,2,46,2,46,48
CULPINA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,3,6,3,6,9
CURAHUARA DE CARANGAS,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,4,2,4,2,6
CURVA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,1,0,1,0,1
DESAGUADERO,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,11,5,11,5,16
EL ALTO,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,273,329,273,329,602
EL PUENTE(STC),atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,2,0,2,0,2
EL PUENTE(TJA),atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,4,8,4,8,12
EL TORNO,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,6,3,6,3,9
EL VILLAR,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,0,1,0,1,1
ENTRE RIOS TRJ,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,1,0,1,0,1
ESCOMA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,5,5,5,5,10
EUCALIPTUS,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,10,6,10,6,16
FERNANDEZ ALONSO,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,4,0,4,0,4
FILADELFIA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,1,0,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,3,2,3,2,5
GUANAY,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,0,2,0,2,2
GUAQUI,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,28,19,28,19,47
GUTIERREZ,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,2,2,2,2,4
HUACARETA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,1,0,1,0,1
HUACHACALLA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,5,14,5,14,19
HUARACAJE,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,2,1,2,1,3
HUARINA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,2,1,2,1,3
HUAYLLAMARCA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,9,1,9,1,10
INCAHUASI,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,2,5,2,5,7
INQUISIVI,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,0,4,0,4,4
IRUPANA (VILLA DE LANZA),atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,2,3,2,3,5
JESUS DE MACHACA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,3,18,3,18,21
LA ASUNTA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,3,2,3,2,5
LA GUARDIA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,5,4,5,4,9
LA PAZ,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,1060,1937,1060,1937,2997
LAGUNILLAS,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,1,0,1,0,1
LAJA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,5,109,5,109,114
LAS CARRERAS,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,2,1,2,1,3
LLALLAGUA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,1,2,1,2,3
LLICA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,0,2,0,2,2
LURIBAY,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,1,0,1,0,1
MACHACAMARCA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,5,33,5,33,38
MAGDALENA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,0,32,0,32,32
MALLA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,0,1,0,1,1
MAPIRI,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,0,1,0,1,1
MECAPACA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,1,1,1,1,2
MIZQUE,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,1,1,1,1,2
MOCOMOCO,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,13,3,13,3,16
MOJOCOYA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,0,1,0,1,1
MONTEAGUDO,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,21,17,21,17,38
MONTERO,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,20,15,20,15,35
OCURI,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,0,10,0,10,10
OKINAWA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,2,4,2,4,6
OMEREQUE,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,5,5,5,5,10
ORURO,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,453,121,453,121,574
PADCAYA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,1,2,1,2,3
PADILLA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,1,4,1,4,5
PALCA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,3,6,3,6,9
PALOS BLANCOS,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,10,5,10,5,15
PAMPA AULLAGAS,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,0,3,0,3,3
PAMPA GRANDE,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,1,0,1,0,1
PAPEL PAMPA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,3,6,3,6,9
PASORAPA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,9,11,9,11,20
PATACAMAYA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,4,3,4,3,7
PAZÑA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,2,1,2,1,3
POCONA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,159,0,159,0,159
POJO (CBBA),atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,162,0,162,0,162
POOPO,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,1,18,1,18,19
POROMA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,0,2,0,2,2
PORONGO,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,0,1,0,1,1
PORTACHUELO,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,17,11,17,11,28
PORVENIR,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,1,0,1,0,1
POSTRER VALLE,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,1,3,1,3,4
POTOSI,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,1739,13,1739,13,1752
PUCARANI,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,6,4,6,4,10
PUERTO ACOSTA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,0,1,0,1,1
PUERTO CARABUCO,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,6,28,6,28,34
PUERTO GONZALO MORENO,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,3,0,3,0,3
PUERTO PEREZ,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,1,1,1,1,2
PUERTO RICO,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,9,0,9,0,9
PUERTO VILLARROEL,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,2,3,2,3,5
PUNATA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,5,6,5,6,11
QUILLACOLLO,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,27,33,27,33,60
QUIME,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,2,2,2,2,4
RAVELO,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,1,2,1,2,3
RIBERALTA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,7,22,7,22,29
SABAYA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,1,8,1,8,9
SACABA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,36,20,36,20,56
SACABAMBA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,0,5,0,5,5
SACACA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,1,0,1,0,1
SAIPINA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,0,1,0,1,1
SALINAS DE GARCI MENDOZA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,3,6,3,6,9
SAMAIPATA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,3,3,3,3,6
SAN AGUSTIN,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,0,1,0,1,1
SAN ANDRES DE MACHACA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,28,11,28,11,39
SAN ANTONIO DE LOMERIO,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,190,0,190,0,190
SAN BENITO,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,2,1,2,1,3
SAN BORJA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,2,1,2,1,3
SAN BUENA VENTURA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,8,10,8,10,18
SAN CARLOS,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,2,0,2,0,2
SAN IGNACIO,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,151,147,151,147,298
SAN IGNACIO DE VELASCO,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,13,6,13,6,19
SAN JAVIER(STC),atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,1,2,1,2,3
SAN JOAQUIN,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,1,1,1,1,2
SAN JUAN DE YAPACANI,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,1,2,1,2,3
SAN LORENZO(TJA),atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,16,21,16,21,37
SAN LUCAS,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,1,1,1,1,2
SAN MATIAS,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,17,17,17,17,34
SAN MIGUEL DE VELASCO,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,7,10,7,10,17
SAN PEDRO DE BUENA VISTA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,15,22,15,22,37
SAN PEDRO DE TIQUINA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,0,1,0,1,1
SAN RAFAEL,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,4,0,4,0,4
SAN RAMON SCZ,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,20,25,20,25,45
SANTA CRUZ DE LA SIERRA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,517,436,517,436,953
SANTA ROSA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,0,1,0,1,1
SANTA ROSA DEL SARA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,1,1,1,1,2
SANTIAGO DE HUARI,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,10,11,10,11,21
SANTIAGO DE HUATA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,2,1,2,1,3
SANTIAGO DE MACHACA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,2,0,2,0,2
SANTIVAÑES,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,4,5,4,5,9
SANTUARIO DE QUILLACAS,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,2,5,2,5,7
SAPAHAQUI,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,4,3,4,3,7
SENA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,19,47,19,47,66
SHINAOTA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,2,3,2,3,5
SICA SICA (VILLA AROMA),atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,7,4,7,4,11
SIPE SIPE,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,3,14,3,14,17
SOPACHUY,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,2,5,2,5,7
SORACACHI,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,2,7,2,7,9
SORATA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,14,6,14,6,20
SUCRE,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,232,266,232,266,498
TACACOMA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,5,3,5,3,8
TAHUA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,1,0,1,0,1
TAPACARI,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,67,0,67,0,67
TARABUCO,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,1,7,1,7,8
TARACO,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,2,17,2,17,19
TARATA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,2,2,2,2,4
TARIJA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,50,108,50,108,158
TARVITA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,0,17,0,17,17
TIAWANACU,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,5,5,5,5,10
TIPUANI,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,2,0,2,0,2
TIQUIPAYA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,2,8,2,8,10
TIRAQUE (CBBA),atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,0,2,0,2,2
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,0,1,0,1,1
TOCO,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,2,5,2,5,7
TOLATA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,0,4,0,4,4
TOLEDO,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,1,2,1,2,3
TOMAVE,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,5,0,5,0,5
TOMINA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,11,3,11,3,14
TORO TORO,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,0,3,0,3,3
TOTORA(CBBA),atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,140,0,140,0,140
TOTORA(ORR),atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,4,1,4,1,5
TRINIDAD,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,675,35,675,35,710
TUPIZA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,47,10,47,10,57
TURCO,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,6,4,6,4,10
UMALA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,0,2,0,2,2
URIONDO (A. CONCEPCION),atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,5,4,5,4,9
UYUNI,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,0,3,0,3,3
VACAS,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,6,4,6,4,10
VALLEGRANDE,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,5,2,5,2,7
VIACHA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,1,132,1,132,133
VILLA CHARCAS,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,6,8,6,8,14
VILLA MONTES,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,6,4,6,4,10
VILLA NUEVA (LOMA ALTA),atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,4,10,4,10,14
VILLA RIVERO,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,3,2,3,2,5
VILLA SERRANO,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,2,6,2,6,8
VILLA TUNARI,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,3,4,3,4,7
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,2,8,2,8,10
VILLAZON,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,12,6,12,6,18
VITICHI,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,2,0,2,0,2
WALDO BALLIVIAN,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,0,1,0,1,1
WARNES,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,7,8,7,8,15
YACO,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,1,4,1,4,5
YACUIBA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,236,73,236,73,309
YAMPARAEZ,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,1,1,1,1,2
YANACACHI,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,3,5,3,5,8
YAPACANI,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,8,13,8,13,21
YOTALA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-01-01,0,4,0,4,4
ACACIO,atencion odontologica,consultas nuevas de 60 anos y mas,2010-02-01,0,3,0,3,3
ACHACACHI,atencion odontologica,consultas nuevas de 60 anos y mas,2010-02-01,100,68,100,68,168
AIQUILE,atencion odontologica,consultas nuevas de 60 anos y mas,2010-02-01,11,7,11,7,18
ALCALA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-02-01,0,1,0,1,1
ALTO BENI,atencion odontologica,consultas nuevas de 60 anos y mas,2010-02-01,2,1,2,1,3
ANCORAIMES,atencion odontologica,consultas nuevas de 60 anos y mas,2010-02-01,2,7,2,7,9
ANDAMARCA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-02-01,8,1,8,1,9
ANTEQUERA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-02-01,37,46,37,46,83
ANZALDO,atencion odontologica,consultas nuevas de 60 anos y mas,2010-02-01,0,1,0,1,1
APOLO,atencion odontologica,consultas nuevas de 60 anos y mas,2010-02-01,2,4,2,4,6
ARAMPAMPA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-02-01,1,0,1,0,1
ARANI,atencion odontologica,consultas nuevas de 60 anos y mas,2010-02-01,1,2,1,2,3
ARBIETO,atencion odontologica,consultas nuevas de 60 anos y mas,2010-02-01,8,2,8,2,10
ASCENCION DE GUARAYOS,atencion odontologica,consultas nuevas de 60 anos y mas,2010-02-01,10,15,10,15,25
ATOCHA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-02-01,3,5,3,5,8
AYO AYO,atencion odontologica,consultas nuevas de 60 anos y mas,2010-02-01,0,2,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,consultas nuevas de 60 anos y mas,2010-02-01,1,2,1,2,3
AZURDUY,atencion odontologica,consultas nuevas de 60 anos y mas,2010-02-01,1,0,1,0,1
BATALLAS,atencion odontologica,consultas nuevas de 60 anos y mas,2010-02-01,9,16,9,16,25
BELEN DE URMIRI,atencion odontologica,consultas nuevas de 60 anos y mas,2010-02-01,1,2,1,2,3
BERMEJO,atencion odontologica,consultas nuevas de 60 anos y mas,2010-02-01,20,22,20,22,42
BETANZOS,atencion odontologica,consultas nuevas de 60 anos y mas,2010-02-01,17,40,17,40,57
BOLIVAR,atencion odontologica,consultas nuevas de 60 anos y mas,2010-02-01,2,2,2,2,4
BOLPEBRA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-02-01,2,3,2,3,5
BOYUIBE,atencion odontologica,consultas nuevas de 60 anos y mas,2010-02-01,3,1,3,1,4
BUENA VISTA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-02-01,3,0,3,0,3
CABEZAS,atencion odontologica,consultas nuevas de 60 anos y mas,2010-02-01,1,2,1,2,3
CAIROMA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-02-01,20,19,20,19,39
"CAIZA ""D""",atencion odontologica,consultas nuevas de 60 anos y mas,2010-02-01,19,0,19,0,19
CAJUATA,atencion odontologica,consultas nuevas de 60 anos y mas,2010-02-01,3,2,3,2,5
