,group,variable,month,ACCIONES PREVENTIVAS FUERA DEL ESTABLECIMIENTO CANTIDAD,ACCIONES PREVENTIVAS FUERA DEL ESTABLECIMIENTO CANTIDAD,TOTALES,TOTALES,TOTALES
COMARAPA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,6,6,6,6,12
CORQUE,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,0,2,0,2,2
CUATRO CAÑADAS,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,18,0,18,0,18
CUEVO,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,2,10,2,10,12
CURVA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,4,4,4,4,8
EL ALTO,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,1,1,1,1,2
EL PUENTE(STC),atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,19,20,19,20,39
EL PUENTE(TJA),atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,1,8,1,8,9
EL TORNO,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,9,33,9,33,42
ENTRE RIOS TRJ,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,0,2,0,2,2
ENTRE RIOS CBBA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,4,2,4,2,6
EUCALIPTUS,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,1,0,1,0,1
FILADELFIA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,1,3,1,3,4
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,3,3,3,3,6
GUANAY,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,51,97,51,97,148
GUTIERREZ,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,30,37,30,37,67
HUANUNI,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,11,4,11,4,15
HUARINA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,1,1,1,1,2
HUAYLLAMARCA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,6,4,6,4,10
ICLA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,124,113,124,113,237
IRUPANA (VILLA DE LANZA),atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,33,48,33,48,81
JESUS DE MACHACA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,1,2,1,2,3
LA ASUNTA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,10,5,10,5,15
LA GUARDIA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,19,5,19,5,24
LA PAZ,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,16,26,16,26,42
LAS CARRERAS,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,35,42,35,42,77
LURIBAY,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,5,8,5,8,13
MAGDALENA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,0,3,0,3,3
MAPIRI,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,0,2,0,2,2
MOCOMOCO,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,9,6,9,6,15
MOJOCOYA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,2,1,2,1,3
MONTEAGUDO,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,19,51,19,51,70
MONTERO,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,9,102,9,102,111
MORO MORO,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,21,15,21,15,36
MOROCHATA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,2,1,2,1,3
ORURO,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,4,6,4,6,10
PADCAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,3,5,3,5,8
PALCA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,7,15,7,15,22
PALOS BLANCOS,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,51,80,51,80,131
PAPEL PAMPA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,10,12,10,12,22
POCOATA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,120,31,120,31,151
POCONA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,71,0,71,0,71
POJO (CBBA),atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,97,0,97,0,97
POOPO,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,0,6,0,6,6
POROMA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,21,36,21,36,57
POSTRER VALLE,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,3,3,3,3,6
POTOSI,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,216,12,216,12,228
PUCARANI,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,3,4,3,4,7
PUNATA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,3,3,3,3,6
QUILLACOLLO,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,0,30,0,30,30
QUIME,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,101,120,101,120,221
QUIRUSILLAS,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,8,7,8,7,15
RIBERALTA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,4,5,4,5,9
SACABA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,250,280,250,280,530
SACACA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,4,0,4,0,4
SAIPINA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,8,23,8,23,31
SALINAS DE GARCI MENDOZA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,17,25,17,25,42
SAN ANDRES,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,16,16,16,16,32
SAN ANDRES DE MACHACA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,2,0,2,0,2
SAN BENITO,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,1,15,1,15,16
SAN IGNACIO,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,2,10,2,10,12
SAN JAVIER(BNI),atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,10,24,10,24,34
SAN LORENZO(TJA),atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,4,20,4,20,24
SAN PEDRO DE BUENA VISTA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,4,10,4,10,14
SAN PEDRO DE TIQUINA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,31,42,31,42,73
SAN RAFAEL,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,10,11,10,11,21
SANTA ANA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,24,48,24,48,72
SANTA CRUZ DE LA SIERRA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,438,455,438,455,893
SANTA ROSA DEL SARA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,4,7,4,7,11
SANTIAGO DE CALLAPA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,1,3,1,3,4
SANTIAGO DE HUARI,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,6,4,6,4,10
SANTUARIO DE QUILLACAS,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,6,5,6,5,11
SAPAHAQUI,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,33,25,33,25,58
SICA SICA (VILLA AROMA),atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,6,6,6,6,12
SIPE SIPE,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,1,0,1,0,1
SORACACHI,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,6,16,6,16,22
SORATA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,11,14,11,14,25
SUCRE,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,87,76,87,76,163
TACACOMA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,5,13,5,13,18
TACOPAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,3,1,3,1,4
TAHUA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,6,13,6,13,19
TAPACARI,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,47,0,47,0,47
TARABUCO,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,70,98,70,98,168
TARIJA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,2,3,2,3,5
TARVITA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,4,2,4,2,6
TIQUIPAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,17,17,17,17,34
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,0,1,0,1,1
TOCO,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,6,4,6,4,10
TOLATA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,1,0,1,0,1
TORO TORO,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,14,20,14,20,34
TRINIDAD,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,127,54,127,54,181
TUPIZA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,12,0,12,0,12
URIONDO (A. CONCEPCION),atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,10,14,10,14,24
VIACHA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,302,0,302,0,302
VILLA CHARCAS,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,22,18,22,18,40
VILLA MONTES,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,2,1,2,1,3
VILLA NUEVA (LOMA ALTA),atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,5,4,5,4,9
VILLA TUNARI,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,0,8,0,8,8
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,2,6,2,6,8
VILLAZON,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,7,13,7,13,20
WARNES,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,24,60,24,60,84
YACO,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,1,4,1,4,5
YACUIBA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,85,46,85,46,131
YAPACANI,atencion odontologica,acciones preventivas fuera del establecimiento,2010-01-01,8,12,8,12,20
ACHACACHI,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,195,206,195,206,401
ACHOCALLA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,28,30,28,30,58
AIQUILE,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,66,54,66,54,120
ALALAY,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,10,5,10,5,15
ALCALA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,64,87,64,87,151
ALTO BENI,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,35,39,35,39,74
ANCORAIMES,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,212,226,212,226,438
ANDAMARCA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,4,7,4,7,11
ANTEQUERA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,3,0,3,0,3
APOLO,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,103,91,103,91,194
ARANI,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,272,229,272,229,501
ARBIETO,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,100,100,100,100,200
ASCENCION DE GUARAYOS,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,58,145,58,145,203
ATOCHA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,17,8,17,8,25
AYATA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,21,28,21,28,49
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,0,1,0,1,1
BELLA FLOR,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,8,10,8,10,18
BETANZOS,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,0,8,0,8,8
BOLIVAR,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,27,17,27,17,44
BOLPEBRA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,80,24,80,24,104
BOYUIBE,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,0,20,0,20,20
CABEZAS,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,104,235,104,235,339
CAIROMA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,84,80,84,80,164
CALACOTO,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,12,11,12,11,23
CALAMARCA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,158,119,158,119,277
CAMARGO,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,44,51,44,51,95
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,8,10,8,10,18
CAMIRI,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,437,483,437,483,920
CAPINOTA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,1,0,1,0,1
CAQUIAVIRI,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,10,0,10,0,10
CARACOLLO,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,27,61,27,61,88
CARANAVI,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,76,60,76,60,136
CARAPARI,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,73,52,73,52,125
CARIPUYO,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,20,39,20,39,59
CHARAGUA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,51,43,51,43,94
CHAYANTA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,46,39,46,39,85
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,582,0,582,0,582
CHUMA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,55,58,55,58,113
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,36,20,36,20,56
CKOCHAS,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,5,0,5,0,5
CLIZA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,508,738,508,738,1246
COBIJA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,3,6,3,6,9
COCAPATA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,25,14,25,14,39
COCHABAMBA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,833,1022,833,1022,1855
COLCAPIRHUA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,190,211,190,211,401
COLOMI,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,143,129,143,129,272
COMARAPA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,3,6,3,6,9
COMBAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,45,40,45,40,85
CORIPATA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,25,27,25,27,52
CUEVO,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,139,170,139,170,309
CULPINA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,5,2,5,2,7
CURVA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,17,5,17,5,22
DESAGUADERO,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,17,28,17,28,45
EL ALTO,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,104,76,104,76,180
EL PUENTE(STC),atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,116,104,116,104,220
EL PUENTE(TJA),atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,3,5,3,5,8
EL TORNO,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,133,140,133,140,273
EL VILLAR,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,12,19,12,19,31
ENTRE RIOS TRJ,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,0,1,0,1,1
ENTRE RIOS CBBA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,19,21,19,21,40
EUCALIPTUS,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,0,3,0,3,3
FILADELFIA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,1,1,1,1,2
GENERAL SAAVEDRA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,4,0,4,0,4
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,42,57,42,57,99
GUANAY,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,61,99,61,99,160
GUAYARAMERIN,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,34,30,34,30,64
GUTIERREZ,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,13,17,13,17,30
HUANUNI,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,46,58,46,58,104
HUARINA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,21,25,21,25,46
HUAYLLAMARCA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,2,2,2,2,4
HUMANATA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,1,1,1,1,2
ICHOCA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,0,6,0,6,6
ICLA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,50,50,50,50,100
IRUPANA (VILLA DE LANZA),atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,11,24,11,24,35
IXIAMAS,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,27,42,27,42,69
JESUS DE MACHACA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,2,3,2,3,5
LA ASUNTA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,8,12,8,12,20
LA GUARDIA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,0,7,0,7,7
LA PAZ,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,63,74,63,74,137
LAGUNILLAS,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,13,9,13,9,22
LAS CARRERAS,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,14,60,14,60,74
LLALLAGUA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,324,352,324,352,676
LURIBAY,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,3,1,3,1,4
MACHARETI,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,92,69,92,69,161
MAIRANA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,23,30,23,30,53
MAPIRI,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,8,11,8,11,19
MECAPACA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,12,8,12,8,20
MIZQUE,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,27,18,27,18,45
MOCOMOCO,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,64,72,64,72,136
MOJOCOYA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,10,36,10,36,46
MONTERO,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,182,64,182,64,246
MORO MORO,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,0,3,0,3,3
MOROCHATA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,4,26,4,26,30
ORURO,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,1,0,1,0,1
PALCA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,175,234,175,234,409
PALOS BLANCOS,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,65,71,65,71,136
PAMPA AULLAGAS,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,0,3,0,3,3
PAPEL PAMPA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,42,37,42,37,79
PATACAMAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,28,42,28,42,70
PAZÑA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,2,1,2,1,3
PELECHUCO,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,0,7,0,7,7
POCOATA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,86,38,86,38,124
POCONA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,10,7,10,7,17
PORONGO,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,110,105,110,105,215
PORTACHUELO,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,300,335,300,335,635
POSTRER VALLE,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,6,12,6,12,18
POTOSI,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,28,20,28,20,48
PRESTO,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,13,85,13,85,98
PUCARA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,5,16,5,16,21
PUCARANI,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,9,7,9,7,16
PUERTO GONZALO MORENO,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,0,2,0,2,2
PUERTO RICO,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,38,40,38,40,78
PUERTO SUAREZ,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,9,23,9,23,32
PUERTO VILLARROEL,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,734,636,734,636,1370
PUNA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,0,28,0,28,28
PUNATA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,5,5,5,5,10
QUILLACOLLO,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,36,41,36,41,77
QUIRUSILLAS,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,15,20,15,20,35
RIBERALTA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,22,11,22,11,33
RURRENABAQUE,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,4,16,4,16,20
SACABA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,595,693,595,693,1288
SACABAMBA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,48,36,48,36,84
SAIPINA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,5,5,5,5,10
SALINAS DE GARCI MENDOZA,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,39,28,39,28,67
SAN ANDRES,atencion odontologica,acciones preventivas fuera del establecimiento,2010-02-01,2,0,2,0,2
