,group,variable,month,OTRAS ACCIONES CANTIDAD,OTRAS ACCIONES CANTIDAD,TOTALES,TOTALES,TOTALES
COLQUIRI,atencion odontologica,otras acciones,2010-01-01,23,24,23,24,47
COMANCHE,atencion odontologica,otras acciones,2010-01-01,1,0,1,0,1
COMARAPA,atencion odontologica,otras acciones,2010-01-01,47,15,47,15,62
COPACABANA,atencion odontologica,otras acciones,2010-01-01,3,4,3,4,7
CORIPATA,atencion odontologica,otras acciones,2010-01-01,4,7,4,7,11
CORO CORO,atencion odontologica,otras acciones,2010-01-01,8,3,8,3,11
COROICO,atencion odontologica,otras acciones,2010-01-01,32,35,32,35,67
CORQUE,atencion odontologica,otras acciones,2010-01-01,15,24,15,24,39
COTAGAITA,atencion odontologica,otras acciones,2010-01-01,40,73,40,73,113
CUEVO,atencion odontologica,otras acciones,2010-01-01,4,4,4,4,8
CULPINA,atencion odontologica,otras acciones,2010-01-01,8,22,8,22,30
CURAHUARA DE CARANGAS,atencion odontologica,otras acciones,2010-01-01,33,44,33,44,77
DESAGUADERO,atencion odontologica,otras acciones,2010-01-01,6,8,6,8,14
EL ALTO,atencion odontologica,otras acciones,2010-01-01,1192,1310,1192,1310,2502
EL CHORO,atencion odontologica,otras acciones,2010-01-01,2,7,2,7,9
EL PUENTE(STC),atencion odontologica,otras acciones,2010-01-01,8,4,8,4,12
EL PUENTE(TJA),atencion odontologica,otras acciones,2010-01-01,6,11,6,11,17
EL VILLAR,atencion odontologica,otras acciones,2010-01-01,1,1,1,1,2
ENTRE RIOS TRJ,atencion odontologica,otras acciones,2010-01-01,14,58,14,58,72
ESCOMA,atencion odontologica,otras acciones,2010-01-01,16,17,16,17,33
FERNANDEZ ALONSO,atencion odontologica,otras acciones,2010-01-01,2,3,2,3,5
FILADELFIA,atencion odontologica,otras acciones,2010-01-01,0,10,0,10,10
GENERAL SAAVEDRA,atencion odontologica,otras acciones,2010-01-01,1,5,1,5,6
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,otras acciones,2010-01-01,19,17,19,17,36
GUANAY,atencion odontologica,otras acciones,2010-01-01,1,9,1,9,10
GUAQUI,atencion odontologica,otras acciones,2010-01-01,23,29,23,29,52
GUAYARAMERIN,atencion odontologica,otras acciones,2010-01-01,30,23,30,23,53
GUTIERREZ,atencion odontologica,otras acciones,2010-01-01,21,18,21,18,39
HUACARETA,atencion odontologica,otras acciones,2010-01-01,20,40,20,40,60
HUACHACALLA,atencion odontologica,otras acciones,2010-01-01,16,53,16,53,69
HUANUNI,atencion odontologica,otras acciones,2010-01-01,41,48,41,48,89
HUAYLLAMARCA,atencion odontologica,otras acciones,2010-01-01,12,25,12,25,37
ICLA,atencion odontologica,otras acciones,2010-01-01,15,19,15,19,34
INQUISIVI,atencion odontologica,otras acciones,2010-01-01,9,21,9,21,30
IRUPANA (VILLA DE LANZA),atencion odontologica,otras acciones,2010-01-01,28,33,28,33,61
IXIAMAS,atencion odontologica,otras acciones,2010-01-01,33,27,33,27,60
JESUS DE MACHACA,atencion odontologica,otras acciones,2010-01-01,21,46,21,46,67
LA GUARDIA,atencion odontologica,otras acciones,2010-01-01,1,9,1,9,10
LA PAZ,atencion odontologica,otras acciones,2010-01-01,821,1100,821,1100,1921
LA RIVERA,atencion odontologica,otras acciones,2010-01-01,4,2,4,2,6
LAJA,atencion odontologica,otras acciones,2010-01-01,10,10,10,10,20
LAS CARRERAS,atencion odontologica,otras acciones,2010-01-01,7,15,7,15,22
LLALLAGUA,atencion odontologica,otras acciones,2010-01-01,108,155,108,155,263
LLICA,atencion odontologica,otras acciones,2010-01-01,34,34,34,34,68
LURIBAY,atencion odontologica,otras acciones,2010-01-01,0,1,0,1,1
MACHACAMARCA,atencion odontologica,otras acciones,2010-01-01,33,89,33,89,122
MAGDALENA,atencion odontologica,otras acciones,2010-01-01,46,76,46,76,122
MAPIRI,atencion odontologica,otras acciones,2010-01-01,0,1,0,1,1
MECAPACA,atencion odontologica,otras acciones,2010-01-01,0,1,0,1,1
MINEROS,atencion odontologica,otras acciones,2010-01-01,39,98,39,98,137
MIZQUE,atencion odontologica,otras acciones,2010-01-01,3,9,3,9,12
MOCOMOCO,atencion odontologica,otras acciones,2010-01-01,8,8,8,8,16
MOJOCOYA,atencion odontologica,otras acciones,2010-01-01,5,2,5,2,7
MONTEAGUDO,atencion odontologica,otras acciones,2010-01-01,46,37,46,37,83
MONTERO,atencion odontologica,otras acciones,2010-01-01,12,8,12,8,20
MOROCHATA,atencion odontologica,otras acciones,2010-01-01,2,0,2,0,2
OCURI,atencion odontologica,otras acciones,2010-01-01,7,3,7,3,10
ORURO,atencion odontologica,otras acciones,2010-01-01,707,893,707,893,1600
PADCAYA,atencion odontologica,otras acciones,2010-01-01,11,17,11,17,28
PADILLA,atencion odontologica,otras acciones,2010-01-01,0,6,0,6,6
PALCA,atencion odontologica,otras acciones,2010-01-01,9,9,9,9,18
PAMPA AULLAGAS,atencion odontologica,otras acciones,2010-01-01,17,27,17,27,44
PAMPA GRANDE,atencion odontologica,otras acciones,2010-01-01,24,34,24,34,58
PATACAMAYA,atencion odontologica,otras acciones,2010-01-01,12,37,12,37,49
PAZÑA,atencion odontologica,otras acciones,2010-01-01,25,33,25,33,58
POCONA,atencion odontologica,otras acciones,2010-01-01,5,0,5,0,5
POJO (CBBA),atencion odontologica,otras acciones,2010-01-01,2,0,2,0,2
PORCO,atencion odontologica,otras acciones,2010-01-01,20,52,20,52,72
POROMA,atencion odontologica,otras acciones,2010-01-01,23,42,23,42,65
PORTACHUELO,atencion odontologica,otras acciones,2010-01-01,32,59,32,59,91
PORVENIR,atencion odontologica,otras acciones,2010-01-01,9,28,9,28,37
POSTRER VALLE,atencion odontologica,otras acciones,2010-01-01,20,14,20,14,34
POTOSI,atencion odontologica,otras acciones,2010-01-01,66,152,66,152,218
PUCARA,atencion odontologica,otras acciones,2010-01-01,0,1,0,1,1
PUCARANI,atencion odontologica,otras acciones,2010-01-01,4,4,4,4,8
PUERTO CARABUCO,atencion odontologica,otras acciones,2010-01-01,5,2,5,2,7
PUERTO GONZALO MORENO,atencion odontologica,otras acciones,2010-01-01,5,5,5,5,10
PUERTO VILLARROEL,atencion odontologica,otras acciones,2010-01-01,59,96,59,96,155
PUNA,atencion odontologica,otras acciones,2010-01-01,22,0,22,0,22
PUNATA,atencion odontologica,otras acciones,2010-01-01,21,22,21,22,43
QUILLACOLLO,atencion odontologica,otras acciones,2010-01-01,0,3,0,3,3
RIBERALTA,atencion odontologica,otras acciones,2010-01-01,6,35,6,35,41
SABAYA,atencion odontologica,otras acciones,2010-01-01,32,36,32,36,68
SACABA,atencion odontologica,otras acciones,2010-01-01,66,108,66,108,174
SACACA,atencion odontologica,otras acciones,2010-01-01,0,4,0,4,4
SAIPINA,atencion odontologica,otras acciones,2010-01-01,2,6,2,6,8
SALINAS DE GARCI MENDOZA,atencion odontologica,otras acciones,2010-01-01,10,11,10,11,21
SAMAIPATA,atencion odontologica,otras acciones,2010-01-01,10,33,10,33,43
SAN AGUSTIN,atencion odontologica,otras acciones,2010-01-01,8,2,8,2,10
SAN ANDRES DE MACHACA,atencion odontologica,otras acciones,2010-01-01,10,5,10,5,15
SAN BENITO,atencion odontologica,otras acciones,2010-01-01,20,11,20,11,31
SAN BORJA,atencion odontologica,otras acciones,2010-01-01,11,24,11,24,35
SAN BUENA VENTURA,atencion odontologica,otras acciones,2010-01-01,14,39,14,39,53
SAN IGNACIO,atencion odontologica,otras acciones,2010-01-01,4,3,4,3,7
SAN IGNACIO DE VELASCO,atencion odontologica,otras acciones,2010-01-01,15,12,15,12,27
SAN LORENZO(TJA),atencion odontologica,otras acciones,2010-01-01,7,14,7,14,21
SAN LUCAS,atencion odontologica,otras acciones,2010-01-01,26,41,26,41,67
SAN MIGUEL DE VELASCO,atencion odontologica,otras acciones,2010-01-01,48,86,48,86,134
SAN PEDRO DE BUENA VISTA,atencion odontologica,otras acciones,2010-01-01,2,3,2,3,5
SAN PEDRO DE TIQUINA,atencion odontologica,otras acciones,2010-01-01,2,6,2,6,8
SAN RAFAEL,atencion odontologica,otras acciones,2010-01-01,0,12,0,12,12
SANTA ANA,atencion odontologica,otras acciones,2010-01-01,12,88,12,88,100
SANTA CRUZ DE LA SIERRA,atencion odontologica,otras acciones,2010-01-01,86,165,86,165,251
SANTIAGO DE CALLAPA,atencion odontologica,otras acciones,2010-01-01,1,2,1,2,3
SANTIAGO DE HUARI,atencion odontologica,otras acciones,2010-01-01,14,13,14,13,27
SANTIAGO DE MACHACA,atencion odontologica,otras acciones,2010-01-01,8,13,8,13,21
SANTUARIO DE QUILLACAS,atencion odontologica,otras acciones,2010-01-01,20,26,20,26,46
SICA SICA (VILLA AROMA),atencion odontologica,otras acciones,2010-01-01,2,1,2,1,3
SICAYA,atencion odontologica,otras acciones,2010-01-01,2,0,2,0,2
SOPACHUY,atencion odontologica,otras acciones,2010-01-01,28,44,28,44,72
SORACACHI,atencion odontologica,otras acciones,2010-01-01,26,50,26,50,76
SORATA,atencion odontologica,otras acciones,2010-01-01,21,27,21,27,48
SUCRE,atencion odontologica,otras acciones,2010-01-01,349,446,349,446,795
TACACOMA,atencion odontologica,otras acciones,2010-01-01,24,22,24,22,46
TAHUA,atencion odontologica,otras acciones,2010-01-01,0,6,0,6,6
TAPACARI,atencion odontologica,otras acciones,2010-01-01,13,8,13,8,21
TARABUCO,atencion odontologica,otras acciones,2010-01-01,18,21,18,21,39
TARACO,atencion odontologica,otras acciones,2010-01-01,4,9,4,9,13
TARIJA,atencion odontologica,otras acciones,2010-01-01,412,650,412,650,1062
TARVITA,atencion odontologica,otras acciones,2010-01-01,2,0,2,0,2
TEOPONTE,atencion odontologica,otras acciones,2010-01-01,1,1,1,1,2
TIAWANACU,atencion odontologica,otras acciones,2010-01-01,10,15,10,15,25
TIQUIPAYA,atencion odontologica,otras acciones,2010-01-01,46,104,46,104,150
TIRAQUE (CBBA),atencion odontologica,otras acciones,2010-01-01,36,99,36,99,135
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica,otras acciones,2010-01-01,0,11,0,11,11
TOCO,atencion odontologica,otras acciones,2010-01-01,22,36,22,36,58
TOLATA,atencion odontologica,otras acciones,2010-01-01,9,13,9,13,22
TOLEDO,atencion odontologica,otras acciones,2010-01-01,3,3,3,3,6
TOMAVE,atencion odontologica,otras acciones,2010-01-01,16,9,16,9,25
TOMINA,atencion odontologica,otras acciones,2010-01-01,70,175,70,175,245
TORO TORO,atencion odontologica,otras acciones,2010-01-01,7,10,7,10,17
TOTORA(ORR),atencion odontologica,otras acciones,2010-01-01,18,11,18,11,29
TRINIDAD,atencion odontologica,otras acciones,2010-01-01,33,1,33,1,34
TUPIZA,atencion odontologica,otras acciones,2010-01-01,37,57,37,57,94
TURCO,atencion odontologica,otras acciones,2010-01-01,18,33,18,33,51
UMALA,atencion odontologica,otras acciones,2010-01-01,1,2,1,2,3
URIONDO (A. CONCEPCION),atencion odontologica,otras acciones,2010-01-01,88,198,88,198,286
VALLEGRANDE,atencion odontologica,otras acciones,2010-01-01,26,30,26,30,56
VIACHA,atencion odontologica,otras acciones,2010-01-01,9,6,9,6,15
VILLA CHARCAS,atencion odontologica,otras acciones,2010-01-01,13,20,13,20,33
VILLA MONTES,atencion odontologica,otras acciones,2010-01-01,5,7,5,7,12
VILLA RIVERO,atencion odontologica,otras acciones,2010-01-01,31,29,31,29,60
VILLA SERRANO,atencion odontologica,otras acciones,2010-01-01,6,20,6,20,26
VILLA TUNARI,atencion odontologica,otras acciones,2010-01-01,17,31,17,31,48
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,otras acciones,2010-01-01,0,2,0,2,2
VILLAZON,atencion odontologica,otras acciones,2010-01-01,194,28,194,28,222
VITICHI,atencion odontologica,otras acciones,2010-01-01,2,17,2,17,19
WARNES,atencion odontologica,otras acciones,2010-01-01,13,25,13,25,38
YACUIBA,atencion odontologica,otras acciones,2010-01-01,12,24,12,24,36
YAMPARAEZ,atencion odontologica,otras acciones,2010-01-01,6,10,6,10,16
YANACACHI,atencion odontologica,otras acciones,2010-01-01,13,16,13,16,29
YAPACANI,atencion odontologica,otras acciones,2010-01-01,0,6,0,6,6
YOCALLA,atencion odontologica,otras acciones,2010-01-01,5,8,5,8,13
YOTALA,atencion odontologica,otras acciones,2010-01-01,24,48,24,48,72
YUNCHARA,atencion odontologica,otras acciones,2010-01-01,4,5,4,5,9
ZUDAÑEZ,atencion odontologica,otras acciones,2010-01-01,2,3,2,3,5
ACACIO,atencion odontologica,otras acciones,2010-02-01,20,15,20,15,35
ACHACACHI,atencion odontologica,otras acciones,2010-02-01,26,26,26,26,52
ACHOCALLA,atencion odontologica,otras acciones,2010-02-01,6,4,6,4,10
ALALAY,atencion odontologica,otras acciones,2010-02-01,0,1,0,1,1
ALCALA,atencion odontologica,otras acciones,2010-02-01,35,33,35,33,68
ALTO BENI,atencion odontologica,otras acciones,2010-02-01,6,6,6,6,12
ANCORAIMES,atencion odontologica,otras acciones,2010-02-01,8,4,8,4,12
ANDAMARCA,atencion odontologica,otras acciones,2010-02-01,19,13,19,13,32
APOLO,atencion odontologica,otras acciones,2010-02-01,17,23,17,23,40
ARAMPAMPA,atencion odontologica,otras acciones,2010-02-01,2,1,2,1,3
ARANI,atencion odontologica,otras acciones,2010-02-01,30,72,30,72,102
ARBIETO,atencion odontologica,otras acciones,2010-02-01,1,0,1,0,1
ATOCHA,atencion odontologica,otras acciones,2010-02-01,146,167,146,167,313
AYATA,atencion odontologica,otras acciones,2010-02-01,1,5,1,5,6
AYO AYO,atencion odontologica,otras acciones,2010-02-01,23,47,23,47,70
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,otras acciones,2010-02-01,41,37,41,37,78
AZURDUY,atencion odontologica,otras acciones,2010-02-01,4,26,4,26,30
BATALLAS,atencion odontologica,otras acciones,2010-02-01,0,10,0,10,10
BELEN DE URMIRI,atencion odontologica,otras acciones,2010-02-01,4,4,4,4,8
BELLA FLOR,atencion odontologica,otras acciones,2010-02-01,1,1,1,1,2
BERMEJO,atencion odontologica,otras acciones,2010-02-01,22,16,22,16,38
BETANZOS,atencion odontologica,otras acciones,2010-02-01,2,13,2,13,15
BOLIVAR,atencion odontologica,otras acciones,2010-02-01,9,9,9,9,18
BOLPEBRA,atencion odontologica,otras acciones,2010-02-01,4,0,4,0,4
BUENA VISTA,atencion odontologica,otras acciones,2010-02-01,11,9,11,9,20
CABEZAS,atencion odontologica,otras acciones,2010-02-01,1,0,1,0,1
CAIROMA,atencion odontologica,otras acciones,2010-02-01,7,12,7,12,19
CALACOTO,atencion odontologica,otras acciones,2010-02-01,4,9,4,9,13
CALAMARCA,atencion odontologica,otras acciones,2010-02-01,9,14,9,14,23
CAMARGO,atencion odontologica,otras acciones,2010-02-01,45,115,45,115,160
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,otras acciones,2010-02-01,12,17,12,17,29
CAMIRI,atencion odontologica,otras acciones,2010-02-01,93,177,93,177,270
CAPINOTA,atencion odontologica,otras acciones,2010-02-01,26,43,26,43,69
CAQUIAVIRI,atencion odontologica,otras acciones,2010-02-01,15,25,15,25,40
CARACOLLO,atencion odontologica,otras acciones,2010-02-01,15,27,15,27,42
CARANAVI,atencion odontologica,otras acciones,2010-02-01,79,184,79,184,263
CARIPUYO,atencion odontologica,otras acciones,2010-02-01,11,18,11,18,29
CHALLAPATA,atencion odontologica,otras acciones,2010-02-01,62,51,62,51,113
CHAYANTA,atencion odontologica,otras acciones,2010-02-01,3,4,3,4,7
CHIMORE,atencion odontologica,otras acciones,2010-02-01,6,4,6,4,10
CHIPAYA,atencion odontologica,otras acciones,2010-02-01,9,13,9,13,22
CHOQUE COTA,atencion odontologica,otras acciones,2010-02-01,1,12,1,12,13
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,otras acciones,2010-02-01,1,5,1,5,6
CHUMA,atencion odontologica,otras acciones,2010-02-01,14,17,14,17,31
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,otras acciones,2010-02-01,7,23,7,23,30
CKOCHAS,atencion odontologica,otras acciones,2010-02-01,0,5,0,5,5
CLIZA,atencion odontologica,otras acciones,2010-02-01,56,110,56,110,166
COBIJA,atencion odontologica,otras acciones,2010-02-01,16,13,16,13,29
COCAPATA,atencion odontologica,otras acciones,2010-02-01,5,1,5,1,6
COCHABAMBA,atencion odontologica,otras acciones,2010-02-01,388,457,388,457,845
COIPASA,atencion odontologica,otras acciones,2010-02-01,2,4,2,4,6
COLCAPIRHUA,atencion odontologica,otras acciones,2010-02-01,137,182,137,182,319
"COLCHA ""K""",atencion odontologica,otras acciones,2010-02-01,2,14,2,14,16
COLOMI,atencion odontologica,otras acciones,2010-02-01,5,11,5,11,16
COLQUIRI,atencion odontologica,otras acciones,2010-02-01,46,56,46,56,102
COMARAPA,atencion odontologica,otras acciones,2010-02-01,0,3,0,3,3
COMBAYA,atencion odontologica,otras acciones,2010-02-01,7,9,7,9,16
COPACABANA,atencion odontologica,otras acciones,2010-02-01,10,13,10,13,23
CORIPATA,atencion odontologica,otras acciones,2010-02-01,1,0,1,0,1
CORO CORO,atencion odontologica,otras acciones,2010-02-01,0,2,0,2,2
COROICO,atencion odontologica,otras acciones,2010-02-01,30,19,30,19,49
CORQUE,atencion odontologica,otras acciones,2010-02-01,21,29,21,29,50
COTAGAITA,atencion odontologica,otras acciones,2010-02-01,77,40,77,40,117
CUEVO,atencion odontologica,otras acciones,2010-02-01,1,2,1,2,3
CULPINA,atencion odontologica,otras acciones,2010-02-01,13,25,13,25,38
CURAHUARA DE CARANGAS,atencion odontologica,otras acciones,2010-02-01,14,39,14,39,53
CURVA,atencion odontologica,otras acciones,2010-02-01,3,2,3,2,5
DESAGUADERO,atencion odontologica,otras acciones,2010-02-01,7,10,7,10,17
EL ALTO,atencion odontologica,otras acciones,2010-02-01,1326,2121,1326,2121,3447
EL CHORO,atencion odontologica,otras acciones,2010-02-01,22,19,22,19,41
EL PUENTE(STC),atencion odontologica,otras acciones,2010-02-01,1,10,1,10,11
EL PUENTE(TJA),atencion odontologica,otras acciones,2010-02-01,14,31,14,31,45
EL VILLAR,atencion odontologica,otras acciones,2010-02-01,0,3,0,3,3
ENTRE RIOS TRJ,atencion odontologica,otras acciones,2010-02-01,21,35,21,35,56
ESCOMA,atencion odontologica,otras acciones,2010-02-01,18,9,18,9,27
EUCALIPTUS,atencion odontologica,otras acciones,2010-02-01,8,20,8,20,28
FERNANDEZ ALONSO,atencion odontologica,otras acciones,2010-02-01,7,9,7,9,16
FILADELFIA,atencion odontologica,otras acciones,2010-02-01,6,7,6,7,13
GENERAL SAAVEDRA,atencion odontologica,otras acciones,2010-02-01,1,1,1,1,2
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,otras acciones,2010-02-01,13,22,13,22,35
GUANAY,atencion odontologica,otras acciones,2010-02-01,10,13,10,13,23
GUAQUI,atencion odontologica,otras acciones,2010-02-01,41,53,41,53,94
GUAYARAMERIN,atencion odontologica,otras acciones,2010-02-01,10,56,10,56,66
GUTIERREZ,atencion odontologica,otras acciones,2010-02-01,20,40,20,40,60
HUACARETA,atencion odontologica,otras acciones,2010-02-01,16,19,16,19,35
HUACHACALLA,atencion odontologica,otras acciones,2010-02-01,8,18,8,18,26
HUANUNI,atencion odontologica,otras acciones,2010-02-01,49,83,49,83,132
HUARACAJE,atencion odontologica,otras acciones,2010-02-01,3,1,3,1,4
HUARINA,atencion odontologica,otras acciones,2010-02-01,43,55,43,55,98
HUAYLLAMARCA,atencion odontologica,otras acciones,2010-02-01,15,25,15,25,40
HUMANATA,atencion odontologica,otras acciones,2010-02-01,7,6,7,6,13
ICLA,atencion odontologica,otras acciones,2010-02-01,6,12,6,12,18
INQUISIVI,atencion odontologica,otras acciones,2010-02-01,2,2,2,2,4
IRUPANA (VILLA DE LANZA),atencion odontologica,otras acciones,2010-02-01,20,32,20,32,52
IXIAMAS,atencion odontologica,otras acciones,2010-02-01,22,39,22,39,61
JESUS DE MACHACA,atencion odontologica,otras acciones,2010-02-01,19,46,19,46,65
LA GUARDIA,atencion odontologica,otras acciones,2010-02-01,2,3,2,3,5
LA PAZ,atencion odontologica,otras acciones,2010-02-01,1301,1729,1301,1729,3030
LA RIVERA,atencion odontologica,otras acciones,2010-02-01,0,1,0,1,1
LAJA,atencion odontologica,otras acciones,2010-02-01,3,4,3,4,7
LAS CARRERAS,atencion odontologica,otras acciones,2010-02-01,8,9,8,9,17
LLALLAGUA,atencion odontologica,otras acciones,2010-02-01,81,155,81,155,236
LLICA,atencion odontologica,otras acciones,2010-02-01,33,49,33,49,82
LORETO,atencion odontologica,otras acciones,2010-02-01,6,0,6,0,6
MACHACAMARCA,atencion odontologica,otras acciones,2010-02-01,17,44,17,44,61
MACHARETI,atencion odontologica,otras acciones,2010-02-01,10,14,10,14,24
MAGDALENA,atencion odontologica,otras acciones,2010-02-01,12,3,12,3,15
MAIRANA,atencion odontologica,otras acciones,2010-02-01,9,15,9,15,24
MINEROS,atencion odontologica,otras acciones,2010-02-01,90,192,90,192,282
MIZQUE,atencion odontologica,otras acciones,2010-02-01,3,7,3,7,10
MOCOMOCO,atencion odontologica,otras acciones,2010-02-01,8,9,8,9,17
MOJOCOYA,atencion odontologica,otras acciones,2010-02-01,10,37,10,37,47
MONTEAGUDO,atencion odontologica,otras acciones,2010-02-01,38,96,38,96,134
MONTERO,atencion odontologica,otras acciones,2010-02-01,69,102,69,102,171
MOROCHATA,atencion odontologica,otras acciones,2010-02-01,1,1,1,1,2
OCURI,atencion odontologica,otras acciones,2010-02-01,3,6,3,6,9
OMEREQUE,atencion odontologica,otras acciones,2010-02-01,10,14,10,14,24
ORURO,atencion odontologica,otras acciones,2010-02-01,1102,1057,1102,1057,2159
PADCAYA,atencion odontologica,otras acciones,2010-02-01,9,24,9,24,33
PADILLA,atencion odontologica,otras acciones,2010-02-01,4,0,4,0,4
PALCA,atencion odontologica,otras acciones,2010-02-01,0,4,0,4,4
PALOS BLANCOS,atencion odontologica,otras acciones,2010-02-01,11,10,11,10,21
PAMPA AULLAGAS,atencion odontologica,otras acciones,2010-02-01,9,19,9,19,28
PAMPA GRANDE,atencion odontologica,otras acciones,2010-02-01,13,33,13,33,46
PASORAPA,atencion odontologica,otras acciones,2010-02-01,1,1,1,1,2
PATACAMAYA,atencion odontologica,otras acciones,2010-02-01,21,17,21,17,38
PAZÑA,atencion odontologica,otras acciones,2010-02-01,11,10,11,10,21
PELECHUCO,atencion odontologica,otras acciones,2010-02-01,1,0,1,0,1
POJO (CBBA),atencion odontologica,otras acciones,2010-02-01,2,0,2,0,2
PORCO,atencion odontologica,otras acciones,2010-02-01,17,41,17,41,58
PORONGO,atencion odontologica,otras acciones,2010-02-01,69,53,69,53,122
PORTACHUELO,atencion odontologica,otras acciones,2010-02-01,23,61,23,61,84
PORVENIR,atencion odontologica,otras acciones,2010-02-01,23,24,23,24,47
POSTRER VALLE,atencion odontologica,otras acciones,2010-02-01,0,1,0,1,1
POTOSI,atencion odontologica,otras acciones,2010-02-01,106,140,106,140,246
PRESTO,atencion odontologica,otras acciones,2010-02-01,2,9,2,9,11
PUCARA,atencion odontologica,otras acciones,2010-02-01,1,13,1,13,14
PUCARANI,atencion odontologica,otras acciones,2010-02-01,15,22,15,22,37
PUERTO CARABUCO,atencion odontologica,otras acciones,2010-02-01,2,6,2,6,8
PUERTO GONZALO MORENO,atencion odontologica,otras acciones,2010-02-01,21,17,21,17,38
