,group,variable,month,CONSULTAS NUEVAS DE 5 A 59 AÑOS CANTIDAD,CONSULTAS NUEVAS DE 5 A 59 AÑOS CANTIDAD,TOTALES,TOTALES,TOTALES
CAQUIAVIRI,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,42,91,42,91,133
CARACOLLO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,109,132,109,132,241
CARANAVI,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,98,126,98,126,224
CARAPARI,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,63,80,63,80,143
CARIPUYO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,8,40,8,40,48
CARMEN RIVERO TORREZ,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,14,18,14,18,32
CATACORA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,11,14,11,14,25
CHALLAPATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,163,206,163,206,369
CHARAGUA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,4,1,4,1,5
CHIMORE,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,18,23,18,23,41
CHIPAYA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,19,6,19,6,25
CHOQUE COTA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,11,38,11,38,49
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,70,111,70,111,181
CHUMA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,78,173,78,173,251
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,13,45,13,45,58
CKOCHAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,11,38,11,38,49
CLIZA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,92,177,92,177,269
COBIJA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,106,397,106,397,503
COCAPATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,22,54,22,54,76
COCHABAMBA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,3398,2028,3398,2028,5426
COIPASA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,6,13,6,13,19
COLCAPIRHUA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,143,263,143,263,406
"COLCHA ""K""",atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,22,19,22,19,41
COLLANA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,9,13,9,13,22
COLOMI,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,19,52,19,52,71
COLPA BELGICA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,58,121,58,121,179
COLQUECHACA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,52,46,52,46,98
COLQUENCHA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,0,14,0,14,14
COLQUIRI,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,60,100,60,100,160
COMANCHE,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,10,11,10,11,21
COMARAPA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,160,188,160,188,348
COMBAYA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,0,20,0,20,20
CONCEPCION,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,1,0,1,0,1
COPACABANA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,14,31,14,31,45
CORIPATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,27,34,27,34,61
CORO CORO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,20,20,20,20,40
COROICO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,109,218,109,218,327
CORQUE,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,35,33,35,33,68
COTAGAITA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,74,96,74,96,170
COTOCA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,6,16,6,16,22
CUEVO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,21,70,21,70,91
CULPINA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,30,52,30,52,82
CURAHUARA DE CARANGAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,33,44,33,44,77
CURVA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,7,10,7,10,17
DESAGUADERO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,48,44,48,44,92
EL ALTO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,3354,4457,3354,4457,7811
EL CHORO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,18,13,18,13,31
EL PUENTE(STC),atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,51,99,51,99,150
EL PUENTE(TJA),atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,104,321,104,321,425
EL TORNO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,79,133,79,133,212
EL VILLAR,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,13,4,13,4,17
ENTRE RIOS TRJ,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,72,160,72,160,232
ENTRE RIOS CBBA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,11,11,11,11,22
ESCOMA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,175,74,175,74,249
EUCALIPTUS,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,100,53,100,53,153
FERNANDEZ ALONSO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,15,27,15,27,42
FILADELFIA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,24,39,24,39,63
GENERAL SAAVEDRA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,26,49,26,49,75
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,63,96,63,96,159
GUANAY,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,70,80,70,80,150
GUAQUI,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,36,73,36,73,109
GUAYARAMERIN,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,215,394,215,394,609
GUTIERREZ,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,28,66,28,66,94
HUACARETA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,43,82,43,82,125
HUACHACALLA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,20,59,20,59,79
HUANUNI,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,85,127,85,127,212
HUARACAJE,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,8,12,8,12,20
HUARINA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,3,5,3,5,8
HUAYLLAMARCA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,21,36,21,36,57
ICHOCA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,1,2,1,2,3
ICLA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,11,12,11,12,23
INCAHUASI,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,3,23,3,23,26
INQUISIVI,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,23,31,23,31,54
IRUPANA (VILLA DE LANZA),atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,45,89,45,89,134
IXIAMAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,77,72,77,72,149
JESUS DE MACHACA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,58,104,58,104,162
LA ASUNTA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,23,81,23,81,104
LA GUARDIA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,107,134,107,134,241
LA PAZ,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,6444,5032,6444,5032,11476
LA RIVERA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,8,7,8,7,15
LAGUNILLAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,23,24,23,24,47
LAJA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,36,129,36,129,165
LAS CARRERAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,32,40,32,40,72
LLALLAGUA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,100,204,100,204,304
LLICA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,30,35,30,35,65
LURIBAY,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,21,35,21,35,56
MACHACAMARCA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,22,132,22,132,154
MAGDALENA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,103,104,103,104,207
MAIRANA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,4,10,4,10,14
MALLA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,1,1,1,1,2
MAPIRI,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,28,85,28,85,113
MECAPACA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,19,24,19,24,43
MINEROS,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,37,110,37,110,147
MIZQUE,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,21,31,21,31,52
MOCOMOCO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,57,90,57,90,147
MOJOCOYA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,26,69,26,69,95
MONTEAGUDO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,61,124,61,124,185
MONTERO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,248,431,248,431,679
MORO MORO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,6,15,6,15,21
MOROCHATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,11,56,11,56,67
OCURI,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,29,36,29,36,65
OKINAWA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,23,81,23,81,104
OMEREQUE,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,38,40,38,40,78
ORURO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,1499,1925,1499,1925,3424
PADCAYA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,85,172,85,172,257
PADILLA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,24,65,24,65,89
PAILON,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,90,95,90,95,185
PALCA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,59,81,59,81,140
PALOS BLANCOS,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,35,33,35,33,68
PAMPA AULLAGAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,11,30,11,30,41
PAMPA GRANDE,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,28,83,28,83,111
PAPEL PAMPA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,55,39,55,39,94
PASORAPA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,10,12,10,12,22
PATACAMAYA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,14,12,14,12,26
PAZÑA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,19,38,19,38,57
PELECHUCO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,1,2,1,2,3
POCOATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,56,40,56,40,96
POCONA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,4,0,4,0,4
POJO (CBBA),atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,10,0,10,0,10
POOPO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,4,21,4,21,25
PORCO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,11,29,11,29,40
POROMA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,11,26,11,26,37
PORONGO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,6,6,6,6,12
PORTACHUELO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,139,298,139,298,437
PORVENIR,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,30,64,30,64,94
POSTRER VALLE,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,39,40,39,40,79
POTOSI,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,343,315,343,315,658
PRESTO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,10,37,10,37,47
PUCARA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,0,3,0,3,3
PUCARANI,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,23,48,23,48,71
PUERTO ACOSTA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,8,11,8,11,19
PUERTO CARABUCO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,23,102,23,102,125
PUERTO GONZALO MORENO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,12,23,12,23,35
PUERTO PEREZ,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,4,5,4,5,9
PUERTO QUIJARRO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,151,44,151,44,195
PUERTO RICO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,69,54,69,54,123
PUERTO SUAREZ,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,123,123,123,123,246
PUERTO VILLARROEL,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,86,269,86,269,355
PUNA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,86,190,86,190,276
PUNATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,187,288,187,288,475
QUILLACOLLO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,63,121,63,121,184
QUIME,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,34,38,34,38,72
QUIRUSILLAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,15,19,15,19,34
RAVELO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,12,11,12,11,23
REYES,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,47,64,47,64,111
RIBERALTA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,138,362,138,362,500
ROBORE,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,37,33,37,33,70
RURRENABAQUE,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,10,16,10,16,26
SABAYA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,63,82,63,82,145
SACABA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,1377,1671,1377,1671,3048
SACABAMBA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,4,36,4,36,40
SACACA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,9,35,9,35,44
SAIPINA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,27,34,27,34,61
SALINAS DE GARCI MENDOZA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,66,78,66,78,144
SAMAIPATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,46,117,46,117,163
SAN AGUSTIN,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,10,10,10,10,20
SAN ANDRES,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,62,95,62,95,157
SAN ANDRES DE MACHACA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,26,46,26,46,72
SAN BENITO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,79,94,79,94,173
SAN BORJA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,37,135,37,135,172
SAN BUENA VENTURA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,13,49,13,49,62
SAN CARLOS,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,59,97,59,97,156
SAN IGNACIO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,116,123,116,123,239
SAN IGNACIO DE VELASCO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,93,65,93,65,158
SAN JAVIER(BNI),atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,29,22,29,22,51
SAN JAVIER(STC),atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,17,25,17,25,42
SAN JOAQUIN,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,10,11,10,11,21
SAN JOSE DE CHIQUITOS,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,44,70,44,70,114
SAN JUAN DE YAPACANI,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,25,74,25,74,99
SAN LORENZO(PND),atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,0,9,0,9,9
SAN LORENZO(TJA),atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,299,703,299,703,1002
SAN LUCAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,54,54,54,54,108
SAN MATIAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,82,49,82,49,131
SAN MIGUEL DE VELASCO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,10,29,10,29,39
SAN PEDRO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,23,27,23,27,50
SAN PEDRO DE BUENA VISTA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,11,20,11,20,31
SAN PEDRO DE TIQUINA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,13,12,13,12,25
SAN RAFAEL,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,43,73,43,73,116
SAN RAMON BENI,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,48,44,48,44,92
SANTA ANA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,69,239,69,239,308
SANTA CRUZ DE LA SIERRA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,3130,4550,3130,4550,7680
SANTA ROSA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,44,41,44,41,85
SANTA ROSA DEL SARA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,58,126,58,126,184
SANTIAGO DE CALLAPA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,2,7,2,7,9
SANTIAGO DE HUARI,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,53,63,53,63,116
SANTIAGO DE HUATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,4,13,4,13,17
SANTIAGO DE MACHACA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,12,24,12,24,36
SANTIVAÑES,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,35,57,35,57,92
SANTUARIO DE QUILLACAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,32,55,32,55,87
SAPAHAQUI,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,32,37,32,37,69
SHINAOTA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,43,60,43,60,103
SICA SICA (VILLA AROMA),atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,40,51,40,51,91
SIPE SIPE,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,118,354,118,354,472
SOPACHUY,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,40,84,40,84,124
SORACACHI,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,16,39,16,39,55
SORATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,64,73,64,73,137
SUCRE,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,1444,2023,1444,2023,3467
TACACOMA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,82,118,82,118,200
TACOPAYA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,10,14,10,14,24
TAHUA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,9,22,9,22,31
TAPACARI,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,25,41,25,41,66
TARABUCO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,29,59,29,59,88
TARACO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,23,32,23,32,55
TARATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,12,32,12,32,44
TARIJA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,2332,3887,2332,3887,6219
TARVITA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,3,38,3,38,41
TEOPONTE,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,0,1,0,1,1
TIAWANACU,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,59,108,59,108,167
TINGUIPAYA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,40,0,40,0,40
TIPUANI,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,1,8,1,8,9
TIQUIPAYA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,111,240,111,240,351
TIRAQUE (CBBA),atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,43,76,43,76,119
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,0,6,0,6,6
TOCO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,45,128,45,128,173
TOLATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,39,142,39,142,181
TOLEDO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,62,45,62,45,107
TOMAVE,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,35,37,35,37,72
TOMINA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,231,67,231,67,298
TORO TORO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,32,49,32,49,81
TOTORA(CBBA),atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,6,0,6,0,6
TOTORA(ORR),atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,22,17,22,17,39
TRIGAL,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,17,13,17,13,30
TRINIDAD,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,611,322,611,322,933
TUPIZA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,142,175,142,175,317
TURCO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-01-01,28,56,28,56,84
