,group,variable,month,CONSULTAS NUEVAS MENORES DE 5 AÑOS CANTIDAD,CONSULTAS NUEVAS MENORES DE 5 AÑOS CANTIDAD,TOTALES,TOTALES,TOTALES
CARANAVI,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,48,40,48,40,88
CARAPARI,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,1,0,1,0,1
CARIPUYO,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,37,77,37,77,114
CARMEN RIVERO TORREZ,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,5,8,5,8,13
CATACORA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,8,3,8,3,11
CHALLAPATA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,62,42,62,42,104
CHARAGUA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,36,13,36,13,49
CHIMORE,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,25,16,25,16,41
CHIPAYA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,5,1,5,1,6
CHOQUE COTA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,5,3,5,3,8
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,23,16,23,16,39
CHUMA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,7,40,7,40,47
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,36,34,36,34,70
CKOCHAS,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,7,2,7,2,9
CLIZA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,74,89,74,89,163
COBIJA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,183,187,183,187,370
COCAPATA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,16,23,16,23,39
COCHABAMBA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,1516,1202,1516,1202,2718
COIPASA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,2,2,2,2,4
COLCAPIRHUA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,215,318,215,318,533
"COLCHA ""K""",atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,17,8,17,8,25
COLLANA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,4,2,4,2,6
COLOMI,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,77,42,77,42,119
COLPA BELGICA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,36,36,36,36,72
COLQUECHACA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,19,0,19,0,19
COLQUENCHA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,2,5,2,5,7
COLQUIRI,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,15,15,15,15,30
COMANCHE,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,1,2,1,2,3
COMARAPA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,14,22,14,22,36
COMBAYA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,14,21,14,21,35
CONCEPCION,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,3,0,3,0,3
COPACABANA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,8,7,8,7,15
CORIPATA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,9,10,9,10,19
CORO CORO,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,3,1,3,1,4
COROICO,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,18,16,18,16,34
CORQUE,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,6,4,6,4,10
COTAGAITA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,16,20,16,20,36
COTOCA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,4,13,4,13,17
CUATRO CAÑADAS,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,113,0,113,0,113
CUEVO,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,7,23,7,23,30
CULPINA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,5,8,5,8,13
CURAHUARA DE CARANGAS,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,9,8,9,8,17
CURVA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,2,5,2,5,7
DESAGUADERO,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,0,2,0,2,2
EL ALTO,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,972,1082,972,1082,2054
EL CHORO,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,7,10,7,10,17
EL PUENTE(STC),atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,22,23,22,23,45
EL PUENTE(TJA),atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,0,16,0,16,16
EL TORNO,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,27,63,27,63,90
EL VILLAR,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,10,3,10,3,13
ENTRE RIOS TRJ,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,4,5,4,5,9
ENTRE RIOS CBBA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,8,6,8,6,14
ESCOMA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,10,16,10,16,26
EUCALIPTUS,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,27,7,27,7,34
FERNANDEZ ALONSO,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,14,12,14,12,26
FILADELFIA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,11,13,11,13,24
GENERAL SAAVEDRA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,25,17,25,17,42
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,31,24,31,24,55
GUANAY,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,38,64,38,64,102
GUAQUI,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,12,13,12,13,25
GUAYARAMERIN,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,43,32,43,32,75
GUTIERREZ,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,32,37,32,37,69
HUACARETA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,13,3,13,3,16
HUACHACALLA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,4,9,4,9,13
HUANUNI,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,27,39,27,39,66
HUARACAJE,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,5,10,5,10,15
HUARINA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,12,10,12,10,22
HUAYLLAMARCA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,19,8,19,8,27
ICLA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,43,23,43,23,66
INCAHUASI,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,12,9,12,9,21
INQUISIVI,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,3,2,3,2,5
IRUPANA (VILLA DE LANZA),atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,15,19,15,19,34
IXIAMAS,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,24,9,24,9,33
JESUS DE MACHACA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,4,14,4,14,18
LA ASUNTA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,49,31,49,31,80
LA GUARDIA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,64,55,64,55,119
LA PAZ,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,2316,2357,2316,2357,4673
LAGUNILLAS,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,6,4,6,4,10
LAJA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,11,15,11,15,26
LAS CARRERAS,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,5,16,5,16,21
LLALLAGUA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,190,233,190,233,423
LLICA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,26,4,26,4,30
LURIBAY,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,15,3,15,3,18
MACHACAMARCA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,12,13,12,13,25
MAGDALENA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,3,1,3,1,4
MAIRANA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,6,3,6,3,9
MAPIRI,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,11,17,11,17,28
MECAPACA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,5,2,5,2,7
MINEROS,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,45,61,45,61,106
MIZQUE,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,7,16,7,16,23
MOCOMOCO,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,2,2,2,2,4
MOJOCOYA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,0,1,0,1,1
MONTEAGUDO,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,42,56,42,56,98
MONTERO,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,187,232,187,232,419
MORO MORO,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,26,17,26,17,43
MOROCHATA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,43,59,43,59,102
OCURI,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,7,3,7,3,10
OKINAWA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,9,14,9,14,23
OMEREQUE,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,15,16,15,16,31
ORURO,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,687,551,687,551,1238
PADCAYA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,6,1,6,1,7
PADILLA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,2,3,2,3,5
PAILON,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,36,39,36,39,75
PALCA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,31,21,31,21,52
PALOS BLANCOS,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,12,11,12,11,23
PAMPA AULLAGAS,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,3,7,3,7,10
PAMPA GRANDE,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,6,11,6,11,17
PAPEL PAMPA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,11,4,11,4,15
PASORAPA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,10,5,10,5,15
PATACAMAYA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,15,23,15,23,38
PAZÑA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,11,8,11,8,19
PELECHUCO,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,1,0,1,0,1
POCOATA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,116,98,116,98,214
POCONA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,17,0,17,0,17
POJO (CBBA),atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,66,0,66,0,66
POOPO,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,12,6,12,6,18
PORCO,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,26,12,26,12,38
POROMA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,2,7,2,7,9
PORONGO,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,2,2,2,2,4
PORTACHUELO,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,8,26,8,26,34
PORVENIR,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,18,25,18,25,43
POSTRER VALLE,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,16,14,16,14,30
POTOSI,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,610,297,610,297,907
PRESTO,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,2,0,2,0,2
PUCARA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,0,3,0,3,3
PUCARANI,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,60,76,60,76,136
PUERTO ACOSTA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,17,8,17,8,25
PUERTO CARABUCO,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,3,10,3,10,13
PUERTO GONZALO MORENO,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,0,8,0,8,8
PUERTO PEREZ,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,13,6,13,6,19
PUERTO QUIJARRO,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,10,10,10,10,20
PUERTO RICO,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,1,12,1,12,13
PUERTO SUAREZ,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,29,35,29,35,64
PUERTO VILLARROEL,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,135,172,135,172,307
PUNA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,28,20,28,20,48
PUNATA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,172,161,172,161,333
QUILLACOLLO,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,305,291,305,291,596
QUIME,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,6,1,6,1,7
QUIRUSILLAS,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,6,10,6,10,16
RAVELO,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,17,5,17,5,22
REYES,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,2,2,2,2,4
RIBERALTA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,38,51,38,51,89
ROBORE,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,1,2,1,2,3
RURRENABAQUE,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,2,3,2,3,5
SABAYA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,23,14,23,14,37
SACABA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,319,378,319,378,697
SACABAMBA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,7,6,7,6,13
SACACA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,8,4,8,4,12
SAIPINA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,5,5,5,5,10
SALINAS DE GARCI MENDOZA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,68,71,68,71,139
SAMAIPATA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,34,39,34,39,73
SAN AGUSTIN,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,1,0,1,0,1
SAN ANDRES,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,11,7,11,7,18
SAN ANDRES DE MACHACA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,17,10,17,10,27
SAN ANTONIO DE LOMERIO,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,5,0,5,0,5
SAN BENITO,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,48,29,48,29,77
SAN BORJA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,10,19,10,19,29
SAN BUENA VENTURA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,12,14,12,14,26
SAN CARLOS,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,2,12,2,12,14
SAN IGNACIO,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,18,14,18,14,32
SAN IGNACIO DE VELASCO,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,11,17,11,17,28
SAN JAVIER(BNI),atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,10,11,10,11,21
SAN JAVIER(STC),atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,6,6,6,6,12
SAN JOAQUIN,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,2,2,2,2,4
SAN JOSE DE CHIQUITOS,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,5,7,5,7,12
SAN JUAN DE YAPACANI,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,17,10,17,10,27
SAN LORENZO(PND),atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,6,6,6,6,12
SAN LORENZO(TJA),atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,33,35,33,35,68
SAN LUCAS,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,32,35,32,35,67
SAN MATIAS,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,9,9,9,9,18
SAN MIGUEL DE VELASCO,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,8,10,8,10,18
SAN PEDRO,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,0,6,0,6,6
SAN PEDRO DE BUENA VISTA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,38,19,38,19,57
SAN PEDRO DE TIQUINA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,25,42,25,42,67
SAN RAFAEL,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,8,21,8,21,29
SAN RAMON BENI,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,7,4,7,4,11
SAN RAMON SCZ,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,50,35,50,35,85
SANTA ANA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,6,8,6,8,14
SANTA CRUZ DE LA SIERRA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,1499,1568,1499,1568,3067
SANTA ROSA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,12,10,12,10,22
SANTA ROSA DEL SARA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,17,21,17,21,38
SANTIAGO DE CALLAPA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,1,1,1,1,2
SANTIAGO DE HUARI,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,62,59,62,59,121
SANTIAGO DE HUATA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,1,0,1,0,1
SANTIAGO DE MACHACA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,7,17,7,17,24
SANTIVAÑES,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,3,2,3,2,5
SANTUARIO DE QUILLACAS,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,33,40,33,40,73
SAPAHAQUI,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,30,44,30,44,74
SENA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,12,6,12,6,18
SHINAOTA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,23,13,23,13,36
SICA SICA (VILLA AROMA),atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,27,23,27,23,50
SIPE SIPE,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,114,129,114,129,243
SOPACHUY,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,2,3,2,3,5
SORACACHI,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,11,16,11,16,27
SORATA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,43,45,43,45,88
SUCRE,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,536,621,536,621,1157
TACACOMA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,7,9,7,9,16
TAHUA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,6,2,6,2,8
TAPACARI,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,27,2,27,2,29
TARABUCO,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,98,125,98,125,223
TARACO,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,4,0,4,0,4
TARATA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,11,30,11,30,41
TARIJA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,199,202,199,202,401
TARVITA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,12,10,12,10,22
TEOPONTE,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,0,1,0,1,1
TIAWANACU,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,6,9,6,9,15
TIPUANI,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,9,20,9,20,29
TIQUIPAYA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,571,650,571,650,1221
TIRAQUE (CBBA),atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,20,41,20,41,61
TOCO,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,8,6,8,6,14
TOLATA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,14,28,14,28,42
TOLEDO,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,15,21,15,21,36
TOMAVE,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,2,17,2,17,19
TOMINA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,14,9,14,9,23
TORO TORO,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,9,11,9,11,20
TOTORA(CBBA),atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,73,0,73,0,73
TRIGAL,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,3,4,3,4,7
TRINIDAD,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,167,26,167,26,193
TUPIZA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,55,33,55,33,88
TURCO,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,2,17,2,17,19
UMALA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,11,0,11,0,11
UNCIA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,13,28,13,28,41
URIONDO (A. CONCEPCION),atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,10,21,10,21,31
URUBICHA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,2,4,2,4,6
UYUNI,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,9,12,9,12,21
VACAS,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,3,6,3,6,9
VALLEGRANDE,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,66,63,66,63,129
VIACHA,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,27,46,27,46,73
VILLA CHARCAS,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,12,6,12,6,18
VILLA MONTES,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,12,9,12,9,21
VILLA NUEVA (LOMA ALTA),atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,2,13,2,13,15
VILLA RIVERO,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,38,20,38,20,58
VILLA SERRANO,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,0,5,0,5,5
VILLA TUNARI,atencion odontologica,consultas nuevas menores de 5 anos,2010-01-01,90,109,90,109,199
