,group,variable,month,CONSULTAS NUEVAS A MUJER EMBARAZADA O PUÉRPERA CANTIDAD,CONSULTAS NUEVAS A MUJER EMBARAZADA O PUÉRPERA CANTIDAD,TOTALES,TOTALES,TOTALES
CARIPUYO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,24,0,24,24
CARMEN RIVERO TORREZ,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,2,0,2,2
CATACORA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,2,0,2,2
CHALLAPATA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,34,0,34,34
CHARAGUA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,9,0,9,9
CHIMORE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,52,0,52,52
CHIPAYA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,5,0,5,5
CHOQUE COTA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,4,0,4,4
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,33,0,33,33
CHUMA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,29,0,29,29
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,20,0,20,20
CLIZA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,39,0,39,39
COBIJA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,211,0,211,211
COCAPATA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,15,0,15,15
COCHABAMBA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,512,0,512,512
COLCAPIRHUA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,257,0,257,257
"COLCHA ""K""",atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,13,0,13,13
COLOMI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,54,0,54,54
COLPA BELGICA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,42,0,42,42
COLQUIRI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,18,0,18,18
COMANCHE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,1,0,1,1
COMBAYA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,4,0,4,4
COPACABANA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,12,0,12,12
CORIPATA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,6,0,6,6
COROICO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,1,0,1,1
CORQUE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,16,0,16,16
COTAGAITA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,5,0,5,5
COTOCA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,28,0,28,28
CUEVO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,17,0,17,17
CULPINA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,12,0,12,12
CURAHUARA DE CARANGAS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,10,0,10,10
CURVA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,1,0,1,1
DESAGUADERO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,4,0,4,4
EL ALTO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,402,0,402,402
EL PUENTE(STC),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,14,0,14,14
EL PUENTE(TJA),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,3,0,3,3
EL TORNO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,13,0,13,13
EL VILLAR,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,15,0,15,15
ENTRE RIOS CBBA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,8,0,8,8
ESCOMA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,32,0,32,32
EUCALIPTUS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,5,0,5,5
FERNANDEZ ALONSO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,32,0,32,32
FILADELFIA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,8,0,8,8
GENERAL SAAVEDRA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,10,0,10,10
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,42,0,42,42
GUANAY,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,13,0,13,13
GUAYARAMERIN,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,124,0,124,124
GUTIERREZ,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,10,0,10,10
HUACARETA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,13,0,13,13
HUANUNI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,2,0,2,2
HUARACAJE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,4,0,4,4
HUAYLLAMARCA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,6,0,6,6
ICHOCA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,1,0,1,1
ICLA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,9,0,9,9
INCAHUASI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,9,0,9,9
INQUISIVI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,6,0,6,6
IRUPANA (VILLA DE LANZA),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,3,0,3,3
JESUS DE MACHACA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,3,0,3,3
LA ASUNTA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,12,0,12,12
LA GUARDIA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,34,0,34,34
LA PAZ,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,1813,0,1813,1813
LAGUNILLAS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,14,0,14,14
LAS CARRERAS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,7,0,7,7
LLALLAGUA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,57,0,57,57
LLICA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,6,0,6,6
LURIBAY,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,4,0,4,4
MACHACAMARCA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,56,0,56,56
MAIRANA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,4,0,4,4
MAPIRI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,22,0,22,22
MECAPACA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,1,0,1,1
MINEROS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,90,0,90,90
MIZQUE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,26,0,26,26
MOCOMOCO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,9,0,9,9
MOJOCOYA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,5,0,5,5
MONTEAGUDO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,99,0,99,99
MONTERO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,96,0,96,96
MORO MORO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,4,0,4,4
MOROCHATA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,46,0,46,46
OCURI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,4,0,4,4
OKINAWA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,11,0,11,11
ORURO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,400,0,400,400
PADILLA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,24,0,24,24
PALCA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,3,0,3,3
PALOS BLANCOS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,13,0,13,13
PAMPA AULLAGAS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,4,0,4,4
PAMPA GRANDE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,8,0,8,8
PAPEL PAMPA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,1,0,1,1
PATACAMAYA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,20,0,20,20
PAZÑA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,3,0,3,3
PELECHUCO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,1,0,1,1
POOPO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,48,0,48,48
PORCO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,12,0,12,12
POROMA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,10,0,10,10
PORONGO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,2,0,2,2
PORTACHUELO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,22,0,22,22
PORVENIR,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,5,0,5,5
POSTRER VALLE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,5,0,5,5
POTOSI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,207,0,207,207
PRESTO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,11,0,11,11
PUCARANI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,13,0,13,13
PUERTO ACOSTA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,13,0,13,13
PUERTO GONZALO MORENO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,1,0,1,1
PUERTO PEREZ,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,8,0,8,8
PUERTO RICO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,3,0,3,3
PUERTO VILLARROEL,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,11,0,11,11
PUNATA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,123,0,123,123
QUILLACOLLO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,47,0,47,47
QUIME,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,5,0,5,5
QUIRUSILLAS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,4,0,4,4
RAVELO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,32,0,32,32
REYES,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,6,0,6,6
RIBERALTA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,139,0,139,139
SABAYA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,11,0,11,11
SACABA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,437,0,437,437
SACABAMBA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,27,0,27,27
SACACA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,22,0,22,22
SAIPINA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,24,0,24,24
SALINAS DE GARCI MENDOZA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,21,0,21,21
SAMAIPATA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,17,0,17,17
SAN ANDRES DE MACHACA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,13,0,13,13
SAN BENITO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,25,0,25,25
SAN BORJA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,87,0,87,87
SAN BUENA VENTURA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,12,0,12,12
SAN CARLOS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,10,0,10,10
SAN IGNACIO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,4,0,4,4
SAN IGNACIO DE VELASCO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,26,0,26,26
SAN JAVIER(STC),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,3,0,3,3
SAN JUAN DE YAPACANI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,23,0,23,23
SAN LORENZO(TJA),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,5,0,5,5
SAN LUCAS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,40,0,40,40
SAN MIGUEL DE VELASCO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,12,0,12,12
SAN PEDRO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,3,0,3,3
SAN PEDRO DE BUENA VISTA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,44,0,44,44
SAN PEDRO DE TIQUINA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,3,0,3,3
SAN RAFAEL,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,34,0,34,34
SANTA CRUZ DE LA SIERRA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,854,0,854,854
SANTA ROSA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,6,0,6,6
SANTA ROSA DEL SARA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,12,0,12,12
SANTIAGO DE CALLAPA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,5,0,5,5
SANTIAGO DE HUARI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,31,0,31,31
SANTIAGO DE HUATA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,1,0,1,1
SANTIAGO DE MACHACA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,8,0,8,8
SANTIVAÑES,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,15,0,15,15
SANTUARIO DE QUILLACAS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,15,0,15,15
SAPAHAQUI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,15,0,15,15
SENA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,18,0,18,18
SHINAOTA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,37,0,37,37
SICA SICA (VILLA AROMA),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,10,0,10,10
SIPE SIPE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,99,0,99,99
SOPACHUY,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,27,0,27,27
SORACACHI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,4,0,4,4
SORATA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,12,0,12,12
SUCRE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,127,0,127,127
TACACOMA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,20,0,20,20
TAHUA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,2,0,2,2
TAPACARI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,9,0,9,9
TARABUCO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,36,0,36,36
TARATA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,12,0,12,12
TARIJA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,52,0,52,52
TARVITA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,84,0,84,84
TIAWANACU,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,10,0,10,10
TIPUANI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,17,0,17,17
TIQUIPAYA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,425,0,425,425
TIRAQUE (CBBA),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,39,0,39,39
TOCO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,10,0,10,10
TOLATA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,7,0,7,7
TOLEDO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,4,0,4,4
TOMAVE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,11,0,11,11
TOMINA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,19,0,19,19
TORO TORO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,15,0,15,15
TRIGAL,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,3,0,3,3
TRINIDAD,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,28,0,28,28
TUPIZA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,14,0,14,14
TURCO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,17,0,17,17
UMALA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,25,0,25,25
UNCIA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,16,0,16,16
URIONDO (A. CONCEPCION),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,3,0,3,3
VALLEGRANDE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,45,0,45,45
VIACHA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,156,0,156,156
VILLA CHARCAS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,18,0,18,18
VILLA MONTES,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,3,0,3,3
VILLA NUEVA (LOMA ALTA),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,3,0,3,3
VILLA RIVERO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,37,0,37,37
VILLA SERRANO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,5,0,5,5
VILLA TUNARI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,159,0,159,159
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,49,0,49,49
VILLAZON,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,118,0,118,118
VINTO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,42,0,42,42
VITICHI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,3,0,3,3
WARNES,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,43,0,43,43
YACO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,14,0,14,14
YACUIBA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,11,0,11,11
YAMPARAEZ,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,4,0,4,4
YAPACANI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,95,0,95,95
YOCALLA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,3,0,3,3
YOTALA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,6,0,6,6
ZUDAÑEZ,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-01-01,0,6,0,6,6
ACACIO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-02-01,0,13,0,13,13
ACHACACHI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-02-01,0,52,0,52,52
ACHOCALLA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-02-01,0,5,0,5,5
AIQUILE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-02-01,0,28,0,28,28
ALALAY,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-02-01,0,1,0,1,1
ALCALA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-02-01,0,10,0,10,10
ALTO BENI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-02-01,0,11,0,11,11
ANCORAIMES,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-02-01,0,13,0,13,13
ANDAMARCA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-02-01,0,7,0,7,7
ANTEQUERA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-02-01,0,1,0,1,1
APOLO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-02-01,0,52,0,52,52
ARAMPAMPA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-02-01,0,6,0,6,6
ARBIETO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-02-01,0,27,0,27,27
ARQUE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-02-01,0,18,0,18,18
ASCENCION DE GUARAYOS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-02-01,0,98,0,98,98
ATOCHA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-02-01,0,6,0,6,6
